Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,No. of Valid Votes Casted,No. of Registered Electors,Select Constituency,District,Constituency Type,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No. of Terms Held by Winner,Turncoat,No. of Turncoat Candidates,% of Candidates Turncoat,Incumbent,Recontest,No. of Recontesting Candidates,% of Candidates Recontesting,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
16,14,2014,4,0,4,1,GAWALI BHAVANA PUNDLIKRAO,F,SHS,477905,GEN,1032949,1755292,Yavatmal-Washim,Yavatmal,GEN,,26,58.85,46.27,no,93816,9.08,2.86,GEMH70645,State-based Party,18691,True,4,SHS,18691,YAVATMAL-WASHIM,1,1,4,False,1,3.84615384615385,True,True,2,7.69230769230769,Graduate,Other,,,,
16,15,2014,4,0,4,1,RAJEEV SHANKARRAO SATAV,M,INC,467397,GEN,1051164,1586194,Hingoli,Hingoli,GEN,,23,66.27,44.46,no,1632,0.16,2.5,GEMH15537,National Party,3482,True,1,,,,,,1,False,0,0,False,False,1,4.34782608695652,Graduate Professional,Agriculture,,,,
16,15,2014,4,0,4,1,RAJEEV SHANKARRAO SATAV,M,INC,467397,GEN,1051164,1586194,Hingoli,Nanded,GEN,,23,66.27,44.46,no,1632,0.16,2.5,GEMH15537,National Party,3482,True,1,,,,,,1,False,0,0,False,False,1,4.34782608695652,Graduate Professional,Agriculture,,,,
16,15,2014,4,0,4,1,RAJEEV SHANKARRAO SATAV,M,INC,467397,GEN,1051164,1586194,Hingoli,Yavatmal,GEN,,23,66.27,44.46,no,1632,0.16,2.5,GEMH15537,National Party,3482,True,1,,,,,,1,False,0,0,False,False,1,4.34782608695652,Graduate Professional,Agriculture,,,,
16,16,2014,4,0,4,1,ASHOK SHANKARRAO CHAVAN,M,INC,493075,GEN,1013350,1687057,Nanded,Nanded,GEN,,23,60.07,48.66,no,81455,8.04,2.5,GEMH114679,National Party,3482,True,5,INC,3482,NANDED,1,1,4,False,0,0,False,False,2,8.69565217391304,Post Graduate,Business,,Agriculture,,
16,17,2014,4,0,4,1,JADHAV SANJAY (BANDU) HARIBHAU,M,SHS,578455,GEN,1162233,1803792,Parbhani,Jalna,GEN,,17,64.43,49.77,no,127155,10.94,2.5,AEMH93745,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,5.88235294117647,10th Pass,Business,Agricultural Business,Agriculture,,
16,17,2014,4,0,4,1,JADHAV SANJAY (BANDU) HARIBHAU,M,SHS,578455,GEN,1162233,1803792,Parbhani,Parbhani,GEN,,17,64.43,49.77,no,127155,10.94,2.5,AEMH93745,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,5.88235294117647,10th Pass,Business,Agricultural Business,Agriculture,,
16,18,2014,4,0,4,1,DANVE RAOSAHEB DADARAO,M,BJP,591428,GEN,1066259,1612056,Jalna,Chhatrapati Sambhaji Nagar,GEN,,22,66.14,55.47,no,206798,19.39,2.27,GEMH70718,National Party,1605,True,4,BJP,1605,JALNA,1,1,4,False,0,0,True,True,4,18.1818181818182,Graduate,Business,,Agriculture,,
16,18,2014,4,0,4,1,DANVE RAOSAHEB DADARAO,M,BJP,591428,GEN,1066259,1612056,Jalna,Jalna,GEN,,22,66.14,55.47,no,206798,19.39,2.27,GEMH70718,National Party,1605,True,4,BJP,1605,JALNA,1,1,4,False,0,0,True,True,4,18.1818181818182,Graduate,Business,,Agriculture,,
16,19,2014,4,0,4,1,CHANDRAKANT BHAURAO KHAIRE,M,SHS,520902,GEN,982933,1589395,Aurangabad,Chhatrapati Sambhaji Nagar,GEN,,27,61.84,52.99,no,162000,16.48,2.44,GEMH70725,State-based Party,18691,True,4,SHS,18691,AURANGABAD,1,1,4,False,0,0,True,True,1,3.7037037037037,12th Pass,Social Work,,,,
16,20,2014,4,0,4,1,CHAVAN HARISHCHANDRA DEORAM,M,BJP,542784,ST,970182,1530208,Dindori (ST),Nashik,ST,,10,63.4,55.95,no,247619,25.52,2.44,GEMH80269,National Party,1605,True,4,BJP,1605,DINDORI,1,1,3,False,0,0,True,True,1,10,Graduate,Agriculture,,,,
16,21,2014,4,0,4,1,GODSE HEMANT TUKARAM,M,SHS,494735,GEN,937405,1593774,Nashik,Nashik,GEN,,15,58.82,52.78,no,187336,19.98,2.56,GEMH7295,State-based Party,18691,True,2,MNS,11633,NASHIK,1,0,1,True,1,6.66666666666667,False,True,2,13.3333333333333,12th Pass,Business,,Agriculture,,
16,22,2014,4,0,4,1,ADV. CHINTAMAN NAVASHA WANGA,M,BJP,533201,ST,992618,1578149,Palghar (ST),Palghar,ST,,10,62.9,53.72,no,239520,24.13,2.56,GEMH32101,National Party,1605,False,9,BJP,1605,PALGHAR,1,1,3,False,0,0,False,True,2,20,Graduate Professional,Agriculture,,Social Work,,
16,23,2014,4,0,4,1,KAPIL MORESHWAR PATIL,M,BJP,411070,GEN,875605,1696584,Bhiwandi,Thane,GEN,,13,51.61,46.95,no,109450,12.5,2.86,GEMH7307,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,7.69230769230769,Graduate,Business,,,,
16,24,2014,4,0,4,1,DR.SHRIKANT EKNATH SHINDE,M,SHS,440892,GEN,824196,1922034,Kalyan,Thane,GEN,,18,42.88,53.49,no,250749,30.42,2.78,GEMH7371,State-based Party,18691,True,1,,,,,,1,False,1,5.55555555555556,False,False,1,5.55555555555556,Graduate Professional,Liberal Profession or Professional,Doctor,,,
16,25,2014,4,0,4,1,VICHARE RAJAN BABURAO,M,SHS,595364,GEN,1054189,2073251,Thane,Thane,GEN,,26,50.85,56.48,no,281299,26.68,2.44,GEMH7400,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,3.84615384615385,10th Pass,Business,Rent,Politics,MLA,
16,26,2014,4,0,4,1,GOPAL CHINAYYA SHETTY,M,BJP,664004,GEN,946562,1783870,Mumbai North,Mumbai Suburban,GEN,,21,53.06,70.15,no,446582,47.18,1.85,GEMH7436,National Party,1605,True,1,,,,,,1,False,0,0,False,False,3,14.2857142857143,5th Pass,Small Business or Self-employed,,,,
16,27,2014,4,0,4,1,GAJANAN CHANDRAKANT KIRTIKAR,M,SHS,464820,GEN,895517,1775416,Mumbai North West,Mumbai Suburban,GEN,,14,50.44,51.91,no,183028,20.44,2.63,GEMH7479,State-based Party,18691,True,2,SHS,18691,MUMBAI NORTH WEST,1,1,1,False,0,0,False,True,2,14.2857142857143,Graduate,Business,Trader,Politics,Ex MLA,
16,28,2014,4,0,4,1,KIRIT  SOMAIYA,M,BJP,525285,GEN,861761,1668357,Mumbai North East,Mumbai Suburban,GEN,,19,51.65,60.95,no,317122,36.8,2.27,GEMH70578,National Party,1605,True,4,BJP,1605,MUMBAI NORTH EAST,1,1,2,False,1,5.26315789473684,False,True,4,21.0526315789474,Doctorate,Salaried Work or Employed,Accountant,,,
16,29,2014,4,0,4,1,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,F,BJP,478535,GEN,845292,1737084,Mumbai North Central,Mumbai Suburban,GEN,,21,48.66,56.61,no,186771,22.1,2.27,AEMH90538,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,4.76190476190476,Others,Business,,,,
16,30,2014,4,0,4,1,RAHUL RAMESH SHEWALE,M,SHS,381008,GEN,768627,1447886,Mumbai South Central,Mumbai City,GEN,,21,53.09,49.57,no,138180,17.98,2.78,AEMH92368,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,2,9.52380952380952,Others,Salaried Work or Employed,Qualified Professional,Politics,Municipality Member,
16,30,2014,4,0,4,1,RAHUL RAMESH SHEWALE,M,SHS,381008,GEN,768627,1447886,Mumbai South Central,Mumbai Suburban,GEN,,21,53.09,49.57,no,138180,17.98,2.78,AEMH92368,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,2,9.52380952380952,Others,Salaried Work or Employed,Qualified Professional,Politics,Municipality Member,
16,31,2014,4,0,4,1,ARVIND SAWANT,M,SHS,374609,GEN,779741,1485844,Mumbai South,Mumbai City,GEN,,20,52.48,48.04,no,128564,16.49,2.94,GEMH7645,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,3,15,Graduate,Social Work,Trade Union,,,
16,32,2014,4,0,4,1,ANANT GEETE,M,SHS,396178,GEN,987766,1532781,Raigad,Raigad,GEN,,10,64.44,40.11,no,2110,0.21,2.94,GEMH57063,State-based Party,18691,True,7,SHS,18691,RAIGAD,1,1,6,False,0,0,True,True,1,10,10th Pass,Business,,Social Work,,
16,32,2014,4,0,4,1,ANANT GEETE,M,SHS,396178,GEN,987766,1532781,Raigad,Ratnagiri,GEN,,10,64.44,40.11,no,2110,0.21,2.94,GEMH57063,State-based Party,18691,True,7,SHS,18691,RAIGAD,1,1,6,False,0,0,True,True,1,10,10th Pass,Business,,Social Work,,
16,33,2014,4,0,4,1,APPA ALIAS SHRIRANG CHANDU BARNE,M,SHS,512226,GEN,1174335,1953741,Maval,Pune,GEN,,19,60.11,43.62,no,157397,13.4,3.33,AEMH90951,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,5.26315789473684,8th Pass,Business,Real Estate or Builder or Developer or Construction,Agriculture,,
16,33,2014,4,0,4,1,APPA ALIAS SHRIRANG CHANDU BARNE,M,SHS,512226,GEN,1174335,1953741,Maval,Raigad,GEN,,19,60.11,43.62,no,157397,13.4,3.33,AEMH90951,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,5.26315789473684,8th Pass,Business,Real Estate or Builder or Developer or Construction,Agriculture,,
16,34,2014,4,0,4,1,ANIL SHIROLE,M,BJP,569825,GEN,993278,1835835,Pune,Pune,GEN,,29,54.1,57.37,no,315769,31.79,2.44,AEMH96484,National Party,1605,True,2,BJP,1605,PUNE,1,1,1,False,0,0,False,True,3,10.3448275862069,Graduate,Business,,,,
16,35,2014,4,0,4,1,SUPRIYA SULE,F,NCP,521562,GEN,1066556,1813553,Baramati,Pune,GEN,,9,58.81,48.9,no,69719,6.54,2.38,GEMH7823,State-based Party,5792,True,2,NCP,5792,BARAMATI,1,1,2,False,0,0,True,True,4,44.4444444444444,Graduate,Agriculture,,,,
16,36,2014,4,0,4,1,ADHALRAO SHIVAJI DATTATREY,M,SHS,643415,GEN,1089506,1824112,Shirur,Pune,GEN,,14,59.73,59.06,no,301814,27.7,2.22,GEMH84264,State-based Party,18691,True,3,SHS,18691,SHIRUR,1,1,3,False,0,0,True,True,2,14.2857142857143,Others,Business,,Agriculture,,
16,37,2014,4,0,4,1,GANDHI DILIPKUMAR MANSUKHLAL,M,BJP,605185,GEN,1062318,1705005,Ahmadnagar,Ahilyanagar,GEN,,13,62.31,56.97,no,209122,19.69,2.17,GEMH80209,National Party,1605,True,3,BJP,1605,AHMADNAGAR,1,1,3,False,0,0,True,True,2,15.3846153846154,10th Pass,Social Work,,,,
16,38,2014,4,0,4,1,LOKHANDE SADASHIV KISAN,M,SHS,532936,SC,932645,1462267,Shirdi (SC),Ahilyanagar,SC,,14,63.78,57.14,no,199922,21.44,2.17,GEMH7863,State-based Party,18691,True,1,,,,,,1,False,1,7.14285714285714,False,False,4,28.5714285714286,10th Pass,Agriculture,,Social Work,,
16,39,2014,4,0,4,1,MUNDE GOPINATHRAO PANDURANG,M,BJP,635995,GEN,1232200,1792652,Beed,Beed,GEN,,39,68.74,51.61,no,136454,11.07,2.33,GEMH7907,National Party,1605,False,2,BJP,1605,BEED,1,1,2,False,0,0,True,True,4,10.2564102564103,Graduate Professional,Agriculture,,Social Work,,
16,40,2014,4,0,4,1,GAIKWAD RAVINDRA VISHWANATH,M,SHS,607699,GEN,1118151,1759186,Osmanabad,Dharashiv,GEN,,27,63.56,54.35,no,234325,20.96,2.44,AEMH104592,State-based Party,18691,True,2,SHS,18691,OSMANABAD,1,1,1,False,0,0,False,True,5,18.5185185185185,Post Graduate,Agriculture,,,,
16,40,2014,4,0,4,1,GAIKWAD RAVINDRA VISHWANATH,M,SHS,607699,GEN,1118151,1759186,Osmanabad,Latur,GEN,,27,63.56,54.35,no,234325,20.96,2.44,AEMH104592,State-based Party,18691,True,2,SHS,18691,OSMANABAD,1,1,1,False,0,0,False,True,5,18.5185185185185,Post Graduate,Agriculture,,,,
16,40,2014,4,0,4,1,GAIKWAD RAVINDRA VISHWANATH,M,SHS,607699,GEN,1118151,1759186,Osmanabad,Solapur,GEN,,27,63.56,54.35,no,234325,20.96,2.44,AEMH104592,State-based Party,18691,True,2,SHS,18691,OSMANABAD,1,1,1,False,0,0,False,True,5,18.5185185185185,Post Graduate,Agriculture,,,,
16,41,2014,4,0,4,1,DR. SUNIL BALIRAM GAIKWAD,M,BJP,616509,SC,1057156,1686957,Latur (SC),Latur,SC,,18,62.67,58.32,no,253395,23.97,2.17,GEMH79557,National Party,1605,True,2,BJP,1605,LATUR,1,1,1,False,0,0,False,True,2,11.1111111111111,Doctorate,Business,,Agriculture,,
16,41,2014,4,0,4,1,DR. SUNIL BALIRAM GAIKWAD,M,BJP,616509,SC,1057156,1686957,Latur (SC),Nanded,SC,,18,62.67,58.32,no,253395,23.97,2.17,GEMH79557,National Party,1605,True,2,BJP,1605,LATUR,1,1,1,False,0,0,False,True,2,11.1111111111111,Doctorate,Business,,Agriculture,,
16,42,2014,4,0,4,1,SHARAD BANSODE,M,BJP,517879,SC,951201,1702739,Solapur (SC),Solapur,SC,,16,55.86,54.44,no,149674,15.74,2.22,GEMH15619,National Party,1605,True,1,,,,,,1,False,0,0,False,False,2,12.5,Graduate Professional,Liberal Profession or Professional,Lawyer,,,
16,43,2014,4,0,4,1,MOHITE PATIL VIJAYSINH SHANKARRAO,M,NCP,489989,GEN,1079619,1727322,Madha,Satara,GEN,,24,62.5,45.39,no,25344,2.35,2.5,AEMH108908,State-based Party,5792,True,1,,,,,,1,False,0,0,False,False,2,8.33333333333333,10th Pass,Business,,Agriculture,,
16,43,2014,4,0,4,1,MOHITE PATIL VIJAYSINH SHANKARRAO,M,NCP,489989,GEN,1079619,1727322,Madha,Solapur,GEN,,24,62.5,45.39,no,25344,2.35,2.5,AEMH108908,State-based Party,5792,True,1,,,,,,1,False,0,0,False,False,2,8.33333333333333,10th Pass,Business,,Agriculture,,
16,44,2014,4,0,4,1,SANJAYKAKA PATIL,M,BJP,611563,GEN,1046659,1649107,Sangli,Sangli,GEN,,17,63.47,58.43,no,239292,22.86,2.13,GEMH8056,National Party,1605,True,1,,,,,,1,False,0,0,False,False,2,11.7647058823529,10th Pass,Business,,Agriculture,,
16,45,2014,4,0,4,1,SHRIMANT CHH.  UDAYANRAJE PRATAPSINHA BHONSALE,M,NCP,522531,GEN,976681,1719998,Satara,Satara,GEN,,18,56.78,53.5,no,366594,37.53,2.94,AEMH96605,State-based Party,5792,True,2,NCP,5792,SATARA,1,1,2,False,0,0,True,True,2,11.1111111111111,12th Pass,Business,,,,
16,46,2014,4,0,4,1,VINAYAK BHAURAO RAUT,M,SHS,493088,GEN,896256,1367362,Ratnagiri - Sindhudurg,Ratnagiri,GEN,,10,65.55,55.02,no,150051,16.74,2.22,AEMH94916,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,10,Post Graduate,Business,,Social Work,,
16,46,2014,4,0,4,1,VINAYAK BHAURAO RAUT,M,SHS,493088,GEN,896256,1367362,Ratnagiri - Sindhudurg,Sindhudurg,GEN,,10,65.55,55.02,no,150051,16.74,2.22,AEMH94916,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,10,Post Graduate,Business,,Social Work,,
16,47,2014,4,0,4,1,DHANANJAY BHIMRAO MAHADIK,M,NCP,607665,GEN,1260289,1758293,Kolhapur,Kolhapur,GEN,,15,71.68,48.22,no,33259,2.64,2.27,GEMH76170,State-based Party,5792,True,2,SHS,18691,KOLHAPUR,1,0,1,True,1,6.66666666666667,False,False,1,6.66666666666667,Graduate,Business,,,,
16,48,2014,4,0,4,1,RAJU SHETTY,M,SWP,640428,GEN,1188871,1630604,Hatkanangle,Kolhapur,GEN,,13,72.91,53.87,no,177810,14.96,2.27,GEMH8150,Local Party,12961,True,2,SWP,12961,HATKANANGLE,1,1,2,False,0,0,True,True,4,30.7692307692308,10th Pass,Agriculture,,,,
16,48,2014,4,0,4,1,RAJU SHETTY,M,SWP,640428,GEN,1188871,1630604,Hatkanangle,Sangli,GEN,,13,72.91,53.87,no,177810,14.96,2.27,GEMH8150,Local Party,12961,True,2,SWP,12961,HATKANANGLE,1,1,2,False,0,0,True,True,4,30.7692307692308,10th Pass,Agriculture,,,,
15,1,2009,4,0,4,1,GAVIT MANIKRAO HODLYA,M,INC,275936,ST,766240,1455543,Nandurbar (ST),Dhule,ST,,7,52.64,36.01,no,40843,5.33,3.45,GEMH82848,National Party,3482,True,9,INC,3482,NANDURBAR,1,1,9,False,0,0,True,True,2,28.5714285714286,5th Pass,Other,,,,
15,1,2009,4,0,4,1,GAVIT MANIKRAO HODLYA,M,INC,275936,ST,766240,1455543,Nandurbar (ST),Nandurbar,ST,,7,52.64,36.01,no,40843,5.33,3.45,GEMH82848,National Party,3482,True,9,INC,3482,NANDURBAR,1,1,9,False,0,0,True,True,2,28.5714285714286,5th Pass,Other,,,,
15,2,2009,4,0,4,1,SONAWANE PRATAP NARAYANRAO,M,BJP,263260,GEN,669906,1575225,Dhule,Dhule,GEN,,15,42.53,39.3,no,19419,2.9,3.33,GEMH6730,National Party,1605,True,1,,,,,,1,False,1,6.66666666666667,False,False,1,6.66666666666667,Graduate Professional,Other,,,,
15,2,2009,4,0,4,1,SONAWANE PRATAP NARAYANRAO,M,BJP,263260,GEN,669906,1575225,Dhule,Nashik,GEN,,15,42.53,39.3,no,19419,2.9,3.33,GEMH6730,National Party,1605,True,1,,,,,,1,False,1,6.66666666666667,False,False,1,6.66666666666667,Graduate Professional,Other,,,,
15,3,2009,4,0,4,1,A.T. NANA PATIL,M,BJP,343647,GEN,656567,1549391,Jalgaon,Jalgaon,GEN,,13,42.38,52.34,no,96020,14.62,2.44,GEMH6754,National Party,1605,True,1,,,,,,1,False,0,0,False,False,0,0,Graduate,Other,,,,
15,4,2009,4,0,4,1,HARIBHAU MADHAV JAWALE,M,BJP,328843,GEN,720006,1418691,Raver,Buldhana,GEN,,19,50.75,45.67,no,28218,3.92,2.63,AEMH92797,National Party,1605,True,2,BJP,1605,JALGAON,0,1,2,False,0,0,True,True,2,10.5263157894737,Graduate,Other,,,,
15,4,2009,4,0,4,1,HARIBHAU MADHAV JAWALE,M,BJP,328843,GEN,720006,1418691,Raver,Jalgaon,GEN,,19,50.75,45.67,no,28218,3.92,2.63,AEMH92797,National Party,1605,True,2,BJP,1605,JALGAON,0,1,2,False,0,0,True,True,2,10.5263157894737,Graduate,Other,,,,
15,5,2009,4,0,4,1,JADHAV PRATAPRAO GANPATRAO,M,SHS,353671,GEN,853133,1382736,Buldhana,Buldhana,GEN,,15,61.7,41.46,no,28078,3.29,3.03,AEMH102655,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,6.66666666666667,Graduate,Other,,,,
15,6,2009,4,0,4,1,DHOTRE SANJAY SHAMRAO,M,BJP,287526,GEN,738955,1480606,Akola,Akola,GEN,,11,49.91,38.91,no,64848,8.78,3.33,GEMH79219,National Party,1605,True,2,BJP,1605,AKOLA,1,1,2,False,0,0,True,True,2,18.1818181818182,Graduate Professional,Other,,,,
15,6,2009,4,0,4,1,DHOTRE SANJAY SHAMRAO,M,BJP,287526,GEN,738955,1480606,Akola,Washim,GEN,,11,49.91,38.91,no,64848,8.78,3.33,GEMH79219,National Party,1605,True,2,BJP,1605,AKOLA,1,1,2,False,0,0,True,True,2,18.1818181818182,Graduate Professional,Other,,,,
15,7,2009,4,0,4,1,ADSUL ANANDRAO VITHOBA,M,SHS,314286,SC,732492,1423855,Amravati (SC),Amravati,SC,,22,51.44,42.91,no,61716,8.43,3.23,GEMH81305,State-based Party,18691,True,5,SHS,18691,BULDHANA,0,1,4,False,1,4.54545454545455,True,True,3,13.6363636363636,Graduate,Other,,,,
15,8,2009,4,0,4,1,DATTA MEGHE,M,INC,352853,GEN,769132,1408781,Wardha,Amravati,GEN,,16,54.6,45.88,no,95918,12.47,2.86,GEMH45985,National Party,3482,True,5,NCP,5792,WARDHA,1,0,4,True,1,6.25,False,False,3,18.75,Graduate,Other,,,,
15,8,2009,4,0,4,1,DATTA MEGHE,M,INC,352853,GEN,769132,1408781,Wardha,Wardha,GEN,,16,54.6,45.88,no,95918,12.47,2.86,GEMH45985,National Party,3482,True,5,NCP,5792,WARDHA,1,0,4,True,1,6.25,False,False,3,18.75,Graduate,Other,,,,
15,9,2009,4,0,4,1,WASNIK MUKUL BALKRISHNA,M,INC,311614,SC,764712,1502900,Ramtek (SC),Nagpur,SC,,20,50.88,40.75,no,16701,2.18,3.03,GEMH32173,National Party,3482,True,8,INC,3482,BULDHANA,0,1,4,False,0,0,False,True,3,15,Post Graduate,Other,,,,
15,10,2009,4,0,4,1,MUTTEMWAR VILASRAO BABURAOJI,M,INC,315148,GEN,755369,1738920,Nagpur,Nagpur,GEN,,27,43.44,41.72,no,24399,3.23,2.94,GEMH27078,National Party,3482,True,8,INC,3482,NAGPUR,1,1,7,False,1,3.7037037037037,True,True,3,11.1111111111111,Graduate,Other,,,,
15,11,2009,4,0,4,1,PATEL PRAFUL MANOHARBHAI,M,NCP,489814,GEN,1030750,1450477,Bhandara - Gondiya,Bhandara,GEN,,21,71.06,47.52,no,251915,24.44,3.33,GEMH46033,State-based Party,5792,True,7,NCP,5792,BHANDARA,0,1,4,False,1,4.76190476190476,False,True,2,9.52380952380952,,,,,,
15,11,2009,4,0,4,1,PATEL PRAFUL MANOHARBHAI,M,NCP,489814,GEN,1030750,1450477,Bhandara - Gondiya,Gondia,GEN,,21,71.06,47.52,no,251915,24.44,3.33,GEMH46033,State-based Party,5792,True,7,NCP,5792,BHANDARA,0,1,4,False,1,4.76190476190476,False,True,2,9.52380952380952,,,,,,
15,12,2009,4,0,4,1,KOWASE MAROTRAO SAINUJI,M,INC,321756,ST,837247,1285387,Gadchiroli-Chimur (ST),Chandrapur,ST,,11,65.14,38.43,no,28580,3.41,3.33,AEMH108512,National Party,3482,True,1,,,,,,1,False,1,9.09090909090909,False,False,1,9.09090909090909,Graduate,Other,,,,
15,12,2009,4,0,4,1,KOWASE MAROTRAO SAINUJI,M,INC,321756,ST,837247,1285387,Gadchiroli-Chimur (ST),Gadchiroli,ST,,11,65.14,38.43,no,28580,3.41,3.33,AEMH108512,National Party,3482,True,1,,,,,,1,False,1,9.09090909090909,False,False,1,9.09090909090909,Graduate,Other,,,,
15,12,2009,4,0,4,1,KOWASE MAROTRAO SAINUJI,M,INC,321756,ST,837247,1285387,Gadchiroli-Chimur (ST),Gondia,ST,,11,65.14,38.43,no,28580,3.41,3.33,AEMH108512,National Party,3482,True,1,,,,,,1,False,1,9.09090909090909,False,False,1,9.09090909090909,Graduate,Other,,,,
15,13,2009,4,0,4,1,AHIR HANSARAJ GANGARAM,M,BJP,301467,GEN,898515,1536352,Chandrapur,Chandrapur,GEN,,23,58.48,33.55,no,32495,3.62,4.17,GEMH57616,National Party,1605,True,5,BJP,1605,CHANDRAPUR,1,1,3,False,0,0,True,True,6,26.0869565217391,10th Pass,Other,,,,
15,13,2009,4,0,4,1,AHIR HANSARAJ GANGARAM,M,BJP,301467,GEN,898515,1536352,Chandrapur,Yavatmal,GEN,,23,58.48,33.55,no,32495,3.62,4.17,GEMH57616,National Party,1605,True,5,BJP,1605,CHANDRAPUR,1,1,3,False,0,0,True,True,6,26.0869565217391,10th Pass,Other,,,,
15,14,2009,4,0,4,1,BHAVANA GAWALI (PATIL),F,SHS,384443,GEN,840064,1554042,Yavatmal-Washim,Washim,GEN,,28,54.06,45.76,no,56951,6.78,2.7,GEMH70645,State-based Party,18691,True,3,SHS,18691,WASHIM,0,1,3,False,0,0,True,True,3,10.7142857142857,Graduate,Other,,,,
15,14,2009,4,0,4,1,BHAVANA GAWALI (PATIL),F,SHS,384443,GEN,840064,1554042,Yavatmal-Washim,Yavatmal,GEN,,28,54.06,45.76,no,56951,6.78,2.7,GEMH70645,State-based Party,18691,True,3,SHS,18691,WASHIM,0,1,3,False,0,0,True,True,3,10.7142857142857,Graduate,Other,,,,
15,15,2009,4,0,4,1,SUBHASH BAPURAO WANKHEDE,M,SHS,340148,GEN,817467,1369774,Hingoli,Hingoli,GEN,,11,59.68,41.61,no,73634,9.01,3.33,AEMH99743,State-based Party,18691,True,1,,,,,,1,False,1,9.09090909090909,False,False,2,18.1818181818182,10th Pass,Other,,,,
15,15,2009,4,0,4,1,SUBHASH BAPURAO WANKHEDE,M,SHS,340148,GEN,817467,1369774,Hingoli,Nanded,GEN,,11,59.68,41.61,no,73634,9.01,3.33,AEMH99743,State-based Party,18691,True,1,,,,,,1,False,1,9.09090909090909,False,False,2,18.1818181818182,10th Pass,Other,,,,
15,15,2009,4,0,4,1,SUBHASH BAPURAO WANKHEDE,M,SHS,340148,GEN,817467,1369774,Hingoli,Yavatmal,GEN,,11,59.68,41.61,no,73634,9.01,3.33,AEMH99743,State-based Party,18691,True,1,,,,,,1,False,1,9.09090909090909,False,False,2,18.1818181818182,10th Pass,Other,,,,
15,16,2009,4,0,4,1,KHATGAONKAR PATIL BHASKARRAO BAPURAO,M,INC,346400,GEN,774590,1439015,Nanded,Nanded,GEN,,22,53.83,44.72,no,74614,9.63,3.03,GEMH84199,National Party,3482,True,4,INC,3482,NANDED,1,1,3,False,0,0,False,True,4,18.1818181818182,Graduate,Other,,,,
15,17,2009,4,0,4,1,ADV. DUDHGAONKAR GANESHRAO NAGORAO,M,SHS,385387,GEN,870726,1610088,Parbhani,Jalna,GEN,,19,54.08,44.26,no,65418,7.51,2.86,GEMH57719,State-based Party,18691,True,2,IND,10809,PARBHANI,1,0,1,False,0,0,False,False,2,10.5263157894737,Graduate Professional,Other,,,,
15,17,2009,4,0,4,1,ADV. DUDHGAONKAR GANESHRAO NAGORAO,M,SHS,385387,GEN,870726,1610088,Parbhani,Parbhani,GEN,,19,54.08,44.26,no,65418,7.51,2.86,GEMH57719,State-based Party,18691,True,2,IND,10809,PARBHANI,1,0,1,False,0,0,False,False,2,10.5263157894737,Graduate Professional,Other,,,,
15,18,2009,4,0,4,1,DANVE RAOSAHEB DADARAO,M,BJP,350710,GEN,797127,1426255,Jalna,Chhatrapati Sambhaji Nagar,GEN,,19,55.89,44,no,8482,1.06,2.7,GEMH70718,National Party,1605,True,3,BJP,1605,JALNA,1,1,3,False,0,0,True,True,2,10.5263157894737,12th Pass,Other,,,,
15,18,2009,4,0,4,1,DANVE RAOSAHEB DADARAO,M,BJP,350710,GEN,797127,1426255,Jalna,Jalna,GEN,,19,55.89,44,no,8482,1.06,2.7,GEMH70718,National Party,1605,True,3,BJP,1605,JALNA,1,1,3,False,0,0,True,True,2,10.5263157894737,12th Pass,Other,,,,
15,19,2009,4,0,4,1,CHANDRAKANT KHAIRE,M,SHS,255896,GEN,731147,1417964,Aurangabad,Chhatrapati Sambhaji Nagar,GEN,,22,51.56,35,no,33014,4.52,4,GEMH70725,State-based Party,18691,True,3,SHS,18691,AURANGABAD,1,1,3,False,0,0,True,True,2,9.09090909090909,12th Pass,Other,,,,
