Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,No. of Valid Votes Casted,No. of Registered Electors,Select Constituency,District,Constituency Type,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No. of Terms Held by Winner,Turncoat,No. of Turncoat Candidates,% of Candidates Turncoat,Incumbent,Recontest,No. of Recontesting Candidates,% of Candidates Recontesting,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,23,2019,4,0,4,1,KAPIL MORESHWAR PATIL,M,BJP,523583,GEN,1005172,1890100,Bhiwandi,Thane,GEN,,15,53.18,52.09,no,156329,15.55,2.5,GEMH7307,National Party,1605,True,2,BJP,1605,BHIWANDI,1,1,2,False,2,13.3333333333333,True,True,4,26.6666666666667,Graduate,Business,,,,
17,24,2019,4,0,4,1,Dr. SHRIKANT EKNATH SHINDE,M,SHS,559723,GEN,890313,1965676,Kalyan,Thane,GEN,,28,45.29,62.87,no,344343,38.68,2.13,GEMH7371,State-based Party,18691,True,2,SHS,18691,KALYAN,1,1,2,False,0,0,True,True,4,14.2857142857143,Post Graduate,Business,,,,
17,25,2019,4,0,4,1,RAJAN BABURAO VICHARE,M,SHS,740969,GEN,1170518,2370903,Thane,Thane,GEN,,23,49.37,63.3,no,412145,35.21,2.08,GEMH7400,State-based Party,18691,True,2,SHS,18691,THANE,1,1,2,False,1,4.34782608695652,True,True,5,21.7391304347826,12th Pass,Business,,,,
17,26,2019,4,0,4,1,Gopal Shetty,M,BJP,706678,GEN,989759,1647350,Mumbai North,Mumbai Suburban,GEN,,18,60.08,71.4,no,465247,47.01,1.75,GEMH7436,National Party,1605,True,2,BJP,1605,MUMBAI NORTH,1,1,2,False,1,5.55555555555556,True,True,2,11.1111111111111,5th Pass,Small Business or Self-employed,,,,
17,27,2019,4,0,4,1,Gajanan Kirtikar,M,SHS,570063,GEN,941497,1732263,Mumbai North West,Mumbai Suburban,GEN,,21,54.35,60.55,no,260328,27.65,2.08,GEMH7479,State-based Party,18691,True,3,SHS,18691,MUMBAI NORTH WEST,1,1,2,False,1,4.76190476190476,True,True,2,9.52380952380952,Graduate,Salaried Work or Employed,Qualified Professional,Agriculture,,
17,28,2019,4,0,4,1,Manoj Kotak,M,BJP,514599,,908993,1588693,Mumbai North East,Mumbai Suburban,GEN,,27,57.22,56.61,no,226486,24.92,2.33,GEMH114699,National Party,1605,True,1,,,,,,1,False,0,0,False,False,2,7.40740740740741,10th Pass,Business,,,,
17,29,2019,4,0,4,1,POONAM MAHAJAN,F,BJP,486672,GEN,901784,1679891,Mumbai North Central,Mumbai Suburban,GEN,,20,53.68,53.97,no,130005,14.42,2.22,AEMH90538,National Party,1605,True,2,BJP,1605,MUMBAI NORTH CENTRAL,1,1,2,False,0,0,True,True,2,10,Others,Politics,Party Worker,,,
17,30,2019,4,0,4,1,Rahul Ramesh Shewale,M,SHS,424913,GEN,797250,1440380,Mumbai South Central,Mumbai City,GEN,,17,55.35,53.3,no,152139,19.08,2.44,AEMH92368,State-based Party,18691,True,2,SHS,18691,MUMBAI SOUTH CENTRAL,1,1,2,False,0,0,True,True,3,17.6470588235294,Others,Politics,MP,,,
17,30,2019,4,0,4,1,Rahul Ramesh Shewale,M,SHS,424913,GEN,797250,1440380,Mumbai South Central,Mumbai Suburban,GEN,,17,55.35,53.3,no,152139,19.08,2.44,AEMH92368,State-based Party,18691,True,2,SHS,18691,MUMBAI SOUTH CENTRAL,1,1,2,False,0,0,True,True,3,17.6470588235294,Others,Politics,MP,,,
17,31,2019,4,0,4,1,Arvind Ganpat Sawant,M,SHS,421937,GEN,801611,1554176,Mumbai South,Mumbai City,GEN,,13,51.58,52.64,no,100067,12.48,2.27,GEMH7645,State-based Party,18691,True,2,SHS,18691,MUMBAI   SOUTH,1,1,2,False,0,0,True,True,3,23.0769230769231,Graduate,Politics,MP,Social Work,Trade Union,
17,32,2019,4,0,4,1,Tatkare Sunil Dattatray,M,NCP,486968,,1025467,1652965,Raigad,Raigad,GEN,,16,62.04,47.49,no,31438,3.07,2.33,AEMH105451,State-based Party,5792,True,2,NCP,5792,RAIGAD,1,1,1,False,1,6.25,False,True,3,18.75,Others,Agriculture,,,,
17,32,2019,4,0,4,1,Tatkare Sunil Dattatray,M,NCP,486968,,1025467,1652965,Raigad,Ratnagiri,GEN,,16,62.04,47.49,no,31438,3.07,2.33,AEMH105451,State-based Party,5792,True,2,NCP,5792,RAIGAD,1,1,1,False,1,6.25,False,True,3,18.75,Others,Agriculture,,,,
17,33,2019,4,0,4,1,SHRIRANG APPA CHANDU BARNE,M,SHS,720663,GEN,1368872,2298080,Maval,Pune,GEN,,21,59.57,52.65,no,215913,15.77,2.38,AEMH90951,State-based Party,18691,True,2,SHS,18691,MAVAL,1,1,2,False,0,0,True,True,1,4.76190476190476,8th Pass,Business,Real Estate or Builder or Developer or Construction,Agriculture,,
17,33,2019,4,0,4,1,SHRIRANG APPA CHANDU BARNE,M,SHS,720663,GEN,1368872,2298080,Maval,Raigad,GEN,,21,59.57,52.65,no,215913,15.77,2.38,AEMH90951,State-based Party,18691,True,2,SHS,18691,MAVAL,1,1,2,False,0,0,True,True,1,4.76190476190476,8th Pass,Business,Real Estate or Builder or Developer or Construction,Agriculture,,
17,34,2019,4,0,4,1,Girish Bhalchandra Bapat,M,BJP,632835,GEN,1035236,2075824,Pune,Pune,GEN,,31,49.87,61.13,no,324628,31.36,2.17,GEMH115179,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,3.2258064516129,Graduate,Retired or Pension,,,,
17,35,2019,4,0,4,1,Supriya Sule,F,NCP,686714,GEN,1304728,2114663,Baramati,Pune,GEN,,18,61.7,52.63,no,155774,11.94,2.22,GEMH7823,State-based Party,5792,True,3,NCP,5792,BARAMATI,1,1,3,False,0,0,True,True,2,11.1111111111111,Graduate,Business,,Agriculture,,
17,36,2019,4,0,4,1,Dr. Amol Ramsing Kolhe,M,NCP,635830,,1293117,2175529,Shirur,Pune,GEN,,23,59.44,49.17,no,58483,4.52,2.27,GEMH115222,State-based Party,5792,True,1,,,,,,1,False,0,0,False,False,3,13.0434782608696,Graduate Professional,Business,,,,
17,37,2019,4,0,4,1,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,M,BJP,704660,,1203797,1861396,Ahmadnagar,Ahilyanagar,GEN,,19,64.67,58.54,no,281474,23.38,2.17,GEMH115241,National Party,1605,True,1,,,,,,1,False,0,0,False,False,1,5.26315789473684,Doctorate,Salaried Work or Employed,,Social Work,,
17,38,2019,4,0,4,1,SADASHIV KISAN LOKHANDE,M,SHS,486820,SC,1029362,1587079,Shirdi (SC),Ahilyanagar,SC,,20,64.86,47.29,no,120195,11.68,2.86,GEMH7863,State-based Party,18691,True,2,SHS,18691,SHIRDI,1,1,2,False,0,0,True,True,2,10,10th Pass,Politics,MP,Agriculture,,
17,39,2019,4,0,4,1,Pritam Gopinathrao Munde,F,BJP,678175,GEN,1352399,2045405,Beed,Beed,GEN,,36,66.12,50.15,no,168368,12.45,2.56,GEMH82716,National Party,1605,True,2,BJP,1605,BEED,1,1,2,False,1,2.77777777777778,True,True,2,5.55555555555556,Post Graduate,Agriculture,,Social Work,,
