Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
16,19,2014,4,0,4,5,None of the Above,NOTA,NOTA,6372,,982933,1589395,Aurangabad,Chhatrapati Sambhaji Nagar,GEN,,27,61.84,0.65,,237,0.02,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,20,2014,4,0,4,5,None of the Above,NOTA,NOTA,10897,,970182,1530208,Dindori (ST),Nashik,ST,,10,63.4,1.12,,630,0.06,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,21,2014,4,0,4,7,None of the Above,NOTA,NOTA,8916,,937405,1593774,Nashik,Nashik,GEN,,15,58.82,0.95,,5124,0.55,2.56,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,22,2014,4,0,4,4,None of the Above,NOTA,NOTA,21797,,992618,1578149,Palghar (ST),Palghar,ST,,10,62.9,2.2,,5615,0.57,2.56,,NOTA,5897,False,,,,,,,,,,,,,,,,
16,23,2014,4,0,4,7,None of the Above,NOTA,NOTA,9311,,875605,1696584,Bhiwandi,Thane,GEN,,13,51.61,1.06,,3370,0.38,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,24,2014,4,0,4,6,None of the Above,NOTA,NOTA,9185,,824196,1922034,Kalyan,Thane,GEN,,18,42.88,1.11,,5654,0.69,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,25,2014,4,0,4,5,None of the Above,NOTA,NOTA,13174,,1054189,2073251,Thane,Thane,GEN,,26,50.85,1.25,,2192,0.21,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,26,2014,4,0,4,4,None of the Above,NOTA,NOTA,8758,,946562,1783870,Mumbai North,Mumbai Suburban,GEN,,21,53.06,0.93,,3252,0.34,1.85,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,27,2014,4,0,4,5,None of the Above,NOTA,NOTA,11009,,895517,1775416,Mumbai North West,Mumbai Suburban,GEN,,14,50.44,1.23,,734,0.08,2.63,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,28,2014,4,0,4,6,None of the Above,NOTA,NOTA,7114,,861761,1668357,Mumbai North East,Mumbai Suburban,GEN,,19,51.65,0.83,,4330,0.5,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,29,2014,4,0,4,6,None of the Above,NOTA,NOTA,6937,,845292,1737084,Mumbai North Central,Mumbai Suburban,GEN,,21,48.66,0.82,,4838,0.57,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,30,2014,4,0,4,6,None of the Above,NOTA,NOTA,9571,,768627,1447886,Mumbai South Central,Mumbai City,GEN,,21,53.09,1.25,,3998,0.52,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,30,2014,4,0,4,6,None of the Above,NOTA,NOTA,9571,,768627,1447886,Mumbai South Central,Mumbai Suburban,GEN,,21,53.09,1.25,,3998,0.52,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
