District,Year,Taluka,Rural/Urban,Number,Children,Infants
Ahilyanagar,2012,Akole,Total,1363,207,59
Ahilyanagar,2012,Akole,Rural,1363,207,59
Ahilyanagar,2012,Akole,Urban,0,0,0
Ahilyanagar,2012,Jamkhed,Total,936,37,18
Ahilyanagar,2012,Jamkhed,Rural,936,37,18
Ahilyanagar,2012,Jamkhed,Urban,0,0,0
Ahilyanagar,2012,Karjat,Total,985,72,13
Ahilyanagar,2012,Karjat,Rural,985,72,13
Ahilyanagar,2012,Karjat,Urban,0,0,0
Ahilyanagar,2012,Kopargaon,Total,1523,104,63
Ahilyanagar,2012,Kopargaon,Rural,1086,97,54
Ahilyanagar,2012,Kopargaon,Urban,437,7,9
Ahilyanagar,2012,Nagar,Total,5499,154,63
Ahilyanagar,2012,Nagar,Rural,1662,140,58
Ahilyanagar,2012,Nagar,Urban,3837,14,5
Ahilyanagar,2012,Nevasa,Total,1637,115,50
Ahilyanagar,2012,Nevasa,Rural,1637,115,50
Ahilyanagar,2012,Nevasa,Urban,0,0,0
Ahilyanagar,2012,Parner,Total,1554,66,15
Ahilyanagar,2012,Parner,Rural,1554,66,15
Ahilyanagar,2012,Parner,Urban,0,0,0
Ahilyanagar,2012,Pathardi,Total,949,79,18
Ahilyanagar,2012,Pathardi,Rural,816,79,18
Ahilyanagar,2012,Pathardi,Urban,133,0,0
Ahilyanagar,2012,Rahata,Total,3351,106,66
Ahilyanagar,2012,Rahata,Rural,2422,97,62
Ahilyanagar,2012,Rahata,Urban,929,9,4
Ahilyanagar,2012,Rahuri,Total,1438,148,13
Ahilyanagar,2012,Rahuri,Rural,1075,131,6
Ahilyanagar,2012,Rahuri,Urban,363,17,7
Ahilyanagar,2012,Sangamner,Total,2336,158,43
Ahilyanagar,2012,Sangamner,Rural,1700,147,38
Ahilyanagar,2012,Sangamner,Urban,636,11,5
Ahilyanagar,2012,Shevgaon,Total,1332,78,21
Ahilyanagar,2012,Shevgaon,Rural,1332,78,21
Ahilyanagar,2012,Shevgaon,Urban,0,0,0
Ahilyanagar,2012,Srigonda,Total,1465,145,20
Ahilyanagar,2012,Srigonda,Rural,1275,141,17
Ahilyanagar,2012,Srigonda,Urban,190,4,3
Ahilyanagar,2012,Srirampur,Total,1409,75,25
Ahilyanagar,2012,Srirampur,Rural,888,60,17
Ahilyanagar,2012,Srirampur,Urban,521,15,8
Ahilyanagar,2013,Akole,Total,1554,206,72
Ahilyanagar,2013,Akole,Rural,1554,206,72
Ahilyanagar,2013,Akole,Urban,0,0,0
Ahilyanagar,2013,Jamkhed,Total,980,39,19
Ahilyanagar,2013,Jamkhed,Rural,980,39,19
Ahilyanagar,2013,Jamkhed,Urban,0,0,0
Ahilyanagar,2013,Karjat,Total,1012,74,13
Ahilyanagar,2013,Karjat,Rural,1012,74,13
Ahilyanagar,2013,Karjat,Urban,0,0,0
Ahilyanagar,2013,Kopargaon,Total,1505,101,67
Ahilyanagar,2013,Kopargaon,Rural,1097,93,58
Ahilyanagar,2013,Kopargaon,Urban,408,8,9
Ahilyanagar,2013,Nagar,Total,5474,154,364
Ahilyanagar,2013,Nagar,Rural,1581,141,76
Ahilyanagar,2013,Nagar,Urban,3893,13,288
Ahilyanagar,2013,Nevasa,Total,1731,105,53
Ahilyanagar,2013,Nevasa,Rural,1731,105,53
Ahilyanagar,2013,Nevasa,Urban,0,0,0
Ahilyanagar,2013,Parner,Total,1332,73,20
Ahilyanagar,2013,Parner,Rural,1332,73,20
Ahilyanagar,2013,Parner,Urban,0,0,0
Ahilyanagar,2013,Pathardi,Total,983,87,29
Ahilyanagar,2013,Pathardi,Rural,833,79,24
Ahilyanagar,2013,Pathardi,Urban,150,8,5
Ahilyanagar,2013,Rahata,Total,3351,100,102
Ahilyanagar,2013,Rahata,Rural,2416,90,97
Ahilyanagar,2013,Rahata,Urban,935,10,5
Ahilyanagar,2013,Rahuri,Total,1482,146,28
Ahilyanagar,2013,Rahuri,Rural,1060,126,8
Ahilyanagar,2013,Rahuri,Urban,422,20,20
Ahilyanagar,2013,Sangamner,Total,2311,162,45
Ahilyanagar,2013,Sangamner,Rural,1675,148,39
Ahilyanagar,2013,Sangamner,Urban,636,14,6
Ahilyanagar,2013,Shevgaon,Total,1413,70,53
Ahilyanagar,2013,Shevgaon,Rural,1413,70,53
Ahilyanagar,2013,Shevgaon,Urban,0,0,0
Ahilyanagar,2013,Srigonda,Total,1508,141,20
Ahilyanagar,2013,Srigonda,Rural,1276,134,17
Ahilyanagar,2013,Srigonda,Urban,232,7,3
Ahilyanagar,2013,Srirampur,Total,1441,70,49
Ahilyanagar,2013,Srirampur,Rural,888,55,33
Ahilyanagar,2013,Srirampur,Urban,553,15,16
Ahilyanagar,2014,Akole,Total,1636,123,86
Ahilyanagar,2014,Akole,Rural,1636,123,86
Ahilyanagar,2014,Akole,Urban,0,0,0
Ahilyanagar,2014,Jamkhed,Total,993,38,28
Ahilyanagar,2014,Jamkhed,Rural,708,38,28
Ahilyanagar,2014,Jamkhed,Urban,285,0,0
Ahilyanagar,2014,Karjat,Total,969,56,49
Ahilyanagar,2014,Karjat,Rural,969,56,49
Ahilyanagar,2014,Karjat,Urban,0,0,0
Ahilyanagar,2014,Kopargaon,Total,1615,49,3
Ahilyanagar,2014,Kopargaon,Rural,1031,45,0
Ahilyanagar,2014,Kopargaon,Urban,584,4,3
Ahilyanagar,2014,Nagar,Total,5844,256,180
Ahilyanagar,2014,Nagar,Rural,1478,117,65
Ahilyanagar,2014,Nagar,Urban,4366,139,115
Ahilyanagar,2014,Nevasa,Total,1702,126,109
Ahilyanagar,2014,Nevasa,Rural,1702,126,109
Ahilyanagar,2014,Nevasa,Urban,0,0,0
Ahilyanagar,2014,Parner,Total,1536,65,43
Ahilyanagar,2014,Parner,Rural,1536,65,43
Ahilyanagar,2014,Parner,Urban,0,0,0
Ahilyanagar,2014,Pathardi,Total,1443,100,72
Ahilyanagar,2014,Pathardi,Rural,1134,79,65
Ahilyanagar,2014,Pathardi,Urban,309,21,7
Ahilyanagar,2014,Rahata,Total,2623,153,69
Ahilyanagar,2014,Rahata,Rural,1746,79,65
Ahilyanagar,2014,Rahata,Urban,877,74,4
Ahilyanagar,2014,Rahuri,Total,1422,67,37
Ahilyanagar,2014,Rahuri,Rural,1009,52,24
Ahilyanagar,2014,Rahuri,Urban,413,15,13
Ahilyanagar,2014,Sangamner,Total,2657,82,127
Ahilyanagar,2014,Sangamner,Rural,1659,82,125
Ahilyanagar,2014,Sangamner,Urban,998,0,2
Ahilyanagar,2014,Shevgaon,Total,1266,90,68
Ahilyanagar,2014,Shevgaon,Rural,1266,90,68
Ahilyanagar,2014,Shevgaon,Urban,0,0,0
Ahilyanagar,2014,Srigonda,Total,1534,133,60
Ahilyanagar,2014,Srigonda,Rural,1328,132,60
Ahilyanagar,2014,Srigonda,Urban,206,1,0
Ahilyanagar,2014,Srirampur,Total,1677,84,53
Ahilyanagar,2014,Srirampur,Rural,754,63,48
Ahilyanagar,2014,Srirampur,Urban,923,21,5
Ahilyanagar,2015,Akole,Total,1507,96,77
Ahilyanagar,2015,Akole,Rural,1474,96,77
Ahilyanagar,2015,Akole,Urban,33,0,0
Ahilyanagar,2015,Jamkhed,Total,702,25,20
Ahilyanagar,2015,Jamkhed,Rural,531,25,20
Ahilyanagar,2015,Jamkhed,Urban,171,0,0
Ahilyanagar,2015,Karjat,Total,889,62,52
Ahilyanagar,2015,Karjat,Rural,853,62,52
Ahilyanagar,2015,Karjat,Urban,36,0,0
Ahilyanagar,2015,Kopargaon,Total,2135,76,63
Ahilyanagar,2015,Kopargaon,Rural,1353,76,62
Ahilyanagar,2015,Kopargaon,Urban,782,0,1
Ahilyanagar,2015,Nagar,Total,5712,100,80
Ahilyanagar,2015,Nagar,Rural,1376,83,67
Ahilyanagar,2015,Nagar,Urban,4336,17,13
Ahilyanagar,2015,Nevasa,Total,1452,93,76
Ahilyanagar,2015,Nevasa,Rural,1452,93,76
Ahilyanagar,2015,Nevasa,Urban,0,0,0
Ahilyanagar,2015,Parner,Total,1385,61,53
Ahilyanagar,2015,Parner,Rural,1385,61,53
Ahilyanagar,2015,Parner,Urban,0,0,0
Ahilyanagar,2015,Pathardi,Total,1183,94,79
Ahilyanagar,2015,Pathardi,Rural,879,94,77
Ahilyanagar,2015,Pathardi,Urban,304,0,2
Ahilyanagar,2015,Rahata,Total,3267,94,77
Ahilyanagar,2015,Rahata,Rural,1755,94,77
Ahilyanagar,2015,Rahata,Urban,1512,0,0
Ahilyanagar,2015,Rahuri,Total,1678,102,45
Ahilyanagar,2015,Rahuri,Rural,940,96,45
Ahilyanagar,2015,Rahuri,Urban,738,6,0
Ahilyanagar,2015,Sangamner,Total,2555,121,95
Ahilyanagar,2015,Sangamner,Rural,1596,119,92
Ahilyanagar,2015,Sangamner,Urban,959,2,3
Ahilyanagar,2015,Shevgaon,Total,1060,82,65
Ahilyanagar,2015,Shevgaon,Rural,1060,82,65
Ahilyanagar,2015,Shevgaon,Urban,0,0,0
Ahilyanagar,2015,Srigonda,Total,1561,118,61
Ahilyanagar,2015,Srigonda,Rural,1247,118,53
Ahilyanagar,2015,Srigonda,Urban,314,0,8
Ahilyanagar,2015,Srirampur,Total,2252,52,44
Ahilyanagar,2015,Srirampur,Rural,795,52,44
Ahilyanagar,2015,Srirampur,Urban,1457,0,0
Ahilyanagar,2016,Akole,Total,929,45,31
Ahilyanagar,2016,Akole,Rural,929,45,31
Ahilyanagar,2016,Akole,Urban,0,0,0
Ahilyanagar,2016,Jamkhed,Total,446,8,5
Ahilyanagar,2016,Jamkhed,Rural,446,8,5
Ahilyanagar,2016,Jamkhed,Urban,0,0,0
Ahilyanagar,2016,Karjat,Total,876,25,15
Ahilyanagar,2016,Karjat,Rural,876,25,15
Ahilyanagar,2016,Karjat,Urban,0,0,0
Ahilyanagar,2016,Kopargaon,Total,973,16,12
Ahilyanagar,2016,Kopargaon,Rural,973,16,12
Ahilyanagar,2016,Kopargaon,Urban,0,0,0
Ahilyanagar,2016,Nagar,Total,2350,193,155
Ahilyanagar,2016,Nagar,Rural,1357,29,8
Ahilyanagar,2016,Nagar,Urban,993,164,147
Ahilyanagar,2016,Nevasa,Total,986,44,34
Ahilyanagar,2016,Nevasa,Rural,986,44,34
Ahilyanagar,2016,Nevasa,Urban,0,0,0
Ahilyanagar,2016,Parner,Total,659,21,14
Ahilyanagar,2016,Parner,Rural,659,21,14
Ahilyanagar,2016,Parner,Urban,0,0,0
Ahilyanagar,2016,Pathardi,Total,961,28,19
Ahilyanagar,2016,Pathardi,Rural,956,28,19
Ahilyanagar,2016,Pathardi,Urban,5,0,0
Ahilyanagar,2016,Rahata,Total,884,32,19
Ahilyanagar,2016,Rahata,Rural,884,32,19
Ahilyanagar,2016,Rahata,Urban,0,0,0
Ahilyanagar,2016,Rahuri,Total,1495,36,19
Ahilyanagar,2016,Rahuri,Rural,1495,36,19
Ahilyanagar,2016,Rahuri,Urban,0,0,0
Ahilyanagar,2016,Sangamner,Total,1487,41,31
Ahilyanagar,2016,Sangamner,Rural,1487,41,31
Ahilyanagar,2016,Sangamner,Urban,0,0,0
Ahilyanagar,2016,Shevgaon,Total,580,24,19
Ahilyanagar,2016,Shevgaon,Rural,580,24,19
Ahilyanagar,2016,Shevgaon,Urban,0,0,0
Ahilyanagar,2016,Srigonda,Total,732,14,8
Ahilyanagar,2016,Srigonda,Rural,732,14,8
Ahilyanagar,2016,Srigonda,Urban,0,0,0
Ahilyanagar,2016,Srirampur,Total,782,22,11
Ahilyanagar,2016,Srirampur,Rural,782,22,11
Ahilyanagar,2016,Srirampur,Urban,0,0,0
Ahilyanagar,2017,Akole,Total,929,45,31
Ahilyanagar,2017,Akole,Rural,929,45,31
Ahilyanagar,2017,Akole,Urban,0,0,0
Ahilyanagar,2017,Jamkhed,Total,446,8,5
Ahilyanagar,2017,Jamkhed,Rural,446,8,5
Ahilyanagar,2017,Jamkhed,Urban,0,0,0
Ahilyanagar,2017,Karjat,Total,876,25,15
Ahilyanagar,2017,Karjat,Rural,876,25,15
Ahilyanagar,2017,Karjat,Urban,0,0,0
Ahilyanagar,2017,Kopargaon,Total,973,16,12
Ahilyanagar,2017,Kopargaon,Rural,973,16,12
Ahilyanagar,2017,Kopargaon,Urban,0,0,0
Ahilyanagar,2017,Nagar,Total,2350,193,155
Ahilyanagar,2017,Nagar,Rural,1357,29,8
Ahilyanagar,2017,Nagar,Urban,993,164,147
Ahilyanagar,2017,Nevasa,Total,986,44,34
Ahilyanagar,2017,Nevasa,Rural,986,44,34
Ahilyanagar,2017,Nevasa,Urban,0,0,0
Ahilyanagar,2017,Parner,Total,659,21,14
Ahilyanagar,2017,Parner,Rural,659,21,14
Ahilyanagar,2017,Parner,Urban,0,0,0
Ahilyanagar,2017,Pathardi,Total,961,28,19
Ahilyanagar,2017,Pathardi,Rural,956,28,19
Ahilyanagar,2017,Pathardi,Urban,5,0,0
Ahilyanagar,2017,Rahata,Total,884,32,19
Ahilyanagar,2017,Rahata,Rural,884,32,19
Ahilyanagar,2017,Rahata,Urban,0,0,0
Ahilyanagar,2017,Rahuri,Total,1495,36,19
Ahilyanagar,2017,Rahuri,Rural,1495,36,19
Ahilyanagar,2017,Rahuri,Urban,0,0,0
Ahilyanagar,2017,Sangamner,Total,1487,41,31
Ahilyanagar,2017,Sangamner,Rural,1487,41,31
Ahilyanagar,2017,Sangamner,Urban,0,0,0
Ahilyanagar,2017,Shevgaon,Total,580,24,19
Ahilyanagar,2017,Shevgaon,Rural,580,24,19
Ahilyanagar,2017,Shevgaon,Urban,0,0,0
Ahilyanagar,2017,Srigonda,Total,732,14,8
Ahilyanagar,2017,Srigonda,Rural,732,14,8
Ahilyanagar,2017,Srigonda,Urban,0,0,0
Ahilyanagar,2017,Srirampur,Total,782,22,11
Ahilyanagar,2017,Srirampur,Rural,782,22,11
Ahilyanagar,2017,Srirampur,Urban,0,0,0
Ahilyanagar,2018,Akole,Total,976,78,62
Ahilyanagar,2018,Akole,Rural,976,78,62
Ahilyanagar,2018,Akole,Urban,0,0,0
Ahilyanagar,2018,Jamkhed,Total,441,32,27
Ahilyanagar,2018,Jamkhed,Rural,441,32,27
Ahilyanagar,2018,Jamkhed,Urban,0,0,0
Ahilyanagar,2018,Karjat,Total,295,4,3
Ahilyanagar,2018,Karjat,Rural,295,4,3
Ahilyanagar,2018,Karjat,Urban,0,0,0
Ahilyanagar,2018,Kopargaon,Total,560,20,13
Ahilyanagar,2018,Kopargaon,Rural,560,20,13
Ahilyanagar,2018,Kopargaon,Urban,0,0,0
Ahilyanagar,2018,Nagar,Total,2239,429,378
Ahilyanagar,2018,Nagar,Rural,1046,39,27
Ahilyanagar,2018,Nagar,Urban,1193,390,351
Ahilyanagar,2018,Nevasa,Total,398,37,33
Ahilyanagar,2018,Nevasa,Rural,398,37,33
Ahilyanagar,2018,Nevasa,Urban,0,0,0
Ahilyanagar,2018,Parner,Total,345,38,30
Ahilyanagar,2018,Parner,Rural,345,38,30
Ahilyanagar,2018,Parner,Urban,0,0,0
Ahilyanagar,2018,Pathardi,Total,892,19,13
Ahilyanagar,2018,Pathardi,Rural,892,19,13
Ahilyanagar,2018,Pathardi,Urban,0,0,0
Ahilyanagar,2018,Rahata,Total,312,9,6
Ahilyanagar,2018,Rahata,Rural,312,9,6
Ahilyanagar,2018,Rahata,Urban,0,0,0
Ahilyanagar,2018,Rahuri,Total,1558,41,35
Ahilyanagar,2018,Rahuri,Rural,1558,41,35
Ahilyanagar,2018,Rahuri,Urban,0,0,0
Ahilyanagar,2018,Sangamner,Total,1582,102,81
Ahilyanagar,2018,Sangamner,Rural,1582,102,81
Ahilyanagar,2018,Sangamner,Urban,0,0,0
Ahilyanagar,2018,Shevgaon,Total,617,57,51
Ahilyanagar,2018,Shevgaon,Rural,617,57,51
Ahilyanagar,2018,Shevgaon,Urban,0,0,0
Ahilyanagar,2018,Srigonda,Total,598,47,45
Ahilyanagar,2018,Srigonda,Rural,598,47,45
Ahilyanagar,2018,Srigonda,Urban,0,0,0
Ahilyanagar,2018,Srirampur,Total,623,20,15
Ahilyanagar,2018,Srirampur,Rural,623,20,15
Ahilyanagar,2018,Srirampur,Urban,0,0,0
Ahilyanagar,2019,Akole,Total,776,590,1366
Ahilyanagar,2019,Akole,Rural,730,565,1295
Ahilyanagar,2019,Akole,Urban,46,25,71
Ahilyanagar,2019,Jamkhed,Total,184,126,310
Ahilyanagar,2019,Jamkhed,Rural,46,29,75
Ahilyanagar,2019,Jamkhed,Urban,138,97,235
Ahilyanagar,2019,Karjat,Total,464,349,813
Ahilyanagar,2019,Karjat,Rural,426,314,740
Ahilyanagar,2019,Karjat,Urban,38,35,73
Ahilyanagar,2019,Kopargaon,Total,1308,827,2135
Ahilyanagar,2019,Kopargaon,Rural,697,534,1231
Ahilyanagar,2019,Kopargaon,Urban,432,278,710
Ahilyanagar,2019,Nagar,Total,3967,2485,6452
Ahilyanagar,2019,Nagar,Rural,1073,799,1872
Ahilyanagar,2019,Nagar,Urban,2894,1686,4580
Ahilyanagar,2019,Nevasa,Total,755,518,1273
Ahilyanagar,2019,Nevasa,Rural,672,485,1157
Ahilyanagar,2019,Nevasa,Urban,83,33,116
Ahilyanagar,2019,Parner,Total,639,555,1194
Ahilyanagar,2019,Parner,Rural,639,555,1194
Ahilyanagar,2019,Parner,Urban,0,0,0
Ahilyanagar,2019,Pathardi,Total,643,413,1056
Ahilyanagar,2019,Pathardi,Rural,439,285,724
Ahilyanagar,2019,Pathardi,Urban,204,128,332
Ahilyanagar,2019,Rahata,Total,1746,1224,2970
Ahilyanagar,2019,Rahata,Rural,1114,863,1977
Ahilyanagar,2019,Rahata,Urban,632,361,993
Ahilyanagar,2019,Rahuri,Total,742,523,1265
Ahilyanagar,2019,Rahuri,Rural,457,363,820
Ahilyanagar,2019,Rahuri,Urban,285,160,445
Ahilyanagar,2019,Sangamner,Total,1713,1241,2954
Ahilyanagar,2019,Sangamner,Rural,1042,748,1790
Ahilyanagar,2019,Sangamner,Urban,671,493,959
Ahilyanagar,2019,Shevgaon,Total,770,572,1342
Ahilyanagar,2019,Shevgaon,Rural,770,572,1342
Ahilyanagar,2019,Shevgaon,Urban,0,0,0
Ahilyanagar,2019,Srigonda,Total,1141,854,1995
Ahilyanagar,2019,Srigonda,Rural,924,703,1627
Ahilyanagar,2019,Srigonda,Urban,217,151,368
Ahilyanagar,2019,Srirampur,Total,1345,1101,2446
Ahilyanagar,2019,Srirampur,Rural,555,428,983
Ahilyanagar,2019,Srirampur,Urban,790,673,1463
Ahilyanagar,2020,Akole,Total,791,32,26
Ahilyanagar,2020,Akole,Rural,791,32,26
Ahilyanagar,2020,Akole,Urban,0,6,0
Ahilyanagar,2020,Jamkhed,Total,353,16,10
Ahilyanagar,2020,Jamkhed,Rural,353,16,10
Ahilyanagar,2020,Jamkhed,Urban,0,6,0
Ahilyanagar,2020,Karjat,Total,733,18,12
Ahilyanagar,2020,Karjat,Rural,733,18,12
Ahilyanagar,2020,Karjat,Urban,0,6,0
Ahilyanagar,2020,Kopargaon,Total,641,13,7
Ahilyanagar,2020,Kopargaon,Rural,622,13,7
Ahilyanagar,2020,Kopargaon,Urban,19,6,0
Ahilyanagar,2020,Nagar,Total,2569,371,365
Ahilyanagar,2020,Nagar,Rural,2140,98,92
Ahilyanagar,2020,Nagar,Urban,429,279,273
Ahilyanagar,2020,Nevasa,Total,621,28,22
Ahilyanagar,2020,Nevasa,Rural,621,28,22
Ahilyanagar,2020,Nevasa,Urban,0,6,0
Ahilyanagar,2020,Parner,Total,330,11,5
Ahilyanagar,2020,Parner,Rural,330,11,5
Ahilyanagar,2020,Parner,Urban,0,6,0
Ahilyanagar,2020,Pathardi,Total,1028,20,14
Ahilyanagar,2020,Pathardi,Rural,1028,20,14
Ahilyanagar,2020,Pathardi,Urban,0,6,0
Ahilyanagar,2020,Rahata,Total,22,6,0
Ahilyanagar,2020,Rahata,Rural,22,6,0
Ahilyanagar,2020,Rahata,Urban,0,6,0
Ahilyanagar,2020,Rahuri,Total,1610,29,23
Ahilyanagar,2020,Rahuri,Rural,1610,29,23
Ahilyanagar,2020,Rahuri,Urban,0,6,0
Ahilyanagar,2020,Sangamner,Total,1535,57,51
Ahilyanagar,2020,Sangamner,Rural,1515,57,51
Ahilyanagar,2020,Sangamner,Urban,20,6,0
Ahilyanagar,2020,Shevgaon,Total,459,15,9
Ahilyanagar,2020,Shevgaon,Rural,459,15,9
Ahilyanagar,2020,Shevgaon,Urban,0,6,0
Ahilyanagar,2020,Srigonda,Total,639,30,24
Ahilyanagar,2020,Srigonda,Rural,639,30,24
Ahilyanagar,2020,Srigonda,Urban,0,6,0
Ahilyanagar,2020,Srirampur,Total,550,10,4
Ahilyanagar,2020,Srirampur,Rural,550,10,4
Ahilyanagar,2020,Srirampur,Urban,0,6,0
Ahilyanagar,2021,Akole,Total,1140,31,7
Ahilyanagar,2021,Akole,Rural,1140,31,7
Ahilyanagar,2021,Akole,Urban,0,0,0
Ahilyanagar,2021,Jamkhed,Total,443,9,4
Ahilyanagar,2021,Jamkhed,Rural,443,9,4
Ahilyanagar,2021,Jamkhed,Urban,0,0,0
Ahilyanagar,2021,Karjat,Total,1116,6,5
Ahilyanagar,2021,Karjat,Rural,1116,6,5
Ahilyanagar,2021,Karjat,Urban,0,0,0
Ahilyanagar,2021,Kopargaon,Total,859,50,1
Ahilyanagar,2021,Kopargaon,Rural,859,50,1
Ahilyanagar,2021,Kopargaon,Urban,0,0,0
Ahilyanagar,2021,Nagar,Total,3217,247,79
Ahilyanagar,2021,Nagar,Rural,3216,36,26
Ahilyanagar,2021,Nagar,Urban,1,211,53
Ahilyanagar,2021,Nevasa,Total,1232,26,15
Ahilyanagar,2021,Nevasa,Rural,1232,26,15
Ahilyanagar,2021,Nevasa,Urban,0,0,0
Ahilyanagar,2021,Parner,Total,542,5,0
Ahilyanagar,2021,Parner,Rural,542,5,0
Ahilyanagar,2021,Parner,Urban,0,0,0
Ahilyanagar,2021,Pathardi,Total,1687,7,7
Ahilyanagar,2021,Pathardi,Rural,1687,7,7
Ahilyanagar,2021,Pathardi,Urban,0,0,0
Ahilyanagar,2021,Rahata,Total,34,25,5
Ahilyanagar,2021,Rahata,Rural,34,25,5
Ahilyanagar,2021,Rahata,Urban,0,0,0
Ahilyanagar,2021,Rahuri,Total,2335,25,13
Ahilyanagar,2021,Rahuri,Rural,2335,25,13
Ahilyanagar,2021,Rahuri,Urban,0,0,0
Ahilyanagar,2021,Sangamner,Total,2651,73,10
Ahilyanagar,2021,Sangamner,Rural,2651,71,10
Ahilyanagar,2021,Sangamner,Urban,0,2,0
Ahilyanagar,2021,Shevgaon,Total,811,12,6
Ahilyanagar,2021,Shevgaon,Rural,811,12,6
Ahilyanagar,2021,Shevgaon,Urban,0,0,0
Ahilyanagar,2021,Srigonda,Total,1242,26,2
Ahilyanagar,2021,Srigonda,Rural,1242,26,2
Ahilyanagar,2021,Srigonda,Urban,0,0,0
Ahilyanagar,2021,Srirampur,Total,486,1,1
Ahilyanagar,2021,Srirampur,Rural,486,1,1
Ahilyanagar,2021,Srirampur,Urban,0,0,0
Akola,2019,Akola,Total,1212,148,121
Akola,2019,Akola,Rural,540,10,5
Akola,2019,Akola,Urban,672,138,116
Akola,2019,Akot,Total,408,6,5
Akola,2019,Akot,Rural,402,5,4
Akola,2019,Akot,Urban,6,1,1
Akola,2019,Balapur,Total,478,8,3
Akola,2019,Balapur,Rural,468,6,2
Akola,2019,Balapur,Urban,10,2,1
Akola,2019,Barshitakali,Total,402,8,6
Akola,2019,Barshitakali,Rural,402,6,5
Akola,2019,Barshitakali,Urban,0,2,1
Akola,2019,Murtijapur,Total,317,6,2
Akola,2019,Murtijapur,Rural,285,2,2
Akola,2019,Murtijapur,Urban,32,4,0
Akola,2019,Patur,Total,208,11,2
Akola,2019,Patur,Rural,203,7,2
Akola,2019,Patur,Urban,5,4,0
Akola,2019,Telhara,Total,430,9,2
Akola,2019,Telhara,Rural,382,7,2
Akola,2019,Telhara,Urban,48,2,0
Akola,2020,Akola,Total,1958,320,175
Akola,2020,Akola,Rural,1091,131,8
Akola,2020,Akola,Urban,867,189,167
Akola,2020,Akot,Total,509,9,4
Akola,2020,Akot,Rural,403,6,2
Akola,2020,Akot,Urban,106,3,2
Akola,2020,Balapur,Total,503,9,5
Akola,2020,Balapur,Rural,447,7,4
Akola,2020,Balapur,Urban,56,2,1
Akola,2020,Barshitakali,Total,427,12,8
Akola,2020,Barshitakali,Rural,427,8,5
Akola,2020,Barshitakali,Urban,0,4,3
Akola,2020,Murtijapur,Total,347,8,3
Akola,2020,Murtijapur,Rural,274,6,2
Akola,2020,Murtijapur,Urban,73,2,1
Akola,2020,Patur,Total,267,7,2
Akola,2020,Patur,Rural,233,6,1
Akola,2020,Patur,Urban,34,1,1
Akola,2020,Telhara,Total,462,12,9
Akola,2020,Telhara,Rural,360,8,6
Akola,2020,Telhara,Urban,102,4,3
Akola,2021,Akola,Total,986,320,175
Akola,2021,Akola,Rural,822,7,4
Akola,2021,Akola,Urban,164,0,2
Akola,2021,Akot,Total,317,15,14
Akola,2021,Akot,Rural,317,15,14
Akola,2021,Akot,Urban,0,0,0
Akola,2021,Balapur,Total,737,1,5
Akola,2021,Balapur,Rural,737,1,1
Akola,2021,Balapur,Urban,0,0,0
Akola,2021,Barshitakali,Total,718,24,2
Akola,2021,Barshitakali,Rural,718,24,2
Akola,2021,Barshitakali,Urban,0,0,0
Akola,2021,Murtijapur,Total,530,1,0
Akola,2021,Murtijapur,Rural,530,1,0
Akola,2021,Murtijapur,Urban,0,0,0
Akola,2021,Patur,Total,523,1,1
Akola,2021,Patur,Rural,523,1,1
Akola,2021,Patur,Urban,0,0,0
Akola,2021,Telhara,Total,522,13,12
Akola,2021,Telhara,Rural,522,13,12
Akola,2021,Telhara,Urban,0,0,0
Amravati,2012,Achalpur,Total,1633,0,3
Amravati,2012,Achalpur,Rural,904,0,2
Amravati,2012,Achalpur,Urban,729,0,1
Amravati,2012,Amravati,Total,7595,0,408
Amravati,2012,Amravati,Rural,726,0,0
Amravati,2012,Amravati,Urban,6869,0,408
Amravati,2012,Anjangaon Su,Total,916,0,0
Amravati,2012,Anjangaon Su,Rural,584,0,0
Amravati,2012,Anjangaon Su,Urban,332,0,0
Amravati,2012,Bhatkuli,Total,607,0,1
Amravati,2012,Bhatkuli,Rural,607,0,0
Amravati,2012,Bhatkuli,Urban,0,0,0
Amravati,2012,Chandur Railway,Total,621,0,0
Amravati,2012,Chandur Railway,Rural,421,0,0
Amravati,2012,Chandur Railway,Urban,200,0,0
Amravati,2012,Chandurbazar,Total,787,0,0
Amravati,2012,Chandurbazar,Rural,679,0,0
Amravati,2012,Chandurbazar,Urban,108,0,0
Amravati,2012,Chikhraldara,Total,376,0,17
Amravati,2012,Chikhraldara,Rural,357,0,17
Amravati,2012,Chikhraldara,Urban,19,0,0
Amravati,2012,Daryapur,Total,1104,0,0
Amravati,2012,Daryapur,Rural,729,0,0
Amravati,2012,Daryapur,Urban,375,0,0
Amravati,2012,Dhamangaon Re,Total,938,0,6
Amravati,2012,Dhamangaon Re,Rural,765,0,6
Amravati,2012,Dhamangaon Re,Urban,173,0,0
Amravati,2012,Dharani,Total,1192,0,94
Amravati,2012,Dharani,Rural,1192,0,94
Amravati,2012,Dharani,Urban,0,0,0
Amravati,2012,Morshi,Total,923,0,4
Amravati,2012,Morshi,Rural,675,0,0
Amravati,2012,Morshi,Urban,248,0,4
Amravati,2012,Nandgaon Kh,Total,715,0,1
Amravati,2012,Nandgaon Kh,Rural,715,0,1
Amravati,2012,Nandgaon Kh,Urban,0,0,0
