District,Year,Taluka,Rural/Urban,Select Vaccine,Number,,
Pune,2011,Indapur,Rural,Tetanus 10 years,6221,,
Pune,2011,Indapur,Rural,Tetanus 16 years,5692,,
Pune,2011,Indapur,Rural,Tetanus Pregnant Women,6273,,
Pune,2011,Indapur,Total,BCG,6159,,
Pune,2011,Indapur,Total,D.T,5679,,
Pune,2011,Indapur,Total,DPT,6436,,
Pune,2011,Indapur,Total,Measles,6195,,
Pune,2011,Indapur,Total,Polio,6436,,
Pune,2011,Indapur,Total,Tetanus 10 years,6221,,
Pune,2011,Indapur,Total,Tetanus 16 years,5692,,
Pune,2011,Indapur,Total,Tetanus Pregnant Women,7134,,
Pune,2011,Junnar,Rural,BCG,5047,,
Pune,2011,Junnar,Rural,D.T,5235,,
Pune,2011,Junnar,Rural,DPT,5409,,
Pune,2011,Junnar,Rural,Measles,5444,,
Pune,2011,Junnar,Rural,Polio,5409,,
Pune,2011,Junnar,Rural,Tetanus 10 years,6490,,
Pune,2011,Junnar,Rural,Tetanus 16 years,6733,,
Pune,2011,Junnar,Rural,Tetanus Pregnant Women,5920,,
Pune,2011,Junnar,Total,BCG,5718,,
Pune,2011,Junnar,Total,D.T,5239,,
Pune,2011,Junnar,Total,DPT,5735,,
Pune,2011,Junnar,Total,Measles,5770,,
Pune,2011,Junnar,Total,Polio,5735,,
Pune,2011,Junnar,Total,Tetanus 10 years,6608,,
Pune,2011,Junnar,Total,Tetanus 16 years,6863,,
Pune,2011,Junnar,Total,Tetanus Pregnant Women,7184,,
Pune,2011,Khed,Rural,BCG,5319,,
Pune,2011,Khed,Rural,D.T,6300,,
Pune,2011,Khed,Rural,DPT,5588,,
Pune,2011,Khed,Rural,Measles,5500,,
Pune,2011,Khed,Rural,Polio,5588,,
Pune,2011,Khed,Rural,Tetanus 10 years,6565,,
Pune,2011,Khed,Rural,Tetanus 16 years,6325,,
Pune,2011,Khed,Rural,Tetanus Pregnant Women,6204,,
Pune,2011,Khed,Total,BCG,5884,,
Pune,2011,Khed,Total,D.T,6750,,
Pune,2011,Khed,Total,DPT,6164,,
Pune,2011,Khed,Total,Measles,6018,,
Pune,2011,Khed,Total,Polio,6164,,
Pune,2011,Khed,Total,Tetanus 10 years,7398,,
Pune,2011,Khed,Total,Tetanus 16 years,6910,,
Pune,2011,Khed,Total,Tetanus Pregnant Women,7835,,
Pune,2011,Maval,Rural,BCG,3588,,
Pune,2011,Maval,Rural,D.T,4643,,
Pune,2011,Maval,Rural,DPT,3716,,
Pune,2011,Maval,Rural,Measles,3627,,
Pune,2011,Maval,Rural,Polio,3716,,
Pune,2011,Maval,Rural,Tetanus 10 years,4908,,
Pune,2011,Maval,Rural,Tetanus 16 years,4457,,
Pune,2011,Maval,Rural,Tetanus Pregnant Women,4245,,
Pune,2011,Maval,Total,BCG,4047,,
Pune,2011,Maval,Total,D.T,4778,,
Pune,2011,Maval,Total,DPT,4279,,
Pune,2011,Maval,Total,Measles,4224,,
Pune,2011,Maval,Total,Polio,4279,,
Pune,2011,Maval,Total,Tetanus 10 years,5016,,
Pune,2011,Maval,Total,Tetanus 16 years,4569,,
Pune,2011,Maval,Total,Tetanus Pregnant Women,4810,,
Pune,2011,Mulashi,Rural,BCG,2329,,
Pune,2011,Mulashi,Rural,D.T,2310,,
Pune,2011,Mulashi,Rural,DPT,2348,,
Pune,2011,Mulashi,Rural,Measles,2315,,
Pune,2011,Mulashi,Rural,Polio,2348,,
Pune,2011,Mulashi,Rural,Tetanus 10 years,2425,,
Pune,2011,Mulashi,Rural,Tetanus 16 years,2578,,
Pune,2011,Mulashi,Rural,Tetanus Pregnant Women,2560,,
Pune,2011,Mulashi,Total,BCG,2389,,
Pune,2011,Mulashi,Total,D.T,2310,,
Pune,2011,Mulashi,Total,DPT,2351,,
Pune,2011,Mulashi,Total,Measles,2317,,
Pune,2011,Mulashi,Total,Polio,2351,,
Pune,2011,Mulashi,Total,Tetanus 10 years,2425,,
Pune,2011,Mulashi,Total,Tetanus 16 years,2578,,
Pune,2011,Mulashi,Total,Tetanus Pregnant Women,2938,,
Pune,2011,Pune City,Rural,BCG,0,,
Pune,2011,Pune City,Rural,D.T,0,,
Pune,2011,Pune City,Rural,DPT,0,,
Pune,2011,Pune City,Rural,Measles,0,,
Pune,2011,Pune City,Rural,Polio,0,,
Pune,2011,Pune City,Rural,Tetanus 10 years,0,,
Pune,2011,Pune City,Rural,Tetanus 16 years,0,,
Pune,2011,Pune City,Rural,Tetanus Pregnant Women,0,,
Pune,2011,Pune City,Total,BCG,70355,,
Pune,2011,Pune City,Total,D.T,52293,,
Pune,2011,Pune City,Total,DPT,64603,,
Pune,2011,Pune City,Total,Measles,61572,,
Pune,2011,Pune City,Total,Polio,70763,,
Pune,2011,Pune City,Total,Tetanus 10 years,49773,,
Pune,2011,Pune City,Total,Tetanus 16 years,51101,,
Pune,2011,Pune City,Total,Tetanus Pregnant Women,33655,,
Pune,2011,Purandar,Rural,BCG,2744,,
Pune,2011,Purandar,Rural,D.T,3067,,
Pune,2011,Purandar,Rural,DPT,2918,,
Pune,2011,Purandar,Rural,Measles,2892,,
Pune,2011,Purandar,Rural,Polio,2918,,
Pune,2011,Purandar,Rural,Tetanus 10 years,3353,,
Pune,2011,Purandar,Rural,Tetanus 16 years,3542,,
Pune,2011,Purandar,Rural,Tetanus Pregnant Women,3008,,
Pune,2011,Purandar,Total,BCG,3568,,
Pune,2011,Purandar,Total,D.T,3411,,
Pune,2011,Purandar,Total,DPT,3675,,
Pune,2011,Purandar,Total,Measles,3698,,
Pune,2011,Purandar,Total,Polio,3700,,
Pune,2011,Purandar,Total,Tetanus 10 years,3685,,
Pune,2011,Purandar,Total,Tetanus 16 years,3773,,
Pune,2011,Purandar,Total,Tetanus Pregnant Women,3862,,
Dhule,2011,Sakri,Rural,BCG,11753,,
Dhule,2011,Sakri,Rural,D.T,9387,,
Dhule,2011,Sakri,Rural,DPT,11691,,
Dhule,2011,Sakri,Rural,Measles,13283,,
Dhule,2011,Sakri,Rural,Polio,11691,,
Dhule,2011,Sakri,Rural,Tetanus 10 years,9967,,
Dhule,2011,Sakri,Rural,Tetanus 16 years,8881,,
Dhule,2011,Sakri,Rural,Tetanus Pregnant Women,12596,,
Dhule,2011,Sakri,Total,BCG,11753,,
Dhule,2011,Sakri,Total,D.T,9387,,
Dhule,2011,Sakri,Total,DPT,11691,,
Dhule,2011,Sakri,Total,Measles,13283,,
Dhule,2011,Sakri,Total,Polio,11691,,
Dhule,2011,Sakri,Total,Tetanus 10 years,9967,,
Dhule,2011,Sakri,Total,Tetanus 16 years,8881,,
Dhule,2011,Sakri,Total,Tetanus Pregnant Women,12596,,
Dhule,2011,Shindkheda,Rural,BCG,7861,,
Dhule,2011,Shindkheda,Rural,D.T,5228,,
Dhule,2011,Shindkheda,Rural,DPT,8297,,
Dhule,2011,Shindkheda,Rural,Measles,7972,,
Dhule,2011,Shindkheda,Rural,Polio,8297,,
Dhule,2011,Shindkheda,Rural,Tetanus 10 years,6914,,
Dhule,2011,Shindkheda,Rural,Tetanus 16 years,7076,,
Dhule,2011,Shindkheda,Rural,Tetanus Pregnant Women,8571,,
Dhule,2011,Shindkheda,Total,BCG,9062,,
Dhule,2011,Shindkheda,Total,D.T,6482,,
Dhule,2011,Shindkheda,Total,DPT,9422,,
Dhule,2011,Shindkheda,Total,Measles,9225,,
Dhule,2011,Shindkheda,Total,Polio,9422,,
Dhule,2011,Shindkheda,Total,Tetanus 10 years,8172,,
Dhule,2011,Shindkheda,Total,Tetanus 16 years,8432,,
Dhule,2011,Shindkheda,Total,Tetanus Pregnant Women,9729,,
Dhule,2011,Shirpur,Rural,BCG,10355,,
Dhule,2011,Shirpur,Rural,D.T,7709,,
Dhule,2011,Shirpur,Rural,DPT,9857,,
Dhule,2011,Shirpur,Rural,Measles,11968,,
Dhule,2011,Shirpur,Rural,Polio,9857,,
Dhule,2011,Shirpur,Rural,Tetanus 10 years,8119,,
Dhule,2011,Shirpur,Rural,Tetanus 16 years,7936,,
Dhule,2011,Shirpur,Rural,Tetanus Pregnant Women,10978,,
Dhule,2011,Shirpur,Total,BCG,11775,,
Dhule,2011,Shirpur,Total,D.T,9134,,
Dhule,2011,Shirpur,Total,DPT,11057,,
Dhule,2011,Shirpur,Total,Measles,13388,,
Dhule,2011,Shirpur,Total,Polio,11057,,
Dhule,2011,Shirpur,Total,Tetanus 10 years,9545,,
Dhule,2011,Shirpur,Total,Tetanus 16 years,9288,,
Dhule,2011,Shirpur,Total,Tetanus Pregnant Women,12278,,
Pune,2011,Shirur,Rural,BCG,5004,,
Pune,2011,Shirur,Rural,D.T,4441,,
Pune,2011,Shirur,Rural,DPT,4913,,
Pune,2011,Shirur,Rural,Measles,5197,,
Pune,2011,Shirur,Rural,Polio,4913,,
Pune,2011,Shirur,Rural,Tetanus 10 years,5073,,
Pune,2011,Shirur,Rural,Tetanus 16 years,6035,,
Pune,2011,Shirur,Rural,Tetanus Pregnant Women,5810,,
Pune,2011,Shirur,Total,BCG,5885,,
Pune,2011,Shirur,Total,D.T,4544,,
Pune,2011,Shirur,Total,DPT,5511,,
Pune,2011,Shirur,Total,Measles,5730,,
Pune,2011,Shirur,Total,Polio,5511,,
Pune,2011,Shirur,Total,Tetanus 10 years,5289,,
Pune,2011,Shirur,Total,Tetanus 16 years,6198,,
