District,Year,Oral Polio Vaccine,Bacillus Calmette Guerin (BCG),Hepatitis (Birth Dose),Pentavalent-1,Pentavalent-2,Pentavalent-3,Measles,Measles Rubella,Fully Immunized Children,Rotavirus (1st Dose),Rotavirus (2nd Dose),Rotavirus (3rd Dose),Abscess Cases,Deaths,Other Complications
Ratnagiri,2009,19802,24523,,,,,22553,,22553,,,,,,1
Sangli,2009,37057,46861,,,,,42795,,60641,,,,,,2
Satara,2009,33245,54347,,,,,47571,,46147,,,,,,
Sindhudurg,2009,9017,10301,,,,,10143,,10003,,,,,,
Solapur,2009,84645,75991,,,,,70619,,67406,,,,,,12
Thane,2009,137722,225145,,,,,155558,,108395,,,,,,3
Wardha,2009,19208,21822,,,,,21651,,17287,,,,,,
Washim,2009,11529,21314,,,,,20705,,20395,,,,,,31
Yavatmal,2009,25095,36204,,,,,37884,,35307,,,,,,
Ahilyanagar,2008,28076,85804,,,,,63684,,71438,,,,,,12
Akola,2008,11248,31670,,,,,30313,,28564,,,,,,2
Amravati,2008,24364,50833,,,,,45280,,64521,,,,,,68
Beed,2008,16907,47802,,,,,39392,,44761,,,,,,97
Bhandara,2008,8357,21668,,,,,19555,,15707,,,,,,1
Buldhana,2008,19462,42096,,,,,40925,,50642,,,,,,
Chandrapur,2008,16677,42663,,,,,37758,,67658,,,,,,10
Chhatrapati Sambhaji Nagar,2008,4242,20624,,,,,20480,,21294,,,,,,
Dharashiv,2008,8153,29114,,,,,25923,,26684,,,,,,1
Dhule,2008,10221,41617,,,,,35793,,37145,,,,,,
Gadchiroli,2008,12943,21519,,,,,18396,,24627,,,,,,6
Gondia,2008,14163,22435,,,,,20155,,28897,,,,,,1
Hingoli,2008,6751,24766,,,,,18524,,17201,,,,,,120
Jalgaon,2008,26907,87800,,,,,63921,,70247,,,,,,
Jalna,2008,8024,44726,,,,,33547,,23869,,,,,,165
Kolhapur,2008,34533,64131,,,,,57495,,53039,,,,,,
Latur,2008,30404,54500,,,,,43401,,37946,,,,,,
Mumbai,2008,134304,186631,,,,,169024,,143303,,,,,,44
Nagpur,2008,52081,78340,,,,,65527,,72410,,,,,,
Nanded,2008,49101,65263,,,,,53485,,41849,,,,,,
Nandurbar,2008,8255,34610,,,,,26779,,31187,,,,,,138
Nashik,2008,42161,122820,,,,,102798,,102114,,,,,,
Palghar,2008,,,,,,,,,,,,,,,
Parbhani,2008,10859,38952,,,,,25467,,21588,,,,,,
Pune,2008,112878,171858,,,,,149188,,113221,,,,,,33
Raigad,2008,17886,42981,,,,,34605,,36785,,,,,,32
Ratnagiri,2008,15452,25804,,,,,23080,,22050,,,,,,
Sangli,2008,32993,52044,,,,,48835,,60895,,,,,,50
Satara,2008,25101,54662,,,,,50036,,41366,,,,,,
Sindhudurg,2008,7504,10646,,,,,9850,,7775,,,,,,88
Solapur,2008,35407,83153,,,,,74611,,72846,,,,,,5
Thane,2008,122621,213091,,,,,196137,,165133,,,,,,140
Wardha,2008,12537,22460,,,,,19985,,18956,,,,,,
Washim,2008,4242,20624,,,,,20480,,21294,,,,,,
Yavatmal,2008,17400,47207,,,,,46375,,46531,,,,,,
