District,Year,Select Contraceptive,Number
Dhule,2014,Centchroman (Weekly Pills),0
Dhule,2014,Condom Pieces,206660
Gadchiroli,2014,Oral Pills,15930
Gadchiroli,2014,Centchroman (Weekly Pills),317
Gadchiroli,2014,Condom Pieces,188351
Gondia,2014,Oral Pills,11212
Gondia,2014,Centchroman (Weekly Pills),0
Gondia,2014,Condom Pieces,250963
Hingoli,2014,Oral Pills,19913
Hingoli,2014,Centchroman (Weekly Pills),0
Hingoli,2014,Condom Pieces,278434
Jalgaon,2014,Oral Pills,97718
Jalgaon,2014,Centchroman (Weekly Pills),0
Jalgaon,2014,Condom Pieces,303681
Jalna,2014,Oral Pills,10377
Jalna,2014,Centchroman (Weekly Pills),0
Jalna,2014,Condom Pieces,133915
Kolhapur,2014,Oral Pills,295840
Kolhapur,2014,Centchroman (Weekly Pills),0
Kolhapur,2014,Condom Pieces,593356
Latur,2014,Oral Pills,79341
Latur,2014,Centchroman (Weekly Pills),0
Latur,2014,Condom Pieces,332546
Mumbai,2014,Oral Pills,234349
Mumbai,2014,Centchroman (Weekly Pills),2034
Mumbai,2014,Condom Pieces,5437286
Nagpur,2014,Oral Pills,16926
Nagpur,2014,Centchroman (Weekly Pills),0
Nagpur,2014,Condom Pieces,593327
Nanded,2014,Oral Pills,83910
Nanded,2014,Centchroman (Weekly Pills),0
Nanded,2014,Condom Pieces,339427
Nandurbar,2014,Oral Pills,40019
Nandurbar,2014,Centchroman (Weekly Pills),0
Nandurbar,2014,Condom Pieces,153452
Nashik,2014,Oral Pills,95785
Nashik,2014,Centchroman (Weekly Pills),0
Nashik,2014,Condom Pieces,538476
Palghar,2014,Oral Pills,71526
Palghar,2014,Centchroman (Weekly Pills),40
Palghar,2014,Condom Pieces,336206
Parbhani,2014,Oral Pills,26573
Parbhani,2014,Centchroman (Weekly Pills),0
Parbhani,2014,Condom Pieces,217280
Pune,2014,Oral Pills,197319
Pune,2014,Centchroman (Weekly Pills),0
Pune,2014,Condom Pieces,1313509
Raigad,2014,Oral Pills,42377
Raigad,2014,Centchroman (Weekly Pills),157
Raigad,2014,Condom Pieces,178064
Ratnagiri,2014,Oral Pills,86183
Ratnagiri,2014,Centchroman (Weekly Pills),0
Ratnagiri,2014,Condom Pieces,423744
Sangli,2014,Oral Pills,110302
Sangli,2014,Centchroman (Weekly Pills),0
Sangli,2014,Condom Pieces,483138
Satara,2014,Oral Pills,170759
Satara,2014,Centchroman (Weekly Pills),0
Satara,2014,Condom Pieces,585334
Sindhudurg,2014,Oral Pills,39323
Sindhudurg,2014,Centchroman (Weekly Pills),0
Sindhudurg,2014,Condom Pieces,288026
Solapur,2014,Oral Pills,120247
Solapur,2014,Centchroman (Weekly Pills),72
Solapur,2014,Condom Pieces,317393
Thane,2014,Oral Pills,163078
Thane,2014,Centchroman (Weekly Pills),589
Thane,2014,Condom Pieces,1088451
Wardha,2014,Oral Pills,49603
Wardha,2014,Centchroman (Weekly Pills),0
Wardha,2014,Condom Pieces,638467
Washim,2014,Oral Pills,42419
Washim,2014,Centchroman (Weekly Pills),13
Washim,2014,Condom Pieces,252685
Yavatmal,2014,Oral Pills,22618
Yavatmal,2014,Centchroman (Weekly Pills),5
Yavatmal,2014,Condom Pieces,59602
Ahilyanagar,2013,Oral Pills,187732
Ahilyanagar,2013,Centchroman (Weekly Pills),0
Ahilyanagar,2013,Condom Pieces,779353
Akola,2013,Oral Pills,28040
Akola,2013,Centchroman (Weekly Pills),0
Akola,2013,Condom Pieces,222131
Amravati,2013,Oral Pills,27927
Amravati,2013,Centchroman (Weekly Pills),484
Amravati,2013,Condom Pieces,250380
Beed,2013,Oral Pills,111867
Beed,2013,Centchroman (Weekly Pills),2856
Beed,2013,Condom Pieces,295904
Bhandara,2013,Oral Pills,24114
Bhandara,2013,Centchroman (Weekly Pills),311
Bhandara,2013,Condom Pieces,257733
Buldhana,2013,Oral Pills,23957
Buldhana,2013,Centchroman (Weekly Pills),4016
Buldhana,2013,Condom Pieces,424873
Chandrapur,2013,Oral Pills,30465
Chandrapur,2013,Centchroman (Weekly Pills),229
Chandrapur,2013,Condom Pieces,221380
Chh. Sambhaji Nagar,2013,Oral Pills,56729
Chh. Sambhaji Nagar,2013,Centchroman (Weekly Pills),768
Chh. Sambhaji Nagar,2013,Condom Pieces,970031
Dharashiv,2013,Oral Pills,19399
Dharashiv,2013,Centchroman (Weekly Pills),330
Dharashiv,2013,Condom Pieces,147638
Dhule,2013,Oral Pills,69162
Dhule,2013,Centchroman (Weekly Pills),0
Dhule,2013,Condom Pieces,197613
Gadchiroli,2013,Oral Pills,14179
Gadchiroli,2013,Centchroman (Weekly Pills),772
Gadchiroli,2013,Condom Pieces,188265
Gondia,2013,Oral Pills,9806
Gondia,2013,Centchroman (Weekly Pills),0
Gondia,2013,Condom Pieces,273406
Hingoli,2013,Oral Pills,13980
Hingoli,2013,Centchroman (Weekly Pills),0
Hingoli,2013,Condom Pieces,273598
Jalgaon,2013,Oral Pills,103065
Jalgaon,2013,Centchroman (Weekly Pills),2345
Jalgaon,2013,Condom Pieces,352088
Jalna,2013,Oral Pills,12383
Jalna,2013,Centchroman (Weekly Pills),388
Jalna,2013,Condom Pieces,98897
Kolhapur,2013,Oral Pills,310510
Kolhapur,2013,Centchroman (Weekly Pills),0
Kolhapur,2013,Condom Pieces,535621
Latur,2013,Oral Pills,67799
Latur,2013,Centchroman (Weekly Pills),2698
Latur,2013,Condom Pieces,317046
Mumbai,2013,Oral Pills,228187
Mumbai,2013,Centchroman (Weekly Pills),4558
Mumbai,2013,Condom Pieces,5879392
Nagpur,2013,Oral Pills,26568
Nagpur,2013,Centchroman (Weekly Pills),319
Nagpur,2013,Condom Pieces,257031
Nanded,2013,Oral Pills,86191
Nanded,2013,Centchroman (Weekly Pills),840
Nanded,2013,Condom Pieces,323709
Nandurbar,2013,Oral Pills,37948
Nandurbar,2013,Centchroman (Weekly Pills),134
Nandurbar,2013,Condom Pieces,185464
Nashik,2013,Oral Pills,103537
Nashik,2013,Centchroman (Weekly Pills),0
Nashik,2013,Condom Pieces,442248
Palghar,2013,Oral Pills,7871
Palghar,2013,Centchroman (Weekly Pills),198
Palghar,2013,Condom Pieces,37155
Parbhani,2013,Oral Pills,17239
Parbhani,2013,Centchroman (Weekly Pills),0
Parbhani,2013,Condom Pieces,216670
Pune,2013,Oral Pills,207065
Pune,2013,Centchroman (Weekly Pills),3489
Pune,2013,Condom Pieces,1349229
Raigad,2013,Oral Pills,56130
Raigad,2013,Centchroman (Weekly Pills),772
Raigad,2013,Condom Pieces,212101
Ratnagiri,2013,Oral Pills,88514
Ratnagiri,2013,Centchroman (Weekly Pills),781
Ratnagiri,2013,Condom Pieces,419336
Sangli,2013,Oral Pills,124161
Sangli,2013,Centchroman (Weekly Pills),0
Sangli,2013,Condom Pieces,463698
Satara,2013,Oral Pills,173645
Satara,2013,Centchroman (Weekly Pills),1565
Satara,2013,Condom Pieces,647102
Sindhudurg,2013,Oral Pills,35966
Sindhudurg,2013,Centchroman (Weekly Pills),0
Sindhudurg,2013,Condom Pieces,352507
Solapur,2013,Oral Pills,114423
Solapur,2013,Centchroman (Weekly Pills),781
Solapur,2013,Condom Pieces,288213
Thane,2013,Oral Pills,227406
Thane,2013,Centchroman (Weekly Pills),3907
Thane,2013,Condom Pieces,1372531
Wardha,2013,Oral Pills,49598
Wardha,2013,Centchroman (Weekly Pills),581
Wardha,2013,Condom Pieces,652921
Washim,2013,Oral Pills,37462
Washim,2013,Centchroman (Weekly Pills),675
Washim,2013,Condom Pieces,229320
Yavatmal,2013,Oral Pills,20510
Yavatmal,2013,Centchroman (Weekly Pills),841
Yavatmal,2013,Condom Pieces,62197
Ahilyanagar,2012,Oral Pills,153922
Ahilyanagar,2012,Condom Pieces,990492
Akola,2012,Oral Pills,33153
Akola,2012,Centchroman (Weekly Pills),287
Akola,2012,Condom Pieces,358472
Amravati,2012,Oral Pills,38437
Amravati,2012,Centchroman (Weekly Pills),863
Amravati,2012,Condom Pieces,532071
Beed,2012,Oral Pills,117418
Beed,2012,Centchroman (Weekly Pills),205
Beed,2012,Condom Pieces,806697
Bhandara,2012,Oral Pills,29890
Bhandara,2012,Condom Pieces,349363
Buldhana,2012,Oral Pills,25665
Buldhana,2012,Centchroman (Weekly Pills),303
Buldhana,2012,Condom Pieces,353619
Chandrapur,2012,Oral Pills,29419
Chandrapur,2012,Centchroman (Weekly Pills),143
Chandrapur,2012,Condom Pieces,339368
Chh. Sambhaji Nagar,2012,Oral Pills,56175
Chh. Sambhaji Nagar,2012,Centchroman (Weekly Pills),86
Chh. Sambhaji Nagar,2012,Condom Pieces,928335
Dharashiv,2012,Oral Pills,23753
Dharashiv,2012,Condom Pieces,258320
Dhule,2012,Oral Pills,69128
Dhule,2012,Centchroman (Weekly Pills),470
Dhule,2012,Condom Pieces,583460
Gadchiroli,2012,Oral Pills,9124
Gadchiroli,2012,Centchroman (Weekly Pills),2023
Gadchiroli,2012,Condom Pieces,176840
Gondia,2012,Oral Pills,24651
Gondia,2012,Centchroman (Weekly Pills),482
Gondia,2012,Condom Pieces,350222
Hingoli,2012,Oral Pills,10151
Hingoli,2012,Centchroman (Weekly Pills),75
Hingoli,2012,Condom Pieces,318163
Jalgaon,2012,Oral Pills,76688
Jalgaon,2012,Centchroman (Weekly Pills),3110
Jalgaon,2012,Condom Pieces,737948
Jalna,2012,Oral Pills,13245
Jalna,2012,Centchroman (Weekly Pills),408
Jalna,2012,Condom Pieces,147994
Kolhapur,2012,Oral Pills,300760
Kolhapur,2012,Centchroman (Weekly Pills),296
Kolhapur,2012,Condom Pieces,744512
Latur,2012,Oral Pills,62389
Latur,2012,Centchroman (Weekly Pills),53
Latur,2012,Condom Pieces,458033
Mumbai,2012,Oral Pills,204869
Mumbai,2012,Centchroman (Weekly Pills),3131
Mumbai,2012,Condom Pieces,4907409
Nagpur,2012,Oral Pills,33357
Nagpur,2012,Centchroman (Weekly Pills),19
Nagpur,2012,Condom Pieces,940607
Nanded,2012,Oral Pills,89291
Nanded,2012,Centchroman (Weekly Pills),230
Nanded,2012,Condom Pieces,695826
Nandurbar,2012,Oral Pills,25749
Nandurbar,2012,Centchroman (Weekly Pills),595
Nandurbar,2012,Condom Pieces,291115
Nashik,2012,Oral Pills,61533
Nashik,2012,Centchroman (Weekly Pills),1421
Nashik,2012,Condom Pieces,562749
Parbhani,2012,Oral Pills,13444
Parbhani,2012,Centchroman (Weekly Pills),450
Parbhani,2012,Condom Pieces,489570
Pune,2012,Oral Pills,172657
Pune,2012,Centchroman (Weekly Pills),1490
Pune,2012,Condom Pieces,1836036
Raigad,2012,Oral Pills,61564
Raigad,2012,Centchroman (Weekly Pills),193
Raigad,2012,Condom Pieces,448949
Ratnagiri,2012,Oral Pills,94730
Ratnagiri,2012,Centchroman (Weekly Pills),86
Ratnagiri,2012,Condom Pieces,757317
Sangli,2012,Oral Pills,137179
Sangli,2012,Centchroman (Weekly Pills),332
Sangli,2012,Condom Pieces,636875
Satara,2012,Oral Pills,156821
Satara,2012,Centchroman (Weekly Pills),949
Satara,2012,Condom Pieces,992983
Sindhudurg,2012,Oral Pills,62121
Sindhudurg,2012,Centchroman (Weekly Pills),128
Sindhudurg,2012,Condom Pieces,618553
Solapur,2012,Oral Pills,106575
Solapur,2012,Centchroman (Weekly Pills),1742
Solapur,2012,Condom Pieces,404032
Thane,2012,Oral Pills,234690
Thane,2012,Centchroman (Weekly Pills),3084
Thane,2012,Condom Pieces,1892869
Wardha,2012,Oral Pills,56042
Wardha,2012,Centchroman (Weekly Pills),5
Wardha,2012,Condom Pieces,752673
Washim,2012,Oral Pills,40450
Washim,2012,Centchroman (Weekly Pills),21
Washim,2012,Condom Pieces,345857
Yavatmal,2012,Oral Pills,30119
Yavatmal,2012,Centchroman (Weekly Pills),582
Yavatmal,2012,Condom Pieces,132125
Ahilyanagar,2011,Oral Pills,157155
Ahilyanagar,2011,Condom Pieces,1309577
Akola,2011,Oral Pills,24971
Akola,2011,Centchroman (Weekly Pills),36
Akola,2011,Condom Pieces,276632
Amravati,2011,Oral Pills,49342
Amravati,2011,Centchroman (Weekly Pills),179
Amravati,2011,Condom Pieces,545121
Beed,2011,Oral Pills,109509
Beed,2011,Centchroman (Weekly Pills),1999
Beed,2011,Condom Pieces,697785
Bhandara,2011,Oral Pills,11600
Bhandara,2011,Centchroman (Weekly Pills),110
Bhandara,2011,Condom Pieces,305546
Buldhana,2011,Oral Pills,28205
Buldhana,2011,Centchroman (Weekly Pills),1613
Buldhana,2011,Condom Pieces,477636
Chandrapur,2011,Oral Pills,31470
Chandrapur,2011,Condom Pieces,290754
Chh. Sambhaji Nagar,2011,Oral Pills,60758
Chh. Sambhaji Nagar,2011,Centchroman (Weekly Pills),37
Chh. Sambhaji Nagar,2011,Condom Pieces,1157360
Dharashiv,2011,Oral Pills,32292
Dharashiv,2011,Centchroman (Weekly Pills),120
Dharashiv,2011,Condom Pieces,340663
Dhule,2011,Oral Pills,91743
Dhule,2011,Centchroman (Weekly Pills),1037
Dhule,2011,Condom Pieces,768733
Gadchiroli,2011,Oral Pills,7114
Gadchiroli,2011,Centchroman (Weekly Pills),339
Gadchiroli,2011,Condom Pieces,147044
Gondia,2011,Oral Pills,8680
Gondia,2011,Centchroman (Weekly Pills),290
Gondia,2011,Condom Pieces,223554
Hingoli,2011,Oral Pills,7781
Hingoli,2011,Centchroman (Weekly Pills),1687
Hingoli,2011,Condom Pieces,228860
Jalgaon,2011,Oral Pills,103787
Jalgaon,2011,Centchroman (Weekly Pills),733
Jalgaon,2011,Condom Pieces,899232
Jalna,2011,Oral Pills,14829
Jalna,2011,Centchroman (Weekly Pills),189
Jalna,2011,Condom Pieces,262748
Kolhapur,2011,Oral Pills,325100
Kolhapur,2011,Centchroman (Weekly Pills),2361
Kolhapur,2011,Condom Pieces,1055541
Latur,2011,Oral Pills,55706
Latur,2011,Centchroman (Weekly Pills),584
Latur,2011,Condom Pieces,410652
Mumbai,2011,Oral Pills,201534
Mumbai,2011,Centchroman (Weekly Pills),5158
Mumbai,2011,Condom Pieces,4429144
Nagpur,2011,Oral Pills,19088
Nagpur,2011,Condom Pieces,802724
Nanded,2011,Oral Pills,83559
Nanded,2011,Condom Pieces,635195
Nandurbar,2011,Oral Pills,47434
Nandurbar,2011,Centchroman (Weekly Pills),1311
Nandurbar,2011,Condom Pieces,374303
Nashik,2011,Oral Pills,106531
Nashik,2011,Centchroman (Weekly Pills),2395
Nashik,2011,Condom Pieces,1380436
Parbhani,2011,Oral Pills,3501
Parbhani,2011,Centchroman (Weekly Pills),417
Parbhani,2011,Condom Pieces,508092
Pune,2011,Oral Pills,186899
Pune,2011,Centchroman (Weekly Pills),1042
Pune,2011,Condom Pieces,1739487
Raigad,2011,Oral Pills,63752
Raigad,2011,Centchroman (Weekly Pills),568
Raigad,2011,Condom Pieces,430333
Ratnagiri,2011,Oral Pills,89284
Ratnagiri,2011,Centchroman (Weekly Pills),1022
Ratnagiri,2011,Condom Pieces,915564
Sangli,2011,Oral Pills,131465
Sangli,2011,Centchroman (Weekly Pills),853
Sangli,2011,Condom Pieces,631346
Satara,2011,Oral Pills,169019
Satara,2011,Centchroman (Weekly Pills),2848
Satara,2011,Condom Pieces,1269886
Sindhudurg,2011,Oral Pills,60086
Sindhudurg,2011,Centchroman (Weekly Pills),707
Sindhudurg,2011,Condom Pieces,598366
Solapur,2011,Oral Pills,111373
Solapur,2011,Centchroman (Weekly Pills),514
Solapur,2011,Condom Pieces,394457
Thane,2011,Oral Pills,146655
Thane,2011,Centchroman (Weekly Pills),7497
Thane,2011,Condom Pieces,1620584
Wardha,2011,Oral Pills,48838
Wardha,2011,Centchroman (Weekly Pills),5141
Wardha,2011,Condom Pieces,740759
Washim,2011,Oral Pills,36361
Washim,2011,Centchroman (Weekly Pills),115
Washim,2011,Condom Pieces,265578
Yavatmal,2011,Oral Pills,43962
Yavatmal,2011,Centchroman (Weekly Pills),869
Yavatmal,2011,Condom Pieces,247089
Ahilyanagar,2010,Oral Pills,28336
Ahilyanagar,2010,Condom Pieces,1375925
Akola,2010,Oral Pills,48506
Akola,2010,Centchroman (Weekly Pills),50
Akola,2010,Condom Pieces,366684
Amravati,2010,Oral Pills,163662
Amravati,2010,Centchroman (Weekly Pills),73
Amravati,2010,Condom Pieces,514289
Beed,2010,Oral Pills,122570
Beed,2010,Centchroman (Weekly Pills),1749
Beed,2010,Condom Pieces,916580
Bhandara,2010,Oral Pills,25238
Bhandara,2010,Condom Pieces,360739
Buldhana,2010,Oral Pills,69231
Buldhana,2010,Centchroman (Weekly Pills),484
Buldhana,2010,Condom Pieces,966680
Chandrapur,2010,Oral Pills,59860
Chandrapur,2010,Centchroman (Weekly Pills),78
Chandrapur,2010,Condom Pieces,438084
Chh. Sambhaji Nagar,2010,Oral Pills,79064
Chh. Sambhaji Nagar,2010,Centchroman (Weekly Pills),40
Chh. Sambhaji Nagar,2010,Condom Pieces,1342746
Dharashiv,2010,Oral Pills,22163
Dharashiv,2010,Condom Pieces,366530
Dhule,2010,Oral Pills,72299
Dhule,2010,Centchroman (Weekly Pills),3
Dhule,2010,Condom Pieces,820110
Gadchiroli,2010,Oral Pills,11188
Gadchiroli,2010,Condom Pieces,645455
Gondia,2010,Oral Pills,22060
Gondia,2010,Centchroman (Weekly Pills),9
Gondia,2010,Condom Pieces,284008
Hingoli,2010,Oral Pills,21699
Hingoli,2010,Condom Pieces,451950
Jalgaon,2010,Oral Pills,134449
Jalgaon,2010,Condom Pieces,1262020
Jalna,2010,Oral Pills,5262
Jalna,2010,Condom Pieces,163512
Kolhapur,2010,Oral Pills,278919
Kolhapur,2010,Centchroman (Weekly Pills),1279
Kolhapur,2010,Condom Pieces,957449
Latur,2010,Oral Pills,62732
Latur,2010,Condom Pieces,339266
Mumbai,2010,Oral Pills,223272
Mumbai,2010,Centchroman (Weekly Pills),9210
Mumbai,2010,Condom Pieces,4869337
Nagpur,2010,Oral Pills,70188
Nagpur,2010,Condom Pieces,438234
Nanded,2010,Oral Pills,77220
Nanded,2010,Condom Pieces,473288
Nandurbar,2010,Oral Pills,4755
Nandurbar,2010,Centchroman (Weekly Pills),21
Nandurbar,2010,Condom Pieces,509410
Nashik,2010,Oral Pills,93589
Nashik,2010,Condom Pieces,632102
Parbhani,2010,Oral Pills,8969
Parbhani,2010,Condom Pieces,555219
Pune,2010,Oral Pills,189895
Pune,2010,Centchroman (Weekly Pills),3
Pune,2010,Condom Pieces,1803343
Raigad,2010,Oral Pills,85440
Raigad,2010,Condom Pieces,483687
Ratnagiri,2010,Oral Pills,116196
Ratnagiri,2010,Condom Pieces,898038
Sangli,2010,Oral Pills,81094
Sangli,2010,Condom Pieces,587213
Satara,2010,Oral Pills,139669
Satara,2010,Condom Pieces,155639
Sindhudurg,2010,Oral Pills,49753
Sindhudurg,2010,Condom Pieces,459681
Solapur,2010,Oral Pills,111872
Solapur,2010,Centchroman (Weekly Pills),140
Solapur,2010,Condom Pieces,494083
Thane,2010,Oral Pills,347113
Thane,2010,Centchroman (Weekly Pills),1273
Thane,2010,Condom Pieces,1415545
Wardha,2010,Oral Pills,74906
Wardha,2010,Condom Pieces,678510
Washim,2010,Oral Pills,13535
Washim,2010,Condom Pieces,74552
Yavatmal,2010,Oral Pills,28860
Yavatmal,2010,Centchroman (Weekly Pills),5327
Yavatmal,2010,Condom Pieces,179424
Ahilyanagar,2009,Oral Pills,177284
Ahilyanagar,2009,Condom Pieces,1440158
Akola,2009,Oral Pills,105939
Akola,2009,Centchroman (Weekly Pills),84
Akola,2009,Condom Pieces,409721
Amravati,2009,Oral Pills,76910
Amravati,2009,Centchroman (Weekly Pills),114
Amravati,2009,Condom Pieces,627580
Beed,2009,Oral Pills,114811
Beed,2009,Centchroman (Weekly Pills),16
Beed,2009,Condom Pieces,857106
Bhandara,2009,Oral Pills,41022
Bhandara,2009,Condom Pieces,376776
Buldhana,2009,Oral Pills,76673
Buldhana,2009,Centchroman (Weekly Pills),6
Buldhana,2009,Condom Pieces,877220
Chandrapur,2009,Oral Pills,88086
Chandrapur,2009,Centchroman (Weekly Pills),48
Chandrapur,2009,Condom Pieces,793159
Chh. Sambhaji Nagar,2009,Oral Pills,123455
Chh. Sambhaji Nagar,2009,Condom Pieces,1494997
Dharashiv,2009,Oral Pills,41361
Dharashiv,2009,Condom Pieces,454431
Dhule,2009,Oral Pills,63528
Dhule,2009,Condom Pieces,894693
Gadchiroli,2009,Oral Pills,270578
Gadchiroli,2009,Condom Pieces,3088821
Gondia,2009,Oral Pills,57814
Gondia,2009,Centchroman (Weekly Pills),20
Gondia,2009,Condom Pieces,325886
Hingoli,2009,Oral Pills,40078
Hingoli,2009,Condom Pieces,560369
Jalgaon,2009,Oral Pills,147014
Jalgaon,2009,Centchroman (Weekly Pills),1385
Jalgaon,2009,Condom Pieces,1142221
Jalna,2009,Oral Pills,48359
Jalna,2009,Condom Pieces,639369
Kolhapur,2009,Oral Pills,296160
Kolhapur,2009,Centchroman (Weekly Pills),2560
Kolhapur,2009,Condom Pieces,1005083
Latur,2009,Oral Pills,77630
Latur,2009,Centchroman (Weekly Pills),378
Latur,2009,Condom Pieces,749199
Mumbai,2009,Oral Pills,187113
Mumbai,2009,Centchroman (Weekly Pills),5554
Mumbai,2009,Condom Pieces,7483893
Nagpur,2009,Oral Pills,92028
Nagpur,2009,Centchroman (Weekly Pills),42373
Nagpur,2009,Condom Pieces,695159
Nanded,2009,Oral Pills,108176
Nanded,2009,Centchroman (Weekly Pills),14
Nanded,2009,Condom Pieces,931531
Nandurbar,2009,Oral Pills,51378
Nandurbar,2009,Condom Pieces,405322
Nashik,2009,Oral Pills,180295
Nashik,2009,Centchroman (Weekly Pills),223
Nashik,2009,Condom Pieces,1193742
Parbhani,2009,Oral Pills,39611
Parbhani,2009,Condom Pieces,685150
Pune,2009,Oral Pills,163550
Pune,2009,Condom Pieces,1353056
Raigad,2009,Oral Pills,85597
Raigad,2009,Condom Pieces,458299
Ratnagiri,2009,Oral Pills,102481
Ratnagiri,2009,Condom Pieces,864574
Sangli,2009,Oral Pills,64815
Sangli,2009,Condom Pieces,331277
Satara,2009,Oral Pills,142052
Satara,2009,Condom Pieces,1244371
Sindhudurg,2009,Oral Pills,65776
Sindhudurg,2009,Condom Pieces,643309
Solapur,2009,Oral Pills,186251
Solapur,2009,Centchroman (Weekly Pills),179
Solapur,2009,Condom Pieces,914588
Thane,2009,Oral Pills,151046
Thane,2009,Centchroman (Weekly Pills),2384
Thane,2009,Condom Pieces,703912
Wardha,2009,Oral Pills,65002
Wardha,2009,Condom Pieces,1102020
Washim,2009,Oral Pills,34004
Washim,2009,Condom Pieces,230515
Yavatmal,2009,Oral Pills,67825
Yavatmal,2009,Centchroman (Weekly Pills),70563
Yavatmal,2009,Condom Pieces,172999
Ahilyanagar,2008,Oral Pills,187447
Ahilyanagar,2008,Condom Pieces,1175779
Akola,2008,Oral Pills,72486
Akola,2008,Condom Pieces,574559
Amravati,2008,Oral Pills,111224
Amravati,2008,Centchroman (Weekly Pills),5
Amravati,2008,Condom Pieces,1130212
Beed,2008,Oral Pills,127112
Beed,2008,Condom Pieces,919930
Bhandara,2008,Oral Pills,49263
Bhandara,2008,Condom Pieces,427735
Buldhana,2008,Oral Pills,8183
Buldhana,2008,Condom Pieces,997939
Chandrapur,2008,Oral Pills,89962
Chandrapur,2008,Centchroman (Weekly Pills),18
Chandrapur,2008,Condom Pieces,859061
Chh. Sambhaji Nagar,2008,Oral Pills,48156
Chh. Sambhaji Nagar,2008,Centchroman (Weekly Pills),56
Chh. Sambhaji Nagar,2008,Condom Pieces,364785
Dharashiv,2008,Oral Pills,53730
Dharashiv,2008,Condom Pieces,547848
Dhule,2008,Oral Pills,95320
Dhule,2008,Condom Pieces,965989
Gadchiroli,2008,Oral Pills,51696
Gadchiroli,2008,Condom Pieces,436769
Gondia,2008,Oral Pills,62644
Gondia,2008,Condom Pieces,550059
Hingoli,2008,Oral Pills,49929
Hingoli,2008,Condom Pieces,823939
Jalgaon,2008,Oral Pills,150620
Jalgaon,2008,Condom Pieces,1552322
Jalna,2008,Oral Pills,89583
Jalna,2008,Condom Pieces,816951
Kolhapur,2008,Oral Pills,348420
Kolhapur,2008,Centchroman (Weekly Pills),58
Kolhapur,2008,Condom Pieces,961444
Latur,2008,Oral Pills,21627
Latur,2008,Condom Pieces,52881
Mumbai,2008,Oral Pills,209331
Mumbai,2008,Condom Pieces,4750218
Nagpur,2008,Oral Pills,121168
Nagpur,2008,Condom Pieces,732768
Nanded,2008,Oral Pills,120749
Nanded,2008,Centchroman (Weekly Pills),152
Nanded,2008,Condom Pieces,1020748
Nandurbar,2008,Oral Pills,55072
Nandurbar,2008,Condom Pieces,539710
Nashik,2008,Oral Pills,153297
Nashik,2008,Centchroman (Weekly Pills),231
Nashik,2008,Condom Pieces,1211334
Parbhani,2008,Oral Pills,78558
Parbhani,2008,Condom Pieces,983172
Pune,2008,Oral Pills,240861
Pune,2008,Centchroman (Weekly Pills),10
Pune,2008,Condom Pieces,1339325
Raigad,2008,Oral Pills,94876
Raigad,2008,Condom Pieces,549325
Ratnagiri,2008,Oral Pills,99756
Ratnagiri,2008,Condom Pieces,976842
Sangli,2008,Oral Pills,162109
Sangli,2008,Condom Pieces,823384
Satara,2008,Oral Pills,163719
Satara,2008,Condom Pieces,157464
Sindhudurg,2008,Oral Pills,67930
Sindhudurg,2008,Condom Pieces,695644
Solapur,2008,Oral Pills,140037
Solapur,2008,Condom Pieces,634295
Thane,2008,Oral Pills,212396
Thane,2008,Condom Pieces,1064010
Wardha,2008,Oral Pills,10001
Wardha,2008,Condom Pieces,1188029
Washim,2008,Oral Pills,48156
Washim,2008,Centchroman (Weekly Pills),56
Washim,2008,Condom Pieces,364785
Yavatmal,2008,Oral Pills,96932
Yavatmal,2008,Condom Pieces,697416
