District,Year,Select Contraceptive,Number
Amravati,2018,Condom Pieces,293329
Beed,2018,Oral Pills,106275
Beed,2018,Emergency Pills,216
Beed,2018,Centchroman (Weekly Pills),130
Beed,2018,Condom Pieces,449979
Bhandara,2018,Oral Pills,23451
Bhandara,2018,Emergency Pills,136
Bhandara,2018,Centchroman (Weekly Pills),73
Bhandara,2018,Condom Pieces,206336
Buldhana,2018,Oral Pills,44413
Buldhana,2018,Emergency Pills,1083
Buldhana,2018,Centchroman (Weekly Pills),638
Buldhana,2018,Condom Pieces,319238
Chandrapur,2018,Oral Pills,47093
Chandrapur,2018,Emergency Pills,33
Chandrapur,2018,Centchroman (Weekly Pills),507
Chandrapur,2018,Condom Pieces,305704
Chh. Sambhaji Nagar,2018,Oral Pills,90976
Chh. Sambhaji Nagar,2018,Emergency Pills,338
Chh. Sambhaji Nagar,2018,Centchroman (Weekly Pills),0
Chh. Sambhaji Nagar,2018,Condom Pieces,639668
Dharashiv,2018,Oral Pills,41696
Dharashiv,2018,Emergency Pills,483
Dharashiv,2018,Centchroman (Weekly Pills),3593
Dharashiv,2018,Condom Pieces,280121
Dhule,2018,Oral Pills,81574
Dhule,2018,Emergency Pills,520
Dhule,2018,Centchroman (Weekly Pills),4001
Dhule,2018,Condom Pieces,369962
Gadchiroli,2018,Oral Pills,23020
Gadchiroli,2018,Emergency Pills,545
Gadchiroli,2018,Centchroman (Weekly Pills),2337
Gadchiroli,2018,Condom Pieces,275324
Gondia,2018,Oral Pills,26705
Gondia,2018,Emergency Pills,345
Gondia,2018,Centchroman (Weekly Pills),0
Gondia,2018,Condom Pieces,208668
Hingoli,2018,Oral Pills,23974
Hingoli,2018,Emergency Pills,252
Hingoli,2018,Centchroman (Weekly Pills),946
Hingoli,2018,Condom Pieces,309384
Jalgaon,2018,Oral Pills,122593
Jalgaon,2018,Emergency Pills,327
Jalgaon,2018,Centchroman (Weekly Pills),279
Jalgaon,2018,Condom Pieces,279965
Jalna,2018,Oral Pills,15021
Jalna,2018,Emergency Pills,382
Jalna,2018,Centchroman (Weekly Pills),99
Jalna,2018,Condom Pieces,78357
Kolhapur,2018,Oral Pills,303168
Kolhapur,2018,Emergency Pills,857
Kolhapur,2018,Centchroman (Weekly Pills),2392
Kolhapur,2018,Condom Pieces,634355
Latur,2018,Oral Pills,71404
Latur,2018,Emergency Pills,543
Latur,2018,Centchroman (Weekly Pills),2190
Latur,2018,Condom Pieces,422176
Mumbai,2018,Oral Pills,368930
Mumbai,2018,Emergency Pills,522
