District,Year,Taluka,Type,Male,Female,Children
Ahilyanagar,2017,Nagar,Outpatient,7299900,10447000,5202300
Ahilyanagar,2017,Rahuri,Outpatient,3284900,3266700,654100
Ahilyanagar,2017,Parner,Outpatient,5077500,5332700,3398400
Ahilyanagar,2017,Srigonda,Outpatient,4116100,5921000,619500
Ahilyanagar,2017,Karjat,Outpatient,9939100,6943200,2542300
Ahilyanagar,2017,Jamkhed,Outpatient,2394400,2374900,139700
Ahilyanagar,2018,Akole,Outpatient,6992100,9886400,4024200
Ahilyanagar,2018,Sangamner,Outpatient,8276700,11268800,901000
Ahilyanagar,2018,Kopargaon,Outpatient,6121300,6214800,2451000
Ahilyanagar,2018,Rahata,Outpatient,7796900,9538600,1677700
Ahilyanagar,2018,Srirampur,Outpatient,4509200,4642300,2234200
Ahilyanagar,2018,Nevasa,Outpatient,8416000,8449200,14587900
Ahilyanagar,2018,Shevgaon,Outpatient,5549400,5506800,3246800
Ahilyanagar,2018,Pathardi,Outpatient,5476700,6909300,3110500
Ahilyanagar,2018,Nagar,Outpatient,13651700,16343700,7242800
Ahilyanagar,2018,Rahuri,Outpatient,4709600,5308200,2152800
Ahilyanagar,2018,Parner,Outpatient,7589100,6527200,2966100
Ahilyanagar,2018,Srigonda,Outpatient,7032800,6572900,2410800
Ahilyanagar,2018,Karjat,Outpatient,6471100,4515600,2499600
Ahilyanagar,2018,Jamkhed,Outpatient,4894700,3280000,1946500
Ahilyanagar,2019,Akole,Outpatient,6744200,8115300,4197600
Ahilyanagar,2019,Sangamner,Outpatient,8884000,9064600,4604400
Ahilyanagar,2019,Kopargaon,Outpatient,2565500,2943500,3995200
Ahilyanagar,2019,Rahata,Outpatient,3408800,7582200,4197500
Ahilyanagar,2019,Srirampur,Outpatient,4767800,5745100,2171000
Ahilyanagar,2019,Nevasa,Outpatient,9885900,9688500,3984800
Ahilyanagar,2019,Shevgaon,Outpatient,5349600,4969400,3141500
Ahilyanagar,2019,Pathardi,Outpatient,7543600,8129600,4410400
Ahilyanagar,2019,Nagar,Outpatient,14505400,15945200,4475300
Ahilyanagar,2019,Rahuri,Outpatient,4279400,4468800,2192800
Ahilyanagar,2019,Parner,Outpatient,5179100,5822400,2373000
Ahilyanagar,2019,Srigonda,Outpatient,8448500,8866800,1289000
Ahilyanagar,2019,Karjat,Outpatient,7728500,6276300,2448400
Ahilyanagar,2019,Jamkhed,Outpatient,5396100,4690600,1699700
Ahilyanagar,2020,Akole,Outpatient,6970000,6705900,3435700
Ahilyanagar,2020,Sangamner,Outpatient,4993800,5239600,863700
Ahilyanagar,2020,Kopargaon,Outpatient,941700,818700,1129600
Ahilyanagar,2020,Rahata,Outpatient,1602700,2427700,1759600
Ahilyanagar,2020,Srirampur,Outpatient,2716400,2479500,919800
Ahilyanagar,2020,Nevasa,Outpatient,7971500,8031400,3376000
Ahilyanagar,2020,Shevgaon,Outpatient,3955600,3951900,1047200
Ahilyanagar,2020,Pathardi,Outpatient,7004800,9582100,2091600
Ahilyanagar,2020,Nagar,Outpatient,8923500,9731900,963800
Ahilyanagar,2020,Rahuri,Outpatient,4728500,4688200,1426800
Ahilyanagar,2020,Parner,Outpatient,7898100,9637100,1902000
Ahilyanagar,2020,Srigonda,Outpatient,4952500,6393100,6672600
Ahilyanagar,2020,Karjat,Outpatient,3853200,3122900,557000
Ahilyanagar,2020,Jamkhed,Outpatient,5963400,5549300,859600
Ahilyanagar,2021,Akole,Outpatient,9239000,10551900,1282400
Ahilyanagar,2021,Sangamner,Outpatient,18481300,22282200,2074600
Ahilyanagar,2021,Kopargaon,Outpatient,2654300,2476300,410500
Ahilyanagar,2021,Rahata,Outpatient,4558500,4948600,531200
Ahilyanagar,2021,Srirampur,Outpatient,1748000,1706800,672000
Ahilyanagar,2021,Nevasa,Outpatient,9100200,8772800,14185900
Ahilyanagar,2021,Shevgaon,Outpatient,2967800,3087600,894200
Ahilyanagar,2021,Pathardi,Outpatient,7815200,9417300,1862600
Ahilyanagar,2021,Nagar,Outpatient,4858600,6974300,695900
Ahilyanagar,2021,Rahuri,Outpatient,3411800,3641100,1511200
Ahilyanagar,2021,Parner,Outpatient,3057200,2677000,475500
Ahilyanagar,2021,Srigonda,Outpatient,2590100,3430300,492900
Ahilyanagar,2021,Karjat,Outpatient,3354900,2490200,320400
Ahilyanagar,2021,Jamkhed,Outpatient,3577500,3042900,348200
Akola,2019,Telhara,Outpatient,49800,78000,34200
Akola,2019,Akot,Outpatient,78200,82800,64800
Akola,2019,Balapur,Outpatient,85200,64700,36200
Akola,2019,Akola,Outpatient,430200,448100,74500
Akola,2019,Murtijapur,Outpatient,97800,108000,31500
Akola,2019,Patur,Outpatient,55700,65000,26300
Akola,2019,Barshitakali,Outpatient,83200,100200,28100
Akola,2020,Telhara,Outpatient,53000,81700,36800
Akola,2020,Akot,Outpatient,91200,95900,71200
Akola,2020,Balapur,Outpatient,95800,76700,40300
Akola,2020,Akola,Outpatient,481900,491400,84700
Akola,2020,Murtijapur,Outpatient,102400,113400,40600
Akola,2020,Patur,Outpatient,69400,73800,31400
Akola,2020,Barshitakali,Outpatient,92600,116800,31500
Akola,2021,Telhara,Outpatient,5350900,5020700,419300
Akola,2021,Akot,Outpatient,1983200,8703400,796800
Akola,2021,Balapur,Outpatient,6812500,6424600,304500
Akola,2021,Akola,Outpatient,9636300,20429800,2607000
Akola,2021,Murtijapur,Outpatient,9830600,9229100,887000
Akola,2021,Patur,Outpatient,5640700,6101100,42500
Akola,2021,Barshitakali,Outpatient,3798800,3745800,712700
Amravati,2012,Dharani,Outpatient,54500,50400,35500
Amravati,2012,Chikhraldara,Outpatient,37400,30200,21100
Amravati,2012,Anjangaon Su,Outpatient,46300,46700,23500
Amravati,2012,Achalpur,Outpatient,54900,55600,29200
Amravati,2012,Chandurbazar,Outpatient,40400,36800,18100
Amravati,2012,Morshi,Outpatient,58900,44900,31700
Amravati,2012,Warud,Outpatient,103800,83000,41500
Amravati,2012,Tivas,Outpatient,26100,26000,16300
Amravati,2012,Amravati,Outpatient,313400,181800,334300
Amravati,2012,Bhatkuli,Outpatient,22800,24400,11800
Amravati,2012,Daryapur,Outpatient,54700,58200,100200
Amravati,2012,Nandgaon Kh,Outpatient,33400,34800,20400
Amravati,2012,Chandur Railway,Outpatient,32500,33000,14500
Amravati,2012,Dhamangaon Re,Outpatient,56700,55000,34000
Amravati,2013,Dharani,Outpatient,31100,37200,61300
Amravati,2013,Chikhraldara,Outpatient,37700,38900,31200
Amravati,2013,Anjangaon Su,Outpatient,42000,47200,35900
Amravati,2013,Achalpur,Outpatient,56100,68700,52700
Amravati,2013,Chandurbazar,Outpatient,31800,34700,25700
Amravati,2013,Morshi,Outpatient,45600,53900,30000
Amravati,2013,Warud,Outpatient,69600,81900,73700
Amravati,2013,Tivas,Outpatient,20600,23800,19600
Amravati,2013,Amravati,Outpatient,152300,405800,26400
Amravati,2013,Bhatkuli,Outpatient,21300,19500,20500
Amravati,2013,Daryapur,Outpatient,50900,60900,46100
Amravati,2013,Nandgaon Kh,Outpatient,31200,30500,28100
Amravati,2013,Chandur Railway,Outpatient,26600,31800,27300
Amravati,2013,Dhamangaon Re,Outpatient,47500,53000,47900
Amravati,2014,Dharani,Outpatient,52500,58400,68000
Amravati,2014,Chikhraldara,Outpatient,24500,32600,39300
Amravati,2014,Anjangaon Su,Outpatient,28500,26400,16800
Amravati,2014,Achalpur,Outpatient,57700,82300,53400
Amravati,2014,Chandurbazar,Outpatient,38100,35500,21000
Amravati,2014,Morshi,Outpatient,56900,79400,43700
Amravati,2014,Warud,Outpatient,33300,41900,35000
Amravati,2014,Tivas,Outpatient,20400,20200,22900
Amravati,2014,Amravati,Outpatient,487700,288300,106200
Amravati,2014,Bhatkuli,Outpatient,29400,27500,30300
Amravati,2014,Daryapur,Outpatient,47600,64100,61200
Amravati,2014,Nandgaon Kh,Outpatient,28500,32000,28800
Amravati,2014,Chandur Railway,Outpatient,11300,12600,14100
Amravati,2014,Dhamangaon Re,Outpatient,36700,36000,37500
Amravati,2015,Dharani,Outpatient,202600,20200,18700
Amravati,2015,Chikhraldara,Outpatient,181800,25800,16200
Amravati,2015,Anjangaon Su,Outpatient,205800,40900,21300
Amravati,2015,Achalpur,Outpatient,250400,60800,42400
Amravati,2015,Chandurbazar,Outpatient,121200,11400,8900
Amravati,2015,Morshi,Outpatient,223000,40700,19900
Amravati,2015,Warud,Outpatient,284100,124900,38800
Amravati,2015,Tivas,Outpatient,126800,51000,7900
Amravati,2015,Amravati,Outpatient,986300,274500,55900
Amravati,2015,Bhatkuli,Outpatient,108900,0,0
Amravati,2015,Daryapur,Outpatient,209500,29900,30600
Amravati,2015,Nandgaon Kh,Outpatient,163200,24800,5500
Amravati,2015,Chandur Railway,Outpatient,128700,18900,12200
Amravati,2015,Dhamangaon Re,Outpatient,183200,24300,9100
Amravati,2016,Dharani,Outpatient,230600,19000,7800
Amravati,2016,Chikhraldara,Outpatient,192000,21900,13700
Amravati,2016,Anjangaon Su,Outpatient,213500,40900,7800
Amravati,2016,Achalpur,Outpatient,257000,51500,25100
Amravati,2016,Chandurbazar,Outpatient,128900,10200,4800
Amravati,2016,Morshi,Outpatient,242700,40200,11800
Amravati,2016,Warud,Outpatient,275400,35000,13500
Amravati,2016,Tivas,Outpatient,115400,13200,5700
Amravati,2016,Amravati,Outpatient,671700,194400,56400
Amravati,2016,Bhatkuli,Outpatient,99600,0,0
Amravati,2016,Daryapur,Outpatient,202100,24600,10000
Amravati,2016,Nandgaon Kh,Outpatient,170900,18500,7500
Amravati,2016,Chandur Railway,Outpatient,140700,23200,8200
Amravati,2016,Dhamangaon Re,Outpatient,209900,23600,9300
Amravati,2017,Dharani,Outpatient,80600,59700,37600
Amravati,2017,Chikhraldara,Outpatient,58900,50500,30700
Amravati,2017,Anjangaon Su,Outpatient,26300,23700,9500
Amravati,2017,Achalpur,Outpatient,65200,74300,36100
Amravati,2017,Chandurbazar,Outpatient,47700,32600,37300
Amravati,2017,Morshi,Outpatient,69700,65300,52300
Amravati,2017,Warud,Outpatient,95900,65500,77900
Amravati,2017,Tivas,Outpatient,23100,23400,36000
Amravati,2017,Amravati,Outpatient,690500,285300,36600
Amravati,2017,Bhatkuli,Outpatient,34900,32100,29100
Amravati,2017,Daryapur,Outpatient,67300,62000,32100
Amravati,2017,Nandgaon Kh,Outpatient,51400,46900,47700
Amravati,2017,Chandur Railway,Outpatient,42400,35500,20200
Amravati,2017,Dhamangaon Re,Outpatient,62000,64000,41700
Amravati,2018,Dharani,Outpatient,69500,75300,35800
Amravati,2018,Chikhraldara,Outpatient,39900,41300,31300
Amravati,2018,Anjangaon Su,Outpatient,61900,64100,31600
Amravati,2018,Achalpur,Outpatient,70700,86100,54200
Amravati,2018,Chandurbazar,Outpatient,49300,48800,26000
Amravati,2018,Morshi,Outpatient,73100,80200,39600
Amravati,2018,Warud,Outpatient,87400,82600,43900
Amravati,2018,Tivas,Outpatient,38800,41800,25700
Amravati,2018,Amravati,Outpatient,747000,248700,59700
Amravati,2018,Bhatkuli,Outpatient,41100,41600,14600
Amravati,2018,Daryapur,Outpatient,75600,77400,30100
Amravati,2018,Nandgaon Kh,Outpatient,62400,64800,26200
Amravati,2018,Chandur Railway,Outpatient,52600,49200,13600
Amravati,2018,Dhamangaon Re,Outpatient,65400,66300,33300
Amravati,2019,Dharani,Outpatient,82613,88159,6452
