District,Year,Select Cause,Number
Thane,2019,Pneumonia,5
Thane,2019,Diarrhea,1
Thane,2019,Fever,2
Thane,2019,Measles,0
Wardha,2019,Sepsis,3
Wardha,2019,Asphyxia,5
Wardha,2019,Pneumonia,2
Wardha,2019,Diarrhea,1
Wardha,2019,Fever,0
Wardha,2019,Measles,0
Washim,2019,Sepsis,12
Washim,2019,Asphyxia,18
Washim,2019,Pneumonia,1
Washim,2019,Diarrhea,0
Washim,2019,Fever,0
Washim,2019,Measles,0
Yavatmal,2019,Sepsis,6
Yavatmal,2019,Asphyxia,8
Yavatmal,2019,Pneumonia,3
Yavatmal,2019,Diarrhea,1
Yavatmal,2019,Fever,3
Yavatmal,2019,Measles,0
Ahilyanagar,2018,Sepsis,4
Ahilyanagar,2018,Asphyxia,12
Ahilyanagar,2018,Pneumonia,5
Ahilyanagar,2018,Diarrhea,1
Ahilyanagar,2018,Fever,1
Ahilyanagar,2018,Measles,0
Akola,2018,Sepsis,12
Akola,2018,Asphyxia,14
Akola,2018,Pneumonia,5
Akola,2018,Diarrhea,0
Akola,2018,Fever,1
Akola,2018,Measles,0
Amravati,2018,Sepsis,9
Amravati,2018,Asphyxia,10
Amravati,2018,Pneumonia,5
Amravati,2018,Diarrhea,1
Amravati,2018,Fever,1
Amravati,2018,Measles,0
Beed,2018,Sepsis,7
Beed,2018,Asphyxia,17
Beed,2018,Pneumonia,3
Beed,2018,Diarrhea,0
Beed,2018,Fever,2
Beed,2018,Measles,0
Bhandara,2018,Sepsis,11
Bhandara,2018,Asphyxia,11
Bhandara,2018,Pneumonia,2
Bhandara,2018,Diarrhea,0
Bhandara,2018,Fever,1
Bhandara,2018,Measles,0
Buldhana,2018,Sepsis,9
Buldhana,2018,Asphyxia,11
Buldhana,2018,Pneumonia,4
Buldhana,2018,Diarrhea,1
Buldhana,2018,Fever,1
Buldhana,2018,Measles,0
Chandrapur,2018,Sepsis,8
Chandrapur,2018,Asphyxia,11
Chandrapur,2018,Pneumonia,2
Chandrapur,2018,Diarrhea,1
Chandrapur,2018,Fever,1
Chandrapur,2018,Measles,0
Chh. Sambhaji Nagar,2018,Sepsis,34
Chh. Sambhaji Nagar,2018,Asphyxia,13
Chh. Sambhaji Nagar,2018,Pneumonia,1
Chh. Sambhaji Nagar,2018,Diarrhea,0
Chh. Sambhaji Nagar,2018,Fever,1
Chh. Sambhaji Nagar,2018,Measles,0
Dharashiv,2018,Sepsis,4
Dharashiv,2018,Asphyxia,5
Dharashiv,2018,Pneumonia,3
Dharashiv,2018,Diarrhea,0
Dharashiv,2018,Fever,4
Dharashiv,2018,Measles,0
Dhule,2018,Sepsis,15
Dhule,2018,Asphyxia,11
Dhule,2018,Pneumonia,5
Dhule,2018,Diarrhea,1
Dhule,2018,Fever,1
Dhule,2018,Measles,1
Gadchiroli,2018,Sepsis,13
Gadchiroli,2018,Asphyxia,7
Gadchiroli,2018,Pneumonia,6
Gadchiroli,2018,Diarrhea,1
Gadchiroli,2018,Fever,1
Gadchiroli,2018,Measles,0
Gondia,2018,Sepsis,16
Gondia,2018,Asphyxia,21
Gondia,2018,Pneumonia,2
Gondia,2018,Diarrhea,0
Gondia,2018,Fever,1
Gondia,2018,Measles,0
Hingoli,2018,Sepsis,8
Hingoli,2018,Asphyxia,13
Hingoli,2018,Pneumonia,3
Hingoli,2018,Diarrhea,0
Hingoli,2018,Fever,2
Hingoli,2018,Measles,0
Jalgaon,2018,Sepsis,5
Jalgaon,2018,Asphyxia,9
Jalgaon,2018,Pneumonia,6
Jalgaon,2018,Diarrhea,1
Jalgaon,2018,Fever,1
Jalgaon,2018,Measles,0
Jalna,2018,Sepsis,2
Jalna,2018,Asphyxia,11
Jalna,2018,Pneumonia,2
Jalna,2018,Diarrhea,0
Jalna,2018,Fever,3
Jalna,2018,Measles,0
Kolhapur,2018,Sepsis,14
Kolhapur,2018,Asphyxia,10
Kolhapur,2018,Pneumonia,4
Kolhapur,2018,Diarrhea,1
Kolhapur,2018,Fever,1
Kolhapur,2018,Measles,0
Latur,2018,Sepsis,7
Latur,2018,Asphyxia,4
Latur,2018,Pneumonia,7
Latur,2018,Diarrhea,5
Latur,2018,Fever,7
Latur,2018,Measles,0
Mumbai,2018,Sepsis,16
Mumbai,2018,Asphyxia,9
Mumbai,2018,Pneumonia,7
Mumbai,2018,Diarrhea,1
Mumbai,2018,Fever,1
Mumbai,2018,Measles,1
Nagpur,2018,Sepsis,11
Nagpur,2018,Asphyxia,8
Nagpur,2018,Pneumonia,2
Nagpur,2018,Diarrhea,0
Nagpur,2018,Fever,2
Nagpur,2018,Measles,0
Nanded,2018,Sepsis,3
Nanded,2018,Asphyxia,9
Nanded,2018,Pneumonia,4
Nanded,2018,Diarrhea,1
Nanded,2018,Fever,8
Nanded,2018,Measles,0
Nandurbar,2018,Sepsis,11
Nandurbar,2018,Asphyxia,15
Nandurbar,2018,Pneumonia,5
Nandurbar,2018,Diarrhea,2
Nandurbar,2018,Fever,1
Nandurbar,2018,Measles,1
Nashik,2018,Sepsis,8
Nashik,2018,Asphyxia,15
Nashik,2018,Pneumonia,6
Nashik,2018,Diarrhea,0
Nashik,2018,Fever,1
Nashik,2018,Measles,0
Palghar,2018,Sepsis,5
Palghar,2018,Asphyxia,13
Palghar,2018,Pneumonia,7
Palghar,2018,Diarrhea,0
Palghar,2018,Fever,0
Palghar,2018,Measles,0
Parbhani,2018,Sepsis,1
Parbhani,2018,Asphyxia,14
Parbhani,2018,Pneumonia,4
Parbhani,2018,Diarrhea,0
Parbhani,2018,Fever,1
Parbhani,2018,Measles,0
Pune,2018,Sepsis,14
Pune,2018,Asphyxia,9
Pune,2018,Pneumonia,6
Pune,2018,Diarrhea,1
Pune,2018,Fever,1
Pune,2018,Measles,1
Raigad,2018,Sepsis,3
Raigad,2018,Asphyxia,8
Raigad,2018,Pneumonia,7
Raigad,2018,Diarrhea,0
Raigad,2018,Fever,2
Raigad,2018,Measles,0
Ratnagiri,2018,Sepsis,17
Ratnagiri,2018,Asphyxia,15
Ratnagiri,2018,Pneumonia,7
Ratnagiri,2018,Diarrhea,0
Ratnagiri,2018,Fever,1
Ratnagiri,2018,Measles,0
Sangli,2018,Sepsis,11
Sangli,2018,Asphyxia,16
Sangli,2018,Pneumonia,4
Sangli,2018,Diarrhea,1
Sangli,2018,Fever,2
Sangli,2018,Measles,1
Satara,2018,Sepsis,5
Satara,2018,Asphyxia,9
Satara,2018,Pneumonia,3
Satara,2018,Diarrhea,0
Satara,2018,Fever,1
Satara,2018,Measles,0
Sindhudurg,2018,Sepsis,5
Sindhudurg,2018,Asphyxia,10
Sindhudurg,2018,Pneumonia,8
Sindhudurg,2018,Diarrhea,0
Sindhudurg,2018,Fever,0
Sindhudurg,2018,Measles,0
Solapur,2018,Sepsis,11
Solapur,2018,Asphyxia,8
Solapur,2018,Pneumonia,5
Solapur,2018,Diarrhea,2
Solapur,2018,Fever,4
Solapur,2018,Measles,1
Thane,2018,Sepsis,10
Thane,2018,Asphyxia,15
Thane,2018,Pneumonia,7
Thane,2018,Diarrhea,1
Thane,2018,Fever,1
Thane,2018,Measles,0
Wardha,2018,Sepsis,3
Wardha,2018,Asphyxia,9
Wardha,2018,Pneumonia,3
Wardha,2018,Diarrhea,0
Wardha,2018,Fever,1
Wardha,2018,Measles,0
Washim,2018,Sepsis,7
Washim,2018,Asphyxia,5
Washim,2018,Pneumonia,2
Washim,2018,Diarrhea,0
Washim,2018,Fever,2
Washim,2018,Measles,0
Yavatmal,2018,Sepsis,5
Yavatmal,2018,Asphyxia,13
Yavatmal,2018,Pneumonia,3
Yavatmal,2018,Diarrhea,0
Yavatmal,2018,Fever,1
Yavatmal,2018,Measles,0
Ahilyanagar,2017,Sepsis,4
Ahilyanagar,2017,Asphyxia,8
Ahilyanagar,2017,Pneumonia,3
Ahilyanagar,2017,Diarrhea,1
Ahilyanagar,2017,Fever,1
Ahilyanagar,2017,Measles,0
Akola,2017,Sepsis,13
Akola,2017,Asphyxia,10
Akola,2017,Pneumonia,2
Akola,2017,Diarrhea,0
Akola,2017,Fever,2
Akola,2017,Measles,0
Amravati,2017,Sepsis,9
Amravati,2017,Asphyxia,11
Amravati,2017,Pneumonia,3
Amravati,2017,Diarrhea,0
Amravati,2017,Fever,1
Amravati,2017,Measles,0
Beed,2017,Sepsis,6
Beed,2017,Asphyxia,9
Beed,2017,Pneumonia,3
Beed,2017,Diarrhea,1
Beed,2017,Fever,2
Beed,2017,Measles,1
Bhandara,2017,Sepsis,10
Bhandara,2017,Asphyxia,12
Bhandara,2017,Pneumonia,1
Bhandara,2017,Diarrhea,0
Bhandara,2017,Fever,1
Bhandara,2017,Measles,1
Buldhana,2017,Sepsis,7
Buldhana,2017,Asphyxia,12
Buldhana,2017,Pneumonia,2
Buldhana,2017,Diarrhea,0
Buldhana,2017,Fever,2
Buldhana,2017,Measles,0
Chandrapur,2017,Sepsis,11
Chandrapur,2017,Asphyxia,15
Chandrapur,2017,Pneumonia,4
Chandrapur,2017,Diarrhea,0
Chandrapur,2017,Fever,1
Chandrapur,2017,Measles,0
Chh. Sambhaji Nagar,2017,Sepsis,5
Chh. Sambhaji Nagar,2017,Asphyxia,12
Chh. Sambhaji Nagar,2017,Pneumonia,4
Chh. Sambhaji Nagar,2017,Diarrhea,1
Chh. Sambhaji Nagar,2017,Fever,3
Chh. Sambhaji Nagar,2017,Measles,0
Dharashiv,2017,Sepsis,4
Dharashiv,2017,Asphyxia,6
Dharashiv,2017,Pneumonia,3
Dharashiv,2017,Diarrhea,0
Dharashiv,2017,Fever,3
Dharashiv,2017,Measles,0
Dhule,2017,Sepsis,7
Dhule,2017,Asphyxia,8
Dhule,2017,Pneumonia,14
Dhule,2017,Diarrhea,0
Dhule,2017,Fever,13
Dhule,2017,Measles,0
Gadchiroli,2017,Sepsis,10
Gadchiroli,2017,Asphyxia,10
Gadchiroli,2017,Pneumonia,5
Gadchiroli,2017,Diarrhea,1
Gadchiroli,2017,Fever,1
Gadchiroli,2017,Measles,0
Gondia,2017,Sepsis,21
Gondia,2017,Asphyxia,18
Gondia,2017,Pneumonia,3
Gondia,2017,Diarrhea,0
Gondia,2017,Fever,1
Gondia,2017,Measles,0
Hingoli,2017,Sepsis,4
Hingoli,2017,Asphyxia,22
Hingoli,2017,Pneumonia,2
Hingoli,2017,Diarrhea,0
Hingoli,2017,Fever,1
Hingoli,2017,Measles,0
Jalgaon,2017,Sepsis,6
Jalgaon,2017,Asphyxia,7
Jalgaon,2017,Pneumonia,3
Jalgaon,2017,Diarrhea,0
Jalgaon,2017,Fever,5
Jalgaon,2017,Measles,0
Jalna,2017,Sepsis,2
Jalna,2017,Asphyxia,20
Jalna,2017,Pneumonia,4
Jalna,2017,Diarrhea,0
Jalna,2017,Fever,0
Jalna,2017,Measles,0
Kolhapur,2017,Sepsis,17
Kolhapur,2017,Asphyxia,14
Kolhapur,2017,Pneumonia,3
Kolhapur,2017,Diarrhea,0
Kolhapur,2017,Fever,1
Kolhapur,2017,Measles,0
Latur,2017,Sepsis,14
Latur,2017,Asphyxia,3
Latur,2017,Pneumonia,3
Latur,2017,Diarrhea,1
