District,Year,Select Disease,Number
Hingoli,2019,Measles,24
Hingoli,2019,Malaria,0
Hingoli,2019,Diarrhea,781
Jalgaon,2019,Pneumonia,293
Jalgaon,2019,Asthma,40
Jalgaon,2019,Sepsis,14
Jalgaon,2019,Diphtheria,0
Jalgaon,2019,Pertussis,0
Jalgaon,2019,Tetanus Neonatorum,0
Jalgaon,2019,Tuberculosis (TB),21
Jalgaon,2019,Acute Flaccid Paralysis (AFP),8
Jalgaon,2019,Measles,0
Jalgaon,2019,Malaria,22
Jalgaon,2019,Diarrhea,798
Jalna,2019,Pneumonia,107
Jalna,2019,Asthma,2
Jalna,2019,Sepsis,18
Jalna,2019,Diphtheria,0
Jalna,2019,Pertussis,0
Jalna,2019,Tetanus Neonatorum,0
Jalna,2019,Tuberculosis (TB),2
Jalna,2019,Acute Flaccid Paralysis (AFP),0
Jalna,2019,Measles,10
Jalna,2019,Malaria,3
Jalna,2019,Diarrhea,458
Kolhapur,2019,Pneumonia,481
Kolhapur,2019,Asthma,78
Kolhapur,2019,Sepsis,27
Kolhapur,2019,Diphtheria,0
Kolhapur,2019,Pertussis,0
Kolhapur,2019,Tetanus Neonatorum,0
Kolhapur,2019,Tuberculosis (TB),28
Kolhapur,2019,Acute Flaccid Paralysis (AFP),20
Kolhapur,2019,Measles,1
Kolhapur,2019,Malaria,3
Kolhapur,2019,Diarrhea,1579
Latur,2019,Pneumonia,103
Latur,2019,Asthma,39
Latur,2019,Sepsis,130
Latur,2019,Diphtheria,0
Latur,2019,Pertussis,0
Latur,2019,Tetanus Neonatorum,0
Latur,2019,Tuberculosis (TB),26
Latur,2019,Acute Flaccid Paralysis (AFP),3
Latur,2019,Measles,0
Latur,2019,Malaria,6
Latur,2019,Diarrhea,1775
Mumbai,2019,Pneumonia,5685
Mumbai,2019,Asthma,3939
Mumbai,2019,Sepsis,1433
Mumbai,2019,Diphtheria,4
Mumbai,2019,Pertussis,2
Mumbai,2019,Tetanus Neonatorum,0
Mumbai,2019,Tuberculosis (TB),797
Mumbai,2019,Acute Flaccid Paralysis (AFP),165
Mumbai,2019,Measles,60
Mumbai,2019,Malaria,633
Mumbai,2019,Diarrhea,22795
Nagpur,2019,Pneumonia,286
Nagpur,2019,Asthma,155
Nagpur,2019,Sepsis,88
Nagpur,2019,Diphtheria,0
Nagpur,2019,Pertussis,0
Nagpur,2019,Tetanus Neonatorum,0
Nagpur,2019,Tuberculosis (TB),10
Nagpur,2019,Acute Flaccid Paralysis (AFP),2
Nagpur,2019,Measles,14
Nagpur,2019,Malaria,37
Nagpur,2019,Diarrhea,4784
Nanded,2019,Pneumonia,124
Nanded,2019,Asthma,144
Nanded,2019,Sepsis,73
Nanded,2019,Diphtheria,0
Nanded,2019,Pertussis,0
Nanded,2019,Tetanus Neonatorum,0
Nanded,2019,Tuberculosis (TB),16
Nanded,2019,Acute Flaccid Paralysis (AFP),0
Nanded,2019,Measles,15
Nanded,2019,Malaria,1
Nanded,2019,Diarrhea,1567
Nandurbar,2019,Pneumonia,434
Nandurbar,2019,Asthma,61
Nandurbar,2019,Sepsis,81
Nandurbar,2019,Diphtheria,1
Nandurbar,2019,Pertussis,0
Nandurbar,2019,Tetanus Neonatorum,1
Nandurbar,2019,Tuberculosis (TB),34
Nandurbar,2019,Acute Flaccid Paralysis (AFP),15
Nandurbar,2019,Measles,2
Nandurbar,2019,Malaria,20
Nandurbar,2019,Diarrhea,1717
Nashik,2019,Pneumonia,805
Nashik,2019,Asthma,251
Nashik,2019,Sepsis,212
Nashik,2019,Diphtheria,0
Nashik,2019,Pertussis,0
Nashik,2019,Tetanus Neonatorum,0
Nashik,2019,Tuberculosis (TB),90
Nashik,2019,Acute Flaccid Paralysis (AFP),18
Nashik,2019,Measles,9
Nashik,2019,Malaria,26
Nashik,2019,Diarrhea,3809
Palghar,2019,Pneumonia,745
Palghar,2019,Asthma,302
Palghar,2019,Sepsis,174
Palghar,2019,Diphtheria,0
Palghar,2019,Pertussis,0
Palghar,2019,Tetanus Neonatorum,0
Palghar,2019,Tuberculosis (TB),83
Palghar,2019,Acute Flaccid Paralysis (AFP),33
Palghar,2019,Measles,11
Palghar,2019,Malaria,25
Palghar,2019,Diarrhea,3163
Parbhani,2019,Pneumonia,39
Parbhani,2019,Asthma,47
Parbhani,2019,Sepsis,7
Parbhani,2019,Diphtheria,0
Parbhani,2019,Pertussis,0
Parbhani,2019,Tetanus Neonatorum,0
Parbhani,2019,Tuberculosis (TB),2
Parbhani,2019,Acute Flaccid Paralysis (AFP),9
Parbhani,2019,Measles,27
Parbhani,2019,Malaria,1
Parbhani,2019,Diarrhea,417
Pune,2019,Pneumonia,1834
Pune,2019,Asthma,1071
Pune,2019,Sepsis,458
Pune,2019,Diphtheria,1
Pune,2019,Pertussis,0
Pune,2019,Tetanus Neonatorum,0
Pune,2019,Tuberculosis (TB),231
Pune,2019,Acute Flaccid Paralysis (AFP),40
Pune,2019,Measles,83
Pune,2019,Malaria,239
Pune,2019,Diarrhea,13825
Raigad,2019,Pneumonia,24
Raigad,2019,Asthma,49
Raigad,2019,Sepsis,2
Raigad,2019,Diphtheria,3
Raigad,2019,Pertussis,0
Raigad,2019,Tetanus Neonatorum,0
Raigad,2019,Tuberculosis (TB),12
Raigad,2019,Acute Flaccid Paralysis (AFP),0
Raigad,2019,Measles,3
Raigad,2019,Malaria,33
Raigad,2019,Diarrhea,1165
Ratnagiri,2019,Pneumonia,150
Ratnagiri,2019,Asthma,24
