District,Year,Select Disease,Number
Thane,2018,Diphtheria,0
Thane,2018,Pertussis,0
Thane,2018,Tetanus Neonatorum,0
Thane,2018,Tuberculosis (TB),96
Thane,2018,Acute Flaccid Paralysis (AFP),68
Thane,2018,Measles,158
Thane,2018,Malaria,1193
Thane,2018,Diarrhea,4161
Wardha,2018,Pneumonia,99
Wardha,2018,Asthma,10
Wardha,2018,Sepsis,20
Wardha,2018,Diphtheria,0
Wardha,2018,Pertussis,0
Wardha,2018,Tetanus Neonatorum,0
Wardha,2018,Tuberculosis (TB),8
Wardha,2018,Acute Flaccid Paralysis (AFP),12
Wardha,2018,Measles,3
Wardha,2018,Malaria,0
Wardha,2018,Diarrhea,662
Washim,2018,Pneumonia,44
Washim,2018,Asthma,1
Washim,2018,Sepsis,4
Washim,2018,Diphtheria,0
Washim,2018,Pertussis,0
Washim,2018,Tetanus Neonatorum,0
Washim,2018,Tuberculosis (TB),2
Washim,2018,Acute Flaccid Paralysis (AFP),2
Washim,2018,Measles,1
Washim,2018,Malaria,8
Washim,2018,Diarrhea,282
Yavatmal,2018,Pneumonia,91
Yavatmal,2018,Asthma,34
Yavatmal,2018,Sepsis,8
Yavatmal,2018,Diphtheria,0
Yavatmal,2018,Pertussis,0
Yavatmal,2018,Tetanus Neonatorum,0
Yavatmal,2018,Tuberculosis (TB),100
Yavatmal,2018,Acute Flaccid Paralysis (AFP),16
Yavatmal,2018,Measles,24
Yavatmal,2018,Malaria,14
Yavatmal,2018,Diarrhea,987
Ahilyanagar,2017,Pneumonia,100
Ahilyanagar,2017,Asthma,90
Ahilyanagar,2017,Sepsis,55
Ahilyanagar,2017,Diphtheria,0
Ahilyanagar,2017,Pertussis,0
Ahilyanagar,2017,Tetanus Neonatorum,0
Ahilyanagar,2017,Tuberculosis (TB),0
Ahilyanagar,2017,Acute Flaccid Paralysis (AFP),0
Ahilyanagar,2017,Measles,19
Ahilyanagar,2017,Malaria,0
Ahilyanagar,2017,Diarrhea,2148
Akola,2017,Pneumonia,85
Akola,2017,Asthma,0
Akola,2017,Sepsis,8
Akola,2017,Diphtheria,0
Akola,2017,Pertussis,0
Akola,2017,Tetanus Neonatorum,0
Akola,2017,Tuberculosis (TB),7
Akola,2017,Acute Flaccid Paralysis (AFP),1
Akola,2017,Measles,15
Akola,2017,Malaria,8
Akola,2017,Diarrhea,346
Amravati,2017,Pneumonia,416
Amravati,2017,Asthma,61
Amravati,2017,Sepsis,213
Amravati,2017,Diphtheria,2
Amravati,2017,Pertussis,0
Amravati,2017,Tetanus Neonatorum,0
Amravati,2017,Tuberculosis (TB),48
Amravati,2017,Acute Flaccid Paralysis (AFP),0
Amravati,2017,Measles,24
Amravati,2017,Malaria,7
Amravati,2017,Diarrhea,987
Beed,2017,Pneumonia,216
Beed,2017,Asthma,20
Beed,2017,Sepsis,14
Beed,2017,Diphtheria,0
Beed,2017,Pertussis,0
Beed,2017,Tetanus Neonatorum,0
Beed,2017,Tuberculosis (TB),22
Beed,2017,Acute Flaccid Paralysis (AFP),4
Beed,2017,Measles,331
Beed,2017,Malaria,0
Beed,2017,Diarrhea,2581
Bhandara,2017,Pneumonia,40
Bhandara,2017,Asthma,47
Bhandara,2017,Sepsis,15
Bhandara,2017,Diphtheria,0
Bhandara,2017,Pertussis,0
Bhandara,2017,Tetanus Neonatorum,0
Bhandara,2017,Tuberculosis (TB),3
Bhandara,2017,Acute Flaccid Paralysis (AFP),2
Bhandara,2017,Measles,2
Bhandara,2017,Malaria,0
Bhandara,2017,Diarrhea,120
Buldhana,2017,Pneumonia,318
Buldhana,2017,Asthma,6
Buldhana,2017,Sepsis,47
Buldhana,2017,Diphtheria,0
Buldhana,2017,Pertussis,0
Buldhana,2017,Tetanus Neonatorum,0
Buldhana,2017,Tuberculosis (TB),6
Buldhana,2017,Acute Flaccid Paralysis (AFP),1
Buldhana,2017,Measles,13
Buldhana,2017,Malaria,0
Buldhana,2017,Diarrhea,679
Chandrapur,2017,Pneumonia,239
Chandrapur,2017,Asthma,51
Chandrapur,2017,Sepsis,155
Chandrapur,2017,Diphtheria,0
Chandrapur,2017,Pertussis,0
Chandrapur,2017,Tetanus Neonatorum,0
Chandrapur,2017,Tuberculosis (TB),21
Chandrapur,2017,Acute Flaccid Paralysis (AFP),5
Chandrapur,2017,Measles,11
Chandrapur,2017,Malaria,43
Chandrapur,2017,Diarrhea,523
Chh. Sambhaji Nagar,2017,Pneumonia,0
Chh. Sambhaji Nagar,2017,Asthma,0
Chh. Sambhaji Nagar,2017,Sepsis,0
Chh. Sambhaji Nagar,2017,Diphtheria,0
Chh. Sambhaji Nagar,2017,Pertussis,0
Chh. Sambhaji Nagar,2017,Tetanus Neonatorum,0
Chh. Sambhaji Nagar,2017,Tuberculosis (TB),0
Chh. Sambhaji Nagar,2017,Acute Flaccid Paralysis (AFP),0
Chh. Sambhaji Nagar,2017,Measles,0
Chh. Sambhaji Nagar,2017,Malaria,0
Chh. Sambhaji Nagar,2017,Diarrhea,2165
Dharashiv,2017,Pneumonia,93
Dharashiv,2017,Asthma,54
Dharashiv,2017,Sepsis,23
Dharashiv,2017,Diphtheria,0
Dharashiv,2017,Pertussis,0
Dharashiv,2017,Tetanus Neonatorum,0
Dharashiv,2017,Tuberculosis (TB),4
Dharashiv,2017,Acute Flaccid Paralysis (AFP),0
Dharashiv,2017,Measles,23
Dharashiv,2017,Malaria,4
Dharashiv,2017,Diarrhea,2716
Dhule,2017,Pneumonia,15
Dhule,2017,Asthma,16
Dhule,2017,Sepsis,83
Dhule,2017,Diphtheria,0
Dhule,2017,Pertussis,0
Dhule,2017,Tetanus Neonatorum,0
Dhule,2017,Tuberculosis (TB),18
Dhule,2017,Acute Flaccid Paralysis (AFP),3
Dhule,2017,Measles,7
Dhule,2017,Malaria,15
Dhule,2017,Diarrhea,505
Gadchiroli,2017,Pneumonia,327
Gadchiroli,2017,Asthma,62
Gadchiroli,2017,Sepsis,174
Gadchiroli,2017,Diphtheria,0
Gadchiroli,2017,Pertussis,0
Gadchiroli,2017,Tetanus Neonatorum,0
Gadchiroli,2017,Tuberculosis (TB),14
Gadchiroli,2017,Acute Flaccid Paralysis (AFP),7
Gadchiroli,2017,Measles,0
Gadchiroli,2017,Malaria,213
Gadchiroli,2017,Diarrhea,1491
Gondia,2017,Pneumonia,33
Gondia,2017,Asthma,23
Gondia,2017,Sepsis,9
Gondia,2017,Diphtheria,0
Gondia,2017,Pertussis,0
Gondia,2017,Tetanus Neonatorum,0
Gondia,2017,Tuberculosis (TB),4
Gondia,2017,Acute Flaccid Paralysis (AFP),7
Gondia,2017,Measles,5
Gondia,2017,Malaria,4
Gondia,2017,Diarrhea,458
Hingoli,2017,Pneumonia,211
Hingoli,2017,Asthma,70
Hingoli,2017,Sepsis,43
Hingoli,2017,Diphtheria,0
Hingoli,2017,Pertussis,0
Hingoli,2017,Tetanus Neonatorum,0
Hingoli,2017,Tuberculosis (TB),5
Hingoli,2017,Acute Flaccid Paralysis (AFP),6
Hingoli,2017,Measles,58
Hingoli,2017,Malaria,0
Hingoli,2017,Diarrhea,664
Jalgaon,2017,Pneumonia,186
Jalgaon,2017,Asthma,17
Jalgaon,2017,Sepsis,9
Jalgaon,2017,Diphtheria,0
Jalgaon,2017,Pertussis,0
Jalgaon,2017,Tetanus Neonatorum,0
Jalgaon,2017,Tuberculosis (TB),21
Jalgaon,2017,Acute Flaccid Paralysis (AFP),0
Jalgaon,2017,Measles,27
Jalgaon,2017,Malaria,13
Jalgaon,2017,Diarrhea,570
Jalna,2017,Pneumonia,33
Jalna,2017,Asthma,2
Jalna,2017,Sepsis,0
Jalna,2017,Diphtheria,0
Jalna,2017,Pertussis,0
Jalna,2017,Tetanus Neonatorum,0
Jalna,2017,Tuberculosis (TB),0
Jalna,2017,Acute Flaccid Paralysis (AFP),0
Jalna,2017,Measles,35
Jalna,2017,Malaria,7
Jalna,2017,Diarrhea,649
Kolhapur,2017,Pneumonia,71
Kolhapur,2017,Asthma,6
Kolhapur,2017,Sepsis,10
Kolhapur,2017,Diphtheria,0
Kolhapur,2017,Pertussis,0
Kolhapur,2017,Tetanus Neonatorum,0
Kolhapur,2017,Tuberculosis (TB),12
Kolhapur,2017,Acute Flaccid Paralysis (AFP),4
Kolhapur,2017,Measles,3
Kolhapur,2017,Malaria,3
Kolhapur,2017,Diarrhea,1596
Latur,2017,Pneumonia,433
Latur,2017,Asthma,8
Latur,2017,Sepsis,125
Latur,2017,Diphtheria,0
Latur,2017,Pertussis,0
Latur,2017,Tetanus Neonatorum,0
Latur,2017,Tuberculosis (TB),17
Latur,2017,Acute Flaccid Paralysis (AFP),0
Latur,2017,Measles,33
Latur,2017,Malaria,35
Latur,2017,Diarrhea,2199
Mumbai,2017,Pneumonia,4384
Mumbai,2017,Asthma,1836
Mumbai,2017,Sepsis,950
Mumbai,2017,Diphtheria,5
Mumbai,2017,Pertussis,4
Mumbai,2017,Tetanus Neonatorum,5
Mumbai,2017,Tuberculosis (TB),722
Mumbai,2017,Acute Flaccid Paralysis (AFP),124
Mumbai,2017,Measles,628
Mumbai,2017,Malaria,1436
Mumbai,2017,Diarrhea,11253
Nagpur,2017,Pneumonia,167
Nagpur,2017,Asthma,130
Nagpur,2017,Sepsis,82
Nagpur,2017,Diphtheria,2
Nagpur,2017,Pertussis,0
Nagpur,2017,Tetanus Neonatorum,0
Nagpur,2017,Tuberculosis (TB),26
Nagpur,2017,Acute Flaccid Paralysis (AFP),1
Nagpur,2017,Measles,33
Nagpur,2017,Malaria,12
Nagpur,2017,Diarrhea,3819
Nanded,2017,Pneumonia,71
Nanded,2017,Asthma,40
Nanded,2017,Sepsis,16
Nanded,2017,Diphtheria,0
Nanded,2017,Pertussis,0
Nanded,2017,Tetanus Neonatorum,0
Nanded,2017,Tuberculosis (TB),21
Nanded,2017,Acute Flaccid Paralysis (AFP),3
Nanded,2017,Measles,2
Nanded,2017,Malaria,3
Nanded,2017,Diarrhea,1960
Nandurbar,2017,Pneumonia,357
Nandurbar,2017,Asthma,47
Nandurbar,2017,Sepsis,68
Nandurbar,2017,Diphtheria,0
Nandurbar,2017,Pertussis,0
Nandurbar,2017,Tetanus Neonatorum,0
Nandurbar,2017,Tuberculosis (TB),36
Nandurbar,2017,Acute Flaccid Paralysis (AFP),15
Nandurbar,2017,Measles,39
Nandurbar,2017,Malaria,23
Nandurbar,2017,Diarrhea,1094
Nashik,2017,Pneumonia,638
Nashik,2017,Asthma,280
Nashik,2017,Sepsis,36
Nashik,2017,Diphtheria,0
Nashik,2017,Pertussis,0
Nashik,2017,Tetanus Neonatorum,0
Nashik,2017,Tuberculosis (TB),27
Nashik,2017,Acute Flaccid Paralysis (AFP),10
Nashik,2017,Measles,50
Nashik,2017,Malaria,27
Nashik,2017,Diarrhea,2985
Palghar,2017,Pneumonia,603
Palghar,2017,Asthma,127
Palghar,2017,Sepsis,81
Palghar,2017,Diphtheria,0
Palghar,2017,Pertussis,0
Palghar,2017,Tetanus Neonatorum,1
Palghar,2017,Tuberculosis (TB),53
Palghar,2017,Acute Flaccid Paralysis (AFP),16
Palghar,2017,Measles,86
Palghar,2017,Malaria,24
Palghar,2017,Diarrhea,3863
Parbhani,2017,Pneumonia,64
Parbhani,2017,Asthma,49
Parbhani,2017,Sepsis,14
Parbhani,2017,Diphtheria,0
Parbhani,2017,Pertussis,0
Parbhani,2017,Tetanus Neonatorum,0
Parbhani,2017,Tuberculosis (TB),7
Parbhani,2017,Acute Flaccid Paralysis (AFP),8
Parbhani,2017,Measles,258
Parbhani,2017,Malaria,46
Parbhani,2017,Diarrhea,503
Pune,2017,Pneumonia,888
Pune,2017,Asthma,636
Pune,2017,Sepsis,243
Pune,2017,Diphtheria,13
Pune,2017,Pertussis,7
Pune,2017,Tetanus Neonatorum,0
Pune,2017,Tuberculosis (TB),90
Pune,2017,Acute Flaccid Paralysis (AFP),34
Pune,2017,Measles,219
Pune,2017,Malaria,292
Pune,2017,Diarrhea,14523
Raigad,2017,Pneumonia,102
Raigad,2017,Asthma,181
Raigad,2017,Sepsis,49
Raigad,2017,Diphtheria,0
Raigad,2017,Pertussis,0
Raigad,2017,Tetanus Neonatorum,0
Raigad,2017,Tuberculosis (TB),40
Raigad,2017,Acute Flaccid Paralysis (AFP),2
Raigad,2017,Measles,44
Raigad,2017,Malaria,124
Raigad,2017,Diarrhea,2396
Ratnagiri,2017,Pneumonia,228
Ratnagiri,2017,Asthma,0
Ratnagiri,2017,Sepsis,8
Ratnagiri,2017,Diphtheria,0
Ratnagiri,2017,Pertussis,0
Ratnagiri,2017,Tetanus Neonatorum,0
Ratnagiri,2017,Tuberculosis (TB),19
Ratnagiri,2017,Acute Flaccid Paralysis (AFP),4
Ratnagiri,2017,Measles,25
Ratnagiri,2017,Malaria,2
Ratnagiri,2017,Diarrhea,1203
Sangli,2017,Pneumonia,158
Sangli,2017,Asthma,10
Sangli,2017,Sepsis,3
Sangli,2017,Diphtheria,0
Sangli,2017,Pertussis,0
Sangli,2017,Tetanus Neonatorum,0
Sangli,2017,Tuberculosis (TB),7
Sangli,2017,Acute Flaccid Paralysis (AFP),16
Sangli,2017,Measles,6
Sangli,2017,Malaria,0
Sangli,2017,Diarrhea,2351
Satara,2017,Pneumonia,216
Satara,2017,Asthma,43
Satara,2017,Sepsis,71
Satara,2017,Diphtheria,0
Satara,2017,Pertussis,0
Satara,2017,Tetanus Neonatorum,0
Satara,2017,Tuberculosis (TB),24
Satara,2017,Acute Flaccid Paralysis (AFP),2
Satara,2017,Measles,40
Satara,2017,Malaria,159
Satara,2017,Diarrhea,4291
Sindhudurg,2017,Pneumonia,7
Sindhudurg,2017,Asthma,1
Sindhudurg,2017,Sepsis,20
Sindhudurg,2017,Diphtheria,0
Sindhudurg,2017,Pertussis,0
Sindhudurg,2017,Tetanus Neonatorum,0
Sindhudurg,2017,Tuberculosis (TB),13
Sindhudurg,2017,Acute Flaccid Paralysis (AFP),1
Sindhudurg,2017,Measles,1
Sindhudurg,2017,Malaria,11
Sindhudurg,2017,Diarrhea,543
Solapur,2017,Pneumonia,425
Solapur,2017,Asthma,109
Solapur,2017,Sepsis,164
Solapur,2017,Diphtheria,0
Solapur,2017,Pertussis,0
Solapur,2017,Tetanus Neonatorum,0
Solapur,2017,Tuberculosis (TB),55
Solapur,2017,Acute Flaccid Paralysis (AFP),10
Solapur,2017,Measles,65
Solapur,2017,Malaria,5
Solapur,2017,Diarrhea,588
Thane,2017,Pneumonia,323
Thane,2017,Asthma,42
Thane,2017,Sepsis,137
Thane,2017,Diphtheria,0
Thane,2017,Pertussis,0
Thane,2017,Tetanus Neonatorum,0
Thane,2017,Tuberculosis (TB),106
Thane,2017,Acute Flaccid Paralysis (AFP),58
Thane,2017,Measles,280
Thane,2017,Malaria,470
Thane,2017,Diarrhea,3289
Wardha,2017,Pneumonia,96
Wardha,2017,Asthma,34
Wardha,2017,Sepsis,24
Wardha,2017,Diphtheria,0
Wardha,2017,Pertussis,0
Wardha,2017,Tetanus Neonatorum,0
Wardha,2017,Tuberculosis (TB),1
Wardha,2017,Acute Flaccid Paralysis (AFP),3
Wardha,2017,Measles,10
Wardha,2017,Malaria,2
Wardha,2017,Diarrhea,884
Washim,2017,Pneumonia,0
Washim,2017,Asthma,2
Washim,2017,Sepsis,0
Washim,2017,Diphtheria,0
Washim,2017,Pertussis,0
Washim,2017,Tetanus Neonatorum,0
Washim,2017,Tuberculosis (TB),9
Washim,2017,Acute Flaccid Paralysis (AFP),1
Washim,2017,Measles,3
Washim,2017,Malaria,2
Washim,2017,Diarrhea,20
Yavatmal,2017,Pneumonia,59
Yavatmal,2017,Asthma,85
Yavatmal,2017,Sepsis,10
Yavatmal,2017,Diphtheria,0
Yavatmal,2017,Pertussis,0
Yavatmal,2017,Tetanus Neonatorum,0
Yavatmal,2017,Tuberculosis (TB),17
Yavatmal,2017,Acute Flaccid Paralysis (AFP),1
Yavatmal,2017,Measles,6
Yavatmal,2017,Malaria,3
Yavatmal,2017,Diarrhea,616
