District,Year,Registered for Antenatal Care,Registrations within First Trimester,% of Antenatal Care Registrations Done in First Trimester
Chhatrapati Sambhaji Nagar,2008,22878,15177,66.3
Dharashiv,2008,32388,23050,71.2
Dhule,2008,45610,22350,49
Gadchiroli,2008,22749,14902,65.5
Gondia,2008,24326,15651,64.3
Hingoli,2008,25365,15449,60.9
Jalgaon,2008,93557,44463,47.5
Jalna,2008,45704,29913,65.4
Kolhapur,2008,73618,47305,64.3
Latur,2008,54394,36187,66.5
Mumbai,2008,198982,19733,9.9
Nagpur,2008,109714,43292,39.5
Nanded,2008,76217,54108,71
Nandurbar,2008,35836,20241,56.5
Nashik,2008,132105,71619,54.2
Palghar,2008,,,
Parbhani,2008,37177,19642,52.8
Pune,2008,169224,119826,70.8
Raigad,2008,47186,25043,53.1
Ratnagiri,2008,28084,19792,70.5
Sangli,2008,56263,40489,72
Satara,2008,55692,37955,68.2
Sindhudurg,2008,11774,9067,77
Solapur,2008,96422,50019,51.9
Thane,2008,244092,145764,59.7
Wardha,2008,25334,15286,60.3
Washim,2008,22878,15177,66.3
Yavatmal,2008,55097,39827,72.3
