District,Year,Taluka,Select Variable,Percentage
Ahilyanagar,2013,Srigonda,Infants at Normal Weight,96.06
Ahilyanagar,2013,Srigonda,Infants with Moderate Acute Malnutrition,4.61
Ahilyanagar,2013,Srigonda,Infants with Severe Acute Malnutrition,0.62
Ahilyanagar,2013,Karjat,Infants at Normal Weight,93.73
Ahilyanagar,2013,Karjat,Infants with Moderate Acute Malnutrition,5.55
Ahilyanagar,2013,Karjat,Infants with Severe Acute Malnutrition,1.03
Ahilyanagar,2013,Jamkhed,Infants at Normal Weight,95.38
Ahilyanagar,2013,Jamkhed,Infants with Moderate Acute Malnutrition,5.88
Ahilyanagar,2013,Jamkhed,Infants with Severe Acute Malnutrition,0.82
Ahilyanagar,2014,Akole,Infants at Normal Weight,80.87
Ahilyanagar,2014,Akole,Infants with Moderate Acute Malnutrition,15.71
Ahilyanagar,2014,Akole,Infants with Severe Acute Malnutrition,3.42
Ahilyanagar,2014,Sangamner,Infants at Normal Weight,91.99
Ahilyanagar,2014,Sangamner,Infants with Moderate Acute Malnutrition,6.88
Ahilyanagar,2014,Sangamner,Infants with Severe Acute Malnutrition,1.13
Ahilyanagar,2014,Kopargaon,Infants at Normal Weight,91.58
Ahilyanagar,2014,Kopargaon,Infants with Moderate Acute Malnutrition,7.36
Ahilyanagar,2014,Kopargaon,Infants with Severe Acute Malnutrition,1.06
Ahilyanagar,2014,Rahata,Infants at Normal Weight,87.12
Ahilyanagar,2014,Rahata,Infants with Moderate Acute Malnutrition,10.85
Ahilyanagar,2014,Rahata,Infants with Severe Acute Malnutrition,2.02
Ahilyanagar,2014,Srirampur,Infants at Normal Weight,87.25
Ahilyanagar,2014,Srirampur,Infants with Moderate Acute Malnutrition,11.12
Ahilyanagar,2014,Srirampur,Infants with Severe Acute Malnutrition,1.63
Ahilyanagar,2014,Nevasa,Infants at Normal Weight,86.72
Ahilyanagar,2014,Nevasa,Infants with Moderate Acute Malnutrition,5.55
Ahilyanagar,2014,Nevasa,Infants with Severe Acute Malnutrition,1.15
Ahilyanagar,2014,Shevgaon,Infants at Normal Weight,86.8
Ahilyanagar,2014,Shevgaon,Infants with Moderate Acute Malnutrition,11.39
Ahilyanagar,2014,Shevgaon,Infants with Severe Acute Malnutrition,1.81
Ahilyanagar,2014,Pathardi,Infants at Normal Weight,89.55
Ahilyanagar,2014,Pathardi,Infants with Moderate Acute Malnutrition,9.06
Ahilyanagar,2014,Pathardi,Infants with Severe Acute Malnutrition,1.39
Ahilyanagar,2014,Nagar,Infants at Normal Weight,90.02
Ahilyanagar,2014,Nagar,Infants with Moderate Acute Malnutrition,8.7
Ahilyanagar,2014,Nagar,Infants with Severe Acute Malnutrition,1.28
Ahilyanagar,2014,Rahuri,Infants at Normal Weight,89.77
Ahilyanagar,2014,Rahuri,Infants with Moderate Acute Malnutrition,8.82
Ahilyanagar,2014,Rahuri,Infants with Severe Acute Malnutrition,1.41
Ahilyanagar,2014,Parner,Infants at Normal Weight,89.35
Ahilyanagar,2014,Parner,Infants with Moderate Acute Malnutrition,8.86
Ahilyanagar,2014,Parner,Infants with Severe Acute Malnutrition,1.79
Ahilyanagar,2014,Srigonda,Infants at Normal Weight,92.36
Ahilyanagar,2014,Srigonda,Infants with Moderate Acute Malnutrition,6.84
Ahilyanagar,2014,Srigonda,Infants with Severe Acute Malnutrition,0.8
Ahilyanagar,2014,Karjat,Infants at Normal Weight,89.47
Ahilyanagar,2014,Karjat,Infants with Moderate Acute Malnutrition,9.13
Ahilyanagar,2014,Karjat,Infants with Severe Acute Malnutrition,1.4
Ahilyanagar,2014,Jamkhed,Infants at Normal Weight,91.9
Ahilyanagar,2014,Jamkhed,Infants with Moderate Acute Malnutrition,7.15
Ahilyanagar,2014,Jamkhed,Infants with Severe Acute Malnutrition,0.96
Ahilyanagar,2015,Akole,Infants at Normal Weight,80.89
Ahilyanagar,2015,Akole,Infants with Moderate Acute Malnutrition,15.7
Ahilyanagar,2015,Akole,Infants with Severe Acute Malnutrition,3.41
Ahilyanagar,2015,Sangamner,Infants at Normal Weight,92.54
Ahilyanagar,2015,Sangamner,Infants with Moderate Acute Malnutrition,6.71
Ahilyanagar,2015,Sangamner,Infants with Severe Acute Malnutrition,0.75
Ahilyanagar,2015,Kopargaon,Infants at Normal Weight,93.67
Ahilyanagar,2015,Kopargaon,Infants with Moderate Acute Malnutrition,5.73
Ahilyanagar,2015,Kopargaon,Infants with Severe Acute Malnutrition,0.6
Ahilyanagar,2015,Rahata,Infants at Normal Weight,89.49
Ahilyanagar,2015,Rahata,Infants with Moderate Acute Malnutrition,8.97
Ahilyanagar,2015,Rahata,Infants with Severe Acute Malnutrition,1.55
Ahilyanagar,2015,Srirampur,Infants at Normal Weight,90.21
Ahilyanagar,2015,Srirampur,Infants with Moderate Acute Malnutrition,8.36
Ahilyanagar,2015,Srirampur,Infants with Severe Acute Malnutrition,1.43
Ahilyanagar,2015,Nevasa,Infants at Normal Weight,92.62
Ahilyanagar,2015,Nevasa,Infants with Moderate Acute Malnutrition,6.2
Ahilyanagar,2015,Nevasa,Infants with Severe Acute Malnutrition,1.18
Ahilyanagar,2015,Shevgaon,Infants at Normal Weight,91.52
Ahilyanagar,2015,Shevgaon,Infants with Moderate Acute Malnutrition,7.42
Ahilyanagar,2015,Shevgaon,Infants with Severe Acute Malnutrition,1.07
