District,Year,Taluka,Select Variable,Percentage
Gadchiroli,2018,Mulchera,Infants with Moderate Acute Malnutrition,1.76
Gadchiroli,2018,Mulchera,Infants with Severe Acute Malnutrition,0.13
Gadchiroli,2018,Etapalli,Infants at Normal Weight,93.77
Gadchiroli,2018,Etapalli,Infants with Moderate Acute Malnutrition,4.89
Gadchiroli,2018,Etapalli,Infants with Severe Acute Malnutrition,1.34
Gadchiroli,2018,Bhamragad,Infants at Normal Weight,91.45
Gadchiroli,2018,Bhamragad,Infants with Moderate Acute Malnutrition,6.38
Gadchiroli,2018,Bhamragad,Infants with Severe Acute Malnutrition,2.17
Gadchiroli,2018,Aheri,Infants at Normal Weight,95.28
Gadchiroli,2018,Aheri,Infants with Moderate Acute Malnutrition,3.59
Gadchiroli,2018,Aheri,Infants with Severe Acute Malnutrition,1.13
Gadchiroli,2018,Sironcha,Infants at Normal Weight,96.12
Gadchiroli,2018,Sironcha,Infants with Moderate Acute Malnutrition,3.3
Gadchiroli,2018,Sironcha,Infants with Severe Acute Malnutrition,0.58
Gadchiroli,2019,Desaiganj,Infants at Normal Weight,80.73
Gadchiroli,2019,Desaiganj,Infants with Moderate Acute Malnutrition,16.06
Gadchiroli,2019,Desaiganj,Infants with Severe Acute Malnutrition,3.21
Gadchiroli,2019,Aarmori,Infants at Normal Weight,74.12
Gadchiroli,2019,Aarmori,Infants with Moderate Acute Malnutrition,21.84
Gadchiroli,2019,Aarmori,Infants with Severe Acute Malnutrition,5.16
Gadchiroli,2019,Kurkheda,Infants at Normal Weight,78.3
Gadchiroli,2019,Kurkheda,Infants with Moderate Acute Malnutrition,17.32
Gadchiroli,2019,Kurkheda,Infants with Severe Acute Malnutrition,5.28
Gadchiroli,2019,Korachi,Infants at Normal Weight,71.21
Gadchiroli,2019,Korachi,Infants with Moderate Acute Malnutrition,22.78
Gadchiroli,2019,Korachi,Infants with Severe Acute Malnutrition,7.18
Gadchiroli,2019,Dhanora,Infants at Normal Weight,80.17
Gadchiroli,2019,Dhanora,Infants with Moderate Acute Malnutrition,16.44
Gadchiroli,2019,Dhanora,Infants with Severe Acute Malnutrition,3.87
Gadchiroli,2019,Gadchiroli,Infants at Normal Weight,74.8
Gadchiroli,2019,Gadchiroli,Infants with Moderate Acute Malnutrition,21.5
Gadchiroli,2019,Gadchiroli,Infants with Severe Acute Malnutrition,4.78
Gadchiroli,2019,Chomoshi,Infants at Normal Weight,75.58
Gadchiroli,2019,Chomoshi,Infants with Moderate Acute Malnutrition,19.99
Gadchiroli,2019,Chomoshi,Infants with Severe Acute Malnutrition,5.07
Gadchiroli,2019,Mulchera,Infants at Normal Weight,82.93
Gadchiroli,2019,Mulchera,Infants with Moderate Acute Malnutrition,16.34
Gadchiroli,2019,Mulchera,Infants with Severe Acute Malnutrition,3.56
Gadchiroli,2019,Etapalli,Infants at Normal Weight,76.64
Gadchiroli,2019,Etapalli,Infants with Moderate Acute Malnutrition,17.49
Gadchiroli,2019,Etapalli,Infants with Severe Acute Malnutrition,6.36
Gadchiroli,2019,Bhamragad,Infants at Normal Weight,68.51
Gadchiroli,2019,Bhamragad,Infants with Moderate Acute Malnutrition,24.93
Gadchiroli,2019,Bhamragad,Infants with Severe Acute Malnutrition,8.79
Gadchiroli,2019,Aheri,Infants at Normal Weight,81.63
Gadchiroli,2019,Aheri,Infants with Moderate Acute Malnutrition,15.25
Gadchiroli,2019,Aheri,Infants with Severe Acute Malnutrition,3.94
Gadchiroli,2019,Sironcha,Infants at Normal Weight,81.96
Gadchiroli,2019,Sironcha,Infants with Moderate Acute Malnutrition,16.51
Gadchiroli,2019,Sironcha,Infants with Severe Acute Malnutrition,3.81
Gadchiroli,2020,Desaiganj,Infants at Normal Weight,82.27
Gadchiroli,2020,Desaiganj,Infants with Moderate Acute Malnutrition,5.21
Gadchiroli,2020,Desaiganj,Infants with Severe Acute Malnutrition,0.51
Gadchiroli,2020,Aarmori,Infants at Normal Weight,72.52
Gadchiroli,2020,Aarmori,Infants with Moderate Acute Malnutrition,5.93
Gadchiroli,2020,Aarmori,Infants with Severe Acute Malnutrition,0.45
Gadchiroli,2020,Kurkheda,Infants at Normal Weight,75.5
Gadchiroli,2020,Kurkheda,Infants with Moderate Acute Malnutrition,5.77
Gadchiroli,2020,Kurkheda,Infants with Severe Acute Malnutrition,1.1
Gadchiroli,2020,Korachi,Infants at Normal Weight,72.48
Gadchiroli,2020,Korachi,Infants with Moderate Acute Malnutrition,8.32
Gadchiroli,2020,Korachi,Infants with Severe Acute Malnutrition,1.33
Gadchiroli,2020,Dhanora,Infants at Normal Weight,77.49
Gadchiroli,2020,Dhanora,Infants with Moderate Acute Malnutrition,4.92
Gadchiroli,2020,Dhanora,Infants with Severe Acute Malnutrition,0.82
Gadchiroli,2020,Gadchiroli,Infants at Normal Weight,76.67
Gadchiroli,2020,Gadchiroli,Infants with Moderate Acute Malnutrition,6.68
Gadchiroli,2020,Gadchiroli,Infants with Severe Acute Malnutrition,0.67
Gadchiroli,2020,Chomoshi,Infants at Normal Weight,74.12
Gadchiroli,2020,Chomoshi,Infants with Moderate Acute Malnutrition,8.04
Gadchiroli,2020,Chomoshi,Infants with Severe Acute Malnutrition,0.88
Gadchiroli,2020,Mulchera,Infants at Normal Weight,81.7
Gadchiroli,2020,Mulchera,Infants with Moderate Acute Malnutrition,2.24
Gadchiroli,2020,Mulchera,Infants with Severe Acute Malnutrition,0.18
Gadchiroli,2020,Etapalli,Infants at Normal Weight,76.33
Gadchiroli,2020,Etapalli,Infants with Moderate Acute Malnutrition,6.94
Gadchiroli,2020,Etapalli,Infants with Severe Acute Malnutrition,1.71
Gadchiroli,2020,Bhamragad,Infants at Normal Weight,65.66
Gadchiroli,2020,Bhamragad,Infants with Moderate Acute Malnutrition,9.09
Gadchiroli,2020,Bhamragad,Infants with Severe Acute Malnutrition,2.85
Gadchiroli,2020,Aheri,Infants at Normal Weight,79.89
Gadchiroli,2020,Aheri,Infants with Moderate Acute Malnutrition,3.69
Gadchiroli,2020,Aheri,Infants with Severe Acute Malnutrition,0.91
Gadchiroli,2020,Sironcha,Infants at Normal Weight,78.73
Gadchiroli,2020,Sironcha,Infants with Moderate Acute Malnutrition,4.06
Gadchiroli,2020,Sironcha,Infants with Severe Acute Malnutrition,0.61
Gadchiroli,2021,Desaiganj,Infants at Normal Weight,78.35
Gadchiroli,2021,Desaiganj,Infants with Moderate Acute Malnutrition,5.43
Gadchiroli,2021,Desaiganj,Infants with Severe Acute Malnutrition,0.23
Gadchiroli,2021,Aarmori,Infants at Normal Weight,75.85
Gadchiroli,2021,Aarmori,Infants with Moderate Acute Malnutrition,6.24
Gadchiroli,2021,Aarmori,Infants with Severe Acute Malnutrition,0.4
Gadchiroli,2021,Kurkheda,Infants at Normal Weight,79.58
Gadchiroli,2021,Kurkheda,Infants with Moderate Acute Malnutrition,4.83
Gadchiroli,2021,Kurkheda,Infants with Severe Acute Malnutrition,0.45
Gadchiroli,2021,Korachi,Infants at Normal Weight,75
Gadchiroli,2021,Korachi,Infants with Moderate Acute Malnutrition,5.78
Gadchiroli,2021,Korachi,Infants with Severe Acute Malnutrition,0.59
Gadchiroli,2021,Dhanora,Infants at Normal Weight,79.98
Gadchiroli,2021,Dhanora,Infants with Moderate Acute Malnutrition,3.96
Gadchiroli,2021,Dhanora,Infants with Severe Acute Malnutrition,0.49
Gadchiroli,2021,Gadchiroli,Infants at Normal Weight,74.54
Gadchiroli,2021,Gadchiroli,Infants with Moderate Acute Malnutrition,6.57
Gadchiroli,2021,Gadchiroli,Infants with Severe Acute Malnutrition,0.58
Gadchiroli,2021,Chomoshi,Infants at Normal Weight,77.1
Gadchiroli,2021,Chomoshi,Infants with Moderate Acute Malnutrition,9.03
Gadchiroli,2021,Chomoshi,Infants with Severe Acute Malnutrition,0.91
Gadchiroli,2021,Mulchera,Infants at Normal Weight,85.01
Gadchiroli,2021,Mulchera,Infants with Moderate Acute Malnutrition,1.7
Gadchiroli,2021,Mulchera,Infants with Severe Acute Malnutrition,0.11
Gadchiroli,2021,Etapalli,Infants at Normal Weight,79.55
Gadchiroli,2021,Etapalli,Infants with Moderate Acute Malnutrition,4.64
Gadchiroli,2021,Etapalli,Infants with Severe Acute Malnutrition,0.94
Gadchiroli,2021,Bhamragad,Infants at Normal Weight,68.14
Gadchiroli,2021,Bhamragad,Infants with Moderate Acute Malnutrition,8.65
Gadchiroli,2021,Bhamragad,Infants with Severe Acute Malnutrition,1.32
Gadchiroli,2021,Aheri,Infants at Normal Weight,84.01
Gadchiroli,2021,Aheri,Infants with Moderate Acute Malnutrition,4.47
Gadchiroli,2021,Aheri,Infants with Severe Acute Malnutrition,0.74
Gadchiroli,2021,Sironcha,Infants at Normal Weight,79.53
Gadchiroli,2021,Sironcha,Infants with Moderate Acute Malnutrition,4.12
Gadchiroli,2021,Sironcha,Infants with Severe Acute Malnutrition,0.46
Gondia,2012,Tiroda,Infants at Normal Weight,91.44
Gondia,2012,Tiroda,Infants with Moderate Acute Malnutrition,7.21
Gondia,2012,Tiroda,Infants with Severe Acute Malnutrition,1.35
Gondia,2012,Goregaon,Infants at Normal Weight,94.35
Gondia,2012,Goregaon,Infants with Moderate Acute Malnutrition,4.89
Gondia,2012,Goregaon,Infants with Severe Acute Malnutrition,0.76
Gondia,2012,Gondia,Infants at Normal Weight,93.03
Gondia,2012,Gondia,Infants with Moderate Acute Malnutrition,5.81
Gondia,2012,Gondia,Infants with Severe Acute Malnutrition,1.17
Gondia,2012,Aamgaon,Infants at Normal Weight,91.17
Gondia,2012,Aamgaon,Infants with Moderate Acute Malnutrition,7.32
Gondia,2012,Aamgaon,Infants with Severe Acute Malnutrition,1.52
Gondia,2012,Salekasa,Infants at Normal Weight,90.55
Gondia,2012,Salekasa,Infants with Moderate Acute Malnutrition,7.9
Gondia,2012,Salekasa,Infants with Severe Acute Malnutrition,1.56
Gondia,2012,Sadak Arjuni,Infants at Normal Weight,91.31
Gondia,2012,Sadak Arjuni,Infants with Moderate Acute Malnutrition,7.19
Gondia,2012,Sadak Arjuni,Infants with Severe Acute Malnutrition,1.5
Gondia,2012,Arjuni Morgaon,Infants at Normal Weight,91.14
Gondia,2012,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,7.37
Gondia,2012,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.49
Gondia,2012,Devari,Infants at Normal Weight,94.57
Gondia,2012,Devari,Infants with Moderate Acute Malnutrition,4.7
Gondia,2012,Devari,Infants with Severe Acute Malnutrition,0.73
Gondia,2013,Tiroda,Infants at Normal Weight,89.65
Gondia,2013,Tiroda,Infants with Moderate Acute Malnutrition,8.55
Gondia,2013,Tiroda,Infants with Severe Acute Malnutrition,1.8
Gondia,2013,Goregaon,Infants at Normal Weight,89.17
Gondia,2013,Goregaon,Infants with Moderate Acute Malnutrition,9.47
Gondia,2013,Goregaon,Infants with Severe Acute Malnutrition,1.37
Gondia,2013,Gondia,Infants at Normal Weight,93.54
Gondia,2013,Gondia,Infants with Moderate Acute Malnutrition,5.1
Gondia,2013,Gondia,Infants with Severe Acute Malnutrition,1.36
Gondia,2013,Aamgaon,Infants at Normal Weight,85.76
Gondia,2013,Aamgaon,Infants with Moderate Acute Malnutrition,11.58
Gondia,2013,Aamgaon,Infants with Severe Acute Malnutrition,2.65
Gondia,2013,Salekasa,Infants at Normal Weight,84.37
Gondia,2013,Salekasa,Infants with Moderate Acute Malnutrition,12.82
Gondia,2013,Salekasa,Infants with Severe Acute Malnutrition,2.81
Gondia,2013,Sadak Arjuni,Infants at Normal Weight,87.2
Gondia,2013,Sadak Arjuni,Infants with Moderate Acute Malnutrition,10.54
Gondia,2013,Sadak Arjuni,Infants with Severe Acute Malnutrition,2.26
Gondia,2013,Arjuni Morgaon,Infants at Normal Weight,100
Gondia,2013,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,10.23
Gondia,2013,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.97
Gondia,2013,Devari,Infants at Normal Weight,92.3
Gondia,2013,Devari,Infants with Moderate Acute Malnutrition,6.63
Gondia,2013,Devari,Infants with Severe Acute Malnutrition,1.08
Gondia,2014,Tiroda,Infants at Normal Weight,93.46
Gondia,2014,Tiroda,Infants with Moderate Acute Malnutrition,5.5
Gondia,2014,Tiroda,Infants with Severe Acute Malnutrition,1.04
Gondia,2014,Goregaon,Infants at Normal Weight,93.34
Gondia,2014,Goregaon,Infants with Moderate Acute Malnutrition,5.86
Gondia,2014,Goregaon,Infants with Severe Acute Malnutrition,0.8
Gondia,2014,Gondia,Infants at Normal Weight,94.4
Gondia,2014,Gondia,Infants with Moderate Acute Malnutrition,4.64
Gondia,2014,Gondia,Infants with Severe Acute Malnutrition,0.96
Gondia,2014,Aamgaon,Infants at Normal Weight,91.79
Gondia,2014,Aamgaon,Infants with Moderate Acute Malnutrition,6.66
Gondia,2014,Aamgaon,Infants with Severe Acute Malnutrition,1.55
Gondia,2014,Salekasa,Infants at Normal Weight,91.05
Gondia,2014,Salekasa,Infants with Moderate Acute Malnutrition,7.61
Gondia,2014,Salekasa,Infants with Severe Acute Malnutrition,1.33
Gondia,2014,Sadak Arjuni,Infants at Normal Weight,92.9
Gondia,2014,Sadak Arjuni,Infants with Moderate Acute Malnutrition,6.16
Gondia,2014,Sadak Arjuni,Infants with Severe Acute Malnutrition,0.94
Gondia,2014,Arjuni Morgaon,Infants at Normal Weight,90.03
Gondia,2014,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,8.31
Gondia,2014,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.67
Gondia,2014,Devari,Infants at Normal Weight,94.18
Gondia,2014,Devari,Infants with Moderate Acute Malnutrition,5.23
Gondia,2014,Devari,Infants with Severe Acute Malnutrition,0.59
Gondia,2015,Tiroda,Infants at Normal Weight,94.63
Gondia,2015,Tiroda,Infants with Moderate Acute Malnutrition,5.45
Gondia,2015,Tiroda,Infants with Severe Acute Malnutrition,1.15
Gondia,2015,Goregaon,Infants at Normal Weight,94.24
Gondia,2015,Goregaon,Infants with Moderate Acute Malnutrition,4.87
Gondia,2015,Goregaon,Infants with Severe Acute Malnutrition,0.89
Gondia,2015,Gondia,Infants at Normal Weight,96.18
Gondia,2015,Gondia,Infants with Moderate Acute Malnutrition,4.4
Gondia,2015,Gondia,Infants with Severe Acute Malnutrition,0.79
Gondia,2015,Aamgaon,Infants at Normal Weight,91.89
Gondia,2015,Aamgaon,Infants with Moderate Acute Malnutrition,6.83
Gondia,2015,Aamgaon,Infants with Severe Acute Malnutrition,1.28
Gondia,2015,Salekasa,Infants at Normal Weight,89.7
Gondia,2015,Salekasa,Infants with Moderate Acute Malnutrition,8.75
Gondia,2015,Salekasa,Infants with Severe Acute Malnutrition,1.55
Gondia,2015,Sadak Arjuni,Infants at Normal Weight,91.98
Gondia,2015,Sadak Arjuni,Infants with Moderate Acute Malnutrition,6.88
Gondia,2015,Sadak Arjuni,Infants with Severe Acute Malnutrition,1.14
Gondia,2015,Arjuni Morgaon,Infants at Normal Weight,90.01
Gondia,2015,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,8.34
Gondia,2015,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.65
Gondia,2015,Devari,Infants at Normal Weight,95.51
Gondia,2015,Devari,Infants with Moderate Acute Malnutrition,3.82
Gondia,2015,Devari,Infants with Severe Acute Malnutrition,0.67
Gondia,2016,Tiroda,Infants at Normal Weight,94.29
Gondia,2016,Tiroda,Infants with Moderate Acute Malnutrition,4.71
Gondia,2016,Tiroda,Infants with Severe Acute Malnutrition,1.01
Gondia,2016,Goregaon,Infants at Normal Weight,94.15
Gondia,2016,Goregaon,Infants with Moderate Acute Malnutrition,5.05
Gondia,2016,Goregaon,Infants with Severe Acute Malnutrition,0.8
Gondia,2016,Gondia,Infants at Normal Weight,94.9
Gondia,2016,Gondia,Infants with Moderate Acute Malnutrition,4.12
Gondia,2016,Gondia,Infants with Severe Acute Malnutrition,0.98
Gondia,2016,Aamgaon,Infants at Normal Weight,91.55
Gondia,2016,Aamgaon,Infants with Moderate Acute Malnutrition,7.05
Gondia,2016,Aamgaon,Infants with Severe Acute Malnutrition,1.4
Gondia,2016,Salekasa,Infants at Normal Weight,91.55
Gondia,2016,Salekasa,Infants with Moderate Acute Malnutrition,7.1
Gondia,2016,Salekasa,Infants with Severe Acute Malnutrition,1.35
Gondia,2016,Sadak Arjuni,Infants at Normal Weight,92.96
Gondia,2016,Sadak Arjuni,Infants with Moderate Acute Malnutrition,5.85
Gondia,2016,Sadak Arjuni,Infants with Severe Acute Malnutrition,1.19
Gondia,2016,Arjuni Morgaon,Infants at Normal Weight,89.97
Gondia,2016,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,8.43
Gondia,2016,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.61
Gondia,2016,Devari,Infants at Normal Weight,95.05
Gondia,2016,Devari,Infants with Moderate Acute Malnutrition,4.2
Gondia,2016,Devari,Infants with Severe Acute Malnutrition,0.74
Gondia,2017,Tiroda,Infants at Normal Weight,93.73
Gondia,2017,Tiroda,Infants with Moderate Acute Malnutrition,5.15
Gondia,2017,Tiroda,Infants with Severe Acute Malnutrition,1.12
Gondia,2017,Goregaon,Infants at Normal Weight,92.66
Gondia,2017,Goregaon,Infants with Moderate Acute Malnutrition,6.22
Gondia,2017,Goregaon,Infants with Severe Acute Malnutrition,1.12
Gondia,2017,Gondia,Infants at Normal Weight,94.5
Gondia,2017,Gondia,Infants with Moderate Acute Malnutrition,4.47
Gondia,2017,Gondia,Infants with Severe Acute Malnutrition,1.03
Gondia,2017,Aamgaon,Infants at Normal Weight,92.17
Gondia,2017,Aamgaon,Infants with Moderate Acute Malnutrition,6.43
Gondia,2017,Aamgaon,Infants with Severe Acute Malnutrition,1.41
Gondia,2017,Salekasa,Infants at Normal Weight,89.84
Gondia,2017,Salekasa,Infants with Moderate Acute Malnutrition,8.31
Gondia,2017,Salekasa,Infants with Severe Acute Malnutrition,1.85
Gondia,2017,Sadak Arjuni,Infants at Normal Weight,92.74
Gondia,2017,Sadak Arjuni,Infants with Moderate Acute Malnutrition,6.3
Gondia,2017,Sadak Arjuni,Infants with Severe Acute Malnutrition,0.96
Gondia,2017,Arjuni Morgaon,Infants at Normal Weight,89.54
Gondia,2017,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,8.92
Gondia,2017,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.54
Gondia,2017,Devari,Infants at Normal Weight,93.96
Gondia,2017,Devari,Infants with Moderate Acute Malnutrition,5.01
Gondia,2017,Devari,Infants with Severe Acute Malnutrition,1.03
Gondia,2018,Tiroda,Infants at Normal Weight,93.6
Gondia,2018,Tiroda,Infants with Moderate Acute Malnutrition,5.26
Gondia,2018,Tiroda,Infants with Severe Acute Malnutrition,1.14
Gondia,2018,Goregaon,Infants at Normal Weight,93.11
Gondia,2018,Goregaon,Infants with Moderate Acute Malnutrition,5.72
Gondia,2018,Goregaon,Infants with Severe Acute Malnutrition,1.17
Gondia,2018,Gondia,Infants at Normal Weight,93.97
Gondia,2018,Gondia,Infants with Moderate Acute Malnutrition,5.01
Gondia,2018,Gondia,Infants with Severe Acute Malnutrition,1.01
Gondia,2018,Aamgaon,Infants at Normal Weight,92.05
Gondia,2018,Aamgaon,Infants with Moderate Acute Malnutrition,6.82
Gondia,2018,Aamgaon,Infants with Severe Acute Malnutrition,1.25
Gondia,2018,Salekasa,Infants at Normal Weight,124.1
Gondia,2018,Salekasa,Infants with Moderate Acute Malnutrition,9.19
Gondia,2018,Salekasa,Infants with Severe Acute Malnutrition,1.68
Gondia,2018,Sadak Arjuni,Infants at Normal Weight,92.38
Gondia,2018,Sadak Arjuni,Infants with Moderate Acute Malnutrition,6.67
Gondia,2018,Sadak Arjuni,Infants with Severe Acute Malnutrition,1.45
Gondia,2018,Arjuni Morgaon,Infants at Normal Weight,88.99
Gondia,2018,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,9.43
Gondia,2018,Arjuni Morgaon,Infants with Severe Acute Malnutrition,1.58
Gondia,2018,Devari,Infants at Normal Weight,94.54
Gondia,2018,Devari,Infants with Moderate Acute Malnutrition,4.46
Gondia,2018,Devari,Infants with Severe Acute Malnutrition,1
Gondia,2019,Tiroda,Infants at Normal Weight,88.36
Gondia,2019,Tiroda,Infants with Moderate Acute Malnutrition,9.55
Gondia,2019,Tiroda,Infants with Severe Acute Malnutrition,2.09
Gondia,2019,Goregaon,Infants at Normal Weight,89.16
Gondia,2019,Goregaon,Infants with Moderate Acute Malnutrition,8.91
Gondia,2019,Goregaon,Infants with Severe Acute Malnutrition,1.93
Gondia,2019,Gondia,Infants at Normal Weight,83.17
Gondia,2019,Gondia,Infants with Moderate Acute Malnutrition,13.68
Gondia,2019,Gondia,Infants with Severe Acute Malnutrition,3.14
Gondia,2019,Aamgaon,Infants at Normal Weight,89.97
Gondia,2019,Aamgaon,Infants with Moderate Acute Malnutrition,8.1
Gondia,2019,Aamgaon,Infants with Severe Acute Malnutrition,1.92
Gondia,2019,Salekasa,Infants at Normal Weight,85.84
Gondia,2019,Salekasa,Infants with Moderate Acute Malnutrition,11.61
Gondia,2019,Salekasa,Infants with Severe Acute Malnutrition,2.55
Gondia,2019,Sadak Arjuni,Infants at Normal Weight,89.62
Gondia,2019,Sadak Arjuni,Infants with Moderate Acute Malnutrition,8.05
Gondia,2019,Sadak Arjuni,Infants with Severe Acute Malnutrition,2.33
Gondia,2019,Arjuni Morgaon,Infants at Normal Weight,85.55
Gondia,2019,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,12.04
Gondia,2019,Arjuni Morgaon,Infants with Severe Acute Malnutrition,2.41
Gondia,2019,Devari,Infants at Normal Weight,92.36
Gondia,2019,Devari,Infants with Moderate Acute Malnutrition,6.12
Gondia,2019,Devari,Infants with Severe Acute Malnutrition,1.53
Gondia,2020,Tiroda,Infants at Normal Weight,89.7
Gondia,2020,Tiroda,Infants with Moderate Acute Malnutrition,8.49
Gondia,2020,Tiroda,Infants with Severe Acute Malnutrition,1.8
Gondia,2020,Goregaon,Infants at Normal Weight,90.49
Gondia,2020,Goregaon,Infants with Moderate Acute Malnutrition,8.05
Gondia,2020,Goregaon,Infants with Severe Acute Malnutrition,1.46
Gondia,2020,Gondia,Infants at Normal Weight,88.01
Gondia,2020,Gondia,Infants with Moderate Acute Malnutrition,10.13
Gondia,2020,Gondia,Infants with Severe Acute Malnutrition,1.86
Gondia,2020,Aamgaon,Infants at Normal Weight,90.03
Gondia,2020,Aamgaon,Infants with Moderate Acute Malnutrition,8.4
Gondia,2020,Aamgaon,Infants with Severe Acute Malnutrition,1.57
Gondia,2020,Salekasa,Infants at Normal Weight,86.21
Gondia,2020,Salekasa,Infants with Moderate Acute Malnutrition,11.85
Gondia,2020,Salekasa,Infants with Severe Acute Malnutrition,1.94
Gondia,2020,Sadak Arjuni,Infants at Normal Weight,87.7
Gondia,2020,Sadak Arjuni,Infants with Moderate Acute Malnutrition,10.06
Gondia,2020,Sadak Arjuni,Infants with Severe Acute Malnutrition,2.24
Gondia,2020,Arjuni Morgaon,Infants at Normal Weight,86.32
Gondia,2020,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,11.47
Gondia,2020,Arjuni Morgaon,Infants with Severe Acute Malnutrition,2.22
Gondia,2020,Devari,Infants at Normal Weight,90.97
Gondia,2020,Devari,Infants with Moderate Acute Malnutrition,7.09
Gondia,2020,Devari,Infants with Severe Acute Malnutrition,1.94
Gondia,2021,Tiroda,Infants at Normal Weight,90.81
Gondia,2021,Tiroda,Infants with Moderate Acute Malnutrition,7.3
Gondia,2021,Tiroda,Infants with Severe Acute Malnutrition,1.89
Gondia,2021,Goregaon,Infants at Normal Weight,92.01
Gondia,2021,Goregaon,Infants with Moderate Acute Malnutrition,6.66
Gondia,2021,Goregaon,Infants with Severe Acute Malnutrition,1.32
Gondia,2021,Gondia,Infants at Normal Weight,91.03
Gondia,2021,Gondia,Infants with Moderate Acute Malnutrition,7.31
Gondia,2021,Gondia,Infants with Severe Acute Malnutrition,1.66
Gondia,2021,Aamgaon,Infants at Normal Weight,90.44
Gondia,2021,Aamgaon,Infants with Moderate Acute Malnutrition,7.63
Gondia,2021,Aamgaon,Infants with Severe Acute Malnutrition,1.93
Gondia,2021,Salekasa,Infants at Normal Weight,87.48
Gondia,2021,Salekasa,Infants with Moderate Acute Malnutrition,10.63
Gondia,2021,Salekasa,Infants with Severe Acute Malnutrition,1.88
Gondia,2021,Sadak Arjuni,Infants at Normal Weight,89.05
Gondia,2021,Sadak Arjuni,Infants with Moderate Acute Malnutrition,8.99
Gondia,2021,Sadak Arjuni,Infants with Severe Acute Malnutrition,1.97
Gondia,2021,Arjuni Morgaon,Infants at Normal Weight,87.15
Gondia,2021,Arjuni Morgaon,Infants with Moderate Acute Malnutrition,10.57
Gondia,2021,Arjuni Morgaon,Infants with Severe Acute Malnutrition,2.28
Gondia,2021,Devari,Infants at Normal Weight,89.44
Gondia,2021,Devari,Infants with Moderate Acute Malnutrition,8.36
Gondia,2021,Devari,Infants with Severe Acute Malnutrition,2.2
Hingoli,2012,Sengaon,Infants at Normal Weight,88.54
Hingoli,2012,Sengaon,Infants with Moderate Acute Malnutrition,9.59
Hingoli,2012,Sengaon,Infants with Severe Acute Malnutrition,1.87
Hingoli,2012,Hingoli,Infants at Normal Weight,32.55
Hingoli,2012,Hingoli,Infants with Moderate Acute Malnutrition,8.34
Hingoli,2012,Hingoli,Infants with Severe Acute Malnutrition,1.02
Hingoli,2012,Aundha Na,Infants at Normal Weight,91.53
Hingoli,2012,Aundha Na,Infants with Moderate Acute Malnutrition,6.14
Hingoli,2012,Aundha Na,Infants with Severe Acute Malnutrition,0.96
Hingoli,2012,Kalamanuri,Infants at Normal Weight,79.41
Hingoli,2012,Kalamanuri,Infants with Moderate Acute Malnutrition,15.81
Hingoli,2012,Kalamanuri,Infants with Severe Acute Malnutrition,4.67
Hingoli,2012,Vasamat,Infants at Normal Weight,92.57
Hingoli,2012,Vasamat,Infants with Moderate Acute Malnutrition,5.87
Hingoli,2012,Vasamat,Infants with Severe Acute Malnutrition,0.98
Hingoli,2014,Sengaon,Infants at Normal Weight,99.89
Hingoli,2014,Sengaon,Infants with Moderate Acute Malnutrition,8.92
Hingoli,2014,Sengaon,Infants with Severe Acute Malnutrition,2.05
Hingoli,2014,Hingoli,Infants at Normal Weight,94.54
Hingoli,2014,Hingoli,Infants with Moderate Acute Malnutrition,8.11
Hingoli,2014,Hingoli,Infants with Severe Acute Malnutrition,1.52
Hingoli,2014,Aundha Na,Infants at Normal Weight,93.15
Hingoli,2014,Aundha Na,Infants with Moderate Acute Malnutrition,5.86
Hingoli,2014,Aundha Na,Infants with Severe Acute Malnutrition,0.99
Hingoli,2014,Kalamanuri,Infants at Normal Weight,98.36
Hingoli,2014,Kalamanuri,Infants with Moderate Acute Malnutrition,8.03
Hingoli,2014,Kalamanuri,Infants with Severe Acute Malnutrition,1.8
Hingoli,2014,Vasamat,Infants at Normal Weight,95.32
Hingoli,2014,Vasamat,Infants with Moderate Acute Malnutrition,7.89
Hingoli,2014,Vasamat,Infants with Severe Acute Malnutrition,1.53
Hingoli,2015,Sengaon,Infants at Normal Weight,87.28
Hingoli,2015,Sengaon,Infants with Moderate Acute Malnutrition,10.66
Hingoli,2015,Sengaon,Infants with Severe Acute Malnutrition,2.06
Hingoli,2015,Hingoli,Infants at Normal Weight,85.89
Hingoli,2015,Hingoli,Infants with Moderate Acute Malnutrition,12.13
Hingoli,2015,Hingoli,Infants with Severe Acute Malnutrition,1.98
Hingoli,2015,Aundha Na,Infants at Normal Weight,92.1
