District,Year,Sex,Select Cause,Number
Chandrapur,2014,Total,Pneumonia/ Respiratory disorders,0
Chandrapur,2014,Total,Diarrhoea or Gastro,0
Chandrapur,2014,Total,AIDS,0
Chandrapur,2014,Total,Heart Disorder,0
Chandrapur,2014,Total,Cancer,0
Chandrapur,2014,Total,Maternal Death during Childbirth,14
Chandrapur,2014,Total,Paralysis,0
Chandrapur,2014,Total,Kidney Related,0
Chandrapur,2014,Total,Suicide,140
Chandrapur,2014,Total,Traffic,206
Chandrapur,2014,Total,Electric Shock,0
Chandrapur,2014,Total,Burns,0
Chandrapur,2014,Total,Other Accidents,0
Chandrapur,2014,Total,Other Reasons,14844
Chandrapur,2014,Male,Winter Fever,11
Chandrapur,2014,Male,Typhoid Fever,0
Chandrapur,2014,Male,Tuberculosis,43
Chandrapur,2014,Male,Pneumonia/ Respiratory disorders,0
Chandrapur,2014,Male,Diarrhoea or Gastro,0
Chandrapur,2014,Male,AIDS,0
Chandrapur,2014,Male,Heart Disorder,0
Chandrapur,2014,Male,Cancer,0
Chandrapur,2014,Male,Maternal Death during Childbirth,0
Chandrapur,2014,Male,Paralysis,0
Chandrapur,2014,Male,Kidney Related,0
Chandrapur,2014,Male,Suicide,80
Chandrapur,2014,Male,Traffic,150
Chandrapur,2014,Male,Electric Shock,0
Chandrapur,2014,Male,Burns,0
Chandrapur,2014,Male,Other Accidents,0
Chandrapur,2014,Male,Other Reasons,8520
Chandrapur,2014,Female,Winter Fever,3
Chandrapur,2014,Female,Typhoid Fever,0
Chandrapur,2014,Female,Tuberculosis,21
Chandrapur,2014,Female,Pneumonia/ Respiratory disorders,0
Chandrapur,2014,Female,Diarrhoea or Gastro,0
Chandrapur,2014,Female,AIDS,0
Chandrapur,2014,Female,Heart Disorder,0
Chandrapur,2014,Female,Cancer,0
Chandrapur,2014,Female,Maternal Death during Childbirth,14
Chandrapur,2014,Female,Paralysis,0
Chandrapur,2014,Female,Kidney Related,0
Chandrapur,2014,Female,Suicide,60
Chandrapur,2014,Female,Traffic,56
Chandrapur,2014,Female,Electric Shock,0
Chandrapur,2014,Female,Burns,0
Chandrapur,2014,Female,Other Accidents,0
Chandrapur,2014,Female,Other Reasons,6324
Chandrapur,2015,Total,Winter Fever,1
Chandrapur,2015,Total,Typhoid Fever,9
Chandrapur,2015,Total,Tuberculosis,140
Chandrapur,2015,Total,Pneumonia/ Respiratory disorders,9
Chandrapur,2015,Total,Diarrhoea or Gastro,1
Chandrapur,2015,Total,AIDS,84
Chandrapur,2015,Total,Heart Disorder,1137
Chandrapur,2015,Total,Cancer,0
Chandrapur,2015,Total,Maternal Death during Childbirth,17
Chandrapur,2015,Total,Paralysis,0
Chandrapur,2015,Total,Kidney Related,0
Chandrapur,2015,Total,Suicide,244
Chandrapur,2015,Total,Traffic,0
Chandrapur,2015,Total,Electric Shock,0
Chandrapur,2015,Total,Burns,321
Chandrapur,2015,Total,Other Accidents,11
Chandrapur,2015,Total,Other Reasons,3264
Chandrapur,2016,Total,Winter Fever,210
Chandrapur,2016,Total,Typhoid Fever,15
Chandrapur,2016,Total,Tuberculosis,122
Chandrapur,2016,Total,Pneumonia/ Respiratory disorders,1046
Chandrapur,2016,Total,Diarrhoea or Gastro,7
Chandrapur,2016,Total,AIDS,36
Chandrapur,2016,Total,Heart Disorder,1347
Chandrapur,2016,Total,Cancer,2
Chandrapur,2016,Total,Maternal Death during Childbirth,17
Chandrapur,2016,Total,Paralysis,0
Chandrapur,2016,Total,Kidney Related,0
Chandrapur,2016,Total,Suicide,233
Chandrapur,2016,Total,Traffic,0
Chandrapur,2016,Total,Electric Shock,0
Chandrapur,2016,Total,Burns,0
Chandrapur,2016,Total,Other Accidents,331
Chandrapur,2016,Total,Other Reasons,2174
Chandrapur,2017,Total,Winter Fever,4
Chandrapur,2017,Total,Typhoid Fever,22
Chandrapur,2017,Total,Tuberculosis,39
Chandrapur,2017,Total,Pneumonia/ Respiratory disorders,619
Chandrapur,2017,Total,Diarrhoea or Gastro,2
Chandrapur,2017,Total,AIDS,27
Chandrapur,2017,Total,Heart Disorder,1110
Chandrapur,2017,Total,Cancer,302
Chandrapur,2017,Total,Maternal Death during Childbirth,15
Chandrapur,2017,Total,Paralysis,678
Chandrapur,2017,Total,Kidney Related,337
Chandrapur,2017,Total,Suicide,163
Chandrapur,2017,Total,Traffic,9
Chandrapur,2017,Total,Electric Shock,13
Chandrapur,2017,Total,Burns,17
Chandrapur,2017,Total,Other Accidents,164
Chandrapur,2017,Total,Other Reasons,3681
Chandrapur,2018,Total,Winter Fever,2
Chandrapur,2018,Total,Typhoid Fever,23
Chandrapur,2018,Total,Tuberculosis,84
Chandrapur,2018,Total,Pneumonia/ Respiratory disorders,753
Chandrapur,2018,Total,Diarrhoea or Gastro,1
Chandrapur,2018,Total,Dengue,2
Chandrapur,2018,Total,Swine Flu,0
Chandrapur,2018,Total,AIDS,62
Chandrapur,2018,Total,Heart Disorder,1346
Chandrapur,2018,Total,Cancer,356
Chandrapur,2018,Total,Maternal Death during Childbirth,24
Chandrapur,2018,Total,Paralysis,990
Chandrapur,2018,Total,Kidney Related,195
Chandrapur,2018,Total,Suicide,160
Chandrapur,2018,Total,Traffic,56
Chandrapur,2018,Total,Electric Shock,29
Chandrapur,2018,Total,Burns,36
Chandrapur,2018,Total,Other Accidents,170
Chandrapur,2018,Total,Other Reasons,3200
Chandrapur,2018,Male,Winter Fever,1
Chandrapur,2018,Male,Typhoid Fever,10
Chandrapur,2018,Male,Tuberculosis,39
Chandrapur,2018,Male,Pneumonia/ Respiratory disorders,373
Chandrapur,2018,Male,Diarrhoea or Gastro,1
Chandrapur,2018,Male,Dengue,1
Chandrapur,2018,Male,Swine Flu,0
Chandrapur,2018,Male,AIDS,38
Chandrapur,2018,Male,Heart Disorder,658
Chandrapur,2018,Male,Cancer,172
Chandrapur,2018,Male,Maternal Death during Childbirth,0
Chandrapur,2018,Male,Paralysis,503
Chandrapur,2018,Male,Kidney Related,108
Chandrapur,2018,Male,Suicide,78
Chandrapur,2018,Male,Traffic,27
Chandrapur,2018,Male,Electric Shock,16
Chandrapur,2018,Male,Burns,14
Chandrapur,2018,Male,Other Accidents,83
Chandrapur,2018,Male,Other Reasons,1573
Chandrapur,2018,Female,Winter Fever,1
Chandrapur,2018,Female,Typhoid Fever,13
Chandrapur,2018,Female,Tuberculosis,45
Chandrapur,2018,Female,Pneumonia/ Respiratory disorders,380
Chandrapur,2018,Female,Diarrhoea or Gastro,0
Chandrapur,2018,Female,Dengue,1
Chandrapur,2018,Female,Swine Flu,0
Chandrapur,2018,Female,AIDS,24
Chandrapur,2018,Female,Heart Disorder,688
Chandrapur,2018,Female,Cancer,184
Chandrapur,2018,Female,Maternal Death during Childbirth,24
Chandrapur,2018,Female,Paralysis,487
Chandrapur,2018,Female,Kidney Related,87
Chandrapur,2018,Female,Suicide,82
Chandrapur,2018,Female,Traffic,29
Chandrapur,2018,Female,Electric Shock,13
Chandrapur,2018,Female,Burns,22
Chandrapur,2018,Female,Other Accidents,87
Chandrapur,2018,Female,Other Reasons,1627
Chandrapur,2019,Total,Winter Fever,4
Chandrapur,2019,Total,Typhoid Fever,35
Chandrapur,2019,Total,Tuberculosis,67
Chandrapur,2019,Total,Pneumonia/ Respiratory disorders,697
Chandrapur,2019,Total,Diarrhoea or Gastro,1
Chandrapur,2019,Total,Dengue,2
Chandrapur,2019,Total,Swine Flu,0
Chandrapur,2019,Total,AIDS,55
Chandrapur,2019,Total,Heart Disorder,1336
Chandrapur,2019,Total,Cancer,347
Chandrapur,2019,Total,Maternal Death during Childbirth,20
Chandrapur,2019,Total,Paralysis,956
Chandrapur,2019,Total,Kidney Related,223
Chandrapur,2019,Total,Suicide,175
Chandrapur,2019,Total,Traffic,67
Chandrapur,2019,Total,Electric Shock,35
Chandrapur,2019,Total,Burns,41
Chandrapur,2019,Total,Other Accidents,129
Chandrapur,2019,Total,Other Reasons,3984
Chandrapur,2019,Male,Winter Fever,2
Chandrapur,2019,Male,Typhoid Fever,12
Chandrapur,2019,Male,Tuberculosis,39
Chandrapur,2019,Male,Pneumonia/ Respiratory disorders,292
Chandrapur,2019,Male,Diarrhoea or Gastro,0
Chandrapur,2019,Male,Dengue,1
Chandrapur,2019,Male,Swine Flu,0
Chandrapur,2019,Male,AIDS,27
Chandrapur,2019,Male,Heart Disorder,713
Chandrapur,2019,Male,Cancer,155
Chandrapur,2019,Male,Maternal Death during Childbirth,0
Chandrapur,2019,Male,Paralysis,455
Chandrapur,2019,Male,Kidney Related,110
Chandrapur,2019,Male,Suicide,82
Chandrapur,2019,Male,Traffic,35
Chandrapur,2019,Male,Electric Shock,20
Chandrapur,2019,Male,Burns,18
Chandrapur,2019,Male,Other Accidents,61
Chandrapur,2019,Male,Other Reasons,2231
Chandrapur,2019,Female,Winter Fever,2
Chandrapur,2019,Female,Typhoid Fever,23
Chandrapur,2019,Female,Tuberculosis,28
Chandrapur,2019,Female,Pneumonia/ Respiratory disorders,405
Chandrapur,2019,Female,Diarrhoea or Gastro,1
Chandrapur,2019,Female,Dengue,1
Chandrapur,2019,Female,Swine Flu,0
Chandrapur,2019,Female,AIDS,28
Chandrapur,2019,Female,Heart Disorder,623
Chandrapur,2019,Female,Cancer,192
Chandrapur,2019,Female,Maternal Death during Childbirth,20
Chandrapur,2019,Female,Paralysis,501
Chandrapur,2019,Female,Kidney Related,113
Chandrapur,2019,Female,Suicide,93
Chandrapur,2019,Female,Traffic,32
Chandrapur,2019,Female,Electric Shock,15
Chandrapur,2019,Female,Burns,23
Chandrapur,2019,Female,Other Accidents,68
Chandrapur,2019,Female,Other Reasons,1753
Chandrapur,2020,Total,Winter Fever,3
Chandrapur,2020,Total,Typhoid Fever,33
Chandrapur,2020,Total,Tuberculosis,136
Chandrapur,2020,Total,Pneumonia/ Respiratory disorders,694
Chandrapur,2020,Total,Diarrhoea or Gastro,1
Chandrapur,2020,Total,Dengue,0
Chandrapur,2020,Total,Swine Flu,0
Chandrapur,2020,Total,AIDS,41
Chandrapur,2020,Total,Heart Disorder,1490
Chandrapur,2020,Total,Cancer,386
Chandrapur,2020,Total,Maternal Death during Childbirth,33
Chandrapur,2020,Total,Paralysis,972
Chandrapur,2020,Total,Kidney Related,221
Chandrapur,2020,Total,Suicide,186
Chandrapur,2020,Total,Traffic,68
Chandrapur,2020,Total,Electric Shock,40
Chandrapur,2020,Total,Burns,46
Chandrapur,2020,Total,Other Accidents,137
Chandrapur,2020,Total,Other Reasons,4085
Chandrapur,2020,Male,Winter Fever,1
Chandrapur,2020,Male,Typhoid Fever,13
Chandrapur,2020,Male,Tuberculosis,86
Chandrapur,2020,Male,Pneumonia/ Respiratory disorders,303
Chandrapur,2020,Male,Diarrhoea or Gastro,0
Chandrapur,2020,Male,Dengue,0
Chandrapur,2020,Male,Swine Flu,0
Chandrapur,2020,Male,AIDS,23
Chandrapur,2020,Male,Heart Disorder,814
Chandrapur,2020,Male,Cancer,201
Chandrapur,2020,Male,Maternal Death during Childbirth,0
Chandrapur,2020,Male,Paralysis,499
Chandrapur,2020,Male,Kidney Related,113
Chandrapur,2020,Male,Suicide,85
Chandrapur,2020,Male,Traffic,37
Chandrapur,2020,Male,Electric Shock,23
Chandrapur,2020,Male,Burns,19
Chandrapur,2020,Male,Other Accidents,72
Chandrapur,2020,Male,Other Reasons,2092
Chandrapur,2020,Female,Winter Fever,2
Chandrapur,2020,Female,Typhoid Fever,20
Chandrapur,2020,Female,Tuberculosis,50
Chandrapur,2020,Female,Pneumonia/ Respiratory disorders,391
Chandrapur,2020,Female,Diarrhoea or Gastro,1
Chandrapur,2020,Female,Dengue,0
Chandrapur,2020,Female,Swine Flu,0
Chandrapur,2020,Female,AIDS,18
Chandrapur,2020,Female,Heart Disorder,676
Chandrapur,2020,Female,Cancer,185
Chandrapur,2020,Female,Maternal Death during Childbirth,33
Chandrapur,2020,Female,Paralysis,473
Chandrapur,2020,Female,Kidney Related,108
Chandrapur,2020,Female,Suicide,101
Chandrapur,2020,Female,Traffic,31
Chandrapur,2020,Female,Electric Shock,17
Chandrapur,2020,Female,Burns,27
Chandrapur,2020,Female,Other Accidents,65
Chandrapur,2020,Female,Other Reasons,1993
Chandrapur,2021,Total,Winter Fever,5
Chandrapur,2021,Total,Typhoid Fever,38
Chandrapur,2021,Total,Tuberculosis,56
Chandrapur,2021,Total,Pneumonia/ Respiratory disorders,1681
Chandrapur,2021,Total,Diarrhoea or Gastro,14
Chandrapur,2021,Total,Dengue,3
Chandrapur,2021,Total,Swine Flu,0
Chandrapur,2021,Total,AIDS,36
Chandrapur,2021,Total,Heart Disorder,2031
Chandrapur,2021,Total,Cancer,421
Chandrapur,2021,Total,Maternal Death during Childbirth,20
Chandrapur,2021,Total,Paralysis,1246
Chandrapur,2021,Total,Kidney Related,494
Chandrapur,2021,Total,Suicide,266
Chandrapur,2021,Total,Traffic,231
Chandrapur,2021,Total,Electric Shock,43
Chandrapur,2021,Total,Burns,83
Chandrapur,2021,Total,Other Accidents,194
Chandrapur,2021,Total,Other Reasons,5153
Chandrapur,2021,Male,Winter Fever,2
Chandrapur,2021,Male,Typhoid Fever,17
Chandrapur,2021,Male,Tuberculosis,30
Chandrapur,2021,Male,Pneumonia/ Respiratory disorders,863
Chandrapur,2021,Male,Diarrhoea or Gastro,8
Chandrapur,2021,Male,Dengue,2
Chandrapur,2021,Male,Swine Flu,0
Chandrapur,2021,Male,AIDS,21
Chandrapur,2021,Male,Heart Disorder,1059
Chandrapur,2021,Male,Cancer,241
Chandrapur,2021,Male,Maternal Death during Childbirth,0
Chandrapur,2021,Male,Paralysis,687
Chandrapur,2021,Male,Kidney Related,263
Chandrapur,2021,Male,Suicide,129
Chandrapur,2021,Male,Traffic,128
Chandrapur,2021,Male,Electric Shock,23
Chandrapur,2021,Male,Burns,37
Chandrapur,2021,Male,Other Accidents,104
Chandrapur,2021,Male,Other Reasons,2948
Chandrapur,2021,Female,Winter Fever,3
Chandrapur,2021,Female,Typhoid Fever,21
Chandrapur,2021,Female,Tuberculosis,26
Chandrapur,2021,Female,Pneumonia/ Respiratory disorders,818
Chandrapur,2021,Female,Diarrhoea or Gastro,6
Chandrapur,2021,Female,Dengue,1
Chandrapur,2021,Female,Swine Flu,0
Chandrapur,2021,Female,AIDS,15
Chandrapur,2021,Female,Heart Disorder,972
Chandrapur,2021,Female,Cancer,180
Chandrapur,2021,Female,Maternal Death during Childbirth,20
Chandrapur,2021,Female,Paralysis,559
Chandrapur,2021,Female,Kidney Related,231
Chandrapur,2021,Female,Suicide,137
Chandrapur,2021,Female,Traffic,103
Chandrapur,2021,Female,Electric Shock,20
Chandrapur,2021,Female,Burns,46
Chandrapur,2021,Female,Other Accidents,90
Chandrapur,2021,Female,Other Reasons,2205
Dharashiv,2012,Total,Winter Fever,0
Dharashiv,2012,Total,Typhoid Fever,20
Dharashiv,2012,Total,Tuberculosis,48
Dharashiv,2012,Total,Pneumonia/ Respiratory disorders,104
Dharashiv,2012,Total,Diarrhoea or Gastro,42
Dharashiv,2012,Total,Dengue,0
Dharashiv,2012,Total,Swine Flu,0
Dharashiv,2012,Total,AIDS,75
Dharashiv,2012,Total,Heart Disorder,402
Dharashiv,2012,Total,Cancer,268
Dharashiv,2012,Total,Maternal Death during Childbirth,9
Dharashiv,2012,Total,Paralysis,40
Dharashiv,2012,Total,Kidney Related,45
Dharashiv,2012,Total,Suicide,146
Dharashiv,2012,Total,Traffic,399
Dharashiv,2012,Total,Electric Shock,35
Dharashiv,2012,Total,Burns,105
Dharashiv,2012,Total,Other Accidents,146
Dharashiv,2012,Total,Other Reasons,3448
Dharashiv,2012,Male,Winter Fever,0
Dharashiv,2012,Male,Typhoid Fever,12
Dharashiv,2012,Male,Tuberculosis,28
Dharashiv,2012,Male,Pneumonia/ Respiratory disorders,56
Dharashiv,2012,Male,Diarrhoea or Gastro,24
Dharashiv,2012,Male,Dengue,0
Dharashiv,2012,Male,Swine Flu,0
Dharashiv,2012,Male,AIDS,40
Dharashiv,2012,Male,Heart Disorder,227
Dharashiv,2012,Male,Cancer,140
Dharashiv,2012,Male,Maternal Death during Childbirth,0
Dharashiv,2012,Male,Paralysis,32
Dharashiv,2012,Male,Kidney Related,33
Dharashiv,2012,Male,Suicide,57
Dharashiv,2012,Male,Traffic,253
Dharashiv,2012,Male,Electric Shock,27
Dharashiv,2012,Male,Burns,44
Dharashiv,2012,Male,Other Accidents,90
Dharashiv,2012,Male,Other Reasons,2017
Dharashiv,2012,Female,Winter Fever,0
Dharashiv,2012,Female,Typhoid Fever,8
Dharashiv,2012,Female,Tuberculosis,20
Dharashiv,2012,Female,Pneumonia/ Respiratory disorders,48
Dharashiv,2012,Female,Diarrhoea or Gastro,18
Dharashiv,2012,Female,Dengue,0
Dharashiv,2012,Female,Swine Flu,0
Dharashiv,2012,Female,AIDS,35
Dharashiv,2012,Female,Heart Disorder,175
Dharashiv,2012,Female,Cancer,128
Dharashiv,2012,Female,Maternal Death during Childbirth,9
Dharashiv,2012,Female,Paralysis,8
Dharashiv,2012,Female,Kidney Related,12
Dharashiv,2012,Female,Suicide,89
Dharashiv,2012,Female,Traffic,146
Dharashiv,2012,Female,Electric Shock,8
Dharashiv,2012,Female,Burns,61
Dharashiv,2012,Female,Other Accidents,56
Dharashiv,2012,Female,Other Reasons,1431
Dharashiv,2013,Total,Winter Fever,0
Dharashiv,2013,Total,Typhoid Fever,0
Dharashiv,2013,Total,Tuberculosis,7
Dharashiv,2013,Total,Pneumonia/ Respiratory disorders,53
Dharashiv,2013,Total,Diarrhoea or Gastro,4
Dharashiv,2013,Total,Dengue,0
Dharashiv,2013,Total,Swine Flu,0
Dharashiv,2013,Total,AIDS,16
Dharashiv,2013,Total,Heart Disorder,62
Dharashiv,2013,Total,Cancer,0
Dharashiv,2013,Total,Maternal Death during Childbirth,8
Dharashiv,2013,Total,Paralysis,0
Dharashiv,2013,Total,Kidney Related,2
Dharashiv,2013,Total,Suicide,13
Dharashiv,2013,Total,Traffic,8
Dharashiv,2013,Total,Electric Shock,0
Dharashiv,2013,Total,Burns,40
Dharashiv,2013,Total,Other Accidents,67
Dharashiv,2013,Total,Other Reasons,49
Dharashiv,2013,Male,Winter Fever,0
Dharashiv,2013,Male,Typhoid Fever,0
Dharashiv,2013,Male,Tuberculosis,4
Dharashiv,2013,Male,Pneumonia/ Respiratory disorders,34
Dharashiv,2013,Male,Diarrhoea or Gastro,3
Dharashiv,2013,Male,Dengue,0
Dharashiv,2013,Male,Swine Flu,0
Dharashiv,2013,Male,AIDS,9
Dharashiv,2013,Male,Heart Disorder,35
Dharashiv,2013,Male,Cancer,0
Dharashiv,2013,Male,Maternal Death during Childbirth,0
Dharashiv,2013,Male,Paralysis,0
Dharashiv,2013,Male,Kidney Related,2
Dharashiv,2013,Male,Suicide,8
Dharashiv,2013,Male,Traffic,8
Dharashiv,2013,Male,Electric Shock,0
Dharashiv,2013,Male,Burns,14
Dharashiv,2013,Male,Other Accidents,41
Dharashiv,2013,Male,Other Reasons,15
Dharashiv,2013,Female,Winter Fever,0
Dharashiv,2013,Female,Typhoid Fever,0
Dharashiv,2013,Female,Tuberculosis,3
Dharashiv,2013,Female,Pneumonia/ Respiratory disorders,19
Dharashiv,2013,Female,Diarrhoea or Gastro,1
Dharashiv,2013,Female,Dengue,0
Dharashiv,2013,Female,Swine Flu,0
Dharashiv,2013,Female,AIDS,7
Dharashiv,2013,Female,Heart Disorder,27
Dharashiv,2013,Female,Cancer,0
Dharashiv,2013,Female,Maternal Death during Childbirth,8
Dharashiv,2013,Female,Paralysis,0
Dharashiv,2013,Female,Kidney Related,0
Dharashiv,2013,Female,Suicide,5
Dharashiv,2013,Female,Traffic,0
Dharashiv,2013,Female,Electric Shock,0
Dharashiv,2013,Female,Burns,26
Dharashiv,2013,Female,Other Accidents,26
Dharashiv,2013,Female,Other Reasons,34
Dharashiv,2014,Total,Winter Fever,0
Dharashiv,2014,Total,Typhoid Fever,0
Dharashiv,2014,Total,Tuberculosis,7
Dharashiv,2014,Total,Pneumonia/ Respiratory disorders,36
Dharashiv,2014,Total,Diarrhoea or Gastro,0
Dharashiv,2014,Total,Dengue,0
Dharashiv,2014,Total,Swine Flu,0
Dharashiv,2014,Total,AIDS,10
Dharashiv,2014,Total,Heart Disorder,63
Dharashiv,2014,Total,Cancer,0
Dharashiv,2014,Total,Maternal Death during Childbirth,4
Dharashiv,2014,Total,Paralysis,0
Dharashiv,2014,Total,Kidney Related,2
Dharashiv,2014,Total,Suicide,13
Dharashiv,2014,Total,Traffic,8
Dharashiv,2014,Total,Electric Shock,0
Dharashiv,2014,Total,Burns,18
Dharashiv,2014,Total,Other Accidents,15
Dharashiv,2014,Total,Other Reasons,35
Dharashiv,2014,Male,Winter Fever,0
Dharashiv,2014,Male,Typhoid Fever,0
Dharashiv,2014,Male,Tuberculosis,4
Dharashiv,2014,Male,Pneumonia/ Respiratory disorders,20
Dharashiv,2014,Male,Diarrhoea or Gastro,0
Dharashiv,2014,Male,Dengue,0
Dharashiv,2014,Male,Swine Flu,0
Dharashiv,2014,Male,AIDS,4
Dharashiv,2014,Male,Heart Disorder,35
Dharashiv,2014,Male,Cancer,0
Dharashiv,2014,Male,Maternal Death during Childbirth,0
Dharashiv,2014,Male,Paralysis,0
Dharashiv,2014,Male,Kidney Related,2
Dharashiv,2014,Male,Suicide,8
Dharashiv,2014,Male,Traffic,8
Dharashiv,2014,Male,Electric Shock,0
Dharashiv,2014,Male,Burns,8
Dharashiv,2014,Male,Other Accidents,5
Dharashiv,2014,Male,Other Reasons,20
Dharashiv,2014,Female,Winter Fever,0
Dharashiv,2014,Female,Typhoid Fever,0
Dharashiv,2014,Female,Tuberculosis,3
Dharashiv,2014,Female,Pneumonia/ Respiratory disorders,16
Dharashiv,2014,Female,Diarrhoea or Gastro,0
Dharashiv,2014,Female,Dengue,0
Dharashiv,2014,Female,Swine Flu,0
Dharashiv,2014,Female,AIDS,6
Dharashiv,2014,Female,Heart Disorder,28
Dharashiv,2014,Female,Cancer,0
Dharashiv,2014,Female,Maternal Death during Childbirth,4
Dharashiv,2014,Female,Paralysis,0
Dharashiv,2014,Female,Kidney Related,0
Dharashiv,2014,Female,Suicide,5
Dharashiv,2014,Female,Traffic,0
Dharashiv,2014,Female,Electric Shock,0
Dharashiv,2014,Female,Burns,10
Dharashiv,2014,Female,Other Accidents,10
Dharashiv,2014,Female,Other Reasons,15
Dharashiv,2015,Total,Winter Fever,0
Dharashiv,2015,Total,Typhoid Fever,0
Dharashiv,2015,Total,Tuberculosis,7
Dharashiv,2015,Total,Pneumonia/ Respiratory disorders,36
Dharashiv,2015,Total,Diarrhoea or Gastro,0
Dharashiv,2015,Total,Dengue,0
Dharashiv,2015,Total,Swine Flu,0
Dharashiv,2015,Total,AIDS,8
Dharashiv,2015,Total,Heart Disorder,52
Dharashiv,2015,Total,Cancer,0
Dharashiv,2015,Total,Maternal Death during Childbirth,5
Dharashiv,2015,Total,Paralysis,0
Dharashiv,2015,Total,Kidney Related,2
Dharashiv,2015,Total,Suicide,13
Dharashiv,2015,Total,Traffic,8
Dharashiv,2015,Total,Electric Shock,0
Dharashiv,2015,Total,Burns,20
Dharashiv,2015,Total,Other Accidents,20
Dharashiv,2015,Total,Other Reasons,30
Dharashiv,2015,Male,Winter Fever,0
Dharashiv,2015,Male,Typhoid Fever,0
Dharashiv,2015,Male,Tuberculosis,5
Dharashiv,2015,Male,Pneumonia/ Respiratory disorders,18
Dharashiv,2015,Male,Diarrhoea or Gastro,0
Dharashiv,2015,Male,Dengue,0
Dharashiv,2015,Male,Swine Flu,0
Dharashiv,2015,Male,AIDS,4
Dharashiv,2015,Male,Heart Disorder,32
Dharashiv,2015,Male,Cancer,0
Dharashiv,2015,Male,Maternal Death during Childbirth,0
Dharashiv,2015,Male,Paralysis,0
Dharashiv,2015,Male,Kidney Related,2
Dharashiv,2015,Male,Suicide,8
Dharashiv,2015,Male,Traffic,8
Dharashiv,2015,Male,Electric Shock,0
Dharashiv,2015,Male,Burns,10
Dharashiv,2015,Male,Other Accidents,5
Dharashiv,2015,Male,Other Reasons,20
Dharashiv,2015,Female,Winter Fever,0
Dharashiv,2015,Female,Typhoid Fever,0
Dharashiv,2015,Female,Tuberculosis,2
Dharashiv,2015,Female,Pneumonia/ Respiratory disorders,18
Dharashiv,2015,Female,Diarrhoea or Gastro,0
Dharashiv,2015,Female,Dengue,0
Dharashiv,2015,Female,Swine Flu,0
Dharashiv,2015,Female,AIDS,4
Dharashiv,2015,Female,Heart Disorder,20
Dharashiv,2015,Female,Cancer,0
Dharashiv,2015,Female,Maternal Death during Childbirth,5
Dharashiv,2015,Female,Paralysis,0
Dharashiv,2015,Female,Kidney Related,0
Dharashiv,2015,Female,Suicide,5
Dharashiv,2015,Female,Traffic,0
Dharashiv,2015,Female,Electric Shock,0
Dharashiv,2015,Female,Burns,10
Dharashiv,2015,Female,Other Accidents,15
Dharashiv,2015,Female,Other Reasons,10
Dharashiv,2016,Total,Winter Fever,0
Dharashiv,2016,Total,Typhoid Fever,0
Dharashiv,2016,Total,Tuberculosis,4
Dharashiv,2016,Total,Pneumonia/ Respiratory disorders,3
Dharashiv,2016,Total,Diarrhoea or Gastro,0
Dharashiv,2016,Total,Dengue,0
Dharashiv,2016,Total,Swine Flu,0
Dharashiv,2016,Total,AIDS,0
Dharashiv,2016,Total,Heart Disorder,8
Dharashiv,2016,Total,Cancer,0
Dharashiv,2016,Total,Maternal Death during Childbirth,8
Dharashiv,2016,Total,Paralysis,0
Dharashiv,2016,Total,Kidney Related,0
Dharashiv,2016,Total,Suicide,0
Dharashiv,2016,Total,Traffic,10
Dharashiv,2016,Total,Electric Shock,3
Dharashiv,2016,Total,Burns,8
Dharashiv,2016,Total,Other Accidents,0
Dharashiv,2016,Total,Other Reasons,25
Dharashiv,2016,Male,Winter Fever,0
Dharashiv,2016,Male,Typhoid Fever,0
Dharashiv,2016,Male,Tuberculosis,3
Dharashiv,2016,Male,Pneumonia/ Respiratory disorders,2
Dharashiv,2016,Male,Diarrhoea or Gastro,0
Dharashiv,2016,Male,Dengue,0
Dharashiv,2016,Male,Swine Flu,0
Dharashiv,2016,Male,AIDS,0
Dharashiv,2016,Male,Heart Disorder,5
Dharashiv,2016,Male,Cancer,0
Dharashiv,2016,Male,Maternal Death during Childbirth,0
Dharashiv,2016,Male,Paralysis,0
Dharashiv,2016,Male,Kidney Related,0
Dharashiv,2016,Male,Suicide,0
Dharashiv,2016,Male,Traffic,5
Dharashiv,2016,Male,Electric Shock,2
Dharashiv,2016,Male,Burns,5
Dharashiv,2016,Male,Other Accidents,0
Dharashiv,2016,Male,Other Reasons,15
Dharashiv,2016,Female,Winter Fever,0
Dharashiv,2016,Female,Typhoid Fever,0
Dharashiv,2016,Female,Tuberculosis,1
Dharashiv,2016,Female,Pneumonia/ Respiratory disorders,1
Dharashiv,2016,Female,Diarrhoea or Gastro,0
Dharashiv,2016,Female,Dengue,0
Dharashiv,2016,Female,Swine Flu,0
Dharashiv,2016,Female,AIDS,0
Dharashiv,2016,Female,Heart Disorder,3
Dharashiv,2016,Female,Cancer,0
Dharashiv,2016,Female,Maternal Death during Childbirth,8
Dharashiv,2016,Female,Paralysis,0
Dharashiv,2016,Female,Kidney Related,0
Dharashiv,2016,Female,Suicide,0
Dharashiv,2016,Female,Traffic,5
Dharashiv,2016,Female,Electric Shock,1
Dharashiv,2016,Female,Burns,3
Dharashiv,2016,Female,Other Accidents,0
Dharashiv,2016,Female,Other Reasons,10
Dharashiv,2017,Total,Winter Fever,0
Dharashiv,2017,Total,Typhoid Fever,0
Dharashiv,2017,Total,Tuberculosis,7
