District,Year,Abortions Reported,Medical Terminations of Pregnancy,Public,Private,Public Institutions,Private Institutions,Up to 12 Weeks,More than 12 Weeks
Ahilyanagar,2012,3509,6423,2081,4342,32.4,67.6,97.8,2.2
Akola,2012,1457,540,209,331,38.7,61.3,87.1,12.9
Amravati,2012,1382,5278,95,5183,1.8,98.2,89.5,10.5
Beed,2012,1203,833,295,538,35.4,64.6,93.6,6.4
Bhandara,2012,614,135,82,53,60.7,39.3,100,0
Buldhana,2012,1720,2791,321,2470,11.5,88.5,95,5
Chandrapur,2012,957,3235,165,3070,5.1,94.9,90.9,9.1
Chh. Sambhaji Nagar,2012,4349,6765,1238,5527,18.3,81.7,100,0
Dharashiv,2012,1076,1980,97,1883,4.9,95.1,96.9,3.1
Dhule,2012,523,371,170,201,45.8,54.2,97.6,2.4
Gadchiroli,2012,679,255,97,158,38,62,85.6,14.4
Gondia,2012,535,484,137,347,28.3,71.7,94.9,5.1
Hingoli,2012,158,406,13,393,3.2,96.8,100,0
Jalgaon,2012,3839,3717,420,3297,11.3,88.7,89.5,10.5
Jalna,2012,1861,1750,140,1610,8,92,98.6,1.4
Kolhapur,2012,1464,1569,375,1194,23.9,76.1,93.9,6.1
Latur,2012,794,4040,202,3838,5,95,100,0
Mumbai,2012,26795,26795,26795,0,100,0,95.6,4.4
Nagpur,2012,2091,2491,1303,1188,52.3,47.7,97.6,2.4
Nanded,2012,1267,3413,256,3157,7.5,92.5,94.1,5.9
Nandurbar,2012,657,249,127,122,51,49,76.4,23.6
Nashik,2012,2261,2313,1337,976,57.8,42.2,94.1,5.9
Palghar,2012,,,,,,,,
Parbhani,2012,806,233,136,97,58.4,41.6,83.8,16.2
Pune,2012,17163,32135,5238,26897,16.3,83.7,91.8,8.2
Raigad,2012,910,909,150,759,16.5,83.5,99.3,0.7
Ratnagiri,2012,616,3731,97,3634,2.6,97.4,90.7,9.3
Sangli,2012,762,2306,166,2140,7.2,92.8,84.3,15.7
Satara,2012,3729,7513,601,6912,8,92,91.8,8.2
Sindhudurg,2012,1789,1071,270,801,25.2,74.8,91.5,8.5
Solapur,2012,2127,4246,1053,3193,24.8,75.2,93.2,6.8
Thane,2012,13029,15033,2736,12297,18.2,81.8,80.2,19.8
Wardha,2012,517,2974,116,2858,3.9,96.1,81,19
Washim,2012,415,1359,106,1253,7.8,92.2,81.1,18.9
Yavatmal,2012,969,970,256,714,26.4,73.6,95.3,4.7
Ahilyanagar,2011,4128,4006,1951,2055,48.7,51.3,93.3,6.7
Akola,2011,1106,1420,696,724,49,51,87.6,12.4
Amravati,2011,1379,3643,255,3388,7,93,72.9,27.1
Beed,2011,1052,798,237,561,29.7,70.3,89.5,10.5
Bhandara,2011,598,85,53,32,62.4,37.6,100,0
Buldhana,2011,1272,3253,592,2661,18.2,81.8,90.2,9.8
Chandrapur,2011,1272,2390,98,2292,4.1,95.9,88.8,11.2
Chh. Sambhaji Nagar,2011,4504,3950,865,3085,21.9,78.1,99.5,0.5
Dharashiv,2011,1119,1094,174,920,15.9,84.1,96,4
Dhule,2011,580,879,275,604,31.3,68.8,90.2,9.8
Gadchiroli,2011,644,94,73,21,77.7,22.3,80.8,19.2
Gondia,2011,461,358,246,112,68.7,31.3,67.5,32.5
Hingoli,2011,99,98,98,0,100,0,74.5,25.5
Jalgaon,2011,1522,3876,562,3314,14.5,85.5,85.8,14.2
Jalna,2011,1048,3099,468,2631,15.1,84.9,79.9,20.1
Kolhapur,2011,1350,1046,361,685,34.5,65.5,92.8,7.2
Latur,2011,964,2755,449,2306,16.3,83.7,94.2,5.8
Mumbai,2011,15959,15959,15959,0,100,0,80.8,19.2
Nagpur,2011,1528,1050,719,331,68.5,31.5,95.3,4.7
Nanded,2011,1535,1851,583,1268,31.5,68.5,82.7,17.3
Nandurbar,2011,784,833,644,189,77.3,22.7,88.8,11.2
Nashik,2011,2310,3158,2233,925,70.7,29.3,81.2,18.8
Palghar,2011,,,,,,,,
Parbhani,2011,1297,1036,1036,0,100,0,88.3,11.7
Pune,2011,9750,16546,3789,12757,22.9,77.1,89.3,10.7
Raigad,2011,1136,4118,453,3665,11,89,94.3,5.7
Ratnagiri,2011,938,2747,239,2508,8.7,91.3,91.6,8.4
Sangli,2011,1250,1728,413,1315,23.9,76.1,82.3,17.7
Satara,2011,3711,3986,586,3400,14.7,85.3,80.4,19.6
Sindhudurg,2011,1876,1000,230,770,23,77,97,3
Solapur,2011,2095,3914,1597,2317,40.8,59.2,93.1,6.9
Thane,2011,13727,11885,3720,8165,31.3,68.7,92,8
Wardha,2011,888,1559,212,1347,13.6,86.4,88.7,11.3
Washim,2011,383,1079,137,942,12.7,87.3,73.7,26.3
Yavatmal,2011,994,4010,778,3232,19.4,80.6,48.2,51.8
Ahilyanagar,2010,6405,5163,5163,0,100,0,91.3,8.7
