District,Year,Infant Deaths Reported,Sepsis x,Asphyxia x,Pneumonia x,Diarrhea x,Fever x,Measles x,Low Birth Weight x,Sepsis,Asphyxia,Pneumonia,Diarrhea,Fever,Measles,Low Birth Weight
Pune,2014,499,5,4.7,3.6,0,0,0,21.8,,,,,,,
Raigad,2014,251,3.6,10.4,2.7,0,0.5,0,40.3,,,,,,,
Ratnagiri,2014,187,4.3,26.1,3.8,0,0,0,34.8,,,,,,,
Sangli,2014,627,12,5.7,0.5,0,0.2,0,14.4,,,,,,,
Satara,2014,347,5.6,9.5,3.3,0,0,0,33.6,,,,,,,
Sindhudurg,2014,36,16,12,4,0,0,0,32,,,,,,,
Solapur,2014,650,11.4,8.1,0.2,0,0,0,36.3,,,,,,,
Thane,2014,513,10.6,10.6,1.9,0,0,0,28.1,,,,,,,
Wardha,2014,143,5.6,9.5,6.3,0,0,0,31,,,,,,,
Washim,2014,215,5.5,8.8,1.7,0,0,0.6,23.8,,,,,,,
Yavatmal,2014,307,0.3,5.9,2.8,0,0,0,44.8,,,,,,,
Ahilyanagar,2013,540,3.2,14.8,1.2,1.8,2,0,33.1,,,,,,,
Akola,2013,677,10.2,14.1,0.2,0,0.7,0,51.2,,,,,,,
Amravati,2013,782,6.7,14.1,1.5,0.1,0.6,0,50.4,,,,,,,
Beed,2013,45,0,2.9,5.7,2.9,2.9,0,22.9,,,,,,,
Bhandara,2013,330,9,22,2.4,0,1.2,0,29,,,,,,,
Buldhana,2013,432,12.3,22.3,2.4,4.4,1.7,0,34.9,,,,,,,
Chandrapur,2013,408,6,23.2,3,0.9,0,0,29.6,,,,,,,
Chh. Sambhaji Nagar,2013,87,1.2,7.1,2.4,1.2,1.2,0,40,,,,,,,
Dharashiv,2013,201,10,16,0,0,1.3,0,37.3,,,,,,,
Dhule,2013,74,4.1,23.3,4.1,1.4,0,0,41.1,,,,,,,
Gadchiroli,2013,66,6.9,22.4,5.2,0,3.4,0,19,,,,,,,
Gondia,2013,362,9.2,16.8,1.9,1.6,0.6,0,33.3,,,,,,,
Hingoli,2013,126,0,18.3,1.8,0,0.9,0,23.9,,,,,,,
Jalgaon,2013,727,5.6,17.9,2.3,0.5,2.7,0,34.5,,,,,,,
Jalna,2013,143,2.9,11,0.7,8.1,2.9,0,55.1,,,,,,,
Kolhapur,2013,325,3.2,8.6,0.6,4.1,0.6,0,12.4,,,,,,,
Latur,2013,37,5.6,22.2,0,0,0,2.8,25,,,,,,,
Mumbai,2013,440,8.2,12.1,5.1,0.8,0.3,0,16.5,,,,,,,
Nagpur,2013,329,12.4,19.9,1,0.3,0.3,0,27.1,,,,,,,
Nanded,2013,155,5.2,37.3,0.7,0,0,0,32,,,,,,,
Nandurbar,2013,469,7.5,10.5,7.2,0.4,4.4,0,26.5,,,,,,,
Nashik,2013,514,4.8,20.1,2.3,0.3,1.5,0,46.1,,,,,,,
Palghar,2013,15,6.7,33.3,0,0,0,0,20,,,,,,,
Parbhani,2013,17,0,21.4,0,0,0,0,21.4,,,,,,,
Pune,2013,779,9.7,21.8,5.1,6.5,4.3,0,29.3,,,,,,,
Raigad,2013,372,3.2,17.5,3.2,1.1,2,0,30.5,,,,,,,
Ratnagiri,2013,289,4.4,20.4,0.4,0,0,0,35.9,,,,,,,
Sangli,2013,73,6,10.4,4.5,0,3,0,20.9,,,,,,,
Satara,2013,461,6.1,11.6,0.5,0.3,0,0,31.1,,,,,,,
Sindhudurg,2013,30,0,6.9,0,34.5,3.4,0,10.3,,,,,,,
Solapur,2013,645,1.7,13.1,0.7,0,1.7,0,35.1,,,,,,,
Thane,2013,822,9,17.9,3.7,0.1,1.3,0,32.9,,,,,,,
Wardha,2013,211,8.9,15.6,2.8,0,2.2,0,38.9,,,,,,,
Washim,2013,102,2.1,24.5,0,0,3.2,0,36.2,,,,,,,
Yavatmal,2013,167,8.7,20.9,3.5,0,0,0,42.6,,,,,,,
Ahilyanagar,2012,1261,3.7,11,3.4,0,0.9,0,30.6,,,,,,,
Akola,2012,979,12.7,11.8,0.7,0,0.7,0,39,,,,,,,
Amravati,2012,1394,7.6,12.2,4.9,0.2,0.7,0,34.1,,,,,,,
Beed,2012,937,5.5,12.1,1.6,0.1,1.7,0,38.6,,,,,,,
Bhandara,2012,509,10.8,22.6,3.2,0,0.2,0.5,37.3,,,,,,,
Buldhana,2012,1132,3.4,13,2.5,6.4,12.5,0,36.5,,,,,,,
Chandrapur,2012,611,11.8,16.8,3.1,0,0.6,0,30.9,,,,,,,
Chh. Sambhaji Nagar,2012,502,1.2,5.8,4.9,0,1,0,31.1,,,,,,,
Dharashiv,2012,596,5.5,12.7,2.4,0,1.7,0,41.4,,,,,,,
Dhule,2012,1001,7.2,23.8,6.5,0.5,0.7,0,32.9,,,,,,,
Gadchiroli,2012,608,10.4,18.2,4.6,0.5,0.7,0,30.4,,,,,,,
Gondia,2012,535,12.2,20.8,5.3,0,0,0,32.9,,,,,,,
Hingoli,2012,193,2.6,11.2,6.6,0,0,0,31.6,,,,,,,
Jalgaon,2012,1262,8.7,15.3,3.5,0,0.5,0,33.7,,,,,,,
Jalna,2012,909,2.5,9.6,2.4,0,1,0,34.1,,,,,,,
Kolhapur,2012,908,0.1,4.8,0.7,0.1,0,0.1,13.1,,,,,,,
Latur,2012,566,6.7,16.6,2.1,0.2,1.8,0,39,,,,,,,
Mumbai,2012,5580,5.6,11.9,7.6,1.1,0.2,0,14.7,,,,,,,
Nagpur,2012,711,8.5,16.3,2.7,0.5,1.1,0,36.9,,,,,,,
Nanded,2012,1481,5.5,23.6,1.2,0,1.2,0,39.1,,,,,,,
Nandurbar,2012,919,4.9,12.4,10.6,1,2.8,0,29.7,,,,,,,
Nashik,2012,1671,4.4,13.4,6.2,0.1,1.5,0,40.5,,,,,,,
Palghar,2012,,,,,,,,,,,,,,,
Parbhani,2012,456,1.8,4.7,1.5,0.3,2.1,0,32,,,,,,,
Pune,2012,2315,8.7,12.1,5.4,3.9,3.6,1,25.6,,,,,,,
Raigad,2012,729,6.7,14.5,4.1,1,0.9,0,31.8,,,,,,,
Ratnagiri,2012,513,3.2,30.1,2.1,0,0.9,0,28.3,,,,,,,
Sangli,2012,871,6.7,19.7,3.8,0.3,2,0,28.8,,,,,,,
Satara,2012,1047,9.8,12.4,2.7,0.1,0.5,0.3,37,,,,,,,
Sindhudurg,2012,168,2.4,17.9,4.9,0,0,0,29.3,,,,,,,
Solapur,2012,1053,2.9,13,2.2,0.1,0.9,0.1,33.2,,,,,,,
Thane,2012,1628,10.3,12.7,4.8,0.7,2.8,0.8,29.5,,,,,,,
Wardha,2012,402,11.8,11.5,3.7,0,0.3,0,33.6,,,,,,,
Washim,2012,268,0.5,14.7,0.5,7.4,0,0,32.6,,,,,,,
Yavatmal,2012,642,3.6,14.7,3.8,0.4,0.4,0,43.2,,,,,,,
Ahilyanagar,2011,1263,3,12.6,3.2,4.4,0.5,0,29,,,,,,,
Akola,2011,522,14.2,18.5,2.7,0,0.3,0,34,,,,,,,
Amravati,2011,1452,5.8,11.9,5.7,0.3,0.8,0.1,37.2,,,,,,,
Beed,2011,754,1.9,7.5,1.2,1.3,1.6,0,20.1,,,,,,,
Bhandara,2011,322,3.3,20,5,0,0.4,0,37.9,,,,,,,
Buldhana,2011,817,3.9,18.4,4.1,0,0.9,0.3,39.5,,,,,,,
Chandrapur,2011,702,10.2,11.3,6.1,0,0.7,0,33.5,,,,,,,
Chh. Sambhaji Nagar,2011,386,1.9,7,1.4,7.8,0.8,0,16.2,,,,,,,
Dharashiv,2011,466,7.8,13.4,4.4,4.1,2.8,0,36.3,,,,,,,
Dhule,2011,512,15,5,8.2,1.5,0.9,0,18.5,,,,,,,
Gadchiroli,2011,391,9,19.1,10.1,1.4,0,0.8,27,,,,,,,
Gondia,2011,401,20.8,21.4,3.6,0,0,0,36,,,,,,,
Hingoli,2011,310,2.6,8.3,2.6,0.4,0.4,0,23.1,,,,,,,
Jalgaon,2011,1365,6,18.2,2.9,0.4,0.8,0.2,33.4,,,,,,,
Jalna,2011,496,3.7,9.8,2.7,0,4.5,0,31.6,,,,,,,
Kolhapur,2011,821,2.2,4.4,0.6,0.8,0.5,0,20.4,,,,,,,
Latur,2011,483,1.7,16.9,2,0.6,1.4,0,39.9,,,,,,,
Mumbai,2011,5342,4.9,10.7,9,1.2,0.1,0,12.8,,,,,,,
Nagpur,2011,694,6.9,19.4,2.4,0.4,0.2,0.2,38.9,,,,,,,
Nanded,2011,1212,5.4,14.3,3.1,0,3.1,0.1,35,,,,,,,
Nandurbar,2011,902,2.7,12,11.1,1.2,1.1,0,26.4,,,,,,,
Nashik,2011,1170,3.1,7.9,5.3,2.5,1.5,0,26.2,,,,,,,
Palghar,2011,,,,,,,,,,,,,,,
Parbhani,2011,414,0.3,4.5,1.3,0,1,0,37.5,,,,,,,
Pune,2011,3596,11.1,11.8,8.3,9.9,4.2,4.8,18.6,,,,,,,
Raigad,2011,556,4.3,16.5,5.9,0.4,0.4,0,29.7,,,,,,,
Ratnagiri,2011,345,4.4,13.9,1.7,2,0,0,23.5,,,,,,,
Sangli,2011,678,2.3,19.2,0.5,0.2,0.6,0,35.9,,,,,,,
Satara,2011,743,4.1,12.7,2.5,0.3,1.1,0,30.4,,,,,,,
Sindhudurg,2011,143,2.7,9.7,3.5,0,0,0,22.1,,,,,,,
Solapur,2011,979,3,12.9,0.1,0,0.7,0,30.7,,,,,,,
Thane,2011,1346,4.9,8.3,7.7,0.1,0.4,0.1,28.9,,,,,,,
Wardha,2011,358,4,11.9,4.3,0,0.4,0,38.1,,,,,,,
Washim,2011,355,2.7,13.2,1.6,1.6,0.4,0,29.1,,,,,,,
Yavatmal,2011,471,1.1,4.7,3,1.9,0.8,0,30.2,,,,,,,
Ahilyanagar,2010,1116,0,0,0,0,0,0,0,,,,,,,
Akola,2010,441,0,19.5,1.4,0,0,0,23,,,,,,,
Amravati,2010,1126,7.6,8,1.7,0,0.1,0,18.6,,,,,,,
Beed,2010,625,2.2,2.2,0,0,0,0,39.4,,,,,,,
Bhandara,2010,,,,,,,,,,,,,,,
Buldhana,2010,1137,0,0,0,0,0,0,0,,,,,,,
Chandrapur,2010,969,6.5,15.6,1.9,0,0.1,0,20.8,,,,,,,
Chh. Sambhaji Nagar,2010,819,0,0,0,0,0,0,0,,,,,,,
Dharashiv,2010,217,0,0,0,0,0,0,0,,,,,,,
Dhule,2010,745,0.9,0.6,3,0,1.6,0,18.7,,,,,,,
Gadchiroli,2010,418,,,,,,,,,,,,,,
Gondia,2010,486,4,4,0,0,0.6,0,12.1,,,,,,,
Hingoli,2010,311,0,0,0,0,0,0,6,,,,,,,
Jalgaon,2010,900,1.6,19.5,3.8,1.8,1.2,0,37.4,,,,,,,
Jalna,2010,953,0,0,8.9,13.1,13.7,0,0,,,,,,,
Kolhapur,2010,1197,2.3,1.8,0.3,0,0,0,3.8,,,,,,,
Latur,2010,555,0,0,0,0,0,0,0,,,,,,,
Mumbai,2010,6479,5.3,9.4,10.3,1.8,0.6,0,14,,,,,,,
Nagpur,2010,810,0,0,0,0,0,0,0,,,,,,,
Nanded,2010,1628,0,0.2,0,0,0,0,49.2,,,,,,,
Nandurbar,2010,955,4.8,9.5,0.1,1.4,0,0,21.9,,,,,,,
Nashik,2010,1129,0,0,0,0,0,0,0,,,,,,,
Palghar,2010,,,,,,,,,,,,,,,
Parbhani,2010,733,14.4,6.2,12.1,0.9,5.3,0,31.1,,,,,,,
Pune,2010,2664,4,5.8,3,0.6,2.6,0,6.8,,,,,,,
