District,Year,Taluka,Select Facility,Number
Ahilyanagar,2012,Rahuri,Doctors/Vaids,29
Ahilyanagar,2012,Rahuri,Number of Beds,126
Ahilyanagar,2012,Rahuri,Beds for Women,50
Ahilyanagar,2012,Rahuri,Beds for Children,40
Ahilyanagar,2012,Parner,Hospitals,2
Ahilyanagar,2012,Parner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Parner,Clinics,0
Ahilyanagar,2012,Parner,Maternity Wards,2
Ahilyanagar,2012,Parner,Primary Health Centres,7
Ahilyanagar,2012,Parner,Sub-Centres,41
Ahilyanagar,2012,Parner,Doctors/Vaids,30
Ahilyanagar,2012,Parner,Number of Beds,132
Ahilyanagar,2012,Parner,Beds for Women,50
Ahilyanagar,2012,Parner,Beds for Children,40
Ahilyanagar,2012,Srigonda,Hospitals,1
Ahilyanagar,2012,Srigonda,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Srigonda,Clinics,1
Ahilyanagar,2012,Srigonda,Maternity Wards,1
Ahilyanagar,2012,Srigonda,Primary Health Centres,7
Ahilyanagar,2012,Srigonda,Sub-Centres,39
Ahilyanagar,2012,Srigonda,Doctors/Vaids,28
Ahilyanagar,2012,Srigonda,Number of Beds,102
Ahilyanagar,2012,Srigonda,Beds for Women,30
Ahilyanagar,2012,Srigonda,Beds for Children,30
Ahilyanagar,2012,Karjat,Hospitals,1
Ahilyanagar,2012,Karjat,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Karjat,Clinics,0
Ahilyanagar,2012,Karjat,Maternity Wards,1
Ahilyanagar,2012,Karjat,Primary Health Centres,5
Ahilyanagar,2012,Karjat,Sub-Centres,34
Ahilyanagar,2012,Karjat,Doctors/Vaids,18
Ahilyanagar,2012,Karjat,Number of Beds,105
Ahilyanagar,2012,Karjat,Beds for Women,40
Ahilyanagar,2012,Karjat,Beds for Children,35
Ahilyanagar,2012,Jamkhed,Hospitals,1
Ahilyanagar,2012,Jamkhed,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2012,Jamkhed,Clinics,1
Ahilyanagar,2012,Jamkhed,Maternity Wards,1
Ahilyanagar,2012,Jamkhed,Primary Health Centres,3
Ahilyanagar,2012,Jamkhed,Sub-Centres,22
Ahilyanagar,2012,Jamkhed,Doctors/Vaids,15
Ahilyanagar,2012,Jamkhed,Number of Beds,68
Ahilyanagar,2012,Jamkhed,Beds for Women,30
Ahilyanagar,2012,Jamkhed,Beds for Children,20
Ahilyanagar,2013,Akole,Hospitals,4
Ahilyanagar,2013,Akole,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Akole,Clinics,0
Ahilyanagar,2013,Akole,Maternity Wards,4
Ahilyanagar,2013,Akole,Primary Health Centres,10
Ahilyanagar,2013,Akole,Sub-Centres,70
Ahilyanagar,2013,Akole,Doctors/Vaids,53
Ahilyanagar,2013,Akole,Number of Beds,244
Ahilyanagar,2013,Akole,Beds for Women,80
Ahilyanagar,2013,Akole,Beds for Children,100
Ahilyanagar,2013,Sangamner,Hospitals,2
Ahilyanagar,2013,Sangamner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Sangamner,Clinics,2
Ahilyanagar,2013,Sangamner,Maternity Wards,3
Ahilyanagar,2013,Sangamner,Primary Health Centres,10
Ahilyanagar,2013,Sangamner,Sub-Centres,67
Ahilyanagar,2013,Sangamner,Doctors/Vaids,44
Ahilyanagar,2013,Sangamner,Number of Beds,184
Ahilyanagar,2013,Sangamner,Beds for Women,60
Ahilyanagar,2013,Sangamner,Beds for Children,60
Ahilyanagar,2013,Kopargaon,Hospitals,2
Ahilyanagar,2013,Kopargaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Kopargaon,Clinics,3
Ahilyanagar,2013,Kopargaon,Maternity Wards,1
Ahilyanagar,2013,Kopargaon,Primary Health Centres,6
Ahilyanagar,2013,Kopargaon,Sub-Centres,32
Ahilyanagar,2013,Kopargaon,Doctors/Vaids,27
Ahilyanagar,2013,Kopargaon,Number of Beds,102
Ahilyanagar,2013,Kopargaon,Beds for Women,42
Ahilyanagar,2013,Kopargaon,Beds for Children,20
Ahilyanagar,2013,Rahata,Hospitals,2
Ahilyanagar,2013,Rahata,"Specialty Hospitals (Cancer, TB etc.)",1
Ahilyanagar,2013,Rahata,Clinics,1
Ahilyanagar,2013,Rahata,Maternity Wards,3
Ahilyanagar,2013,Rahata,Primary Health Centres,6
Ahilyanagar,2013,Rahata,Sub-Centres,30
Ahilyanagar,2013,Rahata,Doctors/Vaids,33
Ahilyanagar,2013,Rahata,Number of Beds,130
Ahilyanagar,2013,Rahata,Beds for Women,50
Ahilyanagar,2013,Rahata,Beds for Children,40
Ahilyanagar,2013,Srirampur,Hospitals,1
Ahilyanagar,2013,Srirampur,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Srirampur,Clinics,2
Ahilyanagar,2013,Srirampur,Maternity Wards,1
Ahilyanagar,2013,Srirampur,Primary Health Centres,6
Ahilyanagar,2013,Srirampur,Sub-Centres,31
Ahilyanagar,2013,Srirampur,Doctors/Vaids,26
