District,Year,Taluka,Pollution Category ,Number of Industries 
Ahilyanagar,2016,Nagar,Green,1270
Ahilyanagar,2016,Rahuri,Green,56
Ahilyanagar,2016,Parner,Green,690
Ahilyanagar,2016,Srigonda,Green,16
Ahilyanagar,2016,Karjat,Green,20
Ahilyanagar,2016,Jamkhed,Green,5
Ahilyanagar,2017,Akole,Red,2
Ahilyanagar,2017,Sangamner,Red,10
Ahilyanagar,2017,Kopargaon,Red,16
Ahilyanagar,2017,Rahata,Red,7
Ahilyanagar,2017,Srirampur,Red,80
Ahilyanagar,2017,Nevasa,Red,31
Ahilyanagar,2017,Shevgaon,Red,20
Ahilyanagar,2017,Pathardi,Red,5
Ahilyanagar,2017,Nagar,Red,386
Ahilyanagar,2017,Rahuri,Red,36
Ahilyanagar,2017,Parner,Red,55
Ahilyanagar,2017,Srigonda,Red,10
Ahilyanagar,2017,Karjat,Red,25
Ahilyanagar,2017,Jamkhed,Red,48
Ahilyanagar,2017,Akole,Orange,10
Ahilyanagar,2017,Sangamner,Orange,58
Ahilyanagar,2017,Kopargaon,Orange,43
Ahilyanagar,2017,Rahata,Orange,10
Ahilyanagar,2017,Srirampur,Orange,76
Ahilyanagar,2017,Nevasa,Orange,37
Ahilyanagar,2017,Shevgaon,Orange,8
Ahilyanagar,2017,Pathardi,Orange,7
Ahilyanagar,2017,Nagar,Orange,252
Ahilyanagar,2017,Rahuri,Orange,15
Ahilyanagar,2017,Parner,Orange,59
Ahilyanagar,2017,Srigonda,Orange,11
Ahilyanagar,2017,Karjat,Orange,12
Ahilyanagar,2017,Jamkhed,Orange,19
Ahilyanagar,2017,Akole,Green,31
Ahilyanagar,2017,Sangamner,Green,81
Ahilyanagar,2017,Kopargaon,Green,70
Ahilyanagar,2017,Rahata,Green,35
Ahilyanagar,2017,Srirampur,Green,106
Ahilyanagar,2017,Nevasa,Green,47
Ahilyanagar,2017,Shevgaon,Green,37
Ahilyanagar,2017,Pathardi,Green,17
