District,Year,Taluka,Pollution Category ,Number of Industries 
Chandrapur,2020,Jivati,White,0
Chandrapur,2021,Varora,Red,15
Chandrapur,2021,Chimur,Red,8
Chandrapur,2021,Nagbhid,Red,3
Chandrapur,2021,Bramhapuri,Red,9
Chandrapur,2021,Savali,Red,2
Chandrapur,2021,Sindevahi,Red,2
Chandrapur,2021,Bhadravati,Red,25
Chandrapur,2021,Chandrapur,Red,84
Chandrapur,2021,Mul,Red,10
Chandrapur,2021,Ponbhurna,Red,1
Chandrapur,2021,Ballarpur,Red,7
Chandrapur,2021,Korpana,Red,18
Chandrapur,2021,Rajura,Red,13
Chandrapur,2021,Gondpipari,Red,1
Chandrapur,2021,Jivati,Red,4
Chandrapur,2021,Varora,Orange,23
Chandrapur,2021,Chimur,Orange,42
Chandrapur,2021,Nagbhid,Orange,14
Chandrapur,2021,Bramhapuri,Orange,10
Chandrapur,2021,Savali,Orange,8
Chandrapur,2021,Sindevahi,Orange,3
Chandrapur,2021,Bhadravati,Orange,19
Chandrapur,2021,Chandrapur,Orange,53
Chandrapur,2021,Mul,Orange,13
Chandrapur,2021,Ponbhurna,Orange,1
Chandrapur,2021,Ballarpur,Orange,3
Chandrapur,2021,Korpana,Orange,8
Chandrapur,2021,Rajura,Orange,9
Chandrapur,2021,Gondpipari,Orange,2
Chandrapur,2021,Jivati,Orange,3
Chandrapur,2021,Varora,Green,22
Chandrapur,2021,Chimur,Green,14
Chandrapur,2021,Nagbhid,Green,11
Chandrapur,2021,Bramhapuri,Green,11
Chandrapur,2021,Savali,Green,6
Chandrapur,2021,Sindevahi,Green,1
Chandrapur,2021,Bhadravati,Green,11
Chandrapur,2021,Chandrapur,Green,97
Chandrapur,2021,Mul,Green,28
Chandrapur,2021,Ponbhurna,Green,1
Chandrapur,2021,Ballarpur,Green,15
Chandrapur,2021,Korpana,Green,4
Chandrapur,2021,Rajura,Green,6
Chandrapur,2021,Gondpipari,Green,4
Chandrapur,2021,Jivati,Green,0
Chandrapur,2021,Varora,White,2
Chandrapur,2021,Chimur,White,4
Chandrapur,2021,Nagbhid,White,0
Chandrapur,2021,Bramhapuri,White,0
Chandrapur,2021,Savali,White,0
Chandrapur,2021,Sindevahi,White,1
Chandrapur,2021,Bhadravati,White,4
Chandrapur,2021,Chandrapur,White,73
Chandrapur,2021,Mul,White,4
Chandrapur,2021,Ponbhurna,White,0
Chandrapur,2021,Ballarpur,White,3
Chandrapur,2021,Korpana,White,5
Chandrapur,2021,Rajura,White,4
Chandrapur,2021,Gondpipari,White,0
Chandrapur,2021,Jivati,White,0
Dhule,2011,Shirpur,Red,8
Dhule,2011,Shindkheda,Red,8
Dhule,2011,Sakri,Red,1
Dhule,2011,Dhule,Red,14
Dhule,2011,Shirpur,Orange,2
Dhule,2011,Shindkheda,Orange,7
Dhule,2011,Sakri,Orange,4
Dhule,2011,Dhule,Orange,52
Dhule,2011,Shirpur,Green,74
Dhule,2011,Shindkheda,Green,12
Dhule,2011,Sakri,Green,2
Dhule,2011,Dhule,Green,84
Dhule,2012,Shirpur,Red,5
Dhule,2012,Shindkheda,Red,6
Dhule,2012,Sakri,Red,6
Dhule,2012,Dhule,Red,6
Dhule,2012,Shirpur,Orange,2
Dhule,2012,Shindkheda,Orange,3
Dhule,2012,Sakri,Orange,0
Dhule,2012,Dhule,Orange,8
Dhule,2012,Shirpur,Green,38
Dhule,2012,Shindkheda,Green,11
Dhule,2012,Sakri,Green,0
Dhule,2012,Dhule,Green,51
Dhule,2013,Shirpur,Red,5
Dhule,2013,Shindkheda,Red,11
Dhule,2013,Sakri,Red,7
Dhule,2013,Dhule,Red,15
Dhule,2013,Shirpur,Orange,3
Dhule,2013,Shindkheda,Orange,4
Dhule,2013,Sakri,Orange,0
Dhule,2013,Dhule,Orange,8
Dhule,2013,Shirpur,Green,55
Dhule,2013,Shindkheda,Green,15
Dhule,2013,Sakri,Green,1
Dhule,2013,Dhule,Green,94
Dhule,2014,Shirpur,Red,11
Dhule,2014,Shindkheda,Red,13
Dhule,2014,Sakri,Red,8
Dhule,2014,Dhule,Red,19
Dhule,2014,Shirpur,Orange,4
Dhule,2014,Shindkheda,Orange,4
Dhule,2014,Sakri,Orange,0
Dhule,2014,Dhule,Orange,11
Dhule,2014,Shirpur,Green,119
Dhule,2014,Shindkheda,Green,18
Dhule,2014,Sakri,Green,1
Dhule,2014,Dhule,Green,108
Dhule,2015,Shirpur,Red,13
Dhule,2015,Shindkheda,Red,16
Dhule,2015,Sakri,Red,9
Dhule,2015,Dhule,Red,23
Dhule,2015,Shirpur,Orange,4
Dhule,2015,Shindkheda,Orange,9
Dhule,2015,Sakri,Orange,0
Dhule,2015,Dhule,Orange,23
Dhule,2015,Shirpur,Green,164
Dhule,2015,Shindkheda,Green,31
Dhule,2015,Sakri,Green,3
Dhule,2015,Dhule,Green,157
Dhule,2016,Shirpur,Red,17
Dhule,2016,Shindkheda,Red,23
Dhule,2016,Sakri,Red,11
Dhule,2016,Dhule,Red,34
Dhule,2016,Shirpur,Orange,7
Dhule,2016,Shindkheda,Orange,16
Dhule,2016,Sakri,Orange,3
Dhule,2016,Dhule,Orange,49
Dhule,2016,Shirpur,Green,188
Dhule,2016,Shindkheda,Green,40
Dhule,2016,Sakri,Green,5
Dhule,2016,Dhule,Green,203
Dhule,2017,Shirpur,Red,17
Dhule,2017,Shindkheda,Red,27
Dhule,2017,Sakri,Red,5
Dhule,2017,Dhule,Red,97
Dhule,2017,Shirpur,Orange,30
Dhule,2017,Shindkheda,Orange,54
Dhule,2017,Sakri,Orange,9
Dhule,2017,Dhule,Orange,250
Dhule,2017,Shirpur,Green,257
Dhule,2017,Shindkheda,Green,113
Dhule,2017,Sakri,Green,23
Dhule,2017,Dhule,Green,475
Dhule,2018,Shirpur,Red,21
Dhule,2018,Shindkheda,Red,31
Dhule,2018,Sakri,Red,6
Dhule,2018,Dhule,Red,104
Dhule,2018,Shirpur,Orange,34
Dhule,2018,Shindkheda,Orange,68
Dhule,2018,Sakri,Orange,15
Dhule,2018,Dhule,Orange,266
Dhule,2018,Shirpur,Green,296
Dhule,2018,Shindkheda,Green,155
Dhule,2018,Sakri,Green,32
Dhule,2018,Dhule,Green,636
Dhule,2019,Shirpur,Red,21
Dhule,2019,Shindkheda,Red,31
Dhule,2019,Sakri,Red,6
Dhule,2019,Dhule,Red,104
Dhule,2019,Shirpur,Orange,34
Dhule,2019,Shindkheda,Orange,68
Dhule,2019,Sakri,Orange,15
Dhule,2019,Dhule,Orange,266
Dhule,2019,Shirpur,Green,296
Dhule,2019,Shindkheda,Green,155
Dhule,2019,Sakri,Green,32
Dhule,2019,Dhule,Green,636
Dhule,2020,Shirpur,Red,6
Dhule,2020,Shindkheda,Red,3
Dhule,2020,Sakri,Red,2
Dhule,2020,Dhule,Red,62
Dhule,2020,Shirpur,Orange,44
Dhule,2020,Shindkheda,Orange,77
Dhule,2020,Sakri,Orange,25
Dhule,2020,Dhule,Orange,278
Dhule,2020,Shirpur,Green,305
Dhule,2020,Shindkheda,Green,164
Dhule,2020,Sakri,Green,34
Dhule,2020,Dhule,Green,659
Dhule,2020,Shirpur,White,6
Dhule,2020,Shindkheda,White,2
Dhule,2020,Sakri,White,5
Dhule,2020,Dhule,White,15
Dhule,2021,Shirpur,Red,6
Dhule,2021,Shindkheda,Red,3
Dhule,2021,Sakri,Red,2
Dhule,2021,Dhule,Red,62
Dhule,2021,Shirpur,Orange,44
Dhule,2021,Shindkheda,Orange,77
Dhule,2021,Sakri,Orange,25
Dhule,2021,Dhule,Orange,278
Dhule,2021,Shirpur,Green,305
Dhule,2021,Shindkheda,Green,164
Dhule,2021,Sakri,Green,34
Dhule,2021,Dhule,Green,659
Dhule,2021,Shirpur,White,6
Dhule,2021,Shindkheda,White,2
Dhule,2021,Sakri,White,5
Dhule,2021,Dhule,White,15
Gadchiroli,2012,Desaiganj,Red,2
Gadchiroli,2012,Aarmori,Red,1
Gadchiroli,2012,Kurkheda,Red,0
Gadchiroli,2012,Korachi,Red,0
Gadchiroli,2012,Dhanora,Red,0
Gadchiroli,2012,Gadchiroli,Red,13
Gadchiroli,2012,Chomoshi,Red,4
Gadchiroli,2012,Mulchera,Red,0
Gadchiroli,2012,Etapalli,Red,0
Gadchiroli,2012,Bhamragad,Red,0
Gadchiroli,2012,Aheri,Red,1
Gadchiroli,2012,Sironcha,Red,0
Gadchiroli,2012,Desaiganj,Orange,3
Gadchiroli,2012,Aarmori,Orange,4
Gadchiroli,2012,Kurkheda,Orange,0
Gadchiroli,2012,Korachi,Orange,0
Gadchiroli,2012,Dhanora,Orange,0
Gadchiroli,2012,Gadchiroli,Orange,5
Gadchiroli,2012,Chomoshi,Orange,2
Gadchiroli,2012,Mulchera,Orange,0
Gadchiroli,2012,Etapalli,Orange,0
Gadchiroli,2012,Bhamragad,Orange,0
Gadchiroli,2012,Aheri,Orange,3
Gadchiroli,2012,Sironcha,Orange,1
Gadchiroli,2012,Desaiganj,Green,11
Gadchiroli,2012,Aarmori,Green,20
Gadchiroli,2012,Kurkheda,Green,5
Gadchiroli,2012,Korachi,Green,0
Gadchiroli,2012,Dhanora,Green,3
Gadchiroli,2012,Gadchiroli,Green,7
Gadchiroli,2012,Chomoshi,Green,16
Gadchiroli,2012,Mulchera,Green,6
Gadchiroli,2012,Etapalli,Green,7
Gadchiroli,2012,Bhamragad,Green,0
Gadchiroli,2012,Aheri,Green,7
Gadchiroli,2012,Sironcha,Green,1
Gadchiroli,2013,Desaiganj,Red,1
Gadchiroli,2013,Aarmori,Red,0
Gadchiroli,2013,Kurkheda,Red,0
Gadchiroli,2013,Korachi,Red,0
Gadchiroli,2013,Dhanora,Red,0
Gadchiroli,2013,Gadchiroli,Red,0
Gadchiroli,2013,Chomoshi,Red,0
Gadchiroli,2013,Mulchera,Red,0
Gadchiroli,2013,Etapalli,Red,0
Gadchiroli,2013,Bhamragad,Red,0
Gadchiroli,2013,Aheri,Red,0
Gadchiroli,2013,Sironcha,Red,0
Gadchiroli,2013,Desaiganj,Orange,2
Gadchiroli,2013,Aarmori,Orange,1
Gadchiroli,2013,Kurkheda,Orange,0
Gadchiroli,2013,Korachi,Orange,0
Gadchiroli,2013,Dhanora,Orange,1
Gadchiroli,2013,Gadchiroli,Orange,1
Gadchiroli,2013,Chomoshi,Orange,0
Gadchiroli,2013,Mulchera,Orange,0
Gadchiroli,2013,Etapalli,Orange,0
Gadchiroli,2013,Bhamragad,Orange,0
Gadchiroli,2013,Aheri,Orange,0
Gadchiroli,2013,Sironcha,Orange,0
Gadchiroli,2013,Desaiganj,Green,0
Gadchiroli,2013,Aarmori,Green,0
Gadchiroli,2013,Kurkheda,Green,0
Gadchiroli,2013,Korachi,Green,0
Gadchiroli,2013,Dhanora,Green,0
Gadchiroli,2013,Gadchiroli,Green,3
Gadchiroli,2013,Chomoshi,Green,0
Gadchiroli,2013,Mulchera,Green,0
Gadchiroli,2013,Etapalli,Green,0
Gadchiroli,2013,Bhamragad,Green,0
Gadchiroli,2013,Aheri,Green,1
Gadchiroli,2013,Sironcha,Green,0
Gadchiroli,2014,Desaiganj,Red,1
Gadchiroli,2014,Desaiganj,Orange,2
Gadchiroli,2014,Aarmori,Orange,1
Gadchiroli,2014,Kurkheda,Orange,1
Gadchiroli,2014,Chomoshi,Orange,1
Gadchiroli,2014,Desaiganj,Green,1
Gadchiroli,2014,Gadchiroli,Green,7
Gadchiroli,2014,Chomoshi,Green,1
Gadchiroli,2015,Desaiganj,Red,1
Gadchiroli,2015,Aarmori,Red,0
Gadchiroli,2015,Kurkheda,Red,0
Gadchiroli,2015,Korachi,Red,0
Gadchiroli,2015,Dhanora,Red,0
Gadchiroli,2015,Gadchiroli,Red,0
Gadchiroli,2015,Chomoshi,Red,0
Gadchiroli,2015,Mulchera,Red,0
Gadchiroli,2015,Etapalli,Red,0
Gadchiroli,2015,Bhamragad,Red,0
Gadchiroli,2015,Aheri,Red,0
Gadchiroli,2015,Sironcha,Red,0
Gadchiroli,2015,Desaiganj,Orange,1
Gadchiroli,2015,Aarmori,Orange,0
Gadchiroli,2015,Kurkheda,Orange,0
Gadchiroli,2015,Korachi,Orange,0
Gadchiroli,2015,Dhanora,Orange,0
Gadchiroli,2015,Gadchiroli,Orange,1
Gadchiroli,2015,Chomoshi,Orange,0
Gadchiroli,2015,Mulchera,Orange,0
Gadchiroli,2015,Etapalli,Orange,1
Gadchiroli,2015,Bhamragad,Orange,0
Gadchiroli,2015,Aheri,Orange,1
Gadchiroli,2015,Sironcha,Orange,0
Gadchiroli,2015,Desaiganj,Green,1
Gadchiroli,2015,Aarmori,Green,1
Gadchiroli,2015,Kurkheda,Green,0
Gadchiroli,2015,Korachi,Green,0
Gadchiroli,2015,Dhanora,Green,0
Gadchiroli,2015,Gadchiroli,Green,3
Gadchiroli,2015,Chomoshi,Green,0
Gadchiroli,2015,Mulchera,Green,0
Gadchiroli,2015,Etapalli,Green,0
Gadchiroli,2015,Bhamragad,Green,0
Gadchiroli,2015,Aheri,Green,0
Gadchiroli,2015,Sironcha,Green,0
Gadchiroli,2016,Desaiganj,Red,0
Gadchiroli,2016,Aarmori,Red,0
Gadchiroli,2016,Kurkheda,Red,0
Gadchiroli,2016,Korachi,Red,0
Gadchiroli,2016,Dhanora,Red,0
Gadchiroli,2016,Gadchiroli,Red,0
Gadchiroli,2016,Chomoshi,Red,0
Gadchiroli,2016,Mulchera,Red,0
Gadchiroli,2016,Etapalli,Red,0
Gadchiroli,2016,Bhamragad,Red,0
Gadchiroli,2016,Aheri,Red,0
Gadchiroli,2016,Sironcha,Red,0
Gadchiroli,2016,Desaiganj,Orange,1
Gadchiroli,2016,Aarmori,Orange,0
Gadchiroli,2016,Kurkheda,Orange,0
Gadchiroli,2016,Korachi,Orange,0
Gadchiroli,2016,Dhanora,Orange,0
Gadchiroli,2016,Gadchiroli,Orange,1
Gadchiroli,2016,Chomoshi,Orange,0
Gadchiroli,2016,Mulchera,Orange,0
Gadchiroli,2016,Etapalli,Orange,0
Gadchiroli,2016,Bhamragad,Orange,0
Gadchiroli,2016,Aheri,Orange,0
Gadchiroli,2016,Sironcha,Orange,0
Gadchiroli,2016,Desaiganj,Green,2
Gadchiroli,2016,Aarmori,Green,1
Gadchiroli,2016,Kurkheda,Green,0
Gadchiroli,2016,Korachi,Green,0
Gadchiroli,2016,Dhanora,Green,0
Gadchiroli,2016,Gadchiroli,Green,2
Gadchiroli,2016,Chomoshi,Green,1
Gadchiroli,2016,Mulchera,Green,0
Gadchiroli,2016,Etapalli,Green,0
Gadchiroli,2016,Bhamragad,Green,0
Gadchiroli,2016,Aheri,Green,0
Gadchiroli,2016,Sironcha,Green,0
Gadchiroli,2017,Desaiganj,Red,1
Gadchiroli,2017,Aarmori,Red,0
Gadchiroli,2017,Kurkheda,Red,0
Gadchiroli,2017,Korachi,Red,0
Gadchiroli,2017,Dhanora,Red,0
Gadchiroli,2017,Gadchiroli,Red,0
Gadchiroli,2017,Chomoshi,Red,0
Gadchiroli,2017,Mulchera,Red,0
Gadchiroli,2017,Etapalli,Red,0
Gadchiroli,2017,Bhamragad,Red,0
Gadchiroli,2017,Aheri,Red,0
Gadchiroli,2017,Sironcha,Red,0
Gadchiroli,2017,Desaiganj,Orange,2
Gadchiroli,2017,Aarmori,Orange,0
Gadchiroli,2017,Kurkheda,Orange,0
Gadchiroli,2017,Korachi,Orange,0
Gadchiroli,2017,Dhanora,Orange,0
Gadchiroli,2017,Gadchiroli,Orange,4
Gadchiroli,2017,Chomoshi,Orange,0
Gadchiroli,2017,Mulchera,Orange,0
Gadchiroli,2017,Etapalli,Orange,1
Gadchiroli,2017,Bhamragad,Orange,0
Gadchiroli,2017,Aheri,Orange,1
Gadchiroli,2017,Sironcha,Orange,0
Gadchiroli,2017,Desaiganj,Green,3
Gadchiroli,2017,Aarmori,Green,2
Gadchiroli,2017,Kurkheda,Green,0
Gadchiroli,2017,Korachi,Green,0
Gadchiroli,2017,Dhanora,Green,0
Gadchiroli,2017,Gadchiroli,Green,10
Gadchiroli,2017,Chomoshi,Green,1
Gadchiroli,2017,Mulchera,Green,0
Gadchiroli,2017,Etapalli,Green,0
Gadchiroli,2017,Bhamragad,Green,0
Gadchiroli,2017,Aheri,Green,0
Gadchiroli,2017,Sironcha,Green,0
Gadchiroli,2017,Desaiganj,White,0
Gadchiroli,2017,Aarmori,White,0
Gadchiroli,2017,Kurkheda,White,0
Gadchiroli,2017,Korachi,White,0
Gadchiroli,2017,Dhanora,White,0
Gadchiroli,2017,Gadchiroli,White,2
Gadchiroli,2017,Chomoshi,White,0
Gadchiroli,2017,Mulchera,White,0
Gadchiroli,2017,Etapalli,White,0
Gadchiroli,2017,Bhamragad,White,0
Gadchiroli,2017,Aheri,White,0
Gadchiroli,2017,Sironcha,White,0
Gadchiroli,2018,Desaiganj,Red,1
Gadchiroli,2018,Aarmori,Red,0
Gadchiroli,2018,Kurkheda,Red,0
Gadchiroli,2018,Korachi,Red,0
Gadchiroli,2018,Dhanora,Red,0
Gadchiroli,2018,Gadchiroli,Red,0
Gadchiroli,2018,Chomoshi,Red,0
Gadchiroli,2018,Mulchera,Red,0
Gadchiroli,2018,Etapalli,Red,0
Gadchiroli,2018,Bhamragad,Red,0
Gadchiroli,2018,Aheri,Red,0
Gadchiroli,2018,Sironcha,Red,0
Gadchiroli,2018,Desaiganj,Orange,2
Gadchiroli,2018,Aarmori,Orange,0
Gadchiroli,2018,Kurkheda,Orange,0
Gadchiroli,2018,Korachi,Orange,0
Gadchiroli,2018,Dhanora,Orange,0
Gadchiroli,2018,Gadchiroli,Orange,4
Gadchiroli,2018,Chomoshi,Orange,0
Gadchiroli,2018,Mulchera,Orange,0
Gadchiroli,2018,Etapalli,Orange,1
Gadchiroli,2018,Bhamragad,Orange,0
Gadchiroli,2018,Aheri,Orange,1
Gadchiroli,2018,Sironcha,Orange,0
Gadchiroli,2018,Desaiganj,Green,3
Gadchiroli,2018,Aarmori,Green,2
Gadchiroli,2018,Kurkheda,Green,0
Gadchiroli,2018,Korachi,Green,0
Gadchiroli,2018,Dhanora,Green,0
Gadchiroli,2018,Gadchiroli,Green,10
Gadchiroli,2018,Chomoshi,Green,1
Gadchiroli,2018,Mulchera,Green,0
Gadchiroli,2018,Etapalli,Green,0
Gadchiroli,2018,Bhamragad,Green,0
Gadchiroli,2018,Aheri,Green,0
Gadchiroli,2018,Sironcha,Green,0
Gadchiroli,2018,Desaiganj,White,0
Gadchiroli,2018,Aarmori,White,0
Gadchiroli,2018,Kurkheda,White,0
Gadchiroli,2018,Korachi,White,0
Gadchiroli,2018,Dhanora,White,0
Gadchiroli,2018,Gadchiroli,White,2
Gadchiroli,2018,Chomoshi,White,1
Gadchiroli,2018,Mulchera,White,0
Gadchiroli,2018,Etapalli,White,0
Gadchiroli,2018,Bhamragad,White,0
Gadchiroli,2018,Aheri,White,0
Gadchiroli,2018,Sironcha,White,0
Gadchiroli,2019,Desaiganj,Red,1
Gadchiroli,2019,Aarmori,Red,0
Gadchiroli,2019,Kurkheda,Red,0
Gadchiroli,2019,Korachi,Red,0
Gadchiroli,2019,Dhanora,Red,0
Gadchiroli,2019,Gadchiroli,Red,0
Gadchiroli,2019,Chomoshi,Red,0
Gadchiroli,2019,Mulchera,Red,0
Gadchiroli,2019,Etapalli,Red,0
Gadchiroli,2019,Bhamragad,Red,0
Gadchiroli,2019,Aheri,Red,0
Gadchiroli,2019,Sironcha,Red,0
Gadchiroli,2019,Desaiganj,Orange,2
Gadchiroli,2019,Aarmori,Orange,0
Gadchiroli,2019,Kurkheda,Orange,0
Gadchiroli,2019,Korachi,Orange,0
Gadchiroli,2019,Dhanora,Orange,0
Gadchiroli,2019,Gadchiroli,Orange,4
Gadchiroli,2019,Chomoshi,Orange,1
Gadchiroli,2019,Mulchera,Orange,0
Gadchiroli,2019,Etapalli,Orange,1
Gadchiroli,2019,Bhamragad,Orange,0
Gadchiroli,2019,Aheri,Orange,1
Gadchiroli,2019,Sironcha,Orange,0
Gadchiroli,2019,Desaiganj,Green,3
Gadchiroli,2019,Aarmori,Green,2
Gadchiroli,2019,Kurkheda,Green,0
Gadchiroli,2019,Korachi,Green,0
Gadchiroli,2019,Dhanora,Green,0
Gadchiroli,2019,Gadchiroli,Green,11
Gadchiroli,2019,Chomoshi,Green,2
Gadchiroli,2019,Mulchera,Green,0
Gadchiroli,2019,Etapalli,Green,0
Gadchiroli,2019,Bhamragad,Green,0
Gadchiroli,2019,Aheri,Green,0
Gadchiroli,2019,Sironcha,Green,0
Gadchiroli,2019,Desaiganj,White,0
Gadchiroli,2019,Aarmori,White,0
Gadchiroli,2019,Kurkheda,White,0
Gadchiroli,2019,Korachi,White,0
Gadchiroli,2019,Dhanora,White,0
Gadchiroli,2019,Gadchiroli,White,2
Gadchiroli,2019,Chomoshi,White,1
Gadchiroli,2019,Mulchera,White,0
Gadchiroli,2019,Etapalli,White,0
Gadchiroli,2019,Bhamragad,White,0
Gadchiroli,2019,Aheri,White,0
Gadchiroli,2019,Sironcha,White,0
Gadchiroli,2020,Desaiganj,Red,1
Gadchiroli,2020,Aarmori,Red,0
Gadchiroli,2020,Kurkheda,Red,0
Gadchiroli,2020,Korachi,Red,0
Gadchiroli,2020,Dhanora,Red,0
Gadchiroli,2020,Gadchiroli,Red,1
Gadchiroli,2020,Chomoshi,Red,0
Gadchiroli,2020,Mulchera,Red,0
Gadchiroli,2020,Etapalli,Red,0
Gadchiroli,2020,Bhamragad,Red,0
Gadchiroli,2020,Aheri,Red,0
Gadchiroli,2020,Sironcha,Red,0
Gadchiroli,2020,Desaiganj,Orange,2
Gadchiroli,2020,Aarmori,Orange,0
Gadchiroli,2020,Kurkheda,Orange,0
Gadchiroli,2020,Korachi,Orange,0
Gadchiroli,2020,Dhanora,Orange,0
Gadchiroli,2020,Gadchiroli,Orange,4
Gadchiroli,2020,Chomoshi,Orange,2
Gadchiroli,2020,Mulchera,Orange,0
Gadchiroli,2020,Etapalli,Orange,1
Gadchiroli,2020,Bhamragad,Orange,0
Gadchiroli,2020,Aheri,Orange,2
Gadchiroli,2020,Sironcha,Orange,0
Gadchiroli,2020,Desaiganj,Green,7
Gadchiroli,2020,Aarmori,Green,2
Gadchiroli,2020,Kurkheda,Green,0
Gadchiroli,2020,Korachi,Green,0
Gadchiroli,2020,Dhanora,Green,0
Gadchiroli,2020,Gadchiroli,Green,13
Gadchiroli,2020,Chomoshi,Green,3
Gadchiroli,2020,Mulchera,Green,0
Gadchiroli,2020,Etapalli,Green,0
Gadchiroli,2020,Bhamragad,Green,0
Gadchiroli,2020,Aheri,Green,0
Gadchiroli,2020,Sironcha,Green,0
Gadchiroli,2020,Desaiganj,White,0
Gadchiroli,2020,Aarmori,White,0
Gadchiroli,2020,Kurkheda,White,0
Gadchiroli,2020,Korachi,White,0
Gadchiroli,2020,Dhanora,White,0
Gadchiroli,2020,Gadchiroli,White,3
Gadchiroli,2020,Chomoshi,White,3
Gadchiroli,2020,Mulchera,White,0
Gadchiroli,2020,Etapalli,White,0
Gadchiroli,2020,Bhamragad,White,0
Gadchiroli,2020,Aheri,White,0
Gadchiroli,2020,Sironcha,White,1
Gadchiroli,2021,Desaiganj,Red,1
Gadchiroli,2021,Aarmori,Red,0
Gadchiroli,2021,Kurkheda,Red,0
Gadchiroli,2021,Korachi,Red,0
Gadchiroli,2021,Dhanora,Red,0
Gadchiroli,2021,Gadchiroli,Red,1
Gadchiroli,2021,Chomoshi,Red,0
Gadchiroli,2021,Mulchera,Red,0
Gadchiroli,2021,Etapalli,Red,0
Gadchiroli,2021,Bhamragad,Red,0
Gadchiroli,2021,Aheri,Red,0
Gadchiroli,2021,Sironcha,Red,0
Gadchiroli,2021,Desaiganj,Orange,2
Gadchiroli,2021,Aarmori,Orange,0
Gadchiroli,2021,Kurkheda,Orange,0
Gadchiroli,2021,Korachi,Orange,0
Gadchiroli,2021,Dhanora,Orange,0
Gadchiroli,2021,Gadchiroli,Orange,5
Gadchiroli,2021,Chomoshi,Orange,2
Gadchiroli,2021,Mulchera,Orange,0
Gadchiroli,2021,Etapalli,Orange,1
Gadchiroli,2021,Bhamragad,Orange,0
Gadchiroli,2021,Aheri,Orange,2
Gadchiroli,2021,Sironcha,Orange,0
Gadchiroli,2021,Desaiganj,Green,10
Gadchiroli,2021,Aarmori,Green,2
Gadchiroli,2021,Kurkheda,Green,0
Gadchiroli,2021,Korachi,Green,0
Gadchiroli,2021,Dhanora,Green,0
Gadchiroli,2021,Gadchiroli,Green,15
Gadchiroli,2021,Chomoshi,Green,5
Gadchiroli,2021,Mulchera,Green,0
Gadchiroli,2021,Etapalli,Green,0
Gadchiroli,2021,Bhamragad,Green,0
Gadchiroli,2021,Aheri,Green,0
Gadchiroli,2021,Sironcha,Green,0
Gadchiroli,2021,Desaiganj,White,0
Gadchiroli,2021,Aarmori,White,0
Gadchiroli,2021,Kurkheda,White,0
Gadchiroli,2021,Korachi,White,0
Gadchiroli,2021,Dhanora,White,0
Gadchiroli,2021,Gadchiroli,White,3
Gadchiroli,2021,Chomoshi,White,3
Gadchiroli,2021,Mulchera,White,0
Gadchiroli,2021,Etapalli,White,0
Gadchiroli,2021,Bhamragad,White,0
Gadchiroli,2021,Aheri,White,0
Gadchiroli,2021,Sironcha,White,2
Gondia,2012,Tiroda,Red,21
Gondia,2012,Goregaon,Red,26
Gondia,2012,Gondia,Red,116
Gondia,2012,Aamgaon,Red,22
Gondia,2012,Salekasa,Red,10
Gondia,2012,Sadak Arjuni,Red,12
Gondia,2012,Arjuni Morgaon,Red,19
Gondia,2012,Devari,Red,20
Gondia,2012,Tiroda,Orange,41
Gondia,2012,Goregaon,Orange,45
Gondia,2012,Gondia,Orange,263
Gondia,2012,Aamgaon,Orange,71
Gondia,2012,Salekasa,Orange,18
Gondia,2012,Sadak Arjuni,Orange,20
Gondia,2012,Arjuni Morgaon,Orange,51
Gondia,2012,Devari,Orange,20
Gondia,2012,Tiroda,Green,10
Gondia,2012,Goregaon,Green,21
Gondia,2012,Gondia,Green,187
Gondia,2012,Aamgaon,Green,15
Gondia,2012,Salekasa,Green,2
Gondia,2012,Sadak Arjuni,Green,3
Gondia,2012,Arjuni Morgaon,Green,11
Gondia,2012,Devari,Green,8
Gondia,2013,Tiroda,Red,21
Gondia,2013,Goregaon,Red,26
Gondia,2013,Gondia,Red,187
Gondia,2013,Aamgaon,Red,19
Gondia,2013,Salekasa,Red,10
Gondia,2013,Sadak Arjuni,Red,12
Gondia,2013,Arjuni Morgaon,Red,19
Gondia,2013,Devari,Red,20
Gondia,2013,Tiroda,Orange,41
Gondia,2013,Goregaon,Orange,46
Gondia,2013,Gondia,Orange,263
Gondia,2013,Aamgaon,Orange,51
Gondia,2013,Salekasa,Orange,18
Gondia,2013,Sadak Arjuni,Orange,20
Gondia,2013,Arjuni Morgaon,Orange,51
Gondia,2013,Devari,Orange,20
Gondia,2013,Tiroda,Green,10
Gondia,2013,Goregaon,Green,22
Gondia,2013,Gondia,Green,116
Gondia,2013,Aamgaon,Green,14
Gondia,2013,Salekasa,Green,2
Gondia,2013,Sadak Arjuni,Green,3
Gondia,2013,Arjuni Morgaon,Green,14
Gondia,2013,Devari,Green,8
Gondia,2014,Tiroda,Red,22
Gondia,2014,Goregaon,Red,35
Gondia,2014,Gondia,Red,152
Gondia,2014,Aamgaon,Red,36
Gondia,2014,Salekasa,Red,11
Gondia,2014,Sadak Arjuni,Red,16
Gondia,2014,Arjuni Morgaon,Red,23
Gondia,2014,Devari,Red,23
Gondia,2014,Tiroda,Orange,36
Gondia,2014,Goregaon,Orange,36
Gondia,2014,Gondia,Orange,225
Gondia,2014,Aamgaon,Orange,51
