District,Year,Taluka,Manufacturing Category,No. of Workers
Ahilyanagar,2023,Shrirampur,Food & Beverages,13
Ahilyanagar,2023,Shrirampur,Others,25
Ahilyanagar,2023,Nagar,Food & Beverages,12
Ahilyanagar,2023,Nagar,Automotive & Transport,50
Ahilyanagar,2023,Nagar,Machinery & Equipment,250
Ahilyanagar,2023,Nagar,Machinery & Equipment,250
Ahilyanagar,2023,Nagar,Automotive & Transport,900
Ahilyanagar,2023,Nagar,Metal & Engineering,500
Ahilyanagar,2023,Nagar,Machinery & Equipment,1000
Ahilyanagar,2023,Sangamner,Metal & Engineering,519
Ahilyanagar,2023,Sangamner,Others,165
Ahilyanagar,2023,Nagar,Textile & Apparel,20
Ahilyanagar,2023,Nagar,Machinery & Equipment,125
Ahilyanagar,2023,Shrigonda,Food & Beverages,2
Ahilyanagar,2023,Shevgaon,Food & Beverages,2
Ahilyanagar,2023,Karjat,Food & Beverages,2
Ahilyanagar,2023,Karjat,Food & Beverages,2
Ahilyanagar,2023,Karjat,Wood & Paper Products,2
Ahilyanagar,2023,Nagar,Others,22
Ahilyanagar,2023,Nagar,Textile & Apparel,7
Ahilyanagar,2023,Nagar,Food & Beverages,10
Ahilyanagar,2023,Nagar,Textile & Apparel,22
Ahilyanagar,2023,Nagar,Wood & Paper Products,24
Ahilyanagar,2023,Nagar,Textile & Apparel,150
Ahilyanagar,2023,Newasa,Food & Beverages,12
Ahilyanagar,2023,Nagar,Wood & Paper Products,15
Ahilyanagar,2023,Nagar,Others,8
Ahilyanagar,2023,Akole,Others,22
Ahilyanagar,2023,Akole,Others,14
Ahilyanagar,2023,Rahuri,Food & Beverages,510
Ahilyanagar,2023,Nagar,Others,150
Ahilyanagar,2023,Nagar,Metal & Engineering,21
Ahilyanagar,2023,Parner,Food & Beverages,10
Ahilyanagar,2023,Nagar,Machinery & Equipment,500
Ahilyanagar,2023,Parner,Others,20
Ahilyanagar,2023,Parner,Others,246
Ahilyanagar,2023,Nagar,Automotive & Transport,235
Ahilyanagar,2023,Nagar,Others,245
Ahilyanagar,2023,Nagar,Others,29
Ahilyanagar,2023,Nagar,Chemical & Pharmaceutical,12
Ahilyanagar,2023,Nagar,Machinery & Equipment,172
Ahilyanagar,2023,Nagar,Automotive & Transport,20
Ahilyanagar,2023,Nagar,Others,747
Ahilyanagar,2023,Kopargaon,Food & Beverages,35
Ahilyanagar,2023,Pathardi,Plastic & Rubber,280
Ahilyanagar,2023,Sangamner,Plastic & Rubber,389
Ahilyanagar,2023,Sangamner,Automotive & Transport,49
Ahilyanagar,2023,Rahata,Automotive & Transport,12
Ahilyanagar,2023,Nagar,Metal & Engineering,35
Ahilyanagar,2023,Nagar,Others,70
Ahilyanagar,2023,Nagar,Textile & Apparel,20
Ahilyanagar,2023,Parner,Plastic & Rubber,20
