District,Year,Taluka,Manufacturing Category,No. of Workers
Mumbai City,2023,G. B. Road,Metal & Engineering,5
Mumbai City,2023,,Textile & Apparel,25
Mumbai City,2023,,Wood & Paper Products,9
Mumbai City,2023,"Chinchpokali Rd, T B Kadam Marg,",Plastic & Rubber,20
Mumbai City,2023,,Automotive & Transport,50
Mumbai City,2023,,Metal & Engineering,211
Mumbai City,2023,,Textile & Apparel,10
Mumbai City,2023,,Automotive & Transport,20
Mumbai City,2023,"Ganpatrao Kadam Marg,",Metal & Engineering,104
Mumbai City,2023,Charkop,Textile & Apparel,16
Mumbai City,2023,,Construction & Building Materials,20
Mumbai City,2023,,Construction & Building Materials,20
Mumbai City,2023,Ramchandra Lane,Metal & Engineering,20
Mumbai City,2023,,Wood & Paper Products,5
Mumbai City,2023,Trombay Road,Plastic & Rubber,13
Mumbai City,2023,New Link Road,Metal & Engineering,250
Mumbai City,2023,"New Trombay Road,",Chemical & Pharmaceutical,10
Mumbai City,2023,L. B. S. Marg,Metal & Engineering,15
Mumbai City,2023,L. B. S. Marg,Machinery & Equipment,12
Mumbai City,2023,"Sussex Road,",Textile & Apparel,10
Mumbai City,2023,"Ishwarbhai Patel Road,",Metal & Engineering,20
Mumbai City,2023,"Gupta Rd,",Textile & Apparel,25
Mumbai City,2023,,Others,8
Mumbai City,2023,"L. B. S. Marg,",Food & Beverages,51
Mumbai City,2023,,Automotive & Transport,45
Mumbai City,2023,Old Nagardas Road,Metal & Engineering,17
Mumbai City,2023,,Metal & Engineering,25
Mumbai City,2023,,Textile & Apparel,10
Mumbai City,2023,,Chemical & Pharmaceutical,33
Mumbai City,2023,Western Express Highway,Metal & Engineering,21
Mumbai City,2023,,Others,30
Mumbai City,2023,Mahakali Caves Road,Plastic & Rubber,18
Mumbai City,2023,N. M. Joshi Marg - 304,Textile & Apparel,12
Mumbai City,2023,S. V. Road,Metal & Engineering,18
Mumbai City,2023,,Textile & Apparel,102
Mumbai City,2023,"Godbunder Road,",Automotive & Transport,20
Mumbai City,2023,Walbhatt Road,Textile & Apparel,18
Mumbai City,2023,"Sun Mill Road,",Textile & Apparel,14
Mumbai City,2023,Sion - Trombay Road,Automotive & Transport,50
Mumbai City,2023,Sion - Trombay Road,Textile & Apparel,46
Mumbai City,2023,Dr. Muscareuhas Rd.,Textile & Apparel,51
Mumbai City,2023,Tulsi Pipe Road - 303,Textile & Apparel,10
Mumbai City,2023,,Food & Beverages,50
Mumbai City,2023,J. J. Marg,Metal & Engineering,11
Mumbai City,2023,D.L.Marg,Metal & Engineering,140
Mumbai City,2023,,Machinery & Equipment,18
Mumbai City,2023,,Metal & Engineering,12
Mumbai City,2023,,Automotive & Transport,20
Mumbai City,2023,Dumping Road,Others,20
Mumbai City,2023,Marol,Others,16
Mumbai City,2023,Dr. Rajendra Prasad Road,Others,20
Mumbai City,2023,Subhash Road,Textile & Apparel,20
Mumbai City,2023,,Textile & Apparel,48
Mumbai City,2023,,Textile & Apparel,40
Mumbai City,2023,,Metal & Engineering,150
Mumbai City,2023,,Automotive & Transport,15
Mumbai City,2023,,Automotive & Transport,20
Mumbai City,2023,Jail Road,Food & Beverages,10
Mumbai City,2023,S.N. Dubey Road,Metal & Engineering,98
Mumbai City,2023,Off Kedarmal Road,Food & Beverages,21
Mumbai City,2023,Eastern Express Highway,Textile & Apparel,20
Mumbai City,2023,Dumping Road,Others,20
Mumbai City,2023,Dr. Rajendra Prasad Road,Others,20
Mumbai City,2023,Hay Bunder Road,Food & Beverages,12
Mumbai City,2023,,Plastic & Rubber,30
Mumbai City,2023,"L. B. Marg,",Food & Beverages,50
Mumbai City,2023,S. V. Road,Metal & Engineering,20
Mumbai City,2023,"M. G. Road,",Textile & Apparel,50
Mumbai City,2023,,Metal & Engineering,50
Mumbai City,2023,Dumping Road,Others,20
Mumbai City,2023,Ram Mandir Rd.,Metal & Engineering,9
Mumbai City,2023,Nwe Link Rd,Automotive & Transport,52
Mumbai City,2023,"Chincholi Bunder Rd.,",Metal & Engineering,7
Mumbai City,2023,,Textile & Apparel,80
Mumbai City,2023,"Kurla Andheri Road, Saki Naka",Metal & Engineering,20
Mumbai City,2023,,Others,20
Mumbai City,2023,Pandit Dindayal Marg,Others,20
Mumbai City,2023,Dongri Station,Metal & Engineering,20
Mumbai City,2023,"Government Gate Road,",Others,9
Mumbai City,2023,,Machinery & Equipment,21
Mumbai City,2023,"Lbs Marg,",Food & Beverages,49
Mumbai City,2023,,Metal & Engineering,21
Mumbai City,2023,,Metal & Engineering,10
Mumbai City,2023,Dattamandir Road,Textile & Apparel,45
Mumbai City,2023,,Metal & Engineering,26
Mumbai City,2023,"S.V. Rd.,",Metal & Engineering,20
Mumbai City,2023,"S.V. Road,",Metal & Engineering,20
Mumbai City,2023,,Others,33
Mumbai City,2023,,Others,33
Mumbai City,2023,Andheri - Kurla Road,Plastic & Rubber,25
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,S. V. Road,Metal & Engineering,70
Mumbai City,2023,"Saki Naka, 2Nd Floor",Others,28
Mumbai City,2023,"S. G. Barve Marg,",Automotive & Transport,75
Mumbai City,2023,,Others,20
Mumbai City,2023,Jayprakash Road,Metal & Engineering,12
Mumbai City,2023,Andheri - Kurla Road,Food & Beverages,30
Mumbai City,2023,Andheri - Kurla Road,Textile & Apparel,185
Mumbai City,2023,,Food & Beverages,172
Mumbai City,2023,,Textile & Apparel,26
Mumbai City,2023,"Sahar Road,",Plastic & Rubber,14
Mumbai City,2023,"Kandivita Rd,",Textile & Apparel,12
Mumbai City,2023,J. R. Boricha Marg,Textile & Apparel,20
Mumbai City,2023,"Behind Sakinaka,M.T.N.L. Exch.",Textile & Apparel,18
Mumbai City,2023,S. V. Road,Metal & Engineering,20
Mumbai City,2023,"Ferguson Road,",Textile & Apparel,25
Mumbai City,2023,Andheri Kurla Rd.,Textile & Apparel,22
Mumbai City,2023,"C. B. Road.,",Chemical & Pharmaceutical,10
Mumbai City,2023,"S.V. Rd.,",Metal & Engineering,16
Mumbai City,2023,S. V. Road,Metal & Engineering,20
Mumbai City,2023,"Cementary Road,",Food & Beverages,18
Mumbai City,2023,,Machinery & Equipment,80
Mumbai City,2023,,Metal & Engineering,20
Mumbai City,2023,,Others,12
Mumbai City,2023,,Machinery & Equipment,10
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,,Machinery & Equipment,12
Mumbai City,2023,,Metal & Engineering,144
Mumbai City,2023,,Plastic & Rubber,10
Mumbai City,2023,,Textile & Apparel,22
Mumbai City,2023,,Metal & Engineering,20
Mumbai City,2023,,Others,59
Mumbai City,2023,Aarey Road,Machinery & Equipment,20
Mumbai City,2023,"Sheikh Mistry Road,",Metal & Engineering,29
Mumbai City,2023,Kurla Andheri Road,Metal & Engineering,15
Mumbai City,2023,Walbhat Road,Metal & Engineering,20
Mumbai City,2023,"Dr. Marshar Road,",Others,8
Mumbai City,2023,,Chemical & Pharmaceutical,3176
Mumbai City,2023,Andheri - Kurla Road,Metal & Engineering,76
Mumbai City,2023,"S.V. Rd.,",Metal & Engineering,16
Mumbai City,2023,,Textile & Apparel,14
Mumbai City,2023,S.V.Road,Metal & Engineering,20
Mumbai City,2023,W.E.Highway,Metal & Engineering,9
Mumbai City,2023,Govandi Station Road,Automotive & Transport,20
Mumbai City,2023,Mahakali Caves Road,Plastic & Rubber,20
Mumbai City,2023,,Metal & Engineering,25
Mumbai City,2023,,Metal & Engineering,20
Mumbai City,2023,,Metal & Engineering,50
Mumbai City,2023,S.J. Marg,Others,49
Mumbai City,2023,Marol,Machinery & Equipment,29
Mumbai City,2023,,Metal & Engineering,29
Mumbai City,2023,,Textile & Apparel,23
Mumbai City,2023,,Textile & Apparel,21
Mumbai City,2023,"Dr. Annie Besant Road,",Automotive & Transport,20
Mumbai City,2023,"Ghatkopar Mahul Road,",Automotive & Transport,90
Mumbai City,2023,Hall Road,Textile & Apparel,20
Mumbai City,2023,G. D. Ambekar Marg,Textile & Apparel,8
Mumbai City,2023,,Chemical & Pharmaceutical,10
Mumbai City,2023,Sir. Moco Road,Metal & Engineering,20
Mumbai City,2023,Kurla Andheri Road,Construction & Building Materials,9
Mumbai City,2023,"S.V. Road,",Others,30
Mumbai City,2023,,Construction & Building Materials,42
Mumbai City,2023,,Others,150
Mumbai City,2023,,Textile & Apparel,50
Mumbai City,2023,,Textile & Apparel,15
Mumbai City,2023,Off Mahakali Caves Road,Metal & Engineering,24
Mumbai City,2023,,Others,12
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,,Textile & Apparel,55
Mumbai City,2023,,Automotive & Transport,67
Mumbai City,2023,Andheri Kurla Road,Automotive & Transport,22
Mumbai City,2023,Andheri Kurla Rd. Saki Naka,Textile & Apparel,9
Mumbai City,2023,"Ayyappa Mandir Rd, Off Kherani Rd.,",Plastic & Rubber,5
Mumbai City,2023,,Automotive & Transport,50
Mumbai City,2023,,Wood & Paper Products,
Mumbai City,2023,"Jerbai Wadia Rd.,",Textile & Apparel,98
Mumbai City,2023,L.B.S. Marg,Wood & Paper Products,20
Mumbai City,2023,,Construction & Building Materials,35
Mumbai City,2023,,Construction & Building Materials,30
Mumbai City,2023,Anik - Wadala Road,Metal & Engineering,35
Mumbai City,2023,,Construction & Building Materials,15
Mumbai City,2023,,Textile & Apparel,285
Mumbai City,2023,,Machinery & Equipment,27
Mumbai City,2023,X Road 'B' Street No.5,Plastic & Rubber,15
Mumbai City,2023,,Plastic & Rubber,17
Mumbai City,2023,Aarey Road,Wood & Paper Products,20
Mumbai City,2023,Ramchandra Lane,Metal & Engineering,14
Mumbai City,2023,Gokhale Road (South),Plastic & Rubber,20
Mumbai City,2023,"Kurla Andheri Road, Saki Naka",Textile & Apparel,15
Mumbai City,2023,"326, Mathurdas Vasanji Marg,",Machinery & Equipment,11
Mumbai City,2023,Bhagoji Waghmare Road,Chemical & Pharmaceutical,99
Mumbai City,2023,"Sewree Fort Road,",Textile & Apparel,20
Mumbai City,2023,,Food & Beverages,21
Mumbai City,2023,,Machinery & Equipment,69
Mumbai City,2023,,Metal & Engineering,837
Mumbai City,2023,,Metal & Engineering,99
Mumbai City,2023,,Metal & Engineering,99
Mumbai City,2023,,Metal & Engineering,432
Mumbai City,2023,,Metal & Engineering,82
Mumbai City,2023,,Metal & Engineering,389
Mumbai City,2023,,Others,18
Mumbai City,2023,J. R. Boricha Marg,Construction & Building Materials,50
Mumbai City,2023,"Sitaram Jadhav Marg,",Textile & Apparel,14
Mumbai City,2023,"Kotkar Road,",Textile & Apparel,45
Mumbai City,2023,,Wood & Paper Products,29
Mumbai City,2023,,Others,12
Mumbai City,2023,Andheri - Kurla Road,Textile & Apparel,50
Mumbai City,2023,Rajwadkar Rd.,Food & Beverages,10
Mumbai City,2023,Andheri - Kurla Road,Textile & Apparel,20
Mumbai City,2023,Mahakali Caves Road,Plastic & Rubber,30
Mumbai City,2023,Mahakali Caves Road,Automotive & Transport,130
Mumbai City,2023,Sir M. V. Road,Wood & Paper Products,20
Mumbai City,2023,,Textile & Apparel,62
Mumbai City,2023,Military Road,Automotive & Transport,46
Mumbai City,2023,"Sir.J.J. Road,",Metal & Engineering,150
Mumbai City,2023,"L. B. S. Marg,",Machinery & Equipment,100
Mumbai City,2023,,Others,50
Mumbai City,2023,,Metal & Engineering,25
Mumbai City,2023,,Plastic & Rubber,10
Mumbai City,2023,,Others,
Mumbai City,2023,,Textile & Apparel,166
Mumbai City,2023,"J.R.Boricha Mar,",Automotive & Transport,50
Mumbai City,2023,"S.V. Road,",Metal & Engineering,20
Mumbai City,2023,Santacruz,Textile & Apparel,55
Mumbai City,2023,Walbhat Cross Road,Others,10
Mumbai City,2023,,Others,46
Mumbai City,2023,"Tank Street,",Food & Beverages,16
Mumbai City,2023,,Chemical & Pharmaceutical,87
Mumbai City,2023,A. G. Jakaria Bunder Road,Textile & Apparel,67
Mumbai City,2023,"Saki Vihar Road,",Others,260
Mumbai City,2023,L.B.S. Marg,Construction & Building Materials,50
Mumbai City,2023,Sakinaka,Textile & Apparel,50
Mumbai City,2023,,Textile & Apparel,75
Mumbai City,2023,"Seepz,",Automotive & Transport,20
Mumbai City,2023,Ram Mandir Road,Machinery & Equipment,18
Mumbai City,2023,Pandit Dindayal Marg,Others,20
Mumbai City,2023,Kurla Andheri Road,Metal & Engineering,20
Mumbai City,2023,Andheri Kurla Rd.,Textile & Apparel,28
Mumbai City,2023,,Wood & Paper Products,50
Mumbai City,2023,,Textile & Apparel,10
Mumbai City,2023,Mahakali Caves Road,Machinery & Equipment,20
Mumbai City,2023,Saki Naka,Construction & Building Materials,14
Mumbai City,2023,Dindayal Upadhyay Marg,Others,20
Mumbai City,2023,Agra Road,Plastic & Rubber,35
Mumbai City,2023,Central Road,Others,2500
Mumbai City,2023,,Automotive & Transport,476
Mumbai City,2023,,Others,373
Mumbai City,2023,22Nd Street,Automotive & Transport,45
Mumbai City,2023,22Nd Street,Automotive & Transport,633
Mumbai City,2023,Gem Vaidya Marg,Automotive & Transport,38
Mumbai City,2023,Gokhale Road (South),Textile & Apparel,150
Mumbai City,2023,,Wood & Paper Products,9
Mumbai City,2023,Dr. Rajendra Prasad Road,Others,20
Mumbai City,2023,Nagardas Road,Machinery & Equipment,20
Mumbai City,2023,Dumping Road,Others,20
Mumbai City,2023,Off Mahakali Caves Road,Metal & Engineering,140
Mumbai City,2023,Pandit Dindayal Marg,Others,20
Mumbai City,2023,,Others,21
Mumbai City,2023,M. G. Road,Machinery & Equipment,18
Mumbai City,2023,Pandit Dindayal U. Marg,Others,20
Mumbai City,2023,,Machinery & Equipment,10
Mumbai City,2023,,Metal & Engineering,21
Mumbai City,2023,Dumping Road,Others,20
Mumbai City,2023,,Food & Beverages,20
Mumbai City,2023,S. V. Road,Machinery & Equipment,250
Mumbai City,2023,,Metal & Engineering,100
Mumbai City,2023,,Metal & Engineering,45
Mumbai City,2023,,Wood & Paper Products,50
Mumbai City,2023,Saki Vihar Road.,Textile & Apparel,5
Mumbai City,2023,Kanjur Village Road,Others,20
Mumbai City,2023,Kurla - Andheri Road,Metal & Engineering,20
Mumbai City,2023,Saki Vihar Road,Plastic & Rubber,20
Mumbai City,2023,Ebhrahim Rehemtulla Road,Automotive & Transport,
Mumbai City,2023,,Metal & Engineering,17
Mumbai City,2023,T.J.Road,Metal & Engineering,30
Mumbai City,2023,"Bunder Road,",Food & Beverages,20
Mumbai City,2023,Caves Road,Textile & Apparel,46
Mumbai City,2023,,Chemical & Pharmaceutical,4
Mumbai City,2023,,Textile & Apparel,20
Mumbai City,2023,,Textile & Apparel,20
Mumbai City,2023,Jai Bhavani Road,Food & Beverages,16
Mumbai City,2023,S. V. Road,Plastic & Rubber,15
Mumbai City,2023,Andheri - Kurla Road,Automotive & Transport,50
Mumbai City,2023,,Metal & Engineering,142
Mumbai City,2023,,Wood & Paper Products,100
Mumbai City,2023,,Plastic & Rubber,16
Mumbai City,2023,,Metal & Engineering,55
Mumbai City,2023,Dr. Rajendra Prasad Road,Metal & Engineering,21
Mumbai City,2023,,Automotive & Transport,20
Mumbai City,2023,"Goregaon-Mulund Link Road,",Chemical & Pharmaceutical,132
Mumbai City,2023,Morga Rd,Metal & Engineering,6
Mumbai City,2023,G.K. Kadam Marg,Others,30
Mumbai City,2023,,Metal & Engineering,20
Mumbai City,2023,,Textile & Apparel,15
Mumbai City,2023,,Others,145
Mumbai City,2023,H. A. Palav Marg,Plastic & Rubber,7
Mumbai City,2023,H. A. Palav Marg,Plastic & Rubber,10
Mumbai City,2023,,Textile & Apparel,50
Mumbai City,2023,"M.M.Road,",Others,20
Mumbai City,2023,"Off.P.K.Road,",Others,20
Mumbai City,2023,,Metal & Engineering,22
Mumbai City,2023,,Metal & Engineering,11
Mumbai City,2023,,Textile & Apparel,245
Mumbai City,2023,Araye Road,Plastic & Rubber,50
Mumbai City,2023,,Metal & Engineering,41
Mumbai City,2023,Caves Road,Textile & Apparel,10
Mumbai City,2023,,Metal & Engineering,34
Mumbai City,2023,,Metal & Engineering,250
Mumbai City,2023,,Metal & Engineering,500
Mumbai City,2023,,Others,10
Mumbai City,2023,,Textile & Apparel,10
Mumbai City,2023,Saki Vihar Road,Wood & Paper Products,12
Mumbai City,2023,Grant Road,Automotive & Transport,65
Mumbai City,2023,,Metal & Engineering,50
Mumbai City,2023,".Marve Road,",Textile & Apparel,61
Mumbai City,2023,,Automotive & Transport,50
Mumbai City,2023,"Bombay Agra Road,",Chemical & Pharmaceutical,215
Mumbai City,2023,Parsi Panchayat Road,Machinery & Equipment,39
Mumbai City,2023,,Metal & Engineering,28
Mumbai City,2023,"Sitaram Jadhav Marg,",Others,55
Mumbai City,2023,S.Jadhav Marg,Textile & Apparel,48
Mumbai City,2023,,Textile & Apparel,50
Mumbai City,2023,Off.Caves Road,Textile & Apparel,11
Mumbai City,2023,"Saki Vihar Road, Kurla - Andheri Road",Metal & Engineering,51
Mumbai City,2023,,Others,70
Mumbai City,2023,,Textile & Apparel,15
Mumbai City,2023,,Metal & Engineering,250
Mumbai City,2023,,Food & Beverages,175
Mumbai City,2023,L. B. S. Marg,Food & Beverages,170
Mumbai City,2023,,Food & Beverages,50
Mumbai City,2023,,Food & Beverages,12
Mumbai City,2023,,Metal & Engineering,150
Mumbai City,2023,,Metal & Engineering,3
Mumbai City,2023,"Station Road,",Machinery & Equipment,
Mumbai City,2023,"Sahar Road,",Wood & Paper Products,2
Mumbai City,2023,,Wood & Paper Products,3
Mumbai City,2023,,Machinery & Equipment,15
Mumbai City,2023,,Textile & Apparel,35
Mumbai City,2023,,Machinery & Equipment,10
Mumbai City,2023,Ram Mandir Road,Others,22
Mumbai City,2023,"47, Magazine Street,",Machinery & Equipment,70
Mumbai City,2023,,Automotive & Transport,150
Mumbai City,2023,Cnetral Warehous Corporation,Automotive & Transport,72
Mumbai City,2023,Andheri Kurla Rd.,Metal & Engineering,9
Mumbai City,2023,Marol,Textile & Apparel,15
Mumbai City,2023,,Textile & Apparel,14
Mumbai City,2023,,Others,
Mumbai City,2023,Asalpha,Others,55
Mumbai City,2023,Saki Vihar Road,Metal & Engineering,
Mumbai City,2023,,Others,60
Mumbai City,2023,L. B. S. Marg,Plastic & Rubber,10
Mumbai City,2023,Kurla Andheri Road,Metal & Engineering,31
Mumbai City,2023,Central Road - B,Textile & Apparel,150
Mumbai City,2023,,Automotive & Transport,21
Mumbai City,2023,G. B. Road,Automotive & Transport,40
Mumbai City,2023,Tulsi Pipe Road,Textile & Apparel,10
Mumbai City,2023,,Wood & Paper Products,10
Mumbai City,2023,Road No. 16,Metal & Engineering,70
Mumbai City,2023,,Metal & Engineering,100
Mumbai City,2023,,Textile & Apparel,17
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,,Textile & Apparel,50
Mumbai City,2023,Mahul Road,Others,14
Mumbai City,2023,N.S.S.Road,Others,38
Mumbai City,2023,"Sun Mill Road,",Automotive & Transport,18
Mumbai City,2023,,Textile & Apparel,87
Mumbai City,2023,Naigaum Cross Road,Textile & Apparel,30
Mumbai City,2023,,Textile & Apparel,30
Mumbai City,2023,Jail Road,Automotive & Transport,11
Mumbai City,2023,Link Rd.,Others,186
Mumbai City,2023,,Wood & Paper Products,40
Mumbai City,2023,Mahakali Caves Road,Food & Beverages,150
Mumbai City,2023,,Textile & Apparel,24
Mumbai City,2023,"Marol,",Plastic & Rubber,66
Mumbai City,2023,"Dr. E. Moses Road,",Machinery & Equipment,25
Mumbai City,2023,Sion - Trombay Road,Automotive & Transport,4
Mumbai City,2023,Westren Express Highway,Metal & Engineering,15
Mumbai City,2023,,Wood & Paper Products,20
Mumbai City,2023,Opp. Gopal House Industries,Wood & Paper Products,15
Mumbai City,2023,,Textile & Apparel,46
Mumbai City,2023,,Metal & Engineering,26
Mumbai City,2023,,Textile & Apparel,28
Mumbai City,2023,"L. B. S. Marg,",Textile & Apparel,19
Mumbai City,2023,Service Station Road,Automotive & Transport,9
Mumbai City,2023,"L.B.S. Marg,",Wood & Paper Products,20
Mumbai City,2023,,Automotive & Transport,245
Mumbai City,2023,,Automotive & Transport,240
Mumbai City,2023,,Automotive & Transport,35
Mumbai City,2023,,Automotive & Transport,35
Mumbai City,2023,Bamboo Gali,Chemical & Pharmaceutical,65
Mumbai City,2023,,Automotive & Transport,200
Mumbai City,2023,,Automotive & Transport,245
Mumbai City,2023,"Off Mahakali Caves Road,",Textile & Apparel,25
Mumbai City,2023,Andheri - Ghatkopar Link Road,Textile & Apparel,150
Mumbai City,2023,N. M. Joshi Marg,Textile & Apparel,32
Mumbai City,2023,"Pantera Bunder Rd.,",Metal & Engineering,20
Mumbai City,2023,Ram Bhau Bhogle Marg,Wood & Paper Products,9
Mumbai City,2023,Malad Marve Road,Automotive & Transport,21
Mumbai City,2023,Malad Marve Road,Others,23
Mumbai City,2023,"A.K. Road,",Metal & Engineering,10
Mumbai City,2023,Off Mahakali Caves Road,Machinery & Equipment,10
Mumbai City,2023,,Metal & Engineering,25
Mumbai City,2023,"Off Walbhat Road,",Wood & Paper Products,50
Mumbai City,2023,"Sayani Road,",Others,28
Mumbai City,2023,Walbhat Road,Machinery & Equipment,19
Mumbai City,2023,L. B. S. Marg,Machinery & Equipment,21
Mumbai City,2023,"Chincholi Bunder Road,",Metal & Engineering,7
Mumbai City,2023,,Textile & Apparel,93
Mumbai City,2023,,Textile & Apparel,15
Mumbai City,2023,S. V. Road,Textile & Apparel,28
Mumbai City,2023,"Kurla Andheri Road, Saki Naka",Automotive & Transport,50
Mumbai City,2023,"Shuklaji Street,",Wood & Paper Products,3
Mumbai City,2023,Off S.V. Road,Metal & Engineering,39
Mumbai City,2023,,Machinery & Equipment,50
Mumbai City,2023,"Ishwarbhai Patel Road,",Textile & Apparel,20
Mumbai City,2023,,Wood & Paper Products,15
Mumbai City,2023,"Sun Mill Road,",Textile & Apparel,21
Mumbai City,2023,"Deonar Village Road,",Machinery & Equipment,10
Mumbai City,2023,"S.V.Road,",Metal & Engineering,150
Mumbai City,2023,"Kalina,",Automotive & Transport,35
Mumbai City,2023,,Automotive & Transport,35
Mumbai City,2023,,Textile & Apparel,9
Mumbai City,2023,,Metal & Engineering,50
Mumbai City,2023,L. B. S. Marg,Automotive & Transport,20
Mumbai City,2023,,Food & Beverages,18
Mumbai City,2023,,Food & Beverages,25
Mumbai City,2023,,Wood & Paper Products,22
Mumbai City,2023,"Bhati Gaon Opp. Hirdevi Tempalmadhailand,",Others,11
Mumbai City,2023,S. B. Marg,Automotive & Transport,64
Mumbai City,2023,Gokhale Road (South),Textile & Apparel,76
Mumbai City,2023,Andheri Kurla Rd.,Wood & Paper Products,50
Mumbai City,2023,S.V.Road,Metal & Engineering,7
Mumbai City,2023,,Metal & Engineering,535
Mumbai City,2023,,Metal & Engineering,145
Mumbai City,2023,,Metal & Engineering,125
Mumbai City,2023,,Textile & Apparel,20
Mumbai City,2023,"Gavdevi Road,",Textile & Apparel,20
Mumbai City,2023,Quarry Road,Textile & Apparel,96
Mumbai City,2023,Hairani Road,Food & Beverages,50
Mumbai City,2023,"Western Express Highway,",Metal & Engineering,21
Mumbai City,2023,Sonawala X Road No.2,Chemical & Pharmaceutical,12
Mumbai City,2023,L. B. S. Marg,Textile & Apparel,10
Mumbai City,2023,,Plastic & Rubber,20
Mumbai City,2023,Dr. Rajendra Prasad Road,Others,20
Mumbai City,2023,,Automotive & Transport,28
Mumbai City,2023,Walbhat Road,Others,16
Mumbai City,2023,Saki Vihar Road,Chemical & Pharmaceutical,49
Mumbai City,2023,S.V.Road,Automotive & Transport,146
Mumbai City,2023,,Automotive & Transport,100
Mumbai City,2023,,Textile & Apparel,
Mumbai City,2023,Vishveshwar Nagar Road,Machinery & Equipment,24
Mumbai City,2023,,Others,18
Mumbai City,2023,,Others,150
Mumbai City,2023,Datta Mandir Rd,Plastic & Rubber,30
Mumbai City,2023,,Textile & Apparel,20
Mumbai City,2023,Central Road,Textile & Apparel,50
Mumbai City,2023,Mahakali Caves Road,Wood & Paper Products,10
Mumbai City,2023,"M. Vasanji Road,",Wood & Paper Products,8
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,,Metal & Engineering,10
Mumbai City,2023,Andheri - Kurla Road,Textile & Apparel,20
Mumbai City,2023,L. B. S. Marg,Textile & Apparel,20
Mumbai City,2023,,Textile & Apparel,10
Mumbai City,2023,,Metal & Engineering,21
Mumbai City,2023,"Bail Bazar,",Textile & Apparel,10
Mumbai City,2023,"N. M. Joshi Marg,",Textile & Apparel,10
Mumbai City,2023,,Metal & Engineering,20
Mumbai City,2023,,Others,206
Mumbai City,2023,Katrak Road - 711,Automotive & Transport,30
Mumbai City,2023,,Automotive & Transport,22
Mumbai City,2023,,Metal & Engineering,10
Mumbai City,2023,Gollanji Hill Road,Textile & Apparel,20
Mumbai City,2023,Dattaram Marg,Plastic & Rubber,20
Mumbai City,2023,L. B. S. Marg,Textile & Apparel,14
Mumbai City,2023,,Metal & Engineering,50
Mumbai City,2023,Old Kurla Road,Machinery & Equipment,31
Mumbai City,2023,Tulsi Pipe Road,Textile & Apparel,60
Mumbai City,2023,,Wood & Paper Products,16
Mumbai City,2023,,Metal & Engineering,250
Mumbai City,2023,,Metal & Engineering,13
Mumbai City,2023,Saki Vihar Road,Textile & Apparel,12
Mumbai City,2023,"Goregaon Mulund Link Road., Off New Link Rad",Automotive & Transport,77
Mumbai City,2023,"Haines Road,",Plastic & Rubber,5
Mumbai City,2023,Andheri - Kurla Road,Chemical & Pharmaceutical,9
Mumbai City,2023,Western Express Highway,Metal & Engineering,23
Mumbai City,2023,,Machinery & Equipment,70
Mumbai City,2023,,Wood & Paper Products,12
Mumbai City,2023,L.B.S.Marg,Textile & Apparel,25
Mumbai City,2023,L.B.S. Marg,Wood & Paper Products,25
Mumbai City,2023,,Others,50
Mumbai City,2023,"Gun Powder Rd.,",Machinery & Equipment,19
Mumbai City,2023,"Quay Street,",Construction & Building Materials,20
Mumbai City,2023,"L. B. S. Marg,",Textile & Apparel,50
Mumbai City,2023,"S. V. Road,",Machinery & Equipment,20
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,"Off Saki Vihar Rd,",Others,20
Mumbai City,2023,,Plastic & Rubber,20
Mumbai City,2023,"Andheri Kurla Road,",Textile & Apparel,17
Mumbai City,2023,L. B. S. Marg,Textile & Apparel,20
Mumbai City,2023,,Wood & Paper Products,20
Mumbai City,2023,"Ferguson Road,",Textile & Apparel,21
Mumbai City,2023,,Automotive & Transport,50
Mumbai City,2023,,Automotive & Transport,150
Mumbai City,2023,S.V.Road,Textile & Apparel,20
Mumbai City,2023,,Machinery & Equipment,27
Mumbai City,2023,Shankar Cross Link Road,Automotive & Transport,10
Mumbai City,2023,"Udyog Madir Rd., No.1 Petamber Lane",Textile & Apparel,35
Mumbai City,2023,Veera Desai Road,Chemical & Pharmaceutical,18
Mumbai City,2023,,Textile & Apparel,50
Mumbai City,2023,,Plastic & Rubber,16
Mumbai City,2023,,Wood & Paper Products,100
Mumbai City,2023,Dharavi Road,Automotive & Transport,555
Mumbai City,2023,,Automotive & Transport,20
Mumbai City,2023,"Ramchandra Bhatt Marg,",Automotive & Transport,98
Mumbai City,2023,,Metal & Engineering,152
Mumbai City,2023,"P. Fosberry Road,",Food & Beverages,18
Mumbai City,2023,"Kurla Andheri Road, Saki Naka",Textile & Apparel,40
Mumbai City,2023,,Machinery & Equipment,20
Mumbai City,2023,,Textile & Apparel,21
Mumbai City,2023,Parsi Panchayat Road,Textile & Apparel,25
Mumbai City,2023,,Automotive & Transport,42
Mumbai City,2023,S. V. Road,Automotive & Transport,20
Mumbai City,2023,Tulsi Pipe Road - 164,Textile & Apparel,50
