Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non-Workers,Non-Workers Seeking Work,People Seeking Work
2011,Jalgaon,Rural,35-39,89004,5838,2352,410,3051
2011,Jalgaon,Rural,40-49,149977,9016,4069,494,4446
2011,Jalgaon,Rural,50-59,99707,6210,6432,332,2397
2011,Jalgaon,Rural,60-69,56245,5327,19498,496,1544
2011,Jalgaon,Rural,70-79,20853,2639,20875,259,491
2011,Jalgaon,Rural,80+,4485,598,8293,91,139
2011,Jalgaon,Urban,05-09,877,516,63064,440,88
2011,Jalgaon,Urban,10-14,1948,838,65340,897,228
2011,Jalgaon,Urban,15-19,10826,2622,54258,5340,1347
2011,Jalgaon,Urban,20-24,28422,4665,34334,7361,2610
2011,Jalgaon,Urban,25-29,42737,4733,12574,3798,2295
2011,Jalgaon,Urban,30-34,43658,3991,4459,1129,1773
2011,Jalgaon,Urban,35-39,42954,3631,2975,528,1535
2011,Jalgaon,Urban,40-49,73676,5449,4851,511,2027
2011,Jalgaon,Urban,50-59,47129,3288,7781,397,1014
2011,Jalgaon,Urban,60-69,14720,1759,18702,341,468
2011,Jalgaon,Urban,70-79,4683,687,11949,117,149
2011,Jalgaon,Urban,80+,1692,242,4532,69,72
2011,Buldhana,Total,05-09,3199,448,122979,421,50
2011,Buldhana,Total,10-14,6182,1308,134264,1103,299
2011,Buldhana,Total,15-19,33219,5589,97872,8078,2748
2011,Buldhana,Total,20-24,81489,8886,43539,10194,5314
2011,Buldhana,Total,25-29,94798,7135,11897,3926,4081
2011,Buldhana,Total,30-34,85253,5382,3446,945,2986
2011,Buldhana,Total,35-39,80197,4582,2299,480,2429
2011,Buldhana,Total,40-49,135716,7114,4019,527,3386
2011,Buldhana,Total,50-59,88864,4599,7033,357,1770
2011,Buldhana,Total,60-69,51735,3958,19929,386,1058
2011,Buldhana,Total,70-79,18027,1904,19599,152,354
2011,Buldhana,Total,80+,3036,395,8315,50,66
2011,Buldhana,Rural,05-09,2557,390,96736,328,36
2011,Buldhana,Rural,10-14,4987,1151,106009,801,238
2011,Buldhana,Rural,15-19,27859,4536,75426,6311,2186
2011,Buldhana,Rural,20-24,68781,6957,30411,7377,4264
2011,Buldhana,Rural,25-29,77188,5208,7397,2394,3113
2011,Buldhana,Rural,30-34,67630,3748,2211,553,2186
2011,Buldhana,Rural,35-39,62490,3178,1519,304,1791
2011,Buldhana,Rural,40-49,105570,4893,2830,369,2470
2011,Buldhana,Rural,50-59,70731,3337,4378,238,1341
2011,Buldhana,Rural,60-69,45031,3263,13012,278,845
2011,Buldhana,Rural,70-79,15823,1646,14820,123,290
2011,Buldhana,Rural,80+,2632,344,6650,38,52
2011,Buldhana,Urban,05-09,642,58,26243,93,14
2011,Buldhana,Urban,10-14,1195,157,28255,302,61
2011,Buldhana,Urban,15-19,5360,1053,22446,1767,562
2011,Buldhana,Urban,20-24,12708,1929,13128,2817,1050
2011,Buldhana,Urban,25-29,17610,1927,4500,1532,968
2011,Buldhana,Urban,30-34,17623,1634,1235,392,800
2011,Buldhana,Urban,35-39,17707,1404,780,176,638
2011,Buldhana,Urban,40-49,30146,2221,1189,158,916
2011,Buldhana,Urban,50-59,18133,1262,2655,119,429
2011,Buldhana,Urban,60-69,6704,695,6917,108,213
2011,Buldhana,Urban,70-79,2204,258,4779,29,64
2011,Buldhana,Urban,80+,404,51,1665,12,14
2011,Akola,Total,05-09,2243,311,78631,352,41
2011,Akola,Total,10-14,4087,952,89109,1006,264
2011,Akola,Total,15-19,21507,4228,68749,6896,2370
2011,Akola,Total,20-24,51710,6753,34215,8352,4366
2011,Akola,Total,25-29,63111,5590,11311,3915,3373
2011,Akola,Total,30-34,61452,4209,3303,1034,2330
2011,Akola,Total,35-39,60444,3612,1893,455,1965
2011,Akola,Total,40-49,103778,5711,3344,478,2829
2011,Akola,Total,50-59,66438,3676,6347,315,1591
2011,Akola,Total,60-69,31883,2805,16850,293,943
2011,Akola,Total,70-79,11216,1235,13580,132,296
2011,Akola,Total,80+,2204,263,5607,33,60
2011,Akola,Rural,05-09,1436,254,47205,241,35
2011,Akola,Rural,10-14,2665,753,54550,513,187
2011,Akola,Rural,15-19,13865,3046,40640,4226,1699
2011,Akola,Rural,20-24,33907,4783,17386,4672,3207
2011,Akola,Rural,25-29,39411,3701,5280,1840,2335
2011,Akola,Rural,30-34,36628,2669,1472,399,1552
2011,Akola,Rural,35-39,35637,2326,855,182,1330
2011,Akola,Rural,40-49,61224,3732,1541,216,1936
2011,Akola,Rural,50-59,40685,2457,2408,138,1102
2011,Akola,Rural,60-69,23145,2126,6694,130,713
2011,Akola,Rural,70-79,8730,997,7176,80,232
2011,Akola,Rural,80+,1642,206,3355,16,47
2011,Akola,Urban,05-09,807,57,31426,111,6
2011,Akola,Urban,10-14,1422,199,34559,493,77
2011,Akola,Urban,15-19,7642,1182,28109,2670,671
2011,Akola,Urban,20-24,17803,1970,16829,3680,1159
2011,Akola,Urban,25-29,23700,1889,6031,2075,1038
2011,Akola,Urban,30-34,24824,1540,1831,635,778
2011,Akola,Urban,35-39,24807,1286,1038,273,635
2011,Akola,Urban,40-49,42554,1979,1803,262,893
2011,Akola,Urban,50-59,25753,1219,3939,177,489
2011,Akola,Urban,60-69,8738,679,10156,163,230
2011,Akola,Urban,70-79,2486,238,6404,52,64
2011,Akola,Urban,80+,562,57,2252,17,13
2011,Washim,Total,05-09,1792,237,57569,239,30
2011,Washim,Total,10-14,3249,766,65198,650,233
2011,Washim,Total,15-19,15277,3205,46792,5016,1923
2011,Washim,Total,20-24,35463,5306,20322,5395,3738
2011,Washim,Total,25-29,40674,4349,5516,1904,2938
2011,Washim,Total,30-34,38859,3202,1678,520,2133
2011,Washim,Total,35-39,38260,3000,1034,250,1968
2011,Washim,Total,40-49,63066,4370,1555,202,2719
2011,Washim,Total,50-59,38182,2658,2442,176,1430
2011,Washim,Total,60-69,24068,2461,7878,213,1063
2011,Washim,Total,70-79,8342,1250,7860,107,376
2011,Washim,Total,80+,1652,277,4016,42,75
2011,Washim,Rural,05-09,1449,206,47238,200,27
2011,Washim,Rural,10-14,2709,696,53994,516,203
2011,Washim,Rural,15-19,13056,2769,38153,4262,1653
2011,Washim,Rural,20-24,30466,4600,15380,4325,3278
2011,Washim,Rural,25-29,34036,3664,3904,1392,2518
2011,Washim,Rural,30-34,31904,2611,1138,343,1778
2011,Washim,Rural,35-39,31265,2482,739,187,1640
2011,Washim,Rural,40-49,51514,3569,1112,160,2275
2011,Washim,Rural,50-59,31822,2242,1626,138,1221
2011,Washim,Rural,60-69,21277,2147,5511,181,929
2011,Washim,Rural,70-79,7490,1148,6221,92,345
2011,Washim,Rural,80+,1460,254,3326,36,66
2011,Washim,Urban,05-09,343,31,10331,39,3
2011,Washim,Urban,10-14,540,70,11204,134,30
2011,Washim,Urban,15-19,2221,436,8639,754,270
2011,Washim,Urban,20-24,4997,706,4942,1070,460
2011,Washim,Urban,25-29,6638,685,1612,512,420
2011,Washim,Urban,30-34,6955,591,540,177,355
2011,Washim,Urban,35-39,6995,518,295,63,328
2011,Washim,Urban,40-49,11552,801,443,42,444
2011,Washim,Urban,50-59,6360,416,816,38,209
2011,Washim,Urban,60-69,2791,314,2367,32,134
2011,Washim,Urban,70-79,852,102,1639,15,31
2011,Washim,Urban,80+,192,23,690,6,9
2011,Amravati,Total,05-09,632,511,119457,549,113
2011,Amravati,Total,10-14,2918,2049,141210,1593,664
2011,Amravati,Total,15-19,29296,10074,108154,14030,6068
2011,Amravati,Total,20-24,74679,14892,54530,16376,10443
2011,Amravati,Total,25-29,92460,11602,18403,7195,7862
2011,Amravati,Total,30-34,95465,8499,5638,2115,5526
2011,Amravati,Total,35-39,95330,7331,2984,810,4579
2011,Amravati,Total,40-49,170168,11437,5158,884,6253
2011,Amravati,Total,50-59,107371,7085,8665,500,3147
2011,Amravati,Total,60-69,56419,5985,26302,697,1933
2011,Amravati,Total,70-79,21940,3318,25065,284,740
2011,Amravati,Total,80+,4051,716,11570,102,145
2011,Amravati,Rural,05-09,410,342,77569,330,76
2011,Amravati,Rural,10-14,2007,1605,92754,901,483
2011,Amravati,Rural,15-19,21250,7993,66640,9005,4786
2011,Amravati,Rural,20-24,52859,11182,27986,8952,8008
2011,Amravati,Rural,25-29,61247,7901,8281,3310,5639
2011,Amravati,Rural,30-34,60522,5449,2435,916,3715
2011,Amravati,Rural,35-39,59717,4551,1280,363,2972
2011,Amravati,Rural,40-49,106917,7101,2373,383,4013
2011,Amravati,Rural,50-59,69280,4596,3383,228,2069
2011,Amravati,Rural,60-69,42552,4408,11023,363,1346
2011,Amravati,Rural,70-79,17547,2718,14714,169,573
2011,Amravati,Rural,80+,2992,575,7535,53,96
2011,Amravati,Urban,05-09,222,169,41888,219,37
2011,Amravati,Urban,10-14,911,444,48456,692,181
2011,Amravati,Urban,15-19,8046,2081,41514,5025,1282
2011,Amravati,Urban,20-24,21820,3710,26544,7424,2435
2011,Amravati,Urban,25-29,31213,3701,10122,3885,2223
2011,Amravati,Urban,30-34,34943,3050,3203,1199,1811
2011,Amravati,Urban,35-39,35613,2780,1704,447,1607
2011,Amravati,Urban,40-49,63251,4336,2785,501,2240
2011,Amravati,Urban,50-59,38091,2489,5282,272,1078
2011,Amravati,Urban,60-69,13867,1577,15279,334,587
2011,Amravati,Urban,70-79,4393,600,10351,115,167
2011,Amravati,Urban,80+,1059,141,4035,49,49
2011,Wardha,Total,05-09,187,108,49647,201,27
2011,Wardha,Total,10-14,868,550,58643,623,174
2011,Wardha,Total,15-19,11805,3938,46306,6419,2430
2011,Wardha,Total,20-24,32862,6435,24320,8699,4546
2011,Wardha,Total,25-29,44421,5171,8922,4486,3554
2011,Wardha,Total,30-34,45723,3528,2349,1150,2236
2011,Wardha,Total,35-39,46697,2877,1128,394,1814
2011,Wardha,Total,40-49,81581,4425,1884,380,2450
2011,Wardha,Total,50-59,52981,2754,3932,263,1224
2011,Wardha,Total,60-69,27811,2628,12763,245,821
2011,Wardha,Total,70-79,11033,1715,12643,125,317
2011,Wardha,Total,80+,1648,309,5787,35,59
2011,Wardha,Rural,05-09,132,84,33450,116,22
2011,Wardha,Rural,10-14,684,461,39974,395,136
2011,Wardha,Rural,15-19,9608,3201,29657,4310,1967
2011,Wardha,Rural,20-24,25476,4933,12905,4971,3525
2011,Wardha,Rural,25-29,31310,3444,4187,2108,2391
2011,Wardha,Rural,30-34,30662,2105,991,445,1346
2011,Wardha,Rural,35-39,31247,1614,497,121,1019
2011,Wardha,Rural,40-49,53918,2566,936,173,1406
2011,Wardha,Rural,50-59,36359,1704,1499,118,719
2011,Wardha,Rural,60-69,22830,1949,5762,132,555
2011,Wardha,Rural,70-79,9499,1466,8056,87,248
2011,Wardha,Rural,80+,1373,262,4113,23,41
2011,Wardha,Urban,05-09,55,24,16197,85,5
2011,Wardha,Urban,10-14,184,89,18669,228,38
2011,Wardha,Urban,15-19,2197,737,16649,2109,463
2011,Wardha,Urban,20-24,7386,1502,11415,3728,1021
2011,Wardha,Urban,25-29,13111,1727,4735,2378,1163
2011,Wardha,Urban,30-34,15061,1423,1358,705,890
2011,Wardha,Urban,35-39,15450,1263,631,273,795
2011,Wardha,Urban,40-49,27663,1859,948,207,1044
2011,Wardha,Urban,50-59,16622,1050,2433,145,505
2011,Wardha,Urban,60-69,4981,679,7001,113,266
2011,Wardha,Urban,70-79,1534,249,4587,38,69
2011,Wardha,Urban,80+,275,47,1674,12,18
2011,Nagpur,Total,05-09,1355,1037,186198,1052,181
2011,Nagpur,Total,10-14,4462,2267,204728,2287,586
2011,Nagpur,Total,15-19,39275,10620,172946,19742,6137
2011,Nagpur,Total,20-24,116809,19433,103937,30329,12599
2011,Nagpur,Total,25-29,167118,17496,37255,15135,10661
2011,Nagpur,Total,30-34,176500,12792,11906,4245,7173
2011,Nagpur,Total,35-39,169357,10927,6750,1706,5752
2011,Nagpur,Total,40-49,286189,16150,11077,1724,7824
2011,Nagpur,Total,50-59,172138,9271,20011,1171,3554
2011,Nagpur,Total,60-69,62212,6212,57013,1263,1759
2011,Nagpur,Total,70-79,20725,2866,38348,375,502
2011,Nagpur,Total,80+,4750,741,15896,112,156
2011,Nagpur,Rural,05-09,481,240,59641,396,33
2011,Nagpur,Rural,10-14,1570,965,66804,756,253
2011,Nagpur,Rural,15-19,16800,5784,50745,6673,3567
2011,Nagpur,Rural,20-24,44810,9827,22449,8278,7069
2011,Nagpur,Rural,25-29,53325,7808,7061,3343,5411
2011,Nagpur,Rural,30-34,53683,5430,2019,793,3530
2011,Nagpur,Rural,35-39,51317,4468,1184,328,2817
2011,Nagpur,Rural,40-49,85029,6603,1881,342,3786
2011,Nagpur,Rural,50-59,53069,4060,3094,256,1914
2011,Nagpur,Rural,60-69,30244,3455,9854,358,1074
2011,Nagpur,Rural,70-79,11932,1855,11059,137,340
2011,Nagpur,Rural,80+,2152,424,5451,42,94
2011,Nagpur,Urban,05-09,874,797,126557,656,148
2011,Nagpur,Urban,10-14,2892,1302,137924,1531,333
2011,Nagpur,Urban,15-19,22475,4836,122201,13069,2570
2011,Nagpur,Urban,20-24,71999,9606,81488,22051,5530
2011,Nagpur,Urban,25-29,113793,9688,30194,11792,5250
2011,Nagpur,Urban,30-34,122817,7362,9887,3452,3643
2011,Nagpur,Urban,35-39,118040,6459,5566,1378,2935
2011,Nagpur,Urban,40-49,201160,9547,9196,1382,4038
2011,Nagpur,Urban,50-59,119069,5211,16917,915,1640
2011,Nagpur,Urban,60-69,31968,2757,47159,905,685
2011,Nagpur,Urban,70-79,8793,1011,27289,238,162
2011,Nagpur,Urban,80+,2598,317,10445,70,62
2011,Bhandara,Total,05-09,410,391,47694,363,56
2011,Bhandara,Total,10-14,952,888,56280,714,263
2011,Bhandara,Total,15-19,7764,5598,44791,6532,3854
2011,Bhandara,Total,20-24,24033,12916,21738,8851,10070
2011,Bhandara,Total,25-29,32789,11596,8003,4219,8927
2011,Bhandara,Total,30-34,34146,9446,2680,1377,7260
2011,Bhandara,Total,35-39,34732,8406,1345,508,6116
2011,Bhandara,Total,40-49,62411,13909,2302,524,9456
2011,Bhandara,Total,50-59,41771,9587,4008,368,5617
2011,Bhandara,Total,60-69,17068,6153,11961,446,2606
2011,Bhandara,Total,70-79,4550,2003,9175,201,595
