District,Year,Group,Approved Posts,Positions Filled,Number of women
Beed,2013,Class C,7681.0,6167.0,717.0
Beed,2013,Class D,3533.0,3071.0,327.0
Beed,2014,Class A,725.0,509.0,81.0
Beed,2014,Class B,1163.0,792.0,74.0
Beed,2014,Class C,8704.0,6822.0,1332.0
Beed,2014,Class D,4801.0,2780.0,367.0
Beed,2015,Class A,725.0,482.0,81.0
Beed,2015,Class B,1163.0,814.0,75.0
Beed,2015,Class C,8704.0,6780.0,1327.0
Beed,2015,Class D,4801.0,2795.0,367.0
Beed,2016,Class A,725.0,482.0,81.0
Beed,2016,Class B,1163.0,814.0,75.0
Beed,2016,Class C,8704.0,6780.0,1327.0
Beed,2016,Class D,4801.0,2795.0,367.0
Beed,2017,Class A,722.0,523.0,83.0
Beed,2017,Class B,1040.0,640.0,58.0
Beed,2017,Class C,8246.0,6525.0,1405.0
Beed,2017,Class D,2805.0,2296.0,293.0
Beed,2018,Class A,784.0,517.0,88.0
Beed,2018,Class B,1148.0,610.0,74.0
Beed,2018,Class C,8279.0,6341.0,1406.0
Beed,2018,Class D,2876.0,1979.0,269.0
Beed,2019,Class A,782.0,490.0,92.0
Beed,2019,Class B,1118.0,590.0,71.0
Beed,2019,Class C,8317.0,6173.0,1391.0
Beed,2019,Class D,2764.0,1805.0,262.0
Beed,2020,Class A,819.0,576.0,110.0
Beed,2020,Class B,1119.0,583.0,79.0
Beed,2020,Class C,8381.0,6137.0,1400.0
Beed,2020,Class D,2716.0,1670.0,260.0
Beed,2021,Class A,840.0,530.0,98.0
Beed,2021,Class B,1387.0,590.0,79.0
Beed,2021,Class C,8462.0,6141.0,1456.0
Beed,2021,Class D,2537.0,1509.0,233.0
Bhandara,2012,Class A,284.0,218.0,22.0
Bhandara,2012,Class B,633.0,492.0,95.0
Bhandara,2012,Class C,4389.0,3585.0,466.0
Bhandara,2012,Class D,1986.0,1661.0,264.0
Bhandara,2013,Class A,284.0,218.0,22.0
Bhandara,2013,Class B,633.0,492.0,95.0
Bhandara,2013,Class C,4389.0,3585.0,466.0
Bhandara,2013,Class D,1986.0,1661.0,264.0
Bhandara,2014,Class A,487.0,342.0,66.0
Bhandara,2014,Class B,681.0,433.0,53.0
Bhandara,2014,Class C,5719.0,4521.0,931.0
Bhandara,2014,Class D,2053.0,1550.0,258.0
Bhandara,2015,Class A,487.0,304.0,65.0
Bhandara,2015,Class B,681.0,468.0,54.0
Bhandara,2015,Class C,5719.0,4499.0,927.0
Bhandara,2015,Class D,2053.0,1563.0,260.0
Bhandara,2016,Class A,487.0,326.0,65.0
Bhandara,2016,Class B,681.0,446.0,54.0
Bhandara,2016,Class C,5719.0,4499.0,927.0
Bhandara,2016,Class D,2053.0,1563.0,260.0
Bhandara,2017,Class A,489.0,348.0,71.0
Bhandara,2017,Class B,668.0,446.0,65.0
Bhandara,2017,Class C,5511.0,4321.0,902.0
Bhandara,2017,Class D,1829.0,1317.0,245.0
Bhandara,2018,Class A,500.0,340.0,85.0
Bhandara,2018,Class B,642.0,406.0,88.0
Bhandara,2018,Class C,5444.0,4133.0,954.0
Bhandara,2018,Class D,1653.0,1174.0,238.0
Bhandara,2019,Class A,510.0,328.0,78.0
Bhandara,2019,Class B,751.0,412.0,92.0
Bhandara,2019,Class C,5469.0,4090.0,983.0
Bhandara,2019,Class D,1644.0,1117.0,232.0
Bhandara,2020,Class A,515.0,321.0,77.0
Bhandara,2020,Class B,746.0,425.0,91.0
Bhandara,2020,Class C,5454.0,4126.0,1023.0
Bhandara,2020,Class D,1605.0,975.0,210.0
Bhandara,2021,Class A,518.0,335.0,74.0
Bhandara,2021,Class B,773.0,433.0,103.0
Bhandara,2021,Class C,5486.0,4142.0,1092.0
Bhandara,2021,Class D,1537.0,912.0,196.0
Buldhana,2013,Class A,395.0,318.0,40.0
Buldhana,2013,Class B,1071.0,799.0,112.0
Buldhana,2013,Class C,7299.0,6023.0,705.0
Buldhana,2013,Class D,2294.0,1933.0,281.0
Buldhana,2014,Class A,614.0,410.0,54.0
Buldhana,2014,Class B,888.0,617.0,105.0
Buldhana,2014,Class C,8145.0,6986.0,1154.0
Buldhana,2014,Class D,2388.0,1904.0,302.0
Buldhana,2015,Class A,614.0,331.0,48.0
Buldhana,2015,Class B,888.0,700.0,110.0
Buldhana,2015,Class C,8145.0,6979.0,1154.0
Buldhana,2015,Class D,2389.0,1899.0,301.0
Buldhana,2016,Class A,614.0,359.0,49.0
Buldhana,2016,Class B,888.0,670.0,109.0
Buldhana,2016,Class C,8145.0,6978.0,1154.0
Buldhana,2016,Class D,2389.0,1902.0,301.0
Buldhana,2017,Class A,512.0,372.0,61.0
Buldhana,2017,Class B,964.0,662.0,100.0
Buldhana,2017,Class C,8086.0,6856.0,1174.0
Buldhana,2017,Class D,2087.0,1520.0,265.0
Buldhana,2018,Class A,607.0,389.0,71.0
Buldhana,2018,Class B,1121.0,639.0,111.0
Buldhana,2018,Class C,9084.0,6676.0,1157.0
Buldhana,2018,Class D,2097.0,1361.0,243.0
Buldhana,2019,Class A,614.0,351.0,66.0
Buldhana,2019,Class B,1143.0,634.0,106.0
Buldhana,2019,Class C,9191.0,6548.0,1149.0
Buldhana,2019,Class D,2046.0,1290.0,225.0
Buldhana,2020,Class A,753.0,443.0,90.0
Buldhana,2020,Class B,1161.0,708.0,109.0
Buldhana,2020,Class C,8851.0,6681.0,1214.0
Buldhana,2020,Class D,2132.0,1275.0,233.0
Buldhana,2021,Class A,734.0,429.0,92.0
Buldhana,2021,Class B,1264.0,679.0,95.0
Buldhana,2021,Class C,8924.0,6590.0,1252.0
Buldhana,2021,Class D,2140.0,1158.0,213.0
Chandrapur,2012,Class A,556.0,431.0,40.0
Chandrapur,2012,Class B,1197.0,875.0,99.0
Chandrapur,2012,Class C,8719.0,7000.0,823.0
Chandrapur,2012,Class D,3633.0,3090.0,494.0
Chandrapur,2013,Class A,556.0,431.0,40.0
Chandrapur,2013,Class B,1197.0,875.0,99.0
Chandrapur,2013,Class C,8719.0,7000.0,823.0
Chandrapur,2013,Class D,3633.0,3090.0,494.0
Chandrapur,2014,Class A,684.0,433.0,61.0
Chandrapur,2014,Class B,1261.0,840.0,139.0
Chandrapur,2014,Class C,9673.0,8019.0,1464.0
Chandrapur,2014,Class D,3422.0,2510.0,399.0
Chandrapur,2015,Class A,684.0,398.0,57.0
Chandrapur,2015,Class B,1261.0,878.0,142.0
Chandrapur,2015,Class C,9673.0,8007.0,1463.0
Chandrapur,2015,Class D,3423.0,2508.0,399.0
