District,Religion,Number of Establishments
Ahilyanagar,Christian,914
Ahilyanagar,Sikh,463
Ahilyanagar,Buddhist,577
Ahilyanagar,Zoroastrian,31
Ahilyanagar,Jain,3676
Ahilyanagar,Others,18952
Beed,Hindu,105413
Beed,Islam,14747
Beed,Christian,244
Beed,Sikh,114
Beed,Buddhist,1038
Beed,Zoroastrian,43
Beed,Jain,638
Beed,Others,7029
Latur,Hindu,71042
Latur,Islam,15441
Latur,Christian,139
Latur,Sikh,74
Latur,Buddhist,1744
Latur,Zoroastrian,38
Latur,Jain,301
Latur,Others,3672
Dharashiv,Hindu,99096
Dharashiv,Islam,11566
Dharashiv,Christian,169
Dharashiv,Sikh,57
Dharashiv,Buddhist,1206
Dharashiv,Zoroastrian,13
Dharashiv,Jain,438
Dharashiv,Others,4342
Solapur,Hindu,315930
Solapur,Islam,22816
Solapur,Christian,524
Solapur,Sikh,150
Solapur,Buddhist,1091
Solapur,Zoroastrian,94
Solapur,Jain,2792
Solapur,Others,10897
Satara,Hindu,321366
Satara,Islam,11974
Satara,Christian,772
Satara,Sikh,245
Satara,Buddhist,6319
Satara,Zoroastrian,60
Satara,Jain,2239
Satara,Others,14306
Ratnagiri,Hindu,45407
Ratnagiri,Islam,7123
Ratnagiri,Christian,262
Ratnagiri,Sikh,81
Ratnagiri,Buddhist,772
Ratnagiri,Zoroastrian,8
Ratnagiri,Jain,314
Ratnagiri,Others,4709
Sindhudurg,Hindu,34686
Sindhudurg,Islam,1368
Sindhudurg,Christian,831
Sindhudurg,Sikh,25
Sindhudurg,Buddhist,181
Sindhudurg,Zoroastrian,2
Sindhudurg,Jain,109
Sindhudurg,Others,2913
Kolhapur,Hindu,465113
Kolhapur,Islam,26885
Kolhapur,Christian,1988
Kolhapur,Sikh,373
Kolhapur,Buddhist,3509
Kolhapur,Zoroastrian,78
Kolhapur,Jain,18358
Kolhapur,Others,25806
Sangli,Hindu,210290
Sangli,Islam,12276
Sangli,Christian,779
Sangli,Sikh,139
Sangli,Buddhist,2006
Sangli,Zoroastrian,53
Sangli,Jain,5638
Sangli,Others,29277
