Year,District,Gender,Employed (Hired),Employed (Not Hired)
2013,Nashik,Female,61103,42814.0
2013,Thane,Female,167654,74334.0
2013,Mumbai Suburban,Female,245660,79718.0
2013,Mumbai City,Female,134681,32843.0
2013,Raigad,Female,29552,22280.0
2013,Pune,Female,204607,170263.0
2013,Ahilyanagar,Female,40088,112066.0
2013,Beed,Female,14918,26435.0
2013,Latur,Female,16855,19551.0
2013,Dharashiv,Female,11591,34881.0
2013,Solapur,Female,35011,126071.0
2013,Satara,Female,40228,184246.0
2013,Ratnagiri,Female,20906,15600.0
2013,Sindhudurg,Female,13556,9636.0
2013,Kolhapur,Female,51138,321494.0
2013,Sangli,Female,39565,142623.0
1998,Mumbai City,Female,334643,
1998,Thane,Female,73657,
1998,Raigad,Female,18426,
1998,Ratnagiri,Female,13781,
1998,Sindhudurg,Female,6237,
1998,Nashik,Female,46499,
1998,Dhule,Female,13271,
1998,Jalgaon,Female,17852,
1998,Ahilyanagar,Female,40689,
1998,Pune,Female,84981,
1998,Satara,Female,15766,
1998,Sangli,Female,20055,
1998,Solapur,Female,29369,
1998,Kolhapur,Female,20393,
1998,Chhatrapati Sambhaji Nagar,Female,17981,
1998,Jalna,Female,5889,
1998,Parbhani,Female,9152,
1998,Beed,Female,8663,
1998,Nanded,Female,9615,
1998,Dharashiv,Female,5563,
1998,Latur,Female,10839,
1998,Buldhana,Female,7082,
1998,Akola,Female,9911,
1998,Amravati,Female,18359,
1998,Yavatmal,Female,12740,
1998,Wardha,Female,9227,
1998,Nagpur,Female,45191,
1998,Bhandara,Female,13886,
1998,Chandrapur,Female,13272,
1998,Gadchiroli,Female,5938,
1990,Mumbai City,Female,277020,
1990,Pune,Female,80002,
1990,Satara,Female,15348,
1990,Sangli,Female,14247,
1990,Solapur,Female,38051,
1990,Kolhapur,Female,18456,
1990,Chhatrapati Sambhaji Nagar,Female,14100,
1990,Jalna,Female,4022,
1990,Parbhani,Female,7327,
1990,Beed,Female,6085,
1990,Nanded,Female,7267,
1990,Thane,Female,63526,
1990,Dharashiv,Female,5872,
1990,Latur,Female,7305,
1990,Buldhana,Female,5788,
1990,Akola,Female,10776,
1990,Amravati,Female,12650,
1990,Yavatmal,Female,12068,
1990,Wardha,Female,7754,
1990,Nagpur,Female,37096,
1990,Bhandara,Female,12192,
1990,Chandrapur,Female,12262,
1990,Raigad,Female,15786,
1990,Gadchiroli,Female,4130,
1990,Ratnagiri,Female,11652,
1990,Sindhudurg,Female,8259,
1990,Nashik,Female,33869,
1990,Dhule,Female,11292,
1990,Jalgaon,Female,13109,
1990,Ahilyanagar,Female,28694,
2005,Nandurbar,Female,7506,2100.0
2005,Dhule,Female,15336,4495.0
2005,Jalgaon,Female,25078,7059.0
2005,Buldhana,Female,15842,4454.0
2005,Akola,Female,19123,4516.0
2005,Washim,Female,5762,1422.0
2005,Amravati,Female,24556,6297.0
2005,Wardha,Female,18229,6116.0
2005,Nagpur,Female,93187,24814.0
2005,Bhandara,Female,26840,12268.0
2005,Gondia,Female,27516,11878.0
2005,Gadchiroli,Female,15733,5679.0
2005,Chandrapur,Female,33622,18150.0
2005,Yavatmal,Female,25872,5992.0
2005,Nanded,Female,10372,1948.0
2005,Hingoli,Female,4837,985.0
2005,Parbhani,Female,11358,3483.0
2005,Jalna,Female,30465,8909.0
2005,Chhatrapati Sambhaji Nagar,Female,31160,8665.0
2005,Nashik,Female,61965,14812.0
2005,Thane,Female,166583,27946.0
2005,Mumbai Suburban,Female,307162,39625.0
2005,Mumbai City,Female,40801,11316.0
2005,Raigad,Female,217340,69265.0
2005,Pune,Female,84826,43560.0
2005,Ahilyanagar,Female,32550,8692.0
2005,Beed,Female,22582,4411.0
2005,Dharashiv,Female,28622,9041.0
2005,Solapur,Female,75954,19161.0
2005,Satara,Female,61836,27272.0
2005,Ratnagiri,Female,35659,8671.0
2005,Sindhudurg,Female,16130,5391.0
2005,Kolhapur,Female,185199,138025.0
2005,Sangli,Female,63972,36874.0
