Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non Workers
2011,Ratnagiri,Rural,35-39,35524,5163,1341
2011,Ratnagiri,Rural,40-49,68231,9558,2745
2011,Ratnagiri,Rural,50-59,46177,7384,5836
2011,Ratnagiri,Rural,60-69,27431,6455,17124
2011,Ratnagiri,Rural,70-79,9726,3042,17977
2011,Ratnagiri,Rural,80+,1373,480,7421
2011,Ratnagiri,Urban,05-09,52,17,10926
2011,Ratnagiri,Urban,10-14,139,33,12503
2011,Ratnagiri,Urban,15-19,1210,264,10980
2011,Ratnagiri,Urban,20-24,4827,751,6094
2011,Ratnagiri,Urban,25-29,7919,749,1703
2011,Ratnagiri,Urban,30-34,8594,643,698
2011,Ratnagiri,Urban,35-39,9517,585,484
2011,Ratnagiri,Urban,40-49,16812,914,948
2011,Ratnagiri,Urban,50-59,9361,569,2139
2011,Ratnagiri,Urban,60-69,2333,294,4615
2011,Ratnagiri,Urban,70-79,663,87,2721
2011,Ratnagiri,Urban,80+,136,17,972
2011,Sindhudurg,Total,05-09,200,200,29875
2011,Sindhudurg,Total,10-14,566,589,37261
2011,Sindhudurg,Total,15-19,3512,3176,31818
2011,Sindhudurg,Total,20-24,11541,7387,13156
2011,Sindhudurg,Total,25-29,17581,7755,4554
2011,Sindhudurg,Total,30-34,19744,7048,2239
2011,Sindhudurg,Total,35-39,21834,7031,1708
2011,Sindhudurg,Total,40-49,42584,13358,3219
2011,Sindhudurg,Total,50-59,28077,9098,5427
2011,Sindhudurg,Total,60-69,13492,6280,14192
2011,Sindhudurg,Total,70-79,4336,2361,13081
2011,Sindhudurg,Total,80+,815,450,5072
2011,Sindhudurg,Rural,05-09,174,187,25828
2011,Sindhudurg,Rural,10-14,482,554,32808
2011,Sindhudurg,Rural,15-19,3022,2976,27902
2011,Sindhudurg,Rural,20-24,9853,6895,10916
2011,Sindhudurg,Rural,25-29,14663,7138,3767
2011,Sindhudurg,Rural,30-34,16404,6466,1879
2011,Sindhudurg,Rural,35-39,18126,6510,1466
2011,Sindhudurg,Rural,40-49,35527,12486,2693
2011,Sindhudurg,Rural,50-59,23907,8540,4521
2011,Sindhudurg,Rural,60-69,12368,5981,12204
2011,Sindhudurg,Rural,70-79,4027,2285,11780
2011,Sindhudurg,Rural,80+,735,436,4627
2011,Sindhudurg,Urban,05-09,26,13,4047
2011,Sindhudurg,Urban,10-14,84,35,4453
2011,Sindhudurg,Urban,15-19,490,200,3916
2011,Sindhudurg,Urban,20-24,1688,492,2240
2011,Sindhudurg,Urban,25-29,2918,617,787
2011,Sindhudurg,Urban,30-34,3340,582,360
2011,Sindhudurg,Urban,35-39,3708,521,242
2011,Sindhudurg,Urban,40-49,7057,872,526
2011,Sindhudurg,Urban,50-59,4170,558,906
2011,Sindhudurg,Urban,60-69,1124,299,1988
2011,Sindhudurg,Urban,70-79,309,76,1301
2011,Sindhudurg,Urban,80+,80,14,445
2011,Kolhapur,Total,05-09,1535,784,162903
2011,Kolhapur,Total,10-14,4076,1946,179929
2011,Kolhapur,Total,15-19,31139,8300,151064
2011,Kolhapur,Total,20-24,99449,12546,70599
2011,Kolhapur,Total,25-29,137169,10080,18327
2011,Kolhapur,Total,30-34,131723,7238,6433
2011,Kolhapur,Total,35-39,132198,6359,4852
2011,Kolhapur,Total,40-49,231747,10077,9060
2011,Kolhapur,Total,50-59,155482,7040,14600
2011,Kolhapur,Total,60-69,85747,6254,36249
2011,Kolhapur,Total,70-79,28991,3318,29990
2011,Kolhapur,Total,80+,6325,769,14061
2011,Kolhapur,Rural,05-09,1134,628,111464
2011,Kolhapur,Rural,10-14,2816,1664,124331
2011,Kolhapur,Rural,15-19,20830,6963,103112
2011,Kolhapur,Rural,20-24,67177,9981,44173
2011,Kolhapur,Rural,25-29,89767,7541,10780
2011,Kolhapur,Rural,30-34,85977,5192,3669
2011,Kolhapur,Rural,35-39,87731,4453,2709
2011,Kolhapur,Rural,40-49,156577,7232,5033
2011,Kolhapur,Rural,50-59,108129,5087,7127
2011,Kolhapur,Rural,60-69,68580,5065,19084
2011,Kolhapur,Rural,70-79,24383,2908,19763
2011,Kolhapur,Rural,80+,5120,676,10440
2011,Kolhapur,Urban,05-09,401,156,51439
2011,Kolhapur,Urban,10-14,1260,282,55598
2011,Kolhapur,Urban,15-19,10309,1337,47952
2011,Kolhapur,Urban,20-24,32272,2565,26426
2011,Kolhapur,Urban,25-29,47402,2539,7547
2011,Kolhapur,Urban,30-34,45746,2046,2764
2011,Kolhapur,Urban,35-39,44467,1906,2143
2011,Kolhapur,Urban,40-49,75170,2845,4027
2011,Kolhapur,Urban,50-59,47353,1953,7473
2011,Kolhapur,Urban,60-69,17167,1189,17165
2011,Kolhapur,Urban,70-79,4608,410,10227
2011,Kolhapur,Urban,80+,1205,93,3621
2011,Sangli,Total,05-09,1493,884,120957
2011,Sangli,Total,10-14,3823,1757,135983
2011,Sangli,Total,15-19,26937,5755,106467
2011,Sangli,Total,20-24,72786,8489,49172
2011,Sangli,Total,25-29,94624,6356,12957
2011,Sangli,Total,30-34,89249,4709,4912
2011,Sangli,Total,35-39,90477,4333,3699
2011,Sangli,Total,40-49,158263,6640,6957
2011,Sangli,Total,50-59,110300,4738,10384
2011,Sangli,Total,60-69,64598,3907,26097
2011,Sangli,Total,70-79,26421,2374,24557
2011,Sangli,Total,80+,6350,708,14270
2011,Sangli,Rural,05-09,1114,665,90432
2011,Sangli,Rural,10-14,2917,1418,102288
2011,Sangli,Rural,15-19,21367,4714,78106
2011,Sangli,Rural,20-24,55793,6619,32859
2011,Sangli,Rural,25-29,69722,4546,7908
2011,Sangli,Rural,30-34,65121,3260,2956
2011,Sangli,Rural,35-39,66848,3029,2196
2011,Sangli,Rural,40-49,117567,4633,4170
2011,Sangli,Rural,50-59,84005,3385,5810
2011,Sangli,Rural,60-69,54866,3121,15708
2011,Sangli,Rural,70-79,23346,2092,18059
2011,Sangli,Rural,80+,5373,602,11446
2011,Sangli,Urban,05-09,379,219,30525
2011,Sangli,Urban,10-14,906,339,33695
2011,Sangli,Urban,15-19,5570,1041,28361
2011,Sangli,Urban,20-24,16993,1870,16313
2011,Sangli,Urban,25-29,24902,1810,5049
2011,Sangli,Urban,30-34,24128,1449,1956
2011,Sangli,Urban,35-39,23629,1304,1503
2011,Sangli,Urban,40-49,40696,2007,2787
2011,Sangli,Urban,50-59,26295,1353,4574
2011,Sangli,Urban,60-69,9732,786,10389
2011,Sangli,Urban,70-79,3075,282,6498
2011,Sangli,Urban,80+,977,106,2824
2011,Nandurbar,Total,05-09,2363,827,88602
2011,Nandurbar,Total,10-14,6904,3901,85242
2011,Nandurbar,Total,15-19,23484,10005,51551
2011,Nandurbar,Total,20-24,35266,11924,28432
2011,Nandurbar,Total,25-29,33036,9817,19686
2011,Nandurbar,Total,30-34,31950,8591,15949
2011,Nandurbar,Total,35-39,30865,7813,14381
2011,Nandurbar,Total,40-49,50150,12805,23066
2011,Nandurbar,Total,50-59,29746,7641,17962
2011,Nandurbar,Total,60-69,18010,5347,20958
2011,Nandurbar,Total,70-79,4512,1656,13324
2011,Nandurbar,Total,80+,1085,376,4572
2011,Nandurbar,Rural,05-09,1987,760,77083
2011,Nandurbar,Rural,10-14,6289,3720,72435
2011,Nandurbar,Rural,15-19,22328,9564,38892
2011,Nandurbar,Rural,20-24,33701,11338,17510
2011,Nandurbar,Rural,25-29,31073,9253,10658
2011,Nandurbar,Rural,30-34,29888,7964,8389
2011,Nandurbar,Rural,35-39,28614,7221,7465
2011,Nandurbar,Rural,40-49,46849,11929,12765
2011,Nandurbar,Rural,50-59,27993,7203,11224
2011,Nandurbar,Rural,60-69,16990,5070,15405
2011,Nandurbar,Rural,70-79,4213,1576,10485
2011,Nandurbar,Rural,80+,980,358,3490
2011,Nandurbar,Urban,05-09,376,67,11519
2011,Nandurbar,Urban,10-14,615,181,12807
2011,Nandurbar,Urban,15-19,1156,441,12659
2011,Nandurbar,Urban,20-24,1565,586,10922
2011,Nandurbar,Urban,25-29,1963,564,9028
2011,Nandurbar,Urban,30-34,2062,627,7560
2011,Nandurbar,Urban,35-39,2251,592,6916
2011,Nandurbar,Urban,40-49,3301,876,10301
2011,Nandurbar,Urban,50-59,1753,438,6738
2011,Nandurbar,Urban,60-69,1020,277,5553
2011,Nandurbar,Urban,70-79,299,80,2839
2011,Nandurbar,Urban,80+,105,18,1082
2011,Dhule,Total,05-09,1901,1131,95959
2011,Dhule,Total,10-14,5865,3105,92463
2011,Dhule,Total,15-19,19433,6009,65858
2011,Dhule,Total,20-24,34902,8028,46297
2011,Dhule,Total,25-29,38049,8006,35544
2011,Dhule,Total,30-34,37614,7317,28664
2011,Dhule,Total,35-39,36484,6967,25899
2011,Dhule,Total,40-49,57398,10683,42741
2011,Dhule,Total,50-59,35447,6989,32910
2011,Dhule,Total,60-69,22487,5406,37643
2011,Dhule,Total,70-79,5721,1645,23007
2011,Dhule,Total,80+,1724,427,8139
2011,Dhule,Rural,05-09,1692,986,72455
2011,Dhule,Rural,10-14,5470,2847,66829
2011,Dhule,Rural,15-19,18294,5592,39830
2011,Dhule,Rural,20-24,32474,7431,21643
2011,Dhule,Rural,25-29,34609,7339,15113
2011,Dhule,Rural,30-34,33863,6633,11681
2011,Dhule,Rural,35-39,32375,6239,10097
2011,Dhule,Rural,40-49,51198,9657,17695
2011,Dhule,Rural,50-59,31910,6434,16044
2011,Dhule,Rural,60-69,21048,5006,23997
2011,Dhule,Rural,70-79,5276,1506,16276
2011,Dhule,Rural,80+,1561,379,5290
2011,Dhule,Urban,05-09,209,145,23504
2011,Dhule,Urban,10-14,395,258,25634
2011,Dhule,Urban,15-19,1139,417,26028
2011,Dhule,Urban,20-24,2428,597,24654
2011,Dhule,Urban,25-29,3440,667,20431
2011,Dhule,Urban,30-34,3751,684,16983
2011,Dhule,Urban,35-39,4109,728,15802
2011,Dhule,Urban,40-49,6200,1026,25046
2011,Dhule,Urban,50-59,3537,555,16866
2011,Dhule,Urban,60-69,1439,400,13646
2011,Dhule,Urban,70-79,445,139,6731
2011,Dhule,Urban,80+,163,48,2849
2011,Jalgaon,Total,05-09,2448,1541,176140
2011,Jalgaon,Total,10-14,7024,3714,184448
2011,Jalgaon,Total,15-19,32090,9512,145397
2011,Jalgaon,Total,20-24,62932,14272,110215
2011,Jalgaon,Total,25-29,71173,14283,86132
2011,Jalgaon,Total,30-34,71236,12915,68185
2011,Jalgaon,Total,35-39,71505,12416,61045
2011,Jalgaon,Total,40-49,112957,19559,100293
2011,Jalgaon,Total,50-59,66068,12345,76917
2011,Jalgaon,Total,60-69,44871,10412,90122
2011,Jalgaon,Total,70-79,11475,3278,55467
2011,Jalgaon,Total,80+,3087,882,20279
2011,Jalgaon,Rural,05-09,1839,1094,123263
2011,Jalgaon,Rural,10-14,6092,3108,127493
2011,Jalgaon,Rural,15-19,29481,8225,88307
2011,Jalgaon,Rural,20-24,57232,12250,53776
2011,Jalgaon,Rural,25-29,62814,11915,37921
2011,Jalgaon,Rural,30-34,62107,10589,28383
2011,Jalgaon,Rural,35-39,61652,10083,24459
2011,Jalgaon,Rural,40-49,97838,16172,41663
2011,Jalgaon,Rural,50-59,57388,10404,37155
2011,Jalgaon,Rural,60-69,40585,9103,56197
2011,Jalgaon,Rural,70-79,10257,2836,38319
2011,Jalgaon,Rural,80+,2572,711,13132
2011,Jalgaon,Urban,05-09,609,447,52877
2011,Jalgaon,Urban,10-14,932,606,56955
2011,Jalgaon,Urban,15-19,2609,1287,57090
2011,Jalgaon,Urban,20-24,5700,2022,56439
2011,Jalgaon,Urban,25-29,8359,2368,48211
2011,Jalgaon,Urban,30-34,9129,2326,39802
2011,Jalgaon,Urban,35-39,9853,2333,36586
2011,Jalgaon,Urban,40-49,15119,3387,58630
2011,Jalgaon,Urban,50-59,8680,1941,39762
2011,Jalgaon,Urban,60-69,4286,1309,33925
2011,Jalgaon,Urban,70-79,1218,442,17148
2011,Jalgaon,Urban,80+,515,171,7147
2011,Buldhana,Total,05-09,2860,451,106585
2011,Buldhana,Total,10-14,5332,1400,121043
2011,Buldhana,Total,15-19,24663,5051,89968
2011,Buldhana,Total,20-24,53066,8085,56641
2011,Buldhana,Total,25-29,54941,7624,41211
2011,Buldhana,Total,30-34,51966,6954,31991
2011,Buldhana,Total,35-39,50427,6284,28371
2011,Buldhana,Total,40-49,82727,10033,45079
2011,Buldhana,Total,50-59,52202,6807,36881
2011,Buldhana,Total,60-69,35897,5897,49589
2011,Buldhana,Total,70-79,8579,1691,33984
2011,Buldhana,Total,80+,1633,313,12204
2011,Buldhana,Rural,05-09,2336,392,84131
2011,Buldhana,Rural,10-14,4573,1302,95651
2011,Buldhana,Rural,15-19,23125,4723,65830
2011,Buldhana,Rural,20-24,50261,7471,33709
2011,Buldhana,Rural,25-29,51104,6910,22208
2011,Buldhana,Rural,30-34,47786,6183,16133
2011,Buldhana,Rural,35-39,46083,5520,13700
2011,Buldhana,Rural,40-49,75769,8843,22629
2011,Buldhana,Rural,50-59,48282,6073,21560
2011,Buldhana,Rural,60-69,33676,5383,35374
2011,Buldhana,Rural,70-79,7976,1538,26399
2011,Buldhana,Rural,80+,1480,292,9545
2011,Buldhana,Urban,05-09,524,59,22454
2011,Buldhana,Urban,10-14,759,98,25392
2011,Buldhana,Urban,15-19,1538,328,24138
2011,Buldhana,Urban,20-24,2805,614,22932
2011,Buldhana,Urban,25-29,3837,714,19003
2011,Buldhana,Urban,30-34,4180,771,15858
2011,Buldhana,Urban,35-39,4344,764,14671
2011,Buldhana,Urban,40-49,6958,1190,22450
2011,Buldhana,Urban,50-59,3920,734,15321
2011,Buldhana,Urban,60-69,2221,514,14215
2011,Buldhana,Urban,70-79,603,153,7585
2011,Buldhana,Urban,80+,153,21,2659
2011,Akola,Total,05-09,2015,301,72113
2011,Akola,Total,10-14,3082,847,83939
2011,Akola,Total,15-19,9737,2637,74625
2011,Akola,Total,20-24,20821,4462,58273
2011,Akola,Total,25-29,24440,4749,44852
2011,Akola,Total,30-34,25761,4391,35967
2011,Akola,Total,35-39,27801,4297,32270
2011,Akola,Total,40-49,46363,6890,51714
2011,Akola,Total,50-59,27162,4385,37788
2011,Akola,Total,60-69,17023,3363,38187
2011,Akola,Total,70-79,4505,1083,22937
2011,Akola,Total,80+,914,189,8292
2011,Akola,Rural,05-09,1345,246,43758
2011,Akola,Rural,10-14,2156,760,51153
2011,Akola,Rural,15-19,8129,2378,41895
2011,Akola,Rural,20-24,17956,4013,26952
2011,Akola,Rural,25-29,20142,4144,18845
2011,Akola,Rural,30-34,20622,3738,14103
2011,Akola,Rural,35-39,21697,3577,11924
2011,Akola,Rural,40-49,36407,5839,19626
2011,Akola,Rural,50-59,21984,3810,15876
2011,Akola,Rural,60-69,14539,2996,19997
2011,Akola,Rural,70-79,3825,973,13731
2011,Akola,Rural,80+,731,168,4707
2011,Akola,Urban,05-09,670,55,28355
2011,Akola,Urban,10-14,926,87,32786
2011,Akola,Urban,15-19,1608,259,32730
2011,Akola,Urban,20-24,2865,449,31321
2011,Akola,Urban,25-29,4298,605,26007
2011,Akola,Urban,30-34,5139,653,21864
2011,Akola,Urban,35-39,6104,720,20346
2011,Akola,Urban,40-49,9956,1051,32088
2011,Akola,Urban,50-59,5178,575,21912
2011,Akola,Urban,60-69,2484,367,18190
2011,Akola,Urban,70-79,680,110,9206
2011,Akola,Urban,80+,183,21,3585
2011,Washim,Total,05-09,1459,197,51515
2011,Washim,Total,10-14,2927,737,58508
2011,Washim,Total,15-19,11043,2748,42194
2011,Washim,Total,20-24,23180,4584,23782
2011,Washim,Total,25-29,24949,4557,17950
2011,Washim,Total,30-34,24677,4314,14710
2011,Washim,Total,35-39,24358,4140,12534
2011,Washim,Total,40-49,37657,6038,18973
2011,Washim,Total,50-59,22592,4043,15254
2011,Washim,Total,60-69,15865,3374,22127
2011,Washim,Total,70-79,3747,956,14285
2011,Washim,Total,80+,863,215,5778
2011,Washim,Rural,05-09,1193,173,42283
2011,Washim,Rural,10-14,2516,688,47951
2011,Washim,Rural,15-19,10401,2605,32484
2011,Washim,Rural,20-24,22082,4353,15237
2011,Washim,Rural,25-29,23527,4244,10659
2011,Washim,Rural,30-34,23174,3990,8325
2011,Washim,Rural,35-39,22785,3831,6888
2011,Washim,Rural,40-49,35291,5616,10844
2011,Washim,Rural,50-59,21300,3795,9895
2011,Washim,Rural,60-69,15035,3154,16732
2011,Washim,Rural,70-79,3517,894,11634
2011,Washim,Rural,80+,806,202,4588
2011,Washim,Urban,05-09,266,24,9232
2011,Washim,Urban,10-14,411,49,10557
2011,Washim,Urban,15-19,642,143,9710
2011,Washim,Urban,20-24,1098,231,8545
2011,Washim,Urban,25-29,1422,313,7291
2011,Washim,Urban,30-34,1503,324,6385
2011,Washim,Urban,35-39,1573,309,5646
2011,Washim,Urban,40-49,2366,422,8129
2011,Washim,Urban,50-59,1292,248,5359
2011,Washim,Urban,60-69,830,220,5395
2011,Washim,Urban,70-79,230,62,2651
2011,Washim,Urban,80+,57,13,1190
2011,Amravati,Total,05-09,508,459,111207
2011,Amravati,Total,10-14,1675,1892,134833
2011,Amravati,Total,15-19,12075,7607,118944
2011,Amravati,Total,20-24,25760,10834,97570
2011,Amravati,Total,25-29,32765,10256,73229
2011,Amravati,Total,30-34,38640,10679,56975
2011,Amravati,Total,35-39,43816,10546,50346
2011,Amravati,Total,40-49,74558,16786,79193
2011,Amravati,Total,50-59,41164,10283,57553
2011,Amravati,Total,60-69,27673,8140,63929
2011,Amravati,Total,70-79,6616,2505,40660
2011,Amravati,Total,80+,1223,484,14548
2011,Amravati,Rural,05-09,361,327,72707
2011,Amravati,Rural,10-14,1364,1650,88767
2011,Amravati,Rural,15-19,10941,6975,71984
2011,Amravati,Rural,20-24,22465,9687,51953
2011,Amravati,Rural,25-29,27098,8928,34810
2011,Amravati,Rural,30-34,31412,9147,24381
2011,Amravati,Rural,35-39,35278,8851,20286
2011,Amravati,Rural,40-49,59782,14167,32001
2011,Amravati,Rural,50-59,33804,8860,25966
2011,Amravati,Rural,60-69,24367,7266,35610
2011,Amravati,Rural,70-79,5864,2281,26153
2011,Amravati,Rural,80+,1025,418,9014
2011,Amravati,Urban,05-09,147,132,38500
2011,Amravati,Urban,10-14,311,242,46066
2011,Amravati,Urban,15-19,1134,632,46960
2011,Amravati,Urban,20-24,3295,1147,45617
2011,Amravati,Urban,25-29,5667,1328,38419
2011,Amravati,Urban,30-34,7228,1532,32594
2011,Amravati,Urban,35-39,8538,1695,30060
2011,Amravati,Urban,40-49,14776,2619,47192
2011,Amravati,Urban,50-59,7360,1423,31587
2011,Amravati,Urban,60-69,3306,874,28319
2011,Amravati,Urban,70-79,752,224,14507
2011,Amravati,Urban,80+,198,66,5534
2011,Wardha,Total,05-09,130,123,45964
2011,Wardha,Total,10-14,475,459,54625
2011,Wardha,Total,15-19,4442,2650,50507
2011,Wardha,Total,20-24,12569,4849,42761
2011,Wardha,Total,25-29,18539,5197,31053
2011,Wardha,Total,30-34,22181,5164,22067
2011,Wardha,Total,35-39,25284,5503,18903
2011,Wardha,Total,40-49,42516,8384,30033
2011,Wardha,Total,50-59,24356,5315,22587
2011,Wardha,Total,60-69,17006,4908,27600
2011,Wardha,Total,70-79,3709,1380,19545
2011,Wardha,Total,80+,456,188,7053
2011,Wardha,Rural,05-09,98,95,31345
2011,Wardha,Rural,10-14,389,399,37618
2011,Wardha,Rural,15-19,4022,2367,32915
2011,Wardha,Rural,20-24,11216,4333,23720
2011,Wardha,Rural,25-29,15926,4439,14926
2011,Wardha,Rural,30-34,18594,4265,9028
2011,Wardha,Rural,35-39,20900,4322,7031
2011,Wardha,Rural,40-49,35301,6753,10961
2011,Wardha,Rural,50-59,20769,4420,9832
2011,Wardha,Rural,60-69,15457,4345,16225
2011,Wardha,Rural,70-79,3354,1248,13329
2011,Wardha,Rural,80+,400,163,4743
2011,Wardha,Urban,05-09,32,28,14619
2011,Wardha,Urban,10-14,86,60,17007
2011,Wardha,Urban,15-19,420,283,17592
2011,Wardha,Urban,20-24,1353,516,19041
2011,Wardha,Urban,25-29,2613,758,16127
2011,Wardha,Urban,30-34,3587,899,13039
2011,Wardha,Urban,35-39,4384,1181,11872
2011,Wardha,Urban,40-49,7215,1631,19072
2011,Wardha,Urban,50-59,3587,895,12755
2011,Wardha,Urban,60-69,1549,563,11375
2011,Wardha,Urban,70-79,355,132,6216
2011,Wardha,Urban,80+,56,25,2310
2011,Nagpur,Total,05-09,1079,1010,172004
2011,Nagpur,Total,10-14,2202,1987,194630
2011,Nagpur,Total,15-19,12705,6613,186797
2011,Nagpur,Total,20-24,35004,12561,182519
2011,Nagpur,Total,25-29,50652,13139,151927
2011,Nagpur,Total,30-34,58654,12859,118429
2011,Nagpur,Total,35-39,64966,12722,102986
2011,Nagpur,Total,40-49,107946,19828,161783
2011,Nagpur,Total,50-59,57232,11096,109983
2011,Nagpur,Total,60-69,30688,8654,99941
2011,Nagpur,Total,70-79,6975,2360,57010
2011,Nagpur,Total,80+,1485,537,22323
2011,Nagpur,Rural,05-09,435,275,56129
2011,Nagpur,Rural,10-14,1061,941,64726
2011,Nagpur,Rural,15-19,7997,4361,56417
2011,Nagpur,Rural,20-24,20278,8310,41746
2011,Nagpur,Rural,25-29,25874,8105,28629
2011,Nagpur,Rural,30-34,28907,7701,18209
2011,Nagpur,Rural,35-39,31477,7337,13357
2011,Nagpur,Rural,40-49,52923,11754,20057
2011,Nagpur,Rural,50-59,30933,7363,16171
2011,Nagpur,Rural,60-69,21554,6369,25486
2011,Nagpur,Rural,70-79,4729,1680,18904
2011,Nagpur,Rural,80+,819,336,6761
2011,Nagpur,Urban,05-09,644,735,115875
2011,Nagpur,Urban,10-14,1141,1046,129904
2011,Nagpur,Urban,15-19,4708,2252,130380
2011,Nagpur,Urban,20-24,14726,4251,140773
2011,Nagpur,Urban,25-29,24778,5034,123298
2011,Nagpur,Urban,30-34,29747,5158,100220
2011,Nagpur,Urban,35-39,33489,5385,89629
2011,Nagpur,Urban,40-49,55023,8074,141726
2011,Nagpur,Urban,50-59,26299,3733,93812
2011,Nagpur,Urban,60-69,9134,2285,74455
2011,Nagpur,Urban,70-79,2246,680,38106
2011,Nagpur,Urban,80+,666,201,15562
2011,Bhandara,Total,05-09,379,354,45379
2011,Bhandara,Total,10-14,668,870,54177
2011,Bhandara,Total,15-19,3853,4308,47406
2011,Bhandara,Total,20-24,14342,12779,28576
2011,Bhandara,Total,25-29,17919,13084,17710
2011,Bhandara,Total,30-34,19028,12236,13115
2011,Bhandara,Total,35-39,20012,11850,11039
2011,Bhandara,Total,40-49,37827,20966,17670
2011,Bhandara,Total,50-59,22576,13965,16787
2011,Bhandara,Total,60-69,10783,8542,24959
2011,Bhandara,Total,70-79,1886,1736,15550
2011,Bhandara,Total,80+,432,316,4585
2011,Bhandara,Rural,05-09,335,318,37070
2011,Bhandara,Rural,10-14,581,803,44002
2011,Bhandara,Rural,15-19,3609,4094,37334
2011,Bhandara,Rural,20-24,13503,12105,18591
2011,Bhandara,Rural,25-29,16345,12187,9578
2011,Bhandara,Rural,30-34,16986,11232,6390
2011,Bhandara,Rural,35-39,17678,10800,5120
2011,Bhandara,Rural,40-49,33234,19285,8664
2011,Bhandara,Rural,50-59,20190,13063,10038
2011,Bhandara,Rural,60-69,9961,8019,18761
2011,Bhandara,Rural,70-79,1712,1621,12627
2011,Bhandara,Rural,80+,376,283,3526
2011,Bhandara,Urban,05-09,44,36,8309
2011,Bhandara,Urban,10-14,87,67,10175
2011,Bhandara,Urban,15-19,244,214,10072
2011,Bhandara,Urban,20-24,839,674,9985
2011,Bhandara,Urban,25-29,1574,897,8132
2011,Bhandara,Urban,30-34,2042,1004,6725
2011,Bhandara,Urban,35-39,2334,1050,5919
2011,Bhandara,Urban,40-49,4593,1681,9006
2011,Bhandara,Urban,50-59,2386,902,6749
2011,Bhandara,Urban,60-69,822,523,6198
2011,Bhandara,Urban,70-79,174,115,2923
2011,Bhandara,Urban,80+,56,33,1059
2011,Gondia,Total,05-09,669,348,52438
2011,Gondia,Total,10-14,1115,1115,62247
2011,Gondia,Total,15-19,4903,7125,53596
2011,Gondia,Total,20-24,14915,17415,29327
2011,Gondia,Total,25-29,17842,16238,18613
2011,Gondia,Total,30-34,19420,15930,14631
2011,Gondia,Total,35-39,20862,15548,12620
2011,Gondia,Total,40-49,37617,27265,21021
2011,Gondia,Total,50-59,22243,17345,19802
2011,Gondia,Total,60-69,10136,9228,25993
2011,Gondia,Total,70-79,1848,1931,15201
2011,Gondia,Total,80+,407,332,4504
2011,Gondia,Rural,05-09,524,306,44093
2011,Gondia,Rural,10-14,927,1028,52493
2011,Gondia,Rural,15-19,4432,6827,44054
2011,Gondia,Rural,20-24,13655,16729,20231
2011,Gondia,Rural,25-29,16140,15492,10772
2011,Gondia,Rural,30-34,17438,15111,7946
2011,Gondia,Rural,35-39,18556,14705,6627
2011,Gondia,Rural,40-49,33617,25894,11555
2011,Gondia,Rural,50-59,20047,16565,12911
2011,Gondia,Rural,60-69,9267,8832,20282
2011,Gondia,Rural,70-79,1651,1836,12480
2011,Gondia,Rural,80+,359,313,3559
2011,Gondia,Urban,05-09,145,42,8345
2011,Gondia,Urban,10-14,188,87,9754
2011,Gondia,Urban,15-19,471,298,9542
2011,Gondia,Urban,20-24,1260,686,9096
2011,Gondia,Urban,25-29,1702,746,7841
2011,Gondia,Urban,30-34,1982,819,6685
2011,Gondia,Urban,35-39,2306,843,5993
2011,Gondia,Urban,40-49,4000,1371,9466
2011,Gondia,Urban,50-59,2196,780,6891
2011,Gondia,Urban,60-69,869,396,5711
2011,Gondia,Urban,70-79,197,95,2721
2011,Gondia,Urban,80+,48,19,945
2011,Gadchiroli,Total,05-09,1725,624,44257
2011,Gadchiroli,Total,10-14,3299,2105,51804
2011,Gadchiroli,Total,15-19,10359,9789,37535
2011,Gadchiroli,Total,20-24,17829,15342,17467
2011,Gadchiroli,Total,25-29,18362,13582,11820
2011,Gadchiroli,Total,30-34,17673,11947,9348
2011,Gadchiroli,Total,35-39,19135,12184,8336
2011,Gadchiroli,Total,40-49,32463,20086,12155
2011,Gadchiroli,Total,50-59,18426,11740,9248
2011,Gadchiroli,Total,60-69,10427,8117,14564
2011,Gadchiroli,Total,70-79,2288,1805,9306
2011,Gadchiroli,Total,80+,534,353,3267
2011,Gadchiroli,Rural,05-09,1619,606,39935
2011,Gadchiroli,Rural,10-14,3105,2074,46154
2011,Gadchiroli,Rural,15-19,10055,9605,31960
2011,Gadchiroli,Rural,20-24,17182,14942,12691
2011,Gadchiroli,Rural,25-29,17406,13058,7906
2011,Gadchiroli,Rural,30-34,16504,11389,5867
2011,Gadchiroli,Rural,35-39,17855,11546,5185
2011,Gadchiroli,Rural,40-49,30312,19192,7715
2011,Gadchiroli,Rural,50-59,17479,11307,6785
2011,Gadchiroli,Rural,60-69,10018,7811,12256
2011,Gadchiroli,Rural,70-79,2169,1725,8149
2011,Gadchiroli,Rural,80+,513,341,2831
2011,Gadchiroli,Urban,05-09,106,18,4322
2011,Gadchiroli,Urban,10-14,194,31,5650
2011,Gadchiroli,Urban,15-19,304,184,5575
2011,Gadchiroli,Urban,20-24,647,400,4776
2011,Gadchiroli,Urban,25-29,956,524,3914
2011,Gadchiroli,Urban,30-34,1169,558,3481
2011,Gadchiroli,Urban,35-39,1280,638,3151
2011,Gadchiroli,Urban,40-49,2151,894,4440
2011,Gadchiroli,Urban,50-59,947,433,2463
2011,Gadchiroli,Urban,60-69,409,306,2308
2011,Gadchiroli,Urban,70-79,119,80,1157
2011,Gadchiroli,Urban,80+,21,12,436
2011,Chandrapur,Total,05-09,595,536,82087
2011,Chandrapur,Total,10-14,1327,1380,95756
