Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non Workers
2011,Buldhana,Total,05-09,3199,448,122979
2011,Buldhana,Total,10-14,6182,1308,134264
2011,Buldhana,Total,15-19,33219,5589,97872
2011,Buldhana,Total,20-24,81489,8886,43539
2011,Buldhana,Total,25-29,94798,7135,11897
2011,Buldhana,Total,30-34,85253,5382,3446
2011,Buldhana,Total,35-39,80197,4582,2299
2011,Buldhana,Total,40-49,135716,7114,4019
2011,Buldhana,Total,50-59,88864,4599,7033
2011,Buldhana,Total,60-69,51735,3958,19929
2011,Buldhana,Total,70-79,18027,1904,19599
2011,Buldhana,Total,80+,3036,395,8315
2011,Buldhana,Rural,05-09,2557,390,96736
2011,Buldhana,Rural,10-14,4987,1151,106009
2011,Buldhana,Rural,15-19,27859,4536,75426
2011,Buldhana,Rural,20-24,68781,6957,30411
2011,Buldhana,Rural,25-29,77188,5208,7397
2011,Buldhana,Rural,30-34,67630,3748,2211
2011,Buldhana,Rural,35-39,62490,3178,1519
2011,Buldhana,Rural,40-49,105570,4893,2830
2011,Buldhana,Rural,50-59,70731,3337,4378
2011,Buldhana,Rural,60-69,45031,3263,13012
2011,Buldhana,Rural,70-79,15823,1646,14820
2011,Buldhana,Rural,80+,2632,344,6650
2011,Buldhana,Urban,05-09,642,58,26243
2011,Buldhana,Urban,10-14,1195,157,28255
2011,Buldhana,Urban,15-19,5360,1053,22446
2011,Buldhana,Urban,20-24,12708,1929,13128
2011,Buldhana,Urban,25-29,17610,1927,4500
2011,Buldhana,Urban,30-34,17623,1634,1235
2011,Buldhana,Urban,35-39,17707,1404,780
2011,Buldhana,Urban,40-49,30146,2221,1189
2011,Buldhana,Urban,50-59,18133,1262,2655
2011,Buldhana,Urban,60-69,6704,695,6917
2011,Buldhana,Urban,70-79,2204,258,4779
2011,Buldhana,Urban,80+,404,51,1665
2011,Akola,Total,05-09,2243,311,78631
2011,Akola,Total,10-14,4087,952,89109
2011,Akola,Total,15-19,21507,4228,68749
2011,Akola,Total,20-24,51710,6753,34215
2011,Akola,Total,25-29,63111,5590,11311
2011,Akola,Total,30-34,61452,4209,3303
2011,Akola,Total,35-39,60444,3612,1893
2011,Akola,Total,40-49,103778,5711,3344
2011,Akola,Total,50-59,66438,3676,6347
2011,Akola,Total,60-69,31883,2805,16850
2011,Akola,Total,70-79,11216,1235,13580
2011,Akola,Total,80+,2204,263,5607
2011,Akola,Rural,05-09,1436,254,47205
2011,Akola,Rural,10-14,2665,753,54550
2011,Akola,Rural,15-19,13865,3046,40640
2011,Akola,Rural,20-24,33907,4783,17386
2011,Akola,Rural,25-29,39411,3701,5280
2011,Akola,Rural,30-34,36628,2669,1472
2011,Akola,Rural,35-39,35637,2326,855
2011,Akola,Rural,40-49,61224,3732,1541
2011,Akola,Rural,50-59,40685,2457,2408
2011,Akola,Rural,60-69,23145,2126,6694
2011,Akola,Rural,70-79,8730,997,7176
2011,Akola,Rural,80+,1642,206,3355
2011,Akola,Urban,05-09,807,57,31426
2011,Akola,Urban,10-14,1422,199,34559
2011,Akola,Urban,15-19,7642,1182,28109
2011,Akola,Urban,20-24,17803,1970,16829
2011,Akola,Urban,25-29,23700,1889,6031
2011,Akola,Urban,30-34,24824,1540,1831
2011,Akola,Urban,35-39,24807,1286,1038
2011,Akola,Urban,40-49,42554,1979,1803
2011,Akola,Urban,50-59,25753,1219,3939
2011,Akola,Urban,60-69,8738,679,10156
2011,Akola,Urban,70-79,2486,238,6404
2011,Akola,Urban,80+,562,57,2252
2011,Washim,Total,05-09,1792,237,57569
2011,Washim,Total,10-14,3249,766,65198
2011,Washim,Total,15-19,15277,3205,46792
2011,Washim,Total,20-24,35463,5306,20322
2011,Washim,Total,25-29,40674,4349,5516
2011,Washim,Total,30-34,38859,3202,1678
2011,Washim,Total,35-39,38260,3000,1034
2011,Washim,Total,40-49,63066,4370,1555
2011,Washim,Total,50-59,38182,2658,2442
2011,Washim,Total,60-69,24068,2461,7878
2011,Washim,Total,70-79,8342,1250,7860
2011,Washim,Total,80+,1652,277,4016
2011,Washim,Rural,05-09,1449,206,47238
2011,Washim,Rural,10-14,2709,696,53994
2011,Washim,Rural,15-19,13056,2769,38153
2011,Washim,Rural,20-24,30466,4600,15380
2011,Washim,Rural,25-29,34036,3664,3904
2011,Washim,Rural,30-34,31904,2611,1138
2011,Washim,Rural,35-39,31265,2482,739
2011,Washim,Rural,40-49,51514,3569,1112
2011,Washim,Rural,50-59,31822,2242,1626
2011,Washim,Rural,60-69,21277,2147,5511
2011,Washim,Rural,70-79,7490,1148,6221
2011,Washim,Rural,80+,1460,254,3326
2011,Washim,Urban,05-09,343,31,10331
2011,Washim,Urban,10-14,540,70,11204
2011,Washim,Urban,15-19,2221,436,8639
2011,Washim,Urban,20-24,4997,706,4942
2011,Washim,Urban,25-29,6638,685,1612
2011,Washim,Urban,30-34,6955,591,540
2011,Washim,Urban,35-39,6995,518,295
2011,Washim,Urban,40-49,11552,801,443
2011,Washim,Urban,50-59,6360,416,816
2011,Washim,Urban,60-69,2791,314,2367
2011,Washim,Urban,70-79,852,102,1639
2011,Washim,Urban,80+,192,23,690
2011,Amravati,Total,05-09,632,511,119457
2011,Amravati,Total,10-14,2918,2049,141210
2011,Amravati,Total,15-19,29296,10074,108154
2011,Amravati,Total,20-24,74679,14892,54530
2011,Amravati,Total,25-29,92460,11602,18403
2011,Amravati,Total,30-34,95465,8499,5638
2011,Amravati,Total,35-39,95330,7331,2984
2011,Amravati,Total,40-49,170168,11437,5158
2011,Amravati,Total,50-59,107371,7085,8665
2011,Amravati,Total,60-69,56419,5985,26302
2011,Amravati,Total,70-79,21940,3318,25065
2011,Amravati,Total,80+,4051,716,11570
2011,Amravati,Rural,05-09,410,342,77569
2011,Amravati,Rural,10-14,2007,1605,92754
2011,Amravati,Rural,15-19,21250,7993,66640
2011,Amravati,Rural,20-24,52859,11182,27986
2011,Amravati,Rural,25-29,61247,7901,8281
2011,Amravati,Rural,30-34,60522,5449,2435
2011,Amravati,Rural,35-39,59717,4551,1280
2011,Amravati,Rural,40-49,106917,7101,2373
2011,Amravati,Rural,50-59,69280,4596,3383
2011,Amravati,Rural,60-69,42552,4408,11023
2011,Amravati,Rural,70-79,17547,2718,14714
2011,Amravati,Rural,80+,2992,575,7535
2011,Amravati,Urban,05-09,222,169,41888
2011,Amravati,Urban,10-14,911,444,48456
2011,Amravati,Urban,15-19,8046,2081,41514
2011,Amravati,Urban,20-24,21820,3710,26544
2011,Amravati,Urban,25-29,31213,3701,10122
2011,Amravati,Urban,30-34,34943,3050,3203
2011,Amravati,Urban,35-39,35613,2780,1704
2011,Amravati,Urban,40-49,63251,4336,2785
2011,Amravati,Urban,50-59,38091,2489,5282
2011,Amravati,Urban,60-69,13867,1577,15279
2011,Amravati,Urban,70-79,4393,600,10351
2011,Amravati,Urban,80+,1059,141,4035
2011,Wardha,Total,05-09,187,108,49647
2011,Wardha,Total,10-14,868,550,58643
2011,Wardha,Total,15-19,11805,3938,46306
2011,Wardha,Total,20-24,32862,6435,24320
2011,Wardha,Total,25-29,44421,5171,8922
2011,Wardha,Total,30-34,45723,3528,2349
2011,Wardha,Total,35-39,46697,2877,1128
2011,Wardha,Total,40-49,81581,4425,1884
2011,Wardha,Total,50-59,52981,2754,3932
2011,Wardha,Total,60-69,27811,2628,12763
2011,Wardha,Total,70-79,11033,1715,12643
2011,Wardha,Total,80+,1648,309,5787
2011,Wardha,Rural,05-09,132,84,33450
2011,Wardha,Rural,10-14,684,461,39974
2011,Wardha,Rural,15-19,9608,3201,29657
2011,Wardha,Rural,20-24,25476,4933,12905
2011,Wardha,Rural,25-29,31310,3444,4187
2011,Wardha,Rural,30-34,30662,2105,991
2011,Wardha,Rural,35-39,31247,1614,497
2011,Wardha,Rural,40-49,53918,2566,936
2011,Wardha,Rural,50-59,36359,1704,1499
2011,Wardha,Rural,60-69,22830,1949,5762
2011,Wardha,Rural,70-79,9499,1466,8056
2011,Wardha,Rural,80+,1373,262,4113
2011,Wardha,Urban,05-09,55,24,16197
2011,Wardha,Urban,10-14,184,89,18669
2011,Wardha,Urban,15-19,2197,737,16649
2011,Wardha,Urban,20-24,7386,1502,11415
2011,Wardha,Urban,25-29,13111,1727,4735
2011,Wardha,Urban,30-34,15061,1423,1358
2011,Wardha,Urban,35-39,15450,1263,631
2011,Wardha,Urban,40-49,27663,1859,948
2011,Wardha,Urban,50-59,16622,1050,2433
2011,Wardha,Urban,60-69,4981,679,7001
2011,Wardha,Urban,70-79,1534,249,4587
2011,Wardha,Urban,80+,275,47,1674
2011,Nagpur,Total,05-09,1355,1037,186198
2011,Nagpur,Total,10-14,4462,2267,204728
2011,Nagpur,Total,15-19,39275,10620,172946
2011,Nagpur,Total,20-24,116809,19433,103937
2011,Nagpur,Total,25-29,167118,17496,37255
2011,Nagpur,Total,30-34,176500,12792,11906
2011,Nagpur,Total,35-39,169357,10927,6750
2011,Nagpur,Total,40-49,286189,16150,11077
2011,Nagpur,Total,50-59,172138,9271,20011
2011,Nagpur,Total,60-69,62212,6212,57013
2011,Nagpur,Total,70-79,20725,2866,38348
2011,Nagpur,Total,80+,4750,741,15896
2011,Nagpur,Rural,05-09,481,240,59641
2011,Nagpur,Rural,10-14,1570,965,66804
2011,Nagpur,Rural,15-19,16800,5784,50745
2011,Nagpur,Rural,20-24,44810,9827,22449
2011,Nagpur,Rural,25-29,53325,7808,7061
2011,Nagpur,Rural,30-34,53683,5430,2019
2011,Nagpur,Rural,35-39,51317,4468,1184
2011,Nagpur,Rural,40-49,85029,6603,1881
2011,Nagpur,Rural,50-59,53069,4060,3094
2011,Nagpur,Rural,60-69,30244,3455,9854
2011,Nagpur,Rural,70-79,11932,1855,11059
2011,Nagpur,Rural,80+,2152,424,5451
2011,Nagpur,Urban,05-09,874,797,126557
2011,Nagpur,Urban,10-14,2892,1302,137924
2011,Nagpur,Urban,15-19,22475,4836,122201
2011,Nagpur,Urban,20-24,71999,9606,81488
2011,Nagpur,Urban,25-29,113793,9688,30194
2011,Nagpur,Urban,30-34,122817,7362,9887
2011,Nagpur,Urban,35-39,118040,6459,5566
2011,Nagpur,Urban,40-49,201160,9547,9196
2011,Nagpur,Urban,50-59,119069,5211,16917
2011,Nagpur,Urban,60-69,31968,2757,47159
2011,Nagpur,Urban,70-79,8793,1011,27289
2011,Nagpur,Urban,80+,2598,317,10445
2011,Bhandara,Total,05-09,410,391,47694
2011,Bhandara,Total,10-14,952,888,56280
2011,Bhandara,Total,15-19,7764,5598,44791
2011,Bhandara,Total,20-24,24033,12916,21738
2011,Bhandara,Total,25-29,32789,11596,8003
2011,Bhandara,Total,30-34,34146,9446,2680
2011,Bhandara,Total,35-39,34732,8406,1345
2011,Bhandara,Total,40-49,62411,13909,2302
2011,Bhandara,Total,50-59,41771,9587,4008
2011,Bhandara,Total,60-69,17068,6153,11961
2011,Bhandara,Total,70-79,4550,2003,9175
2011,Bhandara,Total,80+,904,420,3037
2011,Bhandara,Rural,05-09,353,343,38825
2011,Bhandara,Rural,10-14,824,804,45524
2011,Bhandara,Rural,15-19,6896,5110,34922
2011,Bhandara,Rural,20-24,20937,11798,14615
2011,Bhandara,Rural,25-29,26718,10319,4724
2011,Bhandara,Rural,30-34,26945,8248,1478
2011,Bhandara,Rural,35-39,26974,7291,722
2011,Bhandara,Rural,40-49,48727,12226,1475
2011,Bhandara,Rural,50-59,33266,8663,2529
2011,Bhandara,Rural,60-69,15195,5667,7920
2011,Bhandara,Rural,70-79,4038,1868,7073
2011,Bhandara,Rural,80+,764,382,2424
2011,Bhandara,Urban,05-09,57,48,8869
2011,Bhandara,Urban,10-14,128,84,10756
2011,Bhandara,Urban,15-19,868,488,9869
2011,Bhandara,Urban,20-24,3096,1118,7123
2011,Bhandara,Urban,25-29,6071,1277,3279
2011,Bhandara,Urban,30-34,7201,1198,1202
2011,Bhandara,Urban,35-39,7758,1115,623
2011,Bhandara,Urban,40-49,13684,1683,827
2011,Bhandara,Urban,50-59,8505,924,1479
2011,Bhandara,Urban,60-69,1873,486,4041
2011,Bhandara,Urban,70-79,512,135,2102
2011,Bhandara,Urban,80+,140,38,613
2011,Gondia,Total,05-09,680,376,54214
2011,Gondia,Total,10-14,1480,1170,64536
2011,Gondia,Total,15-19,8877,7886,50237
2011,Gondia,Total,20-24,26034,16246,21042
2011,Gondia,Total,25-29,33919,14052,6827
2011,Gondia,Total,30-34,36656,11382,2237
2011,Gondia,Total,35-39,37745,10798,1379
2011,Gondia,Total,40-49,66881,17690,2226
2011,Gondia,Total,50-59,43943,11624,3564
2011,Gondia,Total,60-69,19337,7381,10147
2011,Gondia,Total,70-79,4827,2257,8127
2011,Gondia,Total,80+,857,399,2678
2011,Gondia,Rural,05-09,552,335,45396
2011,Gondia,Rural,10-14,1180,1064,53900
2011,Gondia,Rural,15-19,7635,7358,41017
2011,Gondia,Rural,20-24,22211,15139,14995
2011,Gondia,Rural,25-29,27866,12761,4376
2011,Gondia,Rural,30-34,29307,10184,1296
2011,Gondia,Rural,35-39,30261,9636,851
2011,Gondia,Rural,40-49,53605,15994,1446
2011,Gondia,Rural,50-59,36057,10743,2402
2011,Gondia,Rural,60-69,16857,6877,7154
2011,Gondia,Rural,70-79,4215,2116,6469
2011,Gondia,Rural,80+,696,363,2192
2011,Gondia,Urban,05-09,128,41,8818
2011,Gondia,Urban,10-14,300,106,10636
2011,Gondia,Urban,15-19,1242,528,9220
2011,Gondia,Urban,20-24,3823,1107,6047
2011,Gondia,Urban,25-29,6053,1291,2451
2011,Gondia,Urban,30-34,7349,1198,941
2011,Gondia,Urban,35-39,7484,1162,528
2011,Gondia,Urban,40-49,13276,1696,780
2011,Gondia,Urban,50-59,7886,881,1162
2011,Gondia,Urban,60-69,2480,504,2993
2011,Gondia,Urban,70-79,612,141,1658
2011,Gondia,Urban,80+,161,36,486
2011,Gadchiroli,Total,05-09,1874,585,46554
2011,Gadchiroli,Total,10-14,3396,1841,55119
2011,Gadchiroli,Total,15-19,12198,8765,37963
2011,Gadchiroli,Total,20-24,24445,13861,13829
2011,Gadchiroli,Total,25-29,29963,11366,4242
2011,Gadchiroli,Total,30-34,29058,8774,1349
2011,Gadchiroli,Total,35-39,30506,8048,829
2011,Gadchiroli,Total,40-49,53317,13075,1165
2011,Gadchiroli,Total,50-59,32361,8116,1763
2011,Gadchiroli,Total,60-69,16296,5941,5372
2011,Gadchiroli,Total,70-79,4948,2309,4766
2011,Gadchiroli,Total,80+,1019,473,2079
2011,Gadchiroli,Rural,05-09,1738,565,41712
2011,Gadchiroli,Rural,10-14,3174,1783,49227
2011,Gadchiroli,Rural,15-19,11599,8481,32484
2011,Gadchiroli,Rural,20-24,22631,13143,10477
2011,Gadchiroli,Rural,25-29,26822,10525,3030
2011,Gadchiroli,Rural,30-34,25365,7927,984
2011,Gadchiroli,Rural,35-39,26403,7303,627
2011,Gadchiroli,Rural,40-49,46052,12014,945
2011,Gadchiroli,Rural,50-59,28573,7574,1281
2011,Gadchiroli,Rural,60-69,15340,5596,4224
2011,Gadchiroli,Rural,70-79,4656,2190,4101
2011,Gadchiroli,Rural,80+,937,451,1832
2011,Gadchiroli,Urban,05-09,136,20,4842
2011,Gadchiroli,Urban,10-14,222,58,5892
2011,Gadchiroli,Urban,15-19,599,284,5479
2011,Gadchiroli,Urban,20-24,1814,718,3352
2011,Gadchiroli,Urban,25-29,3141,841,1212
2011,Gadchiroli,Urban,30-34,3693,847,365
2011,Gadchiroli,Urban,35-39,4103,745,202
2011,Gadchiroli,Urban,40-49,7265,1061,220
2011,Gadchiroli,Urban,50-59,3788,542,482
2011,Gadchiroli,Urban,60-69,956,345,1148
2011,Gadchiroli,Urban,70-79,292,119,665
2011,Gadchiroli,Urban,80+,82,22,247
2011,Chandrapur,Total,05-09,582,543,87018
2011,Chandrapur,Total,10-14,1939,1365,102545
2011,Chandrapur,Total,15-19,17058,10684,82349
2011,Chandrapur,Total,20-24,48235,19447,43116
2011,Chandrapur,Total,25-29,66962,15757,15787
2011,Chandrapur,Total,30-34,72047,12652,4990
2011,Chandrapur,Total,35-39,72071,10968,2547
2011,Chandrapur,Total,40-49,126475,17181,3902
2011,Chandrapur,Total,50-59,82029,10667,6079
2011,Chandrapur,Total,60-69,34230,7970,20018
2011,Chandrapur,Total,70-79,11288,3497,15410
2011,Chandrapur,Total,80+,2141,663,6397
2011,Chandrapur,Rural,05-09,418,390,56730
