District,Year,Taluka,Number of MSME Industries,Number of employees (in Lakh),Number of Employees
Kolhapur,2018,Ajara,664.0,0.04,4000.0
Kolhapur,2018,Gadhinglaj,759.0,0.06,6000.0
Kolhapur,2018,Chandgad,912.0,0.06,6000.0
Kolhapur,2019,Shahuwadi,261.0,0.01,1000.0
Kolhapur,2019,Panhala,1081.0,0.05,5000.0
Kolhapur,2019,Hatkanangale,21790.0,1.24,124000.0
Kolhapur,2019,Shirol,3943.0,0.23,23000.0
Kolhapur,2019,Karveer,14505.0,0.53,53000.0
Kolhapur,2019,Gaganbavada,63.0,0.0,0.0
Kolhapur,2019,Radhanagari,837.0,0.04,4000.0
Kolhapur,2019,Kagal,2189.0,0.12,12000.0
Kolhapur,2019,Bhudargad,673.0,0.03,3000.0
Kolhapur,2019,Ajara,930.0,0.05,5000.0
Kolhapur,2019,Gadhinglaj,1100.0,0.08,8000.0
Kolhapur,2019,Chandgad,1167.0,0.08,8000.0
Kolhapur,2020,Shahuwadi,261.0,0.01,1000.0
Kolhapur,2020,Panhala,1081.0,0.05,5000.0
Kolhapur,2020,Hatkanangale,22805.0,1.24,124000.0
Kolhapur,2020,Shirol,4122.0,0.23,23000.0
Kolhapur,2020,Karveer,14920.0,0.63,63000.0
Kolhapur,2020,Gaganbavada,65.0,0.0,0.0
Kolhapur,2020,Radhanagari,840.0,0.04,4000.0
Kolhapur,2020,Kagal,2322.0,0.13,13000.0
Kolhapur,2020,Bhudargad,675.0,0.03,3000.0
Kolhapur,2020,Ajara,945.0,0.05,5000.0
Kolhapur,2020,Gadhinglaj,1105.0,0.08,8000.0
Kolhapur,2020,Chandgad,1178.0,0.08,8000.0
Kolhapur,2021,Shahuwadi,269.0,0.01,1000.0
Kolhapur,2021,Panhala,1097.0,0.05,5000.0
Kolhapur,2021,Hatkanangale,24902.0,1.35,135000.0
Kolhapur,2021,Shirol,4991.0,0.28,28000.0
Kolhapur,2021,Karveer,17118.0,0.73,73000.0
Kolhapur,2021,Gaganbavada,65.0,0.0,0.0
Kolhapur,2021,Radhanagari,849.0,0.04,4000.0
Kolhapur,2021,Kagal,2712.0,0.15,15000.0
Kolhapur,2021,Bhudargad,677.0,0.04,4000.0
Kolhapur,2021,Ajara,1005.0,0.06,6000.0
Kolhapur,2021,Gadhinglaj,1127.0,0.09,9000.0
Kolhapur,2021,Chandgad,1201.0,0.08,8000.0
Latur,2018,Latur,1574.0,0.889,88900.0
Latur,2018,Renapur,118.0,0.064,6400.0
Latur,2018,Ahamadpur,110.0,0.058,5800.0
Latur,2018,Jalkot,111.0,0.053,5300.0
Latur,2018,Chakur,100.0,0.048,4800.0
Latur,2018,Shirur-Anantpal,102.0,0.049,4900.0
Latur,2018,Aosa,480.0,0.277,27700.0
Latur,2018,Nilanga,160.0,0.089,8900.0
Latur,2018,Devani,100.0,0.063,6300.0
Latur,2018,Udgir,342.0,0.188,18800.0
Latur,2019,Latur,1113.0,0.0628,6280.0
Latur,2019,Renapur,59.0,0.0033,330.0
Latur,2019,Ahamadpur,83.0,0.0076,760.0
Latur,2019,Jalkot,60.0,0.0033,330.0
Latur,2019,Chakur,28.0,0.001,100.0
Latur,2019,Shirur-Anantpal,28.0,0.0011,110.0
Latur,2019,Aosa,322.0,0.0109,1090.0
Latur,2019,Nilanga,110.0,0.0063,630.0
Latur,2019,Devani,23.0,0.0015,150.0
Latur,2019,Udgir,243.0,0.0162,1620.0
Latur,2020,Latur,2075.0,0.14923,14923.0
Latur,2020,Renapur,102.0,0.00486,486.0
Latur,2020,Ahamadpur,205.0,0.01269,1269.0
Latur,2020,Jalkot,170.0,0.00104,104.0
Latur,2020,Chakur,55.0,0.00299,299.0
Latur,2020,Shirur-Anantpal,53.0,0.00189,189.0
Latur,2020,Aosa,234.0,0.01326,1326.0
Latur,2020,Nilanga,244.0,0.35252,35252.0
Latur,2020,Devani,76.0,0.00851,851.0
Latur,2020,Udgir,422.0,0.02452,2452.0
Latur,2021,Latur,1310.0,0.0731,7310.0
Latur,2021,Renapur,114.0,0.00561,561.0
Latur,2021,Ahamadpur,141.0,0.013,1300.0
Latur,2021,Jalkot,95.0,0.00396,396.0
Latur,2021,Chakur,23.0,0.00128,128.0
Latur,2021,Shirur-Anantpal,48.0,0.00235,235.0
Latur,2021,Aosa,198.0,0.01075,1075.0
Latur,2021,Nilanga,234.0,0.01492,1492.0
Latur,2021,Devani,48.0,0.00183,183.0
Latur,2021,Udgir,297.0,0.01627,1627.0
Mumbai City,2018,Mumbai City,211676.0,1414142.0,141414200000.0
Mumbai City,2019,Mumbai City,211676.0,1414142.0,141414200000.0
Mumbai City,2020,Mumbai City,50965.0,718451.0,71845100000.0
Mumbai City,2021,Mumbai City,7298.0,133149.0,13314900000.0
Mumbai Suburban,2018,Adheri,,,
Mumbai Suburban,2018,Borivali,,,
Mumbai Suburban,2018,Kurla,,,
Mumbai Suburban,2019,Adheri,,,
Mumbai Suburban,2019,Borivali,,,
Mumbai Suburban,2019,Kurla,,,
Mumbai Suburban,2020,Adheri,,,
Mumbai Suburban,2020,Borivali,,,
Mumbai Suburban,2020,Kurla,,,
Mumbai Suburban,2021,Adheri,2516.0,0.38,38000.0
Mumbai Suburban,2021,Borivali,3681.0,0.36,36000.0
Mumbai Suburban,2021,Kurla,2510.0,0.26,26000.0
Nagpur,2018,Narkhed,117.0,822.0,82200000.0
Nagpur,2018,Katol,321.0,2123.0,212300000.0
Nagpur,2018,Kalameshwar,286.0,3924.0,392400000.0
Nagpur,2018,Sawner,403.0,2242.0,224200000.0
Nagpur,2018,Parashivani,311.0,1131.0,113100000.0
Nagpur,2018,Ramtech,266.0,1291.0,129100000.0
Nagpur,2018,Mauda,260.0,1590.0,159000000.0
Nagpur,2018,Kamathi,659.0,6430.0,643000000.0
Nagpur,2018,Nagpur (Gra),1118.0,10021.0,1002100000.0
Nagpur,2018,Nagpur (Sh),9422.0,58468.0,5846800000.0
Nagpur,2018,Hingana,914.0,15667.0,1566700000.0
Nagpur,2018,Umred,268.0,1730.0,173000000.0
Nagpur,2018,Kuhi,107.0,542.0,54200000.0
Nagpur,2018,Bhiwapur,103.0,377.0,37700000.0
Nagpur,2019,Narkhed,194.0,1290.0,129000000.0
Nagpur,2019,Katol,431.0,2494.0,249400000.0
Nagpur,2019,Kalameshwar,372.0,4484.0,448400000.0
Nagpur,2019,Sawner,613.0,3119.0,311900000.0
Nagpur,2019,Parashivani,399.0,1587.0,158700000.0
Nagpur,2019,Ramtech,384.0,2018.0,201800000.0
Nagpur,2019,Mauda,365.0,1925.0,192500000.0
Nagpur,2019,Kamathi,1007.0,8041.0,804100000.0
Nagpur,2019,Nagpur (Gra),1570.0,12467.0,1246700000.0
Nagpur,2019,Nagpur (Sh),14803.0,82835.0,8283500000.0
Nagpur,2019,Hingana,1358.0,19499.0,1949900000.0
Nagpur,2019,Umred,396.0,2190.0,219000000.0
Nagpur,2019,Kuhi,152.0,789.0,78900000.0
Nagpur,2019,Bhiwapur,194.0,902.0,90200000.0
Nagpur,2020,Narkhed,460.0,2561.0,256100000.0
Nagpur,2020,Katol,630.0,3579.0,357900000.0
Nagpur,2020,Kalameshwar,521.0,5488.0,548800000.0
Nagpur,2020,Sawner,916.0,4964.0,496400000.0
Nagpur,2020,Parashivani,644.0,3104.0,310400000.0
Nagpur,2020,Ramtech,546.0,2985.0,298500000.0
Nagpur,2020,Mauda,508.0,3030.0,303000000.0
Nagpur,2020,Kamathi,1450.0,10903.0,1090300000.0
Nagpur,2020,Nagpur (Gra),2326.0,18151.0,1815100000.0
Nagpur,2020,Nagpur (Sh),21457.0,123568.0,12356800000.0
Nagpur,2020,Hingana,2095.0,29629.0,2962900000.0
Nagpur,2020,Umred,633.0,3158.0,315800000.0
Nagpur,2020,Kuhi,252.0,1197.0,119700000.0
Nagpur,2020,Bhiwapur,280.0,1213.0,121300000.0
Nagpur,2021,Narkhed,606.0,3283.0,328300000.0
Nagpur,2021,Katol,764.0,4162.0,416200000.0
Nagpur,2021,Kalameshwar,627.0,5935.0,593500000.0
Nagpur,2021,Sawner,1082.0,5970.0,597000000.0
Nagpur,2021,Parashivani,762.0,3757.0,375700000.0
Nagpur,2021,Ramtech,721.0,3907.0,390700000.0
Nagpur,2021,Mauda,579.0,3602.0,360200000.0
Nagpur,2021,Kamathi,1581.0,11538.0,1153800000.0
Nagpur,2021,Nagpur (Gra),24860.0,141913.0,14191300000.0
Nagpur,2021,Nagpur (Sh),2668.0,19818.0,1981800000.0
Nagpur,2021,Hingana,2373.0,31539.0,3153900000.0
Nagpur,2021,Umred,781.0,4048.0,404800000.0
Nagpur,2021,Kuhi,308.0,1452.0,145200000.0
Nagpur,2021,Bhiwapur,317.0,1450.0,145000000.0
Nanded,2018,Mahur,24.0,119.0,11900000.0
Nanded,2018,Kinvat,29.0,131.0,13100000.0
Nanded,2018,Himalay Nagar,17.0,90.0,9000000.0
Nanded,2018,Hadgaon,112.0,580.0,58000000.0
Nanded,2018,Andhrapur,78.0,379.0,37900000.0
Nanded,2018,Nanded,2152.0,10132.0,1013200000.0
Nanded,2018,Mudkhed,49.0,238.0,23800000.0
Nanded,2018,Bhokar,112.0,543.0,54300000.0
Nanded,2018,Umari,22.0,110.0,11000000.0
Nanded,2018,Dharmabad,33.0,183.0,18300000.0
Nanded,2018,Biloli,27.0,142.0,14200000.0
Nanded,2018,Naygaon,92.0,643.0,64300000.0
Nanded,2018,Loha,124.0,601.0,60100000.0
Nanded,2018,Kandhar,61.0,296.0,29600000.0
Nanded,2018,Mukhed,75.0,396.0,39600000.0
Nanded,2018,Deglur,75.0,364.0,36400000.0
Nanded,2019,Mahur,61.0,0.00079,79.0
Nanded,2019,Kinvat,275.0,0.0047,470.0
Nanded,2019,Himalay Nagar,81.0,0.00111,111.0
Nanded,2019,Hadgaon,277.0,0.00528,528.0
Nanded,2019,Andhrapur,224.0,0.00436,436.0
Nanded,2019,Nanded,2242.0,0.05065,5065.0
Nanded,2019,Mudkhed,154.0,0.00324,324.0
Nanded,2019,Bhokar,54.0,0.00191,191.0
Nanded,2019,Umari,86.0,0.0012,120.0
Nanded,2019,Dharmabad,121.0,0.0038,380.0
Nanded,2019,Biloli,75.0,0.00282,282.0
Nanded,2019,Naygaon,428.0,0.00375,375.0
Nanded,2019,Loha,274.0,0.00563,563.0
Nanded,2019,Kandhar,274.0,0.00304,304.0
Nanded,2019,Mukhed,146.0,0.00333,333.0
Nanded,2019,Deglur,347.0,0.0032,320.0
Nanded,2020,Mahur,111.0,0.00107,107.0
Nanded,2020,Kinvat,375.0,0.00587,587.0
Nanded,2020,Himalay Nagar,161.0,0.00163,163.0
Nanded,2020,Hadgaon,397.0,0.00726,726.0
Nanded,2020,Andhrapur,294.0,0.00513,513.0
Nanded,2020,Nanded,4044.0,0.05267,5267.0
Nanded,2020,Mudkhed,204.0,0.00378,378.0
Nanded,2020,Bhokar,134.0,0.00234,234.0
Nanded,2020,Umari,206.0,0.00207,207.0
Nanded,2020,Dharmabad,201.0,0.00481,481.0
Nanded,2020,Biloli,125.0,0.00316,316.0
Nanded,2020,Naygaon,498.0,0.00432,432.0
Nanded,2020,Loha,314.0,0.00612,612.0
Nanded,2020,Kandhar,324.0,0.00402,402.0
Nanded,2020,Mukhed,186.0,0.00412,412.0
Nanded,2020,Deglur,378.0,0.00373,373.0
Nanded,2021,Mahur,444.0,428.0,42800000.0
Nanded,2021,Kinvat,1500.0,2348.0,234800000.0
Nanded,2021,Himalay Nagar,644.0,652.0,65200000.0
Nanded,2021,Hadgaon,1588.0,2904.0,290400000.0
Nanded,2021,Andhrapur,1176.0,2052.0,205200000.0
Nanded,2021,Nanded,16176.0,21068.0,2106800000.0
Nanded,2021,Mudkhed,816.0,1512.0,151200000.0
Nanded,2021,Bhokar,536.0,936.0,93600000.0
Nanded,2021,Umari,824.0,828.0,82800000.0
Nanded,2021,Dharmabad,804.0,1924.0,192400000.0
Nanded,2021,Biloli,500.0,1264.0,126400000.0
Nanded,2021,Naygaon,1992.0,1728.0,172800000.0
Nanded,2021,Loha,1256.0,2448.0,244800000.0
Nanded,2021,Kandhar,1296.0,1608.0,160800000.0
Nanded,2021,Mukhed,744.0,1648.0,164800000.0
Nanded,2021,Deglur,1512.0,1402.0,140200000.0
Nandurbar,2018,Akkalkuva,50.0,206.0,20600000.0
Nandurbar,2018,Akrani,15.0,49.0,4900000.0
Nandurbar,2018,Taloda,51.0,210.0,21000000.0
Nandurbar,2018,Shahada,178.0,1191.0,119100000.0
Nandurbar,2018,Nandurbar,404.0,1796.0,179600000.0
Nandurbar,2018,Navapur,157.0,1227.0,122700000.0
Nandurbar,2019,Akkalkuva,59.0,219.0,21900000.0
Nandurbar,2019,Akrani,20.0,119.0,11900000.0
Nandurbar,2019,Taloda,127.0,454.0,45400000.0
Nandurbar,2019,Shahada,415.0,1517.0,151700000.0
Nandurbar,2019,Nandurbar,832.0,2468.0,246800000.0
Nandurbar,2019,Navapur,228.0,1465.0,146500000.0
Nandurbar,2020,Akkalkuva,37.0,116.0,11600000.0
Nandurbar,2020,Akrani,12.0,34.0,3400000.0
Nandurbar,2020,Taloda,46.0,93.0,9300000.0
Nandurbar,2020,Shahada,336.0,1144.0,114400000.0
Nandurbar,2020,Nandurbar,477.0,1394.0,139400000.0
Nandurbar,2020,Navapur,167.0,773.0,77300000.0
Nandurbar,2021,Akkalkuva,137.0,836.0,83600000.0
Nandurbar,2021,Akrani,96.0,568.0,56800000.0
Nandurbar,2021,Taloda,542.0,1115.0,111500000.0
Nandurbar,2021,Shahada,846.0,3014.0,301400000.0
Nandurbar,2021,Nandurbar,1666.0,8015.0,801500000.0
Nandurbar,2021,Navapur,772.0,2841.0,284100000.0
Nashik,2018,Surgana,,,
Nashik,2018,Kalwan,,,
Nashik,2018,Devala,,,
Nashik,2018,Baglan,,,
Nashik,2018,Malegaon,,,
Nashik,2018,Nandgaon,,,
Nashik,2018,Chandwad,,,
Nashik,2018,Dindori,,,
Nashik,2018,Peth,,,
Nashik,2018,Trimbak,,,
Nashik,2018,Nashik,41995.0,335321.0,33532100000.0
Nashik,2018,Igatpuri,,,
Nashik,2018,Sinner,,,
Nashik,2018,Nifad,,,
Nashik,2018,Yewala,,,
Nashik,2019,Surgana,,,
Nashik,2019,Kalwan,,,
Nashik,2019,Devala,,,
Nashik,2019,Baglan,,,
Nashik,2019,Malegaon,,,
Nashik,2019,Nandgaon,,,
Nashik,2019,Chandwad,,,
Nashik,2019,Dindori,,,
Nashik,2019,Peth,,,
Nashik,2019,Trimbak,,,
Nashik,2019,Nashik,61562.0,321074.0,32107400000.0
Nashik,2019,Igatpuri,,,
Nashik,2019,Sinner,,,
Nashik,2019,Nifad,,,
Nashik,2019,Yewala,,,
Nashik,2020,Surgana,,,
Nashik,2020,Kalwan,,,
Nashik,2020,Devala,,,
Nashik,2020,Baglan,,,
Nashik,2020,Malegaon,,,
Nashik,2020,Nandgaon,,,
Nashik,2020,Chandwad,,,
Nashik,2020,Dindori,,,
Nashik,2020,Peth,,,
Nashik,2020,Trimbak,,,
Nashik,2020,Nashik,53437.0,289661.0,28966100000.0
Nashik,2020,Igatpuri,,,
Nashik,2020,Sinner,,,
Nashik,2020,Nifad,,,
Nashik,2020,Yewala,,,
Nashik,2021,Surgana,200.0,0.025,2500.0
Nashik,2021,Kalwan,900.0,0.0753,7530.0
Nashik,2021,Devala,970.0,0.071,7100.0
Nashik,2021,Baglan,600.0,0.051,5100.0
Nashik,2021,Malegaon,7262.0,0.68,68000.0
Nashik,2021,Nandgaon,1120.0,0.081,8100.0
Nashik,2021,Chandwad,900.0,0.075,7500.0
Nashik,2021,Dindori,2771.0,0.34,34000.0
Nashik,2021,Peth,1301.0,0.12,12000.0
Nashik,2021,Trimbak,210.0,0.017,1700.0
Nashik,2021,Nashik,41570.0,8.17,817000.0
Nashik,2021,Igatpuri,1100.0,0.17,17000.0
Nashik,2021,Sinner,4100.0,0.31,31000.0
Nashik,2021,Nifad,2714.0,0.24,24000.0
Nashik,2021,Yewala,1901.0,0.16,16000.0
Dharashiv,2018,Paranda,127.0,0.015,1500.0
Dharashiv,2018,Bhum,129.0,0.023,2300.0
Dharashiv,2018,Washi,95.0,0.017,1700.0
Dharashiv,2018,Kalamb,217.0,0.032,3200.0
Dharashiv,2018,Dharashiv,591.0,0.098,9800.0
Dharashiv,2018,Tuljapur,371.0,0.035,3500.0
Dharashiv,2018,Lohara,119.0,0.013,1300.0
Dharashiv,2018,Umaraga,545.0,0.075,7500.0
Dharashiv,2019,Paranda,56.0,0.006,600.0
Dharashiv,2019,Bhum,77.0,0.003,300.0
Dharashiv,2019,Washi,92.0,0.005,500.0
Dharashiv,2019,Kalamb,147.0,0.009,900.0
Dharashiv,2019,Dharashiv,475.0,0.025,2500.0
Dharashiv,2019,Tuljapur,134.0,0.011,1100.0
Dharashiv,2019,Lohara,60.0,0.005,500.0
Dharashiv,2019,Umaraga,91.0,0.006,600.0
Dharashiv,2020,Paranda,68.0,0.00249,249.0
Dharashiv,2020,Bhum,174.0,0.00633,633.0
Dharashiv,2020,Washi,56.0,0.00264,264.0
Dharashiv,2020,Kalamb,208.0,0.00877,877.0
Dharashiv,2020,Dharashiv,475.0,0.0223,2230.0
Dharashiv,2020,Tuljapur,134.0,0.00893,893.0
Dharashiv,2020,Lohara,86.0,0.00331,331.0
Dharashiv,2020,Umaraga,133.0,0.00794,794.0
Dharashiv,2021,Paranda,612.0,0.0024,240.0
Dharashiv,2021,Bhum,1394.0,0.0052,520.0
Dharashiv,2021,Washi,761.0,0.00357,357.0
Dharashiv,2021,Kalamb,2084.0,0.01197,1197.0
Dharashiv,2021,Dharashiv,4337.0,0.02139,2139.0
Dharashiv,2021,Tuljapur,1459.0,0.00677,677.0
Dharashiv,2021,Lohara,374.0,0.00188,188.0
Dharashiv,2021,Umaraga,1243.0,0.00575,575.0
Palghar,2018,Talasari,126.0,0.01,1000.0
Palghar,2018,Dahanu,688.0,0.03,3000.0
Palghar,2018,Vikramgad,76.0,,
Palghar,2018,Javhar,76.0,,
Palghar,2018,Mokhada,5.0,,
Palghar,2018,Wada,394.0,0.03,3000.0
Palghar,2018,Palghar,12871.0,0.55,55000.0
Palghar,2018,Vasai,11832.0,0.49,49000.0
Palghar,2019,Talasari,167.0,0.01,1000.0
Palghar,2019,Dahanu,738.0,0.03,3000.0
Palghar,2019,Vikramgad,148.0,0.01,1000.0
Palghar,2019,Javhar,150.0,0.01,1000.0
Palghar,2019,Mokhada,39.0,0.0,
Palghar,2019,Wada,894.0,0.05,5000.0
Palghar,2019,Palghar,12608.0,0.52,52000.0
Palghar,2019,Vasai,11810.0,0.49,49000.0
Palghar,2020,Talasari,24.0,0.0,
Palghar,2020,Dahanu,1161.0,0.03,3000.0
Palghar,2020,Vikramgad,16.0,0.0,
Palghar,2020,Javhar,16.0,0.0,
Palghar,2020,Mokhada,2.0,0.0,
Palghar,2020,Wada,188.0,0.0,
Palghar,2020,Palghar,2001.0,0.1,10000.0
Palghar,2020,Vasai,975.0,0.06,6000.0
Palghar,2021,Talasari,182.0,0.01,1000.0
Palghar,2021,Dahanu,474.0,0.02,2000.0
Palghar,2021,Vikramgad,83.0,0.0,
Palghar,2021,Javhar,140.0,0.01,1000.0
Palghar,2021,Mokhada,54.0,0.0,
Palghar,2021,Wada,438.0,0.02,2000.0
Palghar,2021,Palghar,6199.0,0.28,28000.0
Palghar,2021,Vasai,4434.0,0.22,22000.0
Parbhani,2018,Selu,95.0,0.0091,910.0
Parbhani,2018,Jintur,78.0,0.0083,830.0
Parbhani,2018,Parbhani,785.0,0.0825,8250.0
Parbhani,2018,Manvat,82.0,0.0079,790.0
Parbhani,2018,Pathari,71.0,0.00742,742.0
Parbhani,2018,Sonpeth,30.0,0.00315,315.0
Parbhani,2018,Gangakhed,85.0,0.0089,890.0
Parbhani,2018,Palam,27.0,0.0032,320.0
Parbhani,2018,Purna,69.0,0.00715,715.0
Parbhani,2019,Selu,111.0,0.00472,472.0
Parbhani,2019,Jintur,415.0,0.01541,1541.0
Parbhani,2019,Parbhani,1997.0,0.07086,7086.0
Parbhani,2019,Manvat,121.0,0.00387,387.0
Parbhani,2019,Pathari,176.0,0.00507,507.0
Parbhani,2019,Sonpeth,129.0,0.00394,394.0
Parbhani,2019,Gangakhed,318.0,0.00985,985.0
Parbhani,2019,Palam,106.0,0.00313,313.0
Parbhani,2019,Purna,256.0,0.00796,796.0
Parbhani,2020,Selu,111.0,0.0047,470.0
Parbhani,2020,Jintur,415.0,0.0154,1540.0
Parbhani,2020,Parbhani,1997.0,0.0709,7090.0
Parbhani,2020,Manvat,121.0,0.0039,390.0
Parbhani,2020,Pathari,176.0,0.0051,510.0
Parbhani,2020,Sonpeth,129.0,0.0039,390.0
Parbhani,2020,Gangakhed,318.0,0.0099,990.0
Parbhani,2020,Palam,106.0,0.0031,310.0
Parbhani,2020,Purna,256.0,0.008,800.0
Parbhani,2021,Selu,122.0,0.0051,510.0
Parbhani,2021,Jintur,457.0,0.0059,590.0
Parbhani,2021,Parbhani,2197.0,0.078,7800.0
Parbhani,2021,Manvat,133.0,0.0043,430.0
Parbhani,2021,Pathari,194.0,0.0056,560.0
Parbhani,2021,Sonpeth,142.0,0.0043,430.0
Parbhani,2021,Gangakhed,350.0,0.0108,1080.0
Parbhani,2021,Palam,116.0,0.0034,340.0
Parbhani,2021,Purna,281.0,0.0016,160.0
Pune,2018,Junnar,1179.0,0.05691,5691.0
Pune,2018,Aambegaon,2503.0,0.11188,11188.0
Pune,2018,Shirur,3144.0,0.28316,28316.0
Pune,2018,Khed,5075.0,0.5511,55110.0
Pune,2018,Maval,1526.0,0.10248,10248.0
Pune,2018,Mulashi,1814.0,0.17932,17932.0
Pune,2018,Haveli,110627.0,7.91448,791448.0
Pune,2018,Pune City,1190.0,0.06319,6319.0
Pune,2018,Daund,2004.0,0.16155,16155.0
Pune,2018,Purandar,912.0,0.0802,8020.0
Pune,2018,Welhe,54.0,0.00178,178.0
Pune,2018,Bhor,1372.0,0.10669,10669.0
Pune,2018,Baramati,3593.0,0.23043,23043.0
Pune,2018,Indapur,1638.0,0.1051,10510.0
Pune,2019,Junnar,3466.0,0.15,15000.0
Pune,2019,Aambegaon,2174.0,0.11,11000.0
Pune,2019,Shirur,7277.0,0.55,55000.0
Pune,2019,Khed,13455.0,1.06,106000.0
Pune,2019,Maval,6046.0,0.33,33000.0
Pune,2019,Mulashi,7167.0,0.6,60000.0
Pune,2019,Haveli,149952.0,9.9,990000.0
Pune,2019,Pune City,25007.0,1.77,177000.0
Pune,2019,Daund,4333.0,0.28,28000.0
Pune,2019,Purandar,2677.0,0.16,16000.0
Pune,2019,Welhe,87.0,0.0,
Pune,2019,Bhor,2480.0,0.16,16000.0
Pune,2019,Baramati,6427.0,0.37,37000.0
Pune,2019,Indapur,4136.0,0.21,21000.0
Pune,2020,Junnar,3946.0,0.17,17000.0
Pune,2020,Aambegaon,2475.0,0.12,12000.0
Pune,2020,Shirur,8283.0,0.62,62000.0
Pune,2020,Khed,15319.0,1.21,121000.0
Pune,2020,Maval,6883.0,0.38,38000.0
Pune,2020,Mulashi,8160.0,0.65,65000.0
Pune,2020,Haveli,170723.0,10.54,1054000.0
Pune,2020,Pune City,28471.0,2.01,201000.0
Pune,2020,Daund,4933.0,0.32,32000.0
Pune,2020,Purandar,3047.0,0.16,16000.0
Pune,2020,Welhe,97.0,0.01,1000.0
Pune,2020,Bhor,2829.0,0.14,14000.0
Pune,2020,Baramati,7317.0,0.4,40000.0
Pune,2020,Indapur,4709.0,0.22,22000.0
Pune,2021,Junnar,5841.0,0.26,26000.0
Pune,2021,Aambegaon,2767.0,0.13,13000.0
Pune,2021,Shirur,9129.0,0.62,62000.0
Pune,2021,Khed,13850.0,0.98,98000.0
Pune,2021,Maval,7060.0,0.38,38000.0
Pune,2021,Mulashi,3215.0,0.21,21000.0
Pune,2021,Haveli,64129.0,3.69,369000.0
Pune,2021,Pune City,111057.0,8.15,815000.0
Pune,2021,Daund,5605.0,0.29,29000.0
Pune,2021,Purandar,3631.0,0.15,15000.0
Pune,2021,Welhe,570.0,0.02,2000.0
Pune,2021,Bhor,3038.0,0.19,19000.0
Pune,2021,Baramati,8210.0,0.41,41000.0
Pune,2021,Indapur,5235.0,0.22,22000.0
Raigad,2018,Uran,691.0,0.037,3700.0
Raigad,2018,Panwel,6962.0,0.268,26800.0
Raigad,2018,Karjat,596.0,0.024,2400.0
Raigad,2018,Khalapur,792.0,0.042,4200.0
Raigad,2018,Pen,434.0,0.024,2400.0
Raigad,2018,Alibag,356.0,0.018,1800.0
Raigad,2018,Murud,98.0,0.004,400.0
Raigad,2018,Roha,616.0,0.025,2500.0
Raigad,2018,Sudhagad,124.0,0.007,700.0
Raigad,2018,Mangaon,378.0,0.014,1400.0
Raigad,2018,Tala,187.0,0.005,500.0
Raigad,2018,Shreevardhan,53.0,0.003,300.0
Raigad,2018,Mhasala,22.0,0.0,
Raigad,2018,Mahad,535.0,0.022,2200.0
Raigad,2018,Poladpur,97.0,0.003,300.0
Raigad,2019,Uran,1056.0,0.046,4600.0
Raigad,2019,Panwel,8469.0,0.314,31400.0
Raigad,2019,Karjat,1053.0,0.039,3900.0
Raigad,2019,Khalapur,1204.0,0.063,6300.0
Raigad,2019,Pen,963.0,0.061,6100.0
Raigad,2019,Alibag,706.0,0.029,2900.0
Raigad,2019,Murud,194.0,0.007,700.0
Raigad,2019,Roha,762.0,0.044,4400.0
Raigad,2019,Sudhagad,193.0,0.007,700.0
Raigad,2019,Mangaon,580.0,0.018,1800.0
Raigad,2019,Tala,216.0,0.007,700.0
Raigad,2019,Shreevardhan,114.0,0.003,300.0
Raigad,2019,Mhasala,32.0,0.001,100.0
Raigad,2019,Mahad,919.0,0.038,3800.0
Raigad,2019,Poladpur,125.0,0.004,400.0
Raigad,2020,Uran,1032.0,0.064,6400.0
Raigad,2020,Panwel,7822.0,0.37,37000.0
Raigad,2020,Karjat,781.0,0.038,3800.0
Raigad,2020,Khalapur,911.0,0.091,9100.0
Raigad,2020,Pen,884.0,0.088,8800.0
Raigad,2020,Alibag,780.0,0.036,3600.0
Raigad,2020,Murud,181.0,0.008,800.0
Raigad,2020,Roha,868.0,0.045,4500.0
Raigad,2020,Sudhagad,182.0,0.009,900.0
Raigad,2020,Mangaon,524.0,0.024,2400.0
Raigad,2020,Tala,198.0,0.007,700.0
Raigad,2020,Shreevardhan,116.0,0.005,500.0
Raigad,2020,Mhasala,17.0,0.001,100.0
Raigad,2020,Mahad,874.0,0.047,4700.0
Raigad,2020,Poladpur,107.0,0.005,500.0
Raigad,2021,Uran,25204.0,1.065,106500.0
Raigad,2021,Panwel,53508.0,3.045,304500.0
Raigad,2021,Karjat,915.0,0.045,4500.0
Raigad,2021,Khalapur,1015.0,0.099,9900.0
Raigad,2021,Pen,1126.0,0.092,9200.0
Raigad,2021,Alibag,966.0,0.052,5200.0
Raigad,2021,Murud,204.0,0.009,900.0
Raigad,2021,Roha,1053.0,0.084,8400.0
Raigad,2021,Sudhagad,256.0,0.01,1000.0
Raigad,2021,Mangaon,852.0,0.029,2900.0
Raigad,2021,Tala,216.0,0.009,900.0
Raigad,2021,Shreevardhan,185.0,0.007,700.0
Raigad,2021,Mhasala,29.0,0.003,300.0
Raigad,2021,Mahad,1125.0,0.092,9200.0
Raigad,2021,Poladpur,154.0,0.007,700.0
Ratnagiri,2018,Mandangad,0.0,0.0,
Ratnagiri,2018,Dapoli,7.0,102.0,10200000.0
Ratnagiri,2018,Khed,4.0,64.0,6400000.0
Ratnagiri,2018,Chiplun,11.0,113.0,11300000.0
Ratnagiri,2018,Guhagar,0.0,0.0,
