District,Year,Select Industry,Govt. Employees,Semi-Govt. Employees,Private Employees
Ahilyanagar,2021,Agriculture,1566.0,441,371
Ahilyanagar,2021,Mining,117.0,44,52524
Ahilyanagar,2021,Commodity Manufacturing,0.0,2551,2028
Ahilyanagar,2021,"Electricity Generation, Gas, Water And Sewage Services",161.0,0,13
Ahilyanagar,2021,Construction,1601.0,2002,621
Ahilyanagar,2021,Wholesale And Retail Trade And Hotel Business,705.0,3938,3512
Ahilyanagar,2021,"Transportation, Warehousing And Transportation",145.0,52,1090
Ahilyanagar,2021,"Finance, Insurance, Real Estate And Trade Services",0.0,4877,6932
Ahilyanagar,2021,"Collective, Social And Individual Service",20312.0,320,1961
Akola,2012,Agriculture,916.0,0,0
Akola,2012,Mining,17.0,25,97
Akola,2012,Commodity Manufacturing,289.0,0,2006
Akola,2012,"Electricity Generation, Gas, Water And Sewage Services",2299.0,0,0
Akola,2012,Construction,1325.0,292,0
Akola,2012,Wholesale And Retail Trade And Hotel Business,379.0,108,399
Akola,2012,"Transportation, Warehousing And Transportation",3552.0,0,88
Akola,2012,"Finance, Insurance, Real Estate And Trade Services",4085.0,0,1972
Akola,2012,"Collective, Social And Individual Service",5164.0,9118,9939
Akola,2013,Agriculture,905.0,0,0
Akola,2013,Mining,16.0,25,98
Akola,2013,Commodity Manufacturing,281.0,0,2023
Akola,2013,"Electricity Generation, Gas, Water And Sewage Services",2273.0,0,0
Akola,2013,Construction,1327.0,302,0
Akola,2013,Wholesale And Retail Trade And Hotel Business,371.0,110,401
Akola,2013,"Transportation, Warehousing And Transportation",3545.0,0,92
Akola,2013,"Finance, Insurance, Real Estate And Trade Services",4073.0,0,1995
Akola,2013,"Collective, Social And Individual Service",5313.0,9187,9991
Akola,2014,Agriculture,894.0,52,0
Akola,2014,Mining,12.0,11,89
Akola,2014,Commodity Manufacturing,269.0,0,1823
Akola,2014,"Electricity Generation, Gas, Water And Sewage Services",2201.0,64,0
Akola,2014,Construction,1251.0,283,0
Akola,2014,Wholesale And Retail Trade And Hotel Business,392.0,93,462
Akola,2014,"Transportation, Warehousing And Transportation",3459.0,103,89
Akola,2014,"Finance, Insurance, Real Estate And Trade Services",4003.0,0,2095
Akola,2014,"Collective, Social And Individual Service",5223.0,8992,9193
Akola,2016,Agriculture,931.0,57,7
Akola,2016,Mining,17.0,21,97
Akola,2016,Commodity Manufacturing,321.0,0,1901
Akola,2016,"Electricity Generation, Gas, Water And Sewage Services",193.0,2421,0
Akola,2016,Construction,1329.0,341,0
Akola,2016,Wholesale And Retail Trade And Hotel Business,523.0,163,517
Akola,2016,"Transportation, Warehousing And Transportation",407.0,4801,93
Akola,2016,"Finance, Insurance, Real Estate And Trade Services",3301.0,0,1953
Akola,2016,"Collective, Social And Individual Service",7329.0,9517,7793
Akola,2017,Agriculture,939.0,63,19
Akola,2017,Mining,22.0,23,107
Akola,2017,Commodity Manufacturing,324.0,0,1920
Akola,2017,"Electricity Generation, Gas, Water And Sewage Services",195.0,2445,0
Akola,2017,Construction,1342.0,344,0
Akola,2017,Wholesale And Retail Trade And Hotel Business,528.0,165,522
Akola,2017,"Transportation, Warehousing And Transportation",411.0,4849,102
Akola,2017,"Finance, Insurance, Real Estate And Trade Services",3334.0,0,2343
Akola,2017,"Collective, Social And Individual Service",7922.0,10466,14943
Akola,2018,Agriculture,948.0,100,25
Akola,2018,Mining,22.0,0,0
Akola,2018,Commodity Manufacturing,350.0,0,1950
Akola,2018,"Electricity Generation, Gas, Water And Sewage Services",195.0,2445,0
Akola,2018,Construction,1350.0,348,0
Akola,2018,Wholesale And Retail Trade And Hotel Business,532.0,168,510
Akola,2018,"Transportation, Warehousing And Transportation",415.0,4858,109
Akola,2018,"Finance, Insurance, Real Estate And Trade Services",3434.0,0,2433
Akola,2018,"Collective, Social And Individual Service",7925.0,10333,14950
Akola,2019,Agriculture,950.0,110,50
Akola,2019,Mining,22.0,0,0
Akola,2019,Commodity Manufacturing,350.0,0,1950
Akola,2019,"Electricity Generation, Gas, Water And Sewage Services",195.0,2445,0
Akola,2019,Construction,1355.0,348,0
Akola,2019,Wholesale And Retail Trade And Hotel Business,535.0,170,535
