Year,District,Month,Crash Type,Number of Crashes
2020,Nagpur,April,Fatal Crashes,13
2020,Nagpur,May,Fatal Crashes,24
2020,Nagpur,June,Fatal Crashes,43
2020,Nagpur,July,Fatal Crashes,34
2020,Nagpur,August,Fatal Crashes,52
2020,Nagpur,September,Fatal Crashes,46
2020,Nagpur,October,Fatal Crashes,51
2020,Nagpur,November,Fatal Crashes,64
2020,Nagpur,December,Fatal Crashes,75
2020,Nanded,January,Fatal Crashes,25
2020,Nanded,February,Fatal Crashes,27
2020,Nanded,March,Fatal Crashes,25
2020,Nanded,April,Fatal Crashes,5
2020,Nanded,May,Fatal Crashes,12
2020,Nanded,June,Fatal Crashes,29
2020,Nanded,July,Fatal Crashes,16
2020,Nanded,August,Fatal Crashes,19
2020,Nanded,September,Fatal Crashes,19
2020,Nanded,October,Fatal Crashes,22
2020,Nanded,November,Fatal Crashes,16
2020,Nanded,December,Fatal Crashes,34
2020,Nandurbar,January,Fatal Crashes,11
2020,Nandurbar,February,Fatal Crashes,13
2020,Nandurbar,March,Fatal Crashes,12
2020,Nandurbar,April,Fatal Crashes,2
2020,Nandurbar,May,Fatal Crashes,9
2020,Nandurbar,June,Fatal Crashes,14
2020,Nandurbar,July,Fatal Crashes,8
2020,Nandurbar,August,Fatal Crashes,9
2020,Nandurbar,September,Fatal Crashes,9
2020,Nandurbar,October,Fatal Crashes,8
2020,Nandurbar,November,Fatal Crashes,17
2020,Nandurbar,December,Fatal Crashes,18
2020,Nashik,January,Fatal Crashes,82
2020,Nashik,February,Fatal Crashes,65
2020,Nashik,March,Fatal Crashes,75
2020,Nashik,April,Fatal Crashes,25
2020,Nashik,May,Fatal Crashes,70
2020,Nashik,June,Fatal Crashes,74
2020,Nashik,July,Fatal Crashes,55
2020,Nashik,August,Fatal Crashes,81
2020,Nashik,September,Fatal Crashes,69
2020,Nashik,October,Fatal Crashes,94
2020,Nashik,November,Fatal Crashes,92
2020,Nashik,December,Fatal Crashes,126
2020,Dharashiv,January,Fatal Crashes,26
2020,Dharashiv,February,Fatal Crashes,24
2020,Dharashiv,March,Fatal Crashes,32
2020,Dharashiv,April,Fatal Crashes,32
2020,Dharashiv,May,Fatal Crashes,6
2020,Dharashiv,June,Fatal Crashes,13
2020,Dharashiv,July,Fatal Crashes,15
2020,Dharashiv,August,Fatal Crashes,14
2020,Dharashiv,September,Fatal Crashes,22
2020,Dharashiv,October,Fatal Crashes,19
2020,Dharashiv,November,Fatal Crashes,37
2020,Dharashiv,December,Fatal Crashes,29
2020,Palghar,January,Fatal Crashes,45
2020,Palghar,February,Fatal Crashes,38
2020,Palghar,March,Fatal Crashes,37
2020,Palghar,April,Fatal Crashes,6
2020,Palghar,May,Fatal Crashes,21
2020,Palghar,June,Fatal Crashes,29
2020,Palghar,July,Fatal Crashes,13
2020,Palghar,August,Fatal Crashes,37
2020,Palghar,September,Fatal Crashes,26
2020,Palghar,October,Fatal Crashes,17
2020,Palghar,November,Fatal Crashes,28
2020,Palghar,December,Fatal Crashes,21
2020,Parbhani,January,Fatal Crashes,6
2020,Parbhani,February,Fatal Crashes,10
2020,Parbhani,March,Fatal Crashes,13
2020,Parbhani,April,Fatal Crashes,1
2020,Parbhani,May,Fatal Crashes,8
2020,Parbhani,June,Fatal Crashes,8
2020,Parbhani,July,Fatal Crashes,8
2020,Parbhani,August,Fatal Crashes,13
2020,Parbhani,September,Fatal Crashes,9
2020,Parbhani,October,Fatal Crashes,6
2020,Parbhani,November,Fatal Crashes,16
2020,Parbhani,December,Fatal Crashes,14
2020,Pune,January,Fatal Crashes,117
2020,Pune,February,Fatal Crashes,107
2020,Pune,March,Fatal Crashes,69
2020,Pune,April,Fatal Crashes,21
2020,Pune,May,Fatal Crashes,61
2020,Pune,June,Fatal Crashes,63
2020,Pune,July,Fatal Crashes,86
2020,Pune,August,Fatal Crashes,69
2020,Pune,September,Fatal Crashes,90
2020,Pune,October,Fatal Crashes,96
2020,Pune,November,Fatal Crashes,111
2020,Pune,December,Fatal Crashes,144
2020,Raigad,January,Fatal Crashes,17
2020,Raigad,February,Fatal Crashes,21
2020,Raigad,March,Fatal Crashes,23
2020,Raigad,April,Fatal Crashes,6
2020,Raigad,May,Fatal Crashes,9
2020,Raigad,June,Fatal Crashes,11
2020,Raigad,July,Fatal Crashes,12
2020,Raigad,August,Fatal Crashes,12
2020,Raigad,September,Fatal Crashes,10
2020,Raigad,October,Fatal Crashes,19
2020,Raigad,November,Fatal Crashes,18
2020,Raigad,December,Fatal Crashes,26
2020,Ratnagiri,January,Fatal Crashes,10
2020,Ratnagiri,February,Fatal Crashes,13
2020,Ratnagiri,March,Fatal Crashes,6
2020,Ratnagiri,April,Fatal Crashes,0
2020,Ratnagiri,May,Fatal Crashes,6
2020,Ratnagiri,June,Fatal Crashes,9
2020,Ratnagiri,July,Fatal Crashes,6
2020,Ratnagiri,August,Fatal Crashes,10
2020,Ratnagiri,September,Fatal Crashes,9
2020,Ratnagiri,October,Fatal Crashes,6
2020,Ratnagiri,November,Fatal Crashes,8
2020,Ratnagiri,December,Fatal Crashes,12
2020,Sangli,January,Fatal Crashes,30
2020,Sangli,February,Fatal Crashes,43
2020,Sangli,March,Fatal Crashes,18
2020,Sangli,April,Fatal Crashes,10
2020,Sangli,May,Fatal Crashes,25
2020,Sangli,June,Fatal Crashes,17
2020,Sangli,July,Fatal Crashes,11
2020,Sangli,August,Fatal Crashes,17
2020,Sangli,September,Fatal Crashes,13
2020,Sangli,October,Fatal Crashes,23
2020,Sangli,November,Fatal Crashes,21
2020,Sangli,December,Fatal Crashes,32
2020,Satara,January,Fatal Crashes,35
2020,Satara,February,Fatal Crashes,30
2020,Satara,March,Fatal Crashes,40
2020,Satara,April,Fatal Crashes,11
2020,Satara,May,Fatal Crashes,15
2020,Satara,June,Fatal Crashes,20
2020,Satara,July,Fatal Crashes,12
2020,Satara,August,Fatal Crashes,18
2020,Satara,September,Fatal Crashes,22
2020,Satara,October,Fatal Crashes,40
2020,Satara,November,Fatal Crashes,39
2020,Satara,December,Fatal Crashes,51
2020,Sindhudurg,January,Fatal Crashes,8
2020,Sindhudurg,February,Fatal Crashes,5
2020,Sindhudurg,March,Fatal Crashes,7
2020,Sindhudurg,April,Fatal Crashes,2
2020,Sindhudurg,May,Fatal Crashes,5
2020,Sindhudurg,June,Fatal Crashes,3
2020,Sindhudurg,July,Fatal Crashes,1
2020,Sindhudurg,August,Fatal Crashes,4
2020,Sindhudurg,September,Fatal Crashes,1
2020,Sindhudurg,October,Fatal Crashes,2
2020,Sindhudurg,November,Fatal Crashes,6
2020,Sindhudurg,December,Fatal Crashes,2
2020,Solapur,January,Fatal Crashes,62
2020,Solapur,February,Fatal Crashes,45
2020,Solapur,March,Fatal Crashes,34
2020,Solapur,April,Fatal Crashes,10
2020,Solapur,May,Fatal Crashes,17
2020,Solapur,June,Fatal Crashes,24
2020,Solapur,July,Fatal Crashes,25
2020,Solapur,August,Fatal Crashes,39
2020,Solapur,September,Fatal Crashes,33
2020,Solapur,October,Fatal Crashes,50
2020,Solapur,November,Fatal Crashes,59
2020,Solapur,December,Fatal Crashes,58
2020,Thane,January,Fatal Crashes,44
2020,Thane,February,Fatal Crashes,41
2020,Thane,March,Fatal Crashes,27
2020,Thane,April,Fatal Crashes,8
2020,Thane,May,Fatal Crashes,24
2020,Thane,June,Fatal Crashes,38
2020,Thane,July,Fatal Crashes,25
2020,Thane,August,Fatal Crashes,23
2020,Thane,September,Fatal Crashes,32
2020,Thane,October,Fatal Crashes,48
2020,Thane,November,Fatal Crashes,61
2020,Thane,December,Fatal Crashes,73
2020,Wardha,January,Fatal Crashes,20
2020,Wardha,February,Fatal Crashes,14
2020,Wardha,March,Fatal Crashes,20
2020,Wardha,April,Fatal Crashes,5
2020,Wardha,May,Fatal Crashes,4
2020,Wardha,June,Fatal Crashes,16
2020,Wardha,July,Fatal Crashes,10
2020,Wardha,August,Fatal Crashes,9
2020,Wardha,September,Fatal Crashes,16
2020,Wardha,October,Fatal Crashes,13
2020,Wardha,November,Fatal Crashes,15
2020,Wardha,December,Fatal Crashes,23
2020,Washim,January,Fatal Crashes,2
2020,Washim,February,Fatal Crashes,10
2020,Washim,March,Fatal Crashes,8
2020,Washim,April,Fatal Crashes,0
2020,Washim,May,Fatal Crashes,8
2020,Washim,June,Fatal Crashes,13
2020,Washim,July,Fatal Crashes,7
2020,Washim,August,Fatal Crashes,34
2020,Washim,September,Fatal Crashes,11
2020,Washim,October,Fatal Crashes,12
2020,Washim,November,Fatal Crashes,12
2020,Washim,December,Fatal Crashes,13
2020,Yavatmal,January,Fatal Crashes,27
2020,Yavatmal,February,Fatal Crashes,40
2020,Yavatmal,March,Fatal Crashes,22
2020,Yavatmal,April,Fatal Crashes,6
2020,Yavatmal,May,Fatal Crashes,17
2020,Yavatmal,June,Fatal Crashes,29
2020,Yavatmal,July,Fatal Crashes,16
2020,Yavatmal,August,Fatal Crashes,17
2020,Yavatmal,September,Fatal Crashes,23
2020,Yavatmal,October,Fatal Crashes,30
2020,Yavatmal,November,Fatal Crashes,34
2020,Yavatmal,December,Fatal Crashes,41
2018,Ahilyanagar,January,Grievous Crashes,66
2018,Ahilyanagar,February,Grievous Crashes,82
2018,Ahilyanagar,March,Grievous Crashes,58
2018,Ahilyanagar,April,Grievous Crashes,41
2018,Ahilyanagar,May,Grievous Crashes,59
2018,Ahilyanagar,June,Grievous Crashes,68
2018,Ahilyanagar,July,Grievous Crashes,43
2018,Ahilyanagar,August,Grievous Crashes,44
2018,Ahilyanagar,September,Grievous Crashes,48
2018,Ahilyanagar,October,Grievous Crashes,81
2018,Ahilyanagar,November,Grievous Crashes,66
2018,Ahilyanagar,December,Grievous Crashes,60
2018,Akola,January,Grievous Crashes,6
2018,Akola,February,Grievous Crashes,11
2018,Akola,March,Grievous Crashes,12
2018,Akola,April,Grievous Crashes,4
2018,Akola,May,Grievous Crashes,10
2018,Akola,June,Grievous Crashes,6
2018,Akola,July,Grievous Crashes,4
2018,Akola,August,Grievous Crashes,20
2018,Akola,September,Grievous Crashes,3
2018,Akola,October,Grievous Crashes,6
2018,Akola,November,Grievous Crashes,14
2018,Akola,December,Grievous Crashes,15
2018,Amravati,January,Grievous Crashes,23
2018,Amravati,February,Grievous Crashes,22
2018,Amravati,March,Grievous Crashes,45
2018,Amravati,April,Grievous Crashes,19
2018,Amravati,May,Grievous Crashes,21
2018,Amravati,June,Grievous Crashes,17
2018,Amravati,July,Grievous Crashes,11
2018,Amravati,August,Grievous Crashes,28
2018,Amravati,September,Grievous Crashes,21
2018,Amravati,October,Grievous Crashes,33
2018,Amravati,November,Grievous Crashes,18
2018,Amravati,December,Grievous Crashes,29
2018,Chh. Sambhaji Nagar,January,Grievous Crashes,72
2018,Chh. Sambhaji Nagar,February,Grievous Crashes,63
2018,Chh. Sambhaji Nagar,March,Grievous Crashes,75
2018,Chh. Sambhaji Nagar,April,Grievous Crashes,67
2018,Chh. Sambhaji Nagar,May,Grievous Crashes,89
2018,Chh. Sambhaji Nagar,June,Grievous Crashes,59
2018,Chh. Sambhaji Nagar,July,Grievous Crashes,47
2018,Chh. Sambhaji Nagar,August,Grievous Crashes,90
2018,Chh. Sambhaji Nagar,September,Grievous Crashes,54
2018,Chh. Sambhaji Nagar,October,Grievous Crashes,81
2018,Chh. Sambhaji Nagar,November,Grievous Crashes,60
2018,Chh. Sambhaji Nagar,December,Grievous Crashes,73
2018,Beed,January,Grievous Crashes,45
2018,Beed,February,Grievous Crashes,20
2018,Beed,March,Grievous Crashes,18
2018,Beed,April,Grievous Crashes,25
2018,Beed,May,Grievous Crashes,38
2018,Beed,June,Grievous Crashes,25
2018,Beed,July,Grievous Crashes,17
2018,Beed,August,Grievous Crashes,31
2018,Beed,September,Grievous Crashes,23
2018,Beed,October,Grievous Crashes,27
2018,Beed,November,Grievous Crashes,25
2018,Beed,December,Grievous Crashes,16
2018,Bhandara,January,Grievous Crashes,20
2018,Bhandara,February,Grievous Crashes,14
2018,Bhandara,March,Grievous Crashes,17
2018,Bhandara,April,Grievous Crashes,34
2018,Bhandara,May,Grievous Crashes,22
2018,Bhandara,June,Grievous Crashes,18
2018,Bhandara,July,Grievous Crashes,17
2018,Bhandara,August,Grievous Crashes,9
2018,Bhandara,September,Grievous Crashes,12
2018,Bhandara,October,Grievous Crashes,19
2018,Bhandara,November,Grievous Crashes,22
2018,Bhandara,December,Grievous Crashes,15
2018,Buldhana,January,Grievous Crashes,42
2018,Buldhana,February,Grievous Crashes,20
2018,Buldhana,March,Grievous Crashes,41
2018,Buldhana,April,Grievous Crashes,46
2018,Buldhana,May,Grievous Crashes,45
2018,Buldhana,June,Grievous Crashes,20
2018,Buldhana,July,Grievous Crashes,14
2018,Buldhana,August,Grievous Crashes,25
2018,Buldhana,September,Grievous Crashes,62
2018,Buldhana,October,Grievous Crashes,22
2018,Buldhana,November,Grievous Crashes,22
2018,Buldhana,December,Grievous Crashes,30
2018,Chandrapur,January,Grievous Crashes,38
2018,Chandrapur,February,Grievous Crashes,12
2018,Chandrapur,March,Grievous Crashes,32
2018,Chandrapur,April,Grievous Crashes,47
2018,Chandrapur,May,Grievous Crashes,34
2018,Chandrapur,June,Grievous Crashes,10
2018,Chandrapur,July,Grievous Crashes,13
2018,Chandrapur,August,Grievous Crashes,34
2018,Chandrapur,September,Grievous Crashes,39
2018,Chandrapur,October,Grievous Crashes,8
2018,Chandrapur,November,Grievous Crashes,20
2018,Chandrapur,December,Grievous Crashes,21
2018,Dhule,January,Grievous Crashes,33
2018,Dhule,February,Grievous Crashes,53
2018,Dhule,March,Grievous Crashes,43
2018,Dhule,April,Grievous Crashes,47
2018,Dhule,May,Grievous Crashes,57
2018,Dhule,June,Grievous Crashes,49
2018,Dhule,July,Grievous Crashes,43
2018,Dhule,August,Grievous Crashes,43
2018,Dhule,September,Grievous Crashes,53
2018,Dhule,October,Grievous Crashes,42
2018,Dhule,November,Grievous Crashes,59
2018,Dhule,December,Grievous Crashes,35
2018,Gadchiroli,January,Grievous Crashes,20
2018,Gadchiroli,February,Grievous Crashes,24
2018,Gadchiroli,March,Grievous Crashes,22
2018,Gadchiroli,April,Grievous Crashes,41
2018,Gadchiroli,May,Grievous Crashes,65
2018,Gadchiroli,June,Grievous Crashes,5
2018,Gadchiroli,July,Grievous Crashes,12
2018,Gadchiroli,August,Grievous Crashes,22
2018,Gadchiroli,September,Grievous Crashes,14
2018,Gadchiroli,October,Grievous Crashes,6
2018,Gadchiroli,November,Grievous Crashes,19
2018,Gadchiroli,December,Grievous Crashes,13
2018,Gondia,January,Grievous Crashes,6
2018,Gondia,February,Grievous Crashes,13
2018,Gondia,March,Grievous Crashes,8
2018,Gondia,April,Grievous Crashes,30
2018,Gondia,May,Grievous Crashes,31
2018,Gondia,June,Grievous Crashes,13
2018,Gondia,July,Grievous Crashes,29
2018,Gondia,August,Grievous Crashes,8
2018,Gondia,September,Grievous Crashes,5
2018,Gondia,October,Grievous Crashes,9
2018,Gondia,November,Grievous Crashes,30
2018,Gondia,December,Grievous Crashes,15
2018,Hingoli,January,Grievous Crashes,20
2018,Hingoli,February,Grievous Crashes,25
2018,Hingoli,March,Grievous Crashes,29
2018,Hingoli,April,Grievous Crashes,35
2018,Hingoli,May,Grievous Crashes,45
2018,Hingoli,June,Grievous Crashes,14
2018,Hingoli,July,Grievous Crashes,20
2018,Hingoli,August,Grievous Crashes,14
2018,Hingoli,September,Grievous Crashes,23
2018,Hingoli,October,Grievous Crashes,22
2018,Hingoli,November,Grievous Crashes,29
2018,Hingoli,December,Grievous Crashes,23
2018,Jalgaon,January,Grievous Crashes,30
2018,Jalgaon,February,Grievous Crashes,43
2018,Jalgaon,March,Grievous Crashes,69
2018,Jalgaon,April,Grievous Crashes,85
2018,Jalgaon,May,Grievous Crashes,49
2018,Jalgaon,June,Grievous Crashes,26
2018,Jalgaon,July,Grievous Crashes,24
2018,Jalgaon,August,Grievous Crashes,27
2018,Jalgaon,September,Grievous Crashes,50
2018,Jalgaon,October,Grievous Crashes,32
2018,Jalgaon,November,Grievous Crashes,72
2018,Jalgaon,December,Grievous Crashes,33
2018,Jalna,January,Grievous Crashes,27
2018,Jalna,February,Grievous Crashes,26
2018,Jalna,March,Grievous Crashes,16
2018,Jalna,April,Grievous Crashes,30
2018,Jalna,May,Grievous Crashes,26
2018,Jalna,June,Grievous Crashes,12
2018,Jalna,July,Grievous Crashes,24
2018,Jalna,August,Grievous Crashes,16
2018,Jalna,September,Grievous Crashes,14
2018,Jalna,October,Grievous Crashes,24
2018,Jalna,November,Grievous Crashes,30
2018,Jalna,December,Grievous Crashes,34
2018,Kolhapur,January,Grievous Crashes,38
2018,Kolhapur,February,Grievous Crashes,51
2018,Kolhapur,March,Grievous Crashes,68
2018,Kolhapur,April,Grievous Crashes,71
2018,Kolhapur,May,Grievous Crashes,76
2018,Kolhapur,June,Grievous Crashes,69
2018,Kolhapur,July,Grievous Crashes,69
2018,Kolhapur,August,Grievous Crashes,50
2018,Kolhapur,September,Grievous Crashes,84
2018,Kolhapur,October,Grievous Crashes,60
2018,Kolhapur,November,Grievous Crashes,49
2018,Kolhapur,December,Grievous Crashes,86
2018,Latur,January,Grievous Crashes,19
2018,Latur,February,Grievous Crashes,23
2018,Latur,March,Grievous Crashes,16
2018,Latur,April,Grievous Crashes,18
2018,Latur,May,Grievous Crashes,38
2018,Latur,June,Grievous Crashes,28
2018,Latur,July,Grievous Crashes,28
2018,Latur,August,Grievous Crashes,27
2018,Latur,September,Grievous Crashes,21
2018,Latur,October,Grievous Crashes,22
2018,Latur,November,Grievous Crashes,25
2018,Latur,December,Grievous Crashes,32
2018,Mumbai,January,Grievous Crashes,270
2018,Mumbai,February,Grievous Crashes,288
2018,Mumbai,March,Grievous Crashes,216
2018,Mumbai,April,Grievous Crashes,263
2018,Mumbai,May,Grievous Crashes,213
2018,Mumbai,June,Grievous Crashes,269
2018,Mumbai,July,Grievous Crashes,152
2018,Mumbai,August,Grievous Crashes,267
2018,Mumbai,September,Grievous Crashes,202
2018,Mumbai,October,Grievous Crashes,271
2018,Mumbai,November,Grievous Crashes,210
2018,Mumbai,December,Grievous Crashes,258
2018,Nagpur,January,Grievous Crashes,100
2018,Nagpur,February,Grievous Crashes,85
2018,Nagpur,March,Grievous Crashes,105
2018,Nagpur,April,Grievous Crashes,92
2018,Nagpur,May,Grievous Crashes,74
2018,Nagpur,June,Grievous Crashes,102
2018,Nagpur,July,Grievous Crashes,100
2018,Nagpur,August,Grievous Crashes,87
2018,Nagpur,September,Grievous Crashes,66
2018,Nagpur,October,Grievous Crashes,108
2018,Nagpur,November,Grievous Crashes,86
2018,Nagpur,December,Grievous Crashes,88
2018,Nanded,January,Grievous Crashes,37
2018,Nanded,February,Grievous Crashes,41
2018,Nanded,March,Grievous Crashes,40
2018,Nanded,April,Grievous Crashes,40
2018,Nanded,May,Grievous Crashes,23
2018,Nanded,June,Grievous Crashes,51
2018,Nanded,July,Grievous Crashes,28
2018,Nanded,August,Grievous Crashes,26
2018,Nanded,September,Grievous Crashes,34
2018,Nanded,October,Grievous Crashes,38
2018,Nanded,November,Grievous Crashes,31
2018,Nanded,December,Grievous Crashes,68
2018,Nandurbar,January,Grievous Crashes,17
2018,Nandurbar,February,Grievous Crashes,21
2018,Nandurbar,March,Grievous Crashes,18
2018,Nandurbar,April,Grievous Crashes,15
2018,Nandurbar,May,Grievous Crashes,32
2018,Nandurbar,June,Grievous Crashes,38
2018,Nandurbar,July,Grievous Crashes,19
2018,Nandurbar,August,Grievous Crashes,47
2018,Nandurbar,September,Grievous Crashes,33
2018,Nandurbar,October,Grievous Crashes,61
2018,Nandurbar,November,Grievous Crashes,18
2018,Nandurbar,December,Grievous Crashes,11
2018,Nashik,January,Grievous Crashes,114
2018,Nashik,February,Grievous Crashes,131
2018,Nashik,March,Grievous Crashes,120
2018,Nashik,April,Grievous Crashes,144
2018,Nashik,May,Grievous Crashes,153
2018,Nashik,June,Grievous Crashes,143
2018,Nashik,July,Grievous Crashes,102
2018,Nashik,August,Grievous Crashes,84
2018,Nashik,September,Grievous Crashes,64
2018,Nashik,October,Grievous Crashes,93
2018,Nashik,November,Grievous Crashes,75
2018,Nashik,December,Grievous Crashes,80
2018,Dharashiv,January,Grievous Crashes,31
2018,Dharashiv,February,Grievous Crashes,60
2018,Dharashiv,March,Grievous Crashes,63
2018,Dharashiv,April,Grievous Crashes,74
2018,Dharashiv,May,Grievous Crashes,55
2018,Dharashiv,June,Grievous Crashes,42
2018,Dharashiv,July,Grievous Crashes,35
2018,Dharashiv,August,Grievous Crashes,67
2018,Dharashiv,September,Grievous Crashes,37
2018,Dharashiv,October,Grievous Crashes,67
2018,Dharashiv,November,Grievous Crashes,49
2018,Dharashiv,December,Grievous Crashes,43
2018,Palghar,January,Grievous Crashes,40
2018,Palghar,February,Grievous Crashes,52
2018,Palghar,March,Grievous Crashes,39
2018,Palghar,April,Grievous Crashes,49
2018,Palghar,May,Grievous Crashes,45
2018,Palghar,June,Grievous Crashes,71
2018,Palghar,July,Grievous Crashes,50
2018,Palghar,August,Grievous Crashes,34
2018,Palghar,September,Grievous Crashes,42
2018,Palghar,October,Grievous Crashes,50
2018,Palghar,November,Grievous Crashes,27
2018,Palghar,December,Grievous Crashes,37
2018,Parbhani,January,Grievous Crashes,16
2018,Parbhani,February,Grievous Crashes,12
2018,Parbhani,March,Grievous Crashes,23
2018,Parbhani,April,Grievous Crashes,15
2018,Parbhani,May,Grievous Crashes,25
2018,Parbhani,June,Grievous Crashes,22
2018,Parbhani,July,Grievous Crashes,8
2018,Parbhani,August,Grievous Crashes,14
2018,Parbhani,September,Grievous Crashes,7
2018,Parbhani,October,Grievous Crashes,24
2018,Parbhani,November,Grievous Crashes,16
2018,Parbhani,December,Grievous Crashes,22
2018,Pune,January,Grievous Crashes,157
2018,Pune,February,Grievous Crashes,141
2018,Pune,March,Grievous Crashes,138
2018,Pune,April,Grievous Crashes,190
2018,Pune,May,Grievous Crashes,180
2018,Pune,June,Grievous Crashes,174
2018,Pune,July,Grievous Crashes,126
2018,Pune,August,Grievous Crashes,135
2018,Pune,September,Grievous Crashes,151
2018,Pune,October,Grievous Crashes,186
2018,Pune,November,Grievous Crashes,209
2018,Pune,December,Grievous Crashes,149
2018,Raigad,January,Grievous Crashes,24
2018,Raigad,February,Grievous Crashes,64
2018,Raigad,March,Grievous Crashes,46
2018,Raigad,April,Grievous Crashes,65
2018,Raigad,May,Grievous Crashes,70
2018,Raigad,June,Grievous Crashes,151
2018,Raigad,July,Grievous Crashes,46
2018,Raigad,August,Grievous Crashes,24
2018,Raigad,September,Grievous Crashes,66
2018,Raigad,October,Grievous Crashes,67
2018,Raigad,November,Grievous Crashes,44
2018,Raigad,December,Grievous Crashes,66
2018,Ratnagiri,January,Grievous Crashes,51
2018,Ratnagiri,February,Grievous Crashes,38
2018,Ratnagiri,March,Grievous Crashes,40
2018,Ratnagiri,April,Grievous Crashes,37
2018,Ratnagiri,May,Grievous Crashes,120
2018,Ratnagiri,June,Grievous Crashes,23
2018,Ratnagiri,July,Grievous Crashes,22
2018,Ratnagiri,August,Grievous Crashes,15
2018,Ratnagiri,September,Grievous Crashes,26
2018,Ratnagiri,October,Grievous Crashes,35
2018,Ratnagiri,November,Grievous Crashes,47
2018,Ratnagiri,December,Grievous Crashes,37
2018,Sangli,January,Grievous Crashes,72
2018,Sangli,February,Grievous Crashes,57
2018,Sangli,March,Grievous Crashes,60
2018,Sangli,April,Grievous Crashes,57
2018,Sangli,May,Grievous Crashes,85
2018,Sangli,June,Grievous Crashes,48
2018,Sangli,July,Grievous Crashes,58
2018,Sangli,August,Grievous Crashes,61
2018,Sangli,September,Grievous Crashes,55
2018,Sangli,October,Grievous Crashes,44
2018,Sangli,November,Grievous Crashes,47
2018,Sangli,December,Grievous Crashes,65
2018,Satara,January,Grievous Crashes,24
2018,Satara,February,Grievous Crashes,27
2018,Satara,March,Grievous Crashes,32
2018,Satara,April,Grievous Crashes,40
2018,Satara,May,Grievous Crashes,24
2018,Satara,June,Grievous Crashes,15
2018,Satara,July,Grievous Crashes,17
2018,Satara,August,Grievous Crashes,25
2018,Satara,September,Grievous Crashes,37
2018,Satara,October,Grievous Crashes,26
2018,Satara,November,Grievous Crashes,14
2018,Satara,December,Grievous Crashes,42
2018,Sindhudurg,January,Grievous Crashes,12
2018,Sindhudurg,February,Grievous Crashes,8
2018,Sindhudurg,March,Grievous Crashes,9
2018,Sindhudurg,April,Grievous Crashes,5
2018,Sindhudurg,May,Grievous Crashes,12
2018,Sindhudurg,June,Grievous Crashes,2
2018,Sindhudurg,July,Grievous Crashes,3
2018,Sindhudurg,August,Grievous Crashes,5
2018,Sindhudurg,September,Grievous Crashes,3
2018,Sindhudurg,October,Grievous Crashes,2
2018,Sindhudurg,November,Grievous Crashes,12
2018,Sindhudurg,December,Grievous Crashes,18
2018,Solapur,January,Grievous Crashes,53
2018,Solapur,February,Grievous Crashes,56
2018,Solapur,March,Grievous Crashes,79
2018,Solapur,April,Grievous Crashes,58
2018,Solapur,May,Grievous Crashes,84
2018,Solapur,June,Grievous Crashes,54
2018,Solapur,July,Grievous Crashes,48
2018,Solapur,August,Grievous Crashes,63
2018,Solapur,September,Grievous Crashes,44
2018,Solapur,October,Grievous Crashes,67
2018,Solapur,November,Grievous Crashes,114
2018,Solapur,December,Grievous Crashes,78
2018,Thane,January,Grievous Crashes,102
2018,Thane,February,Grievous Crashes,95
2018,Thane,March,Grievous Crashes,89
2018,Thane,April,Grievous Crashes,79
2018,Thane,May,Grievous Crashes,103
2018,Thane,June,Grievous Crashes,94
2018,Thane,July,Grievous Crashes,68
2018,Thane,August,Grievous Crashes,76
2018,Thane,September,Grievous Crashes,66
2018,Thane,October,Grievous Crashes,89
2018,Thane,November,Grievous Crashes,87
2018,Thane,December,Grievous Crashes,84
2018,Wardha,January,Grievous Crashes,15
2018,Wardha,February,Grievous Crashes,35
2018,Wardha,March,Grievous Crashes,43
2018,Wardha,April,Grievous Crashes,23
2018,Wardha,May,Grievous Crashes,21
2018,Wardha,June,Grievous Crashes,19
2018,Wardha,July,Grievous Crashes,16
2018,Wardha,August,Grievous Crashes,31
2018,Wardha,September,Grievous Crashes,15
2018,Wardha,October,Grievous Crashes,11
2018,Wardha,November,Grievous Crashes,15
2018,Wardha,December,Grievous Crashes,7
2018,Washim,January,Grievous Crashes,6
2018,Washim,February,Grievous Crashes,6
2018,Washim,March,Grievous Crashes,6
2018,Washim,April,Grievous Crashes,17
2018,Washim,May,Grievous Crashes,14
2018,Washim,June,Grievous Crashes,6
2018,Washim,July,Grievous Crashes,4
2018,Washim,August,Grievous Crashes,2
2018,Washim,September,Grievous Crashes,3
2018,Washim,October,Grievous Crashes,5
2018,Washim,November,Grievous Crashes,1
2018,Washim,December,Grievous Crashes,8
2018,Yavatmal,January,Grievous Crashes,11
2018,Yavatmal,February,Grievous Crashes,22
2018,Yavatmal,March,Grievous Crashes,26
2018,Yavatmal,April,Grievous Crashes,13
2018,Yavatmal,May,Grievous Crashes,24
2018,Yavatmal,June,Grievous Crashes,25
2018,Yavatmal,July,Grievous Crashes,14
2018,Yavatmal,August,Grievous Crashes,23
2018,Yavatmal,September,Grievous Crashes,14
2018,Yavatmal,October,Grievous Crashes,19
2018,Yavatmal,November,Grievous Crashes,24
2018,Yavatmal,December,Grievous Crashes,17
2020,Ahilyanagar,January,Grievous Crashes,59
2020,Ahilyanagar,February,Grievous Crashes,58
2020,Ahilyanagar,March,Grievous Crashes,46
2020,Ahilyanagar,April,Grievous Crashes,12
2020,Ahilyanagar,May,Grievous Crashes,28
2020,Ahilyanagar,June,Grievous Crashes,36
