Year,District,Month,Crash Type,Number of Crashes
2018,Gondia,February,Fatal Crashes,13
2018,Gondia,March,Fatal Crashes,11
2018,Gondia,April,Fatal Crashes,31
2018,Gondia,May,Fatal Crashes,13
2018,Gondia,June,Fatal Crashes,13
2018,Gondia,July,Fatal Crashes,11
2018,Gondia,August,Fatal Crashes,8
2018,Gondia,September,Fatal Crashes,11
2018,Gondia,October,Fatal Crashes,12
2018,Gondia,November,Fatal Crashes,19
2018,Gondia,December,Fatal Crashes,20
2018,Hingoli,January,Fatal Crashes,11
2018,Hingoli,February,Fatal Crashes,11
2018,Hingoli,March,Fatal Crashes,10
2018,Hingoli,April,Fatal Crashes,12
2018,Hingoli,May,Fatal Crashes,8
2018,Hingoli,June,Fatal Crashes,18
2018,Hingoli,July,Fatal Crashes,4
2018,Hingoli,August,Fatal Crashes,6
2018,Hingoli,September,Fatal Crashes,20
2018,Hingoli,October,Fatal Crashes,12
2018,Hingoli,November,Fatal Crashes,8
2018,Hingoli,December,Fatal Crashes,11
2018,Jalgaon,January,Fatal Crashes,31
2018,Jalgaon,February,Fatal Crashes,32
2018,Jalgaon,March,Fatal Crashes,44
2018,Jalgaon,April,Fatal Crashes,30
2018,Jalgaon,May,Fatal Crashes,43
2018,Jalgaon,June,Fatal Crashes,28
2018,Jalgaon,July,Fatal Crashes,27
2018,Jalgaon,August,Fatal Crashes,34
2018,Jalgaon,September,Fatal Crashes,36
2018,Jalgaon,October,Fatal Crashes,41
2018,Jalgaon,November,Fatal Crashes,42
2018,Jalgaon,December,Fatal Crashes,34
2018,Jalna,January,Fatal Crashes,21
2018,Jalna,February,Fatal Crashes,20
2018,Jalna,March,Fatal Crashes,15
2018,Jalna,April,Fatal Crashes,14
2018,Jalna,May,Fatal Crashes,29
2018,Jalna,June,Fatal Crashes,11
2018,Jalna,July,Fatal Crashes,15
2018,Jalna,August,Fatal Crashes,13
2018,Jalna,September,Fatal Crashes,10
2018,Jalna,October,Fatal Crashes,25
2018,Jalna,November,Fatal Crashes,11
