Year,District,Taluka,Daily,Weekly,Fortnightly,Monthly,Quarterly,Yearly
2016,Ahilyanagar,Parner,2.0,4.0,0.0,2.0,0.0,0.0
2016,Ahilyanagar,Srigonda,0.0,6.0,0.0,6.0,0.0,1.0
2016,Ahilyanagar,Karjat,3.0,12.0,2.0,8.0,0.0,0.0
2016,Ahilyanagar,Jamkhed,0.0,10.0,2.0,4.0,0.0,0.0
2017,Ahilyanagar,Akole,0.0,0.0,0.0,0.0,0.0,0.0
2017,Ahilyanagar,Sangamner,4.0,3.0,0.0,6.0,0.0,0.0
2017,Ahilyanagar,Kopargaon,0.0,3.0,0.0,2.0,0.0,0.0
2017,Ahilyanagar,Rahata,2.0,4.0,0.0,1.0,0.0,0.0
2017,Ahilyanagar,Srirampur,6.0,6.0,0.0,7.0,0.0,0.0
2017,Ahilyanagar,Nevasa,0.0,1.0,0.0,0.0,0.0,0.0
2017,Ahilyanagar,Shevgaon,1.0,5.0,0.0,0.0,0.0,0.0
2017,Ahilyanagar,Pathardi,1.0,0.0,1.0,1.0,0.0,0.0
2017,Ahilyanagar,Nagar,5.0,5.0,0.0,4.0,0.0,0.0
2017,Ahilyanagar,Rahuri,1.0,2.0,0.0,1.0,0.0,0.0
2017,Ahilyanagar,Parner,0.0,8.0,1.0,1.0,0.0,0.0
2017,Ahilyanagar,Srigonda,5.0,10.0,4.0,0.0,0.0,0.0
2017,Ahilyanagar,Karjat,3.0,12.0,2.0,8.0,0.0,0.0
2017,Ahilyanagar,Jamkhed,0.0,12.0,2.0,4.0,0.0,0.0
2018,Ahilyanagar,Akole,0.0,0.0,0.0,0.0,0.0,0.0
2018,Ahilyanagar,Sangamner,1.0,0.0,0.0,3.0,0.0,0.0
2018,Ahilyanagar,Kopargaon,0.0,2.0,0.0,0.0,0.0,0.0
2018,Ahilyanagar,Rahata,1.0,1.0,0.0,0.0,0.0,0.0
2018,Ahilyanagar,Srirampur,3.0,1.0,0.0,6.0,0.0,0.0
2018,Ahilyanagar,Nevasa,0.0,0.0,0.0,0.0,0.0,0.0
2018,Ahilyanagar,Shevgaon,4.0,3.0,0.0,0.0,0.0,0.0
2018,Ahilyanagar,Pathardi,1.0,0.0,0.0,2.0,0.0,0.0
2018,Ahilyanagar,Nagar,6.0,8.0,0.0,4.0,1.0,0.0
2018,Ahilyanagar,Rahuri,1.0,1.0,0.0,0.0,0.0,0.0
2018,Ahilyanagar,Parner,0.0,2.0,0.0,1.0,0.0,0.0
2018,Ahilyanagar,Srigonda,5.0,9.0,2.0,1.0,0.0,0.0
2018,Ahilyanagar,Karjat,3.0,12.0,2.0,8.0,0.0,0.0
2018,Ahilyanagar,Jamkhed,0.0,15.0,2.0,4.0,0.0,0.0
2019,Ahilyanagar,Akole,1.0,0.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Sangamner,1.0,1.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Kopargaon,0.0,0.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Rahata,0.0,0.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Srirampur,1.0,2.0,0.0,1.0,0.0,0.0
2019,Ahilyanagar,Nevasa,0.0,1.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Shevgaon,1.0,2.0,0.0,0.0,,0.0
2019,Ahilyanagar,Pathardi,0.0,0.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Nagar,9.0,3.0,0.0,2.0,0.0,0.0
2019,Ahilyanagar,Rahuri,2.0,1.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Parner,0.0,0.0,0.0,0.0,0.0,0.0
2019,Ahilyanagar,Srigonda,1.0,8.0,2.0,0.0,0.0,0.0
2019,Ahilyanagar,Karjat,1.0,2.0,0.0,2.0,0.0,0.0
2019,Ahilyanagar,Jamkhed,0.0,1.0,0.0,1.0,0.0,0.0
2020,Ahilyanagar,Akole,2.0,0.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Sangamner,2.0,2.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Kopargaon,1.0,1.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Rahata,0.0,0.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Srirampur,5.0,4.0,0.0,1.0,0.0,0.0
2020,Ahilyanagar,Nevasa,1.0,0.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Shevgaon,1.0,1.0,0.0,1.0,0.0,0.0
2020,Ahilyanagar,Pathardi,0.0,0.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Nagar,7.0,4.0,0.0,0.0,1.0,0.0
2020,Ahilyanagar,Rahuri,0.0,2.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Parner,0.0,1.0,0.0,1.0,0.0,0.0
2020,Ahilyanagar,Srigonda,1.0,1.0,0.0,0.0,0.0,0.0
2020,Ahilyanagar,Karjat,0.0,0.0,0.0,0.0,0.0,1.0
2020,Ahilyanagar,Jamkhed,1.0,2.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Akole,2.0,0.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Sangamner,2.0,2.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Kopargaon,1.0,1.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Rahata,0.0,0.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Srirampur,5.0,4.0,0.0,1.0,0.0,0.0
2021,Ahilyanagar,Nevasa,1.0,0.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Shevgaon,1.0,1.0,0.0,1.0,0.0,0.0
2021,Ahilyanagar,Pathardi,0.0,0.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Nagar,7.0,4.0,0.0,0.0,1.0,0.0
2021,Ahilyanagar,Rahuri,0.0,2.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Parner,0.0,1.0,0.0,1.0,0.0,0.0
2021,Ahilyanagar,Srigonda,1.0,1.0,0.0,0.0,0.0,0.0
2021,Ahilyanagar,Karjat,0.0,0.0,0.0,0.0,0.0,1.0
2021,Ahilyanagar,Jamkhed,1.0,2.0,0.0,0.0,0.0,0.0
2012,Akola,Telhara,4.0,0.0,0.0,0.0,0.0,0.0
2012,Akola,Akot,10.0,1.0,3.0,0.0,0.0,0.0
2012,Akola,Balapur,2.0,0.0,0.0,0.0,0.0,0.0
2012,Akola,Akola,37.0,19.0,22.0,4.0,6.0,8.0
2012,Akola,Murtijapur,6.0,0.0,4.0,1.0,1.0,0.0
2012,Akola,Patur,0.0,0.0,0.0,0.0,0.0,0.0
2012,Akola,Barshitakali,2.0,0.0,1.0,0.0,0.0,0.0
2013,Akola,Telhara,4.0,0.0,0.0,0.0,0.0,0.0
2013,Akola,Akot,10.0,1.0,3.0,0.0,0.0,0.0
2013,Akola,Balapur,2.0,0.0,0.0,0.0,0.0,0.0
2013,Akola,Akola,20.0,28.0,22.0,4.0,6.0,8.0
2013,Akola,Murtijapur,0.0,5.0,4.0,1.0,1.0,0.0
2013,Akola,Patur,0.0,0.0,0.0,0.0,0.0,0.0
2013,Akola,Barshitakali,2.0,0.0,1.0,0.0,0.0,0.0
