Year,District,Taluka,Road Type,Length
2012,Ahilyanagar,Akole,National Highways,0.0
2012,Ahilyanagar,Akole,Expressway,0.0
2012,Ahilyanagar,Akole,Major State Highways,0.0
2012,Ahilyanagar,Akole,State highways,197.5
2012,Ahilyanagar,Akole,Major district roads,223.34
2012,Ahilyanagar,Akole,Other district roads,304.5
2012,Ahilyanagar,Akole,District Roads,527.84
2012,Ahilyanagar,Akole,Rural roads,335.5
2012,Ahilyanagar,Sangamner,National Highways,69.17
2012,Ahilyanagar,Sangamner,Expressway,0.0
2012,Ahilyanagar,Sangamner,Major State Highways,0.0
2012,Ahilyanagar,Sangamner,State highways,84.55
2012,Ahilyanagar,Sangamner,Major district roads,227.3
2012,Ahilyanagar,Sangamner,Other district roads,256.9
2012,Ahilyanagar,Sangamner,District Roads,484.2
2012,Ahilyanagar,Sangamner,Rural roads,368.5
2012,Ahilyanagar,Kopargaon,National Highways,0.0
2012,Ahilyanagar,Kopargaon,Expressway,0.0
2012,Ahilyanagar,Kopargaon,Major State Highways,0.0
2012,Ahilyanagar,Kopargaon,State highways,50.6
2012,Ahilyanagar,Kopargaon,Major district roads,164.5
2012,Ahilyanagar,Kopargaon,Other district roads,0.0
2012,Ahilyanagar,Kopargaon,District Roads,164.5
2012,Ahilyanagar,Kopargaon,Rural roads,0.0
2012,Ahilyanagar,Rahata,National Highways,0.0
2012,Ahilyanagar,Rahata,Expressway,0.0
2012,Ahilyanagar,Rahata,Major State Highways,0.0
2012,Ahilyanagar,Rahata,State highways,84.13
2012,Ahilyanagar,Rahata,Major district roads,109.43
2012,Ahilyanagar,Rahata,Other district roads,0.0
2012,Ahilyanagar,Rahata,District Roads,109.43
2012,Ahilyanagar,Rahata,Rural roads,0.0
2012,Ahilyanagar,Srirampur,National Highways,0.0
2012,Ahilyanagar,Srirampur,Expressway,0.0
2012,Ahilyanagar,Srirampur,Major State Highways,0.0
2012,Ahilyanagar,Srirampur,State highways,47.8
2012,Ahilyanagar,Srirampur,Major district roads,108.8
2012,Ahilyanagar,Srirampur,Other district roads,194.5
2012,Ahilyanagar,Srirampur,District Roads,303.3
2012,Ahilyanagar,Srirampur,Rural roads,0.0
2012,Ahilyanagar,Nevasa,National Highways,0.0
2012,Ahilyanagar,Nevasa,Expressway,0.0
2012,Ahilyanagar,Nevasa,Major State Highways,0.0
2012,Ahilyanagar,Nevasa,State highways,84.7
2012,Ahilyanagar,Nevasa,Major district roads,0.0
2012,Ahilyanagar,Nevasa,Other district roads,353.2
2012,Ahilyanagar,Nevasa,District Roads,353.2
2012,Ahilyanagar,Nevasa,Rural roads,554.1
2012,Ahilyanagar,Shevgaon,National Highways,0.0
2012,Ahilyanagar,Shevgaon,Expressway,0.0
2012,Ahilyanagar,Shevgaon,Major State Highways,0.0
2012,Ahilyanagar,Shevgaon,State highways,120.6
2012,Ahilyanagar,Shevgaon,Major district roads,194.9
2012,Ahilyanagar,Shevgaon,Other district roads,324.0
2012,Ahilyanagar,Shevgaon,District Roads,518.9
2012,Ahilyanagar,Shevgaon,Rural roads,518.9
2012,Ahilyanagar,Pathardi,National Highways,70.03
2012,Ahilyanagar,Pathardi,Expressway,0.0
2012,Ahilyanagar,Pathardi,Major State Highways,0.0
2012,Ahilyanagar,Pathardi,State highways,82.6
2012,Ahilyanagar,Pathardi,Major district roads,0.0
2012,Ahilyanagar,Pathardi,Other district roads,258.2
2012,Ahilyanagar,Pathardi,District Roads,258.2
2012,Ahilyanagar,Pathardi,Rural roads,279.9
2012,Ahilyanagar,Nagar,National Highways,35.0
2012,Ahilyanagar,Nagar,Expressway,0.0
2012,Ahilyanagar,Nagar,Major State Highways,19.37
2012,Ahilyanagar,Nagar,State highways,247.08
2012,Ahilyanagar,Nagar,Major district roads,153.8
2012,Ahilyanagar,Nagar,Other district roads,0.0
2012,Ahilyanagar,Nagar,District Roads,153.8
2012,Ahilyanagar,Nagar,Rural roads,0.0
2012,Ahilyanagar,Rahuri,National Highways,0.0
2012,Ahilyanagar,Rahuri,Expressway,0.0
2012,Ahilyanagar,Rahuri,Major State Highways,0.0
2012,Ahilyanagar,Rahuri,State highways,92.0
2012,Ahilyanagar,Rahuri,Major district roads,0.0
2012,Ahilyanagar,Rahuri,Other district roads,230.85
2012,Ahilyanagar,Rahuri,District Roads,230.85
2012,Ahilyanagar,Rahuri,Rural roads,348.5
2012,Ahilyanagar,Parner,National Highways,36.5
2012,Ahilyanagar,Parner,Expressway,0.0
2012,Ahilyanagar,Parner,Major State Highways,0.0
2012,Ahilyanagar,Parner,State highways,117.22
2012,Ahilyanagar,Parner,Major district roads,258.62
2012,Ahilyanagar,Parner,Other district roads,0.0
2012,Ahilyanagar,Parner,District Roads,258.62
2012,Ahilyanagar,Parner,Rural roads,0.0
2012,Ahilyanagar,Srigonda,National Highways,0.0
2012,Ahilyanagar,Srigonda,Expressway,0.0
2012,Ahilyanagar,Srigonda,Major State Highways,0.0
2012,Ahilyanagar,Srigonda,State highways,154.84
2012,Ahilyanagar,Srigonda,Major district roads,301.7
2012,Ahilyanagar,Srigonda,Other district roads,0.0
2012,Ahilyanagar,Srigonda,District Roads,301.7
2012,Ahilyanagar,Srigonda,Rural roads,0.0
2012,Ahilyanagar,Karjat,National Highways,0.0
2012,Ahilyanagar,Karjat,Expressway,0.0
2012,Ahilyanagar,Karjat,Major State Highways,0.0
2012,Ahilyanagar,Karjat,State highways,163.95
2012,Ahilyanagar,Karjat,Major district roads,177.1
2012,Ahilyanagar,Karjat,Other district roads,0.0
2012,Ahilyanagar,Karjat,District Roads,177.1
2012,Ahilyanagar,Karjat,Rural roads,0.0
2012,Ahilyanagar,Jamkhed,National Highways,0.0
2012,Ahilyanagar,Jamkhed,Expressway,0.0
2012,Ahilyanagar,Jamkhed,Major State Highways,0.0
2012,Ahilyanagar,Jamkhed,State highways,114.23
2012,Ahilyanagar,Jamkhed,Major district roads,129.9
2012,Ahilyanagar,Jamkhed,Other district roads,0.0
2012,Ahilyanagar,Jamkhed,District Roads,129.9
2012,Ahilyanagar,Jamkhed,Rural roads,0.0
2013,Ahilyanagar,Akole,National Highways,0.0
2013,Ahilyanagar,Akole,Expressway,0.0
2013,Ahilyanagar,Akole,Major State Highways,0.0
2013,Ahilyanagar,Akole,State highways,197.5
2013,Ahilyanagar,Akole,Major district roads,223.34
2013,Ahilyanagar,Akole,Other district roads,304.5
2013,Ahilyanagar,Akole,District Roads,527.84
2013,Ahilyanagar,Akole,Rural roads,335.5
2013,Ahilyanagar,Sangamner,National Highways,69.17
2013,Ahilyanagar,Sangamner,Expressway,0.0
2013,Ahilyanagar,Sangamner,Major State Highways,0.0
2013,Ahilyanagar,Sangamner,State highways,84.55
2013,Ahilyanagar,Sangamner,Major district roads,227.3
2013,Ahilyanagar,Sangamner,Other district roads,256.9
2013,Ahilyanagar,Sangamner,District Roads,484.2
2013,Ahilyanagar,Sangamner,Rural roads,368.5
2013,Ahilyanagar,Kopargaon,National Highways,0.0
2013,Ahilyanagar,Kopargaon,Expressway,0.0
2013,Ahilyanagar,Kopargaon,Major State Highways,0.0
2013,Ahilyanagar,Kopargaon,State highways,50.6
2013,Ahilyanagar,Kopargaon,Major district roads,164.5
2013,Ahilyanagar,Kopargaon,Other district roads,0.0
2013,Ahilyanagar,Kopargaon,District Roads,164.5
2013,Ahilyanagar,Kopargaon,Rural roads,0.0
2013,Ahilyanagar,Rahata,National Highways,0.0
2013,Ahilyanagar,Rahata,Expressway,0.0
2013,Ahilyanagar,Rahata,Major State Highways,0.0
2013,Ahilyanagar,Rahata,State highways,84.13
2013,Ahilyanagar,Rahata,Major district roads,109.43
2013,Ahilyanagar,Rahata,Other district roads,0.0
2013,Ahilyanagar,Rahata,District Roads,109.43
2013,Ahilyanagar,Rahata,Rural roads,0.0
2013,Ahilyanagar,Srirampur,National Highways,0.0
2013,Ahilyanagar,Srirampur,Expressway,0.0
2013,Ahilyanagar,Srirampur,Major State Highways,0.0
2013,Ahilyanagar,Srirampur,State highways,47.8
2013,Ahilyanagar,Srirampur,Major district roads,108.8
2013,Ahilyanagar,Srirampur,Other district roads,194.5
2013,Ahilyanagar,Srirampur,District Roads,303.3
2013,Ahilyanagar,Srirampur,Rural roads,0.0
2013,Ahilyanagar,Nevasa,National Highways,0.0
2013,Ahilyanagar,Nevasa,Expressway,0.0
2013,Ahilyanagar,Nevasa,Major State Highways,0.0
2013,Ahilyanagar,Nevasa,State highways,84.7
2013,Ahilyanagar,Nevasa,Major district roads,0.0
2013,Ahilyanagar,Nevasa,Other district roads,353.2
2013,Ahilyanagar,Nevasa,District Roads,353.2
2013,Ahilyanagar,Nevasa,Rural roads,554.1
2013,Ahilyanagar,Shevgaon,National Highways,0.0
2013,Ahilyanagar,Shevgaon,Expressway,0.0
2013,Ahilyanagar,Shevgaon,Major State Highways,0.0
2013,Ahilyanagar,Shevgaon,State highways,120.6
2013,Ahilyanagar,Shevgaon,Major district roads,194.9
2013,Ahilyanagar,Shevgaon,Other district roads,324.0
2013,Ahilyanagar,Shevgaon,District Roads,518.9
2013,Ahilyanagar,Shevgaon,Rural roads,518.9
2013,Ahilyanagar,Pathardi,National Highways,70.03
2013,Ahilyanagar,Pathardi,Expressway,0.0
2013,Ahilyanagar,Pathardi,Major State Highways,0.0
2013,Ahilyanagar,Pathardi,State highways,82.6
2013,Ahilyanagar,Pathardi,Major district roads,0.0
2013,Ahilyanagar,Pathardi,Other district roads,258.2
2013,Ahilyanagar,Pathardi,District Roads,258.2
2013,Ahilyanagar,Pathardi,Rural roads,279.9
2013,Ahilyanagar,Nagar,National Highways,35.0
2013,Ahilyanagar,Nagar,Expressway,0.0
2013,Ahilyanagar,Nagar,Major State Highways,19.37
2013,Ahilyanagar,Nagar,State highways,247.08
2013,Ahilyanagar,Nagar,Major district roads,153.8
2013,Ahilyanagar,Nagar,Other district roads,0.0
2013,Ahilyanagar,Nagar,District Roads,153.8
2013,Ahilyanagar,Nagar,Rural roads,0.0
2013,Ahilyanagar,Rahuri,National Highways,0.0
2013,Ahilyanagar,Rahuri,Expressway,0.0
2013,Ahilyanagar,Rahuri,Major State Highways,0.0
2013,Ahilyanagar,Rahuri,State highways,92.0
2013,Ahilyanagar,Rahuri,Major district roads,0.0
2013,Ahilyanagar,Rahuri,Other district roads,230.85
2013,Ahilyanagar,Rahuri,District Roads,230.85
2013,Ahilyanagar,Rahuri,Rural roads,348.5
2013,Ahilyanagar,Parner,National Highways,36.5
2013,Ahilyanagar,Parner,Expressway,0.0
2013,Ahilyanagar,Parner,Major State Highways,0.0
2013,Ahilyanagar,Parner,State highways,117.22
2013,Ahilyanagar,Parner,Major district roads,258.62
2013,Ahilyanagar,Parner,Other district roads,0.0
2013,Ahilyanagar,Parner,District Roads,258.62
2013,Ahilyanagar,Parner,Rural roads,0.0
2013,Ahilyanagar,Srigonda,National Highways,0.0
2013,Ahilyanagar,Srigonda,Expressway,0.0
2013,Ahilyanagar,Srigonda,Major State Highways,0.0
2013,Ahilyanagar,Srigonda,State highways,154.84
2013,Ahilyanagar,Srigonda,Major district roads,301.7
2013,Ahilyanagar,Srigonda,Other district roads,0.0
2013,Ahilyanagar,Srigonda,District Roads,301.7
2013,Ahilyanagar,Srigonda,Rural roads,0.0
2013,Ahilyanagar,Karjat,National Highways,0.0
2013,Ahilyanagar,Karjat,Expressway,0.0
2013,Ahilyanagar,Karjat,Major State Highways,0.0
2013,Ahilyanagar,Karjat,State highways,163.95
2013,Ahilyanagar,Karjat,Major district roads,177.1
2013,Ahilyanagar,Karjat,Other district roads,0.0
2013,Ahilyanagar,Karjat,District Roads,177.1
2013,Ahilyanagar,Karjat,Rural roads,0.0
2013,Ahilyanagar,Jamkhed,National Highways,0.0
2013,Ahilyanagar,Jamkhed,Expressway,0.0
2013,Ahilyanagar,Jamkhed,Major State Highways,0.0
2013,Ahilyanagar,Jamkhed,State highways,114.23
2013,Ahilyanagar,Jamkhed,Major district roads,129.9
2013,Ahilyanagar,Jamkhed,Other district roads,0.0
2013,Ahilyanagar,Jamkhed,District Roads,129.9
2013,Ahilyanagar,Jamkhed,Rural roads,0.0
2014,Ahilyanagar,Akole,National Highways,0.0
2014,Ahilyanagar,Akole,Expressway,0.0
2014,Ahilyanagar,Akole,Major State Highways,0.0
2014,Ahilyanagar,Akole,State highways,235.6
2014,Ahilyanagar,Akole,Major district roads,289.29
2014,Ahilyanagar,Akole,Other district roads,529.2
2014,Ahilyanagar,Akole,District Roads,818.49
2014,Ahilyanagar,Akole,Rural roads,756.43
2014,Ahilyanagar,Sangamner,National Highways,69.17
2014,Ahilyanagar,Sangamner,Expressway,0.0
2014,Ahilyanagar,Sangamner,Major State Highways,0.0
2014,Ahilyanagar,Sangamner,State highways,171.15
2014,Ahilyanagar,Sangamner,Major district roads,156.69
2014,Ahilyanagar,Sangamner,Other district roads,268.85
2014,Ahilyanagar,Sangamner,District Roads,425.54
2014,Ahilyanagar,Sangamner,Rural roads,1057.31
2014,Ahilyanagar,Kopargaon,National Highways,0.0
2014,Ahilyanagar,Kopargaon,Expressway,0.0
2014,Ahilyanagar,Kopargaon,Major State Highways,45.5
2014,Ahilyanagar,Kopargaon,State highways,89.4
2014,Ahilyanagar,Kopargaon,Major district roads,123.86
2014,Ahilyanagar,Kopargaon,Other district roads,509.37
2014,Ahilyanagar,Kopargaon,District Roads,633.23
2014,Ahilyanagar,Kopargaon,Rural roads,531.46
2014,Ahilyanagar,Rahata,National Highways,0.0
2014,Ahilyanagar,Rahata,Expressway,0.0
2014,Ahilyanagar,Rahata,Major State Highways,31.63
2014,Ahilyanagar,Rahata,State highways,130.25
2014,Ahilyanagar,Rahata,Major district roads,110.93
2014,Ahilyanagar,Rahata,Other district roads,307.55
2014,Ahilyanagar,Rahata,District Roads,418.48
2014,Ahilyanagar,Rahata,Rural roads,706.51
2014,Ahilyanagar,Srirampur,National Highways,0.0
2014,Ahilyanagar,Srirampur,Expressway,0.0
2014,Ahilyanagar,Srirampur,Major State Highways,0.0
2014,Ahilyanagar,Srirampur,State highways,93.3
2014,Ahilyanagar,Srirampur,Major district roads,130.75
2014,Ahilyanagar,Srirampur,Other district roads,512.7
2014,Ahilyanagar,Srirampur,District Roads,643.45
2014,Ahilyanagar,Srirampur,Rural roads,679.38
2014,Ahilyanagar,Nevasa,National Highways,0.0
2014,Ahilyanagar,Nevasa,Expressway,0.0
2014,Ahilyanagar,Nevasa,Major State Highways,82.6
2014,Ahilyanagar,Nevasa,State highways,70.2
2014,Ahilyanagar,Nevasa,Major district roads,246.51
2014,Ahilyanagar,Nevasa,Other district roads,294.25
2014,Ahilyanagar,Nevasa,District Roads,540.76
2014,Ahilyanagar,Nevasa,Rural roads,714.96
2014,Ahilyanagar,Shevgaon,National Highways,0.0
2014,Ahilyanagar,Shevgaon,Expressway,0.0
2014,Ahilyanagar,Shevgaon,Major State Highways,0.0
2014,Ahilyanagar,Shevgaon,State highways,120.8
2014,Ahilyanagar,Shevgaon,Major district roads,185.0
2014,Ahilyanagar,Shevgaon,Other district roads,348.0
2014,Ahilyanagar,Shevgaon,District Roads,533.0
2014,Ahilyanagar,Shevgaon,Rural roads,616.7
2014,Ahilyanagar,Pathardi,National Highways,70.03
2014,Ahilyanagar,Pathardi,Expressway,0.0
2014,Ahilyanagar,Pathardi,Major State Highways,0.0
2014,Ahilyanagar,Pathardi,State highways,78.72
2014,Ahilyanagar,Pathardi,Major district roads,184.3
2014,Ahilyanagar,Pathardi,Other district roads,411.7
2014,Ahilyanagar,Pathardi,District Roads,596.0
2014,Ahilyanagar,Pathardi,Rural roads,563.9
2014,Ahilyanagar,Nagar,National Highways,35.0
2014,Ahilyanagar,Nagar,Expressway,0.0
2014,Ahilyanagar,Nagar,Major State Highways,116.2
2014,Ahilyanagar,Nagar,State highways,148.49
2014,Ahilyanagar,Nagar,Major district roads,271.0
2014,Ahilyanagar,Nagar,Other district roads,344.0
2014,Ahilyanagar,Nagar,District Roads,615.0
2014,Ahilyanagar,Nagar,Rural roads,1537.4
2014,Ahilyanagar,Rahuri,National Highways,0.0
2014,Ahilyanagar,Rahuri,Expressway,0.0
2014,Ahilyanagar,Rahuri,Major State Highways,31.57
2014,Ahilyanagar,Rahuri,State highways,103.6
2014,Ahilyanagar,Rahuri,Major district roads,113.25
2014,Ahilyanagar,Rahuri,Other district roads,339.1
2014,Ahilyanagar,Rahuri,District Roads,452.35
2014,Ahilyanagar,Rahuri,Rural roads,913.15
2014,Ahilyanagar,Parner,National Highways,36.5
2014,Ahilyanagar,Parner,Expressway,0.0
2014,Ahilyanagar,Parner,Major State Highways,30.8
2014,Ahilyanagar,Parner,State highways,141.5
2014,Ahilyanagar,Parner,Major district roads,220.95
2014,Ahilyanagar,Parner,Other district roads,494.1
2014,Ahilyanagar,Parner,District Roads,715.05
2014,Ahilyanagar,Parner,Rural roads,1119.59
2014,Ahilyanagar,Srigonda,National Highways,0.0
2014,Ahilyanagar,Srigonda,Expressway,0.0
2014,Ahilyanagar,Srigonda,Major State Highways,10.3
2014,Ahilyanagar,Srigonda,State highways,149.1
2014,Ahilyanagar,Srigonda,Major district roads,337.2
2014,Ahilyanagar,Srigonda,Other district roads,347.2
2014,Ahilyanagar,Srigonda,District Roads,684.4
2014,Ahilyanagar,Srigonda,Rural roads,1097.7
2014,Ahilyanagar,Karjat,National Highways,0.0
2014,Ahilyanagar,Karjat,Expressway,0.0
2014,Ahilyanagar,Karjat,Major State Highways,42.6
2014,Ahilyanagar,Karjat,State highways,157.75
2014,Ahilyanagar,Karjat,Major district roads,142.25
2014,Ahilyanagar,Karjat,Other district roads,442.93
2014,Ahilyanagar,Karjat,District Roads,585.18
2014,Ahilyanagar,Karjat,Rural roads,803.07
2014,Ahilyanagar,Jamkhed,National Highways,0.0
2014,Ahilyanagar,Jamkhed,Expressway,0.0
2014,Ahilyanagar,Jamkhed,Major State Highways,0.0
2014,Ahilyanagar,Jamkhed,State highways,114.3
2014,Ahilyanagar,Jamkhed,Major district roads,138.2
2014,Ahilyanagar,Jamkhed,Other district roads,271.1
2014,Ahilyanagar,Jamkhed,District Roads,409.3
2014,Ahilyanagar,Jamkhed,Rural roads,419.32
2015,Ahilyanagar,Akole,National Highways,0.0
2015,Ahilyanagar,Akole,Expressway,0.0
2015,Ahilyanagar,Akole,Major State Highways,0.0
2015,Ahilyanagar,Akole,State highways,235.6
2015,Ahilyanagar,Akole,Major district roads,289.29
2015,Ahilyanagar,Akole,Other district roads,529.2
2015,Ahilyanagar,Akole,District Roads,818.49
2015,Ahilyanagar,Akole,Rural roads,756.43
2015,Ahilyanagar,Sangamner,National Highways,69.17
2015,Ahilyanagar,Sangamner,Expressway,0.0
2015,Ahilyanagar,Sangamner,Major State Highways,0.0
2015,Ahilyanagar,Sangamner,State highways,171.15
2015,Ahilyanagar,Sangamner,Major district roads,156.69
2015,Ahilyanagar,Sangamner,Other district roads,364.66
2015,Ahilyanagar,Sangamner,District Roads,521.35
2015,Ahilyanagar,Sangamner,Rural roads,1093.84
2015,Ahilyanagar,Kopargaon,National Highways,0.0
2015,Ahilyanagar,Kopargaon,Expressway,0.0
2015,Ahilyanagar,Kopargaon,Major State Highways,45.5
2015,Ahilyanagar,Kopargaon,State highways,85.9
2015,Ahilyanagar,Kopargaon,Major district roads,121.22
2015,Ahilyanagar,Kopargaon,Other district roads,505.9
2015,Ahilyanagar,Kopargaon,District Roads,627.12
2015,Ahilyanagar,Kopargaon,Rural roads,538.43
2015,Ahilyanagar,Rahata,National Highways,0.0
2015,Ahilyanagar,Rahata,Expressway,0.0
2015,Ahilyanagar,Rahata,Major State Highways,31.63
2015,Ahilyanagar,Rahata,State highways,129.25
2015,Ahilyanagar,Rahata,Major district roads,106.93
2015,Ahilyanagar,Rahata,Other district roads,304.05
2015,Ahilyanagar,Rahata,District Roads,410.98
2015,Ahilyanagar,Rahata,Rural roads,636.31
2015,Ahilyanagar,Srirampur,National Highways,0.0
2015,Ahilyanagar,Srirampur,Expressway,0.0
2015,Ahilyanagar,Srirampur,Major State Highways,0.0
2015,Ahilyanagar,Srirampur,State highways,94.1
2015,Ahilyanagar,Srirampur,Major district roads,133.45
2015,Ahilyanagar,Srirampur,Other district roads,641.7
2015,Ahilyanagar,Srirampur,District Roads,775.15
2015,Ahilyanagar,Srirampur,Rural roads,538.48
2015,Ahilyanagar,Nevasa,National Highways,0.0
2015,Ahilyanagar,Nevasa,Expressway,0.0
2015,Ahilyanagar,Nevasa,Major State Highways,82.6
2015,Ahilyanagar,Nevasa,State highways,70.2
2015,Ahilyanagar,Nevasa,Major district roads,246.51
2015,Ahilyanagar,Nevasa,Other district roads,294.25
2015,Ahilyanagar,Nevasa,District Roads,540.76
2015,Ahilyanagar,Nevasa,Rural roads,714.96
2015,Ahilyanagar,Shevgaon,National Highways,0.0
2015,Ahilyanagar,Shevgaon,Expressway,0.0
2015,Ahilyanagar,Shevgaon,Major State Highways,0.0
2015,Ahilyanagar,Shevgaon,State highways,120.8
2015,Ahilyanagar,Shevgaon,Major district roads,185.0
2015,Ahilyanagar,Shevgaon,Other district roads,348.0
2015,Ahilyanagar,Shevgaon,District Roads,533.0
2015,Ahilyanagar,Shevgaon,Rural roads,616.7
2015,Ahilyanagar,Pathardi,National Highways,70.03
2015,Ahilyanagar,Pathardi,Expressway,0.0
2015,Ahilyanagar,Pathardi,Major State Highways,0.0
2015,Ahilyanagar,Pathardi,State highways,78.72
2015,Ahilyanagar,Pathardi,Major district roads,184.3
2015,Ahilyanagar,Pathardi,Other district roads,411.7
2015,Ahilyanagar,Pathardi,District Roads,596.0
2015,Ahilyanagar,Pathardi,Rural roads,600.4
2015,Ahilyanagar,Nagar,National Highways,43.0
2015,Ahilyanagar,Nagar,Expressway,0.0
2015,Ahilyanagar,Nagar,Major State Highways,130.2
2015,Ahilyanagar,Nagar,State highways,164.49
2015,Ahilyanagar,Nagar,Major district roads,271.0
2015,Ahilyanagar,Nagar,Other district roads,344.0
2015,Ahilyanagar,Nagar,District Roads,615.0
2015,Ahilyanagar,Nagar,Rural roads,1540.25
2015,Ahilyanagar,Rahuri,National Highways,0.0
2015,Ahilyanagar,Rahuri,Expressway,0.0
2015,Ahilyanagar,Rahuri,Major State Highways,31.57
2015,Ahilyanagar,Rahuri,State highways,104.6
2015,Ahilyanagar,Rahuri,Major district roads,103.25
2015,Ahilyanagar,Rahuri,Other district roads,411.45
2015,Ahilyanagar,Rahuri,District Roads,514.7
2015,Ahilyanagar,Rahuri,Rural roads,923.55
2015,Ahilyanagar,Parner,National Highways,36.5
2015,Ahilyanagar,Parner,Expressway,0.0
2015,Ahilyanagar,Parner,Major State Highways,30.8
2015,Ahilyanagar,Parner,State highways,141.5
2015,Ahilyanagar,Parner,Major district roads,220.95
2015,Ahilyanagar,Parner,Other district roads,494.1
2015,Ahilyanagar,Parner,District Roads,715.05
2015,Ahilyanagar,Parner,Rural roads,1119.59
2015,Ahilyanagar,Srigonda,National Highways,0.0
2015,Ahilyanagar,Srigonda,Expressway,0.0
2015,Ahilyanagar,Srigonda,Major State Highways,10.3
2015,Ahilyanagar,Srigonda,State highways,149.1
2015,Ahilyanagar,Srigonda,Major district roads,337.2
2015,Ahilyanagar,Srigonda,Other district roads,347.2
2015,Ahilyanagar,Srigonda,District Roads,684.4
2015,Ahilyanagar,Srigonda,Rural roads,1097.7
2015,Ahilyanagar,Karjat,National Highways,0.0
2015,Ahilyanagar,Karjat,Expressway,0.0
2015,Ahilyanagar,Karjat,Major State Highways,42.6
2015,Ahilyanagar,Karjat,State highways,157.75
2015,Ahilyanagar,Karjat,Major district roads,142.25
2015,Ahilyanagar,Karjat,Other district roads,442.93
2015,Ahilyanagar,Karjat,District Roads,585.18
2015,Ahilyanagar,Karjat,Rural roads,803.07
2015,Ahilyanagar,Jamkhed,National Highways,0.0
2015,Ahilyanagar,Jamkhed,Expressway,0.0
2015,Ahilyanagar,Jamkhed,Major State Highways,0.0
2015,Ahilyanagar,Jamkhed,State highways,114.3
2015,Ahilyanagar,Jamkhed,Major district roads,138.2
2015,Ahilyanagar,Jamkhed,Other district roads,271.1
2015,Ahilyanagar,Jamkhed,District Roads,409.3
2015,Ahilyanagar,Jamkhed,Rural roads,419.32
2016,Ahilyanagar,Akole,National Highways,0.0
2016,Ahilyanagar,Akole,Expressway,0.0
2016,Ahilyanagar,Akole,Major State Highways,0.0
2016,Ahilyanagar,Akole,State highways,244.0
2016,Ahilyanagar,Akole,Major district roads,247.59
2016,Ahilyanagar,Akole,Other district roads,499.1
2016,Ahilyanagar,Akole,District Roads,746.69
2016,Ahilyanagar,Akole,Rural roads,742.75
2016,Ahilyanagar,Sangamner,National Highways,9.1
2016,Ahilyanagar,Sangamner,Expressway,0.0
2016,Ahilyanagar,Sangamner,Major State Highways,0.0
2016,Ahilyanagar,Sangamner,State highways,235.7
2016,Ahilyanagar,Sangamner,Major district roads,173.74
2016,Ahilyanagar,Sangamner,Other district roads,497.7
2016,Ahilyanagar,Sangamner,District Roads,671.44
2016,Ahilyanagar,Sangamner,Rural roads,1020.25
2016,Ahilyanagar,Kopargaon,National Highways,0.0
2016,Ahilyanagar,Kopargaon,Expressway,0.0
2016,Ahilyanagar,Kopargaon,Major State Highways,37.8
2016,Ahilyanagar,Kopargaon,State highways,125.84
2016,Ahilyanagar,Kopargaon,Major district roads,146.72
2016,Ahilyanagar,Kopargaon,Other district roads,247.35
2016,Ahilyanagar,Kopargaon,District Roads,394.07
2016,Ahilyanagar,Kopargaon,Rural roads,495.95
2016,Ahilyanagar,Rahata,National Highways,1.0
2016,Ahilyanagar,Rahata,Expressway,0.0
2016,Ahilyanagar,Rahata,Major State Highways,31.63
2016,Ahilyanagar,Rahata,State highways,85.3
2016,Ahilyanagar,Rahata,Major district roads,143.38
2016,Ahilyanagar,Rahata,Other district roads,399.05
2016,Ahilyanagar,Rahata,District Roads,542.43
2016,Ahilyanagar,Rahata,Rural roads,571.1
2016,Ahilyanagar,Srirampur,National Highways,0.0
2016,Ahilyanagar,Srirampur,Expressway,0.0
2016,Ahilyanagar,Srirampur,Major State Highways,0.0
2016,Ahilyanagar,Srirampur,State highways,91.5
2016,Ahilyanagar,Srirampur,Major district roads,148.85
2016,Ahilyanagar,Srirampur,Other district roads,283.5
2016,Ahilyanagar,Srirampur,District Roads,432.35
2016,Ahilyanagar,Srirampur,Rural roads,610.6
2016,Ahilyanagar,Nevasa,National Highways,0.0
2016,Ahilyanagar,Nevasa,Expressway,0.0
2016,Ahilyanagar,Nevasa,Major State Highways,43.0
2016,Ahilyanagar,Nevasa,State highways,76.2
2016,Ahilyanagar,Nevasa,Major district roads,279.11
2016,Ahilyanagar,Nevasa,Other district roads,505.9
2016,Ahilyanagar,Nevasa,District Roads,785.01
2016,Ahilyanagar,Nevasa,Rural roads,806.41
2016,Ahilyanagar,Shevgaon,National Highways,0.0
2016,Ahilyanagar,Shevgaon,Expressway,0.0
2016,Ahilyanagar,Shevgaon,Major State Highways,0.0
2016,Ahilyanagar,Shevgaon,State highways,120.8
2016,Ahilyanagar,Shevgaon,Major district roads,187.8
2016,Ahilyanagar,Shevgaon,Other district roads,348.0
2016,Ahilyanagar,Shevgaon,District Roads,535.8
2016,Ahilyanagar,Shevgaon,Rural roads,616.7
2016,Ahilyanagar,Pathardi,National Highways,63.1
2016,Ahilyanagar,Pathardi,Expressway,0.0
2016,Ahilyanagar,Pathardi,Major State Highways,14.1
2016,Ahilyanagar,Pathardi,State highways,78.72
2016,Ahilyanagar,Pathardi,Major district roads,187.8
2016,Ahilyanagar,Pathardi,Other district roads,415.5
2016,Ahilyanagar,Pathardi,District Roads,603.3
2016,Ahilyanagar,Pathardi,Rural roads,606.4
2016,Ahilyanagar,Nagar,National Highways,37.2
