Year,District,Routes,Length of Routes,Average Length of Routes,Existing Buses,Buses Running on the Road,Daily Avg Passengers (lakh),Daily Average Number of Passengers,Revenue from Transportation (lakh),Revenue from Transportation,Average Earnings per Passenger
2020,Bhandara,245.0,18063.0,73.73,282.0,132.4,0.34,34000,4368.31,436831000,35.3
2021,Bhandara,39.0,2838.6,72.78,247.0,108.44,0.32,32000,5164.96,516496000,44.22
2013,Buldhana,682.0,44072.0,64.47,470.0,434.0,2.34,234000,13533.0,1353300000,15.85
2014,Buldhana,649.0,44264.0,68.2,469.0,439.0,2.12,212000,14403.0,1440300000,18.61
2015,Buldhana,660.0,44563.0,67.52,498.0,446.0,1.86,186000,13868.0,1386800000,20.41
2016,Buldhana,662.0,45301.0,68.43,482.0,431.0,2.09,209000,13075.89,1307589000,17.14
2017,Buldhana,662.0,45301.0,68.43,480.0,429.0,2.25,225000,13668.9,1366890000,16.67
2018,Buldhana,668.0,45493.0,68.1,489.0,436.0,2.21,221000,15256.39,1525639000,18.89
2019,Buldhana,681.0,40400.0,59.32,494.0,419.0,1.88,188000,14327.37,1432737000,20.82
2020,Buldhana,244.0,31000.0,127.05,464.0,205.0,0.4,40000,5689.76,568976000,38.66
2021,Buldhana,53.0,7111.0,134.17,444.0,159.0,0.34,34000,4821.62,482162000,38.53
2012,Chandrapur,386.0,28340.0,73.42,339.0,303.0,1.29,129000,8797.5,879750000,18.68
2013,Chandrapur,394.0,29153.0,74.0,340.0,301.0,1.1,110000,9298.7,929870000,22.3
2014,Chandrapur,396.0,29634.0,74.8,325.0,302.0,1.2,120000,11694.6,1169460000,26.7
2015,Chandrapur,396.0,29634.0,74.83,350.0,325.0,1.36,136000,10066.7,1006670000,19.71
2016,Chandrapur,394.0,27549.0,69.92,363.0,327.0,1.36,136000,12297.35,1229735000,24.77
2017,Chandrapur,477.0,27763.0,58.2,350.0,318.0,1.08,108000,12463.03,1246303000,31.62
2018,Chandrapur,487.0,27933.0,57.36,343.0,315.0,1.12,112000,13305.51,1330551000,32.55
2019,Chandrapur,551.0,32250.0,58.53,337.0,224.0,1.03,103000,14051.63,1405163000,37.27
2020,Chandrapur,462.0,28282.5,61.22,309.0,247.0,0.36,36000,5610.46,561046000,42.7
2021,Chandrapur,219.0,11291.0,51.56,310.0,123.0,0.29,29000,5427.44,542744000,51.27
2012,Dhule,405.0,31796.05,78.51,394.0,393.0,125.0,12500000,12016.57,1201657000,26.34
2012,Dhule,405.0,31796.05,78.51,394.0,393.0,125.0,12500000,12016.57,1201657000,26.34
2013,Dhule,427.0,33837.88,79.25,393.0,392.0,132.0,13200000,12880.62,1288062000,26.67
2013,Dhule,427.0,33837.88,79.25,393.0,392.0,132.0,13200000,12880.62,1288062000,26.67
2014,Dhule,479.0,36171.7,75.52,419.0,418.0,117.0,11700000,14317.07,1431707000,33.43
2014,Dhule,479.0,36171.7,75.52,419.0,418.0,117.0,11700000,14317.07,1431707000,33.43
2015,Dhule,502.0,37074.9,77.39,444.0,440.0,1.25,125000,14381.16,1438116000,31.37
2015,Dhule,502.0,37074.9,77.39,444.0,440.0,1.25,125000,14381.16,1438116000,31.37
2016,Dhule,533.0,35680.7,66.94,465.0,457.0,1.51,151000,14194.5,1419450000,25.75
2016,Dhule,533.0,35680.7,66.94,465.0,457.0,1.51,151000,14194.5,1419450000,25.75
2017,Dhule,546.0,36618.5,67.07,475.0,455.0,1.6,160000,15212.8,1521280000,26.02
2017,Dhule,546.0,36618.5,67.07,475.0,455.0,1.6,160000,15212.8,1521280000,26.02
2018,Dhule,543.0,36901.9,67.96,469.0,453.0,1.64,164000,17238.5,1723850000,28.83
2018,Dhule,543.0,36901.9,67.96,469.0,453.0,1.64,164000,17238.5,1723850000,28.83
2019,Dhule,560.0,36710.2,65.55,471.0,447.0,1.48,148000,16465.3,1646530000,30.48
2019,Dhule,560.0,36710.2,65.55,471.0,447.0,1.48,148000,16465.3,1646530000,30.48
2020,Dhule,385.0,30540.0,79.32,424.0,195.0,0.33,33000,6766.88,676688000,56.18
2020,Dhule,385.0,30540.0,79.32,424.0,195.0,0.33,33000,6766.88,676688000,56.18
2021,Dhule,104.0,12923.7,124.27,420.0,183.0,0.35,35000,5739.81,573981000,44.93
2021,Dhule,104.0,12923.7,124.27,420.0,183.0,0.35,35000,5739.81,573981000,44.93
2012,Gadchiroli,196.0,21456.4,102.13,175.0,172.0,0.53,53000,5117.13,511713000,26.2
2013,Gadchiroli,224.0,22393.8,99.97,179.0,176.0,0.55,55000,5606.31,560631000,28.07
2014,Gadchiroli,225.0,22864.0,101.62,196.0,180.0,0.57,57000,6125.32,612532000,16.78
2015,Gadchiroli,225.0,22864.0,101.62,194.0,187.0,0.64,64000,5779.26,577926000,24.74
2016,Gadchiroli,225.0,22864.0,101.62,189.0,179.0,0.62,62000,5343.0,534300000,23.47
2017,Gadchiroli,225.0,22864.0,101.62,190.0,181.0,0.62,62000,5310.55,531055000,23.36
2018,Gadchiroli,263.0,24512.0,93.2,186.0,177.0,0.61,61000,5800.4,580040000,25.98
2019,Gadchiroli,245.0,19966.0,81.49,168.0,160.0,0.57,57000,7614.66,761466000,36.36
2020,Gadchiroli,248.0,17323.0,69.85,184.0,83.0,0.17,17000,2451.21,245121000,46.2
2021,Gadchiroli,73.0,10745.0,147.19,182.0,62.0,0.11,11000,2086.24,208624000,51.96
2012,Gondia,95.0,7967.0,84.0,129.0,120.0,0.45,45000,2699.47,269947000,16.22
2013,Gondia,112.0,9579.0,85.0,123.0,120.0,0.48,48000,3122.06,312206000,17.82
2014,Gondia,134.0,11577.0,86.4,124.0,122.0,0.49,49000,3473.26,347326000,19.42
2015,Gondia,138.0,12398.0,89.84,135.0,127.0,0.48,48000,3682.7,368270000,21.02
2016,Gondia,122.0,11902.7,97.56,137.0,131.0,0.5,50000,3589.78,358978000,19.67
2017,Gondia,137.0,13184.1,96.23,131.0,125.0,0.41,41000,4635.16,463516000,24.9
2018,Gondia,140.0,12935.0,92.39,129.0,125.0,0.47,47000,5340.72,534072000,30.87
2019,Gondia,140.0,12583.4,89.88,124.0,118.01,0.45,45000,5199.23,519923000,31.51
2020,Gondia,84.0,8307.0,98.89,124.0,63.23,0.14,14000,2314.77,231477000,46.7
2021,Gondia,14.0,1901.0,135.82,157.0,47.0,0.12,12000,2489.55,248955000,56.83
2012,Hingoli,129.0,13785.0,106.86,151.96,148.04,0.55,55000,4371.45,437145000,21.83
2013,Hingoli,130.0,13570.0,104.39,160.0,152.0,0.47,47000,4598.94,459894000,26.81
2014,Hingoli,113.0,13561.0,120.0,150.0,147.0,0.52,52000,4959.86,495986000,26.13
2015,Hingoli,145.0,13484.0,93.0,153.0,150.0,0.56,56000,4802.74,480274000,23.49
2016,Hingoli,142.0,12870.0,91.0,195.0,145.0,0.54,54000,4524.15,452415000,22.92
2017,Hingoli,148.0,12709.0,85.87,152.74,146.0,0.57,57000,4877.67,487767000,23.45
2018,Hingoli,149.0,12691.0,85.17,148.0,143.0,0.55,55000,5245.83,524583000,26.13
2019,Hingoli,147.0,12621.0,85.86,154.0,145.0,0.52,52000,5222.28,522228000,27.47
2020,Hingoli,94.0,10742.0,114.27,159.0,75.0,0.11,11000,2446.34,244634000,60.76
2021,Hingoli,18.0,2572.0,143.0,144.0,58.0,0.1,10000,1841.41,184141000,48.39
2012,Jalgaon,1006.0,67257.1,66.86,774.0,736.0,3.69,369000,19510.64,1951064000,14.48
2013,Jalgaon,1044.0,73073.2,67.41,810.0,770.0,3.63,363000,21848.5,2184850000,16.49
2014,Jalgaon,1058.0,72309.0,68.34,828.0,789.0,3.46,346000,24197.16,2419716000,19.16
2015,Jalgaon,1008.0,65747.2,65.23,874.0,820.0,3.52,352000,24090.0,2409000000,18.75
2016,Jalgaon,1012.0,63815.0,63.06,878.0,821.0,3.58,358000,23350.72,2335072000,17.87
2017,Jalgaon,1012.0,65921.0,65.14,879.0,796.0,3.78,378000,23744.64,2374464000,17.21
2018,Jalgaon,997.0,63390.0,63.58,868.0,770.0,3.84,384000,26448.19,2644819000,18.87
2019,Jalgaon,1006.0,64659.0,64.27,845.0,745.0,3.28,328000,25248.95,2524895000,21.09
2020,Jalgaon,503.0,53412.0,106.19,789.0,347.0,0.73,73000,10756.59,1075659000,40.37
2021,Jalgaon,148.0,22386.0,151.26,751.0,338.0,0.77,77000,10768.11,1076811000,38.31
2013,Jalna,239.0,24664.0,103.15,260.0,243.0,98.0,9800000,7591.09,759109000,21.22
2014,Jalna,221.0,24434.0,110.56,249.0,237.0,95.0,9500000,7989.63,798963000,0.23
2015,Jalna,229.0,24424.0,106.66,236.0,235.0,0.96,96000,7560.04,756004000,21.58
2016,Jalna,315.0,24326.0,77.23,277.0,233.0,0.92,92000,7238.33,723833000,21.56
2017,Jalna,335.0,23728.0,70.83,277.0,233.0,0.98,98000,7034.36,703436000,19.67
2018,Jalna,356.0,22209.0,62.0,0.76,226.0,0.98,98000,7913.76,791376000,22.08
2019,Jalna,354.0,21593.0,64.0,0.74,224.0,0.9,90000,7926.16,792616000,23.97
2020,Jalna,213.0,16991.0,80.0,0.33,124.0,0.21,21000,3305.92,330592000,43.13
2021,Jalna,126.0,12136.0,96.0,0.32,126.0,0.26,26000,3455.83,345583000,36.31
2015,Kolhapur,1063.0,67433.0,63.44,924.0,866.0,4.03,403000,27491.38,2749138000,18.69
2016,Kolhapur,1089.0,67030.0,61.55,908.0,854.0,4.0,400000,26463.46,2646346000,18.13
2017,Kolhapur,1084.0,68083.0,62.8,893.0,815.0,3.91,391000,25979.34,2597934000,18.2
2018,Kolhapur,1077.0,60857.0,56.5,888.0,798.0,3.93,393000,28992.88,2899288000,20.2
2019,Kolhapur,1103.0,62997.0,57.11,854.0,741.0,3.67,367000,28132.24,2813224000,20.95
2020,Kolhapur,839.0,55304.0,65.92,730.0,320.0,0.99,99000,9932.79,993279000,27.49
2021,Kolhapur,134.0,15669.0,116.93,715.0,274.0,0.77,77000,9590.9,959090000,34.13
2012,Latur,347.0,34958.0,100.74,463.0,442.0,1.68,168000,14097.74,1409774000,22.99
2013,Latur,350.0,35084.0,100.24,469.0,445.0,1.63,163000,15450.85,1545085000,25.97
2014,Latur,350.0,34040.0,97.26,466.0,446.0,1.88,188000,16729.56,1672956000,24.38
2015,Latur,345.0,32012.0,92.79,483.0,454.0,1.82,182000,16016.27,1601627000,24.11
2016,Latur,344.0,32016.0,93.0,518.0,451.0,1.78,178000,15507.24,1550724000,23.82
2017,Latur,341.0,30776.0,90.0,509.0,459.0,1.85,185000,16340.28,1634028000,24.25
2018,Latur,343.0,31906.0,93.0,527.0,463.0,1.84,184000,18667.14,1866714000,27.78
2019,Latur,368.0,26642.0,72.0,504.0,448.0,1.75,175000,18561.61,1856161000,28.99
2020,Latur,317.0,24322.0,77.0,498.0,225.0,0.49,49000,7451.25,745125000,42.08
2021,Latur,262.0,26351.0,101.0,499.0,180.0,0.36,36000,6058.18,605818000,45.58
2013,Mumbai,79.0,22613.3,286.24,196.0,187.0,0.24,24000,11929.6,1192960000,136.18
2014,Mumbai,79.0,22827.4,288.95,199.0,192.0,0.39,39000,12908.27,1290827000,90.68
2015,Mumbai,81.0,23213.8,286.59,207.0,198.0,0.39,39000,12789.98,1278998000,89.85
2016,Mumbai,68.0,18975.3,563.6,192.15,0.78,180.1,18010000,11586.11,1158611000,151.16
2017,Mumbai,68.0,19364.7,574.3,180.67,0.76,165.22,16522000,11308.39,1130839000,163.06
2018,Mumbai,68.0,20431.6,576.5,180.37,0.72,161.01,16101000,11973.14,1197314000,192.96
2019,Mumbai,67.0,18934.2,564.3,159.88,142.41,0.14,14000,10545.19,1054519000,205.8
2020,Mumbai,60.0,1756.7,590.2,106.44,90.78,0.08,8000,4005.24,400524000,137.17
2021,Mumbai,25.0,5665.6,421.7,243.36,72.95,0.07,7000,3339.73,333973000,130.71
2016,Mumbai Suburban,41.0,9819.3,239.5,70.0,66.0,0.22,22000,3013.35,301335000,37.78
2017,Mumbai Suburban,42.0,10252.8,244.01,65.0,60.0,0.18,18000,2890.8,289080000,44.0
2018,Mumbai Suburban,46.0,11562.3,251.4,65.0,60.0,0.15,15000,3160.17,316017000,57.72
2019,Mumbai Suburban,48.0,12101.8,252.1,62.0,55.0,0.11,11000,2801.27,280127000,69.77
2020,Mumbai Suburban,38.0,9272.1,244.0,50.0,42.0,0.07,7000,1566.726,156672600,61.32
2021,Mumbai Suburban,11.0,1868.9,169.9,56.0,28.0,0.05,5000,967.25,96725000,53.0
2012,Nagpur,318.0,32731.0,102.93,552.0,545.0,1.97,197000,15257.0,1525700000,21.24
2013,Nagpur,320.0,33322.0,104.13,571.0,541.0,1.98,198000,16848.0,1684800000,23.31
2014,Nagpur,321.0,33724.0,106.06,603.0,547.0,1.91,191000,18314.0,1831400000,26.27
2015,Nagpur,323.0,34053.0,105.43,577.0,538.0,1.87,187000,17760.0,1776000000,26.02
2016,Nagpur,325.0,33940.0,104.43,584.0,535.0,1.91,191000,17526.0,1752600000,25.14
2017,Nagpur,326.0,34298.0,105.21,591.0,532.0,1.95,195000,21252.0,2125200000,29.8
2018,Nagpur,323.0,33176.0,102.71,590.0,522.0,1.75,175000,23369.0,2336900000,28.37
2019,Nagpur,325.0,33962.0,104.5,559.0,508.0,1.53,153000,17478.0,1747800000,29.94
2020,Nagpur,190.0,24824.0,130.65,504.0,466.0,0.36,36000,7158.9,715890000,53.94
2021,Nagpur,39.0,4348.0,111.49,453.0,174.0,0.33,33000,6535.5,653550000,54.15
2013,Nanded,349.0,41324.0,118.41,565.0,565.0,1.71,171000,14684.09,1468409000,23.59
2014,Nanded,348.0,40835.0,117.34,547.0,547.0,1.62,162000,15843.57,1584357000,26.85
2015,Nanded,357.0,41661.0,116.7,617.0,484.41,1.52,152000,15140.54,1514054000,27.29
2016,Nanded,358.0,38813.0,108.42,575.0,512.64,1.7,170000,15387.87,1538787000,24.8
2017,Nanded,382.0,39338.0,102.98,576.0,514.83,1.89,189000,16620.19,1662019000,24.09
2018,Nanded,384.0,43073.0,112.17,580.0,516.0,1.94,194000,19140.5,1914050000,27.03
2019,Nanded,401.0,41857.0,104.38,599.0,503.0,1.83,183000,18858.96,1885896000,28.59
2020,Nanded,479.0,41032.0,85.66,609.0,304.0,0.57,57000,8324.06,832406000,24.58
2021,Nanded,133.0,8561.0,64.37,601.0,227.48,0.45,45000,8202.05,820205000,69.63
2006,Nandurbar,300.0,23259.9,77.53,256.0,252.0,91.0,9100000,503044.0,50304400000,15.14
2008,Nandurbar,306.0,23504.1,76.81,256.76,253.47,91.0,9100000,5645.55,564555000,15.99
2009,Nandurbar,313.0,22320.3,71.31,265.0,261.0,95.0,9500000,5975.55,597555000,17.19
2010,Nandurbar,368.0,23049.8,62.63,263.0,261.0,101.0,10100000,6708.87,670887000,18.38
2011,Nandurbar,335.0,23600.3,70.45,285.0,283.0,114.0,11400000,8256.69,825669000,19.79
2012,Nandurbar,346.0,22966.2,66.38,303.0,300.0,118.0,11800000,9008.69,900869000,20.92
2013,Nandurbar,343.0,25041.2,73.01,309.0,308.0,1.22,122000,10010.34,1001034000,22.48
2014,Nandurbar,368.0,25031.5,68.02,327.0,326.0,1.17,117000,11231.42,1123142000,26.3
2015,Nandurbar,368.0,24085.3,69.67,345.0,366.0,1.13,113000,10954.67,1095467000,26.56
2016,Nandurbar,371.0,24228.3,65.31,365.0,354.0,1.22,122000,10524.0,1052400000,24.87
2017,Nandurbar,388.0,24316.2,62.67,372.0,343.0,1.22,122000,10822.0,1082200000,24.36
2018,Nandurbar,366.0,22640.6,61.86,361.0,331.0,1.21,121000,11862.75,1186275000,26.78
2019,Nandurbar,369.0,22626.4,61.32,349.0,323.0,1.1,110000,11482.33,1148233000,28.49
2020,Nandurbar,275.0,23079.0,83.92,331.0,146.0,0.25,25000,4535.81,453581000,50.53
2021,Nandurbar,45.0,5393.5,119.86,315.0,0.33,117.0,11700000,3525.11,352511000,43.57
2012,Nashik,3.37,4.32,0.99,0.42,1.41,2.4,240000,5.3,530000,8.18
2013,Nashik,1205.0,53642.6,44.52,992.0,952.0,4.8,480000,30293.22,3029322000,17.29
2014,Nashik,1220.0,54672.9,44.81,1028.0,967.0,4.49,449000,32762.64,3276264000,19.97
2015,Nashik,1251.0,54874.6,43.86,1103.0,994.0,4.56,456000,32955.12,3295512000,19.8
2016,Nashik,1277.0,55322.0,43.32,1073.0,959.0,4.56,456000,30952.91,3095291000,18.58
2017,Nashik,1128.0,54193.0,48.04,1089.0,920.0,4.56005,456005,31978.03,3197803000,19.21
2018,Nashik,1178.0,54876.0,46.58,1064.0,880.0,4.16,416000,35733.93,3573393000,23.55
2019,Nashik,1191.0,57867.0,48.59,1020.0,870.0,3.88,388000,34952.0,3495200000,24.68
2020,Nashik,467.0,39363.0,84.29,911.0,398.0,0.98,98000,12877.2,1287720000,36.0
2021,Nashik,98.0,9614.9,98.11,885.0,269.0,0.58,58000,11383.11,1138311000,53.77
2012,Dharashiv,334.0,36183.0,108.18,421.0,419.0,1.56,156000,12527.9,1252790000,22.0
2013,Dharashiv,340.0,38327.0,112.73,416.0,411.0,1.55,155000,13753.0,1375300000,24.31
2014,Dharashiv,324.0,37565.0,115.94,423.0,408.0,1.5,150000,14775.0,1477500000,26.98
2015,Dharashiv,308.0,34003.0,110.4,450.0,422.0,1.63,163000,14519.0,1451900000,24.4
2016,Dharashiv,308.0,34003.0,110.4,467.0,454.0,1.48,148000,14650.0,1465000000,27.11
2017,Dharashiv,316.0,34800.0,110.0,462.0,435.0,1.56,156000,19848.33,1984833000,34.11
2018,Dharashiv,316.0,34977.0,110.69,469.0,434.0,1.57,157000,22605.02,2260502000,39.45
2019,Dharashiv,316.0,34977.0,110.69,469.0,434.0,1.57,157000,22605.02,2260502000,39.45
2020,Dharashiv,346.0,37937.0,109.64,466.0,426.0,1.5,150000,23394.3,2339430000,42.73
2021,Dharashiv,280.0,34660.0,109.6,483.0,212.0,0.39,39000,8426.74,842674000,59.2
2014,Palghar,529.0,46796.0,88.5,643.0,582.0,2.42,242000,22289.0,2228900000,25.23
2015,Palghar,480.0,42350.0,88.2,506.0,445.0,1.87,187000,14548.2,1454820000,21.3
2016,Palghar,446.0,36959.0,82.9,488.0,420.0,1.78,178000,15352.41,1535241000,23.63
2017,Palghar,433.0,39044.0,90.2,476.0,1.24,415.0,41500000,15231.89,1523189000,24.84
2018,Palghar,453.0,39972.0,88.2,488.0,413.0,1.61,161000,17212.27,1721227000,29.29
2019,Palghar,433.0,40665.0,93.9,464.0,399.0,1.45,145000,16967.76,1696776000,32.06
2020,Palghar,237.0,35735.1,150.8,492.0,307.0,0.51,51000,9586.73,958673000,51.5
2021,Palghar,206.0,31458.6,152.7,482.0,213.0,0.47,47000,6952.92,695292000,40.53
2013,Parbhani,244.0,18774.0,76.94,250.0,234.0,0.91,91000,7144.63,714463000,21.51
2014,Parbhani,333.0,32427.0,97.38,388.0,374.0,1.43,143000,12662.51,1266251000,24.26
2015,Parbhani,259.0,20065.0,77.0,244.0,237.0,0.87,87000,7653.32,765332000,24.1
2016,Parbhani,246.0,18944.0,77.0,236.0,233.0,0.88,88000,7780.89,778089000,24.22
2017,Parbhani,249.0,19047.0,76.0,238.0,228.0,0.98,98000,7551.05,755105000,21.11
2018,Parbhani,268.0,19316.0,72.07,243.0,226.0,0.99,99000,8292.59,829259000,22.95
2019,Parbhani,259.0,18484.0,71.37,241.0,220.0,0.93,93000,7949.14,794914000,23.53
2020,Parbhani,177.0,14265.0,80.59,270.0,123.0,0.26,26000,3901.08,390108000,40.65
2021,Parbhani,34.0,4708.0,138.0,233.0,87.0,0.22,22000,2719.41,271941000,34.5
2017,Pune,974.0,81867.0,84.05,1022.0,915.3,2.92,292000,38014.71,3801471000,35.57
2018,Pune,967.0,74600.0,77.15,1024.0,908.15,2.81,281000,41376.79,4137679000,40.27
2019,Pune,989.0,82464.0,83.4,1025.0,904.44,2.81,281000,40637.0,4063700000,39.65
2020,Pune,434.0,60233.0,138.79,916.0,469.25,2.509589,250959,14491.0,1449100000,15.82
2021,Pune,125.0,20839.0,166.712,904.0,904.0,2.476712,247671,14852.86,1485286000,16.43
2012,Raigad,747.0,44073.0,59.0,632.0,578.0,286.0,28600000,1636298.0,163629800000,14.75
2013,Raigad,787.0,48444.0,61.56,650.0,580.0,289.0,28900000,1820819.0,182081900000,17.26
2014,Raigad,787.0,50357.0,63.99,662.0,596.0,276.0,27600000,1970474.0,197047400000,19.56
2015,Raigad,790.0,50193.0,63.53,671.0,604.0,291.0,29100000,2039328.0,203932800000,19.2
2016,Raigad,758.0,50725.0,66.91,673.0,591.0,277.0,27700000,1950406.0,195040600000,19.29
2017,Raigad,743.0,49797.0,67.02,663.0,568.0,256.0,25600000,1868800.0,186880000000,20.0
2018,Raigad,804.0,58845.0,118.44,660.0,560.0,2.44,244000,16921.4,1692140000,19.0
2019,Raigad,809.0,60626.0,110.99,700.0,532.0,1.55,155000,25334.29,2533429000,44.78
2020,Raigad,510.0,39147.4,194.375,597.0,333.0,0.65,65000,7793.663,779366300,32.85
2021,Raigad,181.0,9554.7,109.86,589.0,254.0,0.56,56000,7104.94,710494000,34.76
