Year,District,Road Type,Fatalities,Grievous injuries
2020,Chh. Sambhaji Nagar,Expressway,0,0
2020,Chh. Sambhaji Nagar,National Highways,101,133
2020,Chh. Sambhaji Nagar,Other Roads,265,416
2020,Chh. Sambhaji Nagar,State Highways,207,220
2020,Beed,Expressway,0,0
2020,Beed,National Highways,116,95
2020,Beed,Other Roads,93,102
2020,Beed,State Highways,120,130
2020,Bhandara,Expressway,0,0
2020,Bhandara,National Highways,57,54
2020,Bhandara,Other Roads,28,35
2020,Bhandara,State Highways,60,48
2020,Buldhana,Expressway,0,0
2020,Buldhana,National Highways,52,26
2020,Buldhana,Other Roads,178,82
2020,Buldhana,State Highways,69,47
2020,Chandrapur,Expressway,0,0
2020,Chandrapur,National Highways,127,97
2020,Chandrapur,Other Roads,81,89
2020,Chandrapur,State Highways,41,18
2020,Dhule,Expressway,0,0
2020,Dhule,National Highways,192,312
2020,Dhule,Other Roads,135,146
2020,Dhule,State Highways,58,82
2020,Gadchiroli,Expressway,0,0
2020,Gadchiroli,National Highways,2,12
2020,Gadchiroli,Other Roads,68,130
2020,Gadchiroli,State Highways,72,66
2020,Gondia,Expressway,0,0
2020,Gondia,National Highways,34,20
2020,Gondia,Other Roads,40,47
2020,Gondia,State Highways,66,44
2020,Hingoli,Expressway,0,0
2020,Hingoli,National Highways,45,65
2020,Hingoli,Other Roads,42,50
2020,Hingoli,State Highways,38,80
2020,Jalgaon,Expressway,0,0
2020,Jalgaon,National Highways,123,110
2020,Jalgaon,Other Roads,162,139
2020,Jalgaon,State Highways,187,140
2020,Jalna,Expressway,0,0
2020,Jalna,National Highways,9,20
2020,Jalna,Other Roads,73,124
2020,Jalna,State Highways,131,172
2020,Kolhapur,Expressway,0,0
2020,Kolhapur,National Highways,50,76
2020,Kolhapur,Other Roads,198,250
2020,Kolhapur,State Highways,72,127
2020,Latur,Expressway,0,0
2020,Latur,National Highways,52,55
2020,Latur,Other Roads,92,79
2020,Latur,State Highways,107,102
2020,Mumbai,Expressway,9,6
2020,Mumbai,National Highways,38,40
2020,Mumbai,Other Roads,499,1567
2020,Mumbai,State Highways,16,41
2020,Nagpur,Expressway,0,0
2020,Nagpur,National Highways,231,217
2020,Nagpur,Other Roads,302,499
2020,Nagpur,State Highways,59,55
2020,Nanded,Expressway,0,0
2020,Nanded,National Highways,97,97
2020,Nanded,Other Roads,138,176
2020,Nanded,State Highways,33,36
2020,Nandurbar,Expressway,0,0
2020,Nandurbar,National Highways,34,44
2020,Nandurbar,Other Roads,63,76
2020,Nandurbar,State Highways,49,106
2020,Nashik,Expressway,0,0
2020,Nashik,National Highways,326,273
2020,Nashik,Other Roads,501,565
2020,Nashik,State Highways,145,140
2020,Dharashiv,Expressway,0,0
2020,Dharashiv,National Highways,106,145
2020,Dharashiv,Other Roads,126,180
2020,Dharashiv,State Highways,40,69
2020,Palghar,Expressway,0,0
2020,Palghar,National Highways,180,100
