Year,District,Time of Day,Fatalities,Grievous injuries
2018,Palghar,00:00 to 03:00,68,77
2018,Palghar,03:00 to 06:00,59,62
2018,Palghar,06:00 to 09:00,60,588
2018,Palghar,09:00 to 12:00,50,66
2018,Palghar,12:00 to 15:00,62,58
2018,Palghar,15:00 to 18:00,56,59
2018,Palghar,18:00 to 21:00,71,80
2018,Palghar,21:00 to 00:00,79,76
2018,Palghar,Unknown,0,0
2018,Parbhani,00:00 to 03:00,10,11
2018,Parbhani,03:00 to 06:00,2,10
2018,Parbhani,06:00 to 09:00,13,25
2018,Parbhani,09:00 to 12:00,13,30
2018,Parbhani,12:00 to 15:00,19,33
2018,Parbhani,15:00 to 18:00,21,36
2018,Parbhani,18:00 to 21:00,33,40
2018,Parbhani,21:00 to 00:00,12,19
2018,Parbhani,Unknown,0,0
2018,Pune,00:00 to 03:00,180,184
2018,Pune,03:00 to 06:00,116,151
2018,Pune,06:00 to 09:00,200,218
2018,Pune,09:00 to 12:00,193,266
2018,Pune,12:00 to 15:00,187,295
2018,Pune,15:00 to 18:00,172,258
2018,Pune,18:00 to 21:00,204,314
2018,Pune,21:00 to 00:00,199,250
2018,Pune,Unknown,1,0
2018,Raigad,00:00 to 03:00,35,0
2018,Raigad,03:00 to 06:00,25,66
2018,Raigad,06:00 to 09:00,15,69
2018,Raigad,09:00 to 12:00,65,101
2018,Raigad,12:00 to 15:00,33,76
2018,Raigad,15:00 to 18:00,38,98
2018,Raigad,18:00 to 21:00,46,108
2018,Raigad,21:00 to 00:00,28,87
2018,Raigad,,17,52
2018,Ratnagiri,00:00 to 03:00,3,42
2018,Ratnagiri,03:00 to 06:00,6,20
2018,Ratnagiri,06:00 to 09:00,26,49
2018,Ratnagiri,09:00 to 12:00,38,98
2018,Ratnagiri,12:00 to 15:00,27,103
2018,Ratnagiri,15:00 to 18:00,29,69
2018,Ratnagiri,18:00 to 21:00,21,65
2018,Ratnagiri,21:00 to 00:00,13,45
2018,Ratnagiri,Unknown,0,0
2018,Sangli,00:00 to 03:00,11,35
2018,Sangli,03:00 to 06:00,6,15
2018,Sangli,06:00 to 09:00,45,107
2018,Sangli,09:00 to 12:00,50,98
2018,Sangli,12:00 to 15:00,54,101
2018,Sangli,15:00 to 18:00,51,152
2018,Sangli,18:00 to 21:00,87,129
2018,Sangli,21:00 to 00:00,55,72
2018,Sangli,Unknown,0,0
2018,Satara,00:00 to 03:00,8,2
2018,Satara,03:00 to 06:00,0,3
2018,Satara,06:00 to 09:00,40,18
2018,Satara,09:00 to 12:00,44,87
2018,Satara,12:00 to 15:00,64,66
2018,Satara,15:00 to 18:00,29,71
2018,Satara,18:00 to 21:00,22,51
2018,Satara,21:00 to 00:00,9,23
2018,Satara,Unknown,0,2
2018,Sindhudurg,00:00 to 03:00,3,3
2018,Sindhudurg,03:00 to 06:00,2,1
2018,Sindhudurg,06:00 to 09:00,4,10
2018,Sindhudurg,09:00 to 12:00,14,16
2018,Sindhudurg,12:00 to 15:00,17,14
2018,Sindhudurg,15:00 to 18:00,24,21
2018,Sindhudurg,18:00 to 21:00,19,18
2018,Sindhudurg,21:00 to 00:00,6,8
2018,Sindhudurg,Unknown,0,0
2018,Solapur,00:00 to 03:00,118,132
2018,Solapur,03:00 to 06:00,96,107
2018,Solapur,06:00 to 09:00,71,74
2018,Solapur,09:00 to 12:00,66,101
2018,Solapur,12:00 to 15:00,61,106
2018,Solapur,15:00 to 18:00,57,66
2018,Solapur,18:00 to 21:00,82,112
2018,Solapur,21:00 to 00:00,103,100
2018,Solapur,Unknown,0,0
2018,Thane,00:00 to 03:00,78,104
2018,Thane,03:00 to 06:00,49,100
2018,Thane,06:00 to 09:00,65,112
2018,Thane,09:00 to 12:00,56,112
2018,Thane,12:00 to 15:00,70,109
2018,Thane,15:00 to 18:00,67,155
2018,Thane,18:00 to 21:00,81,170
2018,Thane,21:00 to 00:00,69,142
2018,Thane,Unknown,14,28
2018,Wardha,00:00 to 03:00,16,1
2018,Wardha,03:00 to 06:00,16,25
2018,Wardha,06:00 to 09:00,27,27
2018,Wardha,09:00 to 12:00,22,50
2018,Wardha,12:00 to 15:00,13,34
2018,Wardha,15:00 to 18:00,35,36
2018,Wardha,18:00 to 21:00,52,51
2018,Wardha,21:00 to 00:00,32,27
2018,Wardha,Unknown,0,0
2018,Washim,00:00 to 03:00,6,0
2018,Washim,03:00 to 06:00,6,1
2018,Washim,06:00 to 09:00,12,10
2018,Washim,09:00 to 12:00,17,14
2018,Washim,12:00 to 15:00,21,9
2018,Washim,15:00 to 18:00,20,13
2018,Washim,18:00 to 21:00,49,28
2018,Washim,21:00 to 00:00,11,3
2018,Washim,Unknown,0,0
2018,Yavatmal,00:00 to 03:00,6,0
2018,Yavatmal,03:00 to 06:00,30,1
2018,Yavatmal,06:00 to 09:00,20,29
2018,Yavatmal,09:00 to 12:00,37,31
2018,Yavatmal,12:00 to 15:00,48,51
2018,Yavatmal,15:00 to 18:00,81,45
2018,Yavatmal,18:00 to 21:00,86,50
2018,Yavatmal,21:00 to 00:00,42,25
2018,Yavatmal,Unknown,0,0
2020,Ahilyanagar,00:00 to 03:00,35,27
2020,Ahilyanagar,03:00 to 06:00,25,35
2020,Ahilyanagar,06:00 to 09:00,95,69
2020,Ahilyanagar,09:00 to 12:00,85,82
2020,Ahilyanagar,12:00 to 15:00,101,110
2020,Ahilyanagar,15:00 to 18:00,107,146
2020,Ahilyanagar,18:00 to 21:00,132,102
2020,Ahilyanagar,21:00 to 00:00,62,47
2020,Ahilyanagar,Unknown,0,0
2020,Akola,00:00 to 03:00,2,0
2020,Akola,03:00 to 06:00,2,2
2020,Akola,06:00 to 09:00,4,2
2020,Akola,09:00 to 12:00,19,26
2020,Akola,12:00 to 15:00,25,28
2020,Akola,15:00 to 18:00,28,37
2020,Akola,18:00 to 21:00,35,32
2020,Akola,21:00 to 00:00,7,8
2020,Akola,Unknown,5,2
2020,Amravati,00:00 to 03:00,2,1
2020,Amravati,03:00 to 06:00,6,3
2020,Amravati,06:00 to 09:00,13,21
2020,Amravati,09:00 to 12:00,26,44
2020,Amravati,12:00 to 15:00,111,53
2020,Amravati,15:00 to 18:00,70,44
2020,Amravati,18:00 to 21:00,89,57
2020,Amravati,21:00 to 00:00,56,39
2020,Amravati,Unknown,0,0
2020,Chh. Sambhaji Nagar,00:00 to 03:00,28,27
2020,Chh. Sambhaji Nagar,03:00 to 06:00,8,9
2020,Chh. Sambhaji Nagar,06:00 to 09:00,28,19
2020,Chh. Sambhaji Nagar,09:00 to 12:00,21,47
2020,Chh. Sambhaji Nagar,12:00 to 15:00,30,63
2020,Chh. Sambhaji Nagar,15:00 to 18:00,63,79
2020,Chh. Sambhaji Nagar,18:00 to 21:00,93,110
2020,Chh. Sambhaji Nagar,21:00 to 00:00,66,51
2020,Chh. Sambhaji Nagar,Unknown,0,0
2020,Beed,00:00 to 03:00,17,21
2020,Beed,03:00 to 06:00,18,22
2020,Beed,06:00 to 09:00,32,34
2020,Beed,09:00 to 12:00,47,63
2020,Beed,12:00 to 15:00,33,29
2020,Beed,15:00 to 18:00,55,60
