Year,District,Select Violation,Number of Cases,Fine Collected
2018,Osmanabad,Improper Number Plate,171.0,36800.0
2018,Osmanabad,Tinted Glass,13.0,2800.0
2018,Osmanabad,Wrong Side Driving,285.0,57200.0
2018,Osmanabad,Use of Mobile while Driving,533.0,107900.0
2018,Osmanabad,Signal Jumping,144.0,29200.0
2018,Osmanabad,Honking,25.0,5000.0
2018,Osmanabad,Jaywalking,0.0,0.0
2018,Osmanabad,Other Cases,27300.0,5794718.0
2018,Osmanabad,Illicit Cases,740.0,404700.0
2018,Osmanabad,Carrying Passengers in Goods Vehicles,,
2018,Osmanabad,Without License,,
2018,Osmanabad,Excess Passengers,,
2018,Osmanabad,Carrying Goods in Closed Body Vehicles,,
2018,Osmanabad,Dangerous Goods,,
2018,Osmanabad,Violation of Permit,,
2018,Osmanabad,Trespassing,,
2018,Osmanabad,Clandestine Operations,,
2018,Osmanabad,Without Insurance,,
2018,Palghar,Dangerous Driving,243.0,275000.0
2018,Palghar,Overtaking,9.0,3500.0
2018,Palghar,Overspeeding,210.0,153900.0
2018,Palghar,Drunken Driving,1077.0,1741500.0
2018,Palghar,Parking Offence,907.0,169400.0
2018,Palghar,Overload,1.0,200.0
2018,Palghar,Without Brake Lights,109.0,71500.0
2018,Palghar,Without Seatbelt,1618.0,314200.0
2018,Palghar,Without Helmet,1312.0,478100.0
2018,Palghar,Improper Number Plate,772.0,176400.0
2018,Palghar,Tinted Glass,51.0,15600.0
2018,Palghar,Wrong Side Driving,2004.0,382600.0
2018,Palghar,Use of Mobile while Driving,2754.0,529700.0
2018,Palghar,Signal Jumping,3748.0,723200.0
2018,Palghar,Honking,0.0,0.0
2018,Palghar,Jaywalking,0.0,0.0
2018,Palghar,Other Cases,56481.0,20845730.0
2018,Palghar,Illicit Cases,1363.0,3739400.0
2018,Palghar,Carrying Passengers in Goods Vehicles,,
2018,Palghar,Without License,,
2018,Palghar,Excess Passengers,,
2018,Palghar,Carrying Goods in Closed Body Vehicles,,
2018,Palghar,Dangerous Goods,,
2018,Palghar,Violation of Permit,,
2018,Palghar,Trespassing,,
2018,Palghar,Clandestine Operations,,
2018,Palghar,Without Insurance,,
2018,Parbhani,Dangerous Driving,17.0,2100.0
2018,Parbhani,Overtaking,0.0,0.0
2018,Parbhani,Overspeeding,1.0,1000.0
2018,Parbhani,Drunken Driving,258.0,193400.0
2018,Parbhani,Parking Offence,0.0,0.0
2018,Parbhani,Overload,230.0,47500.0
2018,Parbhani,Without Brake Lights,0.0,0.0
2018,Parbhani,Without Seatbelt,904.0,181000.0
2018,Parbhani,Without Helmet,77.0,40600.0
2018,Parbhani,Improper Number Plate,493.0,101600.0
2018,Parbhani,Tinted Glass,2.0,400.0
2018,Parbhani,Wrong Side Driving,4018.0,803900.0
2018,Parbhani,Use of Mobile while Driving,333.0,67400.0
2018,Parbhani,Signal Jumping,0.0,0.0
2018,Parbhani,Honking,0.0,0.0
2018,Parbhani,Jaywalking,0.0,0.0
2018,Parbhani,Other Cases,10958.0,3989580.0
2018,Parbhani,Illicit Cases,837.0,1709600.0
2018,Parbhani,Carrying Passengers in Goods Vehicles,,
2018,Parbhani,Without License,,
2018,Parbhani,Excess Passengers,,
2018,Parbhani,Carrying Goods in Closed Body Vehicles,,
2018,Parbhani,Dangerous Goods,,
2018,Parbhani,Violation of Permit,,
2018,Parbhani,Trespassing,,
2018,Parbhani,Clandestine Operations,,
2018,Parbhani,Without Insurance,,
2018,Pune,Dangerous Driving,12520.0,8403200.0
2018,Pune,Overtaking,85.0,17000.0
2018,Pune,Overspeeding,431.0,404300.0
2018,Pune,Drunken Driving,12074.0,21067100.0
2018,Pune,Parking Offence,254888.0,52394500.0
2018,Pune,Overload,247.0,49400.0
2018,Pune,Without Brake Lights,708.0,155200.0
2018,Pune,Without Seatbelt,60295.0,12165500.0
2018,Pune,Without Helmet,82071.0,40519500.0
2018,Pune,Improper Number Plate,30514.0,5545000.0
2018,Pune,Tinted Glass,39522.0,7905200.0
2018,Pune,Wrong Side Driving,85196.0,20032800.0
2018,Pune,Use of Mobile while Driving,65786.0,15164800.0
2018,Pune,Signal Jumping,169220.0,33651300.0
2018,Pune,Honking,2530.0,1231100.0
2018,Pune,Jaywalking,16.0,3200.0
2018,Pune,Other Cases,1266196.0,291060875.0
2018,Pune,Illicit Cases,4313.0,5648880.0
2018,Pune,Carrying Passengers in Goods Vehicles,,
2018,Pune,Without License,,
2018,Pune,Excess Passengers,,
2018,Pune,Carrying Goods in Closed Body Vehicles,,
2018,Pune,Dangerous Goods,,
2018,Pune,Violation of Permit,,
2018,Pune,Trespassing,,
2018,Pune,Clandestine Operations,,
2018,Pune,Without Insurance,,
2018,Raigad,Dangerous Driving,751.0,150200.0
2018,Raigad,Overtaking,0.0,0.0
2018,Raigad,Overspeeding,38.0,40000.0
2018,Raigad,Drunken Driving,1183.0,1554000.0
2018,Raigad,Parking Offence,748.0,149600.0
2018,Raigad,Overload,14.0,109300.0
2018,Raigad,Without Brake Lights,52.0,10400.0
2018,Raigad,Without Seatbelt,6216.0,1147800.0
2018,Raigad,Without Helmet,1766.0,883000.0
2018,Raigad,Improper Number Plate,9.0,9000.0
2018,Raigad,Tinted Glass,186.0,33600.0
2018,Raigad,Wrong Side Driving,0.0,0.0
2018,Raigad,Use of Mobile while Driving,3201.0,592600.0
2018,Raigad,Signal Jumping,210.0,42000.0
2018,Raigad,Honking,0.0,0.0
2018,Raigad,Jaywalking,0.0,0.0
2018,Raigad,Other Cases,43451.0,9332900.0
2018,Raigad,Illicit Cases,87.0,119100.0
2018,Raigad,Carrying Passengers in Goods Vehicles,,
2018,Raigad,Without License,,
2018,Raigad,Excess Passengers,,
2018,Raigad,Carrying Goods in Closed Body Vehicles,,
2018,Raigad,Dangerous Goods,,
2018,Raigad,Violation of Permit,,
2018,Raigad,Trespassing,,
2018,Raigad,Clandestine Operations,,
2018,Raigad,Without Insurance,,
2018,Ratnagiri,Dangerous Driving,190.0,162800.0
2018,Ratnagiri,Overtaking,0.0,0.0
2018,Ratnagiri,Overspeeding,0.0,0.0
2018,Ratnagiri,Drunken Driving,61.0,87600.0
2018,Ratnagiri,Parking Offence,4865.0,977100.0
2018,Ratnagiri,Overload,0.0,0.0
2018,Ratnagiri,Without Brake Lights,0.0,0.0
2018,Ratnagiri,Without Seatbelt,1410.0,281300.0
2018,Ratnagiri,Without Helmet,2440.0,1232200.0
2018,Ratnagiri,Improper Number Plate,1791.0,377200.0
2018,Ratnagiri,Tinted Glass,124.0,25400.0
2018,Ratnagiri,Wrong Side Driving,8043.0,1617200.0
2018,Ratnagiri,Use of Mobile while Driving,468.0,94400.0
2018,Ratnagiri,Signal Jumping,881.0,180000.0
2018,Ratnagiri,Honking,0.0,0.0
2018,Ratnagiri,Jaywalking,0.0,0.0
2018,Ratnagiri,Other Cases,25470.0,6176350.0
2018,Ratnagiri,Illicit Cases,345.0,447700.0
2018,Ratnagiri,Carrying Passengers in Goods Vehicles,,
2018,Ratnagiri,Without License,,
2018,Ratnagiri,Excess Passengers,,
2018,Ratnagiri,Carrying Goods in Closed Body Vehicles,,
2018,Ratnagiri,Dangerous Goods,,
2018,Ratnagiri,Violation of Permit,,
2018,Ratnagiri,Trespassing,,
2018,Ratnagiri,Clandestine Operations,,
2018,Ratnagiri,Without Insurance,,
2018,Sangli,Dangerous Driving,335.0,136500.0
2018,Sangli,Overtaking,0.0,0.0
2018,Sangli,Overspeeding,33.0,37700.0
2018,Sangli,Drunken Driving,3553.0,5073500.0
2018,Sangli,Parking Offence,8640.0,1806700.0
2018,Sangli,Overload,2505.0,515300.0
2018,Sangli,Without Brake Lights,33.0,6400.0
2018,Sangli,Without Seatbelt,5205.0,1047500.0
2018,Sangli,Without Helmet,375.0,194100.0
2018,Sangli,Improper Number Plate,2257.0,583700.0
2018,Sangli,Tinted Glass,224.0,50600.0
2018,Sangli,Wrong Side Driving,472.0,94600.0
2018,Sangli,Use of Mobile while Driving,2613.0,531300.0
2018,Sangli,Signal Jumping,1544.0,305800.0
2018,Sangli,Honking,47.0,24600.0
2018,Sangli,Jaywalking,0.0,0.0
2018,Sangli,Other Cases,116504.0,26616700.0
2018,Sangli,Illicit Cases,951.0,1732000.0
2018,Sangli,Carrying Passengers in Goods Vehicles,,
2018,Sangli,Without License,,
2018,Sangli,Excess Passengers,,
2018,Sangli,Carrying Goods in Closed Body Vehicles,,
2018,Sangli,Dangerous Goods,,
2018,Sangli,Violation of Permit,,
2018,Sangli,Trespassing,,
2018,Sangli,Clandestine Operations,,
2018,Sangli,Without Insurance,,
2018,Satara,Dangerous Driving,1612.0,454700.0
2018,Satara,Overtaking,1.0,200.0
2018,Satara,Overspeeding,12.0,8200.0
2018,Satara,Drunken Driving,500.0,101400.0
2018,Satara,Parking Offence,13527.0,2702000.0
2018,Satara,Overload,0.0,0.0
2018,Satara,Without Brake Lights,357.0,55200.0
2018,Satara,Without Seatbelt,13772.0,2732400.0
2018,Satara,Without Helmet,2418.0,344900.0
2018,Satara,Improper Number Plate,6151.0,1232500.0
2018,Satara,Tinted Glass,1178.0,238600.0
2018,Satara,Wrong Side Driving,1642.0,329400.0
2018,Satara,Use of Mobile while Driving,5942.0,1004500.0
2018,Satara,Signal Jumping,4309.0,822800.0
2018,Satara,Honking,47.0,24600.0
2018,Satara,Jaywalking,0.0,0.0
2018,Satara,Other Cases,116504.0,26616700.0
2018,Satara,Illicit Cases,2370.0,4624400.0
2018,Satara,Carrying Passengers in Goods Vehicles,,
2018,Satara,Without License,,
2018,Satara,Excess Passengers,,
2018,Satara,Carrying Goods in Closed Body Vehicles,,
2018,Satara,Dangerous Goods,,
2018,Satara,Violation of Permit,,
2018,Satara,Trespassing,,
2018,Satara,Clandestine Operations,,
2018,Satara,Without Insurance,,
2018,Sindhudurg,Dangerous Driving,99.0,39200.0
2018,Sindhudurg,Overtaking,3.0,600.0
2018,Sindhudurg,Overspeeding,12.0,6400.0
2018,Sindhudurg,Drunken Driving,162.0,301050.0
2018,Sindhudurg,Parking Offence,9.0,1800.0
2018,Sindhudurg,Overload,9.0,5400.0
2018,Sindhudurg,Without Brake Lights,1.0,200.0
2018,Sindhudurg,Without Seatbelt,4270.0,855400.0
2018,Sindhudurg,Without Helmet,40.0,9700.0
2018,Sindhudurg,Improper Number Plate,245.0,53300.0
2018,Sindhudurg,Tinted Glass,979.0,196200.0
2018,Sindhudurg,Wrong Side Driving,441.0,89100.0
2018,Sindhudurg,Use of Mobile while Driving,1305.0,263300.0
2018,Sindhudurg,Signal Jumping,22.0,5700.0
2018,Sindhudurg,Honking,0.0,0.0
2018,Sindhudurg,Jaywalking,0.0,0.0
2018,Sindhudurg,Other Cases,29007.0,6020611.0
2018,Sindhudurg,Illicit Cases,13.0,23600.0
2018,Sindhudurg,Carrying Passengers in Goods Vehicles,,
2018,Sindhudurg,Without License,,
2018,Sindhudurg,Excess Passengers,,
2018,Sindhudurg,Carrying Goods in Closed Body Vehicles,,
2018,Sindhudurg,Dangerous Goods,,
2018,Sindhudurg,Violation of Permit,,
2018,Sindhudurg,Trespassing,,
2018,Sindhudurg,Clandestine Operations,,
2018,Sindhudurg,Without Insurance,,
2018,Solapur,Dangerous Driving,1880.0,667200.0
2018,Solapur,Overtaking,231.0,46200.0
2018,Solapur,Overspeeding,10.0,10000.0
2018,Solapur,Drunken Driving,1281.0,1278700.0
2018,Solapur,Parking Offence,37709.0,7541800.0
2018,Solapur,Overload,151.0,27200.0
2018,Solapur,Without Brake Lights,6.0,1200.0
2018,Solapur,Without Seatbelt,19111.0,3829400.0
2018,Solapur,Without Helmet,1234.0,617000.0
2018,Solapur,Improper Number Plate,31.0,20600.0
2018,Solapur,Tinted Glass,378.0,73300.0
2018,Solapur,Wrong Side Driving,1577.0,315400.0
2018,Solapur,Use of Mobile while Driving,16519.0,3303800.0
2018,Solapur,Signal Jumping,9379.0,1875800.0
2018,Solapur,Honking,65.0,32200.0
2018,Solapur,Jaywalking,0.0,0.0
2018,Solapur,Other Cases,103383.0,22128750.0
2018,Solapur,Illicit Cases,3144.0,6542900.0
2018,Solapur,Carrying Passengers in Goods Vehicles,,
2018,Solapur,Without License,,
2018,Solapur,Excess Passengers,,
2018,Solapur,Carrying Goods in Closed Body Vehicles,,
2018,Solapur,Dangerous Goods,,
2018,Solapur,Violation of Permit,,
2018,Solapur,Trespassing,,
2018,Solapur,Clandestine Operations,,
2018,Solapur,Without Insurance,,
2018,Thane,Dangerous Driving,11046.0,6291800.0
2018,Thane,Overtaking,277.0,49600.0
2018,Thane,Overspeeding,325.0,179201.0
2018,Thane,Drunken Driving,15153.0,46639800.0
2018,Thane,Parking Offence,106478.0,28028800.0
2018,Thane,Overload,143.0,28600.0
2018,Thane,Without Brake Lights,992.0,727950.0
2018,Thane,Without Seatbelt,22617.0,664200.0
2018,Thane,Without Helmet,15703.0,6496400.0
2018,Thane,Improper Number Plate,8818.0,1805200.0
2018,Thane,Tinted Glass,15140.0,3059900.0
2018,Thane,Wrong Side Driving,40864.0,8713800.0
2018,Thane,Use of Mobile while Driving,12647.0,2623200.0
2018,Thane,Signal Jumping,29657.0,5793500.0
2018,Thane,Honking,539.0,121250.0
2018,Thane,Jaywalking,0.0,0.0
2018,Thane,Other Cases,478114.0,73163284.0
2018,Thane,Illicit Cases,793.0,887300.0
2018,Thane,Carrying Passengers in Goods Vehicles,,
2018,Thane,Without License,,
2018,Thane,Excess Passengers,,
2018,Thane,Carrying Goods in Closed Body Vehicles,,
2018,Thane,Dangerous Goods,,
2018,Thane,Violation of Permit,,
2018,Thane,Trespassing,,
2018,Thane,Clandestine Operations,,
2018,Thane,Without Insurance,,
2018,Wardha,Dangerous Driving,65.0,9800.0
2018,Wardha,Overtaking,0.0,0.0
2018,Wardha,Overspeeding,36.0,7200.0
2018,Wardha,Drunken Driving,416.0,21600.0
2018,Wardha,Parking Offence,7978.0,2415600.0
2018,Wardha,Overload,110.0,22000.0
2018,Wardha,Without Brake Lights,0.0,0.0
2018,Wardha,Without Seatbelt,260.0,50800.0
2018,Wardha,Without Helmet,1851.0,830100.0
2018,Wardha,Improper Number Plate,361.0,73900.0
2018,Wardha,Tinted Glass,30.0,6000.0
2018,Wardha,Wrong Side Driving,1395.0,182900.0
2018,Wardha,Use of Mobile while Driving,61.0,56600.0
2018,Wardha,Signal Jumping,0.0,0.0
2018,Wardha,Honking,3.0,4700.0
2018,Wardha,Jaywalking,0.0,0.0
2018,Wardha,Other Cases,30323.0,6597600.0
2018,Wardha,Illicit Cases,820.0,85400.0
2018,Wardha,Carrying Passengers in Goods Vehicles,,
2018,Wardha,Without License,,
2018,Wardha,Excess Passengers,,
2018,Wardha,Carrying Goods in Closed Body Vehicles,,
2018,Wardha,Dangerous Goods,,
2018,Wardha,Violation of Permit,,
2018,Wardha,Trespassing,,
2018,Wardha,Clandestine Operations,,
2018,Wardha,Without Insurance,,
2018,Washim,Dangerous Driving,4.0,400.0
2018,Washim,Overtaking,0.0,0.0
2018,Washim,Overspeeding,36.0,8600.0
2018,Washim,Drunken Driving,7.0,0.0
2018,Washim,Parking Offence,3142.0,600500.0
2018,Washim,Overload,11.0,1200.0
2018,Washim,Without Brake Lights,0.0,0.0
2018,Washim,Without Seatbelt,3467.0,665600.0
2018,Washim,Without Helmet,413.0,71000.0
2018,Washim,Improper Number Plate,698.0,128700.0
2018,Washim,Tinted Glass,1.0,200.0
2018,Washim,Wrong Side Driving,0.0,0.0
2018,Washim,Use of Mobile while Driving,21.0,4200.0
2018,Washim,Signal Jumping,0.0,0.0
2018,Washim,Honking,0.0,0.0
2018,Washim,Jaywalking,0.0,0.0
2018,Washim,Other Cases,20513.0,4798500.0
2018,Washim,Illicit Cases,4621.0,331500.0
2018,Washim,Carrying Passengers in Goods Vehicles,,
2018,Washim,Without License,,
2018,Washim,Excess Passengers,,
2018,Washim,Carrying Goods in Closed Body Vehicles,,
2018,Washim,Dangerous Goods,,
2018,Washim,Violation of Permit,,
2018,Washim,Trespassing,,
2018,Washim,Clandestine Operations,,
2018,Washim,Without Insurance,,
2018,Yavatmal,Dangerous Driving,68.0,90300.0
2018,Yavatmal,Overtaking,0.0,0.0
2018,Yavatmal,Overspeeding,38.0,41100.0
2018,Yavatmal,Drunken Driving,2593.0,1400800.0
2018,Yavatmal,Parking Offence,5815.0,1080000.0
2018,Yavatmal,Overload,5.0,75700.0
2018,Yavatmal,Without Brake Lights,75.0,6200.0
2018,Yavatmal,Without Seatbelt,2725.0,1011100.0
2018,Yavatmal,Without Helmet,370.0,176200.0
2018,Yavatmal,Improper Number Plate,3651.0,974200.0
2018,Yavatmal,Tinted Glass,148.0,30700.0
2018,Yavatmal,Wrong Side Driving,7527.0,1524300.0
2018,Yavatmal,Use of Mobile while Driving,4431.0,982400.0
2018,Yavatmal,Signal Jumping,6833.0,1400900.0
2018,Yavatmal,Honking,4.0,800.0
2018,Yavatmal,Jaywalking,0.0,0.0
2018,Yavatmal,Other Cases,73427.0,23797700.0
2018,Yavatmal,Illicit Cases,6926.0,102200.0
2018,Yavatmal,Carrying Passengers in Goods Vehicles,,
2018,Yavatmal,Without License,,
2018,Yavatmal,Excess Passengers,,
2018,Yavatmal,Carrying Goods in Closed Body Vehicles,,
2018,Yavatmal,Dangerous Goods,,
2018,Yavatmal,Violation of Permit,,
2018,Yavatmal,Trespassing,,
2018,Yavatmal,Clandestine Operations,,
2018,Yavatmal,Without Insurance,,
2020,Ahmednagar,Dangerous Driving,903.0,890200.0
2020,Ahmednagar,Overtaking,7.0,1400.0
2020,Ahmednagar,Overspeeding,388.0,388000.0
2020,Ahmednagar,Drunken Driving,20.0,40000.0
2020,Ahmednagar,Parking Offence,46122.0,9224400.0
2020,Ahmednagar,Overload,,
2020,Ahmednagar,Without Brake Lights,155.0,155000.0
2020,Ahmednagar,Without Seatbelt,53410.0,10682000.0
2020,Ahmednagar,Without Helmet,25827.0,8985300.0
2020,Ahmednagar,Improper Number Plate,3728.0,1085600.0
2020,Ahmednagar,Tinted Glass,3960.0,792000.0
2020,Ahmednagar,Wrong Side Driving,596.0,595200.0
2020,Ahmednagar,Use of Mobile while Driving,7688.0,1537600.0
2020,Ahmednagar,Signal Jumping,,
2020,Ahmednagar,Honking,6.0,2400.0
2020,Ahmednagar,Jaywalking,,
2020,Ahmednagar,Other Cases,91155.0,19229400.0
2020,Ahmednagar,Illicit Cases,,
2020,Ahmednagar,Carrying Passengers in Goods Vehicles,915.0,183000.0
2020,Ahmednagar,Without License,5572.0,2786000.0
2020,Ahmednagar,Excess Passengers,100.0,20000.0
2020,Ahmednagar,Carrying Goods in Closed Body Vehicles,,
2020,Ahmednagar,Dangerous Goods,108.0,53700.0
2020,Ahmednagar,Violation of Permit,5.0,25000.0
2020,Ahmednagar,Trespassing,,
2020,Ahmednagar,Clandestine Operations,,
2020,Ahmednagar,Without Insurance,266.0,282100.0
2020,Akola,Dangerous Driving,234.0,232400.0
2020,Akola,Overtaking,0.0,0.0
2020,Akola,Overspeeding,4118.0,4118000.0
2020,Akola,Drunken Driving,0.0,0.0
2020,Akola,Parking Offence,8212.0,1642400.0
2020,Akola,Overload,,
2020,Akola,Without Brake Lights,5.0,5000.0
2020,Akola,Without Seatbelt,7349.0,1469800.0
2020,Akola,Without Helmet,2290.0,774200.0
2020,Akola,Improper Number Plate,766.0,155600.0
2020,Akola,Tinted Glass,162.0,32400.0
2020,Akola,Wrong Side Driving,151.0,151000.0
2020,Akola,Use of Mobile while Driving,1562.0,312400.0
2020,Akola,Signal Jumping,,
2020,Akola,Honking,5.0,2200.0
2020,Akola,Jaywalking,,
2020,Akola,Other Cases,68706.0,13809600.0
2020,Akola,Illicit Cases,,
2020,Akola,Carrying Passengers in Goods Vehicles,9.0,1800.0
2020,Akola,Without License,368.0,184000.0
2020,Akola,Excess Passengers,1.0,200.0
2020,Akola,Carrying Goods in Closed Body Vehicles,,
2020,Akola,Dangerous Goods,0.0,0.0
2020,Akola,Violation of Permit,797.0,3985000.0
2020,Akola,Trespassing,,
2020,Akola,Clandestine Operations,,
2020,Akola,Without Insurance,8.0,10900.0
2020,Amravati,Dangerous Driving,1658.0,1635600.0
2020,Amravati,Overtaking,247.0,49400.0
2020,Amravati,Overspeeding,5820.0,5820000.0
2020,Amravati,Drunken Driving,13.0,26000.0
2020,Amravati,Parking Offence,22761.0,4552200.0
2020,Amravati,Overload,,
2020,Amravati,Without Brake Lights,209.0,209000.0
2020,Amravati,Without Seatbelt,27858.0,5571600.0
2020,Amravati,Without Helmet,7562.0,1630000.0
2020,Amravati,Improper Number Plate,2098.0,458000.0
2020,Amravati,Tinted Glass,545.0,109000.0
2020,Amravati,Wrong Side Driving,539.0,539000.0
2020,Amravati,Use of Mobile while Driving,6002.0,1200400.0
2020,Amravati,Signal Jumping,,
2020,Amravati,Honking,136.0,63500.0
2020,Amravati,Jaywalking,,
2020,Amravati,Other Cases,114963.0,24598750.0
2020,Amravati,Illicit Cases,,
2020,Amravati,Carrying Passengers in Goods Vehicles,1264.0,252800.0
2020,Amravati,Without License,1819.0,909500.0
2020,Amravati,Excess Passengers,504.0,100800.0
2020,Amravati,Carrying Goods in Closed Body Vehicles,,
2020,Amravati,Dangerous Goods,8.0,2800.0
2020,Amravati,Violation of Permit,956.0,4780000.0
2020,Amravati,Trespassing,,
2020,Amravati,Clandestine Operations,,
2020,Amravati,Without Insurance,762.0,390100.0
2020,Aurangabad,Dangerous Driving,7911.0,6376600.0
2020,Aurangabad,Overtaking,9.0,1800.0
2020,Aurangabad,Overspeeding,24552.0,24552000.0
2020,Aurangabad,Drunken Driving,221.0,442000.0
2020,Aurangabad,Parking Offence,32972.0,6594400.0
2020,Aurangabad,Overload,,
2020,Aurangabad,Without Brake Lights,91.0,91000.0
2020,Aurangabad,Without Seatbelt,31008.0,6201600.0
2020,Aurangabad,Without Helmet,36950.0,12892300.0
2020,Aurangabad,Improper Number Plate,5503.0,1175000.0
2020,Aurangabad,Tinted Glass,3025.0,605000.0
2020,Aurangabad,Wrong Side Driving,1335.0,1335000.0
2020,Aurangabad,Use of Mobile while Driving,8048.0,1609600.0
2020,Aurangabad,Signal Jumping,,
2020,Aurangabad,Honking,757.0,362300.0
2020,Aurangabad,Jaywalking,,
2020,Aurangabad,Other Cases,278145.0,58464900.0
2020,Aurangabad,Illicit Cases,,
2020,Aurangabad,Carrying Passengers in Goods Vehicles,271.0,54200.0
2020,Aurangabad,Without License,15165.0,7582500.0
2020,Aurangabad,Excess Passengers,735.0,147000.0
2020,Aurangabad,Carrying Goods in Closed Body Vehicles,,
2020,Aurangabad,Dangerous Goods,52.0,17400.0
2020,Aurangabad,Violation of Permit,298.0,1490000.0
2020,Aurangabad,Trespassing,,
2020,Aurangabad,Clandestine Operations,,
2020,Aurangabad,Without Insurance,781.0,489300.0
2020,Beed,Dangerous Driving,500.0,488000.0
2020,Beed,Overtaking,0.0,0.0
2020,Beed,Overspeeding,27.0,27000.0
2020,Beed,Drunken Driving,0.0,0.0
2020,Beed,Parking Offence,12800.0,2560000.0
2020,Beed,Overload,,
2020,Beed,Without Brake Lights,66.0,66000.0
2020,Beed,Without Seatbelt,9362.0,1872400.0
2020,Beed,Without Helmet,6306.0,1586400.0
2020,Beed,Improper Number Plate,1670.0,384400.0
2020,Beed,Tinted Glass,972.0,194400.0
2020,Beed,Wrong Side Driving,348.0,348000.0
2020,Beed,Use of Mobile while Driving,4598.0,919600.0
2020,Beed,Signal Jumping,,
2020,Beed,Honking,46.0,19400.0
2020,Beed,Jaywalking,,
2020,Beed,Other Cases,26236.0,5443200.0
2020,Beed,Illicit Cases,,
2020,Beed,Carrying Passengers in Goods Vehicles,118.0,23600.0
2020,Beed,Without License,2727.0,1363500.0
2020,Beed,Excess Passengers,40.0,8000.0
2020,Beed,Carrying Goods in Closed Body Vehicles,,
2020,Beed,Dangerous Goods,24.0,11400.0
2020,Beed,Violation of Permit,294.0,1470000.0
2020,Beed,Trespassing,,
2020,Beed,Clandestine Operations,,
2020,Beed,Without Insurance,420.0,498300.0
2020,Bhandara,Dangerous Driving,308.0,232000.0
2020,Bhandara,Overtaking,1.0,200.0
2020,Bhandara,Overspeeding,2286.0,2286000.0
2020,Bhandara,Drunken Driving,0.0,0.0
2020,Bhandara,Parking Offence,3112.0,622400.0
2020,Bhandara,Overload,,
2020,Bhandara,Without Brake Lights,32.0,32000.0
2020,Bhandara,Without Seatbelt,6748.0,1349600.0
2020,Bhandara,Without Helmet,5126.0,1771600.0
2020,Bhandara,Improper Number Plate,657.0,135400.0
2020,Bhandara,Tinted Glass,630.0,126000.0
2020,Bhandara,Wrong Side Driving,41.0,41000.0
2020,Bhandara,Use of Mobile while Driving,330.0,66000.0
2020,Bhandara,Signal Jumping,,
2020,Bhandara,Honking,62.0,14200.0
2020,Bhandara,Jaywalking,,
2020,Bhandara,Other Cases,33058.0,7022900.0
2020,Bhandara,Illicit Cases,,
2020,Bhandara,Carrying Passengers in Goods Vehicles,605.0,121000.0
2020,Bhandara,Without License,978.0,489000.0
2020,Bhandara,Excess Passengers,236.0,47200.0
2020,Bhandara,Carrying Goods in Closed Body Vehicles,,
2020,Bhandara,Dangerous Goods,6.0,2700.0
2020,Bhandara,Violation of Permit,40.0,200000.0
2020,Bhandara,Trespassing,,
2020,Bhandara,Clandestine Operations,,
2020,Bhandara,Without Insurance,111.0,128500.0
2020,Buldhana,Dangerous Driving,325.0,269000.0
2020,Buldhana,Overtaking,6.0,1200.0
2020,Buldhana,Overspeeding,2744.0,2744000.0
2020,Buldhana,Drunken Driving,73.0,146000.0
2020,Buldhana,Parking Offence,20441.0,4088200.0
2020,Buldhana,Overload,,
2020,Buldhana,Without Brake Lights,207.0,207000.0
2020,Buldhana,Without Seatbelt,10231.0,2046200.0
2020,Buldhana,Without Helmet,4148.0,895600.0
2020,Buldhana,Improper Number Plate,637.0,264200.0
2020,Buldhana,Tinted Glass,257.0,51400.0
2020,Buldhana,Wrong Side Driving,40.0,40000.0
2020,Buldhana,Use of Mobile while Driving,457.0,91400.0
2020,Buldhana,Signal Jumping,,
2020,Buldhana,Honking,64.0,29900.0
2020,Buldhana,Jaywalking,,
2020,Buldhana,Other Cases,115871.0,23689800.0
2020,Buldhana,Illicit Cases,,
2020,Buldhana,Carrying Passengers in Goods Vehicles,140.0,28000.0
2020,Buldhana,Without License,931.0,465500.0
2020,Buldhana,Excess Passengers,4.0,800.0
2020,Buldhana,Carrying Goods in Closed Body Vehicles,,
2020,Buldhana,Dangerous Goods,403.0,81500.0
2020,Buldhana,Violation of Permit,1604.0,8020000.0
2020,Buldhana,Trespassing,,
2020,Buldhana,Clandestine Operations,,
2020,Buldhana,Without Insurance,65.0,60300.0
2020,Chandrapur,Dangerous Driving,752.0,664000.0
2020,Chandrapur,Overtaking,1.0,200.0
2020,Chandrapur,Overspeeding,2225.0,2225000.0
2020,Chandrapur,Drunken Driving,1.0,2000.0
2020,Chandrapur,Parking Offence,8491.0,1698200.0
2020,Chandrapur,Overload,,
2020,Chandrapur,Without Brake Lights,125.0,125000.0
2020,Chandrapur,Without Seatbelt,5313.0,1062600.0
2020,Chandrapur,Without Helmet,6217.0,2325500.0
2020,Chandrapur,Improper Number Plate,1332.0,304800.0
2020,Chandrapur,Tinted Glass,413.0,82600.0
2020,Chandrapur,Wrong Side Driving,327.0,303000.0
2020,Chandrapur,Use of Mobile while Driving,1180.0,236000.0
2020,Chandrapur,Signal Jumping,,
2020,Chandrapur,Honking,23.0,9400.0
2020,Chandrapur,Jaywalking,,
2020,Chandrapur,Other Cases,83479.0,17042750.0
2020,Chandrapur,Illicit Cases,,
2020,Chandrapur,Carrying Passengers in Goods Vehicles,531.0,106200.0
2020,Chandrapur,Without License,2178.0,1089000.0
