Year,District,Taluka,Road Material,Length
2014,Ahilyanagar,Rahata,Unpaved,242.4
2014,Ahilyanagar,Rahata,Rock,240.2
2014,Ahilyanagar,Rahata,Asphalt/Cement/Concrete,783.42
2014,Ahilyanagar,Srirampur,Unpaved,331.2
2014,Ahilyanagar,Srirampur,Rock,320.7
2014,Ahilyanagar,Srirampur,Asphalt/Cement/Concrete,942.2
2014,Ahilyanagar,Nevasa,Unpaved,379.24
2014,Ahilyanagar,Nevasa,Rock,377.45
2014,Ahilyanagar,Nevasa,Asphalt/Cement/Concrete,819.67
2014,Ahilyanagar,Shevgaon,Unpaved,407.7
2014,Ahilyanagar,Shevgaon,Rock,343.65
2014,Ahilyanagar,Shevgaon,Asphalt/Cement/Concrete,879.45
2014,Ahilyanagar,Pathardi,Unpaved,321.5
2014,Ahilyanagar,Pathardi,Rock,282.5
2014,Ahilyanagar,Pathardi,Asphalt/Cement/Concrete,733.22
2014,Ahilyanagar,Nagar,Unpaved,546.95
2014,Ahilyanagar,Nagar,Rock,574.59
2014,Ahilyanagar,Nagar,Asphalt/Cement/Concrete,998.42
2014,Ahilyanagar,Rahuri,Unpaved,351.46
2014,Ahilyanagar,Rahuri,Rock,317.7
2014,Ahilyanagar,Rahuri,Asphalt/Cement/Concrete,705.69
2014,Ahilyanagar,Parner,Unpaved,726.39
2014,Ahilyanagar,Parner,Rock,320.93
2014,Ahilyanagar,Parner,Asphalt/Cement/Concrete,849.45
2014,Ahilyanagar,Srigonda,Unpaved,651.17
2014,Ahilyanagar,Srigonda,Rock,307.25
2014,Ahilyanagar,Srigonda,Asphalt/Cement/Concrete,690.22
2014,Ahilyanagar,Karjat,Unpaved,421.2
2014,Ahilyanagar,Karjat,Rock,463.64
2014,Ahilyanagar,Karjat,Asphalt/Cement/Concrete,485.96
2014,Ahilyanagar,Jamkhed,Unpaved,290.31
2014,Ahilyanagar,Jamkhed,Rock,289.25
2014,Ahilyanagar,Jamkhed,Asphalt/Cement/Concrete,464.89
2015,Ahilyanagar,Akole,Unpaved,371.35
2015,Ahilyanagar,Akole,Rock,305.06
2015,Ahilyanagar,Akole,Asphalt/Cement/Concrete,1116.2
2015,Ahilyanagar,Sangamner,Unpaved,633.69
2015,Ahilyanagar,Sangamner,Rock,460.76
2015,Ahilyanagar,Sangamner,Asphalt/Cement/Concrete,825.74
2015,Ahilyanagar,Kopargaon,Unpaved,476.42
2015,Ahilyanagar,Kopargaon,Rock,519.01
2015,Ahilyanagar,Kopargaon,Asphalt/Cement/Concrete,587.1
2015,Ahilyanagar,Rahata,Unpaved,123.12
2015,Ahilyanagar,Rahata,Rock,223.26
2015,Ahilyanagar,Rahata,Asphalt/Cement/Concrete,627.52
2015,Ahilyanagar,Srirampur,Unpaved,167.07
2015,Ahilyanagar,Srirampur,Rock,217.74
2015,Ahilyanagar,Srirampur,Asphalt/Cement/Concrete,612.85
2015,Ahilyanagar,Nevasa,Unpaved,407.94
2015,Ahilyanagar,Nevasa,Rock,480.89
2015,Ahilyanagar,Nevasa,Asphalt/Cement/Concrete,815.53
2015,Ahilyanagar,Shevgaon,Unpaved,447.1
2015,Ahilyanagar,Shevgaon,Rock,246.89
2015,Ahilyanagar,Shevgaon,Asphalt/Cement/Concrete,584.85
2015,Ahilyanagar,Pathardi,Unpaved,309
2015,Ahilyanagar,Pathardi,Rock,285.74
2015,Ahilyanagar,Pathardi,Asphalt/Cement/Concrete,651.42
2015,Ahilyanagar,Nagar,Unpaved,324.77
2015,Ahilyanagar,Nagar,Rock,583.14
2015,Ahilyanagar,Nagar,Asphalt/Cement/Concrete,1572.91
2015,Ahilyanagar,Rahuri,Unpaved,328.14
2015,Ahilyanagar,Rahuri,Rock,307.64
2015,Ahilyanagar,Rahuri,Asphalt/Cement/Concrete,691.6
2015,Ahilyanagar,Parner,Unpaved,912.69
2015,Ahilyanagar,Parner,Rock,228.8
2015,Ahilyanagar,Parner,Asphalt/Cement/Concrete,1248.08
2015,Ahilyanagar,Srigonda,Unpaved,957.77
2015,Ahilyanagar,Srigonda,Rock,216.76
2015,Ahilyanagar,Srigonda,Asphalt/Cement/Concrete,785.82
2015,Ahilyanagar,Karjat,Unpaved,474.96
2015,Ahilyanagar,Karjat,Rock,569.85
2015,Ahilyanagar,Karjat,Asphalt/Cement/Concrete,544.9
2015,Ahilyanagar,Jamkhed,Unpaved,329.83
2015,Ahilyanagar,Jamkhed,Rock,192.53
2015,Ahilyanagar,Jamkhed,Asphalt/Cement/Concrete,420.42
2016,Ahilyanagar,Akole,Unpaved,394.41
2016,Ahilyanagar,Akole,Rock,296.32
2016,Ahilyanagar,Akole,Asphalt/Cement/Concrete,1042.71
2016,Ahilyanagar,Sangamner,Unpaved,579.75
2016,Ahilyanagar,Sangamner,Rock,441.6
2016,Ahilyanagar,Sangamner,Asphalt/Cement/Concrete,915.14
2016,Ahilyanagar,Kopargaon,Unpaved,54.75
2016,Ahilyanagar,Kopargaon,Rock,465.11
2016,Ahilyanagar,Kopargaon,Asphalt/Cement/Concrete,533.81
2016,Ahilyanagar,Rahata,Unpaved,198.6
2016,Ahilyanagar,Rahata,Rock,265.45
2016,Ahilyanagar,Rahata,Asphalt/Cement/Concrete,767.41
2016,Ahilyanagar,Srirampur,Unpaved,203.5
2016,Ahilyanagar,Srirampur,Rock,367.05
2016,Ahilyanagar,Srirampur,Asphalt/Cement/Concrete,563.9
2016,Ahilyanagar,Nevasa,Unpaved,313
2016,Ahilyanagar,Nevasa,Rock,648.76
2016,Ahilyanagar,Nevasa,Asphalt/Cement/Concrete,716.26
2016,Ahilyanagar,Shevgaon,Unpaved,440.1
2016,Ahilyanagar,Shevgaon,Rock,247.5
2016,Ahilyanagar,Shevgaon,Asphalt/Cement/Concrete,585.7
2016,Ahilyanagar,Pathardi,Unpaved,313.5
2016,Ahilyanagar,Pathardi,Rock,290.8
2016,Ahilyanagar,Pathardi,Asphalt/Cement/Concrete,761.32
2016,Ahilyanagar,Nagar,Unpaved,506
2016,Ahilyanagar,Nagar,Rock,389.18
2016,Ahilyanagar,Nagar,Asphalt/Cement/Concrete,1044.16
2016,Ahilyanagar,Rahuri,Unpaved,388.92
2016,Ahilyanagar,Rahuri,Rock,457.07
