Year,District,Taluka,Length of roads per 100 sq.km
2017,Buldhana,Malkapur,121.2
2017,Buldhana,Motala,76.19
2017,Buldhana,Khamgaon,81.84
2017,Buldhana,Mehkar,85.08
2017,Buldhana,Chikhali,65.75
2017,Buldhana,Buldhana,69.55
2017,Buldhana,Deulgaon Raja,78.3
2017,Buldhana,Sindkhed Raja,95.34
2017,Buldhana,Lonar,75.22
2018,Buldhana,Jalgaon Jamod,82.27
2018,Buldhana,Sangrampur,81.49
2018,Buldhana,Shegaon,108.15
2018,Buldhana,Nandura,148.77
2018,Buldhana,Malkapur,146.58
2018,Buldhana,Motala,76.25
2018,Buldhana,Khamgaon,74.92
2018,Buldhana,Mehkar,85.97
2018,Buldhana,Chikhali,75.89
2018,Buldhana,Buldhana,85.94
2018,Buldhana,Deulgaon Raja,88.04
2018,Buldhana,Sindkhed Raja,96.34
2018,Buldhana,Lonar,80.35
2019,Buldhana,Jalgaon Jamod,82.27
2019,Buldhana,Sangrampur,81.49
2019,Buldhana,Shegaon,108.15
2019,Buldhana,Nandura,148.77
2019,Buldhana,Malkapur,146.58
2019,Buldhana,Motala,76.25
2019,Buldhana,Khamgaon,74.92
2019,Buldhana,Mehkar,85.97
2019,Buldhana,Chikhali,75.89
2019,Buldhana,Buldhana,85.94
2019,Buldhana,Deulgaon Raja,88.04
2019,Buldhana,Sindkhed Raja,96.34
2019,Buldhana,Lonar,80.35
2020,Buldhana,Jalgaon Jamod,121.02
2020,Buldhana,Sangrampur,96.76
2020,Buldhana,Shegaon,95.37
2020,Buldhana,Nandura,80.67
2020,Buldhana,Malkapur,87.41
2020,Buldhana,Motala,181.26
2020,Buldhana,Khamgaon,112.28
2020,Buldhana,Mehkar,121.24
2020,Buldhana,Chikhali,123.29
2020,Buldhana,Buldhana,131.05
2020,Buldhana,Deulgaon Raja,103.6
2020,Buldhana,Sindkhed Raja,113.09
2020,Buldhana,Lonar,137.06
2021,Buldhana,Jalgaon Jamod,81.83
2021,Buldhana,Sangrampur,82.5
2021,Buldhana,Shegaon,100.22
2021,Buldhana,Nandura,121.68
2021,Buldhana,Malkapur,117.07
2021,Buldhana,Motala,76.62
2021,Buldhana,Khamgaon,72.63
2021,Buldhana,Mehkar,84.7
2021,Buldhana,Chikhali,81.37
2021,Buldhana,Buldhana,84.36
2021,Buldhana,Deulgaon Raja,96.15
2021,Buldhana,Sindkhed Raja,88.72
2021,Buldhana,Lonar,73.17
2012,Chandrapur,Varora,6.1
2012,Chandrapur,Chimur,8.4
2012,Chandrapur,Nagbhid,5.8
2012,Chandrapur,Bramhapuri,6.7
2012,Chandrapur,Savali,4.9
2012,Chandrapur,Sindevahi,4.1
2012,Chandrapur,Bhadravati,5.4
2012,Chandrapur,Chandrapur,4.4
2012,Chandrapur,Mul,4.8
2012,Chandrapur,Ponbhurna,1.6
2012,Chandrapur,Ballarpur,1.5
2012,Chandrapur,Korpana,6.1
2012,Chandrapur,Rajura,7.8
2012,Chandrapur,Gondpipari,3.2
2012,Chandrapur,Jivati,0.5
2013,Chandrapur,Varora,95.5
2013,Chandrapur,Chimur,100.2
2013,Chandrapur,Nagbhid,128.6
2013,Chandrapur,Bramhapuri,104.1
2013,Chandrapur,Savali,0.0
2013,Chandrapur,Sindevahi,49.6
2013,Chandrapur,Bhadravati,66.4
2013,Chandrapur,Chandrapur,53.0
2013,Chandrapur,Mul,64.2
2013,Chandrapur,Ponbhurna,0.0
2013,Chandrapur,Ballarpur,45.2
2013,Chandrapur,Korpana,0.0
2013,Chandrapur,Rajura,31.4
2013,Chandrapur,Gondpipari,61.7
2013,Chandrapur,Jivati,0.0
2014,Chandrapur,Varora,100.3
2014,Chandrapur,Chimur,89.9
2014,Chandrapur,Nagbhid,138.8
2014,Chandrapur,Bramhapuri,111.5
2014,Chandrapur,Savali,80.5
2014,Chandrapur,Sindevahi,65.9
2014,Chandrapur,Bhadravati,68.4
2014,Chandrapur,Chandrapur,60.4
2014,Chandrapur,Mul,105.3
2014,Chandrapur,Ponbhurna,86.8
2014,Chandrapur,Ballarpur,83.2
2014,Chandrapur,Korpana,123.9
2014,Chandrapur,Rajura,59.62
2014,Chandrapur,Gondpipari,83.9
2014,Chandrapur,Jivati,86.9
2015,Chandrapur,Varora,100.3
2015,Chandrapur,Chimur,89.9
2015,Chandrapur,Nagbhid,138.8
2015,Chandrapur,Bramhapuri,111.5
2015,Chandrapur,Savali,80.5
2015,Chandrapur,Sindevahi,65.9
2015,Chandrapur,Bhadravati,68.4
2015,Chandrapur,Chandrapur,61.1
2015,Chandrapur,Mul,105.3
2015,Chandrapur,Ponbhurna,86.8
2015,Chandrapur,Ballarpur,94.7
2015,Chandrapur,Korpana,116.0
2015,Chandrapur,Rajura,63.5
2015,Chandrapur,Gondpipari,82.3
2015,Chandrapur,Jivati,82.8
2016,Chandrapur,Varora,92.2
2016,Chandrapur,Chimur,92.6
2016,Chandrapur,Nagbhid,139.9
2016,Chandrapur,Bramhapuri,93.3
2016,Chandrapur,Savali,78.3
2016,Chandrapur,Sindevahi,65.1
2016,Chandrapur,Bhadravati,65.8
2016,Chandrapur,Chandrapur,107.0
2016,Chandrapur,Mul,105.6
2016,Chandrapur,Ponbhurna,107.6
2016,Chandrapur,Ballarpur,88.2
2016,Chandrapur,Korpana,112.2
2016,Chandrapur,Rajura,64.9
2016,Chandrapur,Gondpipari,79.3
2016,Chandrapur,Jivati,79.6
2017,Chandrapur,Varora,93.6
2017,Chandrapur,Chimur,89.4
2017,Chandrapur,Nagbhid,139.9
2017,Chandrapur,Bramhapuri,92.8
2017,Chandrapur,Savali,78.3
2017,Chandrapur,Sindevahi,65.1
2017,Chandrapur,Bhadravati,67.5
2017,Chandrapur,Chandrapur,53.8
2017,Chandrapur,Mul,105.6
2017,Chandrapur,Ponbhurna,87.3
2017,Chandrapur,Ballarpur,88.2
2017,Chandrapur,Korpana,115.5
2017,Chandrapur,Rajura,64.8
2017,Chandrapur,Gondpipari,79.3
2017,Chandrapur,Jivati,82.0
2018,Chandrapur,Varora,93.62
2018,Chandrapur,Chimur,89.19
2018,Chandrapur,Nagbhid,140.18
2018,Chandrapur,Bramhapuri,92.85
2018,Chandrapur,Savali,78.29
2018,Chandrapur,Sindevahi,60.97
2018,Chandrapur,Bhadravati,67.5
2018,Chandrapur,Chandrapur,53.77
2018,Chandrapur,Mul,109.88
2018,Chandrapur,Ponbhurna,88.16
2018,Chandrapur,Ballarpur,85.42
2018,Chandrapur,Korpana,115.54
2018,Chandrapur,Rajura,64.79
2018,Chandrapur,Gondpipari,79.31
2018,Chandrapur,Jivati,81.98
2019,Chandrapur,Varora,93.6
2019,Chandrapur,Chimur,89.2
2019,Chandrapur,Nagbhid,140.2
2019,Chandrapur,Bramhapuri,92.9
2019,Chandrapur,Savali,78.3
2019,Chandrapur,Sindevahi,61.0
2019,Chandrapur,Bhadravati,67.5
2019,Chandrapur,Chandrapur,53.8
2019,Chandrapur,Mul,112.7
2019,Chandrapur,Ponbhurna,88.2
2019,Chandrapur,Ballarpur,85.4
2019,Chandrapur,Korpana,115.5
2019,Chandrapur,Rajura,64.8
2019,Chandrapur,Gondpipari,79.3
2019,Chandrapur,Jivati,82.0
2020,Chandrapur,Varora,91.4
2020,Chandrapur,Chimur,89.3
2020,Chandrapur,Nagbhid,139.4
2020,Chandrapur,Bramhapuri,92.5
2020,Chandrapur,Savali,78.3
2020,Chandrapur,Sindevahi,61.0
2020,Chandrapur,Bhadravati,67.5
2020,Chandrapur,Chandrapur,58.1
2020,Chandrapur,Mul,111.5
2020,Chandrapur,Ponbhurna,82.5
2020,Chandrapur,Ballarpur,77.7
2020,Chandrapur,Korpana,116.4
2020,Chandrapur,Rajura,64.6
2020,Chandrapur,Gondpipari,77.9
2020,Chandrapur,Jivati,82.0
2021,Chandrapur,Varora,91.4
2021,Chandrapur,Chimur,91.9
2021,Chandrapur,Nagbhid,139.1
2021,Chandrapur,Bramhapuri,93.2
2021,Chandrapur,Savali,77.3
2021,Chandrapur,Sindevahi,64.5
2021,Chandrapur,Bhadravati,67.5
2021,Chandrapur,Chandrapur,57.9
2021,Chandrapur,Mul,101.4
2021,Chandrapur,Ponbhurna,80.3
2021,Chandrapur,Ballarpur,81.2
2021,Chandrapur,Korpana,116.4
2021,Chandrapur,Rajura,64.4
2021,Chandrapur,Gondpipari,77.9
2021,Chandrapur,Jivati,82.0
2012,Dhule,Shirpur,42.44
2012,Dhule,Shindkheda,103.54
2012,Dhule,Sakri,58.54
2012,Dhule,Dhule,99.49
2013,Dhule,Shirpur,66.14
2013,Dhule,Shindkheda,108.12
2013,Dhule,Sakri,84.71
2013,Dhule,Dhule,113.0
2014,Dhule,Shirpur,103.16
2014,Dhule,Shindkheda,112.8
2014,Dhule,Sakri,84.93
2014,Dhule,Dhule,113.67
2015,Dhule,Shirpur,103.83
2015,Dhule,Shindkheda,113.41
2015,Dhule,Sakri,83.61
2015,Dhule,Dhule,114.4
2016,Dhule,Shirpur,108.12
2016,Dhule,Shindkheda,110.83
2016,Dhule,Sakri,84.13
2016,Dhule,Dhule,111.51
2017,Dhule,Shirpur,91.34
2017,Dhule,Shindkheda,126.06
2017,Dhule,Sakri,85.62
2017,Dhule,Dhule,117.92
2018,Dhule,Shirpur,114.66
2018,Dhule,Shindkheda,134.83
2018,Dhule,Sakri,93.95
2018,Dhule,Dhule,109.37
2019,Dhule,Shirpur,99.12
2019,Dhule,Shindkheda,129.72
2019,Dhule,Sakri,85.0
2019,Dhule,Dhule,118.06
2020,Dhule,Shirpur,102.34
2020,Dhule,Shindkheda,110.0
2020,Dhule,Sakri,85.94
2020,Dhule,Dhule,102.68
2021,Dhule,Shirpur,103.88
2021,Dhule,Shindkheda,115.52
2021,Dhule,Sakri,85.19
2021,Dhule,Dhule,100.64
2012,Gadchiroli,Desaiganj,0.0
2012,Gadchiroli,rmori,355.3
2012,Gadchiroli,Kurkheda,61.23
2012,Gadchiroli,Korachi,144.07
2012,Gadchiroli,Dhanora,79.88
2012,Gadchiroli,Gadchiroli,217.12
2012,Gadchiroli,Chomoshi,0.0
2012,Gadchiroli,Mulchera,0.0
2012,Gadchiroli,Etapalli,38.76
2012,Gadchiroli,Bhamragad,202.1
2012,Gadchiroli,Aheri,46.19
2012,Gadchiroli,Sironcha,110.97
2013,Gadchiroli,Desaiganj,347.0
2013,Gadchiroli,rmori,76.7
2013,Gadchiroli,Kurkheda,63.7
2013,Gadchiroli,Korachi,150.7
2013,Gadchiroli,Dhanora,81.8
2013,Gadchiroli,Gadchiroli,132.9
2013,Gadchiroli,Chomoshi,116.0
2013,Gadchiroli,Mulchera,523.9
2013,Gadchiroli,Etapalli,39.7
2013,Gadchiroli,Bhamragad,210.3
2013,Gadchiroli,Aheri,47.5
2013,Gadchiroli,Sironcha,116.1
2014,Gadchiroli,Desaiganj,258.4
2014,Gadchiroli,rmori,137.8
2014,Gadchiroli,Kurkheda,114.8
2014,Gadchiroli,Korachi,124.5
2014,Gadchiroli,Dhanora,92.5
2014,Gadchiroli,Gadchiroli,116.3
2014,Gadchiroli,Chomoshi,91.3
2014,Gadchiroli,Mulchera,117.6
2014,Gadchiroli,Etapalli,69.6
2014,Gadchiroli,Bhamragad,67.2
2014,Gadchiroli,Aheri,57.2
2014,Gadchiroli,Sironcha,81.7
2015,Gadchiroli,Desaiganj,212.8
2015,Gadchiroli,rmori,94.12
2015,Gadchiroli,Kurkheda,76.23
2015,Gadchiroli,Korachi,76.34
2015,Gadchiroli,Dhanora,71.71
2015,Gadchiroli,Gadchiroli,108.17
2015,Gadchiroli,Chomoshi,71.5
2015,Gadchiroli,Mulchera,52.2
2015,Gadchiroli,Etapalli,52.82
2015,Gadchiroli,Bhamragad,43.58
2015,Gadchiroli,Aheri,42.57
2015,Gadchiroli,Sironcha,48.25
2016,Gadchiroli,Desaiganj,207.99
2016,Gadchiroli,rmori,91.3
2016,Gadchiroli,Kurkheda,76.69
2016,Gadchiroli,Korachi,76.37
2016,Gadchiroli,Dhanora,71.12
2016,Gadchiroli,Gadchiroli,110.33
2016,Gadchiroli,Chomoshi,71.18
2016,Gadchiroli,Mulchera,54.75
2016,Gadchiroli,Etapalli,52.58
2016,Gadchiroli,Bhamragad,43.47
2016,Gadchiroli,Aheri,41.92
2016,Gadchiroli,Sironcha,48.38
2017,Gadchiroli,Desaiganj,208.37
2017,Gadchiroli,rmori,91.16
2017,Gadchiroli,Kurkheda,76.69
2017,Gadchiroli,Korachi,76.37
2017,Gadchiroli,Dhanora,71.12
2017,Gadchiroli,Gadchiroli,111.18
2017,Gadchiroli,Chomoshi,71.18
2017,Gadchiroli,Mulchera,54.75
2017,Gadchiroli,Etapalli,52.58
2017,Gadchiroli,Bhamragad,43.47
2017,Gadchiroli,Aheri,41.92
2017,Gadchiroli,Sironcha,48.38
2018,Gadchiroli,Desaiganj,210.87
2018,Gadchiroli,rmori,93.77
2018,Gadchiroli,Kurkheda,76.87
2018,Gadchiroli,Korachi,76.23
2018,Gadchiroli,Dhanora,73.2
2018,Gadchiroli,Gadchiroli,113.44
2018,Gadchiroli,Chomoshi,71.03
2018,Gadchiroli,Mulchera,54.72
2018,Gadchiroli,Etapalli,53.51
2018,Gadchiroli,Bhamragad,43.13
2018,Gadchiroli,Aheri,42.58
2018,Gadchiroli,Sironcha,47.63
2019,Gadchiroli,Desaiganj,209.48
2019,Gadchiroli,Aarmori,95.07
2019,Gadchiroli,Kurkheda,76.63
2019,Gadchiroli,Korachi,76.55
2019,Gadchiroli,Dhanora,71.04
2019,Gadchiroli,Gadchiroli,113.83
2019,Gadchiroli,Chomoshi,70.92
2019,Gadchiroli,Mulchera,54.86
2019,Gadchiroli,Etapalli,53.09
2019,Gadchiroli,Bhamragad,43.28
2019,Gadchiroli,Aheri,41.67
2019,Gadchiroli,Sironcha,48.75
2020,Gadchiroli,Desaiganj,209.49
2020,Gadchiroli,Aarmori,93.31
2020,Gadchiroli,Kurkheda,76.63
2020,Gadchiroli,Korachi,76.55
2020,Gadchiroli,Dhanora,71.04
2020,Gadchiroli,Gadchiroli,117.6
2020,Gadchiroli,Chomoshi,70.59
2020,Gadchiroli,Mulchera,55.11
2020,Gadchiroli,Etapalli,53.38
2020,Gadchiroli,Bhamragad,43.91
2020,Gadchiroli,Aheri,41.75
2020,Gadchiroli,Sironcha,50.41
2021,Gadchiroli,Desaiganj,209.49
2021,Gadchiroli,Aarmori,106.73
2021,Gadchiroli,Kurkheda,76.63
2021,Gadchiroli,Korachi,76.55
2021,Gadchiroli,Dhanora,71.04
2021,Gadchiroli,Gadchiroli,116.49
2021,Gadchiroli,Chomoshi,70.59
2021,Gadchiroli,Mulchera,55.11
2021,Gadchiroli,Etapalli,53.38
2021,Gadchiroli,Bhamragad,44.14
2021,Gadchiroli,Aheri,41.75
2021,Gadchiroli,Sironcha,49.28
2012,Gondia,Tiroda,
2012,Gondia,Goregaon,
2012,Gondia,Gondia,
2012,Gondia,Aamgaon,
2012,Gondia,Salekasa,
2012,Gondia,Sadak Arjuni,
2012,Gondia,Arjuni Morgaon,
2012,Gondia,Devari,
2013,Gondia,Tiroda,239.36
2013,Gondia,Goregaon,150.28
2013,Gondia,Gondia,181.16
2013,Gondia,Aamgaon,207.68
2013,Gondia,Salekasa,129.16
2013,Gondia,Sadak Arjuni,154.35
2013,Gondia,Arjuni Morgaon,154.96
2013,Gondia,Devari,97.79
2014,Gondia,Tiroda,186.6
2014,Gondia,Goregaon,144.7
2014,Gondia,Gondia,195.3
2014,Gondia,Aamgaon,229.5
2014,Gondia,Salekasa,147.9
2014,Gondia,Sadak Arjuni,134.2
2014,Gondia,Arjuni Morgaon,104.0
2014,Gondia,Devari,98.0
2015,Gondia,Tiroda,187.73
2015,Gondia,Goregaon,148.96
2015,Gondia,Gondia,185.15
2015,Gondia,Aamgaon,237.69
2015,Gondia,Salekasa,151.4
2015,Gondia,Sadak Arjuni,135.03
2015,Gondia,Arjuni Morgaon,104.38
2015,Gondia,Devari,97.4
2016,Gondia,Tiroda,196.75
2016,Gondia,Goregaon,152.53
2016,Gondia,Gondia,213.14
2016,Gondia,Aamgaon,242.42
2016,Gondia,Salekasa,152.46
2016,Gondia,Sadak Arjuni,140.73
2016,Gondia,Arjuni Morgaon,104.19
2016,Gondia,Devari,105.06
2017,Gondia,Tiroda,192.57
2017,Gondia,Goregaon,151.78
2017,Gondia,Gondia,214.57
2017,Gondia,Aamgaon,223.53
2017,Gondia,Salekasa,158.45
2017,Gondia,Sadak Arjuni,144.36
2017,Gondia,Arjuni Morgaon,104.69
2017,Gondia,Devari,109.28
2018,Gondia,Tiroda,189.68
2018,Gondia,Goregaon,154.94
2018,Gondia,Gondia,217.42
2018,Gondia,Aamgaon,245.69
2018,Gondia,Salekasa,158.67
2018,Gondia,Sadak Arjuni,144.75
2018,Gondia,Arjuni Morgaon,107.0
2018,Gondia,Devari,103.0
2019,Gondia,Tiroda,189.68
2019,Gondia,Goregaon,151.22
2019,Gondia,Gondia,217.42
2019,Gondia,Aamgaon,241.83
2019,Gondia,Salekasa,152.46
2019,Gondia,Sadak Arjuni,141.57
2019,Gondia,Arjuni Morgaon,104.64
2019,Gondia,Devari,99.83
2020,Gondia,Tiroda,190.77
2020,Gondia,Goregaon,151.96
2020,Gondia,Gondia,219.99
2020,Gondia,Aamgaon,241.83
2020,Gondia,Salekasa,152.46
2020,Gondia,Sadak Arjuni,141.41
2020,Gondia,Arjuni Morgaon,104.19
2020,Gondia,Devari,99.93
2021,Gondia,Tiroda,190.77
2021,Gondia,Goregaon,151.55
2021,Gondia,Gondia,219.09
2021,Gondia,Aamgaon,241.83
2021,Gondia,Salekasa,138.62
2021,Gondia,Sadak Arjuni,141.41
2021,Gondia,Arjuni Morgaon,104.19
2021,Gondia,Devari,99.93
2012,Hingoli,Sengaon,15.28
2012,Hingoli,Hingoli,14.59
2012,Hingoli,Aundha na,9.78
2012,Hingoli,Kalamanuri,18.89
2012,Hingoli,vasamat,17.36
2013,Hingoli,Sengaon,70.42
2013,Hingoli,Hingoli,102.16
2013,Hingoli,Aundha na,86.35
2013,Hingoli,Kalamanuri,77.42
2013,Hingoli,vasamat,93.32
2014,Hingoli,Sengaon,78.31
2014,Hingoli,Hingoli,87.49
2014,Hingoli,Aundha na,81.9
2014,Hingoli,Kalamanuri,88.35
2014,Hingoli,vasamat,92.92
2015,Hingoli,Sengaon,87.66
2015,Hingoli,Hingoli,102.28
2015,Hingoli,Aundha na,92.95
2015,Hingoli,Kalamanuri,101.99
2015,Hingoli,vasamat,100.01
2016,Hingoli,Sengaon,80.09
2016,Hingoli,Hingoli,88.0
2016,Hingoli,Aundha na,84.3
2016,Hingoli,Kalamanuri,89.64
2016,Hingoli,vasamat,91.54
2017,Hingoli,Sengaon,80.09
2017,Hingoli,Hingoli,88.0
2017,Hingoli,Aundha na,84.3
2017,Hingoli,Kalamanuri,90.17
2017,Hingoli,vasamat,102.07
2018,Hingoli,Sengaon,81.19
2018,Hingoli,Hingoli,93.82
2018,Hingoli,Aundha na,85.74
2018,Hingoli,Kalamanuri,89.85
2018,Hingoli,vasamat,117.84
2019,Hingoli,Sengaon,81.19
2019,Hingoli,Hingoli,94.95
2019,Hingoli,Aundha na,85.98
2019,Hingoli,Kalamanuri,90.17
2019,Hingoli,vasamat,118.4
2020,Hingoli,Sengaon,81.33
2020,Hingoli,Hingoli,99.31
2020,Hingoli,Aundha na,86.16
2020,Hingoli,Kalamanuri,90.38
2020,Hingoli,vasamat,118.69
2021,Hingoli,Sengaon,85.06
2021,Hingoli,Hingoli,100.45
2021,Hingoli,Aundha na,86.16
2021,Hingoli,Kalamanuri,101.45
2021,Hingoli,vasamat,121.6
2012,Jalgaon,Chopda ,117.31
2012,Jalgaon,Yawal,143.53
2012,Jalgaon,Raver,127.55
2012,Jalgaon,Muktainagar ,102.73
2012,Jalgaon,Bodvad,95.63
2012,Jalgaon,Bhusawal,125.13
2012,Jalgaon,Jalgaon ,104.05
2012,Jalgaon,Erandol ,126.72
2012,Jalgaon,Dharangoan ,88.06
2012,Jalgaon,Amalner ,120.34
2012,Jalgaon,Parola,76.83
2012,Jalgaon,Bhadgoan,102.44
2012,Jalgaon,Chalisgoan ,86.79
2012,Jalgaon,Pachora ,92.5
2012,Jalgaon,Jamner ,75.82
2013,Jalgaon,Chopda ,102.42
2013,Jalgaon,Yawal,121.55
2013,Jalgaon,Raver,106.44
2013,Jalgaon,Muktainagar ,107.92
2013,Jalgaon,Bodvad,131.77
2013,Jalgaon,Bhusawal,132.94
2013,Jalgaon,Jalgaon ,186.5
2013,Jalgaon,Erandol ,119.59
2013,Jalgaon,Dharangoan ,134.07
2013,Jalgaon,Amalner ,128.77
2013,Jalgaon,Parola,110.48
2013,Jalgaon,Bhadgoan,144.65
2013,Jalgaon,Chalisgoan ,124.24
2013,Jalgaon,Pachora ,121.03
2013,Jalgaon,Jamner ,91.68
2014,Jalgaon,Chopda ,97.16
2014,Jalgaon,Yawal,120.87
2014,Jalgaon,Raver,103.59
2014,Jalgaon,Muktainagar ,108.05
2014,Jalgaon,Bodvad,130.54
2014,Jalgaon,Bhusawal,108.01
2014,Jalgaon,Jalgaon ,123.27
2014,Jalgaon,Erandol ,115.89
2014,Jalgaon,Dharangoan ,134.22
2014,Jalgaon,Amalner ,120.73
2014,Jalgaon,Parola,112.27
2014,Jalgaon,Bhadgoan,137.5
2014,Jalgaon,Chalisgoan ,111.13
2014,Jalgaon,Pachora ,117.43
2014,Jalgaon,Jamner ,85.59
2015,Jalgaon,Chopda ,101.94
2015,Jalgaon,Yawal,132.2
2015,Jalgaon,Raver,105.94
2015,Jalgaon,Muktainagar ,108.43
2015,Jalgaon,Bodvad,124.56
2015,Jalgaon,Bhusawal,142.85
2015,Jalgaon,Jalgaon ,182.41
2015,Jalgaon,Erandol ,122.37
2015,Jalgaon,Dharangoan ,134.15
2015,Jalgaon,Amalner ,132.92
2015,Jalgaon,Parola,117.12
2015,Jalgaon,Bhadgoan,145.01
2015,Jalgaon,Chalisgoan ,122.66
2015,Jalgaon,Pachora ,121.18
2015,Jalgaon,Jamner ,92.74
2016,Jalgaon,Chopda ,103.44
2016,Jalgaon,Yawal,138.59
2016,Jalgaon,Raver,108.17
2016,Jalgaon,Muktainagar ,110.92
2016,Jalgaon,Bodvad,125.67
2016,Jalgaon,Bhusawal,143.9
2016,Jalgaon,Jalgaon ,181.03
2016,Jalgaon,Erandol ,124.32
2016,Jalgaon,Dharangoan ,146.23
2016,Jalgaon,Amalner ,135.49
2016,Jalgaon,Parola,117.35
2016,Jalgaon,Bhadgoan,143.38
2016,Jalgaon,Chalisgoan ,122.02
2016,Jalgaon,Pachora ,124.66
2016,Jalgaon,Jamner ,95.27
2017,Jalgaon,Chopda ,104.41
2017,Jalgaon,Yawal,139.48
2017,Jalgaon,Raver,108.21
2017,Jalgaon,Muktainagar ,109.56
2017,Jalgaon,Bodvad,129.09
2017,Jalgaon,Bhusawal,151.52
2017,Jalgaon,Jalgaon ,191.7
2017,Jalgaon,Erandol ,150.01
2017,Jalgaon,Dharangoan ,144.53
2017,Jalgaon,Amalner ,143.5
2017,Jalgaon,Parola,118.99
2017,Jalgaon,Bhadgoan,147.76
2017,Jalgaon,Chalisgoan ,124.15
2017,Jalgaon,Pachora ,123.33
2017,Jalgaon,Jamner ,95.9
2018,Jalgaon,Chopda ,93.09
2018,Jalgaon,Yawal,142.49
2018,Jalgaon,Raver,95.41
2018,Jalgaon,Muktainagar ,192.6
2018,Jalgaon,Bodvad,154.34
2018,Jalgaon,Bhusawal,196.14
2018,Jalgaon,Jalgaon ,193.93
2018,Jalgaon,Erandol ,139.4
2018,Jalgaon,Dharangoan ,139.51
2018,Jalgaon,Amalner ,98.7
2018,Jalgaon,Parola,146.17
2018,Jalgaon,Bhadgoan,168.6
2018,Jalgaon,Chalisgoan ,102.47
2018,Jalgaon,Pachora ,129.54
2018,Jalgaon,Jamner ,87.72
2019,Jalgaon,Chopda ,104.41
2019,Jalgaon,Yawal,137.55
2019,Jalgaon,Raver,113.65
2019,Jalgaon,Muktainagar ,117.69
2019,Jalgaon,Bodvad,140.24
2019,Jalgaon,Bhusawal,201.24
2019,Jalgaon,Jalgaon ,199.38
2019,Jalgaon,Erandol ,145.14
2019,Jalgaon,Dharangoan ,150.83
2019,Jalgaon,Amalner ,143.25
2019,Jalgaon,Parola,117.46
2019,Jalgaon,Bhadgoan,135.75
2019,Jalgaon,Chalisgoan ,122.54
2019,Jalgaon,Pachora ,118.93
2019,Jalgaon,Jamner ,101.86
2020,Jalgaon,Chopda ,104.53
2020,Jalgaon,Yawal,138.53
2020,Jalgaon,Raver,113.53
2020,Jalgaon,Muktainagar ,131.71
2020,Jalgaon,Bodvad,140.24
2020,Jalgaon,Bhusawal,171.03
2020,Jalgaon,Jalgaon ,214.0
2020,Jalgaon,Erandol ,143.39
2020,Jalgaon,Dharangoan ,173.23
2020,Jalgaon,Amalner ,147.7
2020,Jalgaon,Parola,118.81
2020,Jalgaon,Bhadgoan,162.07
2020,Jalgaon,Chalisgoan ,124.17
2020,Jalgaon,Pachora ,129.14
2020,Jalgaon,Jamner ,105.16
2021,Jalgaon,Chopda ,104.53
2021,Jalgaon,Yawal,138.53
2021,Jalgaon,Raver,113.53
2021,Jalgaon,Muktainagar ,131.71
2021,Jalgaon,Bodvad,140.24
2021,Jalgaon,Bhusawal,171.03
2021,Jalgaon,Jalgaon ,214.0
2021,Jalgaon,Erandol ,143.39
2021,Jalgaon,Dharangoan ,173.23
2021,Jalgaon,Amalner ,147.7
2021,Jalgaon,Parola,118.81
2021,Jalgaon,Bhadgoan,162.07
2021,Jalgaon,Chalisgoan ,124.17
2021,Jalgaon,Pachora ,129.14
2021,Jalgaon,Jamner ,105.16
2012,Jalna,Bhokardan,109.2
2012,Jalna,Jaffrabad,98.6
2012,Jalna,Jalna,84.2
2012,Jalna,Badnapur,104.0
2012,Jalna,Ambad,90.9
2012,Jalna,Ghansawangi,101.7
2012,Jalna,Partur,84.9
2012,Jalna,Mantha,111.3
2013,Jalna,Bhokardan,109.75
2013,Jalna,Jaffrabad,108.44
2013,Jalna,Jalna,149.36
2013,Jalna,Badnapur,107.39
2013,Jalna,Ambad,123.88
2013,Jalna,Ghansawangi,124.69
2013,Jalna,Partur,114.58
2013,Jalna,Mantha,126.93
2014,Jalna,Bhokardan,78.0
2014,Jalna,Jaffrabad,75.2
2014,Jalna,Jalna,117.3
2014,Jalna,Badnapur,71.8
2014,Jalna,Ambad,101.0
2014,Jalna,Ghansawangi,109.0
2014,Jalna,Partur,91.8
2014,Jalna,Mantha,92.9
2015,Jalna,Bhokardan,77.9
2015,Jalna,Jaffrabad,80.6
2015,Jalna,Jalna,128.0
2015,Jalna,Badnapur,78.0
2015,Jalna,Ambad,96.5
2015,Jalna,Ghansawangi,101.0
2015,Jalna,Partur,97.2
2015,Jalna,Mantha,95.7
2016,Jalna,Bhokardan,112.5
2016,Jalna,Jaffrabad,97.5
2016,Jalna,Jalna,138.3
2016,Jalna,Badnapur,103.0
2016,Jalna,Ambad,118.5
2016,Jalna,Ghansawangi,129.6
2016,Jalna,Partur,124.3
2016,Jalna,Mantha,124.7
2017,Jalna,Bhokardan,99.6
2017,Jalna,Jaffrabad,96.4
2017,Jalna,Jalna,135.9
2017,Jalna,Badnapur,105.4
2017,Jalna,Ambad,93.0
2017,Jalna,Ghansawangi,100.8
2017,Jalna,Partur,92.7
2017,Jalna,Mantha,98.5
2018,Jalna,Bhokardan,113.37
2018,Jalna,Jaffrabad,98.59
2018,Jalna,Jalna,151.7
2018,Jalna,Badnapur,108.67
2018,Jalna,Ambad,84.68
2018,Jalna,Ghansawangi,92.73
2018,Jalna,Partur,95.31
