District,Year,Items,Units
Ahilyanagar,2019,Milk Powder,300.0
Ahilyanagar,2019,White butter,147.0
Ahilyanagar,2019,Ghee,398.0
Ahilyanagar,2019,Energy Milk,7.3
Ahilyanagar,2019,Lassi,27.82
Ahilyanagar,2019,Masala Milk,0.0
Ahilyanagar,2019,Sustainable cow's milk,2.7
Ahilyanagar,2020,Milk Powder,310.0
Ahilyanagar,2020,White butter,150.0
Ahilyanagar,2020,Ghee,410.0
Ahilyanagar,2020,Energy Milk,7.4
Ahilyanagar,2020,Lassi,27.85
Ahilyanagar,2020,Masala Milk,0.0
Ahilyanagar,2020,Sustainable cow's milk,2.8
Ahilyanagar,2021,Milk Powder,315.0
Ahilyanagar,2021,White butter,153.0
Ahilyanagar,2021,Ghee,422.0
Ahilyanagar,2021,Energy Milk,7.5
Ahilyanagar,2021,Lassi,27.88
Ahilyanagar,2021,Masala Milk,
Ahilyanagar,2021,Sustainable cow's milk,2.8
Akola,2012,Milk Powder,0.0
Akola,2012,White butter,0.0
Akola,2012,Ghee,0.0
Akola,2012,Energy Milk,0.0
Akola,2012,Lassi,0.0
Akola,2012,Masala Milk,0.0
Akola,2012,Sustainable cow's milk,0.0
Akola,2013,Milk Powder,0.0
Akola,2013,White butter,0.0
Akola,2013,Ghee,0.0
Akola,2013,Energy Milk,0.0
Akola,2013,Lassi,0.0
Akola,2013,Masala Milk,0.0
Akola,2013,Sustainable cow's milk,0.0
Akola,2014,Milk Powder,0.0
Akola,2014,White butter,0.0
Akola,2014,Ghee,0.0
Akola,2014,Energy Milk,0.0
Akola,2014,Lassi,0.0
Akola,2014,Masala Milk,0.0
Akola,2014,Sustainable cow's milk,0.0
Akola,2015,Milk Powder,0.0
Akola,2015,White butter,0.0
Akola,2015,Ghee,0.0
Akola,2015,Energy Milk,0.0
Akola,2015,Lassi,0.0
Akola,2015,Masala Milk,0.0
Akola,2015,Sustainable cow's milk,0.0
Akola,2016,Milk Powder,0.0
Akola,2016,White butter,0.0
Akola,2016,Ghee,0.0
Akola,2016,Energy Milk,0.0
Akola,2016,Lassi,0.0
Akola,2016,Masala Milk,0.0
Akola,2016,Sustainable cow's milk,0.0
Akola,2017,Milk Powder,0.0
Akola,2017,White butter,0.0
Akola,2017,Ghee,0.0
Akola,2017,Energy Milk,0.0
Akola,2017,Lassi,0.0
Akola,2017,Masala Milk,0.0
Akola,2017,Sustainable cow's milk,0.0
Akola,2018,Milk Powder,0.0
Akola,2018,White butter,0.0
Akola,2018,Ghee,0.0
Akola,2018,Energy Milk,0.0
Akola,2018,Lassi,0.0
