District,Year,Taluka,Dairy Development Cooperative Societies,Memberships in Dairy Co-op Societies,Milk collected across the year,Average milk collected per day,Number of cold storage units,Cold Storage Capacity,Unnamed: 9,Unnamed: 10,Unnamed: 11
Dhule,2016,Shirpur,23.0,1495.0,1145000.0,3140.0,0.0,0.0,,,
Dhule,2016,Shindkheda,43.0,5910.0,1680000.0,4600.0,0.0,0.0,,,
Dhule,2016,Sakri,29.0,1885.0,219000.0,600.0,0.0,0.0,,,
Dhule,2016,Dhule,30.0,2430.0,1258000.0,3450.0,0.0,0.0,,,
Dhule,2017,Shirpur,77.0,3927.0,730000.0,2000.0,0.0,0.0,,,
Dhule,2017,Shindkheda,112.0,5712.0,1825000.0,5000.0,0.0,0.0,,,
Dhule,2017,Sakri,91.0,4641.0,219000.0,600.0,0.0,0.0,,,
Dhule,2017,Dhule,101.0,5596.0,4393000.0,12030.0,0.0,0.0,,,
Dhule,2018,Shirpur,56.0,2856.0,8119.999999999999,200.0,0.0,0.0,,,
Dhule,2018,Shindkheda,111.0,5661.0,16070.0,400.0,0.0,0.0,,,
Dhule,2018,Sakri,61.0,3111.0,3650.0,100.0,0.0,0.0,,,
Dhule,2018,Dhule,93.0,5152.0,11690.0,300.0,0.0,0.0,,,
Dhule,2019,Shirpur,56.0,2856.0,7420.0,200.0,0.0,0.0,,,
Dhule,2019,Shindkheda,111.0,5661.0,15870.0,430.0,0.0,0.0,,,
Dhule,2019,Sakri,61.0,3111.0,0.0,0.0,0.0,0.0,,,
Dhule,2019,Dhule,93.0,5152.0,0.0,0.0,0.0,0.0,,,
Dhule,2020,Shirpur,56.0,2856.0,3880.0,100.0,0.0,0.0,,,
Dhule,2020,Shindkheda,111.0,5661.0,15330.0,400.0,0.0,0.0,,,
Dhule,2020,Sakri,61.0,3111.0,,,0.0,0.0,,,
Dhule,2020,Dhule,93.0,5152.0,,,0.0,0.0,,,
Dhule,2021,Shirpur,56.0,2856.0,3650.0,100.0,0.0,100.0,,,
Dhule,2021,Shindkheda,111.0,5661.0,14600.0,400.0,0.0,0.0,,,
Dhule,2021,Sakri,61.0,3111.0,0.0,0.0,0.0,0.0,,,
Dhule,2021,Dhule,93.0,5152.0,3650.0,100.0,0.0,0.0,,,
Gadchiroli,2012,Desaiganj,13.0,2528.0,229220.0,628.0,0.0,0.0,,,
Gadchiroli,2012,Aarmori,9.0,849.0,169720.0,465.0,0.0,0.0,,,
Gadchiroli,2012,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Dhanora,8.0,409.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Gadchiroli,10.0,421.0,102200.0,280.0,1.0,5000.0,,,
Gadchiroli,2012,Chomoshi,9.0,504.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Mulchera,5.0,195.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2012,Aheri,0.0,0.0,0.0,0.0,1.0,5000.0,,,
Gadchiroli,2012,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Desaiganj,13.0,2528.0,234690.0,643.0,0.0,0.0,,,
Gadchiroli,2013,Aarmori,9.0,849.0,185780.0,509.0,0.0,0.0,,,
Gadchiroli,2013,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Dhanora,8.0,409.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Gadchiroli,10.0,421.0,95630.0,262.0,1.0,5000.0,,,
Gadchiroli,2013,Chomoshi,9.0,504.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Mulchera,5.0,195.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2013,Aheri,0.0,0.0,0.0,0.0,1.0,5000.0,,,
Gadchiroli,2013,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Desaiganj,13.0,2528.0,500000.0,1370.0,0.0,0.0,,,
Gadchiroli,2014,Aarmori,9.0,849.0,204000.0,560.0,0.0,0.0,,,
Gadchiroli,2014,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Dhanora,8.0,409.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Gadchiroli,10.0,421.0,105000.0,290.0,1.0,5000.0,,,
Gadchiroli,2014,Chomoshi,9.0,504.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Mulchera,5.0,195.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2014,Aheri,0.0,0.0,0.0,0.0,1.0,5000.0,,,
Gadchiroli,2014,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Desaiganj,3.0,153.0,17997.0,590.0,0.0,0.0,,,
Gadchiroli,2015,Aarmori,2.0,502.0,5475.0,450.0,0.0,0.0,,,
Gadchiroli,2015,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Gadchiroli,0.0,0.0,0.0,0.0,1.0,5000.0,,,
Gadchiroli,2015,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2015,Aheri,0.0,0.0,0.0,0.0,1.0,5000.0,,,
Gadchiroli,2015,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Desaiganj,7.0,421.0,4752.0,13.0,0.0,0.0,,,
Gadchiroli,2016,Aarmori,2.0,672.0,16560.0,45.0,0.0,0.0,,,
Gadchiroli,2016,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Gadchiroli,1.0,209.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Aheri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2016,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Desaiganj,6.0,333.0,632000.0,1730.0,0.0,0.0,,,
Gadchiroli,2017,Aarmori,2.0,673.0,162000.0,440.0,0.0,0.0,,,
Gadchiroli,2017,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Gadchiroli,2.0,209.0,30000.0,80.0,0.0,0.0,,,
Gadchiroli,2017,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Aheri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2017,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Desaiganj,6.0,333.0,428000.0,1170.0,0.0,0.0,,,
Gadchiroli,2018,Aarmori,2.0,673.0,178000.0,490.0,0.0,0.0,,,
Gadchiroli,2018,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Gadchiroli,2.0,209.0,107000.0,290.0,0.0,0.0,,,
Gadchiroli,2018,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Aheri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2018,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Desaiganj,6.0,333.0,493000.0,1350.0,0.0,0.0,,,
Gadchiroli,2019,Aarmori,2.0,673.0,153000.0,420.0,0.0,0.0,,,
Gadchiroli,2019,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Gadchiroli,2.0,209.0,42000.0,110.0,0.0,0.0,,,
Gadchiroli,2019,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Aheri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2019,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Desaiganj,6.0,320.0,329000.0,900.0,0.0,0.0,,,
Gadchiroli,2020,Aarmori,2.0,675.0,137000.0,380.0,0.0,0.0,,,
Gadchiroli,2020,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Gadchiroli,2.0,185.0,82000.0,220.0,0.0,0.0,,,
Gadchiroli,2020,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Aheri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2020,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Desaiganj,6.0,298.0,296000.0,810.0,0.0,0.0,,,
Gadchiroli,2021,Aarmori,2.0,594.0,122000.0,330.0,0.0,0.0,,,
Gadchiroli,2021,Kurkheda,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Korachi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Dhanora,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Gadchiroli,2.0,170.0,72000.0,200.0,0.0,0.0,,,
Gadchiroli,2021,Chomoshi,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Mulchera,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Etapalli,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Bhamragad,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Aheri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gadchiroli,2021,Sironcha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Gondia,2012,Tiroda,23.0,1173.0,589000.0,1614.0,,,,,
Gondia,2012,Goregaon,37.0,1887.0,807000.0,2212.0,,,,,
Gondia,2012,Gondia,63.0,3213.0,3913000.0,10723.0,1.0,20000.0,,,
Gondia,2012,Aamgaon,30.0,1530.0,662000.0,1815.0,,,,,
Gondia,2012,Salekasa,6.0,306.0,474000.0,1300.0,1.0,5000.0,,,
Gondia,2012,Sadak Arjuni,25.0,1250.0,1015000.0,2782.0,1.0,10000.0,,,
Gondia,2012,Arjuni Morgaon,11.0,561.0,546000.0,1496.0,,,,,
Gondia,2012,Devari,2.0,100.0,223000.0,6.0,,,,,
Gondia,2013,Tiroda,23.0,1173.0,459000.0,1260.0,,,,,
Gondia,2013,Goregaon,37.0,1887.0,709000.0,1940.0,,,,,
Gondia,2013,Gondia,66.0,3366.0,2388000.0,6540.0,1.0,20000.0,,,
Gondia,2013,Aamgaon,28.0,1428.0,576000.0,1580.0,,,,,
Gondia,2013,Salekasa,8.0,408.0,608000.0,1670.0,1.0,5000.0,,,
Gondia,2013,Sadak Arjuni,25.0,1275.0,1022000.0,2800.0,1.0,10000.0,,,
Gondia,2013,Arjuni Morgaon,11.0,561.0,523000.0,1430.0,,,,,
Gondia,2013,Devari,2.0,105.0,8000.0,20.0,,,,,
Gondia,2014,Tiroda,23.0,1173.0,304000.0,840.0,0.0,0.0,,,
Gondia,2014,Goregaon,24.0,1224.0,665000.0,1820.0,0.0,0.0,,,
Gondia,2014,Gondia,45.0,2295.0,1153000.0,3160.0,1.0,20000.0,,,
Gondia,2014,Aamgaon,25.0,1275.0,322000.0,880.0,0.0,0.0,,,
Gondia,2014,Salekasa,12.0,612.0,573000.0,1570.0,1.0,5000.0,,,
Gondia,2014,Sadak Arjuni,30.0,1530.0,843000.0,2310.0,1.0,10000.0,,,
Gondia,2014,Arjuni Morgaon,12.0,612.0,428000.0,1170.0,0.0,0.0,,,
Gondia,2014,Devari,4.0,205.0,25000.0,70.0,0.0,0.0,,,
Gondia,2015,Tiroda,21.0,1357.0,452000.0,1240.0,0.0,0.0,,,
Gondia,2015,Goregaon,20.0,1040.0,674000.0,1850.0,0.0,0.0,,,
Gondia,2015,Gondia,42.0,2634.0,1257000.0,3440.0,1.0,20000.0,,,
Gondia,2015,Aamgaon,19.0,1046.0,304000.0,830.0,0.0,0.0,,,
Gondia,2015,Salekasa,6.0,306.0,532000.0,1460.0,1.0,5000.0,,,
Gondia,2015,Sadak Arjuni,22.0,1022.0,754000.0,2070.0,1.0,10000.0,,,
Gondia,2015,Arjuni Morgaon,11.0,951.0,506000.0,1390.0,0.0,0.0,,,
Gondia,2015,Devari,2.0,102.0,21000.0,60.0,0.0,0.0,,,
Gondia,2016,Tiroda,21.0,1071.0,375000.0,1030.0,0.0,0.0,,,
Gondia,2016,Goregaon,20.0,1020.0,473000.0,1290.0,0.0,0.0,,,
Gondia,2016,Gondia,37.0,1887.0,786000.0,2150.0,1.0,20000.0,,,
Gondia,2016,Aamgaon,17.0,867.0,170000.0,470.0,0.0,0.0,,,
Gondia,2016,Salekasa,7.0,357.0,255000.0,700.0,1.0,5000.0,,,
Gondia,2016,Sadak Arjuni,20.0,1020.0,429000.0,1170.0,1.0,10000.0,,,
Gondia,2016,Arjuni Morgaon,11.0,561.0,443000.0,1210.0,0.0,0.0,,,
Gondia,2016,Devari,2.0,102.0,162000.0,440.0,0.0,0.0,,,
Gondia,2017,Tiroda,22.0,1122.0,305000.0,840.0,0.0,0.0,,,
Gondia,2017,Goregaon,20.0,1020.0,263000.0,720.0,0.0,0.0,,,
Gondia,2017,Gondia,44.0,2244.0,625000.0,1710.0,1.0,20000.0,,,
Gondia,2017,Aamgaon,19.0,969.0,25000.0,70.0,0.0,0.0,,,
Gondia,2017,Salekasa,6.0,306.0,199000.0,540.0,1.0,5000.0,,,
Gondia,2017,Sadak Arjuni,22.0,1122.0,337000.0,920.0,1.0,10000.0,,,
Gondia,2017,Arjuni Morgaon,11.0,561.0,462000.0,1260.0,0.0,0.0,,,
Gondia,2017,Devari,2.0,102.0,16000.0,40.0,0.0,0.0,,,
Gondia,2018,Tiroda,14.0,700.0,560000.0,1530.0,,,,,
Gondia,2018,Goregaon,15.0,750.0,370000.0,1010.0,,,,,
Gondia,2018,Gondia,24.0,1200.0,708000.0,1940.0,1.0,20000.0,,,
Gondia,2018,Aamgaon,2.0,100.0,20000.0,50.0,,,,,
Gondia,2018,Salekasa,1.0,50.0,18000.0,50.0,1.0,5000.0,,,
Gondia,2018,Sadak Arjuni,14.0,700.0,503000.0,1380.0,1.0,10000.0,,,
Gondia,2018,Arjuni Morgaon,8.0,400.0,812000.0,2230.0,,,,,
Gondia,2018,Devari,2.0,100.0,28000.0,60.0,,,,,
Gondia,2019,Tiroda,12.0,600.0,249000.0,680.0,,,,,
Gondia,2019,Goregaon,17.0,850.0,116000.0,320.0,,,,,
Gondia,2019,Gondia,17.0,850.0,206000.0,560.0,1.0,20000.0,,,
Gondia,2019,Aamgaon,,,,,,,,,
Gondia,2019,Salekasa,4.0,200.0,177000.0,480.0,1.0,5000.0,,,
Gondia,2019,Sadak Arjuni,7.0,350.0,153000.0,420.0,1.0,10000.0,,,
Gondia,2019,Arjuni Morgaon,7.0,350.0,288000.0,790.0,,,,,
Gondia,2019,Devari,2.0,100.0,5000.0,10.0,,,,,
Gondia,2020,Tiroda,10.0,500.0,262000.0,710.0,,,,,
Gondia,2020,Goregaon,5.0,250.0,17000.0,40.0,,,,,
Gondia,2020,Gondia,13.0,650.0,297000.0,810.0,1.0,20000.0,,,
Gondia,2020,Aamgaon,2.0,100.0,23000.0,60.0,,,,,
Gondia,2020,Salekasa,4.0,200.0,37000.0,100.0,1.0,5000.0,,,
Gondia,2020,Sadak Arjuni,11.0,550.0,152000.0,420.0,1.0,10000.0,,,
Gondia,2020,Arjuni Morgaon,6.0,300.0,141000.0,390.0,,,,,
Gondia,2020,Devari,2.0,100.0,10000.0,30.0,,,,,
Gondia,2021,Tiroda,5.0,250.0,182000.0,500.0,,,,,
Gondia,2021,Goregaon,0.0,0.0,0.0,0.0,,,,,
Gondia,2021,Gondia,9.0,459.0,355000.0,1000.0,1.0,20000.0,,,
Gondia,2021,Aamgaon,2.0,100.0,26000.0,70.0,,,,,
Gondia,2021,Salekasa,4.0,200.0,33000.0,90.0,1.0,5000.0,,,
Gondia,2021,Sadak Arjuni,0.0,0.0,0.0,0.0,1.0,10000.0,,,
Gondia,2021,Arjuni Morgaon,0.0,0.0,0.0,0.0,,,,,
Gondia,2021,Devari,1.0,50.0,13000.0,30.0,,,,,
Hingoli,2012,Sengaon,22.0,895.0,95200.0,260.0,,,,,
Hingoli,2012,Hingoli,8.0,358.0,43500.0,120.0,1.0,200.0,,,
Hingoli,2012,Aundha na,18.0,725.0,88540.0,240.0,,,,,
Hingoli,2012,Kalamanuri,15.0,640.0,10550.0,30.0,,,,,
Hingoli,2012,vasamat,19.0,779.0,29000.0,80.0,,,,,
Hingoli,2013,Sengaon,22.0,895.0,148555000.0,407000.0,0.0,0.0,,,
Hingoli,2013,Hingoli,18.0,725.0,91250000.0,250000.0,0.0,0.0,,,
Hingoli,2013,Aundha na,18.0,725.0,146000000.0,400000.0,0.0,0.0,,,
Hingoli,2013,Kalamanuri,15.0,640.0,18250000.0,50000.0,0.0,0.0,,,
Hingoli,2013,vasamat,19.0,779.0,36500000.0,100000.0,0.0,0.0,,,
Hingoli,2014,Sengaon,,,,,0.0,0.0,,,
Hingoli,2014,Hingoli,3.0,725.0,219000000.0,600000.0,0.0,0.0,,,
Hingoli,2014,Aundha na,2.0,725.0,273750000.0,750000.0,0.0,0.0,,,
Hingoli,2014,Kalamanuri,,,,,0.0,0.0,,,
Hingoli,2014,vasamat,5.0,779.0,129275000.0,354000.0,0.0,0.0,,,
Hingoli,2015,Sengaon,,,,,0.0,0.0,,,
Hingoli,2015,Hingoli,3.0,725.0,255500000.0,700000.0,0.0,0.0,,,
Hingoli,2015,Aundha na,2.0,725.0,273750000.0,750000.0,0.0,0.0,,,
Hingoli,2015,Kalamanuri,,,,,0.0,0.0,,,
Hingoli,2015,vasamat,4.0,204.0,127020000.0,348000.0,0.0,0.0,,,
Hingoli,2016,Sengaon,,,,,0.0,0.0,,,
Hingoli,2016,Hingoli,4.0,204.0,136875.0,375.0,0.0,0.0,,,
Hingoli,2016,Aundha na,2.0,102.0,198925.0,545.0,0.0,0.0,,,
Hingoli,2016,Kalamanuri,,,,,0.0,0.0,,,
Hingoli,2016,vasamat,3.0,153.0,106580.0,292.0,0.0,0.0,,,
Hingoli,2017,Sengaon,1.0,51.0,182500.0,500.0,1.0,1000.0,,,
Hingoli,2017,Hingoli,2.0,102.0,487640.0,1340.0,1.0,2000.0,,,
Hingoli,2017,Aundha na,4.0,204.0,292000.0,800000.0,1.0,1000.0,,,
Hingoli,2017,Kalamanuri,,,,,,,,,
Hingoli,2017,vasamat,5.0,255.0,547500.0,1500.0,0.0,0.0,,,
Hingoli,2018,Sengaon,1.0,51.0,,,1.0,1000.0,,,
Hingoli,2018,Hingoli,5.0,255.0,654755.0,1790.0,1.0,2000.0,,,
Hingoli,2018,Aundha na,4.0,204.0,1035170.0000000001,2840.0,1.0,1000.0,,,
Hingoli,2018,Kalamanuri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Hingoli,2018,vasamat,8.0,408.0,669035.0,1830.0,0.0,0.0,,,
Hingoli,2019,Sengaon,1.0,51.0,0.0,0.0,1.0,1000.0,,,
Hingoli,2019,Hingoli,5.0,255.0,519000.0,1420.0,1.0,2000.0,,,
Hingoli,2019,Aundha na,4.0,204.0,455000.0,1240.0,1.0,1000.0,,,
Hingoli,2019,Kalamanuri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Hingoli,2019,vasamat,7.0,357.0,414000.0,1130.0,0.0,0.0,,,
Hingoli,2020,Sengaon,1.0,51.0,0.0,0.0,1.0,1000.0,,,
Hingoli,2020,Hingoli,2.0,102.0,381430.0,1050.0,1.0,2000.0,,,
Hingoli,2020,Aundha na,3.0,153.0,528250.0,1450.0,1.0,1000.0,,,
Hingoli,2020,Kalamanuri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Hingoli,2020,vasamat,6.0,306.0,379600.0,1040.0,0.0,0.0,,,
Hingoli,2021,Sengaon,0.0,0.0,0.0,0.0,0.0,0.0,,,
Hingoli,2021,Hingoli,2.0,102.0,640210.0,1754.0,1.0,2000.0,,,
Hingoli,2021,Aundha na,3.0,153.0,237250.0,650.0,1.0,1000.0,,,
Hingoli,2021,Kalamanuri,0.0,0.0,0.0,0.0,0.0,0.0,,,
Hingoli,2021,vasamat,4.0,204.0,255500.0,700.0,0.0,0.0,,,
Jalna,2013,Bhokardan,15.0,600.0,365000.0,1000.0,0.0,0.0,,,
Jalna,2013,Jaffrabad,11.0,440.0,94900.0,260.0,1.0,10000.0,,,
Jalna,2013,Jalna,9.0,360.0,186150.0,510.0,1.0,10000.0,,,
Jalna,2013,Badnapur,6.0,240.0,438000.0,1200.0,0.0,0.0,,,
Jalna,2013,Ambad,22.0,880.0,438000.0,1200.0,2.0,20000.0,,,
Jalna,2013,Ghansawangi,1.0,40.0,182500.0,500.0,0.0,0.0,,,
Jalna,2013,Partur,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jalna,2013,Mantha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jalna,2014,Bhokardan,12.0,440.0,350000.0,960.0,0.0,0.0,,,
Jalna,2014,Jaffrabad,7.0,40.0,161000.0,440.0,1.0,4000.0,,,
Jalna,2014,Jalna,5.0,240.0,257000.0,700.0,1.0,10000.0,,,
Jalna,2014,Badnapur,5.0,200.0,507000.0,1390.0,0.0,0.0,,,
Jalna,2014,Ambad,22.0,440.0,383000.0,1050.0,2.0,20000.0,,,
Jalna,2014,Ghansawangi,1.0,40.0,209000.0,570.0,0.0,0.0,,,
Jalna,2014,Partur,2.0,80.0,398000.0,1090.0,0.0,0.0,,,
Jalna,2014,Mantha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jalna,2015,Bhokardan,12.0,440.0,722000.0,1980.0,0.0,0.0,,,
Jalna,2015,Jaffrabad,7.0,40.0,407000.0,1120.0,1.0,4000.0,,,
Jalna,2015,Jalna,5.0,240.0,391000.0,1070.0,1.0,10000.0,,,
Jalna,2015,Badnapur,5.0,200.0,468000.0,1280.0,0.0,0.0,,,
Jalna,2015,Ambad,22.0,440.0,1246000.0,3410.0,2.0,20000.0,,,
Jalna,2015,Ghansawangi,1.0,40.0,348000.0,950.0,0.0,0.0,,,
Jalna,2015,Partur,2.0,80.0,572000.0,1570.0,0.0,0.0,,,
Jalna,2015,Mantha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jalna,2016,Bhokardan,15.0,440.0,656000.0,1800.0,0.0,0.0,,,
Jalna,2016,Jaffrabad,6.0,40.0,600910.0,1650.0,1.0,10000.0,,,
Jalna,2016,Jalna,4.0,240.0,227670.0,620.0,1.0,10000.0,,,
Jalna,2016,Badnapur,5.0,200.0,316910.0,870.0,0.0,0.0,,,
Jalna,2016,Ambad,15.0,440.0,1066000.0,2920.0,2.0,20000.0,,,
Jalna,2016,Ghansawangi,1.0,40.0,158000.0,430.0,0.0,0.0,,,
Jalna,2016,Partur,2.0,80.0,327800.0,900.0,0.0,0.0,,,
Jalna,2016,Mantha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jalna,2017,Bhokardan,19.0,440.0,2150210.0,5890.0,0.0,0.0,,,
Jalna,2017,Jaffrabad,10.0,310.0,821250.0,2250.0,1.0,10000.0,,,
Jalna,2017,Jalna,5.0,270.0,941700.0,2580.0,1.0,10000.0,,,
Jalna,2017,Badnapur,7.0,262.0,1204500.0,3300.0,0.0,0.0,,,
Jalna,2017,Ambad,19.0,560.0,8000.0,20.0,2.0,20000.0,,,
Jalna,2017,Ghansawangi,3.0,102.0,44000.0,1200.0,0.0,0.0,,,
Jalna,2017,Partur,2.0,80.0,8980.0,740.0,0.0,0.0,,,
Jalna,2017,Mantha,0.0,0.0,0.0,0.0,0.0,0.0,,,
Jalna,2018,Bhokardan,34.0,918.0,3471000.0,9510.0,0.0,0.0,,,
Jalna,2018,Jaffrabad,16.0,432.0,1599000.0,4380.0,1.0,10000.0,,,
Jalna,2018,Jalna,11.0,297.0,3321500.0,9100.0,1.0,10000.0,,,
Jalna,2018,Badnapur,18.0,486.0,1493000.0,4090.0,0.0,0.0,,,
Jalna,2018,Ambad,25.0,675.0,1223000.0,3350.0,2.0,20000.0,,,
Jalna,2018,Ghansawangi,4.0,108.0,401500.0,1100.0,0.0,0.0,,,
Jalna,2018,Partur,1.0,27.0,301000.0,820.0,0.0,0.0,,,
Jalna,2018,Mantha,1.0,27.0,0.0,0.0,0.0,0.0,,,
