District,Year,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Total Expenditure
Kolhapur,2018,8896.0,247.0,4655.0,1261.0,1162.0,220.0,12075.0,2627.0,1419.0,166.0,1276.0,1054.0,5.0,2532.0,74377.0
Kolhapur,2019,10843.0,434.0,9543.0,716.0,926.0,140.0,8759.0,3151.0,406.0,148.0,1492.0,662.0,0.0,2619.0,39838.0
Kolhapur,2020,12521.0,707.0,12102.0,392.0,401.0,218.0,23560.0,3322.0,1906.0,254.0,1929.0,3812.0,0.0,1589.0,62714.0
Kolhapur,2021,14484.0,849.0,10964.0,822.0,250.0,169.0,14601.0,4285.0,1873.0,1186.0,1897.0,1206.0,13.0,1406.0,54005.0
Latur,2012,862.88,,1023.29,629.19,32.08,105.14,376.59,1.7,,,372.77,,,565.81,6566.84
Latur,2013,917.28,69.79,4167.3,16.45,3.31,3.61,2578.22,640.49,150.86,23.34,37.26,67.55,0.0,468.41,9143.87
Latur,2014,1370.83,84.59,6904.25,57.5,0.88,14.49,286.92,71.94,243.67,180.72,1023.93,87.74,0.0,543.89,10871.35
Latur,2015,892.47,272.89,1283.64,2.17,1.65,9.71,5280.92,500.89,95.79,25.46,47.21,97.66,0.0,382.59,8893.05
Latur,2016,1772.19,42.62,1265.71,9.54,1.72,4.75,4326.24,326.93,38.18,16.94,35.85,49.78,0.0,316.07,8206.52
Latur,2017,1254.91,510.37,706.9,868.18,0.0,18.08,1140.46,807.87,175.0,70.7,28.96,43.6,0.0,289.53,5914.56
Latur,2018,1938.4,173.34,845.94,236.75,0.1,22.39,8706.1,281.72,244.91,66.52,774.83,53.1,0.0,1838.33,15182.43
Latur,2019,1882.88,75.79,2018.25,303.16,0.2,10.62,14558.46,323.48,187.17,57.89,922.31,80.13,0.0,2059.32,22479.66
Latur,2020,1938.89,516.15,5463.83,0.14,0.4,7.67,8485.64,1025.78,184.65,42.72,10.0,74.39,0.0,3691.94,21442.2
Latur,2021,3267.67,98.27,5256.85,546.87,0.95,12.92,5227.97,369.66,282.69,44.16,1348.03,146.46,0.0,1538.46,18140.96
Mumbai (City+Suburban),2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai (City+Suburban),2014,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2015,,,,,,,,,,,,,,,-14.0
Mumbai (City+Suburban),2016,,,,,,,,,,,,,,,-14.0
Mumbai (City+Suburban),2017,,,,,,,,,,,,,,,-14.0
Mumbai (City+Suburban),2018,,,,,,,,,,,,,,,-14.0
Mumbai (City+Suburban),2019,,,,,,,,,,,,,,,
Mumbai (City+Suburban),2020,,,,,,,,,,,,,,,
Nagpur,2012,1910.0,627.0,1379.0,161.0,843.0,634.0,6129.0,788.0,237.0,73.0,623.0,296.0,0.0,601.0,14301.0
Nagpur,2013,2407.0,523.0,621.0,161.0,1388.0,98.0,8724.0,967.0,282.0,62.0,997.0,193.0,0.0,542.0,16965.0
Nagpur,2014,2948.0,448.0,1221.0,246.0,852.0,171.0,11219.0,727.0,229.0,373.0,849.0,179.0,0.0,625.0,20087.0
Nagpur,2015,3681.0,643.0,4712.0,179.0,1129.0,164.0,5670.0,859.0,307.0,62.0,341.0,187.0,0.0,756.0,18690.0
Nagpur,2016,4318.0,1483.0,3747.0,292.0,1000.0,199.0,5782.0,639.0,262.0,64.0,81.0,160.0,0.0,866.0,18893.0
Nagpur,2017,4453.0,398.0,5094.0,637.0,1570.0,624.0,7522.0,852.0,355.0,101.0,145.0,177.0,0.0,1045.0,22973.0
Nagpur,2018,6844.0,1106.0,12400.0,314.0,258.0,260.0,9092.0,1074.0,473.0,50.0,1531.0,59.0,8.0,1016.0,34485.0
Nagpur,2019,5886.0,866.0,12030.0,612.0,900.0,257.0,11679.0,1460.0,382.0,143.0,745.0,151.0,0.0,1551.0,36662.0
Nagpur,2020,7622.0,5635.0,7381.0,468.0,1391.0,477.0,8363.0,1593.0,448.0,312.0,307.0,185.0,0.0,1350.0,35532.0
Nagpur,2021,7910.0,5889.0,9499.0,1746.0,1141.0,227.0,7424.0,1880.0,771.0,344.0,438.0,288.0,296.0,1929.0,39782.0
Nanded,2014,1326.92,177.08,5496.03,40.6,76.2,3.34,3345.79,1156.19,229.44,41.34,6.96,87.92,0.0,361.18,12348.98
Nanded,2015,1324.0,200.1,7572.0,56.51,122.18,4.35,7591.77,2031.61,236.29,57.95,7.05,1475.75,0.0,370.6,21050.16
Nanded,2016,2051.0,375.9,5365.0,466.5,100.47,25.33,2658.94,83.83,733.59,191.6,1719.81,946.02,0.0,1699.48,16418.42
Nanded,2017,1715.1,1117.3,3069.35,2275.09,631.8,154.73,26422.88,857.76,3539.48,217.74,2382.28,289.82,8218.85,202.53,6684.37
Nanded,2018,1521.2,1044.25,3571.48,3494.0,101.85,973.59,876.41,0.0,395.73,762.5,204.01,1785.43,0.0,1447.31,16177.76
Nanded,2019,20.08,0.0,4828.65,3325.27,49.26,1614.6,1889.78,169.05,234.51,0.0,1300.41,2275.58,0.0,1000.05,16707.25
Nanded,2020,1.41,3.17,1247.55,429.99,183.38,48.12,1248.28,336.51,0.0,22.3,45.0,983.29,0.0,1720.36,6269.36
Nanded,2021,15.33,4.83,4657.79,3216.5,2560.99,1093.7,2817.48,56.63,447.7,652.49,719.92,3345.07,0.0,1006.33,20594.76
Nandurbar,2006,,,,,11.9,,1288.59,1125.44,,,,,,,2655.54
Nandurbar,2008,,,,,8.77,,1393.48,964.74,,,,,,,2616.29
Nandurbar,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nandurbar,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nandurbar,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nandurbar,2012,1360.94,274.78,941.34,10.68,26.03,21.09,412.93,270.6,241.11,85.58,234.17,118.22,0.0,330.75,4328.22
Nandurbar,2013,1611.51,71.03,1006.42,208.48,37.47,49.97,693.25,179.71,216.79,31.52,258.0,117.09,0.0,322.17,4803.41
Nandurbar,2014,1463.3,664.76,587.91,21.3,49.39,20.85,620.55,301.35,197.78,241.36,191.33,104.26,0.0,291.66,4755.8
Nandurbar,2015,1469.49,576.41,944.13,5.09,23.78,5.83,873.36,539.54,112.33,28.48,169.57,62.42,0.0,294.13,5104.56
Nandurbar,2016,2047.39,329.56,1035.97,18.41,52.48,79.27,1104.96,383.77,211.07,36.61,314.73,66.85,0.0,298.7,5979.77
Nandurbar,2017,1788.63,302.41,2932.74,19.42,48.5,155.73,1110.37,430.85,314.51,198.98,317.24,52.54,0.0,459.41,8131.33
Nandurbar,2018,2701.61,248.59,1347.24,10.38,55.39,63.18,326.01,365.95,64.56,48.93,351.21,43.7,0.0,237.16,5863.91
Nandurbar,2019,3121.75,203.71,632.77,10.38,73.74,5.0,679.7,209.91,133.57,38.86,313.03,70.8,0.0,261.56,5754.78
Nandurbar,2020,3589.54,220.95,943.18,0.0,42.86,13.46,646.24,151.18,129.21,23.96,315.7,38.6,0.0,349.68,6464.56
Nandurbar,2021,92.15,28.63,879.5,0.0,0.0,0.29,0.0,62.17,2.08,0.0,0.0,0.0,0.0,14.24,1079.06
Nashik,2012,37.93,7.24,23.06,15.43,1.09,1.14,355.6,89.65,35.18,0.93,16.21,21.32,7.68,53.86,666.32
Nashik,2013,40.05,186.39,21.15,2.18,0.64,0.07,34.26,14.66,8.97,0.68,0.08,1.27,0.39,29.73,340.52
Nashik,2014,599.36,52.96,582.05,6.43,2.55,0.11,1073.98,22.95,16.75,2.57,253.91,0.04,0.02,30.32,2644.0
Nashik,2015,263269.0,8868.0,30264.0,5612.5,7935.0,955.0,381966.0,23055.0,7432.72,946.74,712.84,1979.2,0.0,33523.0,766519.0
Nashik,2016,4400.47,730.1,343.64,434.46,68.71,46.11,14525.01,458.82,334.45,27.05,1340.62,46.21,0.0,748.31,23503.95
Nashik,2017,3210.56,127.06,1655.21,948.05,253.75,89.05,114.82,1214.82,0.0,535.75,1832.92,103.69,0.0,1012.27,11097.95
Nashik,2018,4638.82,437.05,2295.62,413.96,101.32,72.5,19187.65,730.62,163.16,119.12,1797.92,61.12,0.0,623.83,30642.69
Nashik,2019,3538.12,275.34,1862.69,272.41,152.89,344.0,3012.45,423.56,216.78,443.04,5662.41,119.85,0.0,698.07,17021.61
Nashik,2020,5939.15,1430.78,1659.67,113.9,70.79,29.69,6498.0,502.01,257.71,10.29,11.0,39.02,13.2,464.07,17039.28
Nashik,2021,7098.27,907.35,1861.46,232.15,0.0,50.79,3399.4,721.85,308.63,17.17,3308.88,133.08,9.3,625.63,18673.96
Dharashiv,2012,634.93,60.63,2087.97,412.93,543.71,210.22,1015.48,537.89,206.77,290.84,117.01,292.5,0.0,762.59,7173.4
Dharashiv,2013,894.57,26.47,2219.8,27.6,403.0,80.7,2975.79,226.13,208.28,45.85,63.16,150.44,0.0,1601.13,8922.92
Dharashiv,2014,951.87,82.65,3105.27,164.5,537.91,8.85,3931.61,737.63,192.07,40.15,487.25,159.37,0.0,2260.32,12659.45
Dharashiv,2015,2866.67,422.69,3251.84,165.75,1003.83,11.15,1154.7,578.69,897.53,62.71,299.08,4755.89,0.0,563.73,19098.5
Dharashiv,2016,1290.61,392.67,3187.41,160.97,992.23,9.48,6518.57,429.28,244.97,69.42,224.01,465.64,4.64,941.0,14930.9
Dharashiv,2017,2196.46,735.37,2003.5,43.72,88.62,2.3,3677.58,593.26,160.13,48.4,811.85,194.06,9.61,708.37,11273.23
Dharashiv,2018,2720.93,339.17,6736.93,80.33,700.0,67.61,1710.81,412.95,1150.38,35.7,795.92,205.4,49.48,824.44,15830.05
Dharashiv,2019,4412.55,339.42,7021.05,146.2,701.74,161.2,3949.19,430.74,442.57,340.38,1635.37,226.25,4.0,1507.63,21318.29
Dharashiv,2020,2888.7,1650.6,6645.6,766.46,785.5,11.02,2586.9,1120.2,551.1,71.02,351.85,98.52,0.0,560.47,18087.94
Dharashiv,2021,2587.99,466.67,9156.68,799.43,502.3,70.81,1752.62,676.1,588.54,57.74,43.42,152.96,0.0,678.82,17534.08
Palghar,2014,,,,,,,,,,,,,,,
Palghar,2015,1317.28,2061.97,29.42,37.07,2.73,5.92,4570.22,18.91,5.05,53.99,650.52,104.95,0.0,215.96,9073.99
Palghar,2016,1149.52,78.33,691.15,120.65,9.4,6.08,2034.18,24.62,4.83,0.42,443.75,0.0,0.0,533.34,5096.27
Palghar,2017,1192.34,89.45,405.68,214.19,3.09,23.67,3245.24,31.52,3.01,0.53,424.83,0.0,0.0,516.38,6149.93
Palghar,2018,1490.28,0.0,797.69,325.56,9.8,120.55,4388.1,37.63,0.0,0.0,896.18,0.0,0.0,750.89,8816.68
Palghar,2019,1738.69,0.0,1545.73,367.53,4.57,99.38,3119.65,27.51,0.0,0.0,1038.87,0.0,0.0,724.22,8666.15
Palghar,2020,1517.13,201.56,1430.38,204.61,6.55,76.75,4914.61,423.46,227.14,1.31,1917.21,0.0,0.0,1143.44,12064.15
Palghar,2021,2148.41,0.0,1031.21,630.04,11.82,63.4,9476.27,166.81,0.0,0.0,2507.08,0.0,0.0,1392.78,17427.82
Parbhani,2013,1297.41,72.75,4787.43,244.58,57.93,20.97,1144.73,571.49,145.75,35.42,218.36,104.83,0.0,747.71,9449.36
Parbhani,2014,1122.5,128.22,3562.09,182.82,47.39,142.12,1401.99,759.94,222.4,123.62,0.0,110.38,0.0,504.49,8307.96
Parbhani,2015,1970.34,271.61,2732.22,235.19,62.4,10.41,3459.8,957.34,307.26,106.6,0.0,271.37,0.0,588.67,10973.21
Parbhani,2016,1201.45,295.76,7102.17,1877.82,311.08,67.05,2826.03,81.23,272.17,32.47,443.99,16.1,0.0,883.59,15410.91
Parbhani,2017,1832.5,199.8,6009.13,180.19,15.54,30.69,1985.48,815.66,439.63,489.68,173.56,186.65,3.56,530.75,12892.83
Parbhani,2018,2025.65,648.23,6332.77,3260.58,1274.49,746.0,2262.8,150.93,325.36,157.56,1729.44,234.02,69.0,457.39,19674.21
Parbhani,2019,3025.61,186.51,11020.34,345.23,22.68,25.52,1765.65,71.07,136.96,75.2,23.05,60.95,32.04,261.84,17052.65
Parbhani,2020,2935.18,80.95,9530.74,620.81,6.23,23.96,2513.82,158.42,467.95,170.14,50.56,60.69,0.0,249.72,16869.18
Parbhani,2021,4033.36,71.0,10161.39,128.97,0.0,26.86,1882.29,32.73,618.72,148.74,30.0,186.22,6.6,917.66,18244.54
Pune,2014,3343.29,319.0,3711.18,1069.15,178.87,76.96,17080.52,1437.52,618.27,44.25,740.09,168.8,0.0,1681.91,47966.5
Pune,2015,4101.76,960.19,15858.77,213.23,182.76,88.3,10533.82,1407.64,682.23,32.18,516.24,244.03,0.0,1898.94,36720.1
Pune,2016,5836.36,1750.75,12610.88,254.91,170.0,267.79,7708.15,1961.59,1123.72,58.0,2102.43,51.02,0.0,2490.97,157793.26
Pune,2017,4298.05,2387.93,11252.72,869.22,213.35,352.65,11009.22,1850.82,966.95,539.13,614.31,83.4,46.0,3245.12,37728.86
Pune,2018,6735.3,1739.09,12453.29,510.49,284.27,302.87,10137.62,3628.4,1639.08,639.88,660.99,47.91,0.0,4249.23,43028.42
Pune,2019,7774.97,1116.21,10714.48,2715.35,281.25,480.29,14652.52,3729.33,1128.25,484.91,951.25,233.59,0.0,5986.75,50249.15
Pune,2020,10429.0,1017.2,13218.24,3414.83,282.37,815.38,8648.64,3916.0,1368.21,591.01,282.39,323.89,0.0,7113.24,51420.4
Pune,2021,11033.21,3125.39,24293.49,1758.43,392.92,596.5,17002.1,2798.22,833.93,219.55,780.33,223.96,4.0,2584.61,65646.66
Raigad,2012,230.13,1626.29,4002.97,1080.6,664.35,111.08,1272.29,1296.85,805.95,965.73,3734.26,2640.12,0.0,2286.54,20717.16
Raigad,2013,1123.08,1120.5,4900.87,1471.39,572.54,151.25,4482.01,1370.19,749.43,897.96,1474.79,1360.38,252.46,2072.66,21999.51
Raigad,2014,3416.18,1270.3,4328.91,1273.88,410.19,67.1,7303.23,1350.67,687.0,118.1,32.05,461.45,47.42,2281.45,23047.93
Raigad,2015,2787.14,745.46,6142.22,981.43,693.09,71.64,8544.93,2997.12,914.85,168.69,87.95,697.57,93.35,2648.35,27573.79
Raigad,2016,3822.91,1700.64,4365.26,1663.58,421.75,82.21,5148.93,3347.19,710.24,177.41,313.18,387.81,0.0,1453.53,23594.64
Raigad,2017,3016.1,745.31,2956.66,418.63,373.49,25.49,16026.11,1787.52,840.95,246.97,659.71,458.37,0.0,1334.41,28889.72
Raigad,2018,2808.93,2712.81,5483.9,248.44,282.12,626.07,6260.59,1882.92,689.09,80.4,502.11,69.31,0.0,1851.07,23946.07
Raigad,2019,5038.22,1136.41,7947.53,825.19,354.23,61.27,6763.31,2156.39,694.25,334.45,1060.26,382.61,35.5,2348.43,29138.05
