District,Year,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Total Expenditure
Raigad,2020,5195.33,1624.51,6179.83,1067.79,344.32,157.14,5971.85,2465.38,973.68,413.94,2189.04,496.11,0.0,2093.02,29171.94
Raigad,2021,5359.11,1610.91,7832.86,867.88,261.62,117.38,11785.49,2328.68,1061.94,137.84,519.25,348.13,0.0,1721.11,33952.2
Ratnagiri,2009,121.0,262.0,844.0,47.0,550.0,7.0,1052.0,1368.0,168.0,0.0,179.0,188.0,0.0,923.0,5709.0
Ratnagiri,2010,828.0,1216.0,1019.0,75.0,32.0,34.0,1293.0,370.0,172.0,12.0,134.0,114.0,0.0,632.0,5931.0
Ratnagiri,2011,1042.0,815.0,921.0,83.0,97.0,3.0,1884.0,382.0,208.0,17.0,1.0,32.0,0.0,674.0,6159.0
Ratnagiri,2012,775.0,723.0,444.0,43.0,102.0,8.0,2081.0,557.0,237.0,35.0,0.0,204.0,0.0,709.0,5918.0
Ratnagiri,2013,1316.0,199.0,717.0,175.0,17.0,71.0,4445.0,472.0,273.0,62.0,0.0,83.0,0.0,776.0,8606.0
Ratnagiri,2014,1275.0,227.0,1324.0,112.0,104.0,27.0,5149.0,570.0,319.0,39.0,0.0,68.0,0.0,789.0,10004.0
Ratnagiri,2015,1770.0,1244.0,2353.0,94.0,124.0,20.0,2791.0,402.0,391.0,229.0,44.0,580.0,0.0,742.0,10784.0
Ratnagiri,2016,2117.0,300.0,3341.0,90.0,268.0,68.0,2913.0,1112.0,280.0,101.0,1.0,548.0,0.0,864.0,12003.0
Ratnagiri,2017,2809.0,308.0,1936.0,226.0,204.0,128.0,5855.0,956.0,49.0,387.0,0.0,477.0,0.0,946.0,14281.0
Ratnagiri,2018,2622.0,210.0,3253.0,82.0,382.0,43.0,7837.0,525.0,367.0,132.0,0.0,1.0,0.0,813.0,16267.0
Ratnagiri,2019,2982.0,577.0,5446.0,376.0,426.0,122.0,9435.0,2326.0,449.0,210.0,105.0,1.0,0.0,3156.0,25611.0
Ratnagiri,2020,3230.0,170.0,4514.0,267.0,112.0,76.0,907.0,670.0,647.0,172.0,0.0,336.0,0.0,1968.0,13069.0
Ratnagiri,2021,3078.0,3410.0,3951.0,68.0,123.0,50.0,4123.0,691.0,372.0,220.0,0.0,339.0,0.0,1993.0,18418.0
Sangli,2011,984.04,19.92,2176.74,170.0,41.0,8.21,2334.95,679.02,96.82,81.05,0.0,90.0,,387.51,7069.35
Sangli,2012,1426.0,30.0,2981.0,474.0,136.0,13.0,1782.0,274.0,177.0,79.0,737.0,38.0,,746.0,8893.0
Sangli,2013,1097.93,26.38,2033.84,58.09,143.21,29.36,3037.06,240.76,252.13,34.15,457.46,96.2,0.0,699.29,8205.86
Sangli,2014,1105.8,22.1,3310.67,92.34,111.8,1.94,2676.98,320.43,313.61,53.67,47.04,40.09,0.0,1227.04,9323.51
Sangli,2015,1020.53,171.38,3947.95,76.19,87.04,15.37,3756.38,634.13,264.01,72.05,558.52,76.8,0.0,905.83,11586.08
Sangli,2016,1925.3,184.59,3377.26,0.0,59.59,13.1,3926.65,259.44,257.02,36.56,726.42,19.37,0.0,662.58,11447.88
Sangli,2017,1797.32,63.91,3162.9,30.49,50.37,21.73,5228.59,296.38,297.93,75.64,25.67,24.46,21.78,552.37,11649.54
Sangli,2018,1698.47,305.77,2749.11,189.83,122.0,19.5,5317.92,790.18,337.19,77.98,1749.19,8.87,15.14,683.29,14064.4
Sangli,2019,1720.33,188.79,3772.63,11.51,40.39,16.31,4142.46,445.66,256.87,56.81,1350.33,14.08,0.0,637.11,12653.28
Sangli,2020,2120.52,152.95,2687.82,550.54,181.03,6.78,2297.51,584.64,194.31,95.39,1469.02,41.4,0.0,778.99,11160.9
Sangli,2021,2787.08,83.69,5733.95,14.67,54.35,9.32,5432.28,660.64,256.87,44.71,1655.83,38.45,0.0,724.85,17496.69
Satara,2012,2808.8,519.4,1188.33,452.33,180.95,47.47,5398.05,838.06,479.6,115.91,2492.09,360.57,0.0,888.74,15770.3
Satara,2013,3295.67,522.07,1266.86,612.77,231.31,53.15,8480.3,2059.01,606.3,241.37,4190.22,215.04,21.31,2060.53,23855.91
Satara,2014,4798.6,293.67,2179.75,510.75,223.61,49.98,11547.79,1187.43,676.28,100.43,3780.53,550.87,19.77,1184.66,27104.12
Satara,2015,4728.95,1032.77,1787.32,562.4,275.64,104.57,10206.07,1694.64,595.96,79.06,1702.42,581.71,24.2,1417.44,24793.15
Satara,2016,4442.35,1137.25,5144.77,441.5,447.22,58.38,16092.86,1964.14,521.18,80.68,2167.54,196.15,74.31,1065.78,33834.11
Satara,2017,4526.99,1222.88,2488.12,789.71,250.57,2898.11,8825.29,1749.96,583.61,106.03,309.96,287.74,214.21,1222.88,25166.1
Satara,2018,6000.0,1954.0,4069.0,1957.0,415.8,636.5,11109.0,2644.0,1575.0,318.7,7043.0,294.5,62.0,1171.0,39251.0
Satara,2019,5182.0,1192.0,3773.0,1674.0,387.4,688.9,11812.0,3105.0,1369.0,365.9,1386.0,519.4,60.08,1103.0,32617.0
Satara,2020,5760.61,1228.44,4344.01,1681.32,780.23,1920.11,14273.68,2047.51,895.91,469.99,1399.73,530.56,0.61,1805.15,37137.86
Satara,2021,6525.31,2882.68,9999.29,780.63,366.65,245.04,19048.02,1909.68,1106.5,238.21,5717.92,369.32,0.0,1225.39,50414.64
Sindhurdurg,2012,2.7,2.5,4.0,0.6,0.2,0.2,13.8,1.6,1.0,0.4,4.1,0.5,0.0,1.5,33.0
Sindhurdurg,2013,320.0,462.0,1324.0,0.0,22.0,18.0,825.0,162.0,60.0,60.0,652.0,15.0,0.0,144.0,4064.0
Sindhurdurg,2014,369.0,196.0,1622.0,521.0,11.0,6.0,361.0,196.0,103.0,27.0,636.0,54.0,0.0,204.0,4306.0
Sindhurdurg,2015,761.0,110.0,1121.0,172.0,43.0,4.0,3618.0,142.0,78.0,8.0,0.0,0.0,0.0,97.0,6154.0
Sindhurdurg,2016,958.0,53.0,1116.0,12.0,20.0,102.0,2677.0,244.0,136.0,20.0,1151.0,26.0,0.0,181.0,6696.0
Sindhurdurg,2017,1053.0,58.0,1745.0,470.0,25.0,27.0,1952.0,247.0,110.0,13.0,1052.0,6.0,0.0,148.0,6906.0
Sindhurdurg,2018,3318.0,274.0,1235.0,68.0,83.0,52.0,535.0,200.0,3.0,130.0,264.0,265.0,0.0,185.0,6611.0
Sindhurdurg,2019,1367.0,181.0,1922.0,12.0,50.0,64.0,1789.0,284.0,98.0,8.0,110.0,6.0,0.0,136.0,6027.0
Sindhurdurg,2020,1266.0,159.0,2672.0,406.0,40.0,13.0,1515.0,409.0,147.0,10.0,0.0,19.0,0.0,171.0,6825.0
Sindhurdurg,2021,1412.0,517.0,2419.0,90.0,38.0,17.0,2178.0,505.0,388.0,12.0,0.0,7.0,0.0,143.0,7727.0
Solapur,2016,5157.97,1548.4,5646.98,674.33,88.55,188.05,6731.99,1120.19,3338.42,9.85,41.25,16.2,3.88,1678.63,23244.69
Solapur,2017,5555.58,1063.17,5890.97,1110.34,246.51,144.36,13346.33,2160.97,394.48,218.54,347.25,65.87,3.88,2169.41,32717.66
Solapur,2018,5806.54,1168.25,9118.74,4217.64,212.65,602.92,7851.37,2222.66,402.17,23.41,290.32,53.8,0.0,2043.79,34014.26
Solapur,2019,6369.52,940.36,9779.98,3601.91,249.87,1549.84,8554.6,2766.42,377.5,30.67,350.3,11.67,0.0,1753.09,34014.26
Solapur,2020,6869.8,865.08,10527.6,5802.21,157.48,1822.7,21302.3,2413.34,713.73,98.14,555.05,100.31,0.0,1712.75,52940.9
Solapur,2021,10466.9,126.57,8624.11,5844.95,285.22,1784.72,22125.55,1237.06,399.34,9.58,163.9,148.34,0.0,1489.77,52705.96
Thane,2012,1151.5,224.89,2539.77,4976.16,215.92,174.43,10716.38,1230.64,786.68,159.08,7496.25,192.57,0.0,721.89,30586.16
Thane,2013,1039.19,366.14,15959.56,4176.22,235.25,227.79,8976.28,1430.79,733.68,194.04,2667.41,197.57,0.0,644.97,36848.89
Thane,2014,1315.08,302.97,10357.8,11367.12,182.05,92.11,10220.19,729.91,636.17,86.68,3479.7,108.7,0.0,164.67,39043.15
Thane,2015,1357.48,619.9,11480.06,13763.79,194.51,112.94,14411.17,1129.46,831.87,78.66,4225.11,357.04,0.0,243.73,48805.72
Thane,2016,1494.09,870.62,4944.26,6546.14,332.21,81.41,16542.44,675.31,885.24,91.07,3784.68,643.27,0.0,333.93,37224.67
Thane,2017,1660.38,812.66,10718.9,9990.42,290.61,653.91,19049.75,1772.7,877.9,71.08,3141.74,160.66,0.0,286.23,49486.94
Thane,2018,1462.02,653.17,11282.83,12012.95,320.55,688.64,21475.61,1633.61,1999.68,79.32,4153.98,557.99,0.0,244.91,56565.26
Thane,2019,1738.05,800.59,13141.12,9101.31,434.61,561.77,16564.26,2136.51,1851.82,92.17,3488.15,115.61,0.0,128.09,50154.06
Thane,2020,2422.97,595.08,12738.22,7371.11,536.2,192.51,24687.6,3820.25,2245.52,367.57,5264.54,234.22,0.0,156.71,60632.5
Thane,2021,221.17,267.04,10640.28,5525.71,274.95,46.02,4352.61,66.74,680.68,96.06,5420.85,142.2,0.0,75.85,27810.16
Wardha,2012,1763.0,287.0,1783.0,170.0,344.0,66.0,1674.0,749.0,206.0,126.0,385.0,124.0,0.0,636.0,8313.0
Wardha,2013,1673.0,554.0,2402.0,640.0,322.0,19.0,1003.0,725.0,265.0,221.0,1515.0,93.0,81.0,704.0,10217.0
Wardha,2014,3116.18,415.78,2473.19,167.92,347.08,18.69,1685.46,384.69,295.78,15.7,264.01,80.8,0.0,573.43,9838.71
Wardha,2015,2715.25,314.02,3652.8,294.67,235.2,42.33,1588.1,921.45,293.71,67.15,393.52,837.63,0.0,689.31,12045.0
Wardha,2016,4327.47,394.43,4397.02,304.03,341.94,118.97,3195.73,236.21,337.57,5.78,182.47,80.43,0.0,621.68,14543.7
Wardha,2017,5230.35,391.37,10762.27,1190.99,266.66,11.43,2113.29,737.95,248.46,78.23,1.6,78.17,0.0,559.34,21670.11
Wardha,2018,4627.42,487.45,8123.71,5655.92,1008.98,206.43,1505.48,438.57,349.36,172.23,378.56,157.29,0.0,842.9,23954.3
Wardha,2019,5978.71,111.94,10505.19,3949.83,771.76,318.88,1653.38,578.64,549.96,58.2,249.26,1.77,0.0,435.6,25163.12
Wardha,2020,6919.67,161.42,6214.52,4679.0,923.48,217.18,1961.76,246.6,574.39,14.04,1466.6,3.63,0.0,258.79,23641.08
Wardha,2021,9242.28,297.94,5897.33,1144.12,648.02,181.39,7255.74,804.97,838.56,72.15,11.0,5.6,0.0,1831.66,28230.76
Washim,2009,774.19,165.61,901.98,227.31,427.04,5.18,1051.15,109.29,119.45,4.01,0.17,77.43,18.48,175.57,4056.86
Washim,2010,774.19,165.61,901.98,227.31,427.04,5.18,1051.15,109.29,119.45,4.01,0.17,77.43,18.48,175.57,4056.86
Washim,2011,868.81,111.5,1504.41,299.91,734.07,5.58,1378.24,234.93,86.71,17.44,1128.75,189.67,0.0,227.1,6787.12
Washim,2012,1002.6,26.76,2570.26,362.53,740.93,0.1,1833.23,127.7,111.57,81.46,50.13,285.71,0.0,373.86,7566.84
Washim,2013,1222.98,12.86,2292.71,359.51,908.88,20.12,1961.59,351.71,122.93,85.45,0.0,267.91,0.0,334.81,7941.46
Washim,2014,344.88,131.57,0.0,2437.15,1354.46,17.3,2049.31,1653.91,1148.7,432.47,0.0,243.94,1443.99,67.3,12679.44
Washim,2015,1590.83,149.21,2644.02,1171.14,1452.11,736.41,2542.17,503.49,148.19,115.65,0.0,216.41,0.0,1179.67,12449.3
Washim,2016,2240.18,358.36,3858.3,2061.49,359.81,467.42,5268.17,612.04,158.49,74.6,10.1,88.5,373.98,527.11,16458.55
Washim,2017,2110.51,446.94,6971.59,938.24,1374.42,241.74,1486.53,1138.04,196.32,28.49,23.75,132.26,0.0,503.74,15592.57
Washim,2018,,,,,,,,,,,,,,,
Washim,2019,3713.04,510.14,3952.67,231.09,1292.0,462.71,4115.25,375.86,280.38,78.9,5.89,5.0,0.0,428.82,15451.75
Washim,2020,3652.59,462.34,4511.03,385.7,1403.42,159.46,2944.64,557.91,184.39,146.89,0.0,0.26,0.0,627.27,15035.9
Washim,2021,4578.52,255.14,4925.29,128.99,1221.42,18.18,5677.79,359.2,379.83,3.49,0.0,12.65,0.0,227.98,17788.48
Yavatmal,2012,2862.03,289.58,1139.09,280.9,1831.55,30.9,4275.53,807.8,308.58,150.48,60.26,102.89,0.0,624.7,12764.29
Yavatmal,2013,4707.72,252.3,2530.2,239.3,2014.47,50.17,5612.57,730.54,422.62,93.31,35.1,203.15,0.0,787.47,17678.92
Yavatmal,2014,5227.08,594.33,2736.48,160.02,1850.73,47.9,5861.2,711.14,449.17,140.34,40.19,229.45,0.0,1107.65,19155.68
Yavatmal,2015,5050.83,605.4,3887.15,194.02,1882.59,47.33,8417.25,505.11,459.55,112.23,202.13,264.98,0.0,1561.05,23189.62
Yavatmal,2016,6303.71,430.61,8262.82,314.45,1490.16,29.16,8881.65,845.0,470.29,232.79,73.44,421.08,0.0,819.5,28574.66
Yavatmal,2017,7630.44,480.58,4902.83,183.83,1945.09,141.87,12685.6,947.1,563.77,220.77,624.83,353.6,0.0,1376.24,32056.55
Yavatmal,2018,7728.31,258.97,5563.58,315.3,1180.67,93.0,18651.02,601.65,287.54,203.73,2103.2,146.43,0.0,1248.19,38381.59
Yavatmal,2019,6319.96,676.99,11909.03,357.41,2019.99,420.81,11792.63,2129.69,778.23,278.01,13.76,335.34,0.0,968.92,38000.77
Yavatmal,2020,6057.83,1807.43,10489.62,229.33,2789.33,97.3,7403.52,1852.89,797.33,404.37,283.8,331.27,0.0,2009.29,34553.31
Yavatmal,2021,10239.24,489.76,6124.2,775.11,2908.28,159.16,16430.16,1598.32,708.72,115.73,32.65,492.19,0.0,1834.93,41908.45
