District,Year,"Receipts and Loans
","From Commercial Activities
",Government Grants,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Palghar,2017,239.03,,3658.05,1925.34,1952.74,7775.16,1738.69,,1545.73,367.53,4.57,99.38,3119.65,27.51,,,1038.87,,,724.22,8666.15,855.6800000000001,1913.26,5897.21
Palghar,2018,3219.76,,6746.0,584.48,2314.62,12864.86,1517.13,201.56,1430.38,204.61,6.55,76.75,4914.61,423.46,227.14,1.31,1917.21,,,1143.44,12064.15,1650.2,1862.13,8551.82
Palghar,2019,1934.12,146.22,5886.08,445.48,1526.03,9937.93,2148.41,,1031.21,630.04,11.82,63.4,9476.27,166.81,,,2507.08,,,1392.78,17427.82,1634.81,1661.25,14131.76
Palghar,2020,740.25,46.24,3947.07,4959.44,1466.54,11159.54,1297.41,72.75,4787.43,244.58,57.93,20.97,1144.73,571.49,145.75,35.42,218.36,104.83,,747.71,9449.36,1398.1,5177.76,2873.5
Palghar,2021,3537.79,318.46,4672.64,1075.98,3702.22,13307.09,1122.5,128.22,3562.09,182.82,47.39,142.12,1401.99,759.94,222.4,123.62,,110.38,,504.49,8307.96,1453.94,3967.31,2886.71
Parbhani,2013,334.67,138.28,7607.33,1752.35,463.75,10296.38,1970.34,271.61,2732.22,235.19,62.4,10.41,3459.8,957.34,307.26,106.6,,271.37,,588.67,10973.21,1618.82,3274.67,6079.72
Parbhani,2014,886.83,190.03,4832.9,558.05,683.34,7151.15,1201.45,295.76,7102.17,1877.82,311.08,67.05,2826.03,81.23,272.17,32.47,443.99,16.1,,883.59,15410.91,1342.95,9252.16,4815.8
Parbhani,2015,421.16,934.18,6669.96,1846.37,793.15,10664.82,1832.5,199.8,6009.13,180.19,15.54,30.69,1985.48,815.66,439.63,489.68,173.56,186.65,3.56,530.75,12892.83,1392.64,6632.51,4867.67
Parbhani,2016,92.38,265.65,12216.8,3841.78,654.67,17071.28,2025.65,648.23,6332.77,3260.58,1274.49,746.0,2262.8,150.93,325.36,157.56,1729.44,234.02,69.0,457.39,19674.21,2628.81,9987.710000000001,7057.700000000001
Parbhani,2017,81.42,158.78,8264.72,3406.18,572.07,12483.15,3025.61,186.51,11020.34,345.23,22.68,25.52,1765.65,71.07,136.96,75.2,23.05,60.95,32.04,261.84,17052.65,381.11,11534.57,5136.97
Parbhani,2018,2411.39,192.34,16585.25,2352.82,1903.93,23445.73,2935.18,80.95,9530.74,620.81,6.23,23.96,2513.82,158.42,467.95,170.14,50.56,60.69,,249.72,16869.18,438.33,10619.5,5811.34
Parbhani,2019,28.64,52.25,11808.91,3913.59,433.93,16237.32,4033.36,71.0,10161.39,128.97,,26.86,1882.29,32.73,618.72,148.74,30.0,186.22,6.6,917.66,18244.54,977.25,10915.68,6351.610000000001
Parbhani,2020,0.77,95.85,14735.14,1414.7,294.71,16541.17,3343.29,319.0,3711.18,1069.15,178.87,76.96,17080.52,1437.52,618.27,44.25,740.09,168.8,,1681.91,47966.5,3375.26,5398.6,21695.95
Parbhani,2021,63.2,156.4,13032.53,2568.6,378.68,16199.41,4101.76,960.19,15858.77,213.23,182.76,88.3,10533.82,1407.64,682.23,32.18,516.24,244.03,,1898.94,36720.1,3577.64,16754.23,16388.22
Pune,2014,657.58,2515.27,15530.83,9770.58,5218.85,33693.11,5836.36,1750.75,12610.88,254.91,170.0,267.79,7708.15,1961.59,1123.72,58.0,2102.43,51.02,,2490.97,157793.26,4890.35,13989.51,17506.71
Pune,2015,1652.39,2064.54,21458.94,7294.24,5657.46,38127.57,4298.05,2387.93,11252.72,869.22,213.35,352.65,11009.22,1850.82,966.95,539.13,614.31,83.4,46.0,3245.12,37728.86,5661.94,13134.89,18932.04
Pune,2016,1303.9,913.44,22413.06,13505.59,6919.12,45055.1,6735.3,1739.09,12453.29,510.49,284.27,302.87,10137.62,3628.4,1639.08,639.88,660.99,47.91,,4249.23,43028.42,8464.77,14602.86,19960.79
Pune,2017,2112.7,5006.99,15797.95,10421.42,5775.35,39114.41,7774.97,1116.21,10714.48,2715.35,281.25,480.29,14652.52,3729.33,1128.25,484.91,951.25,233.59,,5986.75,50249.15,10477.62,14558.08,25213.45
Pune,2018,1200.6,1817.6,31293.36,12721.39,6218.57,53251.51,10429.0,1017.2,13218.24,3414.83,282.37,815.38,8648.64,3916.0,1368.21,591.01,282.39,323.89,,7113.24,51420.4,12126.99,18001.28,21292.13
Pune,2019,1511.43,2103.98,30749.19,14948.31,6651.81,55964.72,11033.21,3125.39,24293.49,1758.43,392.92,596.5,17002.1,2798.22,833.93,219.55,780.33,223.96,4.0,2584.61,65646.66,6372.25,26889.85,32384.54
Pune,2020,5061.84,3454.35,47071.6,8250.6,6395.15,70233.54,230.13,1626.29,4002.97,1080.6,664.35,111.08,1272.29,1296.85,805.95,965.73,3734.26,2640.12,,2286.54,20717.16,4358.82,5889.52,10468.82
Pune,2021,2416.42,1698.36,28784.24,13239.85,6959.57,53098.46,1123.08,1120.5,4900.87,1471.39,572.54,151.25,4482.01,1370.19,749.43,897.96,1474.79,1360.38,252.46,2072.66,21999.51,4166.639999999999,7374.150000000001,10458.72
Raigad,2012,1400.24,259.5,11867.62,3437.98,4047.33,21012.67,3416.18,1270.3,4328.91,1273.88,410.19,67.1,7303.23,1350.67,687.0,118.1,32.05,461.45,47.42,2281.45,23047.93,4109.41,6337.21,12601.31
Raigad,2013,1789.64,472.84,10261.08,3486.47,5437.34,21447.37,2787.14,745.46,6142.22,981.43,693.09,71.64,8544.93,2997.12,914.85,168.69,87.95,697.57,93.35,2648.35,27573.79,6410.2,8131.850000000001,13031.74
Raigad,2014,1442.95,3019.78,12265.35,5456.08,4018.27,26202.43,3822.91,1700.64,4365.26,1663.58,421.75,82.21,5148.93,3347.19,710.24,177.41,313.18,387.81,,1453.53,23594.64,5304.68,6739.08,11550.88
Raigad,2015,1299.15,710.05,14394.52,14178.84,5384.18,35966.74,3016.1,745.31,2956.66,418.63,373.49,25.49,16026.11,1787.52,840.95,246.97,659.71,458.37,,1334.41,28889.72,3520.91,4216.24,21152.57
Raigad,2016,1799.66,1181.21,13205.79,3249.88,5037.72,24474.26,2808.93,2712.81,5483.9,248.44,282.12,626.07,6260.59,1882.92,689.09,80.4,502.11,69.31,,1851.07,23946.07,4642.18,6421.429999999999,12434.15
Raigad,2017,3898.28,878.19,54010.62,8459.24,5114.95,72361.28,5038.22,1136.41,7947.53,825.19,354.23,61.27,6763.31,2156.39,694.25,334.45,1060.26,382.61,35.5,2348.43,29138.05,4920.32,9502.47,14715.26
Raigad,2018,3349.08,538.2,13846.1,4391.02,5605.2,27729.6,5195.33,1624.51,6179.83,1067.79,344.32,157.14,5971.85,2465.38,973.68,413.94,2189.04,496.11,,2093.02,29171.94,5059.860000000001,8221.3,15890.78
Raigad,2019,1985.67,333.92,17884.12,3942.35,5002.43,29148.49,5359.11,1610.91,7832.86,867.88,261.62,117.38,11785.49,2328.68,1061.94,137.84,519.25,348.13,,1721.11,33952.2,4428.79,9762.68,19760.73
Raigad,2020,1078.62,1383.46,11636.7,4392.39,5108.31,23599.48,121.0,262.0,844.0,47.0,550.0,7.0,1052.0,1368.0,168.0,,179.0,188.0,,923.0,5709.0,2848.0,1059.0,1802.0
Raigad,2021,1593.07,2103.76,14702.14,6046.65,7744.18,32189.8,828.0,1216.0,1019.0,75.0,32.0,34.0,1293.0,370.0,172.0,12.0,134.0,114.0,,632.0,5931.0,1068.0,1266.0,3597.0
Ratnagiri,2009,867.0,,3372.0,795.0,904.0,5938.0,1042.0,815.0,921.0,83.0,97.0,3.0,1884.0,382.0,208.0,17.0,1.0,32.0,,674.0,6159.0,1156.0,1212.0,3791.0
Ratnagiri,2010,881.0,37.0,1555.0,4148.0,1184.0,7805.0,775.0,723.0,444.0,43.0,102.0,8.0,2081.0,557.0,237.0,35.0,,204.0,,709.0,5918.0,1376.0,724.0,3818.0
Ratnagiri,2011,774.0,36.0,3039.0,1412.0,1237.0,6498.0,1316.0,199.0,717.0,175.0,17.0,71.0,4445.0,472.0,273.0,62.0,,83.0,,776.0,8606.0,1336.0,1165.0,6105.0
Ratnagiri,2012,428.0,289.0,3002.0,1768.0,1059.0,6546.0,1275.0,227.0,1324.0,112.0,104.0,27.0,5149.0,570.0,319.0,39.0,,68.0,,789.0,10004.0,1490.0,1755.0,6758.0
Ratnagiri,2013,384.0,105.0,2118.0,3898.0,1233.0,7739.0,1770.0,1244.0,2353.0,94.0,124.0,20.0,2791.0,402.0,391.0,229.0,44.0,580.0,,742.0,10784.0,1288.0,2838.0,6658.0
Ratnagiri,2014,1564.0,328.0,3182.0,3230.0,1834.0,10138.0,2117.0,300.0,3341.0,90.0,268.0,68.0,2913.0,1112.0,280.0,101.0,1.0,548.0,,864.0,12003.0,2312.0,3711.0,5980.0
Ratnagiri,2015,618.0,201.0,5793.0,3263.0,1751.0,11626.0,2809.0,308.0,1936.0,226.0,204.0,128.0,5855.0,956.0,49.0,387.0,,477.0,,946.0,14281.0,2234.0,2211.0,9836.0
Ratnagiri,2016,798.0,203.0,6532.0,3565.0,2287.0,13385.0,2622.0,210.0,3253.0,82.0,382.0,43.0,7837.0,525.0,367.0,132.0,,1.0,,813.0,16267.0,1763.0,3702.0,10802.0
Ratnagiri,2017,3010.0,367.0,8165.0,5869.0,2406.0,19817.0,2982.0,577.0,5446.0,376.0,426.0,122.0,9435.0,2326.0,449.0,210.0,105.0,1.0,,3156.0,25611.0,6030.0,6271.0,13310.0
Ratnagiri,2018,2432.0,3247.0,6427.0,3524.0,3945.0,19575.0,3230.0,170.0,4514.0,267.0,112.0,76.0,907.0,670.0,647.0,172.0,,336.0,,1968.0,13069.0,2826.0,5428.0,4815.0
Ratnagiri,2019,207.0,271.0,8893.0,5444.0,3338.0,18153.0,3078.0,3410.0,3951.0,68.0,123.0,50.0,4123.0,691.0,372.0,220.0,,339.0,,1993.0,18418.0,2857.0,4391.0,11170.0
Ratnagiri,2020,296.0,130.0,5561.0,2232.0,1479.0,9698.0,984.04,19.92,2176.74,170.0,41.0,8.21,2334.95,679.02,96.82,81.05,,90.0,,387.51,7069.35,1115.74,2443.56,3509.96
Ratnagiri,2021,574.0,345.0,9708.0,5075.0,2515.0,18217.0,1426.0,30.0,2981.0,474.0,136.0,13.0,1782.0,274.0,177.0,79.0,737.0,38.0,,746.0,8893.0,1169.0,3632.0,4092.0
Sangli,2011,216.0,57.66,5101.1,1467.53,844.16,7695.35,1097.93,26.38,2033.84,58.09,143.21,29.36,3037.06,240.76,252.13,34.15,457.46,96.2,,699.29,8205.86,1112.62,2344.06,4749.179999999999
Sangli,2012,283.0,259.0,4689.0,1381.0,2145.0,8757.0,1105.8,22.1,3310.67,92.34,111.8,1.94,2676.98,320.43,313.61,53.67,47.04,40.09,,1227.04,9323.51,1661.21,3716.62,3945.68
Sangli,2013,108.98,194.2,8984.18,2379.69,734.12,12501.17,1020.53,171.38,3947.95,76.19,87.04,15.37,3756.38,634.13,264.01,72.05,558.52,76.8,,905.83,11586.08,1642.37,4288.15,5655.660000000001
Sangli,2014,203.72,497.47,4900.62,2385.22,805.59,8792.62,1925.3,184.59,3377.26,,59.59,13.1,3926.65,259.44,257.02,36.56,726.42,19.37,,662.58,11447.88,994.71,3634.28,6818.89
Sangli,2015,232.68,167.11,8915.42,2776.42,1766.55,13855.18,1797.32,63.91,3162.9,30.49,50.37,21.73,5228.59,296.38,297.93,75.64,25.67,24.46,21.78,552.37,11649.54,920.85,3513.1,7215.59
Sangli,2016,942.31,235.25,9344.8,4620.19,1480.54,16623.09,1698.47,305.77,2749.11,189.83,122.0,19.5,5317.92,790.18,337.19,77.98,1749.19,8.87,15.14,683.29,14064.4,1614.97,3291.27,9158.2
Sangli,2017,669.76,346.07,6798.56,1536.39,1505.78,10856.56,1720.33,188.79,3772.63,11.51,40.39,16.31,4142.46,445.66,256.87,56.81,1350.33,14.08,,637.11,12653.28,1139.47,4041.01,7472.8
Sangli,2018,851.56,392.3,11001.0,5019.15,1536.2,18800.2,2120.52,152.95,2687.82,550.54,181.03,6.78,2297.51,584.64,194.31,95.39,1469.02,41.4,,778.99,11160.9,1551.44,3432.67,6176.789999999999
Sangli,2019,765.84,198.12,10096.53,3931.04,1328.55,16320.08,2787.08,83.69,5733.95,14.67,54.35,9.32,5432.28,660.64,256.87,44.71,1655.83,38.45,,724.85,17496.69,1449.16,6005.49,10042.04
Sangli,2020,517.44,364.37,2997.82,4561.49,2220.05,10661.17,2808.8,519.4,1188.33,452.33,180.95,47.47,5398.05,838.06,479.6,115.91,2492.09,360.57,,888.74,15770.3,1955.22,2120.26,11694.82
Sangli,2021,646.43,166.33,9368.7,12813.3,2081.5,25076.26,3295.67,522.07,1266.86,612.77,231.31,53.15,8480.3,2059.01,606.3,241.37,4190.22,215.04,21.31,2060.53,23855.91,4404.0,2507.24,16944.67
Satara,2012,587.37,596.99,13567.24,3186.27,2655.7,20593.57,4798.6,293.67,2179.75,510.75,223.61,49.98,11547.79,1187.43,676.28,100.43,3780.53,550.87,19.77,1184.66,27104.12,2645.68,3386.55,21071.89
Satara,2013,1148.96,1532.91,16020.75,4019.35,2449.12,25171.09,4728.95,1032.77,1787.32,562.4,275.64,104.57,10206.07,1694.64,595.96,79.06,1702.42,581.71,24.2,1417.44,24793.15,3492.29,2969.88,18330.98
Satara,2014,466.53,843.78,14247.58,9224.25,3314.16,28096.3,4442.35,1137.25,5144.77,441.5,447.22,58.38,16092.86,1964.14,521.18,80.68,2167.54,196.15,74.31,1065.78,33834.11,3535.52,6181.760000000001,24116.83
Satara,2015,541.1,1191.34,17583.51,6020.77,3962.65,29259.37,4526.99,1222.88,2488.12,789.71,250.57,2898.11,8825.29,1749.96,583.61,106.03,309.96,287.74,214.21,1222.88,25166.1,6121.52,4075.65,15278.89
Satara,2016,331.28,1479.92,17466.25,3883.75,4539.34,27700.54,6000.0,1954.0,4069.0,1957.0,415.8,636.5,11109.0,2644.0,1575.0,318.7,7043.0,294.5,62.0,1171.0,39251.0,4867.3,7663.0,26719.2
Satara,2017,1661.11,1519.16,14856.48,4503.4,4010.55,26550.7,5182.0,1192.0,3773.0,1674.0,387.4,688.9,11812.0,3105.0,1369.0,365.9,1386.0,519.4,60.08,1103.0,32617.0,5284.3,6876.08,20457.3
Satara,2018,4063.0,2094.0,21185.0,7912.0,7966.0,43219.0,5760.61,1228.44,4344.01,1681.32,780.23,1920.11,14273.68,2047.51,895.91,469.99,1399.73,530.56,0.61,1805.15,37137.86,6553.0,6921.849999999999,23663.01
Satara,2019,3553.0,3250.0,17496.0,7177.0,8085.0,39561.0,6525.31,2882.68,9999.29,780.63,366.65,245.04,19048.02,1909.68,1106.5,238.21,5717.92,369.32,,1225.39,50414.64,3746.76,11886.42,34781.46
Satara,2020,3874.23,1845.11,20245.53,9853.84,8828.81,44647.52,2.7,2.5,4.0,0.6,0.2,0.2,13.8,1.6,1.0,0.4,4.1,0.5,,1.5,33.0,3.5,5.6,24.0
Satara,2021,3608.23,3805.7,23595.3,12459.96,5753.24,49222.42,320.0,462.0,1324.0,,22.0,18.0,825.0,162.0,60.0,60.0,652.0,15.0,,144.0,4064.0,346.0,1384.0,2334.0
Sindhudurg,2012,1.2,0.2,22.7,5.6,12.1,41.7,369.0,196.0,1622.0,521.0,11.0,6.0,361.0,196.0,103.0,27.0,636.0,54.0,,204.0,4306.0,417.0,2246.0,1643.0
Sindhudurg,2013,527.0,27.0,2687.0,978.0,439.0,4658.0,761.0,110.0,1121.0,172.0,43.0,4.0,3618.0,142.0,78.0,8.0,,,,97.0,6154.0,286.0,1371.0,4497.0
Sindhudurg,2014,205.0,27.0,2344.0,660.0,502.0,3740.0,958.0,53.0,1116.0,12.0,20.0,102.0,2677.0,244.0,136.0,20.0,1151.0,26.0,,181.0,6696.0,547.0,1264.0,4885.0
Sindhudurg,2015,90.0,113.0,3986.0,1482.0,355.0,6026.0,1053.0,58.0,1745.0,470.0,25.0,27.0,1952.0,247.0,110.0,13.0,1052.0,6.0,,148.0,6906.0,447.0,2325.0,4134.0
Sindhudurg,2016,770.0,39.0,4637.0,1662.0,395.0,7503.0,3318.0,274.0,1235.0,68.0,83.0,52.0,535.0,200.0,3.0,130.0,264.0,265.0,,185.0,6611.0,520.0,1306.0,4786.0
Sindhudurg,2017,692.0,99.0,2995.0,1324.0,652.0,5762.0,1367.0,181.0,1922.0,12.0,50.0,64.0,1789.0,284.0,98.0,8.0,110.0,6.0,,136.0,6027.0,534.0,2032.0,3461.0
Sindhudurg,2018,207.0,124.0,2722.0,3047.0,573.0,4170.0,1266.0,159.0,2672.0,406.0,40.0,13.0,1515.0,409.0,147.0,10.0,,19.0,,171.0,6825.0,633.0,3225.0,2969.0
Sindhudurg,2019,1432.0,573.0,7802.0,1825.0,1468.0,13100.0,1412.0,517.0,2419.0,90.0,38.0,17.0,2178.0,505.0,388.0,12.0,,7.0,,143.0,7727.0,703.0,2897.0,4126.0
Sindhudurg,2020,100.0,14.0,4095.0,421.0,733.0,5363.0,5157.97,1548.4,5646.98,674.33,88.55,188.05,6731.99,1120.19,3338.42,9.85,41.25,16.2,3.88,1678.63,23244.69,3075.42,9663.609999999999,13505.66
Sindhudurg,2021,492.0,16.0,3271.0,530.0,1113.0,5423.0,5555.58,1063.17,5890.97,1110.34,246.51,144.36,13346.33,2160.97,394.48,218.54,347.25,65.87,3.88,2169.41,32717.66,4721.25,7399.670000000001,20596.74
Solapur,2016,,493.03,17693.86,3352.54,3194.68,24733.11,5806.54,1168.25,9118.74,4217.64,212.65,602.92,7851.37,2222.66,402.17,23.41,290.32,53.8,,2043.79,34014.26,5082.02,13738.55,15193.69
Solapur,2017,1975.02,1197.89,16916.02,2229.13,3095.43,25413.49,6369.52,940.36,9779.98,3601.91,249.87,1549.84,8554.6,2766.42,377.5,30.67,350.3,11.67,,1753.09,34014.26,6319.22,13759.39,16257.12
Solapur,2018,,538.8,21334.17,5005.39,10765.74,37644.1,6869.8,865.08,10527.6,5802.21,157.48,1822.7,21302.3,2413.34,713.73,98.14,555.05,100.31,,1712.75,52940.9,6106.27,17043.54,29790.68
Solapur,2019,,811.16,18477.32,4312.33,11799.1,35399.91,10466.9,126.57,8624.11,5844.95,285.22,1784.72,22125.55,1237.06,399.34,9.58,163.9,148.34,,1489.77,52705.96,4796.77,14868.4,33040.84
Solapur,2020,2743.62,1538.9,33754.14,3396.96,3414.58,44848.2,1151.5,224.89,2539.77,4976.16,215.92,174.43,10716.38,1230.64,786.68,159.08,7496.25,192.57,,721.89,30586.16,2342.88,8302.61,19940.67
Solapur,2021,,523.99,24259.92,3470.82,11326.88,39581.61,1039.19,366.14,15959.56,4176.22,235.25,227.79,8976.28,1430.79,733.68,194.04,2667.41,197.57,,644.97,36848.89,2538.8,20869.46,13440.63
Thane,2012,3466.97,1.85,14866.02,11240.28,2855.38,32430.5,1315.08,302.97,10357.8,11367.12,182.05,92.11,10220.19,729.91,636.17,86.68,3479.7,108.7,,164.67,39043.15,1168.74,22361.09,15513.32
Thane,2013,2064.43,435.54,15941.1,16563.0,5123.06,40127.13,1357.48,619.9,11480.06,13763.79,194.51,112.94,14411.17,1129.46,831.87,78.66,4225.11,357.04,,243.73,48805.72,1680.64,26075.72,21049.36
Thane,2014,2860.42,,11438.61,21149.65,2667.39,38116.07,1494.09,870.62,4944.26,6546.14,332.21,81.41,16542.44,675.31,885.24,91.07,3784.68,643.27,,333.93,37224.67,1422.86,12375.64,23426.17
Thane,2015,10074.16,,15846.64,17864.92,7092.34,50878.06,1660.38,812.66,10718.9,9990.42,290.61,653.91,19049.75,1772.7,877.9,71.08,3141.74,160.66,,286.23,49486.94,3003.45,21587.22,24896.27
Thane,2016,4219.36,,25095.61,18233.68,4505.16,52053.81,1462.02,653.17,11282.83,12012.95,320.55,688.64,21475.61,1633.61,1999.68,79.32,4153.98,557.99,,244.91,56565.26,2887.71,25295.46,28382.09
Thane,2017,3016.34,,18662.26,19515.53,11838.75,53032.88,1738.05,800.59,13141.12,9101.31,434.61,561.77,16564.26,2136.51,1851.82,92.17,3488.15,115.61,,128.09,50154.06,3260.98,24094.25,22798.83
Thane,2018,3913.63,,22517.66,18682.74,12304.37,57418.4,2422.97,595.08,12738.22,7371.11,536.2,192.51,24687.6,3820.25,2245.52,367.57,5264.54,234.22,,156.71,60632.5,4705.67,22354.85,33571.98
Thane,2019,3532.07,,21664.72,16027.78,9157.45,50382.02,221.17,267.04,10640.28,5525.71,274.95,46.02,4352.61,66.74,680.68,96.06,5420.85,142.2,,75.85,27810.16,463.5599999999999,16846.67,10499.93
Thane,2020,5484.49,,19240.83,18674.73,8937.98,52338.03,1763.0,287.0,1783.0,170.0,344.0,66.0,1674.0,749.0,206.0,126.0,385.0,124.0,,636.0,8313.0,1795.0,2159.0,4359.0
Thane,2021,5215.52,,15839.1,5465.76,4026.56,30546.94,1673.0,554.0,2402.0,640.0,322.0,19.0,1003.0,725.0,265.0,221.0,1515.0,93.0,81.0,704.0,10217.0,1770.0,3388.0,5059.0
Wardha,2012,292.0,119.0,5880.0,835.0,1292.0,8418.0,3116.18,415.78,2473.19,167.92,347.08,18.69,1685.46,384.69,295.78,15.7,264.01,80.8,,573.43,9838.71,1323.89,2936.89,5577.93
Wardha,2013,1325.0,88.0,7031.0,1012.0,1840.0,10296.0,2715.25,314.02,3652.8,294.67,235.2,42.33,1588.1,921.45,293.71,67.15,393.52,837.63,,689.31,12045.0,1888.29,4241.18,5915.669999999999
Wardha,2014,132.61,236.6,6745.27,1836.24,1516.36,10467.1,4327.47,394.43,4397.02,304.03,341.94,118.97,3195.73,236.21,337.57,5.78,182.47,80.43,,621.68,14543.7,1318.8,5038.62,8186.310000000001
Wardha,2015,485.6,773.75,11379.87,653.4,1449.15,14741.77,5230.35,391.37,10762.27,1190.99,266.66,11.43,2113.29,737.95,248.46,78.23,1.6,78.17,,559.34,21670.11,1575.38,12201.72,7893.01
Wardha,2016,861.05,152.94,11289.38,5130.41,914.4,18348.18,4627.42,487.45,8123.71,5655.92,1008.98,206.43,1505.48,438.57,349.36,172.23,378.56,157.29,,842.9,23954.3,2496.88,14128.99,7328.43
Wardha,2017,4861.66,776.24,11108.8,3753.66,2130.72,22631.08,5978.71,111.94,10505.19,3949.83,771.76,318.88,1653.38,578.64,549.96,58.2,249.26,1.77,,435.6,25163.12,2104.88,15004.98,8053.26
Wardha,2018,1457.98,645.11,23066.23,1125.11,1532.54,27826.97,6919.67,161.42,6214.52,4679.0,923.48,217.18,1961.76,246.6,574.39,14.04,1466.6,3.63,,258.79,23641.08,1646.05,11467.91,10527.12
Wardha,2019,2764.6,223.02,28122.54,2124.44,1709.22,34943.82,9242.28,297.94,5897.33,1144.12,648.02,181.39,7255.74,804.97,838.56,72.15,11.0,5.6,,1831.66,28230.76,3466.04,7880.01,16884.71
Wardha,2020,1780.97,540.22,13274.48,987.17,1620.58,18203.42,774.19,165.61,901.98,227.31,427.04,5.18,1051.15,109.29,119.45,4.01,0.17,77.43,18.48,175.57,4056.86,717.0799999999999,1267.22,2072.56
Wardha,2021,725.9,736.59,22671.35,3063.61,2002.49,29199.94,774.19,165.61,901.98,227.31,427.04,5.18,1051.15,109.29,119.45,4.01,0.17,77.43,18.48,175.57,4056.86,717.0799999999999,1267.22,2072.56
Washim,2008,,,,,,,868.81,111.5,1504.41,299.91,734.07,5.58,1378.24,234.93,86.71,17.44,1128.75,189.67,,227.1,6787.12,1201.68,1891.03,3694.41
Washim,2009,269.33,,4874.2,983.82,726.65,6854.0,1002.6,26.76,2570.26,362.53,740.93,0.1,1833.23,127.7,111.57,81.46,50.13,285.71,,373.86,7566.84,1242.59,3044.36,3279.89
Washim,2010,269.33,,4874.2,983.82,726.65,6854.0,1222.98,12.86,2292.71,359.51,908.88,20.12,1961.59,351.71,122.93,85.45,,267.91,,334.81,7941.46,1615.52,2775.15,3550.79
Washim,2011,951.87,,6154.21,635.75,1762.77,9504.6,344.88,131.57,,2437.15,1354.46,17.3,2049.31,1653.91,1148.7,432.47,,243.94,1443.99,67.3,12679.44,3092.97,5029.84,3202.17
Washim,2012,71.94,2808.55,10254.86,3827.45,681.98,17644.78,1590.83,149.21,2644.02,1171.14,1452.11,736.41,2542.17,503.49,148.19,115.65,,216.41,,1179.67,12449.3,3871.68,3963.35,4614.27
Washim,2013,29.73,2768.96,9735.49,4799.83,607.62,17941.63,2240.18,358.36,3858.3,2061.49,359.81,467.42,5268.17,612.04,158.49,74.6,10.1,88.5,373.98,527.11,16458.55,1966.38,6452.26,8039.910000000001
Washim,2014,,295.23,9107.06,2154.59,961.32,12518.2,2110.51,446.94,6971.59,938.24,1374.42,241.74,1486.53,1138.04,196.32,28.49,23.75,132.26,,503.74,15592.57,3257.94,8106.15,4228.48
Washim,2015,,426.78,11295.8,1533.29,1610.07,15439.55,,,,,,,,,,,,,,,,,,
Washim,2016,603.47,506.26,16060.52,2018.29,995.03,20183.57,3713.04,510.14,3952.67,231.09,1292.0,462.71,4115.25,375.86,280.38,78.9,5.89,5.0,,428.82,15451.75,2559.39,4464.14,8428.22
Washim,2017,1070.16,213.58,7774.31,1353.72,1015.74,11427.51,3652.59,462.34,4511.03,385.7,1403.42,159.46,2944.64,557.91,184.39,146.89,,0.26,,627.27,15035.9,2748.06,5081.12,7206.72
Washim,2018,,,,,,,4578.52,255.14,4925.29,128.99,1221.42,18.18,5677.79,359.2,379.83,3.49,,12.65,,227.98,17788.48,1826.78,5434.11,10527.59
Washim,2019,113.63,358.21,10229.01,4615.31,1112.58,16428.74,2862.03,289.58,1139.09,280.9,1831.55,30.9,4275.53,807.8,308.58,150.48,60.26,102.89,,624.7,12764.29,3294.95,1728.57,7740.77
Washim,2020,105.04,352.29,8664.14,2286.41,1074.48,12482.36,4707.72,252.3,2530.2,239.3,2014.47,50.17,5612.57,730.54,422.62,93.31,35.1,203.15,,787.47,17678.92,3582.65,3192.12,10904.15
Washim,2021,700.0,80.08,7872.22,1364.47,819.68,10836.45,5227.08,594.33,2736.48,160.02,1850.73,47.9,5861.2,711.14,449.17,140.34,40.19,229.45,,1107.65,19155.68,3717.42,3345.67,12092.59
Yavatmal,2012,188.95,62.14,10318.28,2000.33,1436.18,14005.88,5050.83,605.4,3887.15,194.02,1882.59,47.33,8417.25,505.11,459.55,112.23,202.13,264.98,,1561.05,23189.62,3996.08,4540.72,14652.82
Yavatmal,2013,339.58,291.93,15721.51,1238.73,1452.96,19044.71,6303.71,430.61,8262.82,314.45,1490.16,29.16,8881.65,845.0,470.29,232.79,73.44,421.08,,819.5,28574.66,3183.82,9047.560000000001,16343.28
Yavatmal,2014,172.75,352.56,16661.38,3177.17,1851.5,22215.36,7630.44,480.58,4902.83,183.83,1945.09,141.87,12685.6,947.1,563.77,220.77,624.83,353.6,,1376.24,32056.55,4410.3,5650.43,21995.82
Yavatmal,2015,280.16,573.45,18947.48,2747.12,1833.89,24382.1,7728.31,258.97,5563.58,315.3,1180.67,93.0,18651.02,601.65,287.54,203.73,2103.2,146.43,,1248.19,38381.59,3123.51,6166.42,29091.66
Yavatmal,2016,519.41,650.47,28303.01,2966.75,2939.75,35379.39,6319.96,676.99,11909.03,357.41,2019.99,420.81,11792.63,2129.69,778.23,278.01,13.76,335.34,,968.92,38000.77,5539.41,13044.67,19416.69
Yavatmal,2017,374.38,349.92,26926.24,7125.0,3173.8,37949.34,6057.83,1807.43,10489.62,229.33,2789.33,97.3,7403.52,1852.89,797.33,404.37,283.8,331.27,,2009.29,34553.31,6748.81,11516.28,16288.22
