District,Year,Taluka,Aggregate Current Demand,Arrears,Aggregate Demand,Discount,Amount of suspended recovery,Amount Eligible for Recovery,Value Recovery,Number of Account Holders
Ahilyanagar,2015,Srirampur,7202190.0,659340.0,7861530.0,582880.0,0.0,7278650.0,20946270.0,66853
Ahilyanagar,2015,Nevasa,7855860.0,0.0,7855860.0,1635360.0,0.0,6220500.0,35750530.0,121691
Ahilyanagar,2015,Shevgaon,4155980.0,235000.0,4390980.0,4020890.0,0.0,370090.0,3988900.0,16063
Ahilyanagar,2015,Pathardi,5066000.0,0.0,5066000.0,1400300.0,0.0,3665700.0,12131230.0,80925
Ahilyanagar,2015,Nagar,34406390.0,0.0,34406390.0,1140000.0,0.0,33266390.0,32266380.0,101266
Ahilyanagar,2015,Rahuri,5347090.0,0.0,5347090.0,0.0,0.0,5347090.0,5368110.0,139635
Ahilyanagar,2015,Parner,6062170.0,0.0,6062170.0,1323500.0,0.0,4738670.0,6062170.0,129060
Ahilyanagar,2015,Srigonda,3976720.0,1003760.0,4980480.0,1293360.0,0.0,3687120.0,2972960.0,122723
Ahilyanagar,2015,Karjat,4376900.0,0.0,4376900.0,843970.0,0.0,3532930.0,7266140.0,109295
Ahilyanagar,2015,Jamkhed,1571760.0,0.0,1571760.0,764960.0,0.0,806800.0,5773900.0,59300
Ahilyanagar,2016,Akole,59027820.0,0.0,59027820.0,9024900.0,0.0,50002920.0,95958530.0,84330
Ahilyanagar,2016,Sangamner,7219550.0,0.0,7219550.0,1308560.0,0.0,5910990.0,10020780.0,113225
Ahilyanagar,2016,Kopargaon,11029170.0,0.0,11029170.0,1135300.0,0.0,9893870.0,9893860.0,23876
Ahilyanagar,2016,Rahata,65544000.0,0.0,65544000.0,0.0,0.0,65544000.0,94265090.0,0
Ahilyanagar,2016,Srirampur,7202000.0,659340.0,7861340.0,582880.0,0.0,7278460.0,25194270.0,66853
Ahilyanagar,2016,Nevasa,6533510.0,0.0,6533510.0,1798890.0,0.0,4734620.0,4734630.0,128669
Ahilyanagar,2016,Shevgaon,41660950.0,190000.0,41850950.0,0.0,0.0,41850950.0,3976090.0,24136
Ahilyanagar,2016,Pathardi,10800000.0,0.0,10800000.0,0.0,0.0,10800000.0,17489670.0,108207
Ahilyanagar,2016,Nagar,26431780.0,0.0,26431780.0,1114010.0,0.0,25317770.0,44380240.0,101266
Ahilyanagar,2016,Rahuri,2912680.0,0.0,2912680.0,0.0,0.0,2912680.0,2854940.0,139635
Ahilyanagar,2016,Parner,683321770.0,0.0,683321770.0,1352070.0,0.0,681969700.0,5481150.0,146855
Ahilyanagar,2016,Srigonda,424122800.0,1003760.0,425126560.0,129335900.0,0.0,295790660.0,32374650.0,122723
Ahilyanagar,2016,Karjat,11000000.0,0.0,11000000.0,0.0,0.0,11000000.0,10955250.0,0
Ahilyanagar,2016,Jamkhed,1735130.0,0.0,1735130.0,782850.0,0.0,952280.0,6784100.0,61200
Ahilyanagar,2017,Akole,5278340.0,0.0,5278340.0,1067850.0,0.0,4210490.0,9085560.0,86950
Ahilyanagar,2017,Sangamner,7895650.0,0.0,7895650.0,1445250.0,0.0,6450400.0,50563350.0,118478
Ahilyanagar,2017,Kopargaon,14281040.0,0.0,14281040.0,835880.0,0.0,13445160.0,61945160.0,78957
Ahilyanagar,2017,Rahata,77943000.0,0.0,77943000.0,0.0,0.0,77943000.0,77943000.0,92491
Ahilyanagar,2017,Srirampur,7824910.0,339930.0,8164850.0,529170.0,0.0,7635680.0,250.0,67198
Ahilyanagar,2017,Nevasa,6852470.0,0.0,6852470.0,1978780.0,0.0,4873690.0,4873690.0,141535
Ahilyanagar,2017,Shevgaon,4111100.0,190000.0,4301100.0,0.0,0.0,4301100.0,3921100.0,17851
Ahilyanagar,2017,Pathardi,3769120.0,0.0,3769120.0,0.0,0.0,3769120.0,3760230.0,7318
Ahilyanagar,2017,Nagar,100000000.0,0.0,100000000.0,13901070.0,0.0,86098930.0,106325100.0,101266
Ahilyanagar,2017,Rahuri,13536010.0,0.0,13536010.0,0.0,0.0,13536010.0,15557710.0,87579
Ahilyanagar,2017,Parner,6729540.0,0.0,6729540.0,1408870.0,0.0,5320660.0,5320870.0,146855
Ahilyanagar,2017,Srigonda,7513630.0,0.0,7513630.0,1248340.0,0.0,6265290.0,11621170.0,152731
Ahilyanagar,2017,Karjat,5627400.0,0.0,5627400.0,848480.0,0.0,4778920.0,8573330.0,88683
Ahilyanagar,2017,Jamkhed,7500000.0,0.0,7500000.0,0.0,0.0,7500000.0,7591880.0,87160
Ahilyanagar,2018,Akole,11400000.0,0.0,11400000.0,0.0,0.0,11400000.0,16861070.0,87357
Ahilyanagar,2018,Sangamner,8219670.0,0.0,8219670.0,1566260.0,0.0,6653420.0,50539310.0,118478
Ahilyanagar,2018,Kopargaon,7746760.0,0.0,7746760.0,0.0,0.0,7746760.0,60130330.0,78957
Ahilyanagar,2018,Rahata,37740180.0,0.0,37740180.0,0.0,36215890.0,1524290.0,1524290.0,29797
Ahilyanagar,2018,Srirampur,9038390.0,515400.0,9553790.0,605850.0,0.0,8947940.0,7524800.0,67215
Ahilyanagar,2018,Nevasa,8450930.0,0.0,8450930.0,3404170.0,0.0,5046750.0,6928970.0,119613
Ahilyanagar,2018,Shevgaon,4374740.0,0.0,4374740.0,0.0,0.0,4374740.0,14148500.0,17797
Ahilyanagar,2018,Pathardi,16000000.0,0.0,16000000.0,0.0,0.0,16000000.0,13854910.0,6374
Ahilyanagar,2018,Nagar,100000000.0,0.0,100000000.0,1637610.0,0.0,98362390.0,75962000.0,327454
Ahilyanagar,2018,Rahuri,31100000.0,0.0,31100000.0,0.0,0.0,31100000.0,30721980.0,87579
Ahilyanagar,2018,Parner,6729530.0,0.0,6729530.0,0.0,0.0,6729530.0,6729530.0,146855
Ahilyanagar,2018,Srigonda,1900000.0,0.0,1900000.0,0.0,0.0,1900000.0,8294000.0,122723
Ahilyanagar,2018,Karjat,5627390.0,0.0,5627390.0,1529430.0,0.0,4097960.0,6883720.0,111824
Ahilyanagar,2018,Jamkhed,7500000.0,0.0,7500000.0,0.0,0.0,7500000.0,5358630.0,87160
Ahilyanagar,2019,Akole,8087080.0,0.0,8087080.0,883720.0,0.0,7203370.0,7203370.0,93465
Ahilyanagar,2019,Sangamner,8190000.0,0.0,8190000.0,1444180.0,0.0,6745810.0,68065010.0,118478
Ahilyanagar,2019,Kopargaon,11787610.0,0.0,11787610.0,119510.0,0.0,11668090.0,50562710.0,53948
Ahilyanagar,2019,Rahata,38740180.0,0.0,38740180.0,0.0,36215900.0,2524290.0,1524290.0,29598
Ahilyanagar,2019,Srirampur,8517250.0,719860.0,9237110.0,605450.0,0.0,8631660.0,5246510.0,67405
Ahilyanagar,2019,Nevasa,6702430.0,0.0,6702430.0,1688320.0,0.0,5014110.0,5014110.0,119613
Ahilyanagar,2019,Shevgaon,6353080.0,51340.0,6404410.0,1458550.0,0.0,4945870.0,4862050.0,10315
Ahilyanagar,2019,Pathardi,16000000.0,0.0,16000000.0,0.0,0.0,16000000.0,11913390.0,6374
Ahilyanagar,2019,Nagar,97600000.0,0.0,97600000.0,1672450.0,0.0,95927550.0,84915000.0,191492
Ahilyanagar,2019,Rahuri,30000000.0,0.0,30000000.0,0.0,0.0,30000000.0,29233680.0,87579
Ahilyanagar,2019,Parner,9019720.0,0.0,9019720.0,0.0,0.0,9019720.0,22576320.0,146855
Ahilyanagar,2019,Srigonda,11000000.0,0.0,11000000.0,2395470.0,0.0,8604530.0,4551510.0,69514
Ahilyanagar,2019,Karjat,2240020.0,0.0,2240020.0,852680.0,0.0,1387340.0,3317750.0,113824
Ahilyanagar,2019,Jamkhed,8072000.0,0.0,8072000.0,0.0,0.0,8072000.0,9911960.0,87160
Ahilyanagar,2020,Akole,4829220.0,0.0,4829220.0,0.0,0.0,4829220.0,4829220.0,88009
Ahilyanagar,2020,Sangamner,8105620.0,195140.0,8300760.0,1375010.0,0.0,6925750.0,66684940.0,118478
Ahilyanagar,2020,Kopargaon,7768610.0,213000.0,7981610.0,0.0,0.0,7981610.0,7455640.0,51243
Ahilyanagar,2020,Rahata,11557710.0,112170.0,11669880.0,0.0,0.0,11669880.0,5359000.0,47112
Ahilyanagar,2020,Srirampur,7445000.0,108000.0,7553000.0,650000.0,0.0,6903000.0,51129000.0,67215
Ahilyanagar,2020,Nevasa,8538760.0,606000.0,9144760.0,2407190.0,0.0,6737560.0,6737560.0,136596
Ahilyanagar,2020,Shevgaon,6449700.0,84790.0,6534490.0,1236780.0,0.0,5297720.0,5212930.0,27621
Ahilyanagar,2020,Pathardi,15900000.0,0.0,15900000.0,0.0,0.0,15900000.0,15900000.0,6438
Ahilyanagar,2020,Nagar,110600000.0,2356000.0,112956000.0,1672000.0,0.0,111284000.0,143039000.0,191492
Ahilyanagar,2020,Rahuri,3706000.0,1302000.0,5008000.0,0.0,0.0,5008000.0,29853000.0,87579
Ahilyanagar,2020,Parner,5322510.0,0.0,5322510.0,0.0,0.0,5322510.0,5322510.0,30421
Ahilyanagar,2020,Srigonda,5052210.0,243610.0,5295820.0,0.0,0.0,5295820.0,36828000.0,113480
Ahilyanagar,2020,Karjat,2603020.0,2482280.0,5085300.0,0.0,0.0,5085300.0,2519050.0,113824
Ahilyanagar,2020,Jamkhed,2628220.0,0.0,2628220.0,0.0,0.0,2628220.0,2628220.0,36741
Ahilyanagar,2021,Akole,7679340.0,0.0,7679340.0,900890.0,0.0,6778460.0,0.0,35123
Ahilyanagar,2021,Sangamner,90000000.0,338000.0,90338000.0,0.0,0.0,90338000.0,99597000.0,85980
Ahilyanagar,2021,Kopargaon,7946000.0,0.0,7946000.0,0.0,0.0,7946000.0,7946000.0,51287
Ahilyanagar,2021,Rahata,11338000.0,112000.0,11450000.0,756000.0,0.0,10694000.0,78460000.0,61947
Ahilyanagar,2021,Srirampur,54000000.0,131000.0,54131000.0,605000.0,0.0,53526000.0,38466000.0,67215
Ahilyanagar,2021,Nevasa,8640780.0,0.0,8640780.0,2655810.0,0.0,5984970.0,5984970.0,126596
Ahilyanagar,2021,Shevgaon,23000000.0,84000.0,23084000.0,0.0,0.0,23084000.0,21015000.0,5762
Ahilyanagar,2021,Pathardi,2600000.0,0.0,2600000.0,0.0,0.0,2600000.0,16658000.0,6752
Ahilyanagar,2021,Nagar,141000000.0,0.0,141000000.0,1423000.0,0.0,139577000.0,150628000.0,173222
Ahilyanagar,2021,Rahuri,6766000.0,1625000.0,8391000.0,0.0,0.0,8391000.0,21445930.0,77923
Ahilyanagar,2021,Parner,5871910.0,121200.0,5993110.0,0.0,0.0,5993110.0,5991200.0,30421
Ahilyanagar,2021,Srigonda,4840000.0,401000.0,5241000.0,0.0,0.0,5241000.0,28580000.0,74318
Ahilyanagar,2021,Karjat,2631000.0,2482000.0,5113000.0,0.0,0.0,5113000.0,3119100.0,113824
Ahilyanagar,2021,Jamkhed,2161400.0,0.0,2161400.0,822670.0,0.0,1338730.0,1338730.0,77583
Akola,2012,Telhara,4508000.0,571000.0,5079000.0,0.0,0.0,5079000.0,5325000.0,34909
Akola,2012,Akot,7760000.0,2807000.0,10567000.0,0.0,0.0,10567000.0,12301000.0,47181
Akola,2012,Balapur,11102000.0,6276000.0,17378000.0,0.0,0.0,17378000.0,12687000.0,32694
Akola,2012,Akola,43307000.0,5676000.0,48983000.0,0.0,389000.0,48594000.0,50522000.0,53603
Akola,2012,Murtijapur,4651000.0,2938000.0,7589000.0,0.0,0.0,7589000.0,12687000.0,78960
Akola,2012,Patur,2814000.0,515000.0,3329000.0,0.0,0.0,3329000.0,4630000.0,35779
Akola,2012,Barshitakali,3145000.0,832000.0,3977000.0,0.0,0.0,3977000.0,4484000.0,32436
Akola,2013,Telhara,109000000.0,34000000.0,143000000.0,0.0,0.0,143000000.0,149190000.0,48199
Akola,2013,Akot,205856000.0,44559000.0,250415000.0,0.0,0.0,250415000.0,139093000.0,48574
Akola,2013,Balapur,102690000.0,24120000.0,126810000.0,0.0,0.0,126810000.0,77507000.0,69952
Akola,2013,Akola,281000000.0,153578000.0,434578000.0,0.0,0.0,434578000.0,1411066000.0,156458
Akola,2013,Murtijapur,155159000.0,17807000.0,172966000.0,0.0,0.0,172966000.0,49907000.0,63737
Akola,2013,Patur,46888000.0,3698000.0,50586000.0,0.0,0.0,50586000.0,49046000.0,42668
Akola,2013,Barshitakali,72000000.0,0.0,72000000.0,0.0,0.0,72000000.0,39802000.0,48987
Akola,2014,Telhara,4180000.0,52820000.0,57000000.0,0.0,0.0,57000000.0,62850000.0,36225
Akola,2014,Akot,29590000.0,86190000.0,115780000.0,0.0,0.0,115780000.0,215020000.0,48574
Akola,2014,Balapur,54370000.0,108730000.0,163110000.0,0.0,0.0,163110000.0,1033720000.0,39645
Akola,2014,Akola,33450000.0,392690000.0,426140000.0,0.0,0.0,426140000.0,976330000.0,87123
Akola,2014,Murtijapur,16080000.0,52960000.0,69040000.0,0.0,0.0,69040000.0,254590000.0,61278
Akola,2014,Patur,12290000.0,28930000.0,41220000.0,0.0,0.0,41220000.0,49510000.0,57543
Akola,2014,Barshitakali,14170000.0,31500000.0,45680000.0,0.0,0.0,45680000.0,84780000.0,35810
Akola,2015,Telhara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2015,Akot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2015,Balapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2015,Akola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2015,Murtijapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2015,Patur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2015,Barshitakali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akola,2016,Telhara,534000.0,622000.0,5962000.0,0.0,0.0,5962000.0,6081000.0,34909
Akola,2016,Akot,9671000.0,4836000.0,14507000.0,0.0,0.0,14507000.0,20141000.0,64851
Akola,2016,Balapur,15152000.0,141000.0,16562000.0,0.0,0.0,16562000.0,26164000.0,38718
Akola,2016,Akola,72319000.0,7517000.0,79836000.0,0.0,0.0,79836000.0,71408000.0,78015
Akola,2016,Murtijapur,7924000.0,3003000.0,10927000.0,0.0,0.0,10927000.0,195861000.0,62763
Akola,2016,Patur,2959000.0,995000.0,3954000.0,0.0,0.0,3954000.0,9241000.0,31292
Akola,2016,Barshitakali,3100000.0,1216000.0,4316000.0,0.0,0.0,4316000.0,4618000.0,34971
Akola,2017,Telhara,5174000.0,444000.0,5618000.0,0.0,0.0,5618000.0,5545000.0,36784
Akola,2017,Akot,6249000.0,4542000.0,10791000.0,0.0,0.0,10791000.0,25391000.0,51563
Akola,2017,Balapur,15535000.0,2438000.0,17973000.0,0.0,0.0,17973000.0,23697000.0,38718
Akola,2017,Akola,69244000.0,7573000.0,76817000.0,0.0,0.0,76817000.0,104124000.0,76965
Akola,2017,Murtijapur,4919000.0,1302000.0,6221000.0,0.0,0.0,6221000.0,29859000.0,25219
Akola,2017,Patur,3332000.0,1065000.0,4397000.0,0.0,0.0,4397000.0,7541000.0,32376
Akola,2017,Barshitakali,3132000.0,1012000.0,4144000.0,0.0,0.0,4144000.0,3545000.0,36527
Akola,2018,Telhara,7984000.0,617000.0,8601000.0,4135000.0,0.0,4466000.0,4466000.0,41278
Akola,2018,Akot,9765000.0,3834000.0,13599000.0,0.0,0.0,13599000.0,19476000.0,52955
Akola,2018,Balapur,15535000.0,2731000.0,18266000.0,0.0,0.0,18266000.0,29580000.0,39415
Akola,2018,Akola,80708000.0,4381000.0,85089000.0,35276000.0,0.0,49813000.0,49813000.0,67071
Akola,2018,Murtijapur,4734000.0,1293000.0,6027000.0,0.0,0.0,6027000.0,21368000.0,48241
Akola,2018,Patur,3397000.0,1538000.0,4935000.0,0.0,0.0,4935000.0,5252000.0,28480
Akola,2018,Barshitakali,3182000.0,1971000.0,5153000.0,998000.0,0.0,4155000.0,4155000.0,36915
Akola,2019,Telhara,7461000.0,1025000.0,8486000.0,236000.0,0.0,8250000.0,3732000.0,40139
Akola,2019,Akot,13906000.0,3695000.0,17601000.0,128000.0,0.0,17473000.0,16437000.0,54281
Akola,2019,Balapur,17049000.0,5717000.0,22766000.0,91000.0,0.0,22675000.0,17227000.0,40142
Akola,2019,Akola,72905000.0,21059000.0,93964000.0,196000.0,0.0,93768000.0,69000000.0,67071
Akola,2019,Murtijapur,14107000.0,1651000.0,15758000.0,4000.0,0.0,15754000.0,6775000.0,47145
Akola,2019,Patur,3421000.0,1400000.0,4821000.0,44000.0,0.0,4777000.0,3098000.0,33838
Akola,2019,Barshitakali,3433000.0,1671000.0,5104000.0,29000.0,0.0,5075000.0,2908000.0,36527
Akola,2020,Telhara,7871000.0,1798000.0,9669000.0,0.0,0.0,9669000.0,5810000.0,41301
Akola,2020,Akot,15696000.0,4359000.0,20055000.0,0.0,0.0,20055000.0,18369000.0,54913
Akola,2020,Balapur,17614000.0,8326000.0,25940000.0,0.0,0.0,25940000.0,19115000.0,44214
Akola,2020,Akola,65922000.0,41149000.0,107971000.0,0.0,0.0,107071000.0,77589120.0,67171
Akola,2020,Murtijapur,15226000.0,2730000.0,17956000.0,0.0,0.0,17956000.0,13409580.0,47395
Akola,2020,Patur,3163000.0,2330000.0,5493000.0,0.0,0.0,5493000.0,3350790.0,29227
Akola,2020,Barshitakali,3671000.0,2145000.0,5816000.0,0.0,0.0,5816000.0,3431560.0,37822
Akola,2021,Telhara,7871000.0,1798000.0,9669000.0,0.0,0.0,9669000.0,8245000.0,41301
Akola,2021,Akot,15696000.0,4359000.0,20055000.0,0.0,0.0,20055000.0,13265000.0,56524
Akola,2021,Balapur,17614000.0,8326000.0,25940000.0,0.0,0.0,25940000.0,16997000.0,48161
Akola,2021,Akola,65922000.0,41149000.0,107071000.0,0.0,0.0,107071000.0,177954000.0,61460
Akola,2021,Murtijapur,15226000.0,2730000.0,17956000.0,0.0,0.0,17956000.0,10794000.0,47245
Akola,2021,Patur,3163000.0,2330000.0,5493000.0,0.0,0.0,5493000.0,3740000.0,29340
Akola,2021,Barshitakali,3671000.0,2145000.0,5816000.0,0.0,0.0,5816000.0,8342000.0,36527
Amravati,2012,Dharani,2980.0,0.0,2980.0,0.0,0.0,2980.0,13500.0,26139
Amravati,2012,Chikhraldara,4900.0,0.0,4900.0,0.0,0.0,4900.0,7580.0,22282
Amravati,2012,Anjangaon Su,29870.0,0.0,29870.0,0.0,0.0,29870.0,66900.0,39430
Amravati,2012,Achalpur,31000.0,0.0,31000.0,0.0,0.0,31000.0,40000.0,33892
Amravati,2012,Chandurbazar,20000.0,0.0,20000.0,0.0,0.0,20000.0,37100.0,38536
Amravati,2012,Morshi,35000.0,0.0,35000.0,0.0,0.0,35000.0,51550.0,36543
Amravati,2012,Warud,40000.0,0.0,40000.0,0.0,0.0,40000.0,98500.0,26904
Amravati,2012,Tivas,20550.0,0.0,20550.0,0.0,0.0,20550.0,23800.0,23317
Amravati,2012,Amravati,942890.0,0.0,942890.0,0.0,0.0,942890.0,1101750.0,36785
Amravati,2012,Bhatkuli,40000.0,0.0,40000.0,0.0,0.0,40000.0,47900.0,30210
Amravati,2012,Daryapur,39810.0,0.0,39810.0,0.0,0.0,39810.0,107000.0,39139
Amravati,2012,Nandgaon Kh,50000.0,0.0,50000.0,0.0,0.0,50000.0,199000.0,34158
Amravati,2012,Chandur Railway,13000.0,0.0,13000.0,0.0,0.0,13000.0,22850.0,21512
Amravati,2012,Dhamangaon Re,30000.0,0.0,30000.0,0.0,0.0,30000.0,43680.0,26546
Amravati,2013,Dharani,10000.0,0.0,10000.0,0.0,0.0,10000.0,37960.0,
Amravati,2013,Chikhraldara,10000.0,0.0,10000.0,0.0,0.0,10000.0,1940.0,
Amravati,2013,Anjangaon Su,45170.0,0.0,45170.0,0.0,0.0,45170.0,67720.0,
Amravati,2013,Achalpur,55000.0,0.0,55000.0,0.0,0.0,55000.0,68510.0,
Amravati,2013,Chandurbazar,40000.0,0.0,40000.0,0.0,0.0,40000.0,62370.0,
Amravati,2013,Morshi,43720.0,0.0,43720.0,0.0,0.0,43720.0,101760.0,
Amravati,2013,Warud,76980.0,0.0,76980.0,0.0,0.0,76980.0,132920.0,
