District,Year,"Receipts and Loans
","From Commercial Activities
",Government Subsidies,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Akola,2019,104117000.0,11785000.0,988061000.0,53633000.00000001,61304999.99999999,1218901000.0,293467000.0,9837000.0,117635000.0,17504000.0,233986000.0,3065000.0,102564000.0,36133000.0,18597000.0,1824000.0,,4657000.0,,33149000.0,1644225000.0,306333000.0,153736000.0,412349000.0
Akola,2020,107588000.0,13222000.0,990190000.0,58782000.00000001,61829999.99999999,1231612000.0,308080000.0,10045000.0,120559000.0,17640000.0,258062000.0,3130000.0,104480000.0,37514000.0,22272000.0,1930000.0,,4947000.0,,36450000.0,925109000.0,335156000.0,160471000.0,429482000.0000001
Akola,2021,55516999.99999999,29970000.0,869446999.9999999,130741000.0,146051000.0,1231726000.0,532195000.0,23839000.0,450149000.0,47383000.0,103414000.0,67485000.0,362654000.0,24366000.0,18478000.0,3608000.0,21148000.0,4545000.0,,48586000.0,1707850000.0,243851000.0,516009999.9999999,947989000.0000001
Amravati,2012,95024000.0,78478000.0,1026682000.0,82072000.0,100352000.0,1382608000.0,314741000.0,8410000.0,326209000.0,14715000.0,147286000.0,9705000.0,145519000.0,91530000.0,22892000.0,9594000.0,111899000.0,10557000.0,375000.0,58915000.0,1272347000.0,307436000.0,364191000.0000001,600719999.9999999
Amravati,2013,55966000.0,95590000.0,1182614000.0,73868000.0,120915000.0,1528953000.0,364936000.0,34903000.0,338333000.0,16125000.0,134364000.0,13248000.0,139774000.0,84515000.0,29979000.0,15257000.0,132978000.0,17205000.0,73000.0,62372000.0,1384062000.0,294499000.0,384510000.0,705053000.0
Amravati,2014,39251000.0,80484000.0,1035626000.0,244173000.0,168774000.0,1568308000.0,431018000.0,21434000.0,479983000.0,47368000.0,143372000.0,33608000.0,162770000.0,63754000.0,27262000.0,12623000.0,54713000.0,14529000.0,515000.0000000001,75204000.0,1568153000.0,315938000.0,555128000.0,697087000.0
Amravati,2015,74329000.0,68731000.0,1414585000.0,230954000.0,108383000.0,1896982000.0,470370000.0,13217000.0,511857000.0,36369000.0,182165000.0,15545000.0,323853000.0,86676000.0,29015000.0,25871000.0,38551000.0,11668000.0,108000.0,62804999.99999999,1808100000.0,347191000.0,577348999.9999999,883529999.9999999
Amravati,2016,44903000.0,103154000.0,2253325000.0,142392000.0,156499000.0,2700273000.0,483905000.0,27794000.0,709316000.0,29020000.0,177043000.0,13944000.0,312544000.0,79134000.0,47222000.0,9063000.0,137202000.0,11901000.0,105000.0,74568000.0,2112761000.0,344689000.0,785663000.0,982409000.0
Amravati,2017,60808000.00000001,38890000.0,1998150000.0,253351000.0,141403000.0,2492602000.0,536622000.0,24277000.0,781914000.0,26890000.0,181057000.0,5760000.0,186331000.0,83460000.0,26978000.0,7934000.0,180237000.0,9943000.0,86000.0,54962000.0,2106451000.0,325239000.0,835868000.0,945344000.0000002
Amravati,2018,34240000.0,74216900.0,2744130000.0,395837000.0,184898000.0,3433322000.0,536884000.0,4671000.0,550129000.0,26794900.0,333817000.0,89197000.0,574429000.0,127418000.0,3012000.0,42530700.0,110055000.0,2561000.0,108000.0,114938000.0,2516544000.0,665370000.0000001,580043899.9999999,1271130700.0
Amravati,2019,82356000.0,56725000.0,2688801000.0,333269000.0,168092000.0,3329243000.0,607629000.0,17559000.0,1038126000.0,26155000.0,368573000.0,75643000.0,578384000.0,126113000.0,18734000.0,43536000.0,33051000.0,12950000.0,1219000.0,86844000.0,3034516000.0,657173000.0,1084234000.0,1293109000.0
Amravati,2020,63529000.0,96030000.0,2547506000.0,207060000.0,173412000.0,3087538000.0,440881000.0000001,22640000.0,1104336000.0,81918000.0,372557000.0,10257000.0,36837000.0,346543000.0,53183000.00000001,46928000.0,409606000.0000001,39160000.0,4250000.0,118134000.0,3087230000.0,847491000.0,1243687000.0,996052000.0
Amravati,2021,493188000.0,93108000.0,2440723000.0,224924000.0,209766000.0,3461709000.0,485693999.9999999,55924000.0,1499372000.0,123578000.0,469835000.0000001,14472000.0,217151000.0,310831000.0,71407000.0,48253000.0,268655000.0,44778000.0,4781000.0,119573000.0,3734304000.0,914711000.0,1699138000.0,1120455000.0
Chh. Sambhaji Nagar,2012,15033000.0,54662000.0,469647999.9999999,233604000.0,56240000.0,829187000.0000001,100378000.0,14221000.0,207778000.0,18713000.0,59679999.99999999,7981000.0,230870000.0,24205000.0,17059000.0,11555000.0,103346000.0,17313000.0,,43822000.0,856920999.9999999,135688000.0,243550000.0000001,477683000.0
Chh. Sambhaji Nagar,2013,24716000.0,14351000.0,856084000.0,269640000.0,63773000.0,1228564000.0,46150000.0,13631000.0,272218000.0,23633000.0,29090000.0,12407000.0,295746000.0,60154999.99999999,24152000.0,4550000.0,149556000.0,18848000.0,,52466000.0,1002602000.0,154118000.0,320003000.0,528480999.9999999
Chh. Sambhaji Nagar,2014,15602000.0,12866000.0,538420000.0,213184000.0,67572000.0,847644000.0,33720000.0,9063000.0,410526000.0,33462000.0,28876000.0,5846000.0,212753000.0,60896000.0,20131000.0,11909000.0,168374000.0,22532000.0,,60475000.0,1078563000.0,156093000.0,464119000.0000001,458351000.0
Chh. Sambhaji Nagar,2015,15602000.0,12866000.0,538420000.0,213184000.0,67572000.0,847644000.0,33720000.0,9063000.0,410526000.0,33462000.0,28876000.0,5846000.0,212753000.0,60896000.0,20131000.0,11909000.0,168374000.0,22532000.0,,60475000.0,1078563000.0,156093000.0,464119000.0000001,458351000.0
Chh. Sambhaji Nagar,2016,26275000.0,35567000.0,1135614000.0,56182000.00000001,81549000.0,1335187000.0,113313000.0,11179000.0,271255000.0,38672000.0,44854000.0,11021000.0,658802000.0,66771000.0,24245000.0,3653000.0,61321000.0,20285000.0,,59159000.0,1384530000.0,181805000.0,334172000.0,868553000.0000001
Chh. Sambhaji Nagar,2017,44008000.0,31481000.0,692787000.0,193886000.0,100053000.0,1062215000.0,133407000.0,19620000.0,439868999.9999999,30419000.0,35229000.0,1905000.0,50669000.0,34492000.0,21394000.0,6396000.0,98009000.0,16702000.0,,58469000.00000001,946579999.9999999,130095000.0,491681999.9999999,324803000.0
Chh. Sambhaji Nagar,2018,73961000.0,12317000.0,1392767000.0,28970000.0,93727000.0,1601743000.0,114256000.0,41822000.0,545329000.0,29290000.0,38804000.0,10798000.0,133244000.0,144344000.0,24682000.0,2460000.0,56460000.0,36141000.0,246000.0,69100000.0,1246976000.0,263046000.0,599546999.9999999,384383000.0
Chh. Sambhaji Nagar,2019,73812000.0,15952000.0,1129459000.0,61975000.0,90303000.0,1371501000.0,155156000.0,30506000.0,584725000.0,37574000.0,38718000.0,2548000.0,330841000.0,110901000.0,38253000.0,1234000.0,110750000.0,28480000.0,336000.0,55930999.99999999,1525952000.0,208098000.0,660887999.9999999,656967000.0
Chh. Sambhaji Nagar,2020,125404000.0,14677000.0,974437999.9999999,38086000.0,80902000.0,1233507000.0,306488000.0,23462000.0,651186000.0,67714000.0,50982000.0,8941000.0,63227000.0,129040000.0,10255000.0,42754000.0,136748000.0,13250000.0,300000.0,49352000.0,1553699000.0,238315000.0,729455000.0,585929000.0000001
Chh. Sambhaji Nagar,2021,68891000.0,31727000.0,962199000.0,66266999.99999999,170772000.0,1299856000.0,323888000.0,65660000.0,1146589000.0,98631000.0,65530999.99999999,9614000.0,63954000.0,111894000.0,18129000.0,15524000.0,35748000.0,19480000.0,322000.0,69635000.0,2044599000.0,256674000.0,1263671000.0,524254000.0
Beed,2014,36784000.0,16537000.0,1518233000.0,195270000.0,128682000.0,,414699000.0,15462000.0,503492000.0,247055000.0,3387000.0,3926000.0,357893000.0,65234000.0,29085000.0,6098000.0,12736000.0,12552000.0,,130884000.0,1802503000.0,203431000.0,779632000.0000001,819439999.9999998
Beed,2015,10156000.0,13530000.0,1193831000.0,180104000.0,138801000.0,,321441000.0,25871000.0,364113000.0,,2262000.0,10136000.0,142450000.0,132247000.0,24665000.0,8068000.000000001,66976000.0,10942000.0,,119746000.0,1228917000.0,264391000.0,388778000.0,575748000.0
Beed,2016,9869000.0,15270000.0,1684080000.0,179783000.0,137253000.0,,388624000.0,108302000.0,620487000.0,15149000.0,2003000.0,13535000.0,276939000.0,70968000.0,22023000.0,9777000.0,30413000.0,6563000.0,,105131000.0,1669914000.0,191637000.0,657658999.9999999,820618000.0
Beed,2017,14947000.0,35726000.0,1337416000.0,157692000.0,134312000.0,,362117000.0,3789000.0,700768000.0,71239000.0,27665000.0,17389000.0,282906000.0,37005000.0,22830000.0,4432000.0,4066000.0,7736000.0,,173109000.0,1715051000.0,255168000.0,794837000.0000001,665045999.9999999
Beed,2018,39197000.0,61964000.0,1871476000.0,429464000.0000001,135334000.0,,407204000.0,47093000.0,488008000.0,223524000.0,1390000.0,36163000.0,675070000.0,65991000.0,39579000.0,43330000.0,3785000.0,13176000.0,,373054000.0,2417367000.0,476597999.9999999,751111000.0,1189658000.0
Beed,2019,34260000.0,32891000.0,2492846000.0,247804000.0,137703000.0,,452771000.0,53802000.0,742403000.0,101691000.0,120000.0,21860000.0,432639999.9999999,105394000.0,14203000.0,39450000.0,2500000.0,14745000.0,,654072000.0,2635651000.0,781446000.0,858297000.0000001,995908000.0
Beed,2020,42803000.0,59535000.0,2267623000.0,68680000.0,226102000.0,,465481000.0000001,41197000.0,1620034000.0,195004000.0,1291000.0,2760000.0,152797000.0,108527000.0,16620000.0,11614000.0,12125000.0,18790000.0,451000.0,179267000.0,2825958000.0,291845000.0,1832109000.0,702004000.0000001
Beed,2021,37604000.0,13497000.0,2588878000.0,205758000.0,197614000.0,,532254000.0,159857000.0,2081245000.0,221282000.0,513000.0,5487000.0,121618000.0,83553000.0,24553000.0,11460000.0,7387000.0,21562000.0,,93807000.0,3364578000.0,183360000.0,2327080000.0,854138000.0000001
Bhandara,2012,7202000.0,7100000.0,348261000.0,185946000.0,67087000.0,615596000.0,38136000.0,6429000.000000001,41477000.0,13710000.0,17638000.0,100632000.0,304802000.0,50120000.0,3820000.0,3736000.0,6046000.0,5415000.0,,16523000.0,608484000.0,184913000.0,59007000.00000001,364564000.0000001
Bhandara,2013,10447000.0,4847000.0,495104000.0,172161000.0,72716000.0,755275000.0,13912000.0,2229000.0,48093000.0,16295000.0,35786000.0,162819000.0,266926000.0,53495000.00000001,2504000.0,3532000.0,2568000.0,11271000.0,,23951000.0,643381000.0,276051000.0,66891999.99999999,300438000.0
Bhandara,2014,30952000.0,3696000.0,767962000.0,67258000.0,85787000.0,955654999.9999999,39487000.0,3046000.0,67585000.0,,15142000.0,294122000.0,604400000.0,139717000.0,1901000.0,3285000.0,185000.0,6898999.999999999,,13141000.0,1188910000.0,462121999.9999999,69486000.0,657302000.0
Bhandara,2015,30041000.0,4810000.0,774404000.0,22849000.0,88888000.0,920992000.0,70776000.0,3507000.0,75845000.0,11813000.0,10025000.0,288496000.0,450275000.0,79187000.0,21284000.0,3996000.0,133000.0,14585000.0,,20749000.0,1050671000.0,398457000.0,108942000.0,543272000.0
Bhandara,2016,16289000.0,8674000.0,912031000.0,59524000.0,104209000.0,1100727000.0,59344000.00000001,3167000.0,84755000.0,12213000.0,18046000.0,73704000.0,451897999.9999999,76307000.0,21721000.0,3305000.0,2299000.0,10572000.0,,21106000.0,838437000.0000001,189163000.0,118689000.0,530584999.9999999
Bhandara,2017,64927000.0,13398000.0,804189000.0,43966000.0,99627000.0,1026107000.0,96733000.0,4872000.0,96644000.0,11532000.0,53460000.0,65369000.00000001,278060000.0,90148000.0,5580000.0,6325000.0,,9130000.0,,50874000.0,768727000.0,259851000.0,113756000.0,395120000.0
Bhandara,2018,11826000.0,165371000.0,1468836000.0,269597000.0,102590000.0,2018220000.0,278156000.0,71751000.0,506503000.0,17500000.0,22554000.0,4841000.0,375205000.0,66011000.0,10190000.0,3800000.0,18236000.0,3500000.0,,95373000.0,1473620000.0,188779000.0,534192999.9999999,750648000.0
Bhandara,2019,146490000.0,159385000.0,1211043000.0,208494000.0,38314000.0,1763726000.0,264885000.0,25587000.0,329556000.0,18218000.0,18946000.0,5798000.0,695105000.0,55313000.0,6390000.0,3800000.0,162083000.0,5204000.0,,170382000.0,1761267000.0,250439000.0,354164000.0,1156664000.0
Bhandara,2020,,,1042499000.0,138779000.0,172244000.0,1353522000.0,427214000.0000001,18408000.0,446089000.0000001,3846000.0,20112000.0,15587000.0,1176877000.0,15775000.0,831000.0,,,5000000.0,,19244000.0,2148983000.0,70718000.0,450766000.0000001,1627499000.0
Bhandara,2021,102174000.0,181000.0,868941000.0,755102000.0,127300000.0,1853698000.0,428012000.0,7147000.0,168330000.0,17495000.0,,4262000.0,810886000.0,8542000.0,7468000.000000001,320000.0,,1867000.0,,46246000.0,1500575000.0,59050000.0,193293000.0,1248232000.0
Buldhana,2013,50210000.0,59319000.00000001,1549044000.0,131345000.0,158701000.0,1948619000.0,573961000.0,8670000.0,332871000.0,15793000.0,103589000.0,19593000.0,491876000.0,61011000.0,36327000.0,7342000.0,48645000.0,14039000.0,72000.0,134397000.0,1848196000.0,318590000.0000001,385062999.9999999,1144533000.0
Buldhana,2014,220060000.0,34095000.0,2371080000.0,180980000.0,235288000.0,3041503000.0,602641000.0,114722000.0,514322000.0,41506000.0,113376000.0,44720000.0,696063000.0,60251000.0,38545000.0,28890000.0,464099000.0,5636000.0,47754000.0,164780000.0,2937305000.0,383127000.0000001,642127000.0,1912051000.0
