Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks
2013,Amravati,Morshi,22.0,6,22.0
2013,Amravati,Warud,28.0,10,28.0
2013,Amravati,Tivas,12.0,6,12.0
2013,Amravati,Amravati,99.0,29,99.0
2013,Amravati,Bhatkuli,13.0,5,13.0
2013,Amravati,Daryapur,19.0,4,19.0
2013,Amravati,Nandgaon Kh,15.0,7,15.0
2013,Amravati,Chandur Railway,16.0,6,16.0
2013,Amravati,Dhamangaon Re,16.0,6,16.0
2014,Amravati,Dharani,9.0,4,9.0
2014,Amravati,Chikhraldara,7.0,5,7.0
2014,Amravati,Anjangaon Su,17.0,7,17.0
2014,Amravati,Achalpur,29.0,13,29.0
2014,Amravati,Chandurbazar,20.0,8,20.0
2014,Amravati,Morshi,23.0,7,23.0
2014,Amravati,Warud,29.0,12,29.0
2014,Amravati,Tivas,15.0,7,15.0
2014,Amravati,Amravati,102.0,29,102.0
2014,Amravati,Bhatkuli,13.0,5,13.0
2014,Amravati,Daryapur,19.0,5,19.0
2014,Amravati,Nandgaon Kh,15.0,7,15.0
2014,Amravati,Chandur Railway,12.0,5,12.0
