District,Year,Administration-Establishment,Administration-Others,Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Total Expenditure
Solapur,2016,68.5,20.96,29.37,,,,4.24,75.8,27.44,,,1.88,,62.73,290.92
Solapur,2017,268.63,50.35,1095.23,2.7,,0.34,1521.94,3.96,2.01,,0.25,1.02,,66.46,3012.89
Solapur,2018,9780.88,2288.13,17158.77,7268.27,276.5,668.66,13341.88,3905.45,681.12,45.47,567.25,107.6,,2833.86,58923.84
Solapur,2019,396.52,,1828.36,87.58,,6.5,322.85,60.94,29.87,1.75,4.6,88.3,,225.09,58923.84
Solapur,2020,421.71,35.41,2060.11,83.81,,4.5,288.35,73.81,94.87,14.6,2.12,99.2,,121.95,3300.52
Solapur,2021,1011.96,107.64,893.7,97.55,0.5,6.0,40.57,79.49,120.08,14.0,0.5,264.44,,157.19,2793.62
Thane,2012,,,,,,,,,,,,,,,
Thane,2013,,,,,,,,,,,,,,,
Thane,2014,,,,,,,,,,,,,,,
Thane,2015,,,,,,,,,,,,,,,
Thane,2016,,,,,,,,,,,,,,,
Thane,2017,58.55,62.08,537.82,9.72,,5.54,25.07,79.72,64.15,,14.75,148.19,,73.03,1078.62
Thane,2018,140.27,5.99,307.75,17.03,,13.07,995.77,122.47,30.45,0.75,,148.19,,26.59,1808.33
Thane,2019,155.04,29.33,368.08,24.94,,13.83,586.6,194.72,54.03,1.66,,0.25,,145.0,1573.48
Thane,2020,213.44,56.61,1954.09,14.04,,177.88,80.16,516.43,41.89,,,0.11,,78.84,3133.49
Thane,2021,238.51,38.34,2374.32,133.53,,39.54,285.54,203.04,41.39,11.13,,0.16,,29.34,3394.84
Wardha,2012,,,,,,,,,,,,,,,
Wardha,2013,,,,,,,,,,,,,,,
Wardha,2014,,,,,,,,,,,,,,,
Wardha,2015,16.0,3.32,34.45,4.21,0.17,4.7,14.19,40.36,3.52,6.46,6.16,1.99,1.12,38.1,174.75
Wardha,2016,54.03,15.94,151.6,64.18,0.54,24.2,140.86,32.22,41.36,5.96,306.46,3.88,,21.78,863.01
Wardha,2017,153.75,22.72,268.12,406.39,6.39,31.35,7204.28,20.84,403.96,33.66,17.8,7.44,,136.61,8713.31
Wardha,2018,122.93,10.8,250.6,149.93,,169.96,753.51,36.94,48.56,46.87,35.79,21.33,,66.26,1713.48
Wardha,2019,169.21,57.17,1635.97,43.19,1.08,6.29,184.48,122.54,31.21,9.17,0.7,10.27,,63.29,2334.57
Wardha,2020,366.49,35.33,894.23,81.34,,1.77,226.46,49.35,55.02,,,2.15,,352.84,2064.98
Wardha,2021,336.22,510.56,534.32,28.15,,1.51,233.46,70.91,83.33,,17.8,25.84,,112.1,1954.2
Washim,2009,,,,,,,,,,,,,,,
Washim,2010,,,,,,,,,,,,,,,
Washim,2011,,,,,,,,,,,,,,,
Washim,2012,,,,,,,,,,,,,,,
Washim,2013,,,,,,,,,,,,,,,
Washim,2014,,,,,,,,,,,,,,,
Washim,2015,,,,,,,,,,,,,,,
Washim,2016,29.0,10.0,3.14,,,,,23.1,6.46,,,18.0,,41.8,131.0
Washim,2017,8.44,22.31,379.31,,,,30.66,22.3,4.32,,,,,15.64,482.98
Washim,2018,,,,,,,,,,,,,,,
Washim,2019,291.29,,382.91,6.69,,,1.5,61.03,31.51,6.33,,,,330.23,1111.49
Washim,2020,129.49,16.83,351.46,79.42,,65.43,0.36,42.78,48.84,44.93,,13.69,,48.83,842.06
Washim,2021,191.17,,259.48,,,3.56,36.91,128.58,52.75,24.9,,,,52.32,749.67
Yavatmal,2012,,,,,,,,,,,,,,,
Yavatmal,2013,,,,,,,,,,,,,,,
Yavatmal,2014,,,,,,,,,,,,,,,
Yavatmal,2015,,,,,,,,,,,,,,,
Yavatmal,2016,33.52,95.77,17.06,42.02,2.0,3.7,819.73,26.39,30.79,0.85,1.0,4.0,1.6,74.53,1152.96
Yavatmal,2017,153.91,65.72,1954.42,34.59,0.3,10.51,137.27,31.42,37.4,2.35,,8.59,1.27,77.08,2514.83
Yavatmal,2018,323.59,52.92,2607.15,96.06,1.7,12.09,58.98,99.83,67.96,15.17,4.65,8.97,1.0,55.34,3405.41
Yavatmal,2019,442.37,67.6,2620.03,28.28,0.2,62.48,165.11,161.65,14.21,2.32,,19.5,1.0,150.51,3735.26
Yavatmal,2020,370.61,58.84,1691.24,35.96,0.2,26.29,332.6,170.75,9.99,1.73,,8.45,1.0,57.66,2765.32
Yavatmal,2021,350.92,71.32,1673.53,45.31,,11.96,2715.02,168.22,37.84,31.11,,3.04,,69.16,5177.43
