District,Year,Land and Property taxes,Other taxes and charges,Tax,Statutory Grants,"Contribution, donations and other subsidies",Grants,Other Sources,Revenue,"Administration
","Public Health
","Public Works
","Public Lighting
","Education
","Public Welfare
","Other Expenses
",Developmental,Non-Developmental,Expenditure,Total Deposit
Wardha,2012,1537.0,183.0,1720.0,463.0,715.0,1178.0,346,3244.0,704.0,911.0,1423.0,287,3.0,86.0,324.0,2710.0,1028.0,3738.0,3244.0
Wardha,2013,1321.0,425.0,1746.0,1781.0,114.0,1895.0,902,4543.0,790.0,104.0,1298.0,278,213.0,166.0,1058.0,2059.0,1848.0,3907.0,4543.0
Wardha,2014,1537.0,227.0,1764.0,2224.0,43.0,2267.0,768,4799.0,1015.0,1252.0,1807.0,313,16.0,184.0,54.0,3572.0,1069.0,4641.0,4799.0
Wardha,2015,1860.0,767.0,2627.0,1583.0,342.0,1925.0,238,4790.0,771.0,1374.0,1460.0,297,340.0,212.0,243.0,3683.0,1014.0,4697.0,4790.0
Wardha,2016,2023.0,873.0,2896.0,1693.0,405.0,2098.0,397,5391.0,827.0,1523.0,1576.0,362,402.0,287.0,308.0,4150.0,1135.0,5285.0,5391.0
Wardha,2017,1360.0,156.0,1516.0,8142.0,320.0,8462.0,7,9985.0,496.0,82.0,1890.0,255,15.0,33.0,169.0,2275.0,665.0,2940.0,9985.0
Wardha,2018,1971.0,4325.0,6296.0,1623.0,1825.0,3448.0,250,9994.0,570.0,691.0,1378.0,253,31.0,3383.0,1641.0,5736.0,2211.0,7947.0,9994.0
Wardha,2019,2000.0,878.0,2878.0,3267.0,1381.0,4648.0,2508,10034.0,811.0,224.0,1274.0,244,39.0,161.0,5557.0,1942.0,6368.0,8310.0,
Wardha,2020,1817.02,2063.07,3880.09,7312.63,7283.18,14595.81,291,18766.9,1347.8,403.0,2089.01,513.56,43.61,306.17,13220.56,3355.35,14568.36,17923.71,
Wardha,2021,1905.17,19530.25,21435.42,3211.33,3385.89,6597.219999999999,4834.89,32867.53,1623.73,268.0,1550.78,638.76,106.04,223.7,13341.89,2787.28,14965.62,17752.9,
Washim,2008,,,,,,,,,,,,,,,,,,,
Washim,2009,344.05,7.73,351.78,1287.16,414.8,1701.96,202.05,2255.79,346.85,204.2,1291.05,59.98,4.54,125.68,330.2,1685.45,677.05,2362.5,2255.79
Washim,2010,356.23,165.87,522.1,727.91,621.56,1349.47,1.18,1872.75,440.88,169.58,685.45,66.64,3.16,117.41,804.56,1042.24,1245.44,2287.68,1872.75
Washim,2011,356.23,165.87,522.1,727.91,621.56,1349.47,1.18,1872.75,440.88,169.58,685.45,66.64,3.16,117.41,804.56,1042.24,1245.44,2287.68,1872.75
Washim,2012,478.08,916.71,1394.79,1900.15,864.2,2764.35,177.89,4337.030000000001,21.16,307.51,1716.04,59.98,0.25,240.07,891.27,2323.85,912.43,3236.28,4337.03
Washim,2013,507.62,191.12,698.74,3521.65,456.57,3978.22,241.04,4918.0,296.03,270.85,2564.19,130.82,17.24,276.03,1913.12,3259.13,2209.15,5468.28,4918.0
Washim,2014,919.28,113.6,1032.88,3640.09,828.88,4468.97,345.88,5847.73,456.59,295.9,2993.26,129.35,49.16,350.25,1616.75,3817.92,2073.34,5891.26,5847.73
Washim,2015,771.01,99.17,870.18,6886.41,67.87,6954.28,466.6,8291.06,1111.35,361.4,3420.12,195.36,39.49,279.79,1961.22,4296.16,3072.57,7368.73,8291.06
Washim,2016,878.65,483.65,1362.3,6495.66,96.43,6592.09,1419.81,9374.2,905.81,454.18,4762.53,212.51,11.78,222.76,4735.25,5663.76,5641.059999999999,11304.82,9374.2
Washim,2017,1245.48,185.5,1430.98,10113.12,195.85,10308.97,516.11,12256.06,600.76,289.82,8711.02,145.87,6.06,113.97,1424.58,9266.74,2025.34,11292.08,12256.06
Washim,2018,,,,,,,,,,,,,,,,0.0,0.0,,
Washim,2019,1156.87,249.48,1406.35,10402.7,60.24,10462.94,838.71,12708.0,506.93,354.06,4657.21,1044.36,11.97,141.35,2495.74,6208.950000000001,3002.67,9211.619999999999,12708.0
Washim,2020,798.15,436.86,1235.01,6132.3,1285.44,7417.74,1602.66,10255.41,728.43,330.67,4155.34,87.19,17.39,77.02,751.85,4667.610000000001,1480.28,6147.890000000001,10255.41
Washim,2021,1359.55,523.67,1883.22,7118.94,71.6,7190.54,658.9,9732.66,291.19,443.19,3573.09,1802.88,25.01,123.16,3210.25,5967.33,3501.44,9468.77,9732.66
Yavatmal,2012,1055.0,112.0,1167.0,2086.0,497.0,2583.0,930,4680.0,475.0,495.0,340.0,456,521.0,282.0,707.0,2094.0,1182.0,3276.0,4680.0
Yavatmal,2013,2921.33,414.92,3336.25,4694.19,1298.93,5993.12,1920.61,11249.98,1166.27,1716.58,4170.52,842.4,356.6,276.87,1640.94,7362.97,2807.21,10170.18,11249.98
Yavatmal,2014,2191.27,515.12,2706.39,2426.18,1377.62,3803.8,275.52,6785.709999999999,668.69,1141.63,2250.12,944.12,149.93,388.89,939.56,4874.690000000001,1608.25,6482.940000000001,6785.71
Yavatmal,2015,1246.66,640.57,1887.23,4792.65,1234.97,6027.62,1779.12,9693.970000000001,1305.58,1633.39,3241.22,398.95,344.36,239.81,923.61,5857.73,2229.19,8086.92,9693.97
Yavatmal,2016,4586.89,324.51,4911.400000000001,8179.36,2330.49,10509.85,376.08,15797.33,1913.12,1985.79,5592.01,735.59,315.58,564.11,2516.11,9193.08,4429.23,13622.31,15797.33
Yavatmal,2017,1092.3,1898.04,2990.34,11000.62,2542.59,13543.21,2064.4,18597.95,1575.88,3093.96,2250.34,521.9,857.36,181.96,8654.0,6905.52,10229.88,17135.4,18597.95
Yavatmal,2018,1872.94,1129.16,3002.1,13353.41,1220.76,14574.17,508.44,18084.71,1208.75,2544.64,4855.42,1069.06,1734.76,2252.11,2883.82,12455.99,4092.57,16548.56,18084.71
Yavatmal,2019,2000.04,1148.1,3148.14,18465.03,506.2,18971.23,1442.2,23561.57,1093.82,2654.78,8239.15,371.66,2408.71,276.89,14501.35,13951.19,15595.17,29546.36,23561.57
Yavatmal,2020,2332.71,1488.3,3821.01,12562.83,763.68,13326.51,914.98,18062.5,1320.68,2550.38,5103.53,739.85,1141.71,526.21,5198.09,10061.68,6518.77,16580.45,18062.5
Yavatmal,2021,3852.26,1883.86,5736.12,12294.58,7807.88,20102.46,1363.02,27201.6,1112.38,2396.42,6700.37,1202.2,1433.29,2069.41,5028.79,13801.69,6141.17,19942.86,27201.6
