District,Year,Receipts and Loans,"From Commercial Activities
",Government Subsidies,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Pune,2017,,,,,,,11612000.0,1093000.0,24486000.0,,,94000.0,5531000.0,1026000.0,494000.0000000001,,,,,4045000.0,48381000.0,5165000.000000001,24980000.0,18236000.0
Pune,2018,,27476000.0,33845000.0,8698000.0,,70019000.0,14490000.0,12308000.0,34778000.0,,,,4401000.0,5138000.0,699000.0,,,,,4097000.0,75911000.0,9235000.0,35477000.0,31199000.0
Pune,2019,,,52541999.99999999,36007000.0,19431000.0,107980000.0,17925000.0,12072000.0,119182000.0,,,,6675000.0,6875000.0,527000.0,,,,,5130000.0,168386000.0,12005000.0,119709000.0,36672000.0
Pune,2020,6817000.0,,19874000.0,83491000.0,20946000.0,131128000.0,,,,,,,,,,,,,,,,,,
Pune,2021,48500000.0,,113918000.0,27126000.0,22420000.0,211964000.0,,,,,,,,,,,,,,,,,,
Raigad,2012,,,,,,,,,,,,,,,,,,,,,,,,
Raigad,2013,,,,,,,,,,,,,,,,,,,,,,,,
Raigad,2014,,,,,,,9495000.0,677000.0,9650000.0,,,,8359999.999999999,3359000.0,1598000.0,,,15000.0,325000.0,4688000.0,38167000.0,8047000.0,11573000.0,18547000.0
Raigad,2015,,,,,,,9679000.0,3890000.0,27338000.0,134000.0,,193000.0,10817000.0,9379000.0,4908000.0,1532000.0,1000.0,549000.0,,7983000.0,76403000.0,17555000.0,32380000.0,26468000.0
Raigad,2016,590000.0,1709000.0,82045000.0,9934000.0,23733000.0,118011000.0,22996000.0,4668000.0,25358000.0,6612000.0,48000.0,587000.0,38990000.0,9864000.0,3980000.0,2015000.0,,951000.0,,5357000.0,121426000.0,15856000.0,35950000.00000001,69620000.0
Raigad,2017,1608000.0,25917000.0,61584000.0,15998000.0,54587000.0,159694000.0,20455000.0,7059000.0,15303000.0,2488000.0,,1521000.0,52802000.0,17308000.0,5042000.0,2563000.0,,188000.0,,7493000.000000001,132222000.0,26322000.0,22833000.0,83067000.0
Raigad,2018,,463999.9999999999,184636000.0,14965000.0,24119000.0,224184000.0,34476000.0,5537000.0,48292000.0,3472000.0,,161000.0,51524000.0,36421000.0,6750000.0,1023000.0,,658000.0,,12600000.0,200914000.0,49182000.0,58514000.0,93218000.0
Raigad,2019,1370000.0,923000.0,75715000.0,150198000.0,14190000.0,242396000.0,32141000.0,8934000.0,28228000.0,577000.0,,1060000.0,75386000.0,11474000.0,2745000.0,573000.0,520000.0,101000.0,,12432000.0,174171000.0,24966000.0,31549999.99999999,117655000.0
Raigad,2020,8398000.0,3128000.0,162365000.0,118781000.0,27283000.0,319955000.0,600000.0,300000.0,4000000.0,100000.0,,,6500000.0,5600000.0,1800000.0,,7600000.0,,,3700000.0,30200000.0,9300000.0,5900000.0,15000000.0
Raigad,2021,1370000.0,2484000.0,85282000.0,23022000.0,26892000.0,139050000.0,1400000.0,600000.0,5100000.0,,,100000.0,17800000.0,2300000.0,2000000.0,,100000.0,,,4200000.0,33600000.0,6600000.0,7100000.0,19900000.0
Ratnagiri,2009,7500000.0,,21300000.0,6300000.0,7400000.0,42500000.0,12000000.0,1000000.0,6400000.0,,,,25200000.0,1600000.0,700000.0,,,100000.0,,6600000.0,53600000.0,8200000.0,7100000.0,38300000.0
Ratnagiri,2010,100000.0,,22000000.0,14300000.0,8600000.0,45000000.0,13500000.0,1300000.0,7400000.0,,,,223000000.0,1900000.0,800000.0,,,100000.0,,7100000.0,255100000.0,9000000.0,8200000.0,237900000.0
Ratnagiri,2011,,,45100000.0,2900000.0,13400000.0,61400000.0,21600000.0,4800000.0,24700000.0,400000.0,,100000.0,159400000.0,2500000.0,4300000.0,,,100000.0,,13800000.0,231700000.0,16400000.0,29400000.0,185900000.0
Ratnagiri,2012,17100000.0,2800000.0,25300000.0,129400000.0,1400000.0,176000000.0,38700000.0,5400000.0,44500000.0,6800000.0,,600000.0,40400000.0,22300000.0,3400000.0,4000000.0,,3200000.0,,13200000.0,182400000.0,36100000.0,54700000.0,91700000.0
Ratnagiri,2013,17500000.0,3200000.0,174200000.0,136800000.0,13300000.0,345000000.0,34700000.0,3300000.0,24700000.0,600000.0,,100000.0,80200000.0,21300000.0,600000.0,,100000.0,,100000.0,2600000.0,168300000.0,24000000.0,26000000.0,118300000.0
Ratnagiri,2014,20800000.0,1900000.0,127500000.0,62600000.0,36400000.0,249200000.0,38900000.0,2300000.0,75400000.0,1600000.0,,700000.0,66300000.0,25600000.0,18900000.0,1400000.0,,41300000.0,100000.0,17400000.0,289900000.0,43700000.0,96000000.0,150200000.0
Ratnagiri,2015,3700000.0,2000000.0,174000000.0,30900000.0,36100000.0,246700000.0,51600000.0,2500000.0,46000000.0,3000000.0,100000.0,1100000.0,84100000.0,24600000.0,7600000.0,1500000.0,8900000.0,,,9900000.0,240900000.0,35700000.0,56600000.0,148600000.0
Ratnagiri,2016,21100000.0,3200000.0,170900000.0,43000000.0,39900000.0,278100000.0,52700000.0,7600000.0,86400000.0,1300000.0,,900000.0,94500000.0,6800000.0,14800000.0,1600000.0,,2400000.0,,27300000.0,296300000.0,35000000.0,102500000.0,158800000.0
Ratnagiri,2017,25600000.0,7800000.0,115000000.0,42600000.0,66000000.0,257000000.0,85500000.0,14400000.0,83900000.0,3100000.0,,1500000.0,178300000.0,19200000.0,3000000.0,,1500000.0,2600000.0,,22100000.0,415100000.0,42800000.0,90000000.0,282300000.0
Ratnagiri,2018,28400000.0,4700000.0,219800000.0,78900000.0,43300000.0,375100000.0,86300000.0,13200000.0,167700000.0,6500000.0,,2500000.0,66200000.0,41600000.0,11800000.0,2400000.0,5000000.0,2400000.0,,34500000.0,440100000.0,78600000.0,186000000.0,175500000.0
Ratnagiri,2019,12200000.0,2200000.0,306600000.0,292500000.0,48800000.0,662300000.0,88200000.0,10600000.0,99700000.0,78900000.0,,2200000.0,89900000.0,18500000.0,6500000.0,400000.0,4700000.0,1300000.0,,32600000.0,433500000.0,53300000.0,185100000.0,195100000.0
Ratnagiri,2020,26100000.0,6100000.0,180600000.0,76300000.0,42900000.0,332000000.0,,,,,,,,,,,,,,,,,,
Ratnagiri,2021,18100000.0,24200000.0,306600000.0,62300000.0,50700000.0,461900000.0,,,,,,,,,,,,,,,,,,
