Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2019,Beed,2129,969,262,36,3396,299,3695,4244,308,1048,5600,5899,1734,99,795,12,195,2220,3345,524,1468,10391,19687,3505,320,22872,2757,82968
2011,Bhandara,1102,232,447,84,1865,286,2151,1276,111,474,1861,2147,605,32,221,5,79,715,870,172,360,3060,7072,1157,187,8042,1206,66676
2012,Bhandara,1181,244,416,89,1930,229,2159,1356,114,448,1919,2148,661,33,241,5,82,765,929,172,392,3279,7357,1267,233,8391,1216,68998
2013,Bhandara,1169,260,420,84,1934,196,2131,1541,88,461,2090,2286,649,33,247,5,83,873,1031,176,435,3534,7755,1315,229,8841,1226,72103
2014,Bhandara,1012,304,444,88,1848,328,2177,1582,114,488,2184,2512,650,36,269,5,94,917,1128,177,478,3755,8115,1384,221,9278,1236,75065
2015,Bhandara,935,287,444,88,1755,275,2030,1716,117,480,2313,2589,626,37,295,5,110,938,1199,182,509,3902,8245,1458,181,9521,1246,76427
2016,Bhandara,1074,227,579,220,2100,302,2403,1766,118,477,2361,2663,666,40,305,5,97,936,1247,186,537,4018,8782,1597,162,10216,1255,81419
2017,Bhandara,634,284,742,84,1743,58,1801,2043,133,515,2690,2748,759,50,348,5,89,1025,1408,216,615,4515,9007,1647,146,10508,1263,83195
2018,Bhandara,1059,255,707,8,2029,444,2473,1990,135,479,2604,3048,757,44,343,5,80,989,1425,206,614,4464,9542,1852,159,11234,1271,88368
2019,Bhandara,909,268,646,44,1866,514,2380,2166,157,535,2858,3373,885,50,406,6,100,1133,1707,268,749,5304,10543,1870,171,12243,1280,95682
2011,Buldhana,2326,550,223,34,3133,50,3183,2116,184,786,3087,3136,1003,52,366,8,132,1187,1444,285,598,5075,11344,1856,299,12901,2599,49634
2012,Buldhana,2230,576,218,17,3041,31,3072,2265,190,749,3204,3234,1103,54,402,8,137,1277,1550,288,654,5474,11750,1998,368,13380,2621,51046
2013,Buldhana,3177,517,228,34,3957,37,3994,2514,144,752,3410,3447,1059,54,403,8,136,1425,1683,288,710,5768,13171,2227,388,15011,2643,56790
2014,Buldhana,1348,387,219,32,1986,50,2036,2641,191,814,3646,3696,1085,61,449,9,156,1532,1883,296,798,6269,11951,2027,324,13654,2665,51235
2015,Buldhana,1340,553,217,30,2140,97,2237,2970,203,831,4005,4102,1083,65,512,9,191,1623,2076,315,882,6755,12997,2194,273,14917,2687,55525
2016,Buldhana,2886,484,228,30,3629,353,3982,3142,210,848,4200,4552,1184,72,543,8,172,1666,2218,331,955,7149,15330,2571,261,17640,2706,65177
2017,Buldhana,1794,546,250,18,2608,280,2888,3433,223,865,4521,4801,1275,83,585,9,149,1723,2367,363,1033,7587,14996,2574,228,17342,2725,63640
2018,Buldhana,2151,533,273,24,2980,138,3118,3671,250,883,4803,4941,1397,81,633,9,148,1824,2629,379,1132,8233,16154,2881,247,18788,2743,68486
2019,Buldhana,2600,544,264,13,3420,113,3533,3608,262,891,4760,4874,1474,84,676,10,166,1887,2843,446,1248,8833,17127,3033,277,19883,2762,71998
2011,Chandrapur,1315,281,684,85,2365,1951,4316,2692,235,1000,3927,5877,1276,67,466,10,168,1510,1836,362,760,6456,14698,2405,388,16715,2217,75384
2012,Chandrapur,1752,307,687,80,2827,2062,4889,2903,244,960,4107,6169,1414,70,515,11,176,1637,1988,369,839,7018,16014,2707,498,18223,2240,81361
2013,Chandrapur,1408,348,601,58,2415,1948,4362,3302,189,988,4478,6426,1391,71,529,11,179,1872,2210,378,932,7574,16415,2749,478,18685,2262,82603
2014,Chandrapur,1158,281,694,68,2201,2419,4620,3407,246,1050,4703,7122,1400,79,579,11,202,1976,2429,382,1030,8086,17410,2913,466,19857,2284,86926
2015,Chandrapur,1462,296,801,68,2628,3070,5698,3712,254,1039,5005,8075,1353,81,639,11,238,2029,2595,393,1102,8442,19144,3197,398,21943,2307,95136
2016,Chandrapur,1956,269,879,161,3265,2477,5742,4250,284,1147,5681,8158,1602,97,734,11,233,2253,3000,448,1291,9671,21094,3498,356,24237,2327,104145
2017,Chandrapur,1164,424,1252,81,2920,2692,5612,4543,295,1145,5983,8675,1688,110,774,12,197,2280,3132,480,1367,10041,21636,3697,328,25006,2347,106550
2018,Chandrapur,1517,350,1810,65,3742,2472,6214,4914,334,1182,6430,8902,1870,109,848,13,198,2442,3519,507,1516,11022,23665,4198,360,27504,2366,116224
2019,Chandrapur,1519,359,1730,73,3681,1689,5370,5049,366,1247,6662,8351,2062,118,946,14,232,2641,3980,624,1746,12362,24394,4302,393,28303,2386,118624
2011,Chh. Sambhaji Nagar,2905,1279,418,33,4635,67,4702,5878,512,2184,8574,8641,2787,146,1017,23,366,3296,4010,791,1660,14096,27371,4478,722,31127,3725,83556
2012,Chh. Sambhaji Nagar,1865,1224,422,20,3530,158,3688,6249,525,2066,8840,8998,3044,150,1109,23,379,3523,4278,794,1805,15105,27633,4705,866,31472,3767,83557
2013,Chh. Sambhaji Nagar,3710,1136,422,13,5281,78,5359,6968,398,2084,9450,9528,2935,151,1117,23,378,3950,4665,798,1967,15983,30792,5207,906,35093,3808,92163
2014,Chh. Sambhaji Nagar,1862,1814,441,22,4139,63,4202,7334,530,2261,10125,10188,3013,169,1247,24,434,4253,5229,822,2217,17409,31736,5384,861,36258,3849,94202
2015,Chh. Sambhaji Nagar,2964,1297,438,21,4720,176,4895,8250,564,2309,11123,11299,3008,179,1421,24,530,4509,5767,874,2449,18761,34779,5873,731,39921,3890,102621
2016,Chh. Sambhaji Nagar,3572,1323,525,17,5437,83,5520,8973,600,2422,11995,12079,3382,205,1550,24,492,4757,6335,945,2727,20418,37933,6353,646,43640,3929,111075
2017,Chh. Sambhaji Nagar,2797,1744,577,20,5138,62,5200,9722,632,2450,12804,12866,3612,236,1657,26,421,4880,6703,1028,2925,21487,39491,6774,600,45665,3966,115145
2018,Chh. Sambhaji Nagar,2165,2066,664,16,4911,195,5106,10219,695,2457,13371,13566,3889,226,1763,26,411,5078,7318,1055,3152,22918,41394,7389,633,48150,4003,120292
2019,Chh. Sambhaji Nagar,2805,2224,661,17,5708,80,5788,10087,732,2492,13311,13391,4121,235,1890,27,464,5276,7951,1246,3489,24699,43798,7743,707,50834,4040,125836
2011,Dharashiv,3471,674,204,15,4364,155,4518,1539,134,572,2245,2400,730,38,266,6,96,863,1050,207,435,3691,10454,1710,276,11888,1665,71385
2012,Dharashiv,2229,706,202,4,3141,151,3292,1641,138,542,2321,2472,799,39,291,6,100,925,1123,209,474,3966,9579,1632,300,10911,1679,64995
2013,Dharashiv,3406,857,202,11,4476,71,4547,1853,106,554,2513,2584,781,40,297,6,100,1050,1240,212,523,4250,11310,1912,333,12889,1692,76182
2014,Dharashiv,1802,328,205,13,2347,73,2421,1949,141,601,2690,2764,801,45,331,6,115,1130,1389,218,589,4626,9736,1651,264,11123,1705,65236
2015,Dharashiv,1083,590,216,9,1898,130,2028,2184,149,611,2945,3075,796,47,376,6,140,1194,1527,231,648,4967,9940,1679,209,11410,1718,66414
