Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2018,Latur,2137,769,1585,33,4523,2317,6841,4190,285,1008,5482,7800,1595,93,723,11,169,2082,3000,433,1292,9397,21720,3880,333,25268,2613,96707
2019,Latur,2554,786,1598,36,4974,164,5138,4714,342,1164,6221,6384,1926,110,883,13,217,2466,3716,582,1630,11543,22902,4055,370,26587,2631,101034
2011,Mumbai,1,384,88,667,1140,29079,30218,41006,3573,15236,59816,88894,19444,1016,7099,157,2555,22996,27975,5521,11580,98343,188377,30822,4970,214229,12570,170431
2012,Mumbai,1,331,81,687,1101,28526,29626,44332,3725,14655,62713,91239,21596,1064,7866,162,2692,24996,30348,5635,12803,107162,199501,34003,6256,227248,12789,177687
2013,Mumbai,1,351,74,703,1129,23727,24856,50876,2908,15219,69003,92730,21433,1100,8158,170,2757,28841,34060,5827,14359,116704,210563,35729,6219,240073,13010,184525
2014,Mumbai,1,573,68,817,1459,31490,32949,53852,3892,16602,74346,105836,22126,1241,9158,179,3189,31232,38394,6035,16277,127831,235126,38838,6211,267753,13233,202343
2015,Mumbai,1,335,62,908,1306,36758,38064,60501,4136,16931,81569,118326,22059,1315,10419,179,3885,33067,42289,6412,17958,137584,257216,42070,5236,294050,13456,218520
2016,Mumbai,1,489,57,892,1439,39321,40760,66039,4416,17828,88283,127603,24892,1511,11410,179,3618,35014,46623,6956,20068,150269,279311,45117,4587,319842,13673,233920
2017,Mumbai,1,471,52,885,1409,41775,43183,71878,4675,18113,94667,136441,26703,1746,12250,190,3114,36082,49559,7602,21624,158870,296720,48847,4328,341239,13885,245758
2018,Mumbai,1,526,47,868,1443,44444,45886,76503,5201,18397,100102,144545,29113,1692,13198,196,3079,38019,54784,7900,23597,171579,317567,53971,4627,366912,14099,260246
2019,Mumbai,1,562,43,1007,1614,48031,49645,76405,5546,18873,100824,148855,31210,1781,14317,208,3514,39963,60224,9439,26424,187080,337549,55866,5101,388314,14313,271294
2011,Nagpur,1950,494,509,84,3037,1153,4190,11377,991,4227,16595,17748,5395,282,1969,44,709,6380,7762,1532,3213,27285,48070,7865,1268,54667,4691,116526
2012,Nagpur,2222,450,526,90,3288,6518,9806,12138,1020,4013,17170,23688,5913,291,2154,44,737,6844,8309,1543,3506,29341,56317,8691,1599,63409,4756,133311
2013,Nagpur,2144,418,469,112,3144,2719,5863,13639,780,4080,18499,21218,5746,295,2187,46,739,7732,9131,1562,3850,31288,55650,9079,1580,63148,4822,130966
2014,Nagpur,2316,332,462,92,3202,1025,4227,14319,1035,4414,19769,20793,5883,330,2435,48,848,8305,10209,1605,4328,33990,57985,9821,1571,66236,4887,135529
2015,Nagpur,2916,595,495,151,4157,1106,5263,16174,1106,4526,21806,22912,5897,352,2785,48,1039,8840,11305,1714,4801,36780,63850,10762,1339,73273,4953,147938
2016,Nagpur,3699,544,618,184,5045,989,6034,17507,1171,4726,23404,24393,6599,400,3025,47,959,9282,12360,1844,5320,39837,69274,11632,1182,79724,5016,158947
2017,Nagpur,2729,494,826,56,4106,694,4800,19015,1237,4792,25043,25737,7064,462,3241,50,824,9545,13110,2011,5720,42028,71871,12387,1098,83161,5077,163815
2018,Nagpur,2641,562,781,28,4012,783,4796,20075,1365,4828,26268,27051,7640,444,3463,51,808,9977,14376,2073,6192,45024,76087,13627,1168,88546,5138,172352
2019,Nagpur,2945,589,726,52,4311,1243,5554,19759,1434,4881,26074,27316,8071,461,3703,54,909,10335,15574,2441,6833,48380,80008,14119,1289,92838,5199,178578
2011,Nanded,2670,733,451,27,3881,535,4416,3603,314,1339,5256,5791,1709,89,624,14,224,2021,2458,485,1018,8641,18313,2996,483,20827,3379,61628
2012,Nanded,2736,782,449,39,4007,675,4682,3792,319,1254,5364,6039,1847,91,673,14,230,2138,2596,482,1095,9166,19212,3286,605,21893,3410,64195
2013,Nanded,2772,1002,513,45,4332,198,4530,4382,250,1311,5944,6142,1846,95,703,15,237,2484,2934,502,1237,10053,20527,3471,604,23394,3441,67982
2014,Nanded,1394,296,528,45,2263,66,2329,4648,336,1433,6417,6483,1910,107,790,15,275,2695,3314,521,1405,11033,19778,3356,537,22598,3472,65085
2015,Nanded,1210,714,535,33,2492,41,2533,5259,359,1472,7090,7131,1917,114,906,16,338,2874,3676,557,1561,11958,21581,3643,453,24770,3503,70720
2016,Nanded,2664,877,646,47,4233,192,4425,5653,378,1526,7557,7749,2131,129,977,15,310,2997,3991,595,1718,12864,24846,4162,423,28585,3531,80957
2017,Nanded,2264,858,535,43,3700,256,3956,6105,397,1539,8041,8297,2268,148,1040,16,265,3065,4210,646,1837,13494,25491,4374,388,29478,3557,82863
2018,Nanded,2750,871,649,40,4310,193,4503,6467,440,1555,8461,8654,2461,143,1116,17,260,3214,4631,668,1995,14503,27467,4900,420,31948,3584,89144
2019,Nanded,3134,885,646,35,4700,235,4935,6326,459,1563,8348,8583,2584,147,1185,17,291,3309,4986,782,2188,15490,28772,5102,466,33409,3610,92541
2011,Nandurbar,1500,560,166,6,2232,215,2447,1199,104,445,1748,1963,568,30,207,5,75,672,818,161,338,2875,7070,1157,187,8040,1656,48549
2012,Nandurbar,1544,606,165,6,2320,153,2473,1294,109,428,1830,1983,630,31,230,5,79,730,886,164,374,3128,7431,1267,233,8464,1669,50708
2013,Nandurbar,2011,621,157,34,2823,44,2867,1475,84,441,2001,2045,621,32,237,5,80,836,987,169,416,3384,8251,1395,243,9403,1682,55896
2014,Nandurbar,1085,492,154,34,1765,22,1787,1558,113,480,2151,2173,640,36,265,5,92,904,1111,175,471,3698,7636,1294,207,8724,1695,51457
2015,Nandurbar,1111,601,151,13,1876,60,1936,1749,120,490,2358,2419,638,38,301,5,112,956,1223,185,519,3978,8273,1396,174,9495,1708,55583
2016,Nandurbar,1416,781,157,9,2364,53,2417,1898,127,512,2538,2591,716,43,328,5,104,1006,1340,200,577,4320,9274,1552,158,10669,1720,62028
2017,Nandurbar,1582,468,153,9,2212,563,2774,1902,124,479,2505,3067,707,46,324,5,82,955,1311,201,572,4204,9483,1631,145,10970,1731,63380
2018,Nandurbar,1376,801,154,14,2344,60,2404,2169,147,522,2838,2898,825,48,374,6,87,1078,1553,224,669,4864,10106,1801,154,11753,1742,67485
2019,Nandurbar,1692,844,151,11,2698,3,2701,2152,156,532,2840,2843,879,50,403,6,99,1126,1696,266,744,5269,10811,1906,174,12542,1752,71578
2011,Nashik,7068,1410,484,28,8989,476,9466,10005,872,3717,14594,15071,4744,248,1732,38,623,5611,6826,1347,2826,23995,48055,7863,1268,54650,6146,88914
2012,Nashik,9540,1474,478,24,11516,781,12297,10582,889,3498,14970,15751,5155,254,1878,39,642,5967,7244,1345,3056,25580,52847,9007,1657,60197,6214,96880
2013,Nashik,11460,1353,470,28,13311,189,13500,11957,683,3577,16218,16407,5037,259,1917,40,648,6779,8005,1370,3375,27429,57147,9663,1682,65129,6281,103698
2014,Nashik,9262,1417,468,28,11176,222,11399,12568,908,3874,17350,17573,5164,290,2137,42,744,7289,8960,1408,3799,29832,58582,9935,1589,66928,6348,105436
2015,Nashik,9107,1102,464,26,10699,888,11587,13996,957,3917,18870,19757,5103,304,2410,41,899,7650,9783,1483,4154,31828,62284,10524,1310,71499,6415,111461
2016,Nashik,10368,1296,483,28,12174,123,12298,15423,1031,4164,20618,20741,5813,353,2665,42,845,8177,10889,1624,4687,35095,68011,11385,1157,78239,6478,120782
2017,Nashik,12701,1296,479,28,14504,35,14539,16725,1088,4215,22028,22063,6213,406,2850,44,725,8396,11532,1769,5032,36967,73534,12602,1117,85020,6538,130046
2018,Nashik,10560,1711,493,30,12793,129,12923,17617,1198,4236,23051,23180,6704,390,3039,45,709,8755,12615,1819,5434,39510,75483,13463,1154,87792,6598,133066
2019,Nashik,10893,1725,485,34,13136,273,13408,17275,1254,4267,22796,23069,7057,403,3237,47,794,9036,13617,2134,5975,42299,78504,13883,1268,91119,6658,136866
2011,Parbhani,2714,363,161,12,3251,288,3538,1854,162,689,2704,2991,879,46,321,7,115,1039,1265,250,523,4445,10687,1749,282,12154,1846,65823
2012,Parbhani,2984,379,158,9,3530,255,3784,1982,167,655,2804,3059,965,48,352,7,120,1118,1357,252,572,4791,11379,1941,357,12963,1864,69537
2013,Parbhani,3027,467,153,7,3654,142,3796,2247,128,672,3048,3190,947,49,360,8,122,1274,1504,257,634,5155,11999,2029,353,13674,1882,72664
2014,Parbhani,2090,677,154,8,2928,96,3024,2378,172,733,3283,3378,977,55,404,8,141,1379,1695,266,719,5644,11951,2026,324,13653,1900,71877
2015,Parbhani,1082,393,155,4,1634,196,1830,2656,182,743,3581,3777,968,58,457,8,171,1452,1857,282,788,6041,11452,1936,241,13147,1917,68578
2016,Parbhani,3287,370,180,28,3865,148,4013,2898,194,782,3874,4022,1092,66,501,8,159,1536,2046,305,881,6594,14481,2424,246,16659,1933,86162
2017,Parbhani,2278,508,171,8,2965,277,3242,3102,202,782,4085,4363,1152,75,529,8,134,1557,2139,328,933,6856,14184,2434,216,16402,1949,84162
2018,Parbhani,2113,401,186,8,2708,315,3024,3270,222,786,4279,4594,1244,72,564,8,132,1625,2342,338,1009,7334,14636,2611,224,17024,1964,86672
2019,Parbhani,2233,408,181,3,2826,232,3057,3213,233,794,4240,4472,1313,75,602,9,148,1681,2533,397,1111,7868,15165,2699,246,17618,1979,89007
2011,Pune,7089,2901,851,150,10991,1107,12098,26148,2279,9716,38142,39249,12399,648,4527,100,1629,14664,17839,3520,7384,62710,112950,18480,2980,128451,9501,135190
2012,Pune,6754,3001,857,170,10782,580,11362,28061,2358,9277,39695,40275,13669,673,4979,102,1704,15822,19209,3567,8104,67831,118888,20242,3724,135405,9625,140677
2013,Pune,6971,3802,866,149,11789,278,12067,31266,1787,9353,42406,42684,13172,676,5014,105,1694,17725,20932,3581,8824,71722,126195,21344,3715,143824,9749,147520
2014,Pune,6574,4298,894,160,11927,446,12373,32835,2373,10123,45331,45777,13491,757,5584,109,1944,19043,23410,3680,9924,77942,135646,23024,3682,154988,9874,156968
2015,Pune,6516,3823,902,149,11390,626,12016,37047,2533,10368,49947,50573,13507,805,6380,109,2379,20248,25895,3926,10996,84248,146211,24698,3074,167835,9999,167859
2016,Pune,6544,4454,1086,29,12113,276,12389,40268,2692,10871,53831,54107,15178,921,6957,109,2206,21350,28429,4241,12237,91628,157848,26450,2689,181609,10117,179503
2017,Pune,7187,4065,1148,39,12440,201,12641,43619,2837,10992,57448,57649,16204,1059,7434,115,1890,21896,30074,4613,13122,96409,166497,28580,2532,192545,10232,188182
2018,Pune,6676,4842,1318,39,12874,255,13130,46002,3128,11062,60192,60447,17506,1017,7936,118,1851,22861,32942,4750,14189,103172,176493,31521,2702,205312,10347,198434
2019,Pune,9057,5067,1320,47,15491,142,15633,45326,3290,11196,59813,59954,18515,1057,8494,123,2084,23707,35727,5600,15676,110983,186428,32964,3010,216382,10462,206833
2011,Raigad,1173,202,895,135,2404,7096,9500,4141,361,1539,6040,13136,1963,103,717,16,258,2322,2825,558,1169,9931,25471,4168,672,28967,2650,109305
2012,Raigad,1204,217,911,133,2465,6689,9154,4603,387,1522,6511,13200,2242,110,817,17,279,2595,3151,585,1329,11126,26791,4584,843,30531,2677,114036
2013,Raigad,1327,162,926,138,2553,5551,8104,5530,316,1654,7500,13051,2330,120,887,18,300,3135,3702,633,1561,12685,28289,4809,837,32261,2704,119289
2014,Raigad,2022,300,985,125,3432,6907,10338,5991,433,1847,8272,15178,2462,138,1019,20,355,3475,4272,671,1811,14222,32832,5332,853,37312,2732,136591
2015,Raigad,2176,311,1007,101,3596,8383,11979,6600,451,1847,8898,17282,2406,143,1137,19,424,3607,4613,699,1959,15009,35886,5758,717,40928,2759,148358
2016,Raigad,1703,305,1333,139,3480,8872,12352,7283,487,1966,9736,18608,2745,167,1258,20,399,3861,5141,767,2213,16571,38659,6107,621,44145,2784,158567
2017,Raigad,1776,209,1329,179,3494,9442,12935,7967,518,2008,10493,19935,2960,193,1358,21,345,3999,5493,843,2397,17609,41038,6581,583,47036,2808,167505
2018,Raigad,1601,311,1541,216,3669,10012,13681,8566,582,2060,11208,21220,3260,189,1478,22,345,4257,6134,885,2642,19211,44100,7265,623,50742,2832,179175
2019,Raigad,1417,327,1553,140,3437,10654,14091,8692,631,2147,11470,22124,3551,203,1629,24,400,4546,6851,1074,3006,21284,46845,7446,680,53611,2856,187722
2011,Ratnagiri,2281,218,368,234,3101,98,3199,2309,201,858,3368,3466,1095,57,400,9,144,1295,1575,311,652,5537,12104,1980,319,13765,1623,84833
2012,Ratnagiri,2326,234,370,258,3188,115,3303,2434,204,804,3442,3557,1185,58,432,9,148,1372,1666,309,703,5882,12628,2166,399,14395,1635,88019
2013,Ratnagiri,2689,193,368,303,3552,31,3583,2753,157,823,3733,3764,1160,60,441,9,149,1560,1843,315,777,6314,13630,2309,402,15537,1648,94267
2014,Ratnagiri,4110,192,383,331,5016,71,5088,2895,209,892,3996,4068,1189,67,492,10,171,1679,2064,324,875,6871,15955,2701,432,18224,1661,109723
2015,Ratnagiri,2761,180,388,262,3590,310,3900,3240,221,907,4368,4678,1181,70,558,10,208,1771,2265,343,962,7368,15636,2614,325,17924,1673,107109
2016,Ratnagiri,3454,184,484,383,4506,280,4786,3515,235,949,4698,4978,1325,80,607,9,193,1863,2481,370,1068,7997,17481,2906,295,20092,1685,119247
2017,Ratnagiri,3992,207,468,241,4907,804,5711,3735,243,941,4920,5724,1388,91,637,10,162,1875,2575,395,1124,8256,18887,3170,281,21776,1695,128436
2018,Ratnagiri,3052,219,735,243,4249,633,4881,3979,271,957,5206,5839,1514,88,686,10,160,1977,2849,411,1227,8924,19012,3332,286,22058,1706,129304
2019,Ratnagiri,2833,228,738,252,4050,246,4297,3976,289,982,5246,5493,1624,93,745,11,183,2079,3134,491,1375,9735,19278,3377,308,22347,1716,130207
2011,Sangli,4485,1904,746,14,7149,422,7572,4002,349,1487,5838,6260,1898,99,693,15,249,2244,2730,539,1130,9598,23007,3764,607,26164,2837,92225
2012,Sangli,3591,2007,796,18,6412,233,6645,4321,363,1428,6112,6345,2105,104,767,16,262,2436,2958,549,1248,10445,23201,3951,727,26425,2863,92315
2013,Sangli,4618,2032,801,0,7451,120,7572,4842,277,1448,6567,6688,2040,105,776,16,262,2745,3242,555,1367,11107,25246,4268,743,28771,2888,99630
2014,Sangli,4412,1842,843,14,7111,59,7170,5111,369,1576,7056,7115,2100,118,869,17,303,2964,3644,573,1545,12132,26358,4466,714,30110,2913,103360
2015,Sangli,4018,1801,862,17,6698,62,6760,5774,395,1616,7785,7847,2105,126,994,17,371,3156,4036,612,1714,13131,27676,4667,581,31762,2938,108099
2016,Sangli,4321,2435,1117,17,7889,161,8050,6227,416,1681,8324,8485,2347,142,1076,17,341,3302,4396,656,1892,14169,30543,5111,520,35135,2961,118644
2017,Sangli,3866,2234,1102,18,7220,28,7248,6785,441,1710,8936,8964,2521,165,1156,18,294,3406,4678,718,2041,14997,31181,5342,473,36049,2983,120849
2018,Sangli,3769,2896,1259,16,7941,32,7973,7157,487,1721,9365,9397,2724,158,1235,18,288,3557,5125,739,2207,16051,33389,5950,510,38828,3005,129229
2019,Sangli,4122,3040,1269,13,8444,7,8451,7056,512,1743,9311,9318,2882,164,1322,19,324,3691,5562,872,2440,17277,35038,6177,564,40651,3026,134337
2011,Satara,3799,1461,517,15,5792,18,5810,4333,378,1610,6321,6339,2055,107,750,17,270,2430,2956,583,1224,10393,22523,3685,594,25614,3018,84864
2012,Satara,3177,1528,513,20,5239,35,5274,4623,388,1528,6539,6574,2252,111,820,17,281,2607,3165,588,1335,11174,22988,3910,719,26178,3043,86022
2013,Satara,4062,1626,504,1,6193,108,6301,5114,292,1530,6936,7044,2154,111,820,17,277,2899,3424,586,1443,11731,24967,4222,735,28454,3068,92751
2014,Satara,3303,1682,519,11,5514,167,5681,5366,388,1654,7408,7574,2205,124,912,18,318,3112,3825,601,1622,12737,25825,4377,700,29503,3092,95406
2015,Satara,3759,1866,523,13,6161,315,6476,6017,411,1684,8112,8427,2194,131,1036,18,386,3289,4206,638,1786,13683,28270,4772,594,32448,3117,104112
2016,Satara,3303,2091,622,19,6034,94,6128,6593,441,1780,8814,8907,2485,151,1139,18,361,3496,4655,694,2004,15002,29944,5012,510,34447,3139,109741
2017,Satara,3721,2479,647,22,6869,14,6883,7164,466,1805,9435,9448,2661,174,1221,19,310,3596,4939,758,2155,15833,32151,5509,488,37172,3160,117649
2018,Satara,3534,2636,734,21,6924,30,6954,7552,513,1816,9882,9912,2874,167,1303,19,304,3753,5408,780,2329,16938,33774,6021,516,39279,3180,123518
2019,Satara,3867,2766,735,24,7391,35,7426,7433,540,1836,9809,9844,3036,173,1393,20,342,3888,5859,918,2571,18200,35435,6253,571,41117,3200,128478
2011,Sindhudurg,1744,130,916,97,2887,302,3190,1030,90,383,1502,1805,488,26,178,4,64,578,703,139,291,2470,7162,1172,189,8145,853,95436
2012,Sindhudurg,1777,138,939,129,2983,293,3276,1117,94,369,1581,1874,544,27,198,4,68,630,765,142,323,2701,7557,1278,235,8600,860,100020
2013,Sindhudurg,1905,129,961,126,3121,177,3297,1272,73,381,1725,1902,536,28,204,4,69,721,852,146,359,2918,7941,1338,233,9047,866,104447
2014,Sindhudurg,1713,95,1031,100,2940,364,3304,1312,95,404,1811,2174,539,30,223,4,78,761,935,147,396,3113,8228,1376,220,9384,872,107561
2015,Sindhudurg,1686,102,1060,88,2936,425,3361,1462,100,409,1972,2396,533,32,252,4,94,799,1022,155,434,3326,8658,1447,180,9925,879,112958
2016,Sindhudurg,1758,129,1434,102,3423,862,4285,1520,102,410,2033,2894,573,35,263,4,83,806,1073,160,462,3460,9777,1593,162,11208,884,126751
2017,Sindhudurg,2654,155,1423,101,4333,977,5310,1642,107,414,2162,3140,610,40,280,4,71,824,1132,174,494,3629,11101,1845,163,12782,889,143716
2018,Sindhudurg,1719,222,1670,103,3713,1047,4760,1745,119,420,2284,3331,664,39,301,4,70,867,1250,180,538,3914,10958,1881,161,12678,895,141732
2019,Sindhudurg,1575,236,1687,115,3613,738,4352,1809,131,447,2387,3126,739,42,339,5,83,946,1426,223,626,4429,11168,1898,173,12893,900,143323
2011,Solapur,5770,2390,554,13,8727,546,9274,6562,572,2438,9572,10118,3111,163,1136,25,409,3680,4477,883,1853,15737,34582,5658,912,39328,4343,90565
2012,Solapur,4321,2427,556,17,7321,381,7702,7044,592,2329,9965,10345,3431,169,1250,26,428,3972,4822,895,2034,17027,34694,5911,1087,39517,4385,90120
2013,Solapur,5309,1941,554,7,7810,135,7945,7911,452,2366,10729,10865,3333,171,1269,26,429,4485,5296,906,2233,18147,36822,6227,1084,41965,4427,94787
2014,Solapur,6587,2903,565,16,10071,341,10412,8264,597,2548,11409,11750,3395,190,1405,28,489,4793,5892,926,2498,19617,41438,7026,1123,47340,4469,105920
2015,Solapur,4171,4358,570,19,9117,442,9559,9308,636,2605,12550,12992,3394,202,1603,27,598,5088,6506,987,2763,21168,43276,7306,909,49673,4511,110105
2016,Solapur,4215,3746,651,17,8629,940,9569,9945,665,2685,13294,14235,3748,227,1718,27,545,5273,7021,1047,3022,22629,45493,7630,776,52347,4551,115034
2017,Solapur,5241,4295,700,14,10251,106,10357,11044,718,2783,14545,14652,4103,268,1882,29,478,5544,7615,1168,3323,24410,49313,8451,749,57015,4588,124283
2018,Solapur,5052,3796,771,10,9629,39,9667,11673,794,2807,15273,15312,4442,258,2014,30,470,5801,8359,1205,3600,26179,51120,9115,781,59454,4624,128567
2019,Solapur,5608,3946,769,29,10352,785,11137,11180,811,2762,14753,15538,4567,261,2095,30,514,5847,8812,1381,3866,27374,53264,9477,865,61875,4661,132750
2011,Thane,2681,584,1131,491,4886,2435,7322,34413,2999,12787,50199,52634,16318,853,5957,132,2144,19299,23478,4633,9719,82532,140052,22915,3695,159272,11156,142762
2012,Thane,2711,614,1145,477,4947,1532,6479,36967,3106,12221,52293,53825,18008,887,6559,135,2244,20843,25306,4699,10676,89358,148129,25250,4646,168734,11322,149030
2013,Thane,2740,577,1156,504,4977,233,5210,41486,2371,12410,56267,56500,17477,897,6652,139,2248,23518,27773,4752,11709,95165,156642,26496,4612,178527,11489,155394
2014,Thane,2693,676,1216,508,5094,544,5638,43541,3147,13423,60111,60655,17890,1004,7404,145,2578,25252,31043,4879,13160,103355,169104,28717,4592,193229,11656,165780
2015,Thane,2514,871,1244,404,5034,978,6012,49070,3354,13732,66156,67134,17891,1067,8450,145,3151,26819,34299,5200,14565,111587,183756,31056,3865,210946,11824,178411
2016,Thane,2542,837,1601,442,5421,431,5852,53364,3568,14406,71339,71770,20114,1221,9220,144,2924,28294,37675,5621,16216,121429,198620,33298,3385,228532,11985,190686
2017,Thane,2143,1001,1581,664,5390,368,5757,57795,3759,14564,76118,76486,21471,1404,9850,153,2504,29012,39849,6113,17387,127742,209617,36004,3190,242431,12141,199675
2018,Thane,2347,1067,1818,572,5805,250,6055,61011,4148,14672,79831,80081,23218,1349,10526,156,2455,30320,43690,6300,18818,136833,222719,39801,3412,259109,12299,210682
2019,Thane,2326,1095,1825,556,5803,295,6098,60047,4359,14832,79238,79532,24528,1400,11252,163,2761,31407,47330,7418,20767,147026,232361,41136,3756,269742,12456,216548
2011,Wardha,1293,247,372,24,1936,110,2046,1747,152,649,2548,2658,828,43,302,7,109,980,1192,235,493,4189,8783,1437,232,9988,1308,76350
2012,Wardha,1467,263,375,22,2127,67,2195,1876,158,620,2654,2722,914,45,333,7,114,1058,1285,239,542,4536,9385,1597,294,10688,1321,80908
2013,Wardha,1128,252,406,24,1810,31,1840,2097,120,627,2844,2874,883,45,336,7,114,1189,1404,240,592,4809,9493,1605,279,10819,1334,81115
2014,Wardha,1155,191,426,22,1794,38,1832,2203,159,679,3042,3080,905,51,375,7,130,1278,1571,247,666,5230,10104,1714,274,11543,1347,85724
2015,Wardha,1560,265,438,25,2288,47,2335,2487,170,696,3353,3400,907,54,428,7,160,1359,1739,264,738,5656,11345,1914,238,13020,1359,95792
2016,Wardha,2134,221,574,61,2990,115,3105,2675,179,722,3576,3691,1008,61,462,7,147,1418,1888,282,813,6086,12767,2138,217,14687,1371,107124
2017,Wardha,1941,246,604,22,2813,96,2909,2904,189,732,3825,3921,1079,71,495,8,126,1458,2002,307,874,6419,13153,2255,200,15208,1382,110032
2018,Wardha,1961,250,687,20,2918,156,3074,3049,207,733,3990,4146,1160,67,526,8,123,1515,2184,315,941,6839,13903,2479,213,16170,1393,116054
2019,Wardha,2049,260,681,13,3003,298,3301,2923,212,722,3857,4155,1194,68,548,8,134,1529,2304,361,1011,7157,14315,2555,233,16637,1404,118466
2011,Washim,1893,228,106,20,2246,16,2262,856,75,318,1249,1266,406,21,148,3,53,480,584,115,242,2054,5565,911,147,6329,1203,52616
2012,Washim,1962,241,104,21,2327,14,2341,915,77,302,1294,1308,446,22,162,3,56,516,626,116,264,2212,5847,994,183,6658,1213,54910
2013,Washim,2203,294,104,30,2630,32,2663,1012,58,303,1372,1404,426,22,162,3,55,573,677,116,285,2320,6355,1074,187,7243,1222,59258
2014,Washim,876,170,101,30,1176,23,1200,1067,77,329,1473,1496,438,25,181,4,63,619,761,120,322,2532,5205,882,141,5946,1232,48271
2015,Washim,1105,301,99,24,1529,32,1561,1203,82,337,1622,1654,439,26,207,4,77,657,841,127,357,2735,5917,998,124,6791,1241,54709
2016,Washim,2105,341,101,36,2583,10,2592,1311,88,354,1752,1762,494,30,226,4,72,695,925,138,398,2982,7327,1225,124,8427,1250,67417
2017,Washim,1742,340,97,20,2198,91,2289,1394,91,351,1836,1928,518,34,238,4,60,700,961,147,419,3082,7208,1235,109,8333,1258,66243
2018,Washim,2309,299,98,16,2723,38,2761,1489,101,358,1948,1987,567,33,257,4,60,740,1066,154,459,3340,8049,1432,123,9358,1266,73924
2019,Washim,2233,304,98,16,2651,73,2724,1447,105,357,1909,1982,591,34,271,4,67,757,1140,179,500,3543,8176,1447,132,9491,1274,74507
2011,Yavatmal,2606,401,699,32,3738,968,4706,2349,205,873,3427,4395,1114,58,407,9,146,1318,1603,316,663,5635,13768,2253,363,15657,2786,56195
2012,Yavatmal,3366,430,704,29,4528,985,5513,2522,212,834,3567,4552,1228,61,447,9,153,1422,1726,321,728,6096,15176,2579,475,17281,2810,61496
2013,Yavatmal,2340,355,635,65,3395,995,4390,2826,162,846,3834,4828,1191,61,453,9,153,1602,1892,324,798,6484,14707,2477,431,16753,2834,59123
2014,Yavatmal,1876,382,651,33,2942,1067,4009,2985,216,920,4121,5188,1227,69,508,10,177,1731,2128,335,902,7086,15216,2563,410,17370,2857,60793
2015,Yavatmal,2933,598,663,33,4227,1230,5457,3349,229,937,4516,5746,1221,73,577,10,215,1831,2341,355,994,7617,17589,2950,367,20172,2880,70031
2016,Yavatmal,4051,582,851,24,5508,1305,6813,3613,242,975,4830,6134,1362,83,624,10,198,1916,2551,381,1098,8221,19863,3319,337,22845,2902,78723
2017,Yavatmal,2437,653,908,50,4049,1450,5499,3862,251,973,5086,6536,1435,94,658,10,167,1939,2663,408,1162,8536,19121,3291,292,22120,2922,75708
2018,Yavatmal,3373,490,962,42,4867,1561,6428,4069,277,979,5325,6886,1549,90,702,10,164,2022,2914,420,1255,9126,20879,3736,320,24294,2942,82587
2019,Yavatmal,2704,502,920,44,4169,818,4987,4238,308,1047,5592,6411,1731,99,794,12,195,2217,3340,524,1466,10377,20957,3703,338,24322,2961,82132
