District,Year,General Administration,Education,Public Works,Irrigation,Agriculture,Animal Husbandary,Forests,Public Health,Social Welfare,Other Expenses,Revenue Account,Capital Account,Total Expenditure
Washim,2019,3856.18,30159.95,26.03,2872.02,15.16,162.72,0.0,207.71,1960.31,13326.18,52586.25999999999,8666.75,61253.00999999999
Washim,2020,4786.21,27579.37,1939.37,1444.7,2176.26,503.63,0.0,2279.15,1625.11,52916.27,95250.06999999999,13118.18,108368.25
Washim,2021,9355.69,30891.27,7341.67,2523.99,78.13,662.55,0.0,808.25,2634.45,26930.27,81226.26999999999,243.26,81469.52999999998
Yavatmal,2012,1134.0,1522.0,3357.0,232.0,527.0,524.0,0.0,1973.0,102.0,104222.0,113593.0,589.0,114182.0
Yavatmal,2013,6525.0,32816.0,550.0,157.0,574.0,859.0,0.0,3966.0,2297.0,14179.0,61923.0,144.0,62067.0
Yavatmal,2014,71.76,1409.46,1623.4,196.5,271.37,45.0,143.68,111.0,202.59,1210.01,5284.77,108.1,5392.87
Yavatmal,2015,18080.88,53645.57,9822.59,5686.55,2172.63,1607.07,0.0,8501.11,22236.34,3135.9,124888.64,1262.8,126151.44
Yavatmal,2016,56780.5,64017.7,8989.06,8203.44,1365.81,1712.93,0.0,5905.43,4358.38,4644.26,155977.51,1479.62,157457.13
Yavatmal,2017,32785.23,64953.87,7241.72,6757.01,983.81,1284.24,0.0,4779.11,2149.55,175.72,121110.26,2621.35,123731.61
Yavatmal,2018,14439.26,64463.23,7403.36,1266.78,1627.2,2729.31,121.54,8732.01,2271.54,20586.72,123640.95,2801.08,126442.03
Yavatmal,2019,26109.28,63463.94,11528.89,1573.64,2123.57,3563.98,185.45,1676.6,2044.92,23641.89,135912.16,2423.44,138335.6
Yavatmal,2020,40201.82,88110.6,1082.48,461.98,619.32,3115.83,81.61,8060.09,243.08,32918.14,174894.95,9432.49,184327.4399999999
Yavatmal,2021,44251.82,96932.08,1192.45,511.99,689.23,3465.88,120.66,8948.01,273.75,37138.41,193524.28,10410.94,203935.22
