District,Year,Value Added Tax (VAT),Stamp and Registration fee,State Excise Duty,Electricity Charges,Entertainment Tax,Vehicles Tax,Tax on goods and cargo,Land Tax,Other Revenue,Total Tax Revenue
Dhule,2014,1422400000.0,116236000.0,27370000.0,,90936000.0,630539000.0,,188082000.0,,2475563000.0
Dhule,2015,1448050000.0,44872000.0,5325000.0,,48839000.0,716884000.0,,102115000.0,,2366085000.0
Dhule,2016,1735655000.0,44841000.0,16000.0,,52337000.0,678802000.0,,16128000.0,,2527779000.0
Dhule,2017,1755880000.0,53811000.0,30000.0,,57729999.99999999,861154000.0000001,,71206000.0,,2799811000.0
Dhule,2018,25502000.0,15095000.0,,,,560312000.0,,,,600909000.0
Dhule,2019,9538000.0,4191000.0,,,52692999.99999999,,,,,66422000.0
Dhule,2020,723000.0,3846000.0,10000.0,,42108000.0,185881000.0,,327000.0,,232895000.0
Dhule,2021,,2906000.0,,,42046000.0,,,,,44952000.0
Gadchiroli,2012,26600000.0,61200000.0,37000.0,3300000.0,7600000.0,64300000.0,98000.0,65800000.0,34500000.0,263435000.0
Gadchiroli,2013,34910000.0,67200000.0,39000.0,6340000.0,8513000.0,71042000.0,757000.0,118300000.0,30700000.0,337801000.0
Gadchiroli,2014,62946000.0,40945000.0,32000.0,3700000.0,23449000.0,74508000.0,3700.0,96543000.0,31300000.0,333427000.0
Gadchiroli,2015,61148000.0,23320000.0,18000.0,31000.0,63132000.00000001,38006000.0,22196000.0,61188000.0,45673000.0,314712000.0
Gadchiroli,2016,59839000.0,29434000.0,23000.0,37000.0,60358000.00000001,68721000.0,13743000.0,61783000.00000001,40371000.0,334309000.0
Gadchiroli,2017,55676000.0,74458000.0,2000.0,61000.0,6614000.0,125688000.0,,1498000.0,97637000.0,361634000.0
Gadchiroli,2018,17744000.0,7729000.000000001,3000.0,,5656000.0,217318000.0,,413000.0,112467000.0,361330000.0
Gadchiroli,2019,86000.0,3088000.0,3000.0,,5601000.0,21831000.0,,4218000.0,62491000.0,97318000.0
Gadchiroli,2020,,3425000.0,,,6827000.0,952000.0,,580000.0,302460000.0,314244000.0
Gadchiroli,2021,,3667000.0,,,6523000.0,,,601000.0,171797000.0,182588000.0
Gondia,2012,564064000.0,211255000.0,26200000.0,285213000.0,9689000.0,277578000.0,,10706000.0,38604000.0,1423309000.0
Gondia,2013,560236000.0,236900000.0,32953000.0,76499000.0,10192000.0,283093000.0,,12074000.0,13304000.0,1225251000.0
Gondia,2014,508112000.0,231156000.0,39141000.0,108019000.0,11890000.0,246094000.0,,35753000.0,89800000.0,1269965000.0
Gondia,2015,526733000.0,109633000.0,42168000.0,206594000.0,12363000.0,309903000.0,,52284000.0,90843000.0,1350521000.0
Gondia,2016,485474000.0,206218000.0,27235000.0,208027000.0,14240000.0,348877000.0,,60871000.0,125276000.0,1476218000.0
Gondia,2017,126751000.0,238426000.0,32027000.0,277000000.0,3430000.0,427243999.9999999,,54788000.0,77282000.0,1236948000.0
Gondia,2018,103278000.0,291022000.0,38037000.0,272000000.0,,453581000.0000001,,47980000.0,23536000.0,1229434000.0
Gondia,2019,96300000.0,283361000.0,7647000.0,248381000.0,,314457000.0,,46087000.0,27230000.0,1023463000.0
Gondia,2020,82693000.0,278437000.0,69412000.0,259900000.0,,431989999.9999999,,68001000.0,85770000.0,1276203000.0
Gondia,2021,80609000.0,418701000.0,45390000.0,260100000.0,,467571000.0,,121776000.0,14289000.0,1408436000.0
Hingoli,2012,152221000.0,182125000.0,19821000.0,208400.0,9581000.0,95245000.0,1980000.0,32128000.0,104100.0,493414000.0000001
Hingoli,2013,193689000.0,20934000.0,221100.0,9735000.0,112470000.0,,34819000.0,151000.0,374517000.0,749036000.0
Hingoli,2014,213049000.0,23024000.0,311000.0,11253000.0,124480000.0,,36491000.0,227000.0,434889000.0000001,846674000.0
Hingoli,2015,232409000.0,23242000.0,411000.0000000001,11758000.0,135440000.0,,38897000.0,354000.0,540889000.0,986740000.0
Hingoli,2016,201207000.0,20021000.0,400000.0,11224000.0,112420000.0,,24445000.0,227000.0,270422000.0,642686000.0
Hingoli,2017,100660000.0,10010000.0,222000.0,5612000.0,,,12222000.0,,130211000.0,260047000.0
Hingoli,2018,80960000.0,10050000.0,111000.0,2006000.0,,66229000.0,,601000.0,11501000.0,171959000.0
Hingoli,2019,3507000.0,451000.0,,,,7617000.0,,8888000.0,11236000.0,34639000.0
Hingoli,2020,1268000.0,3210000.0,,,,,,466000.0,57754000.0,68132000.0
Hingoli,2021,901000.0,2634000.0,,,6172000.0,,,784000.0,5785000.0,21710000.0
Jalna,2013,78750000.0,339330000.0,42001000.0,1667000.0,15503000.0,288174000.0,,56082000.00000001,,821506000.0
Jalna,2014,102062000.0,20243000.0,48143000.0,127000.0,26497000.0,282025000.0,,56828000.0,,535925000.0
Jalna,2015,137908000.0,24116000.0,52009000.0,83000.0,7108000.0,128509000.0,,71325000.0,,421058000.0
Jalna,2016,98474000.0,12542000.0,29673000.0,101000.0,32000.0,144056000.0,,18013000.0,,302891000.0
Jalna,2017,69619000.0,9214000.0,10689000.0,90000.0,532000.0,264514000.0,,9995000.0,,364653000.0
Jalna,2018,30520000.0,17437000.0,20000.0,9000.0,,95862000.0,,9510000.0,,153358000.0
Jalna,2019,8638000.0,9455000.0,20000.0,,9000.0,24824000.0,,18988000.0,,61934000.0
Jalna,2020,897000.0000000001,9214000.0,31000.0,,95000.0,,,8765000.0,,19002000.0
Jalna,2021,,5973000.0,,,9000.0,,,16055000.0,4394000.0,26431000.0
Kolhapur,2012,343200000.0,850400000.0,121700000.0,67100000.0,237100000.0,713000000.0,,318300000.0,6419700000.0,9070400000.0
Kolhapur,2013,948100000.0,646000000.0,113300000.0,13500000.0,200200000.0,777800000.0,,310300000.0,3932300000.0,6941400000.0
Kolhapur,2014,528900000.0,26600000.0,6200000.0,1800000.0,182600000.0,813000000.0,,302400000.0,5846000000.0,7946000000.0
Kolhapur,2015,359700000.0,17900000.0,63100000.0,,179300000.0,871300000.0,700000.0,147000000.0,4688300000.0,6426900000.0
Kolhapur,2016,336600000.0,15700000.0,600000.0,,179300000.0,934000000.0,1900000.0,49100000.0,3993700000.0,5510900000.0
Kolhapur,2017,173731000.0,13677000.0,14000.0,,41252000.0,1176592000.0,275000.0,18648000.0,4626249000.0,6050438000.0
Kolhapur,2018,109031000.0,13043000.0,,,62000.0,760033000.0,,4301000.0,3221163000.0,4107640000.0
Kolhapur,2019,78705000.0,21551000.0,16000.0,,45000.0,292145000.0,,4021000.0,516683000.0,913174000.0
Kolhapur,2020,1200000.0,10900000.0,,,,87600000.0,,1700000.0,13477600000.0,13581000000.0
Kolhapur,2021,234000.0,18290000.0,25000.0,,,82300000.0,,1207000.0,2800993000.0,2903749000.0
Latur,2012,141924000.0,532034000.0,75464000.0,9388000.0,57279999.99999999,336062000.0,218000.0,102319000.0,,1254690000.0
Latur,2013,326346000.0,361667000.0,103837000.0,555000.0,67184000.0,282951000.0,87000.0,132412000.0,,1275039000.0
Latur,2014,130363000.0,44548000.0,115624000.0,136000.0,73480000.0,279698000.0,155000.0,90049000.0,,734053000.0
Latur,2015,120615000.0,15830000.0,108407000.0,470000.0,53167999.99999999,219711000.0,75000.0,125345000.0,,643621000.0
Latur,2016,112218000.0,17150000.0,66926000.0,217000.0,28476000.0,287860000.0,274000.0,99082000.0,,612203000.0
Latur,2017,108439000.0,15830000.0,26620000.0,126000.0,21745000.0,319543000.0,2808000.0,17217000.0,,512328000.0
Latur,2018,43205000.0,15344000.0,20000.0,2657000.0,52512000.0,368954000.0,12000.0,12380000.0,,495084000.0
Latur,2019,24619000.0,14925000.0,,,58261000.0,43516000.0,326000.0,24081000.0,,165728000.0
Latur,2020,5774000.0,12403000.0,,,90578000.0,45000.0,,14370000.0,,123170000.0
Latur,2021,,8373999.999999999,,,58049000.0,,,8365000.000000001,,74788000.0
Mumbai,2013,610997376000.0,160260076000.0,95647981000.0,21209394000.0,8846564000.0,17168277000.0,12192525000.0,2407347000.0,47573887000.0,976303427000.0
Mumbai,2014,658204355000.0,28555922000.0,14337979000.0,7821388000.0,15170668000.0,5260705000.0,2435762000.0,2092355000.0,56323700000.0,790202834000.0
Mumbai,2015,691659784000.0,-392151000.0,47680000.0,943598000.0,8548628999.999999,1582014000.0,12897823000.0,1080411000.0,31983774000.0,748743713000.0
Mumbai,2016,787374562000.0,,381000.0,300609000.0,3529371000.0,1872833000.0,15008480000.0,69665000.0,16370164000.0,824175045000.0
Mumbai,2017,413648416000.0,,19881000.0,4211370000.0,1273221000.0,2808420000.0,8236133000.0,22851000.0,381695109000.0,811477420000.0
Mumbai,2018,6816803600000.0,,-11899000.0,138355000.0,593621000.0,1474416000.0,8168781000.0,19339000.0,-48795655000.0,-32375075000.0
Mumbai,2019,7414938000.0,-1239904000.0,-1733000.0,237242000.0,433513000.0,479422000.0,4370571000.0,40037000.0,-366923551000.0,-355189470000.0
Mumbai,2020,4304834000.0,-955683000.0,721000.0,226397000.0,335251000.0,-519000.0000000001,66396000.0,172601000.0,-21539378000.0,-17389380000.0
Mumbai,2021,5807956000.0,-1470946000.0,-6058000.0,156726000.0,655524000.0,-30210000.0,500.0,7029000.000000001,-7719814999.999999,-2599793000.0
Mumbai Suburban,2016,787374562000.0,-351020000.0,381000.0,300609000.0,3529371000.0,1872833000.0,15008480000.0,69665000.0,16370164000.0,824175045000.0
Mumbai Suburban,2017,413648416000.0,-437981000.0000001,19881000.0,4211370000.0,1273221000.0,2808420000.0,8236133000.0,22851000.0,381695109000.0,811477420000.0
Mumbai Suburban,2018,6816836000.0,-778806900000.0,-11899000.0,138355000.0,593621000.0,1474416000.0,8168781000.0,19339000.0,-48795655000.0,-32375074000.0
Mumbai Suburban,2019,7414938000.0,-1239904000.0,-1733000.0,237242000.0,433513000.0,479422000.0,4370571000.0,40037000.0,-366923551000.0,-355189470000.0
Mumbai Suburban,2020,4304834000.0,-955683000.0,721000.0,226397000.0,335251000.0,-519000.0000000001,66396000.0,172601000.0,-21539378000.0,-17389380000.0
Mumbai Suburban,2021,5807956000.0,-1470946000.0,-6058000.0,156726000.0,655524000.0,-30210000.0,500.0,7029000.000000001,-7719814999.999999,-2599793000.0
Nagpur,2012,16821486000.0,1507695000.0,7293200000.0,924306000.0,140977000.0,2784211000.0,4851297000.0,428800000.0,2537106000.0,37289078000.0
Nagpur,2013,20189167000.0,1626237000.0,4645965000.0,493914000.0000001,174171000.0,2214450000.0,3527900000.0,619430000.0,2648283000.0,36139517000.0
Nagpur,2014,19853312000.0,1144954000.0,4190755000.0,580984000.0,196544000.0,2072453000.0,4060000000.0,492809000.0,3214824000.0,35806635000.0
Nagpur,2015,23022066000.0,9800800000.0,6477770000.0,252552000.0,246776000.0,2464587000.0,31363000.0,2832684000.0,4895863000.0,50024461000.0
Nagpur,2016,38227816000.0,7184713000.0,1484400000.0,1184164000.0,265852000.0,940306000.0,63709000.0,3439479000.0,3723323000.0,56513762000.0
Nagpur,2017,19824991000.0,25999000.0,34000.0,606673000.0,11475807000.0,4724085000.0,71714000.0,144717000.0,7200589999.999999,44074610000.0
Nagpur,2018,4056301000.0,21600000.0,,3199256000.0,10620900000.0,3955893000.0,52357000.00000001,79100000.0,5504237000.0,27489644000.0
Nagpur,2019,134700000.0,635800000.0,,3412098000.0,9610200000.0,3921148000.0,39186000.0,201100000.0,6701528000.0,24655760000.0
Nagpur,2020,2033100000.0,158435000.0,600000.0,3189675000.0,9673100000.0,2930007000.0,6374000.0,65700000.0,5397227000.0,23454218000.0
Nagpur,2021,2524698000.0,183205000.0,,3313396000.0,11215577000.0,2685779000.0,9965000.0,53611000.0,8926838000.0,28913069000.0
Nanded,2014,,602000000.0,85000000.0,,72000000.0,432100000.0,,84000000.0,,1275100000.0
Nanded,2015,235900000.0,904400000.0,118500000.0,,86500000.0,354000000.0,,87100000.0,,2347700000.0
Nanded,2016,227700000.0,736500000.0,681200000.0,19000000.0,817100000.0,717300000.0,,842700000.0,293600000.0,4918500000.0
Nanded,2017,144400000.0,709200000.0,497700000.0,3600000.0,467100000.0,492600000.0,3600000000.0,833200000.0,410200000.0,7158000000.0
Nanded,2018,127800000.0,4514500000.0,1624800000.0,418800000.0,278100000.0,249400000.0,362400000.0,1474300000.0,1922700000.0,10972800000.0
Nanded,2019,133100000.0,1362300000.0,1578500000.0,,385100000.0,1689700000.0,,3076200000.0,4875500000.0,13100400000.0
Nanded,2020,540800000.0,2277800000.0,113000000.0,,451800000.0,417900000.0,56100000.0,428400000.0,3123800000.0,7409600000.0
Nanded,2021,250800.0,19314757.0,220620.0,,6303692.0,7315.000000000001,,11605052.0,227018090.0,264720326.0
Nandurbar,2012,456700000.0,172993000.0,21195000.0,,26943000.0,344521000.0,,86849000.0,,1109201000.0
Nandurbar,2013,394900000.0,194832000.0,30701000.0,,24736000.0,444068000.0,,133003000.0,,1222240000.0
Nandurbar,2014,406300000.0,16690000.0,36567000.0,,31976000.0,499247999.9999999,,97736000.0,,1088517000.0
Nandurbar,2015,438108000.0,42531000.0,9111000.0,,12449000.0,60813000.0,,8711000.0,,571723000.0
Nandurbar,2016,506277000.0000001,6368000.0,426999.9999999999,,42159000.0,55254000.0,,1989000.0,,612474000.0
Nandurbar,2017,45791000.0,5242000.0,20000.0,,6530000.0,627537000.0,,223000.0,,685343000.0
Nandurbar,2018,5577000.0,3747000.0,,,20000.0,577172000.0,,707000.0,,587223000.0
Nandurbar,2019,24000.0,1900000.0,,,15000.0,389568000.0,,120000.0,,391627000.0
Nandurbar,2020,67000.0,2153000.0,,,9000.0,134631000.0,,335000.0,,137195000.0
Nandurbar,2021,41000.0,19315000.0,221000.0,,6304000.0,7000.000000000001,,11605000.0,227018000.0,264720000.0
Nashik,2012,149286000.0,1780795000.0,368469000.0,119489000.0,340028000.0,1305200000.0,268000.0,814412000.0,,4877947000.0
Nashik,2013,255234000.0,166260000.0,564755000.0,309394000.0,360591000.0,1257694000.0,480999.9999999999,739238000.0,,3653647000.0
Nashik,2014,1424219000.0,448447000.0,65742999.99999999,13019000.0,400227000.0,960693000.0,1336000.0,675555000.0,,3989239000.0
Nashik,2015,748788000.0,160710000.0,12091000.0,1418000.0,281901000.0,858358000.0,,213268000.0,,2276534000.0
Nashik,2016,1160462000.0,49179000.0,,1023000.0,265870000.0,994281000.0,1180000.0,96576000.0,,2568571000.0
Nashik,2017,72292000.0,20498000.0,37000.0,1316000.0,114111000.0,1174691000.0,1767000.0,31238000.0,,1415950000.0
Nashik,2018,104397000.0,27610000.0,37000.0,,171193000.0,863186000.0,,37356000.0,,1203779000.0
Nashik,2019,11424000.0,20761000.0,,336000.0,174265000.0,323857000.0,,9623000.0,,540266000.0
Nashik,2020,231000.0,17126000.0,71000.0,,122352000.0,,,1055000.0,,140835000.0
Nashik,2021,217000.0,1897000.0,,,147254000.0,196000.0,,2544000.0,,152108000.0
Dharashiv,2012,2449200000.0,370800000.0,25800000.0,11200000.0,15700000.0,322200000.0,,62000000.0,,3256900000.0
Dharashiv,2013,234451000.0,404260000.0,47441000.0,3470000.0,10602000.0,351667000.0,,91080000.0,,1142971000.0
Dharashiv,2014,108485000.0,186419000.0,61730999.99999999,42000.0,12479000.0,373530000.0,,71877000.0,,814563000.0
Dharashiv,2015,166084000.0,12429000.0,52405999.99999999,69000.0,7214000.0,289960000.0,,20311000.0,,548473000.0
Dharashiv,2016,113268000.0,10476000.0,22132000.0,98000.0,3939000.0,331884000.0,,8531000.0,,490328000.0
Dharashiv,2017,97842000.0,8634000.0,1694000.0,92000.0,2833000.0,453968999.9999999,90000.0,23901000.0,79874000.0,668929000.0
Dharashiv,2018,17728000.0,9916000.0,,6000.0,2542000.0,497299000.0,,83323000.0,30317000.0,641131000.0
Dharashiv,2019,7359000.0,7834000.0,,,4344000.0,207016000.0,,97514000.0,18395000.0,342462000.0
Dharashiv,2020,256000.0,7045999.999999999,,,5439000.0,171000.0,,186526000.0,4433000.0,203871000.0
Dharashiv,2021,591000.0,6598000.0,,,1979000.0,,,27428000.0,3967000.0,40563000.0
Palghar,2014,37628000.0,6372000.0,148225000.0,9402000.0,43728000.0,310615000.0,127000.0,245078000.0,49562000.0,850737000.0000001
Palghar,2015,203253000.0,16869000.0,71282000.0,669000.0,131229000.0,2206044000.0,413999.9999999999,170530000.0,23547000.0,2823837000.0
Palghar,2016,942070999.9999999,118649000.0,323648000.0,71171000.0,617990000.0,257674000.0,212000.0,246484000.0,334217000.0,2912116000.0
Palghar,2017,108532000.0,8530000.0,55047000.0,459999.9999999999,184987000.0,2065584000.0,11000.0,758000.0,35278000.0,2459187000.0
Palghar,2018,38365000.0,6942000.0,113000.0,,308482000.0,1205993000.0,,586000.0,31000000.0,1591481000.0
Palghar,2019,92000.0,6790000.000000001,8000.0,,317069000.0,514388000.0,,53000.0,88633000.0,927033000.0
Palghar,2020,175000.0,5595000.0,46000.0,,162383000.0,2500000.0,,243000.0,1606688000.0,1777630000.0
Palghar,2021,2000.0,6959999.999999999,436000.0000000001,,57205999.99999999,,,163000.0,46507000.0,111274000.0
Parbhani,2013,15207298300000.0,37865632500000.0,4047775900000.0,11175000000.0,2245640000000.0,21914404600000.0,20983400000.0,4405847100000.0,17895739700000.0,103614496500000.0
Parbhani,2014,10271888500000.0,13928172200000.0,3365508500000.0,159889200000.0,2852302400000.0,20769146500000.0,537000000.0,2894980500000.0,5327744100000.0,59570168900000.0
Parbhani,2015,77071000.0,23065000.0,31416000.0,1930000.0,94434000.0,4336000.0,295000.0,18008000.0,74211000.0,324765000.0
Parbhani,2016,97234000.0,11760000.0,12360000.0,72000.0,7956000.0,127095000.0,18000.0,10470000.0,16612000.0,283578000.0
Parbhani,2017,84000.0,6033000.0,5615000.0,1930000.0,97666000.0,2529000.0,12000.0,49913000.0,968000.0,164751000.0
Parbhani,2018,1864000.0,9389000.0,8000.0,1000.0,12696000.0,144529000.0,,5117000.0,26823000.0,200426000.0
Parbhani,2019,6078000.0,5952000.0,2660000.0,,55554999.99999999,43378000.0,,2709000.0,15113000.0,131443000.0
Parbhani,2020,2760000.0,5816000.0,14000.0,228000.0,,,,258958000.0,2783000.0,270560000.0
Parbhani,2021,10000.0,5774000.0,61000.0,,22664000.0,,,24555000.0,919000.0,53983000.00000001
Pune,2011,3118062000.0,7673341000.0,8623947000.0,250182000.0,2156593000.0,6800283000.0,32479000.0,1499007000.0,82531000.0,30236424000.0
Pune,2012,1687846000.0,6708872000.0,1238401000.0,288389000.0,2485049000.0,8284425000.0,53570000.00000001,2078224000.0,88279000.0,22913053000.0
Pune,2013,1742079000.0,4916924000.0,1027338000.0,153330000.0,2468418000.0,8213864999.999999,,1790226000.0,101830000.0,20414011000.0
Pune,2014,2116355000.0,563292000.0,262184000.0,93748000.0,2981318000.0,5860689000.0,,2589301000.0,95402000.0,14562289000.0
Pune,2015,2031722000.0,417270000.0,49998000.0,17045000.0,10250875000.0,3042088000.0,,654784000.0,33881000.0,16497663000.0
Pune,2016,1990580000.0,242284000.0,36000.0,18138000.0,2341078000.0,4200459000.0,,471614000.0000001,4551000.0,9268740000.0
