District,Year,Receipts and Loans,"From Commercial Activities
",Government Grants,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Amravati,2019,21.07,88.14,3125.36,161.29,66.84,3462.7,298.62,24.88,1536.89,62.75,1.07,10.96,90.85,42.93,19.53,69.34,1.56,0.42,,88.8,2248.59,143.76,1619.17,485.6700000000001
Amravati,2020,72.86,23.99,1770.98,225.78,87.15,2180.76,246.56,19.9,2202.05,52.88,,4.79,49.54,120.29,68.7,17.65,4.5,6.13,,120.6,2913.57,245.68,2323.63,344.28
Amravati,2021,66.18,38.87,3171.34,283.02,100.74,3660.15,230.47,45.35,2649.18,279.2,,5.01,36.63,159.62,52.59,45.85,6.32,3.73,,101.69,3615.64,266.32,2980.97,368.35
Chhatrapati Sambhaji Nagar,2012,,,,,,,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2013,,,,,,,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2014,,,,,,,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2015,,,,,,,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2016,,,,,,,,,,,,,,,,,,,,,,,,
Chhatrapati Sambhaji Nagar,2017,,,629.11,5.56,54.05,688.72,47.05,106.99,314.22,19.34,,0.8,,,4.54,,,,,9.44,502.38,10.24,338.1,154.04
Chhatrapati Sambhaji Nagar,2018,32.12,,1285.22,14.44,43.86,1375.64,67.99,1.65,825.14,25.95,,2.79,4.95,138.53,4.06,1.88,81.49,,,13.75,1168.18,155.07,855.15,157.96
Chhatrapati Sambhaji Nagar,2019,2076.0,95.69,2029.52,38.21,42.65,4282.07,188.46,14.16,250.2,29.04,0.26,14.88,805.66,125.02,4.28,0.42,,1.48,,75.69,1509.55,215.85,283.52,1010.18
Chhatrapati Sambhaji Nagar,2020,,,620.54,128.34,72.93,821.81,118.93,4.15,570.71,5.47,0.49,71.47,365.88,104.56,129.53,0.9,3.94,1.26,,111.49,1488.78,288.01,705.71,495.06
Chhatrapati Sambhaji Nagar,2021,122.25,4.68,751.57,99.62,84.39,1062.51,148.07,19.38,510.74,19.37,0.49,36.62,94.15,63.24,99.6,124.79,6.57,22.46,1.22,142.72,1289.42,243.07,630.9300000000001,415.42
Beed,2014,10.0,,942.0,681.71,30.0,,99.6,,1386.9,45.0,,,210.33,39.25,75.75,59.85,,,,268.4,2185.08,307.65,1507.65,369.78
