Year,District,Rural/Urban,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2019,Ahilyanagar,Urban,Government Aided,50,58,54,44,25
2019,Ahilyanagar,Urban,Local Body,140,55,0,1,0
2019,Ahilyanagar,Urban,Others,1,0,0,1,2
2019,Ahilyanagar,Urban,Private Unaided (Recognized),50,47,12,21,14
2020,Ahilyanagar,Rural,Government Aided,31,47,183,338,131
2020,Ahilyanagar,Rural,Local Body,2897,529,0,0,0
2020,Ahilyanagar,Rural,Others,0,2,8,14,1
2020,Ahilyanagar,Rural,Private Unaided (Recognized),137,90,67,78,56
2020,Ahilyanagar,Urban,Government Aided,51,58,54,44,25
2020,Ahilyanagar,Urban,Local Body,137,57,0,1,0
2020,Ahilyanagar,Urban,Others,1,0,0,1,2
2020,Ahilyanagar,Urban,Private Unaided (Recognized),48,44,15,22,13
2021,Ahilyanagar,Rural,Government Aided,27,44,181,338,132
2021,Ahilyanagar,Rural,Local Body,2881,532,0,0,0
2021,Ahilyanagar,Rural,Others,0,2,8,15,1
2021,Ahilyanagar,Rural,Private Unaided (Recognized),110,84,73,74,50
2021,Ahilyanagar,Urban,Government Aided,55,61,56,45,26
2021,Ahilyanagar,Urban,Local Body,148,58,0,1,0
2021,Ahilyanagar,Urban,Others,1,0,0,0,2
2021,Ahilyanagar,Urban,Private Unaided (Recognized),51,48,17,23,15
2012,Akola,Rural,Government Aided,7,15,75,69,58
2012,Akola,Rural,Local Body,566,327,3,1,0
2012,Akola,Rural,Others,5,17,2,3,5
2012,Akola,Rural,Private Unaided (Recognized),42,21,2,8,25
2012,Akola,Urban,Government Aided,12,25,35,38,8
2012,Akola,Urban,Local Body,39,24,3,6,0
2012,Akola,Urban,Others,45,20,0,0,0
2012,Akola,Urban,Private Unaided (Recognized),65,49,5,24,29
2013,Akola,Rural,Government Aided,10,26,75,70,8
2013,Akola,Rural,Central Govt,0,0,0,0,0
2013,Akola,Rural,Local Body,569,328,3,1,0
2013,Akola,Rural,Others,0,4,0,2,74
2013,Akola,Rural,Private Unaided (Recognized),49,23,4,10,4
2013,Akola,Urban,Government Aided,14,32,34,37,3
2013,Akola,Urban,Local Body,77,39,3,6,0
2013,Akola,Urban,Others,1,1,0,2,34
2013,Akola,Urban,Private Unaided (Recognized),67,43,6,22,0
2014,Akola,Rural,Government Aided,11,28,80,72,61
2014,Akola,Rural,Central Govt,0,0,0,0,0
2014,Akola,Rural,Local Body,568,328,3,1,0
2014,Akola,Rural,Others,1,4,0,2,0
2014,Akola,Rural,Private Unaided (Recognized),69,23,1,8,25
2014,Akola,Urban,Government Aided,20,39,33,38,9
2014,Akola,Urban,Local Body,76,39,3,6,0
2014,Akola,Urban,Others,2,1,0,0,0
2014,Akola,Urban,Private Unaided (Recognized),68,40,6,23,30
2015,Akola,Rural,Government Aided,12,30,81,72,65
2015,Akola,Rural,Central Govt,0,0,0,0,0
2015,Akola,Rural,Local Body,570,328,3,1,0
