Year,District,Type of School,Central Govt,Government Aided,Local body,Others,Private Unaided
2024,Hingoli,Secondary School (I-X),,675.0,354.0,42.0,291.0
2024,Hingoli,Secondary School (VI-X),,148.0,26.0,4.0,53.0
2024,Hingoli,Higher Secondary School (XI-XII),,241.0,,,114.0
2024,Jalgaon,Primary School (I-V),,1028.0,4142.0,19.0,578.0
2024,Jalgaon,Upper Primary School (I-VIII),,1608.0,3043.0,23.0,1314.0
2024,Jalgaon,Higher Secondary School (I-XII),,4510.0,100.0,125.0,1201.0
2024,Jalgaon,Secondary School (I-X),,5070.0,37.0,102.0,1524.0
2024,Jalgaon,Secondary School (VI-X),,311.0,14.0,,131.0
2024,Jalgaon,Higher Secondary School (XI-XII),,464.0,,,195.0
2024,Jalna,Primary School (I-V),,247.0,2094.0,4.0,606.0
2024,Jalna,Upper Primary School (I-VIII),,818.0,3324.0,1.0,509.0
2024,Jalna,Higher Secondary School (I-XII),,1731.0,12.0,2.0,967.0
2024,Jalna,Secondary School (I-X),,1356.0,405.0,,974.0
2024,Jalna,Secondary School (VI-X),,257.0,58.0,21.0,72.0
2024,Jalna,Higher Secondary School (XI-XII),,436.0,,,164.0
2024,Kolhapur,Primary School (I-V),,624.0,2456.0,2.0,741.0
2024,Kolhapur,Upper Primary School (I-VIII),,711.0,5655.0,,1257.0
2024,Kolhapur,Higher Secondary School (I-XII),,3365.0,42.0,,1061.0
2024,Kolhapur,Secondary School (I-X),,2790.0,20.0,14.0,1377.0
2024,Kolhapur,Secondary School (VI-X),,1438.0,,25.0,278.0
2024,Kolhapur,Higher Secondary School (XI-XII),,646.0,8.0,10.0,300.0
2024,Latur,Primary School (I-V),,836.0,1583.0,2.0,446.0
2024,Latur,Upper Primary School (I-VIII),,2594.0,3072.0,4.0,632.0
2024,Latur,Higher Secondary School (I-XII),,3096.0,,39.0,1287.0
2024,Latur,Secondary School (I-X),,2378.0,490.0,,720.0
2024,Latur,Secondary School (VI-X),,674.0,3.0,27.0,184.0
2024,Latur,Higher Secondary School (XI-XII),,451.0,,,292.0
2024,Mumbai,Primary School (I-V),,,,,66.0
2024,Mumbai,Upper Primary School (I-VIII),,16.0,,,187.0
2024,Mumbai,Higher Secondary School (I-XII),,5077.0,,516.0,8709.0
2024,Mumbai,Secondary School (I-X),,7456.0,,197.0,11472.0
2024,Mumbai,Secondary School (VI-X),,298.0,,,371.0
2024,Mumbai,Higher Secondary School (XI-XII),,2250.0,,15.0,1067.0
2024,Mumbai Suburban,Primary School (I-V),,2672.0,410.0,416.0,5914.0
2024,Mumbai Suburban,Upper Primary School (I-VIII),,174.0,5769.0,440.0,714.0
2024,Mumbai Suburban,Secondary School (I-X),,,1705.0,94.0,121.0
2024,Mumbai Suburban,Secondary School (VI-X),,,125.0,,
2024,Nagpur,Primary School (I-V),,1265.0,2022.0,4.0,1277.0
2024,Nagpur,Upper Primary School (I-VIII),,2169.0,2551.0,10.0,2406.0
2024,Nagpur,Higher Secondary School (I-XII),,4876.0,213.0,320.0,5304.0
2024,Nagpur,Secondary School (I-X),,2429.0,187.0,84.0,5036.0
2024,Nagpur,Secondary School (VI-X),,480.0,66.0,31.0,420.0
2024,Nagpur,Higher Secondary School (XI-XII),,641.0,,17.0,345.0
2024,Nanded,Primary School (I-V),,794.0,3164.0,15.0,589.0
2024,Nanded,Upper Primary School (I-VIII),,2323.0,4361.0,16.0,570.0
2024,Nanded,Higher Secondary School (I-XII),,3064.0,,204.0,1247.0
2024,Nanded,Secondary School (I-X),,2435.0,1072.0,72.0,1306.0
2024,Nanded,Secondary School (VI-X),,583.0,67.0,21.0,148.0
2024,Nanded,Higher Secondary School (XI-XII),,459.0,,,318.0
2024,Nandurbar,Primary School (I-V),,254.0,3097.0,2.0,301.0
2024,Nandurbar,Upper Primary School (I-VIII),,656.0,784.0,81.0,220.0
2024,Nandurbar,Higher Secondary School (I-XII),,1944.0,19.0,220.0,118.0
2024,Nandurbar,Secondary School (I-X),,1800.0,61.0,490.0,624.0
2024,Nandurbar,Secondary School (VI-X),,180.0,41.0,7.0,23.0
2024,Nandurbar,Higher Secondary School (XI-XII),,124.0,,,59.0
2024,Nashik,Primary School (I-V),,1188.0,6331.0,10.0,1378.0
2024,Nashik,Upper Primary School (I-VIII),,2456.0,5248.0,49.0,2200.0
2024,Nashik,Higher Secondary School (I-XII),,5891.0,22.0,701.0,2678.0
2024,Nashik,Secondary School (I-X),,4197.0,16.0,643.0,3206.0
2024,Nashik,Secondary School (VI-X),,1292.0,74.0,55.0,417.0
2024,Nashik,Higher Secondary School (XI-XII),,852.0,,,600.0
2024,Palghar,Primary School (I-V),,221.0,3016.0,8.0,634.0
2024,Palghar,Upper Primary School (I-VIII),,679.0,2176.0,146.0,3436.0
2024,Palghar,Higher Secondary School (I-XII),,1273.0,,595.0,1878.0
2024,Palghar,Secondary School (I-X),,1030.0,385.0,410.0,2358.0
2024,Palghar,Secondary School (VI-X),,377.0,45.0,10.0,912.0
2024,Palghar,Higher Secondary School (XI-XII),,129.0,,,502.0
2024,Parbhani,Primary School (I-V),,456.0,1433.0,3.0,327.0
2024,Parbhani,Upper Primary School (I-VIII),,1782.0,3095.0,13.0,598.0
2024,Parbhani,Higher Secondary School (I-XII),,1583.0,16.0,,465.0
2024,Parbhani,Secondary School (I-X),,1325.0,343.0,18.0,411.0
2024,Parbhani,Secondary School (VI-X),,488.0,76.0,19.0,131.0
2024,Parbhani,Higher Secondary School (XI-XII),,353.0,,,456.0
2024,Pune,Primary School (I-V),,1373.0,6355.0,1.0,2010.0
2024,Pune,Upper Primary School (I-VIII),,2023.0,8268.0,9.0,6678.0
2024,Pune,Higher Secondary School (I-XII),,7934.0,154.0,819.0,16219.0
2024,Pune,Secondary School (I-X),,3952.0,413.0,151.0,12467.0
2024,Pune,Secondary School (VI-X),,1110.0,310.0,26.0,1287.0
2024,Pune,Higher Secondary School (XI-XII),,1183.0,,,1560.0
2024,Raigad,Primary School (I-V),,337.0,3275.0,3.0,643.0
2024,Raigad,Upper Primary School (I-VIII),,310.0,2929.0,30.0,1668.0
2024,Raigad,Higher Secondary School (I-XII),,2396.0,,183.0,3120.0
2024,Raigad,Secondary School (I-X),,1200.0,23.0,37.0,2727.0
2024,Raigad,Secondary School (VI-X),,462.0,28.0,12.0,310.0
2024,Raigad,Higher Secondary School (XI-XII),,92.0,,,184.0
2024,Ratnagiri,Primary School (I-V),,152.0,2264.0,,213.0
2024,Ratnagiri,Upper Primary School (I-VIII),,21.0,3628.0,,462.0
2024,Ratnagiri,Higher Secondary School (I-XII),,1509.0,,,622.0
2024,Ratnagiri,Secondary School (I-X),,700.0,32.0,16.0,521.0
2024,Ratnagiri,Secondary School (VI-X),,553.0,,,140.0
2024,Ratnagiri,Higher Secondary School (XI-XII),,161.0,,,145.0
2024,Sangli,Primary School (I-V),,528.0,2526.0,,483.0
2024,Sangli,Upper Primary School (I-VIII),,899.0,3143.0,,686.0
2024,Sangli,Higher Secondary School (I-XII),,3087.0,,,715.0
2024,Sangli,Secondary School (I-X),,2259.0,65.0,,800.0
2024,Sangli,Secondary School (VI-X),,577.0,,24.0,230.0
2024,Sangli,Higher Secondary School (XI-XII),,432.0,,,235.0
2024,Satara,Primary School (I-V),,383.0,3807.0,7.0,298.0
2024,Satara,Upper Primary School (I-VIII),,409.0,3675.0,16.0,539.0
2024,Satara,Higher Secondary School (I-XII),,2527.0,9.0,4.0,1164.0
2024,Satara,Secondary School (I-X),,2320.0,5.0,22.0,1365.0
2024,Satara,Secondary School (VI-X),,694.0,,7.0,102.0
2024,Satara,Higher Secondary School (XI-XII),,578.0,,,203.0
2024,Sindhudurg,Primary School (I-V),,62.0,1418.0,,67.0
2024,Sindhudurg,Upper Primary School (I-VIII),,19.0,1901.0,,117.0
2024,Sindhudurg,Higher Secondary School (I-XII),,832.0,,,59.0
2024,Sindhudurg,Secondary School (I-X),,562.0,,,406.0
2024,Sindhudurg,Secondary School (VI-X),,236.0,,,38.0
2024,Sindhudurg,Higher Secondary School (XI-XII),,100.0,,,54.0
2024,Solapur,Primary School (I-V),,1093.0,5010.0,,842.0
2024,Solapur,Upper Primary School (I-VIII),,2036.0,4524.0,5.0,780.0
2024,Solapur,Higher Secondary School (I-XII),,5577.0,32.0,46.0,1103.0
2024,Solapur,Secondary School (I-X),,3546.0,54.0,17.0,1906.0
2024,Solapur,Secondary School (VI-X),,715.0,22.0,4.0,284.0
2024,Solapur,Higher Secondary School (XI-XII),,479.0,,13.0,321.0
2024,Thane,Primary School (I-V),,1004.0,2032.0,78.0,2182.0
2024,Thane,Upper Primary School (I-VIII),,3347.0,4367.0,118.0,9861.0
2024,Thane,Higher Secondary School (I-XII),,3126.0,,287.0,7118.0
2024,Thane,Secondary School (I-X),,1996.0,210.0,146.0,5049.0
2024,Thane,Secondary School (VI-X),,1296.0,79.0,3.0,2681.0
2024,Thane,Higher Secondary School (XI-XII),,592.0,,,1073.0
2024,Wardha,Primary School (I-V),,160.0,1300.0,,179.0
2024,Wardha,Upper Primary School (I-VIII),,176.0,1286.0,,443.0
2024,Wardha,Higher Secondary School (I-XII),,1332.0,103.0,32.0,455.0
2024,Wardha,Secondary School (I-X),,683.0,20.0,39.0,1215.0
2024,Wardha,Secondary School (VI-X),,233.0,,16.0,54.0
2024,Wardha,Higher Secondary School (XI-XII),,130.0,,,160.0
2024,Washim,Primary School (I-V),,123.0,1123.0,11.0,288.0
2024,Washim,Upper Primary School (I-VIII),,502.0,1675.0,9.0,268.0
2024,Washim,Higher Secondary School (I-XII),,1846.0,123.0,28.0,236.0
2024,Washim,Secondary School (I-X),,618.0,37.0,46.0,753.0
2024,Washim,Secondary School (VI-X),,193.0,,9.0,26.0
2024,Washim,Higher Secondary School (XI-XII),,99.0,,,91.0
2024,Yavatmal,Primary School (I-V),,268.0,2349.0,7.0,421.0
2024,Yavatmal,Upper Primary School (I-VIII),,841.0,4465.0,17.0,784.0
2024,Yavatmal,Higher Secondary School (I-XII),,2360.0,74.0,125.0,865.0
2024,Yavatmal,Secondary School (I-X),,1262.0,145.0,88.0,1347.0
2024,Yavatmal,Secondary School (VI-X),,595.0,67.0,54.0,76.0
2024,Yavatmal,Higher Secondary School (XI-XII),,301.0,,,220.0
