Year,District,Type of School,Central Govt,Government Aided,Local body,Others,Private Unaided
2021,Akola,Higher Secondary School (I-XII),,2242.0,65.0,14.0,634.0
2021,Akola,Higher Secondary School (XI-XII),,169.0,,4.0,250.0
2021,Amravati,Primary School (I-V),,436.0,2288.0,3.0,693.0
2021,Amravati,Upper Primary School (I-VIII),,619.0,3722.0,19.0,617.0
2021,Amravati,Secondary School (VI-X),,558.0,30.0,36.0,80.0
2021,Amravati,Secondary School (I-X),,1887.0,175.0,91.0,1495.0
2021,Amravati,Higher Secondary School (I-XII),,3200.0,161.0,135.0,561.0
2021,Amravati,Higher Secondary School (XI-XII),,358.0,,22.0,79.0
2021,Beed,Primary School (I-V),,543.0,4422.0,5.0,635.0
2021,Beed,Upper Primary School (I-VIII),,1994.0,3903.0,24.0,855.0
2021,Beed,Secondary School (VI-X),,334.0,36.0,18.0,90.0
2021,Beed,Secondary School (I-X),,2963.0,622.0,33.0,901.0
2021,Beed,Higher Secondary School (I-XII),,3556.0,17.0,,563.0
2021,Beed,Higher Secondary School (XI-XII),,460.0,,,344.0
2021,Bhandara,Primary School (I-V),,195.0,1149.0,3.0,104.0
2021,Bhandara,Upper Primary School (I-VIII),,292.0,1308.0,12.0,343.0
2021,Bhandara,Secondary School (VI-X),,146.0,6.0,5.0,37.0
2021,Bhandara,Secondary School (I-X),,720.0,68.0,15.0,434.0
2021,Bhandara,Higher Secondary School (I-XII),,1338.0,357.0,31.0,449.0
2021,Bhandara,Higher Secondary School (XI-XII),,78.0,,,126.0
2021,Buldhana,Primary School (I-V),,284.0,2518.0,,609.0
2021,Buldhana,Upper Primary School (I-VIII),,510.0,4156.0,,480.0
2021,Buldhana,Secondary School (VI-X),,326.0,64.0,27.0,82.0
2021,Buldhana,Secondary School (I-X),,1404.0,226.0,25.0,1108.0
2021,Buldhana,Higher Secondary School (I-XII),,3423.0,230.0,,880.0
2021,Buldhana,Higher Secondary School (XI-XII),,107.0,,,374.0
2021,Chandrapur,Primary School (I-V),,211.0,2152.0,,384.0
2021,Chandrapur,Upper Primary School (I-VIII),,472.0,3102.0,,620.0
2021,Chandrapur,Secondary School (VI-X),,454.0,30.0,26.0,125.0
2021,Chandrapur,Secondary School (I-X),,1149.0,96.0,55.0,1596.0
2021,Chandrapur,Higher Secondary School (I-XII),,2291.0,52.0,152.0,875.0
2021,Chandrapur,Higher Secondary School (XI-XII),,251.0,,,310.0
2021,Chh. Sambhaji Nagar,Primary School (I-V),,608.0,3009.0,31.0,1103.0
2021,Chh. Sambhaji Nagar,Upper Primary School (I-VIII),,4035.0,5414.0,27.0,3839.0
2021,Chh. Sambhaji Nagar,Secondary School (VI-X),,885.0,22.0,15.0,496.0
2021,Chh. Sambhaji Nagar,Secondary School (I-X),,2142.0,546.0,44.0,1535.0
2021,Chh. Sambhaji Nagar,Higher Secondary School (I-XII),,3419.0,149.0,79.0,2315.0
2021,Chh. Sambhaji Nagar,Higher Secondary School (XI-XII),,598.0,,20.0,830.0
2021,Dharashiv,Primary School (I-V),,309.0,1589.0,14.0,350.0
2021,Dharashiv,Upper Primary School (I-VIII),,667.0,3009.0,16.0,309.0
2021,Dharashiv,Secondary School (VI-X),,615.0,11.0,13.0,100.0
2021,Dharashiv,Secondary School (I-X),,1186.0,489.0,14.0,190.0
2021,Dharashiv,Higher Secondary School (I-XII),,1460.0,49.0,,154.0
2021,Dharashiv,Higher Secondary School (XI-XII),,247.0,,,157.0
2021,Dhule,Primary School (I-V),,606.0,3460.0,,445.0
2021,Dhule,Upper Primary School (I-VIII),,1107.0,419.0,51.0,519.0
2021,Dhule,Secondary School (VI-X),,209.0,,10.0,64.0
2021,Dhule,Secondary School (I-X),,2148.0,7.0,89.0,754.0
2021,Dhule,Higher Secondary School (I-XII),,3182.0,60.0,153.0,228.0
2021,Dhule,Higher Secondary School (XI-XII),,154.0,,,122.0
2021,Gadchiroli,Primary School (I-V),,54.0,1987.0,,138.0
2021,Gadchiroli,Upper Primary School (I-VIII),,250.0,1769.0,12.0,254.0
2021,Gadchiroli,Secondary School (VI-X),,278.0,35.0,16.0,58.0
2021,Gadchiroli,Secondary School (I-X),,701.0,14.0,216.0,404.0
2021,Gadchiroli,Higher Secondary School (I-XII),,1330.0,80.0,242.0,160.0
2021,Gadchiroli,Higher Secondary School (XI-XII),,56.0,,,144.0
2021,Gondia,Primary School (I-V),,105.0,1200.0,9.0,199.0
2021,Gondia,Upper Primary School (I-VIII),,450.0,2246.0,,455.0
2021,Gondia,Secondary School (VI-X),,314.0,,17.0,30.0
2021,Gondia,Secondary School (I-X),,500.0,71.0,35.0,508.0
2021,Gondia,Higher Secondary School (I-XII),,1443.0,201.0,127.0,443.0
2021,Gondia,Higher Secondary School (XI-XII),,98.0,,,220.0
2021,Hingoli,Primary School (I-V),,174.0,1355.0,,177.0
2021,Hingoli,Upper Primary School (I-VIII),,621.0,2239.0,3.0,433.0
2021,Hingoli,Secondary School (VI-X),,141.0,30.0,4.0,63.0
2021,Hingoli,Secondary School (I-X),,714.0,284.0,36.0,182.0
2021,Hingoli,Higher Secondary School (I-XII),,1041.0,,25.0,230.0
2021,Hingoli,Higher Secondary School (XI-XII),,241.0,,,137.0
2021,Jalgaon,Primary School (I-V),,1046.0,4273.0,41.0,789.0
2021,Jalgaon,Upper Primary School (I-VIII),,1620.0,3015.0,20.0,1324.0
2021,Jalgaon,Secondary School (VI-X),,342.0,19.0,,175.0
2021,Jalgaon,Secondary School (I-X),,5121.0,41.0,108.0,1185.0
2021,Jalgaon,Higher Secondary School (I-XII),,4697.0,116.0,87.0,688.0
2021,Jalgaon,Higher Secondary School (XI-XII),,516.0,,5.0,202.0
2021,Jalna,Primary School (I-V),,235.0,2200.0,15.0,717.0
2021,Jalna,Upper Primary School (I-VIII),,844.0,3271.0,17.0,568.0
2021,Jalna,Secondary School (VI-X),,259.0,61.0,20.0,66.0
2021,Jalna,Secondary School (I-X),,1377.0,387.0,,911.0
2021,Jalna,Higher Secondary School (I-XII),,1825.0,11.0,4.0,564.0
2021,Jalna,Higher Secondary School (XI-XII),,428.0,,,203.0
2021,Kolhapur,Primary School (I-V),,669.0,2664.0,,745.0
2021,Kolhapur,Upper Primary School (I-VIII),,751.0,5697.0,2.0,1445.0
2021,Kolhapur,Secondary School (VI-X),,1550.0,,18.0,294.0
2021,Kolhapur,Secondary School (I-X),,3172.0,25.0,17.0,1175.0
2021,Kolhapur,Higher Secondary School (I-XII),,3717.0,36.0,,604.0
2021,Kolhapur,Higher Secondary School (XI-XII),,676.0,7.0,12.0,349.0
2021,Latur,Primary School (I-V),,880.0,1725.0,2.0,577.0
2021,Latur,Upper Primary School (I-VIII),,2787.0,3424.0,5.0,845.0
2021,Latur,Secondary School (VI-X),,689.0,3.0,24.0,221.0
2021,Latur,Secondary School (I-X),,2441.0,577.0,,532.0
2021,Latur,Higher Secondary School (I-XII),,3311.0,,21.0,702.0
2021,Latur,Higher Secondary School (XI-XII),,243.0,,,572.0
2021,Mumbai,Primary School (I-V),,,,,96.0
2021,Mumbai,Upper Primary School (I-VIII),,16.0,,,316.0
2021,Mumbai,Secondary School (VI-X),,369.0,,,405.0
2021,Mumbai,Secondary School (I-X),,8383.0,,173.0,10981.0
2021,Mumbai,Higher Secondary School (I-XII),,5750.0,,387.0,6713.0
2021,Mumbai,Higher Secondary School (XI-XII),,2276.0,,27.0,1154.0
2021,Mumbai Suburban,Primary School (I-V),,2984.0,502.0,,5968.0
2021,Mumbai Suburban,Upper Primary School (I-VIII),,178.0,6903.0,,660.0
