Year,District,Select Class,Social Category,Boys,Girls
2012,Akola,Class 9,ST,809,668
2012,Akola,Class 10,Overall,14081,13743
2012,Akola,Class 10,General,2972,3173
2012,Akola,Class 10,OBC,7013,6633
2012,Akola,Class 10,SC,3517,3426
2012,Akola,Class 10,ST,579,511
2012,Akola,Class 11,Overall,10311,9943
2012,Akola,Class 11,General,2423,2293
2012,Akola,Class 11,OBC,5294,5023
2012,Akola,Class 11,SC,2208,2277
2012,Akola,Class 11,ST,386,350
2012,Akola,Class 12,Overall,8764,7376
2012,Akola,Class 12,General,2046,1900
2012,Akola,Class 12,OBC,4512,3779
2012,Akola,Class 12,SC,1865,1471
2012,Akola,Class 12,ST,341,226
2012,Amravati,Pre-Primary,Overall,8265,6893
2012,Amravati,Pre-Primary,General,1933,1727
2012,Amravati,Pre-Primary,OBC,4604,3698
2012,Amravati,Pre-Primary,SC,1233,1003
2012,Amravati,Pre-Primary,ST,495,465
2012,Amravati,Class 1,Overall,24204,22645
2012,Amravati,Class 1,General,4983,4626
2012,Amravati,Class 1,OBC,10466,9439
2012,Amravati,Class 1,SC,3896,3823
2012,Amravati,Class 1,ST,4859,4757
2012,Amravati,Class 2,Overall,24105,22056
2012,Amravati,Class 2,General,5042,4626
2012,Amravati,Class 2,OBC,10426,9358
2012,Amravati,Class 2,SC,3848,3704
2012,Amravati,Class 2,ST,4789,4368
2012,Amravati,Class 3,Overall,25362,23596
2012,Amravati,Class 3,General,5228,4654
2012,Amravati,Class 3,OBC,10974,10172
2012,Amravati,Class 3,SC,4190,3968
2012,Amravati,Class 3,ST,4970,4802
2012,Amravati,Class 4,Overall,26095,23804
2012,Amravati,Class 4,General,5320,4636
2012,Amravati,Class 4,OBC,11225,10237
2012,Amravati,Class 4,SC,4341,3984
2012,Amravati,Class 4,ST,5209,4947
2012,Amravati,Class 5,Overall,26546,24310
2012,Amravati,Class 5,General,5054,4592
2012,Amravati,Class 5,OBC,11713,10580
2012,Amravati,Class 5,SC,4681,4268
2012,Amravati,Class 5,ST,5098,4870
2012,Amravati,Class 6,Overall,26943,24348
2012,Amravati,Class 6,General,5008,4504
2012,Amravati,Class 6,OBC,12031,10667
2012,Amravati,Class 6,SC,4811,4346
2012,Amravati,Class 6,ST,5093,4831
2012,Amravati,Class 7,Overall,27412,25504
2012,Amravati,Class 7,General,4761,4482
2012,Amravati,Class 7,OBC,12511,11482
2012,Amravati,Class 7,SC,5022,4706
2012,Amravati,Class 7,ST,5118,4834
2012,Amravati,Class 8,Overall,27093,25216
2012,Amravati,Class 8,General,4611,4383
2012,Amravati,Class 8,OBC,13009,12107
2012,Amravati,Class 8,SC,5184,4798
2012,Amravati,Class 8,ST,4289,3928
2012,Amravati,Class 9,Overall,26303,24121
2012,Amravati,Class 9,General,4312,4209
2012,Amravati,Class 9,OBC,12828,11801
2012,Amravati,Class 9,SC,5234,4740
2012,Amravati,Class 9,ST,3929,3371
2012,Amravati,Class 10,Overall,22244,22231
2012,Amravati,Class 10,General,3553,3894
2012,Amravati,Class 10,OBC,11323,11300
2012,Amravati,Class 10,SC,4495,4459
2012,Amravati,Class 10,ST,2873,2578
2012,Amravati,Class 11,Overall,14539,16084
2012,Amravati,Class 11,General,2581,2999
2012,Amravati,Class 11,OBC,7185,8356
2012,Amravati,Class 11,SC,2937,3113
2012,Amravati,Class 11,ST,1836,1616
2012,Amravati,Class 12,Overall,11784,12424
2012,Amravati,Class 12,General,2150,2542
2012,Amravati,Class 12,OBC,6094,6572
2012,Amravati,Class 12,SC,2185,2267
2012,Amravati,Class 12,ST,1355,1043
2012,Beed,Pre-Primary,Overall,4761,3735
2012,Beed,Pre-Primary,General,2184,1787
2012,Beed,Pre-Primary,OBC,2005,1378
2012,Beed,Pre-Primary,SC,504,501
2012,Beed,Pre-Primary,ST,68,69
2012,Beed,Class 1,Overall,31816,26070
2012,Beed,Class 1,General,14266,11419
2012,Beed,Class 1,OBC,12212,9821
2012,Beed,Class 1,SC,4639,4194
2012,Beed,Class 1,ST,699,636
2012,Beed,Class 2,Overall,29532,25259
