Year,District ,Gender Mix,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2013,Solapur,Girls,28,26,6,13,2
2013,Wardha,Co-Ed,778,372,84,122,60
2013,Wardha,Boys,4,2,1,0,0
2013,Wardha,Girls,8,1,1,5,2
2013,Washim,Co-Ed,580,389,106,90,55
2013,Washim,Boys,5,2,2,0,0
2013,Washim,Girls,9,1,4,5,0
2013,Yavatmal,Co-Ed,1540,986,157,208,160
2013,Yavatmal,Boys,15,13,5,1,0
2013,Yavatmal,Girls,18,19,8,9,4
2014,Ahilyanagar,Co-Ed,3441,712,208,445,256
2014,Ahilyanagar,Boys,20,5,8,4,0
2014,Ahilyanagar,Girls,20,8,7,16,0
2014,Akola,Co-Ed,773,487,119,138,125
2014,Akola,Boys,16,5,2,2,0
2014,Akola,Girls,26,10,5,10,0
2014,Amravati,Co-Ed,1221,797,191,233,161
2014,Amravati,Boys,33,10,2,3,1
2014,Amravati,Girls,50,13,8,28,4
2014,Beed,Co-Ed,2165,705,159,324,117
2014,Beed,Boys,14,5,1,1,1
2014,Beed,Girls,20,19,3,14,2
2014,Bhandara,Co-Ed,664,328,93,122,52
2014,Bhandara,Boys,4,1,1,0,0
2014,Bhandara,Girls,4,2,4,6,1
2014,Buldhana,Co-Ed,1069,682,156,193,94
2014,Buldhana,Boys,24,7,1,0,1
2014,Buldhana,Girls,32,14,4,9,1
2014,Chandrapur,Co-Ed,1220,715,122,167,135
2014,Chandrapur,Boys,14,2,4,0,0
2014,Chandrapur,Girls,14,2,6,10,0
2014,Chhatrapati Sambhaji Nagar,Co-Ed,1858,1170,167,254,260
2014,Chhatrapati Sambhaji Nagar,Boys,7,6,2,4,3
2014,Chhatrapati Sambhaji Nagar,Girls,12,7,8,12,2
2014,Dharashiv,Co-Ed,742,529,65,169,141
2014,Dharashiv,Boys,14,7,1,3,1
2014,Dharashiv,Girls,8,18,1,10,4
2014,Dhule,Co-Ed,1199,177,118,238,62
2014,Dhule,Boys,35,7,8,5,0
2014,Dhule,Girls,36,9,11,15,1
2014,Gadchiroli,Co-Ed,1220,461,101,110,78
2014,Gadchiroli,Boys,6,6,1,0,0
2014,Gadchiroli,Girls,13,4,2,6,1
2014,Gondia,Co-Ed,753,533,109,79,79
2014,Gondia,Boys,0,8,1,0,1
2014,Gondia,Girls,5,9,3,4,0
2014,Hingoli,Co-Ed,592,372,51,74,43
2014,Hingoli,Boys,0,2,0,1,0
2014,Hingoli,Girls,10,10,1,4,0
2014,Jalgaon,Co-Ed,1629,605,160,435,120
2014,Jalgaon,Boys,64,35,2,6,3
2014,Jalgaon,Girls,63,45,9,22,2
2014,Jalna,Co-Ed,1177,635,90,148,63
2014,Jalna,Boys,6,4,1,1,1
2014,Jalna,Girls,4,7,2,11,0
2014,Kolhapur,Co-Ed,1450,1036,137,300,368
2014,Kolhapur,Boys,31,59,2,8,2
2014,Kolhapur,Girls,43,60,10,15,9
2014,Latur,Co-Ed,1001,835,146,256,164
2014,Latur,Boys,4,5,1,4,2
2014,Latur,Girls,9,16,4,18,2
2014,Mumbai City,Co-Ed,9,27,247,811,183
2014,Mumbai City,Boys,0,1,9,40,2
2014,Mumbai City,Girls,0,3,8,72,9
2014,Mumbai Suburban,Co-Ed,1299,899,0,38,106
2014,Mumbai Suburban,Boys,33,0,0,0,0
2014,Mumbai Suburban,Girls,58,0,0,1,0
2014,Nagpur,Co-Ed,1859,1063,250,375,230
2014,Nagpur,Boys,4,4,4,3,1
2014,Nagpur,Girls,18,2,18,24,1
2014,Nanded,Co-Ed,1830,989,134,311,147
2014,Nanded,Boys,3,3,2,3,0
2014,Nanded,Girls,13,14,8,19,3
2014,Nandurbar,Co-Ed,1354,210,70,257,37
2014,Nandurbar,Boys,18,1,2,1,0
2014,Nandurbar,Girls,16,1,6,13,0
2014,Nashik,Co-Ed,3074,1052,195,404,358
2014,Nashik,Boys,22,54,4,7,2
2014,Nashik,Girls,25,62,9,22,4
2014,Palghar,Co-Ed,1755,839,64,167,214
2014,Palghar,Boys,3,0,0,2,1
2014,Palghar,Girls,2,5,2,1,8
2014,Parbhani,Co-Ed,834,626,60,159,126
2014,Parbhani,Boys,4,3,1,1,0
2014,Parbhani,Girls,4,10,2,10,0
2014,Pune,Co-Ed,3608,1678,296,555,503
2014,Pune,Boys,24,76,6,9,1
2014,Pune,Girls,33,76,18,30,5
2014,Raigad,Co-Ed,2355,845,113,218,203
2014,Raigad,Boys,3,10,2,2,0
2014,Raigad,Girls,6,11,2,2,2
2014,Ratnagiri,Co-Ed,1834,1046,77,109,186
2014,Ratnagiri,Boys,6,6,2,0,1
2014,Ratnagiri,Girls,7,5,0,1,2
2014,Sangli,Co-Ed,1440,628,129,251,170
2014,Sangli,Boys,21,45,3,4,1
2014,Sangli,Girls,29,45,11,26,7
2014,Satara,Co-Ed,2158,905,130,293,225
2014,Satara,Boys,17,13,0,4,0
2014,Satara,Girls,17,10,8,11,4
2014,Sindhudurg,Co-Ed,1003,520,44,96,77
2014,Sindhudurg,Boys,3,1,1,0,0
2014,Sindhudurg,Girls,1,1,0,0,0
2014,Solapur,Co-Ed,2548,1050,231,394,232
2014,Solapur,Boys,18,24,1,2,0
2014,Solapur,Girls,24,25,6,10,3
2014,Thane,Co-Ed,1457,1691,136,231,705
2014,Thane,Boys,3,18,2,4,1
2014,Thane,Girls,9,24,6,9,3
2014,Wardha,Co-Ed,788,372,84,122,62
2014,Wardha,Boys,5,3,1,0,0
2014,Wardha,Girls,8,1,1,5,2
2014,Washim,Co-Ed,606,391,107,91,59
2014,Washim,Boys,5,2,1,0,0
2014,Washim,Girls,9,1,4,5,0
2014,Yavatmal,Co-Ed,1567,989,160,206,165
2014,Yavatmal,Boys,14,12,2,2,0
2014,Yavatmal,Girls,17,17,8,9,5
2015,Ahilyanagar,Co-Ed,3415,735,215,446,260
2015,Ahilyanagar,Boys,19,5,2,4,0
2015,Ahilyanagar,Girls,20,8,7,16,0
2015,Akola,Co-Ed,778,486,121,139,124
2015,Akola,Boys,13,6,1,2,0
2015,Akola,Girls,18,8,5,9,0
2015,Amravati,Co-Ed,1230,799,192,238,161
2015,Amravati,Boys,31,10,2,3,0
2015,Amravati,Girls,49,13,7,26,5
2015,Beed,Co-Ed,2167,722,161,327,116
2015,Beed,Boys,14,5,1,1,1
2015,Beed,Girls,20,19,3,13,1
2015,Bhandara,Co-Ed,654,334,94,122,52
2015,Bhandara,Boys,3,1,1,0,0
2015,Bhandara,Girls,4,2,3,6,0
2015,Buldhana,Co-Ed,1071,690,156,194,97
2015,Buldhana,Boys,23,7,1,0,0
2015,Buldhana,Girls,30,14,4,8,0
2015,Chandrapur,Co-Ed,1218,716,124,167,136
2015,Chandrapur,Boys,13,2,2,0,0
2015,Chandrapur,Girls,11,2,6,10,0
2015,Chhatrapati Sambhaji Nagar,Co-Ed,1899,1182,172,264,258
2015,Chhatrapati Sambhaji Nagar,Boys,7,5,2,4,2
2015,Chhatrapati Sambhaji Nagar,Girls,12,7,7,12,2
2015,Dharashiv,Co-Ed,757,532,65,170,145
2015,Dharashiv,Boys,14,7,1,3,1
2015,Dharashiv,Girls,8,18,1,9,4
2015,Dhule,Co-Ed,1206,186,124,240,59
2015,Dhule,Boys,31,7,3,5,0
2015,Dhule,Girls,33,9,11,15,1
2015,Gadchiroli,Co-Ed,1214,461,101,112,78
2015,Gadchiroli,Boys,6,6,1,0,0
2015,Gadchiroli,Girls,13,4,2,6,2
2015,Gondia,Co-Ed,755,535,108,79,77
2015,Gondia,Boys,0,8,1,0,1
2015,Gondia,Girls,4,9,3,4,1
2015,Hingoli,Co-Ed,626,388,50,77,43
2015,Hingoli,Boys,3,1,1,1,0
2015,Hingoli,Girls,10,9,1,5,0
2015,Jalgaon,Co-Ed,1640,616,162,435,115
2015,Jalgaon,Boys,63,35,1,5,2
2015,Jalgaon,Girls,62,41,9,22,2
2015,Jalna,Co-Ed,1214,639,89,146,62
2015,Jalna,Boys,5,4,1,1,0
2015,Jalna,Girls,4,7,2,11,0
2015,Kolhapur,Co-Ed,1461,1044,139,304,360
2015,Kolhapur,Boys,31,58,2,7,3
2015,Kolhapur,Girls,41,59,8,14,10
2015,Latur,Co-Ed,1033,836,146,260,164
2015,Latur,Boys,4,5,1,4,2
2015,Latur,Girls,7,15,4,15,1
2015,Mumbai City,Co-Ed,11,38,256,824,187
2015,Mumbai City,Boys,0,1,5,39,2
2015,Mumbai City,Girls,0,3,6,70,7
2015,Mumbai Suburban,Co-Ed,1350,885,0,39,105
2015,Mumbai Suburban,Boys,33,0,0,0,0
2015,Mumbai Suburban,Girls,58,0,0,1,0
2015,Nagpur,Co-Ed,1879,1066,254,378,232
2015,Nagpur,Boys,4,6,2,2,1
2015,Nagpur,Girls,17,3,16,23,1
2015,Nanded,Co-Ed,1855,1003,140,318,152
2015,Nanded,Boys,5,3,2,3,1
2015,Nanded,Girls,13,16,6,19,4
2015,Nandurbar,Co-Ed,1367,210,71,257,48
2015,Nandurbar,Boys,19,1,1,1,0
2015,Nandurbar,Girls,16,1,6,13,0
2015,Nashik,Co-Ed,3092,1066,200,411,364
2015,Nashik,Boys,22,51,1,7,1
2015,Nashik,Girls,26,60,9,20,1
2015,Palghar,Co-Ed,1767,880,69,166,224
2015,Palghar,Boys,3,0,0,2,0
2015,Palghar,Girls,2,5,2,1,8
2015,Parbhani,Co-Ed,851,653,61,159,129
2015,Parbhani,Boys,4,7,1,1,0
2015,Parbhani,Girls,3,11,1,10,0
2015,Pune,Co-Ed,3619,1705,299,563,508
2015,Pune,Boys,27,70,6,10,0
2015,Pune,Girls,35,74,17,30,3
2015,Raigad,Co-Ed,2362,853,114,222,199
2015,Raigad,Boys,3,9,2,2,0
2015,Raigad,Girls,6,11,2,2,2
2015,Ratnagiri,Co-Ed,1840,1047,77,108,186
2015,Ratnagiri,Boys,6,6,2,0,1
2015,Ratnagiri,Girls,5,5,0,1,2
2015,Sangli,Co-Ed,1437,642,134,250,171
2015,Sangli,Boys,22,44,1,4,3
2015,Sangli,Girls,29,43,10,26,9
2015,Satara,Co-Ed,2150,907,131,292,225
2015,Satara,Boys,17,13,0,4,0
2015,Satara,Girls,15,11,8,11,2
2015,Sindhudurg,Co-Ed,997,519,44,96,77
2015,Sindhudurg,Boys,3,2,1,0,0
2015,Sindhudurg,Girls,1,1,0,0,0
2015,Solapur,Co-Ed,2550,1071,233,398,231
2015,Solapur,Boys,18,25,1,1,0
2015,Solapur,Girls,23,25,6,10,3
2015,Thane,Co-Ed,1491,1768,136,232,735
2015,Thane,Boys,4,18,2,4,1
2015,Thane,Girls,10,26,6,9,3
2015,Wardha,Co-Ed,792,371,84,124,61
2015,Wardha,Boys,5,2,1,0,1
2015,Wardha,Girls,7,1,1,4,2
2015,Washim,Co-Ed,622,394,107,91,58
2015,Washim,Boys,4,2,1,0,0
2015,Washim,Girls,9,1,4,5,0
2015,Yavatmal,Co-Ed,1604,992,160,205,162
2015,Yavatmal,Boys,12,8,1,3,0
2015,Yavatmal,Girls,15,12,9,9,5
2016,Ahilyanagar,Co-Ed,3429,755,225,449,251
2016,Ahilyanagar,Boys,19,5,2,4,0
2016,Ahilyanagar,Girls,20,8,7,15,0
2016,Akola,Co-Ed,793,494,121,140,126
2016,Akola,Boys,13,6,2,3,0
2016,Akola,Girls,17,7,5,9,0
2016,Amravati,Co-Ed,1247,806,192,240,160
2016,Amravati,Boys,31,9,1,3,0
2016,Amravati,Girls,45,13,9,25,6
2016,Beed,Co-Ed,2167,731,162,328,116
2016,Beed,Boys,13,4,1,1,1
2016,Beed,Girls,19,19,4,12,2
2016,Bhandara,Co-Ed,649,332,94,124,52
2016,Bhandara,Boys,3,1,1,0,0
2016,Bhandara,Girls,4,2,3,5,0
2016,Buldhana,Co-Ed,1089,691,160,195,94
2016,Buldhana,Boys,22,7,1,0,0
2016,Buldhana,Girls,29,14,4,8,0
2016,Chandrapur,Co-Ed,1216,721,125,166,137
2016,Chandrapur,Boys,13,2,1,0,0
2016,Chandrapur,Girls,11,2,6,8,0
2016,Chhatrapati Sambhaji Nagar,Co-Ed,1937,1227,181,262,262
2016,Chhatrapati Sambhaji Nagar,Boys,7,4,2,5,0
2016,Chhatrapati Sambhaji Nagar,Girls,11,6,8,12,2
2016,Dharashiv,Co-Ed,762,536,66,169,145
2016,Dharashiv,Boys,14,8,1,3,0
2016,Dharashiv,Girls,9,18,1,10,2
2016,Dhule,Co-Ed,1227,185,126,243,60
2016,Dhule,Boys,30,7,2,5,0
2016,Dhule,Girls,33,9,11,16,1
2016,Gadchiroli,Co-Ed,1218,465,101,112,79
2016,Gadchiroli,Boys,6,6,1,0,0
2016,Gadchiroli,Girls,11,4,2,6,1
2016,Gondia,Co-Ed,756,535,109,80,75
2016,Gondia,Boys,0,8,1,0,1
2016,Gondia,Girls,4,9,3,4,1
2016,Hingoli,Co-Ed,623,394,49,77,48
2016,Hingoli,Boys,5,1,1,1,0
2016,Hingoli,Girls,9,9,1,4,0
2016,Jalgaon,Co-Ed,1669,624,162,445,116
2016,Jalgaon,Boys,63,30,2,5,1
2016,Jalgaon,Girls,60,37,9,20,2
2016,Jalna,Co-Ed,1236,648,92,149,59
2016,Jalna,Boys,4,4,1,0,0
2016,Jalna,Girls,4,6,2,11,0
2016,Kolhapur,Co-Ed,1471,1061,143,310,363
2016,Kolhapur,Boys,27,55,1,10,2
2016,Kolhapur,Girls,39,54,8,13,8
2016,Latur,Co-Ed,1055,839,147,261,165
2016,Latur,Boys,4,5,1,5,1
2016,Latur,Girls,6,15,4,15,2
2016,Mumbai City,Co-Ed,10,45,260,837,186
2016,Mumbai City,Boys,0,1,3,38,2
2016,Mumbai City,Girls,0,2,5,71,7
2016,Mumbai Suburban,Co-Ed,1382,859,0,39,104
2016,Mumbai Suburban,Boys,31,1,0,0,0
2016,Mumbai Suburban,Girls,56,2,0,1,0
2016,Nagpur,Co-Ed,1865,1073,258,404,230
2016,Nagpur,Boys,5,7,1,2,0
2016,Nagpur,Girls,14,4,16,23,1
2016,Nanded,Co-Ed,1889,1015,144,322,153
2016,Nanded,Boys,6,2,2,4,1
2016,Nanded,Girls,13,17,6,17,4
2016,Nandurbar,Co-Ed,1364,212,71,258,49
2016,Nandurbar,Boys,19,1,1,0,0
2016,Nandurbar,Girls,16,1,6,13,0
2016,Nashik,Co-Ed,3144,1084,201,414,364
2016,Nashik,Boys,22,48,1,7,1
2016,Nashik,Girls,25,56,9,20,3
2016,Palghar,Co-Ed,1759,898,74,165,215
2016,Palghar,Boys,3,0,0,2,0
2016,Palghar,Girls,2,5,2,1,9
2016,Parbhani,Co-Ed,862,655,61,163,127
2016,Parbhani,Boys,4,7,1,1,0
2016,Parbhani,Girls,2,11,1,10,0
2016,Pune,Co-Ed,3603,1720,301,578,499
2016,Pune,Boys,25,72,6,12,1
2016,Pune,Girls,35,70,17,30,5
2016,Raigad,Co-Ed,2315,857,114,223,195
2016,Raigad,Boys,3,10,2,2,0
2016,Raigad,Girls,6,11,2,2,2
2016,Ratnagiri,Co-Ed,1835,1049,77,108,185
2016,Ratnagiri,Boys,6,6,2,0,0
2016,Ratnagiri,Girls,5,4,0,1,2
2016,Sangli,Co-Ed,1462,650,136,250,174
2016,Sangli,Boys,22,44,1,4,3
2016,Sangli,Girls,28,43,9,26,6
2016,Satara,Co-Ed,2158,905,133,296,227
2016,Satara,Boys,17,15,0,3,0
2016,Satara,Girls,15,12,7,9,3
2016,Sindhudurg,Co-Ed,998,518,44,96,78
2016,Sindhudurg,Boys,2,1,1,0,0
2016,Sindhudurg,Girls,1,1,0,0,0
2016,Solapur,Co-Ed,2582,1085,238,401,232
2016,Solapur,Boys,18,26,1,2,1
2016,Solapur,Girls,24,25,5,9,1
2016,Thane,Co-Ed,1485,1810,140,242,742
2016,Thane,Boys,4,14,1,4,1
2016,Thane,Girls,9,23,6,9,2
2016,Wardha,Co-Ed,791,374,84,124,61
2016,Wardha,Boys,5,2,1,0,1
2016,Wardha,Girls,7,1,1,4,2
2016,Washim,Co-Ed,632,394,107,93,59
2016,Washim,Boys,4,2,1,0,0
2016,Washim,Girls,8,1,4,5,0
2016,Yavatmal,Co-Ed,1607,1000,160,209,159
2016,Yavatmal,Boys,11,8,1,1,0
2016,Yavatmal,Girls,14,12,9,9,5
2017,Ahilyanagar,Co-Ed,3328,816,291,497,190
2017,Ahilyanagar,Boys,17,5,2,4,3
2017,Ahilyanagar,Girls,20,7,9,14,1
2017,Akola,Co-Ed,757,538,140,137,125
2017,Akola,Boys,13,4,3,2,2
2017,Akola,Girls,15,6,5,9,2
2017,Amravati,Co-Ed,1195,864,191,254,160
2017,Amravati,Boys,27,7,3,4,2
2017,Amravati,Girls,39,10,10,23,8
2017,Beed,Co-Ed,2072,815,179,357,88
2017,Beed,Boys,13,3,1,2,2
2017,Beed,Girls,15,19,5,9,5
2017,Bhandara,Co-Ed,634,335,101,124,49
2017,Bhandara,Boys,3,1,1,0,0
2017,Bhandara,Girls,4,1,3,4,1
2017,Buldhana,Co-Ed,1064,701,173,197,100
2017,Buldhana,Boys,22,4,1,0,3
2017,Buldhana,Girls,27,12,4,8,2
2017,Chandrapur,Co-Ed,1183,729,127,185,136
2017,Chandrapur,Boys,8,1,1,1,1
2017,Chandrapur,Girls,11,1,6,9,1
2017,Chhatrapati Sambhaji Nagar,Co-Ed,1741,1509,218,289,238
2017,Chhatrapati Sambhaji Nagar,Boys,4,2,1,3,2
2017,Chhatrapati Sambhaji Nagar,Girls,6,4,8,11,2
2017,Dharashiv,Co-Ed,759,553,65,174,146
2017,Dharashiv,Boys,15,7,1,2,2
2017,Dharashiv,Girls,11,17,1,9,4
2017,Dhule,Co-Ed,1190,227,137,249,40
2017,Dhule,Boys,30,6,2,4,2
2017,Dhule,Girls,32,9,12,16,1
2017,Gadchiroli,Co-Ed,1202,471,97,119,82
2017,Gadchiroli,Boys,6,5,1,0,1
2017,Gadchiroli,Girls,11,4,3,0,7
2017,Gondia,Co-Ed,732,540,112,87,72
2017,Gondia,Boys,0,8,1,0,1
