Year,District,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X),Higher Secondary School (XI-XII),Total
2012,Latur,Private Unaided,331.0,659.0,24.0,207.0,194.0,75.0,1518
2012,Mumbai City,Government Aided,,28.0,6503.0,10881.0,807.0,2445.0,21167
2012,Mumbai City,Others,,17.0,444.0,228.0,8.0,31.0,728
2012,Mumbai City,Private Unaided,,224.0,3361.0,6952.0,428.0,1002.0,12182
2012,Mumbai Suburban,Government Aided,3833.0,,,,,,3833
2012,Mumbai Suburban,Private Unaided,7186.0,37.0,,12.0,,,7235
2012,Mumbai Suburban,Others,1262.0,10791.0,,767.0,638.0,,13458
2012,Nagpur,Government Aided,1353.0,1932.0,6139.0,4175.0,530.0,698.0,14949
2012,Nagpur,Others,834.0,1059.0,440.0,466.0,81.0,12.0,2892
2012,Nagpur,Local body,2597.0,3295.0,160.0,192.0,43.0,,6287
2012,Nagpur,Private Unaided,1361.0,2030.0,1571.0,1297.0,643.0,127.0,7332
2012,Nanded,Government Aided,757.0,1941.0,2652.0,2357.0,328.0,481.0,8583
2012,Nanded,Others,264.0,670.0,376.0,311.0,83.0,68.0,1772
2012,Nanded,Local body,3724.0,5109.0,,1136.0,44.0,,10028
2012,Nanded,Private Unaided,410.0,387.0,146.0,494.0,323.0,161.0,1933
2012,Nandurbar,Government Aided,255.0,220.0,1438.0,1299.0,51.0,63.0,3326
2012,Nandurbar,Others,49.0,228.0,201.0,635.0,40.0,,1153
2012,Nandurbar,Local body,3450.0,900.0,25.0,65.0,5.0,4.0,4451
2012,Nandurbar,Private Unaided,166.0,114.0,44.0,590.0,38.0,,952
2012,Nashik,Government Aided,1081.0,1075.0,4828.0,4507.0,734.0,639.0,13038
2012,Nashik,Others,219.0,2087.0,302.0,682.0,248.0,,3538
2012,Nashik,Local body,6753.0,4757.0,,80.0,,,11592
2012,Nashik,Private Unaided,766.0,1279.0,373.0,736.0,747.0,62.0,4056
2012,Parbhani,Government Aided,420.0,879.0,1158.0,1187.0,206.0,187.0,4101
2012,Parbhani,Others,120.0,298.0,,143.0,75.0,112.0,748
2012,Parbhani,Local body,1589.0,3541.0,28.0,481.0,4.0,,5661
2012,Parbhani,Private Unaided,487.0,463.0,118.0,159.0,337.0,398.0,2000
2012,Pune,Government Aided,1347.0,1736.0,8739.0,5503.0,1106.0,784.0,19415
2012,Pune,Others,838.0,4211.0,798.0,448.0,373.0,9.0,6677
2012,Pune,Local body,6918.0,5632.0,37.0,121.0,18.0,,12726
2012,Pune,Private Unaided,1993.0,5266.0,1589.0,3244.0,1588.0,413.0,14497
2012,Raigad,Others,205.0,207.0,164.0,55.0,102.0,,733
2012,Raigad,Government Aided,304.0,102.0,2711.0,1798.0,324.0,115.0,5356
2012,Raigad,Local body,4636.0,3959.0,,37.0,30.0,,8662
2012,Raigad,Private Unaided,546.0,916.0,979.0,908.0,512.0,27.0,4042
2012,Ratnagiri,Government Aided,104.0,6.0,1746.0,1132.0,697.0,119.0,3951
2012,Ratnagiri,Others,77.0,48.0,39.0,53.0,47.0,6.0,270
2012,Ratnagiri,Local body,3603.0,5154.0,,14.0,,,8771
2012,Ratnagiri,Private Unaided,167.0,372.0,55.0,83.0,180.0,55.0,999
2012,Sangli,Government Aided,412.0,775.0,3805.0,3215.0,465.0,500.0,9219
