Year,District,Rural/Urban,Type of School,Central Govt,Government Aided,Local Body,Others,Private Unaided (Recognized)
2016,Amravati,Rural,Upper Primary School (I-VIII),,31.0,639.0,6.0,14.0
2016,Amravati,Rural,Secondary School (VI-X),,97.0,4.0,1.0,39.0
2016,Amravati,Rural,Secondary School (I-X),,140.0,6.0,8.0,22.0
2016,Amravati,Rural,Higher Secondary School (I-XII),,109.0,6.0,8.0,5.0
2016,Amravati,Urban,Primary School (I-V),0.0,60.0,93.0,6.0,115.0
2016,Amravati,Urban,Upper Primary School (I-VIII),0.0,48.0,60.0,2.0,28.0
2016,Amravati,Urban,Secondary School (VI-X),0.0,9.0,3.0,0.0,13.0
2016,Amravati,Urban,Secondary School (I-X),0.0,57.0,11.0,1.0,23.0
2016,Amravati,Urban,Higher Secondary School (I-XII),0.0,62.0,8.0,0.0,4.0
2017,Amravati,Rural,Primary School (I-V),,31.0,920.0,2.0,81.0
2017,Amravati,Rural,Upper Primary School (I-VIII),,32.0,651.0,4.0,27.0
2017,Amravati,Rural,Secondary School (VI-X),,113.0,4.0,4.0,21.0
2017,Amravati,Rural,Secondary School (I-X),,142.0,6.0,10.0,21.0
2017,Amravati,Rural,Higher Secondary School (I-XII),,108.0,4.0,8.0,9.0
2017,Amravati,Urban,Primary School (I-V),,59.0,87.0,0.0,81.0
2017,Amravati,Urban,Upper Primary School (I-VIII),,47.0,62.0,5.0,53.0
2017,Amravati,Urban,Secondary School (VI-X),,11.0,5.0,1.0,11.0
2017,Amravati,Urban,Secondary School (I-X),,61.0,9.0,1.0,31.0
2017,Amravati,Urban,Higher Secondary School (I-XII),,60.0,6.0,2.0,7.0
2018,Amravati,Rural,Primary School (I-V),,32.0,906.0,2.0,77.0
2018,Amravati,Rural,Upper Primary School (I-VIII),,32.0,653.0,2.0,29.0
2018,Amravati,Rural,Secondary School (VI-X),,122.0,4.0,6.0,13.0
2018,Amravati,Rural,Secondary School (I-X),,139.0,6.0,9.0,27.0
